Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
12/31/2001,270.0,30.0,110.0,86.0,,,86.0,44.0,,44.0,,-169.0,-92.0,0.0,,,-92.0,,,0.0,0.0,0.0,,,,,-77.0,-89.0,-30.0,-70.0,,,,11.0,11.0,0.0,0.0,,12.0,
03/31/2002,83.0,33.0,95.0,1.0,,,1.0,-46.0,,-46.0,,-6.0,-40.0,0.0,,,-40.0,,,0.0,0.0,0.0,,,,,34.0,-95.0,-30.0,-89.0,,,,24.0,24.0,0.0,0.0,,-18.0,
06/30/2002,232.0,88.0,92.0,17.0,,,17.0,35.0,,35.0,,-134.0,-47.0,0.0,,,-47.0,,,0.0,0.0,0.0,,,,,-87.0,-128.0,-31.0,-113.0,,,,16.0,16.0,0.0,0.0,,-30.0,
09/30/2002,328.0,93.0,94.0,3.0,,,3.0,138.0,,138.0,,3.0,-52.0,0.0,,,-52.0,,,0.0,0.0,0.0,,,,,55.0,-306.0,-31.0,-276.0,,,,1.0,1.0,0.0,0.0,,25.0,
12/31/2002,257.0,67.0,95.0,-25.0,,,-25.0,120.0,,120.0,,-278.0,-89.0,0.0,,,-89.0,,,0.0,0.0,0.0,,,,,-189.0,7.0,-31.0,34.0,,,,4.0,4.0,0.0,0.0,,-14.0,
03/31/2003,-4.0,72.0,98.0,30.0,,,30.0,-204.0,,-204.0,,42.0,-43.0,0.0,,,-43.0,,,0.0,0.0,0.0,,,,,85.0,-54.0,-31.0,-29.0,,,,6.0,6.0,0.0,0.0,,-16.0,
06/30/2003,259.0,93.0,103.0,29.0,,,29.0,34.0,,34.0,,-375.0,-67.0,0.0,,,-67.0,,,0.0,0.0,0.0,,,,,-308.0,144.0,-31.0,-146.0,,,,321.0,321.0,0.0,0.0,,28.0,
09/30/2003,262.0,107.0,97.0,-22.0,,,-22.0,80.0,,80.0,,-269.0,-67.0,0.0,,,-67.0,,,0.0,0.0,0.0,,,,,-202.0,-8.0,-36.0,-25.0,,,,53.0,53.0,0.0,0.0,,-15.0,
12/31/2003,357.0,114.0,96.0,-19.0,,,-19.0,166.0,,166.0,,-367.0,-96.0,0.0,,,-96.0,,,0.0,0.0,0.0,,,,,-271.0,-1.0,-36.0,6.0,,,,29.0,29.0,0.0,0.0,,-11.0,
03/31/2004,27.0,134.0,100.0,-36.0,,,-36.0,-171.0,,-171.0,,216.0,-49.0,0.0,,,-49.0,,,0.0,0.0,0.0,,,,,265.0,-239.0,-41.0,-3.0,,,,-195.0,55.0,-250.0,0.0,,4.0,
06/30/2004,330.0,161.0,98.0,46.0,,,46.0,25.0,,25.0,,-286.0,-81.0,0.0,,,-81.0,,,0.0,0.0,0.0,,,,,-205.0,-23.0,-41.0,-11.0,,,,29.0,29.0,0.0,0.0,,21.0,
09/30/2004,220.0,170.0,100.0,-34.0,,,-34.0,-16.0,,-16.0,,-201.0,-69.0,0.0,,,-69.0,,,0.0,0.0,0.0,,,,,-132.0,-22.0,-40.0,5.0,,,,13.0,13.0,0.0,0.0,,-3.0,
12/31/2004,261.0,183.0,102.0,-9.0,,,-9.0,-15.0,,-15.0,,-62.0,-131.0,0.0,,,-131.0,,,0.0,0.0,0.0,,,,,69.0,-197.0,-41.0,-197.0,,,,41.0,41.0,0.0,0.0,,2.0,
03/31/2005,93.0,187.0,100.0,33.0,,,33.0,-227.0,,-227.0,,-178.0,-66.0,0.0,,,-66.0,,,0.0,0.0,0.0,,,,,-112.0,90.0,-47.0,359.0,,,,-222.0,28.0,-250.0,0.0,,5.0,
06/30/2005,322.0,209.0,99.0,17.0,,,17.0,-3.0,,-3.0,,-147.0,-78.0,0.0,,,-78.0,,,0.0,0.0,0.0,,,,,-69.0,-135.0,-46.0,105.0,,,,-194.0,6.0,-200.0,0.0,,40.0,
09/30/2005,296.0,199.0,101.0,-52.0,,,-52.0,48.0,,48.0,,-238.0,-88.0,0.0,,,-88.0,,,0.0,0.0,0.0,,,,,-150.0,-96.0,-45.0,-71.0,,,,20.0,20.0,0.0,0.0,,-38.0,
12/31/2005,424.0,210.0,109.0,69.0,,,69.0,36.0,,36.0,,-705.0,-131.0,0.0,,,-131.0,,,0.0,0.0,0.0,,,,,-574.0,299.0,-46.0,329.0,,,,14.0,14.0,0.0,2.0,,18.0,
03/31/2006,127.0,208.0,106.0,-50.0,,,-50.0,-137.0,,-137.0,,-339.0,-62.0,0.0,,,-62.0,,,0.0,0.0,0.0,,,,,-277.0,210.0,-52.0,188.0,,,,74.0,74.0,0.0,0.0,,-2.0,
06/30/2006,441.0,253.0,108.0,51.0,,,51.0,29.0,,29.0,,-107.0,-77.0,0.0,,,-77.0,,,0.0,0.0,0.0,,,,,-30.0,-317.0,-52.0,-231.0,,,,-34.0,29.0,-63.0,0.0,,17.0,
09/30/2006,448.0,248.0,108.0,-26.0,,,-26.0,118.0,,118.0,,-344.0,-84.0,0.0,,,-84.0,,,0.0,0.0,0.0,,,,,-260.0,-100.0,-58.0,22.0,,,,-64.0,5.0,-69.0,0.0,,4.0,
12/31/2006,415.0,241.0,112.0,56.0,,,56.0,6.0,,6.0,,-221.0,-137.0,0.0,,,-137.0,,,0.0,0.0,0.0,,,,,-84.0,-209.0,-58.0,75.0,,,,-226.0,28.0,-254.0,0.0,,-15.0,
03/31/2007,-114.0,234.0,109.0,-98.0,,,-98.0,-359.0,,-359.0,,-446.0,-67.0,0.0,,,-67.0,,,0.0,0.0,0.0,,,,,-379.0,552.0,-63.0,683.0,,,,-68.0,110.0,-178.0,0.0,,-8.0,
06/30/2007,238.0,480.0,227.0,-80.0,,,-80.0,-389.0,,-389.0,,-621.0,-143.0,,,,-143.0,,,,,,,,,,-478.0,381.0,-126.0,673.0,,,,-166.0,143.0,-309.0,,,-2.0,
09/30/2007,733.0,738.0,344.0,-114.0,,,-114.0,-235.0,,-235.0,,-771.0,-228.0,0.0,,,-228.0,,,0.0,0.0,0.0,,,,,-543.0,95.0,-188.0,454.0,,,,-171.0,169.0,-340.0,0.0,,57.0,
12/31/2007,428.0,256.0,125.0,20.0,,,20.0,27.0,,27.0,,-689.0,-126.0,0.0,,,-126.0,,,0.0,0.0,0.0,,,,,-563.0,232.0,-63.0,281.0,,,,14.0,14.0,0.0,0.0,,-29.0,
03/31/2008,-17.0,247.0,126.0,-42.0,,,-42.0,-348.0,,-348.0,,-608.0,-83.0,0.0,,,-83.0,,,0.0,0.0,0.0,,,,,-525.0,640.0,-73.0,683.0,,,,30.0,30.0,0.0,0.0,,15.0,
06/30/2008,428.0,333.0,154.0,-51.0,,,-51.0,-8.0,,-8.0,,-2279.0,-134.0,0.0,,,-134.0,,,0.0,0.0,0.0,,,,,-2145.0,1974.0,-83.0,506.0,,,,1546.0,1546.0,0.0,5.0,,123.0,
09/30/2008,435.0,315.0,155.0,-27.0,0.0,-123.0,96.0,-8.0,,-8.0,,-17.0,-121.0,0.0,,,-121.0,,,0.0,0.0,0.0,,,,,104.0,-456.0,-82.0,-275.0,,,,-141.0,0.0,-141.0,42.0,,-38.0,
12/31/2008,470.0,163.0,136.0,46.0,,-102.0,148.0,125.0,-208.0,333.0,,-286.0,-110.0,0.0,,,-110.0,,,0.0,0.0,0.0,,,,,-176.0,-363.0,-82.0,-247.0,,,,47.0,47.0,0.0,-81.0,,-179.0,
03/31/2009,95.0,-50.0,139.0,-34.0,,,-34.0,40.0,,40.0,0.0,-12.0,-48.0,0.0,,0.0,-48.0,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,-138.0,-83.0,-63.0,-318.0,555.0,-300.0,7.0,7.0,0.0,1.0,12.0,-43.0,
06/30/2009,348.0,29.0,142.0,-34.0,,,-34.0,211.0,,211.0,0.0,-153.0,-48.0,0.0,0.0,0.0,-48.0,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-105.0,-205.0,-84.0,-119.0,-106.0,2.0,-15.0,2.0,2.0,0.0,-4.0,13.0,3.0,
09/30/2009,435.0,193.0,139.0,-200.0,,,-200.0,303.0,,303.0,0.0,-69.0,-40.0,0.0,,0.0,-40.0,-40.0,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,0.0,-19.0,-358.0,-83.0,-283.0,-1.0,0.0,-282.0,-9.0,,,17.0,36.0,44.0,
12/31/2009,505.0,211.0,144.0,44.0,,-27.0,71.0,106.0,,106.0,0.0,9.0,-59.0,0.0,0.0,0.0,-59.0,-59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,-360.0,-84.0,-288.0,1.0,1.0,-290.0,27.0,27.0,0.0,-15.0,-6.0,148.0,
03/31/2010,-162.0,155.0,141.0,-286.0,,,-286.0,-172.0,,-172.0,0.0,66.0,-38.0,0.0,0.0,0.0,-38.0,-38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,-82.0,-84.0,-23.0,-47.0,25.0,-1.0,23.0,23.0,0.0,2.0,-11.0,-189.0,
06/30/2010,469.0,226.0,136.0,56.0,,,56.0,51.0,,51.0,0.0,-282.0,-63.0,0.0,0.0,0.0,-63.0,-63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-219.0,-68.0,-84.0,3.0,-1.0,30.0,-26.0,13.0,13.0,0.0,0.0,-21.0,98.0,
09/30/2010,420.0,268.0,136.0,-35.0,,,-35.0,51.0,,51.0,0.0,-216.0,-106.0,0.0,0.0,0.0,-106.0,-106.0,0.0,0.0,0.0,0.0,-172.0,0.0,-172.0,0.0,62.0,-76.0,-97.0,-3.0,29.0,0.0,-32.0,-36.0,0.0,-36.0,60.0,18.0,146.0,
12/31/2010,555.0,280.0,138.0,269.0,,37.0,232.0,-132.0,,-132.0,0.0,-580.0,-187.0,0.0,0.0,0.0,-187.0,-187.0,0.0,0.0,0.0,0.0,-50.0,0.0,-50.0,0.0,-343.0,-35.0,-98.0,-24.0,-18.0,0.0,-6.0,157.0,157.0,0.0,-70.0,-2.0,-62.0,
03/31/2011,-304.0,287.0,139.0,-312.0,,,-312.0,-418.0,,-418.0,0.0,266.0,-88.0,0.0,0.0,0.0,-88.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,-106.0,-116.0,2.0,19.0,,-17.0,8.0,58.0,-50.0,0.0,12.0,-132.0,
06/30/2011,351.0,336.0,141.0,-72.0,,,-72.0,-54.0,,-54.0,0.0,-441.0,-133.0,0.0,,,-133.0,-133.0,0.0,0.0,0.0,0.0,-212.0,0.0,-212.0,0.0,-96.0,171.0,-116.0,301.0,-1.0,302.0,0.0,-9.0,9.0,-18.0,-5.0,0.0,81.0,
09/30/2011,642.0,365.0,139.0,-44.0,,,-44.0,182.0,,182.0,0.0,-234.0,-163.0,0.0,,,-163.0,-163.0,0.0,0.0,0.0,0.0,-86.0,0.0,-86.0,0.0,15.0,-394.0,-116.0,-8.0,,,,-271.0,4.0,-275.0,1.0,-18.0,-4.0,
12/31/2011,559.0,362.0,137.0,-56.0,,,-56.0,116.0,,116.0,0.0,-391.0,-184.0,0.0,0.0,0.0,-184.0,-184.0,0.0,0.0,0.0,0.0,-27.0,0.0,-27.0,0.0,-180.0,-52.0,-114.0,0.0,50.0,1.0,-51.0,62.0,62.0,0.0,0.0,-9.0,107.0,
03/31/2012,-98.0,311.0,140.0,-161.0,,,-161.0,-388.0,,-388.0,0.0,141.0,-105.0,0.0,0.0,0.0,-105.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,-69.0,-127.0,-1.0,1.0,0.0,-2.0,56.0,56.0,0.0,3.0,8.0,-18.0,
06/30/2012,469.0,382.0,138.0,5.0,,,5.0,-56.0,,-56.0,0.0,-723.0,-126.0,0.0,0.0,0.0,-126.0,-126.0,0.0,0.0,0.0,0.0,-365.0,0.0,-365.0,0.0,-232.0,414.0,-128.0,583.0,-2.0,600.0,-15.0,9.0,9.0,0.0,-50.0,-2.0,158.0,
09/30/2012,606.0,345.0,141.0,-6.0,,,-6.0,126.0,,126.0,0.0,-275.0,-126.0,0.0,,,-126.0,-126.0,0.0,0.0,0.0,0.0,-189.0,0.0,-189.0,0.0,40.0,-441.0,-129.0,-303.0,-1.0,0.0,-302.0,7.0,7.0,0.0,-16.0,10.0,-100.0,
12/31/2012,687.0,179.0,179.0,-52.0,,,-52.0,381.0,,381.0,0.0,-6115.0,-236.0,0.0,,,-236.0,-236.0,0.0,0.0,0.0,0.0,-6382.0,0.0,-6382.0,0.0,503.0,5576.0,-128.0,5436.0,-115.0,6556.0,-1005.0,203.0,203.0,0.0,65.0,4.0,152.0,
03/31/2013,100.0,378.0,245.0,23.0,,,23.0,-546.0,,-546.0,0.0,773.0,-122.0,0.0,0.0,0.0,-122.0,-122.0,0.0,0.0,0.0,0.0,769.0,761.0,8.0,0.0,126.0,-810.0,-194.0,-687.0,0.0,0.0,-687.0,72.0,72.0,0.0,-1.0,-1.0,62.0,
06/30/2013,609.0,494.0,245.0,-29.0,,,-29.0,-101.0,,-101.0,0.0,-167.0,-129.0,0.0,,0.0,-129.0,-129.0,0.0,0.0,0.0,0.0,-19.0,0.0,-19.0,0.0,-19.0,-440.0,-203.0,-262.0,,28.0,-290.0,28.0,28.0,0.0,-3.0,-13.0,-11.0,
09/30/2013,704.0,510.0,250.0,110.0,,,110.0,-166.0,,-166.0,0.0,-463.0,-121.0,0.0,,0.0,-121.0,-121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342.0,-235.0,-200.0,-57.0,,,,22.0,22.0,0.0,0.0,8.0,14.0,
12/31/2013,872.0,479.0,257.0,-353.0,,,-353.0,489.0,,489.0,0.0,-345.0,-242.0,0.0,0.0,0.0,-242.0,-242.0,0.0,0.0,0.0,0.0,18.0,16.0,2.0,0.0,-121.0,-251.0,-199.0,-81.0,0.0,3.0,-84.0,31.0,31.0,0.0,-2.0,-3.0,273.0,
03/31/2014,12.0,439.0,249.0,-306.0,-20.0,-24.0,-262.0,-370.0,,-370.0,0.0,304.0,-110.0,0.0,0.0,0.0,-110.0,-110.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,411.0,-443.0,-229.0,-257.0,0.0,0.0,-257.0,43.0,43.0,0.0,0.0,-4.0,-131.0,
06/30/2014,633.0,171.0,250.0,-274.0,,-232.0,-42.0,486.0,,486.0,0.0,-156.0,-126.0,0.0,,0.0,-126.0,-126.0,0.0,0.0,0.0,0.0,270.0,270.0,0.0,0.0,-300.0,-635.0,-238.0,-319.0,,,-319.0,-78.0,21.0,-99.0,0.0,5.0,-153.0,
09/30/2014,289.0,602.0,244.0,-50.0,,-30.0,-20.0,-507.0,,-507.0,0.0,145.0,-142.0,0.0,,0.0,-142.0,-142.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,278.0,-402.0,-233.0,-4.0,,,-4.0,-162.0,6.0,-168.0,-3.0,-8.0,24.0,
12/31/2014,944.0,581.0,240.0,64.0,,-96.0,160.0,59.0,,59.0,0.0,-150.0,-254.0,0.0,0.0,0.0,-254.0,-254.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,102.0,-650.0,-229.0,-2.0,,,,-379.0,4.0,-383.0,-40.0,-18.0,126.0,
03/31/2015,77.0,466.0,226.0,-243.0,0.0,14.0,-257.0,-372.0,,-372.0,0.0,-53.0,-105.0,0.0,0.0,0.0,-105.0,-105.0,0.0,0.0,0.0,0.0,-38.0,-38.0,0.0,0.0,90.0,-127.0,-251.0,263.0,,,,-137.0,33.0,-170.0,-2.0,-15.0,-118.0,
06/30/2015,579.0,535.0,234.0,-56.0,,-43.0,-13.0,-134.0,,-134.0,0.0,-154.0,-141.0,0.0,0.0,0.0,-141.0,-141.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-14.0,-785.0,-263.0,-530.0,,,,13.0,13.0,0.0,-5.0,0.0,-360.0,
09/30/2015,973.0,446.0,232.0,-27.0,,-72.0,45.0,322.0,,322.0,0.0,-166.0,-122.0,0.0,0.0,0.0,-122.0,-122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.0,-677.0,-257.0,-137.0,,,,-282.0,2.0,-284.0,-1.0,-15.0,115.0,
12/31/2015,742.0,532.0,233.0,34.0,-1.0,1.0,34.0,-57.0,,-57.0,0.0,-202.0,-138.0,0.0,0.0,0.0,-138.0,-138.0,0.0,0.0,0.0,0.0,-34.0,0.0,-34.0,0.0,-30.0,-678.0,-255.0,-198.0,,,,-223.0,5.0,-228.0,-2.0,-12.0,-150.0,
03/31/2016,388.0,404.0,233.0,47.0,,-13.0,60.0,-296.0,,-296.0,0.0,-159.0,-111.0,0.0,0.0,0.0,-111.0,-111.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-49.0,-177.0,-256.0,177.0,,,,-83.0,17.0,-100.0,-15.0,13.0,65.0,
