Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Property Additions,Property Improvements,Change in Investments,Change in Notes,Change in Mortgages,Change in Real Estate Interest,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Preferred Dividends Other Distributions,Proceeds from Repayments of Borrowings,Change in Secured Debt,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
06/30/2004,73.674,-65.197,,125.349,13.522,,0.0,0.0,-7.834,173.17,0.0,0.0,0.0,-8.457,156.879,-131.395,,,-69.274,-69.274,4.509,,-66.63,99.158,
09/30/2004,43.773,-60.122,,125.405,-21.51,,0.0,0.0,-9.946,169.813,0.0,0.0,0.0,-7.279,152.588,-267.384,,,-101.857,-101.857,14.68,,-180.207,-71.023,
12/31/2004,67.537,-81.907,,152.137,-2.693,,0.0,0.0,-13.569,-168.033,,0.0,0.0,2.928,-178.674,199.861,,,22.934,22.934,17.096,,159.831,88.724,
03/31/2005,92.555,-31.561,,109.829,14.287,,0.0,0.0,-15.881,-0.31,0.0,0.0,0.0,-7.292,-23.483,-161.832,,,-169.086,-169.086,7.5,,-0.246,-92.76,
06/30/2005,72.454,-36.151,,113.859,-5.254,,0.0,0.0,-20.645,-0.277,0.0,0.0,0.0,-0.537,-21.459,-88.17,,,-91.102,-91.102,3.267,,-0.335,-37.175,
09/30/2005,95.195,-22.08,,138.74,-21.465,,0.0,0.0,-22.702,-0.512,0.0,0.0,0.0,32.772,9.558,-81.216,,,-116.262,-116.262,35.27,,-0.224,23.537,
12/31/2005,137.0,-91.567,,229.672,-1.105,,0.0,0.0,-29.409,0.374,,0.0,0.0,-16.115,-45.15,-88.308,,,-29.994,-29.994,19.32,,-77.634,3.542,
03/31/2006,151.696,-1.937,,168.128,-14.495,,0.0,0.0,-28.376,-0.05,0.0,0.0,0.0,0.912,-27.514,-151.31,,,-3.024,-3.024,16.179,-162.68,-1.785,-27.128,
06/30/2006,140.945,7.664,,158.021,-24.74,,0.0,0.0,-28.668,-0.284,0.0,0.0,0.0,-11.946,-40.898,-95.166,,,12.683,12.683,19.183,-126.779,-0.253,4.881,
09/30/2006,182.528,3.472,,164.031,15.025,,0.0,0.0,-33.618,0.088,0.0,0.0,0.0,4.675,-28.855,-36.925,,,-40.086,-40.086,3.418,0.0,-0.257,116.748,
12/31/2006,145.569,18.933,,133.441,-6.805,,0.0,0.0,-36.436,0.126,,0.0,0.0,4.465,-31.845,-39.662,,,-23.333,-23.333,2.16,-17.397,-1.092,74.062,
03/31/2007,171.387,22.228,,169.011,-19.852,,0.0,0.0,-31.445,0.065,0.0,0.0,0.0,-0.966,-32.346,-373.154,,,84.151,84.151,46.845,-499.013,-5.137,-234.113,
06/30/2007,210.777,-19.991,,218.672,12.096,,0.0,0.0,-36.141,-26.301,0.0,0.0,0.0,3.251,-59.191,14.284,,,404.163,404.163,55.018,-414.224,-30.673,165.87,
09/30/2007,181.637,59.628,,133.535,-11.526,,0.0,0.0,-39.38,16.462,0.0,0.0,0.0,-2.911,-25.829,-286.094,,,49.92,49.92,8.552,-339.465,-5.101,-130.286,
12/31/2007,128.878,-5.549,,128.911,5.516,,0.0,0.0,-47.415,31.937,0.0,0.0,0.0,-53.336,-68.814,-109.676,,,274.948,274.948,13.672,-390.119,-8.177,-49.612,
03/31/2008,182.382,42.155,97.072,49.966,-6.811,,0.0,0.0,-44.625,2.07,0.0,0.0,0.0,-26.176,-68.731,-25.141,,,149.36,149.36,11.644,-182.75,-3.395,88.51,
06/30/2008,176.751,158.786,99.697,-54.468,-27.264,,,,-52.693,-3.919,0.0,,,-3.605,-60.217,-86.037,,,-0.686,-0.686,28.732,-113.816,-0.267,30.497,
09/30/2008,403.944,60.466,204.086,105.444,-124.838,,0.0,0.0,-120.569,-0.227,0.0,0.0,0.0,-4.01,-122.736,-336.606,,,48.711,48.711,64.266,-449.151,-149.792,-55.398,
12/31/2008,186.932,85.839,104.174,-92.323,89.242,,0.0,0.0,-78.29,3.53,0.0,0.0,0.0,-8.713,-83.473,-26.617,,,49.476,49.476,7.018,-82.754,-0.357,76.842,
03/31/2009,205.738,58.601,99.868,63.021,-15.752,,0.0,0.0,-49.627,1.12,0.0,0.0,0.0,-0.001,-48.508,2.731,,,-1.155,-1.155,8.898,-4.661,-0.351,159.961,
06/30/2009,203.608,56.289,102.463,60.422,-15.566,,0.0,0.0,-64.227,-8.176,0.0,0.0,0.0,-90.87,-163.273,-19.736,,,43.671,43.671,7.203,-61.084,-9.526,20.599,
09/30/2009,240.053,67.355,105.543,74.407,-7.252,,0.0,0.0,-68.573,2.727,0.0,0.0,0.0,-66.754,-132.6,-201.416,,,-97.16,-97.16,19.886,-123.925,-0.217,-93.963,
12/31/2009,192.727,64.35,106.745,46.457,-24.825,,0.0,0.0,-67.835,13.432,0.0,0.0,0.0,-144.282,-198.685,23.577,,,23.445,23.445,29.986,-23.618,-6.236,17.619,
03/31/2010,253.649,96.318,110.835,48.355,-1.859,,0.0,0.0,-55.057,-8.211,0.0,0.0,0.0,-87.412,-150.68,2.625,0.0,0.0,14.291,14.291,47.469,-58.836,-0.299,105.594,
06/30/2010,262.747,99.665,110.403,53.28,-0.92,,0.0,0.0,-77.453,-15.848,0.0,0.0,0.0,-42.929,-136.23,-176.511,0.0,0.0,-78.351,-78.351,42.61,-141.695,0.925,-49.994,
09/30/2010,258.223,93.439,115.383,83.666,-33.946,,0.0,0.0,-95.97,-25.656,0.0,0.0,0.0,-450.624,-572.25,383.012,0.0,0.0,498.342,498.342,32.263,-149.921,2.328,68.985,
12/31/2010,246.358,83.514,124.105,91.565,-52.826,,0.0,0.0,-118.184,19.24,0.0,0.0,0.0,-342.798,-441.742,707.469,0.0,0.0,780.913,780.913,16.166,-80.166,-9.444,512.085,
03/31/2011,283.816,91.842,131.231,65.812,-5.069,,0.0,0.0,-97.901,37.152,0.0,0.0,0.0,-613.781,-674.53,-130.426,0.0,0.0,-25.54,-25.54,10.173,-127.723,12.664,-521.14,
06/30/2011,275.522,115.211,138.558,58.095,-36.342,,0.0,0.0,-138.679,9.572,0.0,0.0,0.0,-253.65,-382.757,76.954,0.0,0.0,129.351,129.351,30.055,-103.86,21.408,-30.281,
09/30/2011,290.66,-15.701,142.113,193.618,-29.37,,0.0,0.0,-160.508,-1.913,0.0,0.0,0.0,-339.923,-502.344,56.648,0.0,0.0,151.025,151.025,20.698,-159.515,44.44,-155.036,
12/31/2011,315.944,205.11,143.615,-41.062,8.281,,0.0,0.0,-125.927,-17.43,0.0,0.0,0.0,-1087.824,-1231.181,1067.922,-137.765,0.0,1194.988,1194.988,24.716,-46.304,32.287,152.685,
03/31/2012,402.017,221.306,149.655,-26.245,57.301,,0.0,0.0,-121.032,-8.99,0.0,0.0,0.0,-161.274,-291.296,30.346,0.0,0.0,38.626,38.626,15.615,-20.665,-3.23,141.067,
06/30/2012,360.858,48.209,172.072,140.033,0.544,,0.0,0.0,-105.37,3.793,0.0,0.0,0.0,-374.036,-475.613,125.434,-82.881,0.0,177.412,177.412,15.519,-6.512,21.896,10.679,
09/30/2012,353.672,232.089,144.061,-20.211,-2.267,,0.0,0.0,-150.624,33.563,0.0,0.0,0.0,-290.296,-407.357,-45.94,-86.935,0.0,21.496,21.496,22.135,0.0,-2.636,-99.625,
12/31/2012,297.844,135.679,178.488,45.665,-61.988,,0.0,0.0,-191.022,-5.99,0.0,0.0,0.0,-1187.107,-1384.119,1072.581,-185.758,0.0,1256.605,1256.605,12.616,-45.995,35.113,-13.694,
03/31/2013,394.036,171.407,185.804,38.375,-1.55,,0.0,0.0,-123.905,-7.5,0.0,0.0,0.0,-245.223,-376.628,55.68,0.0,0.0,43.872,43.872,6.14,-12.48,18.148,73.088,
06/30/2013,390.485,99.821,184.608,136.789,-30.733,,0.0,0.0,-156.7,-1.403,0.0,0.0,0.0,-67.043,-225.146,-158.598,-102.984,0.0,15.045,15.045,13.612,-62.145,-22.126,6.741,
09/30/2013,359.922,180.123,184.922,34.617,-39.74,,0.0,0.0,-167.644,-13.432,0.0,0.0,0.0,-175.788,-356.864,3588.848,-106.727,0.0,3749.198,3749.198,13.221,-70.387,3.543,3591.906,
12/31/2013,454.604,99.982,244.811,56.283,53.528,,0.0,0.0,-276.283,16.782,0.0,0.0,0.0,-3955.198,-4214.699,13.318,-224.976,0.0,243.479,243.479,12.523,0.0,-17.708,-3746.777,
03/31/2014,476.582,202.499,245.763,20.716,7.604,,0.0,0.0,-213.891,-13.035,0.0,0.0,0.0,-64.13,-291.056,-145.663,-0.554,0.0,-144.131,-144.131,13.795,0.0,-14.773,39.863,
06/30/2014,595.8,234.431,245.427,50.67,65.272,,0.0,0.0,-252.356,19.138,0.0,0.0,0.0,-312.531,-545.749,-100.531,-126.715,0.0,-568.691,-568.691,600.269,0.0,-5.394,-50.48,
09/30/2014,497.224,207.593,249.066,39.779,0.786,,0.0,0.0,-257.106,-13.393,0.0,0.0,0.0,3.894,-266.605,-217.965,-134.644,-8.138,-18.502,-18.502,16.979,0.0,-73.66,12.654,
12/31/2014,564.983,180.387,263.546,37.446,83.604,,0.0,0.0,-251.051,46.805,0.0,0.0,0.0,-641.892,-846.138,299.034,-142.718,-7.875,521.501,521.501,14.338,-59.111,-27.101,17.879,
03/31/2015,509.93,193.317,263.52,102.07,-48.977,,0.0,0.0,-159.184,-9.873,0.0,0.0,0.0,-5080.362,-5249.419,4749.397,-152.037,-7.875,1159.229,1159.229,3783.505,0.0,-33.425,9.908,
06/30/2015,526.53,156.056,328.356,109.459,-67.341,,0.0,0.0,-151.938,-24.696,0.0,0.0,0.0,-653.387,-830.021,254.793,-177.729,-23.21,430.869,430.869,12.132,0.0,12.731,-48.698,
09/30/2015,507.155,102.999,341.096,80.967,-17.907,,0.0,0.0,-206.896,25.463,0.0,0.0,0.0,-943.404,-1124.837,630.384,-186.246,-26.781,834.496,834.496,11.96,0.0,-3.045,12.702,
12/31/2015,623.285,232.702,352.328,55.53,-17.275,,0.0,0.0,-210.782,18.606,0.0,0.0,0.0,-345.247,-537.423,-70.574,-194.888,-26.734,153.706,153.706,21.303,0.0,-23.961,15.288,
03/31/2016,563.512,275.159,341.634,46.678,-99.959,,0.0,0.0,-154.222,1.184,0.0,0.0,0.0,-32.478,-185.516,-362.279,-209.984,-26.781,-118.282,-118.282,14.582,0.0,-21.814,15.717,
06/30/2016,747.804,187.55,397.765,67.004,95.485,,0.0,0.0,-165.205,1.417,0.0,0.0,0.0,-1194.097,-1357.885,684.216,-216.58,-26.782,892.074,892.074,45.779,0.0,-10.275,74.135,
09/30/2016,667.115,264.509,397.999,86.158,-81.551,,0.0,0.0,-155.747,1.858,0.0,0.0,0.0,-88.912,-242.801,-304.494,-225.402,-26.781,-61.233,-61.233,16.24,0.0,-7.318,119.82,
12/31/2016,723.269,229.207,388.202,125.635,-19.775,,0.0,0.0,-207.326,7.841,0.0,0.0,0.0,-116.613,-316.098,-143.243,-234.134,-26.756,-123.159,-123.159,15.899,0.0,224.907,263.928,
03/31/2017,678.2,316.1,421.1,37.6,-96.6,,0.0,0.0,-168.1,3.8,0.0,0.0,0.0,-756.0,-920.3,163.9,-250.4,-26.8,301.8,301.8,36.9,-147.2,249.6,-78.2,
06/30/2017,789.703,367.051,396.36,42.535,-16.243,,0.0,0.0,-203.362,3.449,0.0,0.0,0.0,-94.293,-294.206,-444.314,-264.464,-26.819,297.633,297.633,45.667,-494.227,-2.104,51.183,
09/30/2017,668.697,317.248,432.34,99.766,-180.657,,0.0,0.0,-183.538,2.851,0.0,0.0,0.0,-115.307,-295.994,-327.486,-274.636,-18.881,-24.033,-24.033,23.133,-28.273,-4.796,45.217,
12/31/2017,789.0,238.501,466.1,143.099,-58.7,,0.0,0.0,-248.6,4.6,0.0,0.0,0.0,-1046.4,-1290.4,501.6,-283.5,-18.9,898.3,898.3,14.0,-96.6,-11.7,0.2,
03/31/2018,791.8,285.2,446.3,134.6,-74.3,,0.0,0.0,-198.5,-394.1,0.0,0.0,0.0,-688.0,-1280.6,812.8,-304.3,-18.9,1163.4,1163.4,20.0,0.0,-47.4,324.0,
06/30/2018,940.0,306.7,449.7,141.7,41.9,,0.0,0.0,-226.4,335.8,0.0,0.0,0.0,-671.8,-562.4,-686.4,-331.3,0.0,-172.6,-172.6,20.2,-98.6,-104.1,-308.8,
09/30/2018,753.3,366.9,448.9,634.6,-105.2,,0.0,0.0,-185.5,83.1,0.0,0.0,0.0,-109.7,-212.1,-160.7,-339.5,0.0,178.2,178.2,13.9,-82.6,69.3,380.5,
12/31/2018,1263.2,277.6,765.9,-495.8,123.6,,0.0,0.0,-302.8,73.1,0.0,0.0,0.0,-464.7,-694.4,-614.5,-348.4,0.0,-208.9,-208.9,44.8,-51.6,-50.4,-45.7,
03/31/2019,785.1,397.4,436.9,101.9,-151.1,,0.0,0.0,-220.8,-6.6,0.0,0.0,0.0,-95.9,-323.3,-667.0,-377.1,,215.7,215.7,27.2,0.0,-532.8,-205.2,
06/30/2019,1036.6,429.1,448.9,126.1,32.5,,0.0,0.0,-243.5,19.4,0.0,0.0,0.0,-43.3,-267.4,-582.9,-398.0,0.0,-200.2,-200.2,29.4,0.0,-14.1,186.3,
09/30/2019,937.2,498.6,730.3,-168.3,-123.4,,0.0,0.0,-260.3,365.6,0.0,0.0,0.0,-915.4,-810.1,35.2,-407.1,0.0,450.8,450.8,36.1,0.0,-44.6,162.3,
12/31/2019,993.7,562.7,449.8,-10.4,-8.4,,0.0,0.0,-266.7,-350.8,0.0,0.0,0.0,-1969.2,-2586.7,1722.7,-420.8,0.0,2214.1,2214.1,12.8,-19.6,-63.8,129.7,
03/31/2020,800.0,415.0,472.3,168.5,-255.8,,0.0,0.0,-214.4,5.8,0.0,0.0,0.0,-44.8,-253.4,-724.3,-454.9,0.0,503.6,503.6,11.1,-39.7,-744.4,-177.7,
06/30/2020,988.8,446.1,454.9,116.8,-29.0,,0.0,0.0,-210.5,3.5,0.0,0.0,0.0,-178.4,-385.4,102.4,-478.9,,606.7,606.7,23.2,-16.3,-32.3,705.8,
