Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Margins,EBITDA Margin,Operating Margin,Incremental Operating Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
09/30/2001,,14.302608,3.932413,4.953527,,,,47.863663,10.400472,31.284719,24.73896,16.454958,,,,,
12/31/2001,,12.889701,3.825498,4.908485,,,,46.175812,4.331234,30.098226,23.929761,15.854829,,0.0,158.493804,-7.539676,
03/31/2002,,12.255548,3.798128,4.86059,,,,45.241802,7.717585,30.944381,28.015359,19.826506,,0.0,167.536215,-8.276933,
06/30/2002,,11.024925,3.432836,4.463709,,,,47.068677,,37.557506,27.418784,19.064808,,0.0,127.794385,-3.06431,
09/30/2002,,13.316224,3.503145,4.529885,7.638515,,,48.538031,54.467721,32.428539,27.478908,27.478908,,0.0,101.858007,-0.247416,
12/31/2002,,13.893201,3.866813,4.890541,7.7417,,,41.712987,1.360617,33.126714,31.597871,24.673801,,0.0,125.055769,-3.481048,
03/31/2003,,11.193602,3.573021,4.328011,6.714562,,,48.772495,66.405519,40.148257,37.439649,25.857108,,0.577281,109.581932,-1.072563,
06/30/2003,,15.960858,4.970928,5.634649,,,,47.145304,47.319679,57.763446,56.054808,46.825703,,,,,
09/30/2003,,15.966778,5.330454,5.878558,,,,47.31372,43.644511,34.853308,34.361471,20.070379,,1.841523,145.325076,-7.236954,
12/31/2003,,21.975195,7.152751,7.670935,,,,34.211261,12.041241,73.666966,72.92801,64.474241,,0.422391,48.809157,11.249287,
03/31/2004,,19.315541,6.444441,6.823898,,,,46.425603,36.317426,44.039769,40.201379,31.807423,,1.191702,90.503213,1.834356,
06/30/2004,,17.581221,5.564156,5.878661,8.101557,,,46.928223,45.936025,59.02034,58.370819,58.370819,,0.251139,50.348201,8.729392,
09/30/2004,,19.260903,5.58416,5.924825,8.360165,,68.658198,46.01227,41.460343,27.287885,28.203039,28.203039,,2.0133,124.907723,-4.797453,
12/31/2004,,16.757678,5.664474,6.057122,8.61938,,66.286681,42.266154,72.904788,51.255152,55.450144,46.743926,,,89.205566,1.808896,
03/31/2005,,19.914799,6.205894,6.590315,9.126015,,,43.648495,35.952,61.53439,61.397692,53.374983,,0.157619,64.393031,7.091056,
06/30/2005,,15.142592,4.884121,5.185403,7.459104,,,46.553397,44.529946,37.35073,38.549993,30.725854,,0.600864,114.938156,-2.262024,
09/30/2005,,16.152578,5.05939,5.394456,,,67.237729,44.971865,37.659898,28.380968,33.582372,33.582372,,,121.135799,-3.413977,
