Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
10/26/1991,4200,,,-2712,,1488,,-1225,,,,,263,-78,,78.0,,0.0,0.0,185,-69,116,0.0,,,116,0.0,116,0.0,,116,116.0,,233.600006,0.465,0.465,,233.600006,0.465,0.465,0.465,
01/25/1992,5653,,,-3694,,1959,,-1378,,,,,581,-474,,101.0,,0.0,373.0,107,-70,37,0.0,,,37,0.0,37,-17.0,,20,20.0,,233.281006,0.085,0.085,0.085,233.281006,0.085,0.085,0.085,
04/25/1992,4075,,,-2592,,1483,,-1195,,,,,288,-69,,69.0,,0.0,0.0,219,-83,136,0.0,,,136,0.0,136,0.0,,136,136.0,,234.0,0.545,0.545,,234.0,0.545,0.545,0.545,
07/25/1992,4052,,,-2652,,1400,,-1208,,,,,192,-61,,61.0,,0.0,0.0,131,-51,80,0.0,,,80,0.0,80,-16.0,,64,64.0,,209.83606,0.305,0.305,,209.83606,0.305,0.305,0.305,
10/24/1992,4603,,,-2978,,1625,,-1261,,,,,364,-61,,61.0,,0.0,0.0,303,-117,186,0.0,,,186,0.0,186,0.0,,186,186.0,,248.0,0.75,0.75,,248.0,0.75,0.75,0.75,
01/30/1993,6355,,,-4186,,2169,,-1496,,,,,673,-67,,119.0,,0.0,-52.0,606,-231,375,0.0,,,375,0.0,375,-17.0,,358,358.0,,230.967742,1.55,1.55,1.55,230.967742,1.55,1.55,1.55,
05/01/1993,3964,,,-2724,,1240,,-1187,,,,,53,223,,62.0,,0.0,-285.0,276,-104,172,-34.0,,,206,0.0,206,-21.0,,185,185.0,,225.600006,0.82,0.67,,225.600006,0.82,0.67,0.67,
07/31/1993,3963,,,-2706,,1257,,-1192,,,,,65,116,,59.0,,0.0,-175.0,181,-69,112,0.0,,,112,0.0,112,0.0,,112,112.0,,260.5,0.43,0.43,,260.5,0.43,0.43,0.43,
10/30/1993,4735,,,-3139,,1596,,-1315,,,,,281,113,,57.0,,0.0,-170.0,394,-173,221,36.0,,,185,0.0,185,0.0,,185,185.0,,253.399994,0.73,0.87,,253.399994,0.73,0.87,0.87,
01/29/1994,6321,,,-4428,,1893,,-814,,,,,1079,-376,,,,0.0,376.0,703,-264,439,2.0,,,437,0.0,437,-19.0,,418,418.0,,240.0,1.74,1.75,1.75,240.0,1.74,1.75,1.75,
04/30/1994,4350,,,-2955,,1395,,-1218,,,,,177,186,,,,0.0,-186.0,363,-140,223,0.0,,,223,0.0,223,-10.0,,213,213.0,,240.300003,0.88,0.88,,240.300003,0.88,0.88,0.88,
07/30/1994,4242,,,-2960,,1282,,-1079,,,,,203,12,,,,0.0,-12.0,215,-83,132,0.0,,,132,0.0,132,-10.0,,122,122.0,,259.399994,0.52,0.52,,259.399994,0.52,0.52,0.52,
10/29/1994,5149,,,-3488,,1661,,-1345,,,,,316,131,,48.0,,0.0,-179.0,447,-173,274,0.0,,,274,0.0,274,-11.0,,263,263.0,,236.800003,1.11,1.11,,236.800003,1.11,1.11,1.11,
01/28/1995,6639,,,-4567,,2072,,-1141,,,,,931,-257,,45.0,,0.0,212.0,674,-246,428,0.0,,,428,0.0,428,-9.0,,419,419.0,,234.199997,1.78,1.78,1.78,234.199997,1.78,1.78,1.78,
04/29/1995,4367,,,-2997,,1370,,-1297,,,,,73,180,,17.0,,0.0,-197.0,253,-97,156,0.0,,,156,0.0,156,-10.0,,146,146.0,,231.899994,0.63,0.63,,231.899994,0.63,0.63,0.63,
07/29/1995,4435,,,-3143,,1292,,-1314,,,,,-22,208,,,,0.0,-208.0,186,-70,116,0.0,,,116,0.0,116,-11.0,,105,105.0,,230.199997,0.46,0.46,,230.199997,0.46,0.46,0.46,
10/28/1995,5128,,,-3536,,1592,,-1374,,,,,218,166,,58.0,,0.0,-224.0,384,-144,240,0.0,,,240,0.0,240,-18.0,,222,222.0,,228.199997,1.0,1.0,,228.199997,1.0,1.0,1.0,
01/27/1996,6632,,,-4657,,1975,,-910,,,,,1065,-547,,108.0,,0.0,439.0,518,-192,326,0.0,,,326,0.0,326,-9.0,,317,317.0,,227.0,1.39,1.39,,227.0,1.39,1.39,1.39,
04/27/1996,4644,,,-3262,,1382,,-1154,,,,,228,-1,,75.0,,0.0,-74.0,227,-85,142,0.0,,,142,0.0,142,-10.0,,132,132.0,,227.199997,0.58,0.58,0.58,247.199997,0.57,0.57,0.57,
07/27/1996,4708,,,-3349,,1359,,-1160,,,,,199,-49,,62.0,,0.0,-13.0,150,-57,93,0.0,,,93,0.0,93,-10.0,,83,83.0,,227.800003,0.37,0.37,0.37,247.600006,0.37,0.37,0.37,
10/26/1996,5745,,,-3998,,1747,,-1251,,,,,496,-119,,92.0,,0.0,27.0,377,-141,236,0.0,,,236,0.0,236,-10.0,,226,226.0,,229.199997,0.98,0.98,1.06,248.800003,0.95,0.95,1.03,
01/25/1997,8374,,,-6081,,2293,,-1697,,,,,596,-441,,130.0,,0.0,311.0,155,-61,94,0.0,,,94,0.0,94,-10.0,,84,84.0,,230.0,0.36,0.36,1.23,230.0,0.36,0.36,1.2,
04/26/1997,6705,,,-4849,,1856,,-1514,,,,,342,-114,,135.0,,0.0,-21.0,228,-89,139,0.0,,,139,0.0,139,-10.0,,129,129.0,,240.0,0.54,0.54,0.54,261.200012,0.53,0.53,0.53,
07/26/1997,6649,,,-4886,,1763,,-1471,,,,,292,-145,,122.0,,0.0,23.0,147,-57,90,0.0,,,90,0.0,90,-10.0,,80,80.0,,249.0,0.31,0.31,0.38,269.0,0.31,0.31,0.38,
10/25/1997,7440,,,-5351,,2089,,-1554,,,,,535,-351,,152.0,,0.0,199.0,184,-71,113,0.0,,,113,0.0,113,-10.0,,103,103.0,,250.0,0.42,0.42,0.87,270.0,0.4,0.4,0.85,
01/31/1998,9752,,,-7007,,2745,,-1917,,,,,828,-462,,239.0,,0.0,223.0,366,-142,224,0.0,,,224,0.0,224,-10.0,,214,214.0,,252.0,0.85,0.85,1.36,271.0,0.85,0.85,1.36,
05/02/1998,7052,,,-5095,,1957,,-1586,,,,,371,-87,,148.0,,0.0,-61.0,284,-110,174,0.0,,,174,0.0,174,-10.0,,164,164.0,,252.199997,0.65,0.65,0.65,272.0,0.64,0.64,0.64,
08/01/1998,6761,,,-5072,,1689,,-1488,,,,,201,-156,,115.0,,0.0,41.0,45,-18,27,0.0,,,27,0.0,27,-8.0,,19,19.0,,254.0,0.08,0.08,0.35,272.0,0.08,0.08,0.35,
10/31/1998,7549,,,-5476,,2073,,-1637,,,,,436,-132,,142.0,,0.0,-10.0,304,-118,186,0.0,,,186,0.0,186,-10.0,,176,176.0,,254.100006,0.69,0.69,0.69,272.299988,0.68,0.68,0.68,
01/31/1999,9316,,,-6907,,2409,,-1932,,,,,477,-155,,258.0,,0.0,-103.0,322,-115,207,0.0,,,207,0.0,207,-10.0,,197,197.0,,254.0,0.78,0.78,0.73,271.0,0.77,0.77,0.72,
05/01/1999,7532,,,-5292,,2240,,-1911,,,,,329,-62,,34.0,,0.0,28.0,267,-100,167,0.0,,,167,0.0,167,-9.0,0.0,158,158.0,,256.0,0.62,0.62,0.62,272.0,0.61,0.61,0.61,
07/31/1999,7310,,,-5278,,2032,,-1895,,,,,137,-77,,63.0,,0.0,14.0,60,-21,39,0.0,,,39,0.0,39,-9.0,0.0,30,30.0,,260.0,0.12,0.12,0.12,260.0,0.12,0.12,0.12,
10/30/1999,7834,,,-5495,,2339,,-2026,,,,,313,-94,,83.0,,0.0,11.0,219,-77,142,0.0,,,142,0.0,142,-9.0,0.0,133,133.0,,260.0,0.51,0.51,0.51,276.0,0.51,0.51,0.51,
01/29/2000,9067,,,-6221,,2846,,-2897,,,,,-51,-217,,495.0,,0.0,-278.0,-268,94,-174,-162.0,,,-12,0.0,-12,-34.0,0.0,-46,-46.0,,260.700012,-0.18,-0.18,-0.18,276.0,-0.18,-0.18,-0.18,
04/29/2000,7528,,,-5304,,2224,,-2130,2087.0,,,43.0,94,-345,113.0,113.0,,0.0,232.0,-251,95,-156,-38.0,-38.0,,-118,0.0,-118,-8.0,0.0,-126,-126.0,144.072,261.0,-0.48,-0.63,-0.08,261.0,-0.48,-0.63,-0.08,
07/29/2000,7207,,,-5102,,2105,,-2057,2024.0,,,33.0,48,-77,102.0,102.0,,0.0,-25.0,-29,10,-19,-42.0,-42.0,,23,0.0,23,-8.0,,15,15.0,-15.2,261.0,0.06,-0.1,-0.15,261.0,0.06,-0.1,-0.15,
10/28/2000,7538,,,-5369,,2169,,-2173,2151.0,,,22.0,-4,-107,110.0,110.0,,0.0,-3.0,-111,41,-70,-40.0,-40.0,,-30,0.0,-30,-8.0,0.0,-38,-38.0,-2.019,262.0,-0.15,-0.3,-0.31,262.0,-0.15,-0.3,-0.31,
01/27/2001,9573,,,-7256,,2317,,-2304,,,,,13,-508,102.0,102.0,,0.0,406.0,-495,172,-323,257.0,257.0,,-580,0.0,-580,-8.0,0.0,-588,-588.0,185.317,264.0,-2.24,-1.26,-0.56,264.0,-2.24,-1.26,-0.56,
04/28/2001,7522,,,-5288,,2234,,-2028,,,,,206,-138,98.0,98.0,,0.0,40.0,68,-27,41,0.0,,,41,0.0,41,-8.0,0.0,33,33.0,2.99,263.0,0.13,0.13,0.14,264.0,0.13,0.13,0.14,
07/28/2001,7211,,,-5174,,2037,,-2001,,,,,36,-122,94.0,94.0,,0.0,28.0,-86,33,-53,16.0,16.0,,-69,0.0,-69,-7.0,0.0,-76,-76.0,4.314,263.0,-0.29,-0.23,-0.21,263.0,-0.29,-0.23,-0.21,
10/27/2001,7729,,,-5446,,2283,,-2120,2105.0,,,15.0,163,-112,93.0,93.0,,0.0,19.0,51,-20,31,0.0,,,31,0.0,31,-7.0,0.0,24,24.0,1.216,264.0,0.09,0.09,0.09,268.0,0.09,0.09,0.09,
01/26/2002,9542,,,-6881,,2661,,-2356,,,,,305,-135,101.0,101.0,,0.0,34.0,170,-75,95,0.0,0.0,,95,0.0,95,-7.0,0.0,88,88.0,3.912,262.0,0.32,0.32,0.33,270.0,0.32,0.32,0.33,
04/27/2002,7728,,,-5375,,2353,,-2106,2096.0,,,10.0,247,-112,102.0,102.0,,0.0,10.0,135,-49,86,0.0,,,86,0.0,86,-7.0,0.0,79,79.0,1.27,266.0,0.3,0.3,0.3,292.0,0.29,0.29,0.29,
07/27/2002,7198,,,-5063,,2135,,-2052,2040.0,,,12.0,83,-92,92.0,92.0,,0.0,0.0,-9,3,-6,0.0,,,-6,0.0,-6,-7.0,0.0,-13,-13.0,-1.27,268.0,-0.05,-0.05,-0.05,268.0,-0.05,-0.05,-0.05,
10/26/2002,7872,,,-5470,,2402,,-2165,2153.0,,,12.0,237,-97,97.0,97.0,,0.0,0.0,140,-51,89,-34.0,,,123,0.0,123,-6.0,0.0,117,117.0,0.0,268.0,0.44,0.31,0.31,292.0,0.42,0.3,0.3,
01/25/2003,5743,,,-3793,,1950,,-1601,,,,,349,-105,-65.0,62.0,,0.0,170.0,242,-70,116,-28.0,,,200,0.0,202,-7.0,0.0,195,195.0,0.0,266.0,0.73,0.63,0.63,294.0,0.68,0.58,0.58,
04/26/2003,7493,,,-5167,,2326,,-2118,2125.0,,,-7.0,208,-114,104.0,104.0,,0.0,10.0,94,-33,61,0.0,,,61,0.0,61,-7.0,0.0,54,54.0,0.0,270.0,0.2,0.2,0.2,273.0,0.2,0.2,0.2,
07/26/2003,7313,,,-5166,,2147,0.0,-2039,2042.0,,,-3.0,108,-108,108.0,108.0,,0.0,0.0,0,0,0,0.0,,,0,0.0,0,-6.0,0.0,-6,-6.0,0.0,271.0,-0.02,-0.02,-0.02,271.0,-0.02,-0.02,-0.02,
10/25/2003,7985,,,-5483,,2502,,-2274,2261.0,,,13.0,228,-107,107.0,107.0,,0.0,0.0,121,-41,80,0.0,,,80,0.0,80,-6.0,0.0,74,74.0,0.0,272.0,0.27,0.27,0.27,298.0,0.27,0.27,0.27,
01/31/2004,6098,,,-3910,,2188,,-1743,1743.0,,,0.0,445,-62,62.0,62.0,,0.0,0.0,383,-130,253,1322.0,,,-1069,0.0,-1069,-6.0,0.0,-1075,-1075.0,0.0,273.3,-3.91,0.93,0.93,311.1,-3.91,0.83,0.83,
05/01/2004,4033,,,-2418,,1615,,-1386,,,,,229,-49,57.0,57.0,,,-8.0,180,-62,118,77.0,,,41,,41,-6.0,,35,35.0,,278.0,0.13,0.4,0.4,306.0,0.13,0.38,0.38,
07/31/2004,3857,,,-2414,,1443,,-1287,,,,,156,-44,98.0,98.0,,,-54.0,112,-40,72,71.0,,,1,,1,-6.0,,-5,-5.0,,283.0,-0.02,0.23,0.23,287.0,-0.02,0.23,0.23,
10/30/2004,4461,,,-2640,,1821,,-1475,,,,,346,-118,71.0,,,,47.0,228,-79,149,,,,149,,149,,,149,149.0,,279.0,0.53,0.53,0.53,309.0,0.5,0.5,0.5,
01/29/2005,5955,,,-3748,,2207,,-1635,,,,,572,-78,,53.0,,0.0,25.0,494,-170,324,-9.0,,,333,0.0,333,0.0,0.0,333,333.0,,278.2,1.2,1.16,1.14,284.9,1.17,1.14,1.12,
04/30/2005,4118,,,-2424,,1694,,-1386,,,,,308,-40,49.0,49.0,,0.0,-9.0,268,-97,171,-1.0,,,172,0.0,172,0.0,0.0,172,172.0,,271.0,0.63,0.63,0.65,274.0,0.63,0.62,0.64,
07/30/2005,3981,,,-2465,,1516,,-1303,,,,,213,-31,40.0,40.0,0.0,0.0,-9.0,182,-60,122,-9.0,,,131,0.0,131,0.0,0.0,131,131.0,,262.0,0.5,0.46,0.44,265.0,0.5,0.46,0.44,
10/29/2005,4479,,,-2605,,1874,0.0,-1473,1473.0,,,0.0,401,-36,41.0,41.0,0.0,0.0,-5.0,365,-131,234,0.0,,,234,0.0,234,0.0,0.0,234,234.0,,246.0,0.95,0.95,0.95,249.0,0.94,0.94,0.94,
01/28/2006,6203,,,-3911,,2292,,-1637,,,,,655,-26,39.0,39.0,-111.0,0.0,98.0,629,-179,450,-101.0,,,551,0.0,551,0.0,0.0,551,551.0,,232.4,2.37,1.94,1.72,234.9,2.34,1.92,1.71,
04/29/2006,4220,,,-2451,,1769,,-1400,,,,,369,-21,34.0,34.0,0.0,0.0,-13.0,348,-135,213,3.0,,,210,0.0,210,0.0,0.0,210,210.0,,234.0,0.9,0.91,0.88,236.0,0.89,0.9,0.87,
07/29/2006,4238,,,-2655,,1583,,-1303,,,,,280,-32,32.0,32.0,,0.0,0.0,248,-70,178,-1.0,,,179,0.0,179,0.0,0.0,179,179.0,,233.0,0.77,0.76,0.73,235.0,0.76,0.75,0.72,
10/28/2006,4781,,,-2796,,1985,,-1489,,,,,496,-28,36.0,36.0,,0.0,-8.0,468,-182,286,-1.0,,,287,0.0,287,0.0,0.0,287,287.0,,225.0,1.27,1.27,1.25,228.0,1.26,1.26,1.24,
02/03/2007,6664,,,-4129,,2535,0.0,-1779,1662.0,,,117.0,756,-28,28.0,28.0,,0.0,0.0,728,-271,457,-20.0,,,477,0.0,477,0.0,0.0,477,477.0,,225.0,2.12,2.031111,2.021111,228.4,2.09,2.002434,1.99,
05/05/2007,4350,,,-2543,,1807,,-1397,,,,,410,-23,32.0,32.0,,0.0,-9.0,387,-149,238,0.0,,,238,0.0,238,0.0,0.0,238,238.0,,226.0,1.05,1.05,1.03,229.0,1.04,1.04,1.02,
08/04/2007,4391,,,-2717,,1674,0.0,-1345,1243.0,,,102.0,329,-49,37.0,,,,12.0,280,-105,175,-7.0,,,182,0.0,182,0.0,0.0,182,182.0,0.0,223.0,0.82,0.79,0.79,225.0,0.81,0.78,0.78,
11/03/2007,4729,,,-2850,,1879,0.0,-1477,1348.0,,,129.0,402,-32,41.0,41.0,,,-9.0,370,-109,261,0.0,,,261,0.0,261,0.0,0.0,261,261.0,0.0,222.0,1.18,1.18,1.18,224.0,1.17,1.17,1.17,
02/02/2008,6390,,,-4079,,2311,0.0,-1582,1475.0,,,107.0,729,-43,43.0,,,,0.0,686,-255,431,1.0,,,430,0.0,430,0.0,0.0,430,430.0,0.0,221.6,1.93,1.944946,1.93,222.9,1.93,1.93,1.93,
05/03/2008,4127,4127.0,,-2477,2477.0,1650,0.0,-1402,1295.0,,110.0,-3.0,248,-53,53.0,,,,0.0,195,-75,120,0.0,0.0,0.0,120,0.0,120,0.0,0.0,120,120.0,0.0,222.0,0.54,0.54,0.54,223.0,0.54,0.54,0.54,
08/02/2008,4282,4282.0,,-2676,2676.0,1606,0.0,-1363,1270.0,,115.0,-22.0,243,-55,55.0,,,,0.0,188,-72,116,-1.0,-1.0,0.0,117,0.0,117,0.0,0.0,117,116.0,0.0,222.0,0.52,0.522523,0.522523,223.0,0.52,0.515516,0.515516,
11/01/2008,4318,4318.0,,-2654,2654.0,1664,0.0,-1409,1320.0,,118.0,-29.0,255,-56,56.0,,,,0.0,199,-76,123,-1.0,-1.0,0.0,124,0.0,124,0.0,0.0,124,123.0,0.0,222.0,0.56,0.55,0.55,223.0,0.56,0.55,0.55,
01/31/2009,5759,5759.0,,-3764,,1995,0.0,-1606,1488.0,,126.0,-8.0,389,-61,61.0,,,,0.0,328,-120,208,-3.0,-3.0,0.0,211,0.0,211,0.0,0.0,211,208.0,0.0,222.1,0.95,0.94,0.94,222.6,0.95,0.94,0.94,
05/02/2009,3884,3884.0,,-2310,2310.0,1574,0.0,-1468,1255.0,,120.0,93.0,106,-63,63.0,,,,0.0,43,-18,25,0.0,0.0,0.0,25,0.0,25,0.0,0.0,25,25.0,0.0,222.0,0.11,0.11,0.11,223.0,0.11,0.11,0.11,
08/01/2009,3943,3943.0,,-2423,2423.0,1520,0.0,-1453,1242.0,,121.0,90.0,67,-68,68.0,,,,0.0,-1,0,-1,0.0,0.0,0.0,-1,0.0,-1,0.0,0.0,-1,-1.0,0.0,234.0,0.0,0.0,0.0,234.0,0.0,0.0,0.0,
10/31/2009,4179,4179.0,,-2483,2483.0,1696,0.0,-1589,1376.0,,123.0,90.0,107,-64,64.0,,,,0.0,43,-16,27,0.0,0.0,0.0,27,0.0,27,0.0,0.0,27,27.0,0.0,236.0,0.11,0.11,0.11,238.0,0.11,0.11,0.11,
01/30/2010,5550,5550.0,,-3430,,2120,0.0,-1737,1509.0,,131.0,97.0,383,-65,65.0,,,,0.0,318,-120,198,-2.0,-2.0,0.0,200,0.0,200,0.0,0.0,200,198.0,0.0,236.0,0.84,0.84,0.84,237.3,0.84,0.84,0.84,
05/01/2010,3929,3929.0,,-2299,2299.0,1630,0.0,-1475,1292.0,,125.0,58.0,155,-59,59.0,,,,0.0,96,-36,60,0.0,0.0,0.0,60,0.0,60,0.0,0.0,60,60.0,0.0,236.0,0.25,0.25,0.25,238.0,0.25,0.25,0.25,
07/31/2010,3938,3938.0,,-2386,2386.0,1552,0.0,-1457,1275.0,,126.0,56.0,95,-77,57.0,,,,20.0,18,-4,14,0.0,0.0,0.0,14,0.0,14,0.0,0.0,14,14.0,0.0,236.0,0.06,0.06,0.06,238.0,0.06,0.06,0.06,
10/30/2010,4189,4189.0,,-2554,2554.0,1635,0.0,-1511,1324.0,,128.0,59.0,124,-57,57.0,,,,0.0,67,-23,44,0.0,0.0,0.0,44,0.0,44,0.0,0.0,44,44.0,0.0,236.0,0.19,0.19,0.19,238.0,0.19,0.19,0.19,
01/29/2011,5703,5703.0,,-3560,,2143,0.0,-1685,1464.0,,132.0,89.0,458,-58,58.0,,,,0.0,400,-140,260,-11.0,-11.0,0.0,271,0.0,271,0.0,0.0,271,260.0,0.0,236.6,1.13,1.09,1.09,239.0,1.13,1.09,1.09,
04/30/2011,3943,3943.0,,-2348,2348.0,1595,0.0,-1434,1281.0,,128.0,25.0,161,-58,58.0,,,,0.0,103,-39,64,0.0,0.0,0.0,64,0.0,64,0.0,0.0,64,69.85,5.85,229.0,0.28,0.28,0.305022,232.0,0.28,0.28,0.305022,
07/30/2011,3906,3906.0,,-2409,2409.0,1497,0.0,-1416,1243.0,,128.0,45.0,81,-57,57.0,,,,0.0,24,-10,14,0.0,0.0,0.0,14,0.0,14,0.0,0.0,14,28.0,14.0,213.3,0.07,0.07,0.131271,216.3,0.07,0.07,0.131271,
10/29/2011,3986,3986.0,,-2497,2497.0,1489,0.0,-1660,1242.0,,127.0,291.0,-171,-55,55.0,,,,0.0,-226,83,-143,0.0,0.0,0.0,-143,0.0,-143,0.0,0.0,-143,24.0,167.0,213.0,-0.67,-0.67,0.112676,213.0,-0.67,-0.67,0.112676,
01/28/2012,5425,5425.0,,-3788,,1637,0.0,-1710,1343.0,,135.0,232.0,-73,-57,57.0,,,,0.0,-130,43,-87,0.0,0.0,0.0,-87,0.0,-87,0.0,0.0,-87,69.7,156.7,213.7,-0.41,-0.41,0.326158,213.7,-0.41,-0.41,0.323271,
04/28/2012,3152,3152.0,,-1966,1966.0,1186,0.0,-1412,1160.0,,125.0,127.0,-226,-56,56.0,,,,0.0,-282,119,-163,0.0,0.0,0.0,-163,0.0,-163,0.0,0.0,-163,-117.0,46.0,218.3,-0.75,-0.75,-0.53596,218.3,-0.75,-0.75,-0.539281,
07/28/2012,3022,3022.0,,-2018,2018.0,1004,0.0,-1187,1050.0,,128.0,9.0,-183,-58,58.0,,,,0.0,-241,94,-147,0.0,0.0,0.0,-147,0.0,-147,0.0,0.0,-147,-173.0,-26.0,219.3,-0.67,-0.67,-0.788874,219.3,-0.67,-0.67,-0.788874,
10/27/2012,2927,2927.0,,-1975,1975.0,952,0.0,-1108,1087.0,,133.0,-112.0,-156,-55,55.0,,,,0.0,-211,88,-123,0.0,0.0,0.0,-123,0.0,-123,0.0,0.0,-123,-230.05,-107.05,219.4,-0.56,-0.56,-1.048541,219.4,-0.56,-0.56,-1.048541,
02/02/2013,3884,3884.0,,-2960,2960.0,924,0.0,-1669,1209.0,,157.0,303.0,-745,-57,57.0,,,,0.0,-802,250,-552,0.0,0.0,0.0,-552,0.0,-552,0.0,0.0,-552,-482.32,69.68,219.5,-2.51,-2.51,-2.197358,219.5,-2.51,-2.51,-2.197358,
05/04/2013,2635,2635.0,,-1823,1823.0,812,0.0,-1298,1078.0,,136.0,84.0,-486,-61,61.0,,,,0.0,-547,199,-348,0.0,0.0,0.0,-348,0.0,-348,0.0,0.0,-348,-314.4,33.6,219.9,-1.58,-1.58,-1.429741,219.9,-1.58,-1.58,-1.429741,
08/03/2013,2663,2663.0,,-1876,1876.0,787,0.0,-1182,1026.0,,143.0,13.0,-395,-209,95.0,,,,114.0,-604,18,-586,0.0,0.0,0.0,-586,0.0,-586,0.0,0.0,-586,-487.974,98.026,220.6,-2.66,-2.66,-2.212031,220.6,-2.66,-2.66,-2.215639,
11/02/2013,2779,2779.0,,-1960,1960.0,819,0.0,-1220,1006.0,,161.0,53.0,-401,-99,99.0,,,,0.0,-500,11,-489,0.0,0.0,0.0,-489,0.0,-489,0.0,0.0,-489,-467.676,21.324,251.8,-1.94,-1.94,-1.857331,251.8,-1.94,-1.94,-1.857331,
02/01/2014,3782,3782.0,,-2708,2708.0,1074,0.0,-1212,1004.0,,161.0,47.0,-138,-97,97.0,,,,0.0,-235,270,35,0.0,0.0,0.0,35,0.0,35,0.0,0.0,35,61.6,26.6,304.9,0.11,0.11,0.202033,305.1,0.11,0.11,0.197185,
05/03/2014,2801,2801.0,,-1875,1875.0,926,0.0,-1173,1009.0,0.0,158.0,6.0,-247,-97,97.0,,,,0.0,-344,-8,-352,0.0,0.0,0.0,-352,0.0,-352,0.0,0.0,-352,-345.5,6.5,305.0,-1.15,-1.15,-1.132787,305.0,-1.15,-1.15,-1.132787,
