Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1998,129.697998,42.170002,39.025002,3.145,22.313999,,,0.0,,,,,7.52,,,,,,,72.003998,33.888,46.574001,-12.686,0.0,23.806,19.721001,,,,4.084999,57.694,,5.207,5.207,,,,0.0,0.0,0.0,0.0,,,39.952001,,,,39.952001,45.159,0.0,0.0,0.0,0.0,,2.526,,,,,2.526,2.526,47.685,0.0,20.240999,,,0.0,,61.771999,82.012999,0.0,82.012999,129.697999,
12/31/1998,148.779007,36.192998,34.683998,1.509,27.610001,,,0.0,,,,,11.797,,,,,,,75.599998,43.951,59.855,-15.904,0.0,29.228001,22.115,,,,7.113001,73.179001,,5.944,5.944,,,,0.0,0.0,0.0,0.0,,,41.982998,,,,41.982998,47.926998,0.0,0.0,0.0,0.0,,2.526,,,,,2.526,2.526,50.452998,0.0,28.938,,,-0.006,,69.394,98.326,0.0,98.326,148.778998,
03/31/1999,139.292007,20.802,14.085,6.717,20.125,,,0.0,0.0,0.0,0.0,,10.829,,,,,,,51.756001,59.094002,76.585999,-17.492001,0.0,28.441999,21.945999,,,,6.496,87.536001,,0.414,0.414,,,,0.0,0.0,0.0,0.0,,,31.176,,,,31.176,31.59,0.0,0.0,0.0,0.0,,2.526,,,,,2.526,2.526,34.116,0.0,29.569,,,0.0,,75.607002,105.176003,0.0,105.176003,139.292003,
06/30/1999,177.822998,10.078,3.376,6.702,51.387,,,0.0,,,,,16.516001,,,,,,,78.195999,66.192001,85.366997,-19.174999,0.0,33.435001,25.181,,,,8.254001,99.627002,,5.036,5.036,,,,0.415,0.415,0.0,0.0,,,48.612,,,,48.612,54.063,0.211,0.211,0.0,0.0,,7.751,,,,,7.751,7.962,62.025,0.0,32.415001,,,0.0,,83.383003,115.798004,0.0,115.798004,177.823004,
09/30/1999,205.080002,9.057,2.408,6.649,33.666,,,0.0,,,,,18.271,,,,,,,60.993999,70.739998,91.434998,-20.695,0.0,73.346001,69.300003,,,,4.045998,144.085999,,4.539,4.539,,,,25.0,25.0,0.0,0.0,,,50.916002,,,,50.916002,80.455002,0.0,0.0,0.0,0.0,,2.586,,,,,2.586,2.586,83.041002,0.0,32.91,,,0.0,,89.128998,122.038998,0.0,122.038998,205.079999,
12/31/1999,233.067001,9.982,3.285,6.697,55.672001,,,0.0,,,,,20.802,,,,,,,86.456001,74.136002,96.945,-22.809,0.0,72.474998,66.945,,,,5.529999,146.611,,9.481,9.481,,,,37.5,37.5,0.0,0.0,,,59.092998,,,,59.092998,106.073997,0.0,0.0,0.0,0.0,,1.907,,,,,1.907,1.907,107.980997,0.0,33.571999,,,0.0,,91.514,125.085999,0.0,125.085999,233.066996,
03/31/2000,222.712006,14.01,12.976,1.034,36.016998,,,0.0,,,,,22.347,,,,,,,72.374001,79.889,103.455002,-23.566,0.0,70.448997,65.551003,,,,4.897995,150.337997,,6.476,6.476,,,,29.5,29.5,0.0,0.0,,,48.995001,,,,48.995001,84.971001,0.0,0.0,0.0,0.0,,1.907,,,,,1.907,1.907,86.878001,0.0,36.224998,,,0.0,,99.609001,135.834,0.0,135.834,222.712,
06/30/2000,321.082001,6.132,5.186,0.946,73.940002,,,0.0,,,,,23.927999,,,,,,,104.0,93.285004,118.749001,-25.464001,0.0,123.796997,109.281998,,,,14.514999,217.082001,,9.255,9.255,,,,70.623001,70.623001,0.0,0.0,,,71.261998,,,,71.261998,151.139999,0.32,0.32,0.0,0.0,,15.077,,,,,15.077,15.397,166.536999,0.0,44.167,,,0.0,,110.376999,154.543999,0.0,154.543999,321.080998,
09/30/2000,312.375,21.415,20.454,0.961,44.955002,,,0.0,,,,,20.603001,,,,,,,86.973,102.163002,129.826996,-27.664,0.0,123.238998,107.318001,,,,15.920998,225.402,,6.47,6.47,,,,0.123,0.123,0.0,0.0,,,62.713,,,,62.713,69.306,0.279,0.279,0.0,0.0,,16.976999,,,,,16.976999,17.255999,86.561999,0.0,105.696999,,,0.0,,120.115997,225.812996,0.0,225.812996,312.374995,
12/31/2000,339.105011,16.808,15.832,0.976,59.734001,,,0.0,,,,,23.115,,,,,,,99.656998,116.696999,147.285995,-30.589001,0.0,122.750999,105.347,,,,17.403999,239.447998,,7.303,7.303,,,,0.123,0.123,0.0,0.0,,,65.738001,,,,65.738001,73.164001,0.24,0.24,0.0,0.0,,19.916,,,,,19.916,20.156,93.320002,0.0,114.948997,,,0.0,,130.835999,245.784996,0.0,245.784996,339.104998,
03/31/2001,364.002014,26.135,25.145,0.99,62.347,,,0.0,,,,,25.962,,,,,,,114.444,126.985001,161.007004,-34.021999,0.0,122.572998,103.367996,,,,19.205002,249.557999,,9.474,9.474,,,,0.085,0.085,0.0,0.0,,,69.159002,,,,69.159002,78.718002,0.251,0.251,0.0,0.0,,23.934,,,,,23.934,24.185,102.903002,0.0,117.570999,,,0.0,,143.528,261.098999,0.0,261.098999,364.002001,
06/30/2001,433.121002,19.574001,18.589001,0.985,116.572998,,,0.0,,,,,35.903,,,,,,,172.050003,138.438995,176.192993,-37.754002,0.0,122.632004,101.389,32.355,69.034,,21.243004,261.070999,,17.846001,17.846001,,,,0.087,0.087,0.0,0.0,,,89.084997,,,,89.084997,107.017998,0.228,0.228,0.0,0.0,,23.371,,,,,23.371,23.599,130.616998,0.0,146.098999,,,0.0,,156.404999,302.503998,0.0,302.503998,433.120996,
09/30/2001,423.234985,46.001999,45.007999,0.994,78.059998,,,0.0,,,,,33.373001,,,,,,,157.434998,144.880997,187.139008,-42.257999,0.0,120.918999,98.527,33.047001,65.48,,22.391998,265.799995,,12.511,12.511,,,,0.087,,,,,,75.836998,,,,75.836998,88.434998,0.206,,,,,24.148001,,,,,24.148001,24.354001,112.788998,0.0,148.061996,,,-5.965,,168.349003,310.445999,0.0,310.445999,423.234997,
12/31/2001,442.510986,37.829001,36.832001,0.997,91.337997,,,0.0,,,,,30.146,,,,,,,159.313004,158.195007,205.630997,-47.436001,0.0,125.002998,99.945999,31.83,68.115999,,25.056999,283.198006,,9.236,9.236,,,,0.087,0.087,0.0,0.0,,,77.413999,,,,77.413999,86.737,0.184,0.184,0.0,0.0,,26.632999,,,,,26.632999,26.816999,113.553999,0.0,156.949005,,,-6.708,,178.715996,328.957001,0.0,328.957001,442.511,
03/31/2002,458.837006,48.805999,47.807999,0.998,76.946999,,,0.0,0.0,0.0,0.0,0.0,31.833,,,,,,,157.585999,167.669006,220.488998,-52.82,0.0,133.582001,108.357002,68.022003,40.334999,,25.224998,301.251007,,9.886,9.886,,,,0.0,0.0,0.0,0.0,,,67.938997,,,,67.938997,77.824997,0.0,0.0,0.0,0.0,,31.851999,,,,,31.851999,31.851999,109.676996,0.0,166.727005,,,-6.708,,189.140999,349.160004,0.0,349.160004,458.837,
06/30/2002,486.141998,18.761999,17.764999,0.997,131.431,,,0.0,0.0,0.0,0.0,0.0,29.784,,,,,,,179.977005,173.774994,231.899002,-58.124001,0.0,132.389999,107.164001,40.334999,66.829002,,25.225998,306.164993,,9.051,9.051,,,,0.0,0.0,0.0,0.0,,,103.604999,,,,103.604999,112.655998,0.0,0.0,0.0,0.0,,32.747002,,,,,32.747002,32.747002,145.403,0.0,168.966003,,,-29.389,,201.161995,340.738998,0.0,340.738998,486.141998,
09/30/2002,460.950012,42.664999,41.667999,0.997,71.970001,,,0.0,0.0,0.0,0.0,0.0,30.507999,,,,,,,145.143005,184.466995,,,0.0,131.339996,114.390999,40.334999,74.056,,16.948997,315.806992,,9.969,9.969,,,,0.0,0.0,0.0,0.0,,,83.339998,,,,83.339998,93.308998,0.0,0.0,0.0,0.0,,33.855999,,,,,33.855999,33.855999,127.164997,0.0,169.042007,,,-44.191002,,208.933998,333.785004,0.0,333.785004,460.950001,
12/31/2002,459.580994,31.207,30.209,0.998,74.089996,,,0.0,0.0,0.0,0.0,0.0,29.632,,,,,,,134.929001,188.201004,,,0.0,136.451004,107.980003,42.502998,65.477005,,28.471001,324.652008,,9.929,9.929,,,,0.0,0.0,0.0,0.0,,,73.556001,,,,73.556001,83.485001,0.0,0.0,0.0,0.0,,35.715,,,,,35.715,35.715,119.200001,0.0,169.070999,,,-46.106998,,217.416996,340.380997,0.0,340.380997,459.580997,
03/31/2003,455.804993,34.299998,33.301998,0.998,62.761002,,,0.0,0.0,0.0,0.0,0.0,30.65,,,,,,,127.710999,190.837997,,,0.0,137.255997,120.581001,44.542,76.039001,,16.674995,328.093994,,7.946,7.946,,,,0.0,0.0,0.0,0.0,,,61.590003,,,,61.590003,69.536003,0.0,0.0,0.0,0.0,,35.088001,,,,,35.088001,35.088001,104.624004,0.0,169.352005,,,-43.104,,224.932995,351.181,0.0,351.181,455.805004,
06/30/2003,548.575012,33.012,32.014,0.998,150.951004,,,0.0,0.0,0.0,0.0,0.0,33.299,,,,,,,217.261993,196.046005,257.364014,-61.318001,0.0,135.266998,107.599998,44.542999,63.056999,,27.667,331.313004,,9.617,9.617,,,,0.0,0.0,0.0,0.0,,,137.162999,,,,137.162999,146.779999,0.0,0.0,0.0,0.0,,36.571999,,,,,36.571999,36.571999,183.351997,0.0,170.203995,,,-38.376999,,233.395996,365.222992,0.0,365.222992,548.574989,
09/30/2003,543.35199,104.029998,103.031998,0.998,65.594002,,,0.0,0.0,0.0,0.0,0.0,32.273998,,,,,,,201.897995,207.298996,,,0.0,134.154999,119.056999,44.542999,74.514,,15.098,341.453995,,7.692,7.692,,,,0.0,0.0,0.0,0.0,,,112.598001,,,,112.598001,120.290001,0.0,0.0,0.0,0.0,,37.583,,,,,37.583,37.583,157.873001,0.0,172.186996,,,-27.01,240.302002,5e-06,385.479003,0.0,385.479003,543.352004,
12/31/2003,548.375,109.535,108.536,0.999,67.832,67.832,,,,,,,33.225,,,,,,,210.592,206.421,,,,131.362,118.072,44.543,73.529,,13.29,337.783,,5.703,5.703,,,,,,,,,,96.716,,,,96.716,102.419,,,,,,39.154,,,,,39.154,39.154,141.573,,174.618,,,-15.609,247.793,0.0,406.802,,406.802,548.375,
03/31/2004,547.653992,89.903999,88.904999,0.999,66.980003,66.980003,,0.0,0.0,0.0,0.0,0.0,31.594999,,,,,,,188.479004,208.007004,,,0.0,151.167999,124.379997,63.529999,60.849998,,26.788002,359.175003,,6.309,6.309,,,,0.0,0.0,0.0,0.0,,,79.179998,,,,79.179998,85.488998,0.0,0.0,0.0,0.0,,39.473999,,,,,39.473999,39.473999,124.962997,0.0,175.121994,,,-12.166,259.734985,1.5e-05,422.690994,0.0,422.690994,547.653992,
06/30/2004,653.614014,54.755999,53.757999,0.998,169.873001,169.873001,,0.0,0.0,0.0,0.0,0.0,34.429001,,,,,,,259.058014,215.100006,289.362,-74.262001,0.0,179.455994,148.524994,83.127998,65.396996,,30.931,394.556,,9.171,9.171,,,,0.0,0.0,0.0,0.0,,,164.069006,,,,164.069006,173.240005,0.0,0.0,0.0,0.0,,37.456001,,,,,37.456001,37.456001,210.696007,0.0,176.610992,,,-5.126,271.433014,-7e-06,442.917999,0.0,442.917999,653.614006,
09/30/2004,633.29303,120.843001,119.845001,0.998,75.293999,75.293999,,0.0,0.0,0.0,0.0,0.0,30.898001,,,,,,,227.035004,220.490997,,,0.0,185.766998,153.729996,89.677002,64.052994,,32.037003,406.257996,,5.154,5.154,,,,0.0,0.0,0.0,0.0,,,130.502998,,,,130.502998,135.656998,0.0,0.0,0.0,0.0,,38.403,,,,,38.403,38.403,174.059998,0.0,177.203003,,,-1.513,283.542999,0.0,459.233002,0.0,459.233002,633.292999,
