Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
08/02/2009,363.0,363.0,-222.0,207.0,15.0,141.0,0.0,-117.0,40.0,59.0,18.0,24.0,-16.0,,20.0,,-4.0,8.0,-6.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,13.05,11.05,213.0,0.01,0.01,0.061268,218.0,0.01,0.01,0.060688,
11/01/2009,428.0,428.0,-250.0,236.0,14.0,178.0,0.0,-173.0,43.0,65.0,65.0,5.0,-27.0,,19.0,,8.0,-22.0,1.0,-21.0,0.0,0.0,0.0,-21.0,0.0,-21.0,0.0,0.0,-21.0,48.0,69.0,235.0,-0.09,-0.09,0.204255,235.0,-0.09,-0.09,0.203617,
01/31/2010,456.0,456.0,-262.0,247.0,15.0,194.0,0.0,-116.0,46.0,64.0,6.0,78.0,-36.0,,11.0,,25.0,42.0,-4.0,38.0,0.0,0.0,0.0,38.0,0.0,38.0,0.0,0.0,38.0,63.0,25.0,236.0,0.16,0.16,0.266949,244.0,0.16,0.16,0.262459,
05/02/2010,515.0,515.0,-282.0,268.0,14.0,233.0,0.0,-125.0,48.0,70.0,7.0,108.0,-9.0,,8.0,,1.0,99.0,-9.0,90.0,0.0,0.0,0.0,90.0,0.0,90.0,0.0,0.0,90.0,91.0,1.0,238.0,0.38,0.38,0.382353,246.0,0.37,0.37,0.374065,
08/01/2010,550.0,550.0,-287.0,272.0,15.0,263.0,0.0,-128.0,51.0,71.0,6.0,135.0,-8.0,,8.0,,0.0,127.0,-4.0,123.0,0.0,0.0,0.0,123.0,0.0,123.0,0.0,0.0,123.0,125.0,2.0,239.0,0.51,0.51,0.523013,247.0,0.5,0.5,0.508097,
10/31/2010,572.0,572.0,-296.0,282.0,14.0,276.0,0.0,-131.0,51.0,75.0,5.0,145.0,-7.0,,7.0,,0.0,138.0,26.0,164.0,0.0,0.0,0.0,164.0,0.0,164.0,0.0,0.0,164.0,164.0,0.0,239.0,0.69,0.69,0.69,248.0,0.66,0.66,0.66,
01/30/2011,550.0,550.0,-279.0,265.0,14.0,271.0,0.0,-129.0,50.0,73.0,6.0,142.0,-22.0,,3.0,,19.0,120.0,-1.0,119.0,0.0,0.0,0.0,119.0,0.0,119.0,0.0,0.0,119.0,138.0,19.0,242.0,0.49,0.49,0.570248,250.0,0.48,0.48,0.556,
05/01/2011,560.0,560.0,-285.0,271.0,14.0,275.0,0.0,-137.0,55.0,76.0,6.0,138.0,-1.0,,1.0,,0.0,137.0,-2.0,135.0,0.0,0.0,0.0,135.0,0.0,135.0,0.0,0.0,135.0,137.0,2.0,245.0,0.55,0.55,0.559184,252.0,0.54,0.54,0.547937,
07/31/2011,603.0,603.0,-306.0,292.0,14.0,297.0,0.0,-152.0,60.0,85.0,7.0,145.0,0.0,,,,0.0,145.0,-1.0,144.0,0.0,0.0,0.0,144.0,0.0,144.0,0.0,0.0,144.0,146.0,2.0,246.0,0.59,0.59,0.593496,253.0,0.57,0.57,0.577905,
10/30/2011,623.0,623.0,-319.0,305.0,14.0,304.0,0.0,-145.0,55.0,83.0,7.0,159.0,0.0,,,,0.0,159.0,-5.0,154.0,0.0,0.0,0.0,154.0,0.0,154.0,0.0,0.0,154.0,155.0,1.0,246.0,0.63,0.63,0.630081,252.0,0.61,0.61,0.613968,
01/29/2012,563.0,563.0,-293.0,279.0,14.0,270.0,0.0,-138.0,50.0,82.0,6.0,132.0,-2.0,,1.0,,1.0,130.0,-5.0,125.0,0.0,0.0,0.0,125.0,0.0,125.0,0.0,0.0,125.0,126.0,1.0,245.0,0.51,0.51,0.514286,250.0,0.5,0.5,0.504,
04/29/2012,577.0,577.0,-299.0,285.0,14.0,278.0,0.0,-141.0,51.0,84.0,6.0,137.0,3.0,,,,-3.0,140.0,-6.0,134.0,0.0,0.0,0.0,134.0,0.0,134.0,0.0,0.0,134.0,136.0,2.0,244.0,0.55,0.55,0.557377,250.0,0.54,0.54,0.548,
07/29/2012,606.0,606.0,-311.0,297.0,14.0,295.0,0.0,-146.0,49.0,89.0,8.0,149.0,1.0,,,,-1.0,150.0,-5.0,145.0,0.0,0.0,0.0,145.0,0.0,145.0,0.0,0.0,145.0,147.0,2.0,245.0,0.59,0.59,0.6,250.0,0.58,0.58,0.588,
10/28/2012,618.0,618.0,-319.0,305.0,14.0,299.0,0.0,-135.0,49.0,80.0,6.0,164.0,1.0,,,,-1.0,165.0,-6.0,159.0,0.0,0.0,0.0,159.0,0.0,159.0,0.0,0.0,159.0,161.0,2.0,245.0,0.65,0.65,0.657143,250.0,0.64,0.64,0.648,
02/03/2013,576.0,576.0,-300.0,286.0,14.0,276.0,0.0,-152.0,53.0,93.0,6.0,124.0,2.0,,,,-2.0,126.0,-1.0,125.0,0.0,0.0,0.0,125.0,0.0,125.0,0.0,0.0,125.0,137.0,12.0,246.0,0.51,0.51,0.556911,251.0,0.5,0.5,0.547809,
05/05/2013,562.0,562.0,-290.0,276.0,14.0,272.0,0.0,-154.0,52.0,95.0,7.0,118.0,0.0,,1.0,,-1.0,118.0,-5.0,113.0,0.0,0.0,0.0,113.0,0.0,113.0,0.0,0.0,113.0,116.0,3.0,246.0,0.46,0.46,0.471545,251.0,0.45,0.45,0.461952,
08/04/2013,644.0,644.0,-340.0,326.0,14.0,304.0,0.0,-164.0,57.0,101.0,6.0,140.0,4.0,,1.0,,-5.0,144.0,-2.0,142.0,0.0,0.0,0.0,142.0,0.0,142.0,0.0,0.0,142.0,153.0,11.0,248.0,0.57,0.57,0.616935,252.0,0.56,0.56,0.603651,
11/03/2013,738.0,738.0,-392.0,373.0,19.0,346.0,0.0,-176.0,60.0,109.0,7.0,170.0,10.0,,0.0,,-10.0,180.0,-8.0,172.0,0.0,0.0,0.0,172.0,0.0,172.0,0.0,0.0,172.0,179.0,7.0,248.0,0.69,0.69,0.721774,253.0,0.68,0.68,0.707668,
02/02/2014,709.0,709.0,-370.0,352.0,18.0,339.0,0.0,-200.0,74.0,107.0,19.0,139.0,0.0,,0.0,,0.0,139.0,-5.0,134.0,0.0,0.0,0.0,134.0,0.0,134.0,0.0,0.0,134.0,170.0,36.0,249.0,0.54,0.54,0.682731,255.0,0.53,0.53,0.671176,
05/04/2014,701.0,701.0,-344.0,326.0,18.0,357.0,0.0,-197.0,67.0,114.0,16.0,160.0,-1.0,,1.0,,0.0,159.0,-1.0,158.0,0.0,0.0,0.0,158.0,0.0,158.0,0.0,0.0,158.0,175.65,17.65,251.0,0.63,0.63,0.699801,258.0,0.61,0.61,0.678411,
08/03/2014,1269.0,1269.0,-876.0,771.0,105.0,393.0,0.0,-555.0,137.0,240.0,178.0,-162.0,-57.0,,55.0,,2.0,-219.0,99.0,-120.0,44.0,44.0,0.0,-164.0,0.0,-164.0,0.0,0.0,-164.0,24.0,144.0,252.0,-0.65,-0.48,0.095238,252.0,-0.65,-0.48,0.091429,
11/02/2014,1590.0,1590.0,-802.0,694.0,108.0,788.0,0.0,-487.0,129.0,234.0,124.0,301.0,-38.0,,54.0,,-16.0,263.0,-126.0,137.0,2.0,2.0,0.0,135.0,0.0,135.0,0.0,0.0,135.0,174.05,37.05,254.0,0.53,0.54,0.685236,272.0,0.5,0.5,0.636213,
02/01/2015,1635.0,1635.0,-809.0,696.0,113.0,826.0,0.0,-425.0,117.0,235.0,73.0,401.0,-50.0,,54.0,,-4.0,351.0,-13.0,338.0,-13.0,-13.0,0.0,351.0,0.0,351.0,0.0,0.0,351.0,394.0,56.0,255.0,1.38,1.33,1.545098,278.0,1.26,1.22,1.421439,
05/03/2015,1614.0,1614.0,-768.0,655.0,113.0,846.0,0.0,-428.0,108.0,251.0,69.0,418.0,-54.0,,53.0,,1.0,364.0,-25.0,339.0,-5.0,-5.0,0.0,344.0,0.0,344.0,0.0,0.0,344.0,406.0,67.0,258.0,1.33,1.31,1.573643,284.0,1.21,1.19,1.425915,
08/02/2015,1735.0,1735.0,-851.0,722.0,129.0,884.0,0.0,-585.0,143.0,276.0,166.0,299.0,-32.0,,43.0,,-11.0,267.0,-23.0,244.0,4.0,4.0,0.0,240.0,0.0,240.0,0.0,0.0,240.0,383.953596,139.953596,265.0,0.91,0.92,1.448881,287.0,0.84,0.85,1.337643,
11/01/2015,1840.0,1840.0,-843.0,714.0,129.0,997.0,0.0,-483.0,118.0,287.0,78.0,514.0,-29.0,,41.0,,-12.0,485.0,-15.0,470.0,41.0,41.0,0.0,429.0,0.0,429.0,0.0,0.0,429.0,509.585216,39.585216,276.0,1.55,1.7,1.846323,287.0,1.49,1.64,1.777928,
01/31/2016,1771.0,1771.0,-830.0,700.0,130.0,941.0,0.0,-466.0,114.0,267.0,85.0,475.0,-81.0,,84.0,,-3.0,394.0,-17.0,377.0,0.0,0.0,0.0,377.0,0.0,377.0,0.0,0.0,377.0,502.508974,125.508974,277.0,1.36,1.36,1.814112,289.0,1.3,1.3,1.734287,
05/01/2016,3541.0,3541.0,-2495.0,2297.0,198.0,1046.0,0.0,-2047.0,238.0,787.0,1022.0,-1001.0,-315.0,,256.0,,59.0,-1316.0,99.0,-1217.0,38.0,38.0,0.0,-1255.0,69.0,-1186.0,0.0,0.0,-1186.0,375.450763,1523.450763,392.0,-3.02,-2.93,0.957783,415.0,-3.02,-2.93,0.740966,
07/31/2016,3792.0,3792.0,-2010.0,1799.0,211.0,1782.0,0.0,-2046.0,230.0,814.0,1002.0,-264.0,-156.0,,139.0,,17.0,-420.0,117.0,-303.0,12.0,12.0,0.0,-315.0,17.0,-298.0,0.0,0.0,-298.0,10.586428,296.586428,396.0,-0.75,-0.72,0.026733,419.0,-0.75,-0.72,-0.012156,
10/30/2016,4136.0,4136.0,-1965.0,1741.0,224.0,2171.0,0.0,-1790.0,224.0,806.0,760.0,381.0,-146.0,,106.0,,40.0,235.0,-841.0,-606.0,62.0,62.0,0.0,-668.0,36.0,-632.0,0.0,0.0,-632.0,360.674117,930.674117,398.0,-1.59,-1.44,0.906216,421.0,-1.59,-1.44,0.770627,
01/29/2017,4139.0,4139.0,-2138.0,1579.0,559.0,2001.0,0.0,-1495.0,201.0,808.0,486.0,506.0,-239.0,,111.0,,128.0,267.0,-10.0,257.0,5.0,5.0,0.0,252.0,-13.0,239.0,0.0,0.0,239.0,468.300144,224.300144,399.0,0.6,0.61,1.173685,439.0,0.57,0.58,1.090934,
04/30/2017,4190.0,4190.0,-2214.0,1575.0,639.0,1976.0,0.0,-1502.0,204.0,829.0,469.0,474.0,-109.0,,112.0,,-3.0,365.0,103.0,468.0,4.0,4.0,0.0,464.0,-24.0,440.0,0.0,0.0,440.0,516.641829,72.641829,403.0,1.09,1.1,1.28199,442.0,1.05,1.06,1.224348,
07/30/2017,4463.0,4463.0,-2314.0,1659.0,655.0,2149.0,0.0,-1501.0,200.0,827.0,474.0,648.0,-100.0,,112.0,,-12.0,548.0,-39.0,509.0,2.0,2.0,0.0,507.0,-26.0,481.0,0.0,0.0,481.0,544.777463,61.777463,407.0,1.18,1.19,1.33852,445.0,1.14,1.14,1.278826,
10/29/2017,4844.0,4844.0,-2461.0,1803.0,658.0,2383.0,0.0,-1628.0,194.0,828.0,606.0,755.0,-110.0,,119.0,,-9.0,645.0,-89.0,556.0,-5.0,-5.0,0.0,561.0,-29.0,532.0,0.0,0.0,532.0,719.744337,192.744337,408.0,1.3,1.29,1.764079,424.0,1.25,1.24,1.694586,
02/04/2018,5327.0,5327.0,-2699.0,1984.0,715.0,2628.0,0.0,-1685.0,291.0,925.0,469.0,943.0,-148.0,,183.0,,-35.0,795.0,5786.0,6581.0,15.0,15.0,0.0,6566.0,-336.0,6230.0,0.0,0.0,6230.0,726.095181,-5518.904819,410.0,15.2,15.23,1.770964,426.0,14.62,14.66,1.704824,
05/06/2018,5014.0,5014.0,-2463.0,1698.0,765.0,2551.0,0.0,-1350.0,294.0,936.0,120.0,1201.0,-102.0,,148.0,,-46.0,1099.0,2637.0,3736.0,3.0,3.0,0.0,3733.0,-15.0,3718.0,0.0,0.0,3718.0,3796.84,75.84,421.0,8.83,8.84,9.018622,448.0,8.33,8.34,8.509286,
08/05/2018,5063.0,5063.0,-2444.0,1682.0,762.0,2619.0,0.0,-1280.0,234.0,959.0,87.0,1339.0,-110.0,,149.0,,-39.0,1229.0,-32.0,1197.0,1.0,1.0,0.0,1196.0,0.0,1196.0,0.0,0.0,1196.0,1244.474825,47.474825,430.0,2.78,2.78,2.894127,441.0,2.71,2.71,2.817653,
11/04/2018,5444.0,5444.0,-2509.0,1747.0,762.0,2935.0,0.0,-1283.0,237.0,948.0,98.0,1652.0,-230.0,,148.0,,82.0,1422.0,-307.0,1115.0,0.0,0.0,0.0,1115.0,0.0,1115.0,0.0,0.0,1115.0,1300.645623,185.645623,412.0,2.71,2.71,3.156907,423.0,2.64,2.64,3.078879,
02/03/2019,5789.0,5789.0,-2581.0,1748.0,833.0,3208.0,0.0,-2653.0,471.0,1133.0,1049.0,555.0,-277.0,,345.0,,-68.0,278.0,203.0,481.0,10.0,10.0,0.0,471.0,0.0,471.0,0.0,0.0,471.0,1034.700405,553.700405,401.0,1.17,1.2,2.5803,419.0,1.12,1.15,2.471481,
05/05/2019,5517.0,5517.0,-2428.0,1602.0,826.0,3089.0,0.0,-2119.0,419.0,1151.0,549.0,970.0,-313.0,,376.0,,-63.0,657.0,36.0,693.0,2.0,2.0,0.0,691.0,0.0,691.0,0.0,0.0,691.0,794.883969,101.883969,397.0,1.74,1.75,2.002227,422.0,1.64,1.64,1.881431,
08/04/2019,5515.0,5515.0,-2481.0,1653.0,828.0,3034.0,0.0,-2169.0,410.0,1235.0,524.0,865.0,-321.0,,362.0,,-41.0,544.0,171.0,715.0,0.0,0.0,0.0,715.0,0.0,715.0,0.0,0.0,715.0,780.153046,65.153046,398.0,1.8,1.8,1.960184,418.0,1.71,1.71,1.865869,
11/03/2019,5776.0,5776.0,-2624.0,1797.0,827.0,3152.0,0.0,-2098.0,409.0,1177.0,512.0,1054.0,-307.0,,361.0,,-54.0,747.0,100.0,847.0,0.0,0.0,0.0,847.0,0.0,847.0,-29.0,0.0,818.0,893.608247,75.608247,397.0,2.06,2.06,2.250902,416.0,1.97,1.97,2.151751,
02/02/2020,5858.0,5858.0,-2594.0,1644.0,950.0,3264.0,0.0,-2550.0,601.0,1289.0,660.0,714.0,-410.0,,406.0,,4.0,304.0,76.0,380.0,-5.0,-5.0,0.0,385.0,0.0,385.0,-74.0,0.0,311.0,539.235663,233.235663,398.0,0.78,0.77,1.354863,420.0,0.74,0.73,1.285323,
05/03/2020,5742.0,5742.0,-2553.0,1599.0,954.0,3189.0,0.0,-2423.0,501.0,1269.0,653.0,766.0,-357.0,,487.0,,-130.0,409.0,159.0,568.0,5.0,5.0,0.0,563.0,0.0,563.0,-75.0,0.0,488.0,525.009485,32.009485,401.0,1.22,1.23,1.309251,417.0,1.17,1.18,1.256761,
07/31/2020,5765.643,,,,,4178.13085638,,,,,,3065.5,,,,,,2669.818,,480.313,,,,,,480.313,,,480.313,2356.692,,,1.098,1.098,5.211,,1.098,1.098,5.211,
10/31/2020,6193.536,,,,,4466.09687424,,,,,,3358.909,,,,,,2974.364,,786.25,,,,,,786.25,,,786.25,2628.769,,,1.827,1.827,5.872,,1.827,1.827,5.872,
