Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2016,3501.9,89.7,89.7,0.0,,,,,0,0,0,0,0,283.3,0.3,,0.7,275.7,373.0,46.4,188.1,-141.7,2.8,2.8,3079.7,3066.5,2349.0,717.5,2.8,10.1,0.0,3128.9,,161.5,,3.4,158.1,86.4,0.0,,,,86.4,225.2,,0.4,0.0,473.1,656.6,656.6,,,,171.5,,,8.0,163.1,828.1,1301.2,0,214.4,1.8,212.6,0.0,2128.6,-178.3,2164.7,36.0,2200.7,3501.9,
08/31/2016,14328.4,200.7,200.7,0.0,514.7,514.7,0.0,,0,0,0,0,0,214.1,,0.0,8.7,202.2,929.5,391.6,,,0.0,,13007.3,12988.7,8423.5,4565.2,6.6,,12.0,13398.9,,457.9,57.4,32.7,367.8,126.0,0.0,,,,126.0,830.7,,,0.0,1414.6,3140.0,3140.0,,,,1263.5,25.8,,1125.8,111.9,4403.5,5818.1,0,7089.5,4.5,7085.0,-156.9,1718.8,-218.8,8432.6,77.7,8510.3,14328.4,
11/30/2016,13936.6,138.9,138.9,0.0,635.6,635.6,0.0,,0,0,0,0,0,159.0,0.0,,26.0,127.8,933.5,416.2,1007.7,-591.5,0.0,,12586.9,12561.6,8209.8,4351.8,14.8,,10.5,13003.1,,518.9,58.9,11.9,448.1,104.6,0.0,0.0,0.0,,104.6,788.9,0.0,0.0,0.0,1412.4,3279.3,3279.3,0.0,0.0,,1102.8,0.0,33.0,995.1,74.7,4382.1,5794.5,0,7215.4,4.5,7210.9,-499.1,1806.9,-438.8,8084.4,57.7,8142.1,13936.6,
02/28/2017,14005.7,154.8,154.8,0.0,668.8,668.8,0.0,64.8,0,0,0,0,0,156.2,,,58.6,95.8,1044.6,445.0,,,0.0,,12516.1,12454.3,8198.4,4255.9,14.8,,47.0,12961.1,,474.4,52.5,13.7,408.2,582.9,0.0,,,,582.9,910.1,,14.3,0.0,1967.4,3131.5,3125.8,5.7,5.7,,1156.9,32.7,,1013.3,96.6,4288.4,6255.8,0,7361.3,4.6,7356.7,-1081.2,1872.3,-460.7,7691.7,58.2,7749.9,14005.7,
05/31/2017,14071.2,162.5,162.5,0.0,669.7,669.7,0.0,66.6,0,0,0,0,0,125.4,,,32.2,90.7,1024.2,470.1,,,0.0,,12576.9,12513.4,8277.1,4236.3,14.8,,48.7,13047.0,,428.0,60.0,5.5,362.5,561.2,0.0,,,,561.2,870.4,,15.3,0.0,1859.6,3423.2,3418.1,5.1,5.1,,1121.5,32.5,,974.1,99.6,4544.7,6404.3,0,7511.3,4.7,7506.6,-1563.9,1971.0,-309.8,7608.6,58.3,7666.9,14071.2,
08/31/2017,14016.9,153.8,153.8,0.0,655.5,655.5,0.0,59.9,0,0,0,0,0,102.9,,,14.9,85.5,972.1,506.9,,,0.0,,12537.9,12467.8,8357.5,4110.3,14.8,,55.3,13044.8,,463.4,49.9,12.7,400.8,561.1,0.0,,,,561.1,816.2,,14.7,0.0,1840.7,3424.7,3419.9,4.8,4.8,,979.8,35.0,,829.3,100.8,4404.5,6245.2,0,7587.7,4.7,7583.0,-1789.2,2116.8,-213.2,7702.1,69.6,7771.7,14016.9,
11/30/2017,14554.4,133.8,133.8,0.0,693.5,693.5,0.0,62.8,0,0,0,0,0,124.9,0.0,,31.9,90.2,1015.0,531.3,1157.7,-626.4,0.0,,13008.1,12966.8,8778.5,4188.3,7.1,0.0,34.2,13539.4,,528.7,53.4,5.5,469.8,576.0,0.0,0.2,0.2,,575.8,801.4,0.0,0.0,0.0,1906.1,3617.3,3613.3,4.0,4.0,,1007.5,0.0,31.8,869.8,105.9,4624.8,6530.9,0,7616.8,4.7,7612.1,-1745.0,2217.6,-85.0,8004.4,19.1,8023.5,14554.4,
02/28/2018,14696.7,156.0,156.0,0.0,802.7,802.7,0.0,78.0,0,0,0,0,0,129.1,,,34.4,93.4,1165.8,539.7,,,0.0,,12991.2,12939.0,8810.4,4128.6,11.1,,41.1,13530.9,,465.8,50.1,8.5,407.2,90.9,0.0,,,,90.9,923.7,,,0.0,1480.4,4186.1,4182.4,3.7,3.7,,859.5,31.6,,691.0,136.9,5045.6,6526.0,0,7616.5,4.7,7611.8,-1889.3,2464.8,-29.7,8162.3,8.4,8170.7,14696.7,
05/31/2018,14465.8,159.0,159.0,0.0,704.2,704.2,0.0,77.6,0,0,0,0,0,1266.3,,1151.2,29.9,84.2,2207.1,508.9,,,0.0,,11749.8,11686.9,8142.1,3544.8,11.1,,51.8,12258.7,,495.6,42.1,13.0,440.5,105.8,0.0,,,,105.8,960.3,,1.8,86.5,1561.7,4353.7,4350.3,3.4,3.4,,773.8,,30.9,594.4,146.7,5127.5,6689.2,0,7622.0,4.7,7617.3,-2289.2,2579.5,-143.6,7768.7,7.9,7776.6,14465.8,
08/31/2018,16206.3,154.4,154.4,0.0,760.6,760.6,0.0,71.2,0,0,0,0,0,127.9,,,18.2,106.9,1114.1,591.9,,,0.0,,14500.3,14438.2,10003.4,4434.8,11.1,,51.0,15092.2,,499.7,39.6,10.5,449.6,1166.3,0.0,,,,1166.3,897.4,,0.6,0.0,2563.4,4893.8,4890.1,3.7,3.7,,850.6,,22.2,666.0,161.8,5744.4,8307.8,0,7638.9,4.7,7634.2,-2210.7,2684.0,-220.6,7891.6,6.9,7898.5,16206.3,
11/30/2018,16062.3,120.0,120.0,0.0,792.9,792.9,0.0,77.3,0,0,0,0,0,109.2,0.0,0.0,,109.0,1099.4,579.6,1364.2,-784.6,0.0,,14383.3,14320.8,9836.0,4484.8,14.6,0.0,47.9,14962.9,,642.0,42.2,8.0,591.8,789.9,0.0,,,,789.9,888.4,0.0,0.0,0.0,2320.3,4889.2,4881.9,7.3,7.3,,826.4,,,699.9,126.5,5715.6,8035.9,0,7685.1,4.7,7680.4,-2108.8,2743.1,-298.9,8020.5,5.9,8026.4,16062.3,
02/28/2019,16383.4,133.2,133.2,0.0,980.4,980.4,0.0,88.1,0,0,0,0,0,124.5,,,15.2,98.9,1326.2,596.4,,,0.0,,14460.8,14359.5,9916.5,4443.0,14.6,,86.7,15057.2,,574.3,56.4,6.0,511.9,484.9,0.0,,,,484.9,1028.0,,,0.0,2087.2,5111.4,5104.4,7.0,7.0,,834.8,,17.2,701.0,116.6,5946.2,8033.4,0,7717.4,4.8,7712.6,-2126.8,2906.4,-164.7,8332.3,17.7,8350.0,16383.4,
05/31/2019,16033.3,109.5,109.5,0.0,854.0,854.0,0.0,84.9,0,0,0,0,0,212.8,,63.6,14.3,134.6,1261.2,615.1,,,0.0,,14157.0,14048.5,9781.0,4267.5,14.6,,93.9,14772.1,,577.5,33.6,23.2,520.7,364.3,0.0,,,,364.3,977.9,,,25.2,1919.7,4893.5,4886.1,7.4,7.4,,816.9,,17.1,677.3,122.5,5710.4,7630.1,0,7750.2,4.8,7745.4,-2076.3,3054.8,-342.3,8386.4,16.8,8403.2,16033.3,
08/31/2019,15903.6,124.1,124.1,0.0,862.7,862.7,0.0,72.3,0,0,0,0,0,129.9,,,17.8,112.1,1189.0,623.9,,,0.0,,14090.7,13986.8,9805.2,4181.6,14.6,,89.3,14714.6,,758.8,27.2,133.5,598.1,1.2,0.0,,,,1.2,903.3,,,0.0,1663.3,5051.2,5044.2,7.0,7.0,,938.2,,17.0,770.5,150.7,5989.4,7652.7,0,7750.4,4.8,7745.6,-2151.5,3094.7,-458.6,8235.0,15.9,8250.9,15903.6,
11/30/2019,16087.2,111.5,111.5,0.0,890.7,890.7,0.0,72.1,0,0,0,0,0,233.5,0.0,115.3,,114.7,1307.8,658.2,1579.0,-920.8,0.0,,14121.2,14005.3,9836.3,4169.0,17.8,0.0,98.1,14779.4,,808.6,59.7,58.5,690.4,251.1,0.0,,,,251.1,909.5,0.0,0.0,25.9,1969.2,4874.4,4867.8,6.6,6.6,,812.7,,,667.2,145.5,5687.1,7656.3,0,7774.2,4.8,7769.4,-2391.8,3295.0,-261.6,8415.8,15.1,8430.9,16087.2,
02/29/2020,16380.1,143.9,143.9,0.0,979.7,979.7,0.0,88.9,0,0,0,0,0,125.8,,0.0,,124.7,1338.3,1045.6,,,0.0,,13996.2,13882.5,9819.0,4063.5,17.8,,95.9,15041.8,,575.0,32.6,24.4,518.0,310.4,0.0,59.3,,59.3,251.1,1037.1,,,0.0,1922.5,5297.2,4955.0,342.2,6.3,335.9,777.3,,,682.6,94.7,6074.5,7997.0,0,7729.3,4.8,7724.5,-2757.5,3689.4,-292.2,8369.0,14.1,8383.1,16380.1,
05/31/2020,16128.9,207.8,207.8,0.0,876.1,876.1,0.0,91.9,0,0,0,0,0,126.6,,0.0,,122.9,1302.4,1034.7,,,0.0,,13791.8,13673.0,9747.3,3925.7,17.8,,101.0,14826.5,,525.7,20.5,0.0,505.2,316.4,0.0,65.4,,65.4,251.0,949.1,,,0.0,1791.2,5460.8,5130.5,330.3,6.0,324.3,755.3,,0.0,651.8,103.5,6216.1,8007.3,0,7764.7,4.8,7759.9,-2921.9,3677.8,-412.2,8108.4,13.2,8121.6,16128.9,
