Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2006,646.64,,-427.612,,219.028,,-139.976,,,,79.052,-3.96,8.059,8.059,0.0,-4.099,75.092,-19.147,,55.945,0.0,,,55.945,0.0,55.945,0.0,0.0,55.945,55.945,16.964,156.359,0.36,0.36,0.47,158.781,0.35,0.35,0.45,
12/31/2006,706.469971,,-456.136993,,250.332977,,-166.759995,,,,83.572998,-14.282,,8.025,0.0,6.257,69.290998,-21.889999,,47.401001,0.0,,,47.400999,0.0,47.401001,0.0,0.0,47.401001,47.401001,,155.813995,0.3,0.3,0.43,157.628998,0.3,0.3,0.43,
03/31/2007,782.798,,-508.249,,274.549,,-175.374,131.863,,43.511,99.175,-114.619,,30.522,0.0,84.097,-15.444,-13.912,,-29.356,0.0,,,-29.356,0.0,-29.356,0.0,0.0,-29.356,-29.356,,156.076,-0.19,-0.19,0.6,158.357,-0.19,-0.19,0.59,
06/30/2007,869.356018,,-603.117981,,266.238037,,-198.593002,,,,67.644997,-32.171002,,37.344002,0.0,-5.173,35.473995,-4.796,,30.677999,0.0,,,30.677995,0.0,30.677999,0.0,0.0,30.677999,30.677999,,156.699005,0.2,0.2,0.5,159.526001,0.2,0.2,0.49,
09/30/2007,838.018982,,-521.505005,,316.513977,,-180.164001,,,,136.350006,-58.259998,,34.674999,0.0,23.584999,78.090008,-18.711,,59.379002,0.0,,,59.379007,0.0,59.379002,0.0,0.0,59.379002,59.379002,,157.091003,0.38,0.38,0.5,160.072006,0.37,0.37,0.49,
12/31/2007,946.065,,-629.443,,316.622,,-229.179,,,,87.443,2.223,,31.976,0.0,-34.199,89.666,-13.609,,76.057,0.0,,,76.057,0.0,76.057,0.0,0.0,76.057,76.057,,157.77,0.48,0.48,0.64,160.282,0.47,0.47,0.63,
03/31/2008,888.7,,-551.2,,337.5,0.0,-192.3,152.4,,39.9,145.2,-60.8,,31.4,,29.4,84.4,-19.0,,65.4,,,,65.4,,65.4,0.0,0.0,65.4,65.4,,158.7,0.41,0.41,0.55,161.0,0.41,0.41,0.55,
06/30/2008,901.6,,-544.5,,357.1,0.0,-204.9,152.7,,52.2,152.2,-62.7,,28.2,,34.5,89.5,-20.4,,69.1,,,,69.1,,69.1,0.0,0.0,69.1,69.1,,159.1,0.43,0.43,0.58,161.5,0.43,0.43,0.57,
09/30/2008,925.5,,-570.0,,355.5,0.0,-194.0,145.6,,48.4,161.5,-54.0,,27.6,,26.4,107.5,-25.7,,81.8,,,,81.8,,81.8,0.0,0.0,81.8,81.8,,159.4,0.51,0.51,0.63,161.6,0.51,0.51,0.63,
12/31/2008,913.7,,-565.1,,348.6,0.0,-192.9,139.4,,53.5,155.7,-29.6,,29.0,,0.6,126.1,-21.5,,104.6,,,,104.6,,104.6,0.0,0.0,104.6,104.6,,159.5,0.66,0.66,0.93,160.9,0.65,0.65,0.92,
03/31/2009,859.7,859.7,-540.1,540.1,319.6,0.0,-204.9,145.5,50.0,9.4,114.7,-26.6,,26.9,,-0.3,88.1,77.4,,165.5,0.0,0.0,0.0,165.5,0.0,165.5,0.0,0.0,165.5,87.8,-77.7,159.5,1.04,1.04,0.55047,160.6,1.03,1.03,0.546189,
06/30/2009,956.9,956.9,-610.7,610.7,346.2,0.0,-255.1,146.3,52.9,55.9,91.1,-42.7,,28.2,,14.5,48.4,-22.9,,25.5,0.0,0.0,0.0,25.5,0.0,25.5,0.0,0.0,25.5,108.5,83.0,160.5,0.16,0.16,0.676012,162.4,0.16,0.16,0.671084,
09/30/2009,1007.5,1007.5,-611.9,611.9,395.6,0.0,-234.1,162.4,57.9,13.8,161.5,-25.2,,25.1,0.7,-0.6,136.3,-20.1,,116.2,0.0,0.0,0.0,116.2,0.0,116.2,0.0,0.0,116.2,140.2,24.0,161.1,0.72,0.72,0.870267,163.7,0.71,0.71,0.85661,
12/31/2009,1055.2,1055.2,-660.2,660.2,395.0,0.0,-259.4,164.6,79.7,15.1,135.6,-23.6,,26.1,,-2.5,112.0,-15.3,,96.7,0.0,0.0,0.0,96.7,0.0,96.7,0.0,0.0,96.7,121.8,25.1,162.6,0.59,0.59,0.749077,165.9,0.58,0.58,0.731296,
03/31/2010,1007.6,1007.6,-577.3,577.3,430.3,0.0,-222.7,178.6,51.7,-7.6,207.6,-22.2,,23.4,,-1.2,185.4,-44.2,0.5,141.7,0.0,0.0,0.0,141.7,0.0,141.7,0.0,0.0,141.7,160.344,18.644,164.1,0.86,0.86,0.977112,169.3,0.84,0.84,0.950124,
06/30/2010,968.2,968.2,-599.0,599.0,369.2,0.0,-252.9,169.9,80.4,2.6,116.3,-23.9,,24.2,,-0.3,92.4,-9.4,0.5,83.5,0.0,0.0,0.0,83.5,0.0,83.5,0.0,0.0,83.5,117.9,34.4,165.8,0.5,0.5,0.711098,169.1,0.49,0.49,0.69343,
09/30/2010,949.3,949.3,-582.3,582.3,367.0,0.0,-225.3,158.9,65.2,1.2,141.7,-62.5,,26.5,-0.1,36.1,79.2,-9.2,1.4,71.4,0.0,0.0,0.0,71.4,0.0,71.4,0.0,0.0,71.4,113.2,41.8,166.9,0.43,0.43,0.67825,170.0,0.42,0.42,0.665882,
12/31/2010,992.1,992.1,-644.2,644.2,347.9,0.0,-294.3,167.6,103.2,23.5,53.6,-21.5,,27.0,,-5.5,32.1,28.5,,60.6,0.0,0.0,0.0,60.6,0.0,60.6,0.0,0.0,60.6,104.6,44.0,167.0,0.36,0.36,0.626347,170.1,0.36,0.36,0.618671,
03/31/2011,1002.3,1002.3,-603.2,603.2,399.1,0.0,-235.3,165.2,56.9,13.2,163.8,-21.2,,23.4,,-2.2,142.6,-9.9,17.2,149.9,0.0,0.0,0.0,149.9,0.0,149.9,0.0,0.0,149.9,144.105,-5.795,166.8,0.9,0.9,0.863939,170.2,0.88,0.88,0.845952,
06/30/2011,1064.1,1064.1,-650.7,650.7,413.4,0.0,-222.9,155.6,65.8,1.5,190.5,-21.9,,23.9,,-2.0,168.6,-36.7,11.7,143.6,0.0,0.0,0.0,143.6,0.0,143.6,0.0,0.0,143.6,145.075,1.475,166.1,0.86,0.86,0.87342,169.0,0.85,0.85,0.858728,
09/30/2011,976.7,976.7,-672.8,672.8,303.9,0.0,-389.1,149.6,69.3,170.2,-85.2,-21.6,,23.4,,-1.8,-106.8,8.6,9.3,-88.9,0.0,0.0,0.0,-88.9,0.0,-88.9,0.0,0.0,-88.9,96.7,185.6,164.5,-0.54,-0.54,0.587842,164.5,-0.54,-0.54,0.587842,
12/31/2011,1014.0,1014.0,-732.8,732.8,281.2,0.0,-493.5,166.9,66.8,259.8,-212.3,-19.2,,22.4,,-3.2,-231.5,10.1,7.4,-214.0,0.0,0.0,0.0,-214.0,,-214.0,0.0,0.0,-214.0,69.7,283.7,164.5,-1.3,-1.3,0.423708,164.5,-1.3,-1.3,0.423708,
03/31/2012,965.9,965.9,-665.9,665.9,300.0,0.0,-253.3,184.2,69.1,0.0,46.7,-23.6,,22.2,,1.4,23.1,4.0,13.1,40.2,0.0,0.0,0.0,40.2,0.0,40.2,0.0,0.0,40.2,65.4,25.2,164.6,0.24,0.24,0.397327,165.8,0.24,0.24,0.39199,
06/30/2012,1033.3,1033.3,-749.8,749.8,283.5,0.0,-285.7,169.9,83.6,32.2,-2.2,-29.6,,21.0,,8.6,-31.8,22.3,7.0,-2.5,0.0,0.0,0.0,-2.5,0.0,-2.5,0.0,0.0,-2.5,72.5,75.0,165.1,-0.02,-0.02,0.439128,165.1,-0.02,-0.02,0.43427,
09/30/2012,994.0,994.0,-779.7,779.7,214.3,0.0,-230.8,155.2,66.2,9.4,-16.5,-23.9,,21.1,,2.8,-40.4,34.7,6.9,1.2,0.0,0.0,0.0,1.2,0.0,1.2,0.0,0.0,1.2,66.0,64.8,165.1,0.01,0.01,0.399758,165.9,0.01,0.01,0.399758,
12/31/2012,1098.9,1098.9,-784.2,784.2,314.7,0.0,-283.9,178.3,84.7,20.9,30.8,-23.6,,21.9,,1.7,7.2,-9.9,8.0,5.3,0.0,0.0,0.0,5.3,0.0,5.3,0.0,0.0,5.3,78.6,73.3,165.1,0.03,0.03,0.476075,165.8,0.03,0.03,0.472099,
03/31/2013,884.0,884.0,-733.9,733.9,150.1,0.0,-268.7,186.1,73.8,8.8,-118.6,-21.9,,19.6,,2.3,-140.5,58.4,5.5,-76.6,0.0,0.0,0.0,-76.6,0.0,-76.6,0.0,0.0,-76.6,73.5,150.1,165.3,-0.46,-0.46,0.444646,165.3,-0.46,-0.46,0.444646,
06/30/2013,1026.2,1026.2,-707.5,707.5,318.7,0.0,-266.5,189.2,74.4,2.9,52.2,-30.0,,19.9,,10.1,22.2,6.2,4.5,32.9,0.0,0.0,0.0,32.9,0.0,32.9,0.0,0.0,32.9,79.9,47.0,165.5,0.2,0.2,0.482779,166.3,0.2,0.2,0.482622,
09/30/2013,1008.2,1008.2,-718.0,718.0,290.2,0.0,-260.4,180.7,69.9,9.8,29.8,-62.3,,23.3,,39.0,-32.5,31.7,2.7,1.9,0.0,0.0,0.0,1.9,0.0,1.9,0.0,0.0,1.9,73.0,71.1,165.7,0.01,0.01,0.440555,167.0,0.01,0.01,0.435749,
12/31/2013,1084.4,1084.4,-762.8,762.8,321.6,0.0,-268.4,186.6,83.6,-1.8,53.2,-25.7,,23.3,,2.4,27.5,2.1,3.9,33.5,0.0,0.0,0.0,33.5,0.0,33.5,0.0,0.0,33.5,72.8,39.3,165.9,0.2,0.2,0.438819,167.3,0.2,0.2,0.434907,
03/31/2014,1050.8,1050.8,-681.2,681.2,369.6,0.0,-270.0,186.1,83.2,0.7,99.6,-18.5,,20.5,,-2.0,81.1,-16.5,3.3,67.9,0.0,0.0,0.0,67.9,0.0,67.9,0.0,0.0,67.9,89.4,21.5,166.5,0.41,0.41,0.536937,168.4,0.4,0.4,0.527672,
06/30/2014,1135.8,1135.8,-735.8,735.8,400.0,0.0,-300.5,211.3,75.7,13.5,99.5,-18.4,,19.2,,-0.8,81.1,-18.9,8.7,70.9,0.0,0.0,0.0,70.9,0.0,70.9,0.0,0.0,70.9,109.8,38.9,167.7,0.42,0.42,0.654741,170.0,0.42,0.42,0.648824,
09/30/2014,1150.6,1150.6,-719.3,719.3,431.3,0.0,-203.8,223.8,86.3,-106.3,227.5,-23.5,,19.2,,4.3,204.0,-48.6,3.2,158.6,0.0,0.0,0.0,158.6,0.0,158.6,0.0,0.0,158.6,117.4,-41.2,168.9,0.94,0.94,0.695086,171.8,0.92,0.92,0.680186,
12/31/2014,1126.5,1126.5,-740.9,740.9,385.6,0.0,-345.9,219.9,99.2,26.8,39.7,-17.8,,18.2,,-0.4,21.9,12.2,1.7,35.8,0.0,0.0,0.0,35.8,0.0,35.8,0.0,0.0,35.8,77.6,41.8,169.6,0.21,0.21,0.457547,172.9,0.21,0.21,0.451758,
03/31/2015,1174.9,1174.9,-651.4,651.4,523.5,0.0,-390.1,223.6,135.4,31.1,133.4,-11.5,,15.0,0.0,-3.5,121.9,-47.9,1.6,75.6,0.0,0.0,0.0,75.6,0.0,75.6,0.0,0.0,75.6,113.2,37.6,171.4,0.44,0.44,0.660443,175.1,0.43,0.43,0.644734,
06/30/2015,1183.6,1183.6,-664.2,664.2,519.4,0.0,-300.8,211.3,89.8,-0.3,218.6,-12.6,,15.2,0.0,-2.6,206.0,-62.2,1.3,145.1,0.0,0.0,0.0,145.1,0.0,145.1,0.0,0.0,145.1,144.0,-1.1,172.8,0.84,0.84,0.833333,176.1,0.82,0.82,0.813754,
