Date,Revenue,Rental Income,Base Rent,Recoveries from Tenants,Percentage Rent,Other Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Other Property Expense,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,Impairment of Assets,Disposal of Con Assets,Disposal of Uncon Assets,Abnormal Losses/(Gains),Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Amortization of Financing Costs,Recurring Capital Expenditure,Accounting Adjustments,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
09/30/1996,12.202,11.02,,,,,,0.991,0.0,0.191,-6.452,2.955,,,1.294,2.203,0.0,,0.0,5.75,-2.725,2.742,,-0.017,3.025,0.0,,,,0.0,,,3.025,,3.025,0.0,,3.025,3.025,,10.803,0.28,0.28,0.28,10.803,0.28,0.28,0.28,,,,,,,,,,5.475,,5.475,,,,,,,5.475,0.506804,0.506804,0.405,79.912608,79.912608,78.301375,
12/31/1996,13.621,12.501,,,,,,0.932,0.0,0.188,-8.539,3.738,,,2.151,2.65,0.0,,0.0,5.082,-3.372,3.404,,-0.032,1.71,0.0,,,,0.0,,,1.71,,1.71,0.0,,1.71,1.71,,10.945,0.16,0.16,0.16,10.945,0.16,0.16,0.16,,,,,,,,,,5.677,,5.677,,,,,,,5.677,0.518684,0.518684,0.405,78.082171,78.082171,76.184601,
03/31/1997,17.906,16.066,,,,,0.0,1.641,0.0,0.199,-9.368,4.303,,,2.221,2.844,0.0,,0.0,8.538,-3.737,3.737,0.0,0.0,4.801,0.0,,,,0.0,,,4.801,,4.037,0.0,,4.037,4.037,,15.217,0.31,0.31,0.31,16.237,0.3,0.3,0.3,,,,,,,,,,6.793,,6.793,,,,,,,6.793,0.418365,0.418365,0.42,100.390687,100.390687,85.013984,
06/30/1997,24.905001,22.589001,,,,,0.0,2.046,0.0,0.27,-12.51,5.284,,,2.995,4.231,0.0,,0.0,12.395,-6.484,6.484,0.0,0.0,5.911,0.0,,,,0.0,,,5.911,,4.727,0.0,,4.727,4.727,,15.551,0.3,0.3,0.3,19.658001,0.3,0.3,0.3,,,,,,,,,,8.744,,8.744,,,,,,,8.744,0.444806,0.444806,0.42,94.423144,94.423144,74.085085,
09/30/1997,27.066,24.186001,,,,,0.0,2.601,0.0,0.279,-13.401,6.429,,,2.545,4.427,0.0,,0.0,13.665,-4.528,4.528,0.0,0.0,9.137,0.0,,,,0.0,,,9.137,,8.743,0.0,,8.743,8.743,,25.424,0.35,0.35,0.35,26.549999,0.33,0.33,0.33,,,,,,,,,,13.06,,13.06,,,,,,,13.06,0.491902,0.491902,0.42,85.382841,85.382841,81.232771,
12/31/1997,28.91,26.465,,,,,0.0,2.16,0.0,0.285,-13.892,6.888,,,2.203,4.801,0.0,,0.0,15.018,-4.918,4.918,0.0,0.0,10.1,0.0,,,,0.0,,,10.1,,9.895,0.0,,9.895,9.895,,26.121,0.38,0.38,0.38,28.399,0.32,0.32,0.32,,,,,,,,,,14.024,,14.024,,,,,,,14.024,0.49382,0.49382,0.42,85.051198,85.051198,78.814889,
03/31/1998,31.018999,28.179001,,,,,,2.504,0.0,0.336,-15.794,6.905,,,3.433,5.456,0.0,,0.0,15.225,5.022,5.215,0.0,-10.237,20.247001,,,,,0.0,,,,,19.555,0.0,,19.555,19.555,,27.226999,0.72,0.72,0.72,29.063,0.693,0.693,0.693,,,,,,,,,,15.43,,15.43,,,,,,,15.43,0.530916,0.530916,0.44,82.875694,82.875694,77.906673,
06/30/1998,35.460999,31.783001,,,,,,2.902,0.0,0.776,-17.112,7.355,,,3.829,5.928,0.0,,0.0,18.349,-7.15,7.659,0.0,-0.509,11.199,,,,,0.0,,,,,10.798,0.0,,10.798,10.798,,27.445,0.39,0.39,0.39,29.257999,0.38,0.38,0.38,,,,,,,,,,16.077,,16.077,,,,,,,16.077,0.549491,0.549491,0.44,80.074143,80.074143,76.531692,
09/30/1998,37.155998,33.756001,,,,,,2.617,0.0,0.783,-17.846,7.87,,,3.376,6.6,0.0,,0.0,19.31,-6.84,6.831,0.0,0.009,12.47,,,,,0.0,,,,,10.061,0.0,,10.061,10.061,,27.957001,0.36,0.36,0.36,29.757,0.35,0.35,0.35,,,,,,,,,,16.653999,,16.653999,,,,,,,16.653999,0.559667,0.559667,0.44,78.618233,78.618233,73.976223,
12/31/1998,41.618,36.769001,,,,,,3.84,0.0,1.009,-20.202,8.714,,,4.426,7.062,0.0,,0.0,21.415999,-9.093,9.082,0.0,0.011,12.323,,,,,0.0,,,,,10.176,0.0,,10.176,10.176,,28.271999,0.36,0.36,0.36,30.072001,0.407,0.407,0.407,,,,,,,,,,17.134001,,17.134001,,,,,,,17.134001,0.569766,0.569766,0.44,77.224697,77.224697,74.973731,
03/31/1999,51.875999,48.879002,,,,,,0.0,0.0,2.997,-24.952,11.754,,,3.787,9.411,0.0,,0.0,26.924001,-10.8,10.8,0.0,0.0,16.124001,,,,,0.0,,,,,13.66,-0.204,,13.456,13.456,,36.41,0.34,0.34,0.34,38.200001,0.34,0.34,0.34,,,,,,,,,,23.391001,,23.391001,,,,,,,23.391001,0.61233,0.61233,0.46,75.122909,75.122909,117.083484,
06/30/1999,80.205002,74.037003,,,,,0.0,0.0,0.0,6.168,-35.137001,17.249001,,,5.144,12.37,0.0,,0.374,45.067999,-17.171,17.171,0.0,0.0,27.896999,0.0,,,,0.0,,,27.896999,,25.025999,-0.696,,24.329999,24.329999,,58.987,0.41,0.41,0.41,61.134998,0.41,0.41,0.41,,,,,,,,,,37.950001,,37.950001,,,,,,,37.950001,0.620757,0.620757,0.46,74.103026,74.103026,72.192354,
09/30/1999,78.871002,74.364998,,,,,0.0,0.0,0.0,4.506,-36.521,18.239,,,4.795,13.112,0.0,,0.375,42.02,-14.357,15.575,-1.218,0.0,27.663,0.0,,,,0.0,,,27.663,,24.642,-0.677,,23.965,23.965,,59.571999,0.4,0.4,0.4,61.661999,0.4,0.4,0.4,,,,,,,,,,38.355,,38.355,,,,,,,38.355,0.62202,0.62202,0.46,73.9526,73.9526,71.445705,
12/31/1999,88.773003,82.533997,,,,,0.0,2.197,0.0,4.042,-39.483,20.216,,,5.548,13.719,0.0,,0.0,49.568001,-13.284,16.521,-3.47,0.233,36.284001,0.0,,,,0.0,,,36.284001,,26.518,-0.668,,25.85,25.85,,56.533001,0.44,0.44,0.44,58.582001,0.44,0.44,0.44,,,,,,,,,,41.299999,,41.299999,,,,,,,41.299999,0.704995,0.704995,0.46,65.248719,65.248719,39.32688,
03/31/2000,81.681488,78.584,,,,,0.0,0.0,0.0,3.097486,-36.79,18.532,,,4.496,13.762,0.0,,0.0,44.891485,-15.327486,15.691,-0.363514,0.0,29.563999,0.0,,,,0.0,,,29.563999,,22.32,-0.699,,21.621,21.621,,56.509998,0.38,0.38,0.38,58.585999,0.38,0.38,0.38,,,,,,,,,,36.700001,,36.700001,,,,,,,36.700001,0.62643,0.62643,0.48,76.624738,76.624738,73.91008,
06/30/2000,87.386002,86.566002,,,,,0.0,0.0,0.0,0.82,-38.199,18.893,,,3.761,14.625,0.0,,0.92,42.276998,-18.483999,18.198999,0.303,-0.018,23.792999,0.0,,,,0.0,,,23.792999,,16.117001,-0.699,,15.418001,15.418001,,56.678001,0.27,0.27,0.27,58.627998,0.27,0.27,0.27,,,,,,,,,,38.200001,,38.200001,,,,,,,38.200001,0.651566,0.651566,0.48,73.668687,73.668687,71.217276,
09/30/2000,90.995003,83.813004,,,,,0.0,0.0,0.0,7.182,-41.601,20.997,,,4.997,14.777,0.0,,0.83,49.395001,-15.987,18.792,-2.805,0.0,33.408001,0.0,,,,0.0,,,33.408001,,24.580999,-0.699,,23.881999,23.881999,,56.895,0.42,0.42,0.42,58.682999,0.42,0.42,0.42,,,,,,,,,,39.700001,,39.700001,,,,,,,39.700001,0.676516,0.676516,0.48,70.951735,70.951735,68.790928,
12/31/2000,102.827003,82.254997,,,,,0.0,4.808,0.0,15.763,-47.006002,23.874001,,,6.679,16.266001,0.0,,0.187,62.730002,-27.063,19.289,-0.637,8.411,35.667002,0.0,,,,0.0,,,35.667002,,24.593,-0.72,,23.873,23.873,,56.799999,0.42,0.42,0.42,56.799999,0.42,0.42,0.42,,,,,,,,,,44.200001,,44.200001,,,,,,,44.200001,0.778169,0.778169,0.48,61.683255,61.683255,61.828051,
03/31/2001,92.036797,84.541794,,,,,0.0,0.0,0.0,7.495,-43.536,21.945,,,5.695,15.896,0.0,,0.0,50.268,-17.172,19.337,-1.165,-1.0,33.096,0.0,,,,0.0,,,33.096,,23.146,-0.734,,22.412,22.412,,57.205002,0.39,0.37,0.37,59.012001,0.39,0.37,0.37,,,,,,,,,,39.299999,,39.299999,,,,,,,39.299999,0.665966,0.665966,0.5,75.078884,75.078884,72.781175,
06/30/2001,95.832001,81.884506,,,,,0.0,0.0,0.0,8.721592,-45.091998,21.643999,,,4.603,16.872999,0.0,,1.972,50.74,-17.361,19.118,-0.727,-1.03,33.379,0.0,,,,-1.839065,,,35.218065,,24.149,-0.744,,23.405,23.405,,57.504002,0.41,0.38,0.38,59.272999,0.41,0.38,0.38,,,,,,,,,,39.5,,39.5,,,,,,,39.5,0.666408,0.666408,0.5,75.029113,75.029113,72.789876,
09/30/2001,92.29216,83.217163,,,,,0.0,0.0,0.0,9.075,-44.907,22.149,,,4.47,16.973,0.0,,1.315,54.314998,-18.293999,18.389999,-0.233,0.137,36.020999,0.0,,,,-2.414,,,38.434999,,26.85,-0.744,,26.106,26.106,,57.556,0.45,0.41,0.41,59.383999,0.45,0.41,0.41,,,,,,,,,,43.900002,,43.900002,,,,,,,43.900002,0.739256,0.739256,0.5,67.635531,67.635531,65.553528,
12/31/2001,101.830002,84.287003,,,,,0.0,5.577,0.0,11.966,-47.863,23.237,,,5.793,17.764,0.0,,1.069,53.966999,-18.114999,17.570999,-1.314,1.858,35.852,0.0,,,,0.0,,,35.852,,26.518999,-0.743,,25.775999,25.775999,,58.889,0.45,0.45,0.45,59.200001,0.45,0.45,0.45,,,,,,,,,,46.299999,,46.299999,,,,,,,46.299999,0.782095,0.782095,0.5,63.930888,63.930888,62.196548,
03/31/2002,86.513,84.489998,,,,,0.0,0.0,0.0,2.023,-41.341999,21.285999,,,3.99,16.066,0.0,,0.0,45.171,-17.062,19.622,-1.066,-1.494,28.109,0.0,,,,-6.139,,,34.248,,25.277,-0.759,,24.518,24.518,,57.855999,0.42,0.31,0.31,59.790001,0.42,0.31,0.31,,,,,,,,,,39.966999,,39.966999,,,,,,,39.966999,0.668456,0.668456,0.51,76.295197,76.295197,74.436412,
06/30/2002,87.332001,84.912003,,,,,0.0,0.0,0.0,2.42,-46.235,21.681,,,5.222,16.618,2.364,,0.35,41.097,-16.962,21.166,-1.82,-2.384,24.135,0.0,,,,-7.737,,,31.872,,22.990999,-0.759,,22.231999,22.231999,,58.119999,0.38,0.25,0.21,60.098999,0.38,0.25,0.21,,,,,,,,,,42.252998,,42.252998,,,,,,,42.252998,0.703057,0.703057,0.51,72.54039,72.54039,70.151238,
09/30/2002,97.765999,89.463997,,,,,0.0,0.0,0.0,8.302,-46.756,22.532,,,6.075,17.722,0.16,,0.267,51.010001,-19.560001,21.381001,-1.302,-0.519,31.45,0.0,,,,-5.057,,,36.507,,27.451,-0.759,,26.692,26.692,,58.344002,0.46,0.36,0.36,60.169998,0.46,0.36,0.36,,,,,,,,,,44.879002,,44.879002,,,,,,,44.879002,0.74587,0.74587,0.51,68.376518,68.376518,66.300492,
12/31/2002,91.208,89.764,,,,,0.0,0.0,0.0,1.444,-49.711999,23.372999,,,7.172,18.469,0.0,,0.698,41.495998,-11.740999,22.452999,-1.578,-9.134,29.754999,0.0,,,,-14.075,,,43.829999,,34.807999,-0.582,,34.225999,34.225999,,58.514,0.58,0.34,0.34,61.743999,0.58,0.34,0.34,,,,,,,,,,51.695,,51.695,,,,,,,51.695,0.837247,0.837247,0.51,60.913898,60.913898,63.220812,
03/31/2003,89.121002,87.559998,,,,,0.0,1.561,0.0,0.0,-45.198,23.065001,,,4.135,17.997999,0.0,,0.0,43.923001,-15.870001,20.582001,-2.336,-2.376,28.053,0.0,,,,-1.126,,,29.179,,17.924,0.0,,17.924,17.924,,60.164001,0.3,0.28,0.28,62.098,0.3,0.28,0.28,,,,,,,,,,38.405998,,38.405998,,,,,,,38.405998,0.618474,0.618474,0.52,84.077909,84.077909,81.461232,
06/30/2003,89.213997,87.330002,,,,,0.0,1.884,0.0,0.0,-47.437,23.219,,,6.166,18.052,0.0,,0.0,41.776998,-11.405999,20.816999,-1.984,-7.427,30.370999,0.0,,,,-4.025,,,34.395999,,26.992,-1.36,,25.632,25.632,,60.161999,0.43,0.36,0.36,62.011002,0.42,0.36,0.36,,,,,,,,,,41.308998,,41.308998,,,,,,,41.308998,0.666156,0.666156,0.52,78.0598,78.0598,75.731684,
09/30/2003,88.730003,87.168999,,,,,0.0,1.561,0.0,0.0,-46.787001,22.544001,,,6.138,18.105,0.0,,0.0,41.942999,-7.809,21.195,-1.59,-11.796,34.133999,0.0,,,,-5.031,,,39.164999,,31.166,-1.397,,29.769,29.769,,57.646999,0.52,0.43,0.43,59.442001,0.51,0.43,0.43,,,,,,,,,,46.220001,,46.220001,,,,,,,46.220001,0.777565,0.777565,0.52,66.875465,66.875465,65.670706,
12/31/2003,90.258003,88.845001,,,,,0.0,1.413,0.0,0.0,-52.667999,22.719,,,7.791,18.737,0.0,,3.421,37.589998,11.523002,20.959999,-5.366,-27.117001,49.113,0.0,,,,-11.813,,,60.926,,54.707001,-1.418,,53.289001,53.289001,,59.733002,0.89,0.69,0.69,61.480999,0.89,0.69,0.69,,,,,,,,,,55.890999,,55.890999,,,,,,,55.890999,0.909078,0.909078,0.52,57.200835,57.200835,55.706645,
03/31/2004,90.544998,88.098,,,,,0.0,1.61,0.0,0.837,-48.810001,22.878,,,5.883,19.561001,0.0,,0.488,41.735,-15.16,21.888,-2.745,-3.983,26.575,0.0,,,,-1.757,,,28.332,,22.816999,-1.397,,21.419999,21.419999,,60.141998,0.36,0.33,0.33,61.640999,0.35,0.32,0.32,,,,,,,,,,41.874001,,41.874001,,,,,,,41.874001,0.679321,0.679321,0.53,78.019126,78.019126,78.019767,
06/30/2004,93.990997,92.224998,,,,,0.0,1.766,0.0,0.0,-51.401,23.85,,,7.221,20.33,0.0,,0.0,42.59,-13.054001,18.665001,-1.944,-3.667,29.535999,0.0,,,,-2.492,,,32.027999,,26.456,-1.397,,25.059,25.059,,60.783001,0.41,0.37,0.37,61.891998,0.41,0.37,0.37,,,,,,,,,,46.652,,46.652,,,,,,,46.652,0.753765,0.753765,0.53,70.313725,70.313725,70.314244,
09/30/2004,92.498,90.581,,,,,,1.917,,,-51.309,23.381,,,7.232,19.218,,,1.478,41.189,-8.705,19.833,-2.199,-8.929,32.484,,,,,-13.186,,,,,37.746,-2.177,,35.569,35.569,,60.812,0.58,0.36,0.36,61.117,0.58,0.36,0.36,,,,,,,,,,51.261508,,51.261508,,,,,,,51.261508,0.838744,0.838744,0.53,63.189733,63.189733,62.874389,
12/31/2004,103.719,98.349,,,,,0.0,5.37,0.0,0.0,-61.151,29.923,,,9.945,21.283,0.0,,0.0,42.568,4.027,21.277,-3.306,-21.998,46.595,0.0,,,,-5.996,,,52.591,,49.308,-3.633,,45.675,45.675,,62.719,0.73,0.63,0.63,64.341,0.73,0.63,0.63,,,,,,,,,,61.085,,61.085,,,,,,,61.085,0.949395,0.949395,0.53,55.825047,55.825047,54.417615,
03/31/2005,95.94,90.231,,,,,,3.318,0.0,2.391,-31.232,22.58,,,8.652,19.619,,,1.428,41.27,-11.455,20.388,-2.391,-6.542,29.815,,,,,-11.328,,,,,38.348,-3.662,,34.686,34.686,,62.328,0.55,0.37,0.37,62.562,0.55,0.37,0.37,,,,,,,,,,57.276828,,57.276828,,,,,,,57.276828,0.915521,0.915521,0.55,60.07508,60.07508,60.502652,
06/30/2005,106.888,90.04,,,,,,16.848,,,-31.74,22.338,,,9.402,20.163,,,0.534,54.451,-17.405,21.949,-0.946,-3.598,37.046,,,,,-9.756,,,,,43.88,-3.663,,40.217,40.217,,62.557,0.64,0.48,0.48,63.528,0.63,0.47,0.47,,,,,,,,,,66.05,,66.05,,,,,,,66.05,1.039699,1.039699,0.55,52.899924,52.899924,52.590462,
09/30/2005,90.31,90.937,,,,,,3.326,,-3.953,-51.585,22.523,,,9.148,19.71,,,0.204,38.725,-18.976,22.727,,-3.751,19.749,,,,,-15.598,,,,,32.063,-4.5,,27.563,27.563,,65.476,0.42,0.18,0.18,65.977,0.41,0.18,0.18,,,,,,,,,,54.173825,,54.173825,,,,,,,54.173825,0.821102,0.821102,0.55,66.983179,66.983179,66.474538,
12/31/2005,88.844,84.317,,,,,0.0,4.527,0.0,0.0,-49.259,20.621,,,10.613,17.433,0.0,,0.592,39.585,-18.678,21.466,2.292,-5.08,20.907,0.0,,,,-28.778,,,49.685,,48.356,-4.919,,43.437,43.437,,67.475,0.64,0.2,0.2,67.661,0.64,0.2,0.2,,,,,,,,,,64.909347,,64.909347,,,,,,,64.909347,0.959332,0.959332,0.55,57.331574,57.331574,57.173969,
03/31/2006,99.81,92.55,,,,,0.0,7.26,0.0,0.0,-56.485,21.801,,,10.803,20.223,0.0,,3.658,43.325,-2.783,19.218,-0.755,-15.68,40.542,0.0,,,65.855646,-32.316,,,72.858,1.180054,70.775,-4.919,2.275779,65.856,65.856,,67.408,0.97,0.49,0.49,67.849,0.97,0.49,0.49,,17.895557,11.306203,2.673529,,-40.11373,,,-0.342245,58.455014,,58.455014,-1.538825,,,-1.730535,-0.920244,-3.200742,53.340447,0.846687,0.772606,0.595,70.273875,77.01211,69.391823,
06/30/2006,105.4,93.259,,,,,0.0,12.141,0.0,0.0,-56.328,22.953,,,10.83,20.812,0.0,,1.733,49.072,-10.624,19.879,0.338,-9.593,38.448,0.0,,,32.127869,-4.257,,,42.705,0.491753,37.047,-4.919,2.255791,32.128,32.128,,67.972,0.47,0.4,0.4,68.353,0.47,0.4,0.4,,18.24,10.782008,2.850257,,0.144217,,,-0.256282,64.379822,,64.379822,-1.332457,,,-1.914829,-1.037408,-3.456089,58.89483,0.930676,0.851385,0.595,63.931991,69.886103,62.8199,
09/30/2006,103.195,97.29,,,,,0.0,5.327,0.0,0.578,-54.13,22.806,,,10.765,21.384,0.0,,-0.825,49.065,-4.174,20.166,-0.578,-15.414,44.891,0.0,,,39.391883,-1.464,,,46.355,0.492838,44.889,-4.919,2.112736,39.97,39.97,,68.2,0.57,0.55,0.55,68.618,0.57,0.55,0.55,,18.467416,10.539598,2.969672,,-2.367372,,,-0.12525,69.241492,,69.241492,-1.483854,,,-2.843925,-0.963695,-3.202269,62.860485,0.999599,0.90748,0.595,59.523848,65.566151,58.605034,
12/31/2006,109.141,102.064,,,,,0.0,7.077,0.0,0.0,-72.417,26.217,,,13.097,21.741,0.0,,11.362,36.724,5.991,20.507,-1.585,-24.913,42.715,0.0,,,61.460879,-25.089,,,67.804,0.711163,66.378,-4.918,2.412877,61.46,61.46,,68.037,0.9,0.53,0.53,68.432,0.88,0.53,0.53,,18.607972,10.787702,2.857526,,-17.39285,,,-0.183186,76.849206,,76.849206,-1.864278,,,-5.444068,5.58301,-3.522736,74.014011,1.102206,1.061542,0.595,53.982662,56.050532,54.88788,
03/31/2007,106.413,100.032,,,,,0.0,6.381,0.0,0.0,-58.552,24.344,,,12.297,21.451,0.0,,0.46,47.861,10.044,19.389,-3.788,-25.645,57.905,0.0,,,52.0692,-0.831,,,58.736,0.546578,56.988,-4.919,2.51694,52.069,52.069,,68.618,0.75,0.74,0.74,69.015,0.75,0.74,0.74,,17.944307,10.669368,2.665132,,-4.760237,,,-0.289402,78.844946,,78.844946,-2.009636,,,-1.636889,-1.057154,-3.004614,73.653593,1.131282,1.056796,0.66,58.340882,62.452943,57.970742,
06/30/2007,107.839,100.343,,,,,0.0,7.496,0.0,0.0,-60.685,24.722,,,12.907,21.795,0.0,,1.261,47.154,-16.082,20.311,-0.78,-3.449,31.072,0.0,,,44.365297,-19.633,,,50.705,0.432535,49.284,-4.919,2.510542,44.365,44.365,,68.918,0.64,0.35,0.35,69.235,0.64,0.35,0.35,,18.385561,10.526207,2.617559,,-10.555722,,,-0.269063,65.502374,,65.502374,-2.050105,,,-2.611889,-0.56361,-3.557598,59.229714,0.937772,0.847969,0.66,70.379597,77.833074,138.883149,
