Date,Revenue,Sales & Services Revenue,Financing Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2000,553.5,,,,-313.3,,240.2,0.0,-160.5,94.1,,,66.4,79.7,-1.0,,8.2,0.0,-6.0,-1.2,78.7,-31.1,47.6,0.0,,,47.6,0.0,47.6,0.0,0.0,47.6,47.6,,167.9,0.28,0.28,0.28,174.8,0.27,0.27,0.27,
12/31/2000,582.5,,,,-92.5,,490.0,,,,,,,,,,,,,,,,54.3,,,,,,54.3,,,54.3,54.3,,153.4,0.35,0.35,0.35,158.6,0.34,0.34,0.34,
03/31/2001,591.5,,,,-322.100006,,269.399994,,-178.899994,,,,,90.5,-5.3,,7.2,0.0,,-1.9,85.2,-33.099998,52.099998,0.0,,,52.100002,0.0,52.099998,0.0,0.0,52.099998,52.099998,,169.300003,0.31,0.31,0.31,175.5,0.3,0.3,0.3,
06/30/2001,571.200012,,,,-311.5,,259.700012,,-170.5,,,,,89.199997,-33.7,,5.3,0.0,,28.4,55.499997,-28.200001,27.299999,0.0,,,27.299996,0.0,27.299999,0.0,0.0,27.299999,27.299999,,169.800003,0.16,0.16,0.31,175.5,0.16,0.16,0.31,
09/30/2001,567.200012,,,,-309.200012,,258.0,,-167.399994,,,,,90.599998,-68.300003,,4.0,0.0,,64.300003,22.299995,-19.299999,3.0,0.0,,,2.999996,0.0,3.0,0.0,0.0,3.0,3.0,,169.899994,0.02,0.02,0.31,174.199997,0.02,0.02,0.31,
12/31/2001,590.7,,,,-96.1,,494.6,0.0,-166.0,,,,,494.6,-4.2,,3.5,0.0,,0.7,490.4,-35.5,494.6,0.0,,,454.9,0.0,56.4,0.0,0.0,56.4,56.4,,168.5,0.33,0.33,0.33,172.5,0.33,0.33,0.33,
03/31/2002,587.5,,,,-326.0,,261.5,,-163.0,,,,,98.5,-4.2,,3.6,0.0,,0.6,94.3,-34.700001,59.599998,0.0,,,59.599999,0.0,59.599998,0.0,0.0,59.599998,59.599998,,168.100006,0.35,0.35,0.35,172.5,0.35,0.35,0.35,
06/30/2002,572.700012,,,,-315.0,,257.700012,,-163.199997,,,,,94.5,0.9,,2.3,0.0,,-3.2,95.4,-36.299999,59.099998,0.0,,,59.100001,0.0,59.099998,0.0,0.0,59.099998,59.099998,,167.300003,0.35,0.35,0.35,170.899994,0.35,0.35,0.35,
09/30/2002,561.200012,,,,-308.100006,,253.100006,,-163.300003,,,,,89.800003,-2.9,,3.1,0.0,,-0.2,86.900003,-31.299999,55.599998,0.0,,,55.600004,0.0,55.599998,0.0,0.0,55.599998,55.599998,,161.300003,0.34,0.34,0.34,163.699997,0.34,0.34,0.34,
12/31/2002,564.8,,,,-78.2,,486.6,0.0,-170.800003,,,,,486.6,-110.400002,,2.0,0.0,,108.400002,376.199998,3.8,486.6,0.0,,,379.999998,0.0,48.4,0.0,0.0,48.4,48.4,,155.0,0.31,0.31,0.31,157.3,0.31,0.31,0.31,
03/31/2003,560.400024,,,,-323.600006,,236.800018,,-168.300003,,,,,68.5,-13.1,,1.5,0.0,,11.6,55.4,-20.5,34.900002,0.0,,,34.9,0.0,34.900002,0.0,0.0,34.900002,34.900002,,153.899994,0.23,0.23,0.27,156.199997,0.22,0.22,0.26,
06/30/2003,563.2,,,,-322.6,,240.6,0.0,-169.6,115.0,,,54.6,71.0,-3.3,,1.7,0.0,1.3,0.3,67.7,-24.9,42.8,0.0,,,42.8,0.0,42.8,0.0,0.0,42.8,42.8,,145.3,0.29,0.29,0.29,148.5,0.29,0.29,0.29,
09/30/2003,570.700012,,,,-329.799988,,240.900024,,-166.699997,,,,,74.199997,-2.3,,1.8,0.0,,0.5,71.899997,-26.4,45.5,0.0,,,45.499997,0.0,45.5,0.0,0.0,45.5,45.5,,141.600006,0.32,0.32,0.32,145.199997,0.31,0.31,0.31,
12/31/2003,594.5,,,,-344.899994,,249.600006,,-171.899994,,,,,77.699997,-1.1,,1.9,0.0,,-0.8,76.599997,-28.200001,48.400002,0.0,,,48.399996,0.0,48.400002,0.0,0.0,48.400002,48.400002,,141.899994,0.34,0.34,0.34,145.100006,0.33,0.33,0.33,
03/31/2004,573.900024,,,,-351.399994,,222.500031,,-167.600006,,,,,54.900002,-3.5,,1.7,0.0,,1.8,51.400002,-18.9,32.5,0.0,,,32.500002,0.0,32.5,0.0,0.0,32.5,32.5,,142.100006,0.23,0.23,0.23,145.300003,0.22,0.22,0.22,
06/30/2004,601.700012,,,,-377.299988,,224.400024,,-178.199997,,,,,46.200001,-0.8,,2.0,0.0,,-1.2,45.400001,-16.700001,28.700001,0.0,,,28.7,0.0,28.700001,0.0,0.0,28.700001,28.700001,,142.100006,0.2,0.2,0.2,146.300003,0.2,0.2,0.2,
09/30/2004,639.900024,,,,-394.899994,,245.000031,,-191.399994,,,,,53.599998,-6.0,,3.0,0.0,,3.0,47.599998,-17.5,30.1,0.0,,,30.099998,0.0,30.1,0.0,0.0,30.1,30.1,,140.600006,0.21,0.21,0.21,144.899994,0.21,0.21,0.21,
12/31/2004,672.2,,,,-418.4,,253.8,,-192.6,136.3,,,56.3,61.2,-32.2,3.6,3.6,0.0,,28.6,29.0,-8.8,20.2,0.0,,,20.2,0.0,20.2,0.0,0.0,20.2,20.2,21.0,140.6,0.14,0.14,0.29,144.9,0.14,0.14,0.28,
03/31/2005,637.3,,,,-397.3,,240.0,,-188.1,,,,,51.9,-2.4,4.8,4.8,0.0,,-2.4,49.5,-18.3,31.2,0.0,,,31.2,0.0,31.2,0.0,0.0,31.2,31.2,,141.3,0.22,0.22,0.22,143.8,0.22,0.22,0.22,
06/30/2005,630.4,,,,-394.7,,235.7,,-188.8,,,,,46.9,-7.6,4.9,4.9,0.0,,2.7,39.3,-13.7,25.6,0.0,,,25.6,0.0,25.6,0.0,0.0,25.6,25.6,,140.4,0.18,0.18,0.22,142.9,0.18,0.18,0.22,
09/30/2005,644.8,,,,-391.3,,253.5,0.0,-186.5,130.1,,,56.4,67.0,1.4,,5.9,0.0,-7.4,0.1,68.4,-26.0,42.4,0.0,,,42.4,0.0,42.4,0.0,0.0,42.4,42.4,,139.2,0.3,0.3,0.3,142.2,0.3,0.3,0.3,
03/31/2006,675.3,,,,-423.4,,251.9,,-189.9,,,,,62.0,-4.0,5.7,5.7,0.0,,-1.7,58.0,-21.3,36.7,0.0,,,36.7,0.0,36.7,0.0,0.0,36.7,36.7,,139.0,0.26,0.26,0.26,142.3,0.26,0.26,0.26,
06/30/2006,691.8,,,,-438.6,,253.2,,-190.4,,,,,62.8,-3.5,5.8,5.8,0.0,,-2.3,59.3,-19.5,39.8,0.0,,,39.8,0.0,39.8,0.0,0.0,39.8,39.8,,139.1,0.29,0.29,0.29,142.4,0.28,0.28,0.28,
09/30/2006,702.7,,,,-439.9,,262.8,,-193.1,,,,,69.7,-0.7,5.7,5.7,0.0,,-5.0,69.0,-23.8,45.2,0.0,,,45.2,0.0,45.2,0.0,0.0,45.2,45.2,,138.0,0.33,0.33,0.33,141.4,0.32,0.32,0.32,
12/31/2006,720.0,,,,-452.9,,267.1,,-196.2,141.4,,,54.8,70.9,-12.6,5.6,5.6,0.0,,7.0,58.3,-13.8,44.5,0.0,,,44.5,0.0,44.5,0.0,0.0,44.5,44.5,,137.0,0.32,0.32,0.38,140.7,0.32,0.32,0.38,
03/31/2007,719.9,,,,-458.8,,261.1,,-195.9,144.7,,,51.2,65.2,-0.6,,4.8,0.0,2.0,-6.2,64.6,-21.0,43.6,0.0,,,43.6,0.0,43.6,0.0,0.0,43.6,43.6,,136.6,0.32,0.32,0.32,140.7,0.31,0.31,0.31,
06/30/2007,707.0,,,,-461.6,,245.4,,-187.3,,,,,58.1,-0.5,4.6,4.6,0.0,,-4.1,57.6,-18.8,38.8,0.0,,,38.8,0.0,38.8,0.0,0.0,38.8,38.8,,136.3,0.28,0.28,0.28,140.2,0.28,0.28,0.28,
09/30/2007,703.7,,,,-456.8,,246.9,,-180.5,131.0,,,49.5,66.4,-4.2,,4.2,0.0,2.2,-2.2,62.2,-20.4,41.8,0.0,,,41.8,0.0,41.8,0.0,0.0,41.8,41.8,,133.7,0.31,0.31,0.33,137.1,0.3,0.3,0.32,
12/31/2007,713.7,,,,-460.7,,253.0,,-194.5,,,,,58.5,2.7,3.9,3.9,0.0,,-6.6,61.2,-15.9,45.3,0.0,,,45.3,0.0,45.3,0.0,0.0,45.3,45.3,,129.6,0.35,0.35,0.35,132.9,0.34,0.34,0.34,
03/31/2008,716.4,,,,-472.0,,244.4,,-191.4,,,,,53.0,-12.2,3.8,3.8,0.0,,8.4,40.8,-4.9,35.9,0.0,,,35.9,0.0,35.9,0.0,0.0,35.9,35.9,,126.9,0.28,0.28,0.31,129.2,0.28,0.28,0.31,
06/30/2008,689.5,,,,-459.6,,229.9,,-182.5,,,,,47.4,6.5,4.0,4.0,0.0,,-10.5,53.9,-13.4,40.5,0.0,,,40.5,0.0,40.5,0.0,0.0,40.5,40.5,,123.0,0.33,0.33,0.33,125.3,0.32,0.32,0.32,
09/30/2008,676.2,,,,-510.1,,166.1,,-200.6,,,,,-34.5,-195.7,5.5,5.5,0.0,,190.2,-230.2,90.2,-140.0,0.0,,,-140.0,0.0,-140.0,0.0,0.0,-140.0,-140.0,,122.0,-1.15,-1.15,0.3,124.7,-1.15,-1.15,0.27,
12/31/2008,703.7,,,,-451.2,,252.5,,-206.7,,,,,45.8,-74.2,9.3,9.3,0.0,,64.9,-28.4,-0.9,-29.3,0.0,,,-29.3,0.0,-29.3,0.0,0.0,-29.3,-29.3,65.4,122.1,-0.24,-0.24,0.3,124.2,-0.24,-0.24,0.3,
03/31/2009,624.5,624.5,,,-379.7,379.7,244.8,0.0,-204.3,154.4,19.2,30.7,0.0,40.5,-1.1,,6.8,,-10.7,5.0,39.4,-8.2,31.2,3.2,3.2,0.0,28.0,0.0,28.0,0.0,0.0,28.0,31.2,0.0,122.4,0.23,0.25,0.25,124.0,0.23,0.25,0.25,
06/30/2009,609.7,609.7,,,-364.9,364.9,244.8,0.0,-205.1,154.0,20.3,30.8,0.0,39.7,-1.0,,6.9,,-10.8,4.9,38.7,-12.4,26.3,87.2,87.2,0.0,-60.9,0.0,-60.9,0.0,0.0,-60.9,26.300096,9.6e-05,122.8,-0.5,0.21,0.21417,125.1,-0.5,0.21,0.210001,
09/30/2009,590.8,590.8,,,-356.1,356.1,234.7,0.0,-207.9,149.3,18.7,30.8,9.1,26.8,1.8,,7.4,,-10.2,1.0,28.6,1.6,30.2,116.2,116.2,0.0,-86.0,0.0,-86.0,0.0,0.0,-86.0,36.115,5.915,122.9,-0.7,0.25,0.293857,125.4,-0.7,0.24,0.287169,
12/31/2009,596.0,596.0,,,-360.9,360.9,235.1,0.0,-240.9,158.7,16.0,28.9,37.3,-5.8,-4.8,,7.8,,-9.3,6.3,-10.6,7.4,-3.2,-44.8,-44.8,0.0,41.6,0.0,41.6,0.0,0.0,41.6,21.045,24.245,123.1,0.34,-0.02,0.170959,123.1,0.34,-0.02,0.170959,
03/31/2010,546.0,546.0,,,-322.0,322.0,224.0,0.0,-201.9,158.6,15.1,28.2,0.0,22.1,15.9,,5.7,,-13.3,-8.3,38.0,-12.4,25.6,-9.7,-9.7,0.0,35.3,0.0,35.3,0.0,0.0,35.3,29.63,4.03,123.4,0.29,0.21,0.240113,125.9,0.28,0.2,0.23201,
06/30/2010,528.2,528.2,,,-319.4,319.4,208.8,0.0,-201.0,141.0,14.1,28.3,17.6,7.8,4.6,,5.4,,-11.7,1.7,12.4,-1.2,11.2,-16.2,-16.2,0.0,27.4,0.0,27.4,0.0,0.0,27.4,22.64,11.44,123.9,0.22,0.09,0.182728,126.0,0.22,0.09,0.180794,
09/30/2010,556.0,556.0,,,-341.1,341.1,214.9,0.0,-180.2,140.6,13.1,26.5,0.0,34.7,9.1,,4.1,,-11.9,-1.3,43.8,-8.8,35.0,6.2,6.2,0.0,28.8,0.0,28.8,0.0,0.0,28.8,35.91,0.91,123.2,0.23,0.28,0.291477,125.4,0.23,0.28,0.287257,
12/31/2010,573.2,573.2,,,-358.4,358.4,214.8,0.0,-374.0,135.5,13.9,24.4,200.2,-159.2,7.0,,4.3,,-10.3,-1.0,-152.2,5.7,-146.5,-1.8,-1.8,0.0,-144.7,0.0,-144.7,0.0,0.0,-144.7,-16.37,130.13,121.9,-1.19,-1.2,-0.13429,121.9,-1.19,-1.2,-0.13429,
03/31/2011,464.8,464.8,,,-295.6,295.6,169.2,0.0,-144.5,119.8,3.9,20.8,0.0,24.7,13.2,,4.6,,-10.2,-7.6,37.9,-10.0,27.9,-7.0,-7.0,0.0,34.9,0.0,34.9,0.0,0.0,34.9,23.6,-4.3,122.1,0.29,0.23,0.193284,126.0,0.28,0.22,0.185873,
06/30/2011,474.6,474.6,,,-304.5,304.5,170.1,0.0,-143.7,119.6,3.6,20.5,0.0,26.4,5.9,,4.3,,-10.0,-0.2,32.3,-8.3,24.0,-7.7,-7.7,0.0,31.7,0.0,31.7,0.0,0.0,31.7,24.0,0.0,120.7,0.26,0.2,0.2,124.1,0.26,0.19,0.19,
09/30/2011,493.3,493.3,,,-316.7,316.7,176.6,0.0,-148.5,123.1,3.4,20.8,1.2,28.1,262.6,,3.6,,-265.0,-1.2,290.7,-99.4,191.3,-22.4,-22.4,0.0,213.7,0.0,213.7,0.0,0.0,213.7,18.72,-172.58,120.1,1.78,1.59,0.15587,121.8,1.75,1.57,0.153087,
12/31/2011,500.5,500.5,,,-323.6,323.6,176.9,0.0,-146.0,121.3,3.1,21.6,0.0,30.9,-2.8,,3.6,,,-0.8,28.1,11.2,39.3,-15.2,-15.2,0.0,54.5,0.0,54.5,0.0,0.0,54.5,39.3,0.0,117.9,0.46,0.33,0.33,120.6,0.45,0.33,0.33,
03/31/2012,497.5,497.5,,,-317.7,317.7,179.8,0.0,-150.8,124.7,3.9,22.2,0.0,29.0,-2.2,,3.6,,,-1.4,26.8,-5.4,21.4,-4.7,-4.7,0.0,26.1,0.0,26.1,0.0,0.0,26.1,21.4,0.0,115.9,0.23,0.19,0.19,118.9,0.22,0.18,0.18,
06/30/2012,491.1,491.1,,,-316.5,316.5,174.6,0.0,-235.1,114.1,2.5,22.3,96.2,-60.5,-3.7,,4.4,,,-0.7,-64.2,10.5,-53.7,-68.3,-68.3,0.0,14.6,0.0,14.6,0.0,0.0,14.6,8.83,62.53,115.4,0.13,-0.47,0.076516,115.4,0.13,-0.47,0.071854,
09/30/2012,507.6,507.6,,,-325.7,325.7,181.9,0.0,-142.8,118.0,2.3,21.1,1.4,39.1,-2.0,,2.8,,,-0.8,37.1,-6.8,30.3,2.4,2.4,0.0,27.9,0.0,27.9,0.0,0.0,27.9,31.21,0.91,111.2,0.25,0.27,0.280665,115.5,0.24,0.26,0.267879,
03/31/2013,493.5,337.4,46.1,110.0,-318.2,318.2,175.3,0.0,-138.8,114.6,2.1,22.1,0.0,36.5,-0.6,,2.9,,,-2.3,35.9,-5.7,30.2,5.1,5.1,0.0,25.1,0.0,25.1,0.0,0.0,25.1,30.2,0.0,105.7,0.24,0.28,0.28,110.3,0.23,0.27,0.27,
06/30/2013,504.3,348.7,45.5,110.1,-327.3,327.3,177.0,0.0,-146.9,119.9,2.2,22.6,2.2,30.1,-2.9,,2.9,,,0.0,27.2,-5.2,22.0,-1.4,-1.4,0.0,23.4,0.0,23.4,0.0,0.0,23.4,23.43,1.43,103.8,0.23,0.21,0.225723,108.1,0.22,0.2,0.213228,
09/30/2013,521.0,366.6,43.0,111.4,-341.0,341.0,180.0,0.0,-148.7,118.4,2.0,23.6,4.7,31.3,-0.4,,2.9,,,-2.5,30.9,-2.7,28.2,-5.7,-5.7,0.0,33.9,0.0,33.9,0.0,0.0,33.9,31.255,3.055,103.0,0.33,0.27,0.303447,107.9,0.31,0.26,0.288313,
12/31/2013,527.3,363.9,45.3,118.1,-348.6,348.6,178.7,0.0,-139.2,112.1,1.9,22.5,2.7,39.5,-2.5,,2.8,,,-0.3,37.0,-58.9,-21.9,-0.4,-0.4,0.0,-21.5,0.0,-21.5,0.0,0.0,-21.5,-20.145,1.755,100.8,-0.21,-0.21,-0.199851,106.8,-0.21,-0.21,-0.199851,
03/31/2014,605.7,427.3,50.8,127.6,-380.1,380.1,225.6,0.0,-203.6,145.0,1.9,29.9,26.8,22.0,-5.9,,4.0,,,1.9,16.1,-2.4,13.7,-0.5,-0.5,0.0,14.2,0.0,14.2,0.0,0.0,14.2,29.62,15.92,101.1,0.14,0.14,0.292977,107.3,0.13,0.13,0.278369,
06/30/2014,736.4,554.0,51.0,131.4,-471.2,471.2,265.2,0.0,-228.3,176.6,1.9,46.4,3.4,36.9,-5.6,,5.7,,,-0.1,31.3,-6.4,24.9,0.2,0.2,0.0,24.7,0.0,24.7,0.0,0.0,24.7,27.11,2.21,101.3,0.25,0.25,0.267621,107.0,0.23,0.23,0.250654,
09/30/2014,749.5,569.1,49.4,131.0,-476.1,476.1,273.4,0.0,-231.4,177.5,1.9,46.1,5.9,42.0,-5.6,,5.9,,,-0.3,36.4,-6.4,30.0,-2.8,-2.8,0.0,32.8,0.0,32.8,0.0,0.0,32.8,33.835,3.835,100.7,0.33,0.3,0.335998,105.2,0.31,0.28,0.316454,
12/31/2014,763.9,556.9,51.6,155.4,-487.1,487.1,276.8,0.0,-226.9,177.4,2.0,45.3,2.2,49.9,-4.3,,3.7,,,0.6,45.6,2.4,48.0,-0.4,-0.4,0.0,48.4,0.0,48.4,0.0,0.0,48.4,49.43,1.43,99.8,0.48,0.48,0.495291,105.3,0.46,0.46,0.47358,
03/31/2015,740.5,547.9,55.1,137.5,-472.4,472.4,268.1,0.0,-218.9,171.8,,43.6,3.5,49.2,-1.8,,4.6,,,-2.8,47.4,-8.1,39.3,-0.1,-0.1,0.0,39.4,0.0,39.4,0.0,0.0,39.4,41.575,2.275,99.0,0.4,0.4,0.419949,105.0,0.37,0.37,0.391667,
06/30/2015,716.7,539.4,51.9,125.4,-463.1,463.1,253.6,0.0,-217.3,169.4,,43.3,4.6,36.3,-4.7,,4.7,,,0.0,31.6,-2.6,29.0,0.0,0.0,0.0,29.0,0.0,29.0,0.0,0.0,29.0,31.99,2.99,98.4,0.29,0.29,0.325102,105.0,0.28,0.28,0.308476,
09/30/2015,741.6,559.4,50.5,131.7,-471.1,471.1,270.5,0.0,-222.7,177.7,,41.8,3.2,47.8,-7.2,,4.6,,,2.6,40.6,17.0,57.6,-0.5,-0.5,0.0,58.1,0.0,58.1,0.0,0.0,58.1,38.617778,-18.982222,97.9,0.59,0.59,0.394461,104.1,0.56,0.55,0.367654,
12/31/2015,751.8,549.3,51.6,150.9,-470.9,470.9,280.9,0.0,-219.8,171.1,1.8,39.7,7.2,61.1,-3.8,,4.3,,,-0.5,57.3,-14.7,42.6,0.0,0.0,0.0,42.6,0.0,42.6,0.0,0.0,42.6,49.18,6.58,97.1,0.44,0.44,0.506488,103.9,0.41,0.41,0.47333,
03/31/2016,722.2,529.6,55.1,137.5,-450.4,450.4,271.8,0.0,-211.4,171.2,,38.7,1.5,60.4,-5.8,,4.5,,,1.3,54.6,-10.1,44.5,0.0,0.0,0.0,44.5,0.0,44.5,0.0,0.0,44.5,45.475,0.975,96.5,0.46,0.46,0.471244,103.8,0.43,0.43,0.439393,
06/30/2016,692.3,502.3,51.1,138.9,-435.1,435.1,257.2,0.0,-210.9,169.5,,38.1,3.3,46.3,-5.3,,4.5,,,0.8,41.0,-7.8,33.2,0.0,0.0,0.0,33.2,0.0,33.2,0.0,0.0,33.2,35.53,2.33,96.2,0.35,0.35,0.369335,102.7,0.32,0.32,0.342687,
09/30/2016,741.2,532.2,51.8,157.2,-479.8,479.8,261.4,0.0,-210.8,170.5,,37.4,2.9,50.6,-5.8,,4.6,,,1.2,44.8,-7.1,37.7,-10.0,-10.0,0.0,47.7,0.0,47.7,0.0,0.0,47.7,41.143559,3.443559,95.6,0.5,0.39,0.430372,103.1,0.46,0.36,0.3934,
12/31/2016,757.9,501.7,59.9,196.3,-498.3,498.3,259.6,0.0,-208.2,169.6,,36.1,2.5,51.4,-6.0,,4.6,,,1.4,45.4,-27.9,17.5,0.0,0.0,0.0,17.5,0.0,17.5,0.0,0.0,17.5,42.327576,24.827576,95.0,0.18,0.18,0.445553,101.8,0.17,0.17,0.413886,
03/31/2017,727.6,493.3,77.9,156.4,-450.2,450.2,277.4,0.0,-228.6,177.5,,34.6,16.5,48.8,-4.0,,5.3,,,-1.3,44.8,-6.9,37.9,0.0,0.0,0.0,37.9,0.0,37.9,0.0,0.0,37.9,48.815952,10.915952,94.4,0.4,0.4,0.517118,100.5,0.38,0.38,0.488616,
06/30/2017,686.8,469.0,71.6,146.2,-426.7,426.7,260.1,0.0,-211.3,174.1,,34.4,2.8,48.8,-2.7,,4.3,,,-1.6,46.1,-6.3,39.8,0.0,0.0,0.0,39.8,0.0,39.8,0.0,0.0,39.8,41.650161,1.850161,93.7,0.42,0.42,0.444505,100.1,0.4,0.4,0.418483,
09/30/2017,688.3,464.6,54.6,169.1,-428.1,428.1,260.2,0.0,-212.1,175.5,,33.4,3.2,48.1,-6.1,,4.5,,,1.6,42.0,-7.2,34.8,0.0,0.0,0.0,34.8,0.0,34.8,0.0,0.0,34.8,36.896364,2.096364,92.8,0.38,0.38,0.39759,99.8,0.35,0.35,0.371006,
12/31/2017,689.4,440.8,56.1,192.5,-429.8,429.8,259.6,0.0,-208.1,171.9,,31.7,4.5,51.5,-4.7,,4.3,,,0.4,46.8,-37.9,8.9,0.0,0.0,0.0,8.9,0.0,8.9,0.0,0.0,8.9,43.825,34.925,92.1,0.1,0.1,0.475841,98.8,0.09,0.09,0.443492,
03/31/2018,674.2,436.1,74.7,163.4,-417.7,417.7,256.5,0.0,-222.0,172.4,,30.7,18.9,34.5,-5.0,,4.5,,,0.5,29.5,0.3,29.8,0.0,0.0,0.0,29.8,0.0,29.8,0.0,0.0,29.8,42.952941,13.152941,91.6,0.33,0.33,0.468919,98.2,0.3,0.3,0.43394,
06/30/2018,649.4,419.1,70.6,159.7,-407.8,407.8,241.6,0.0,-217.5,169.3,,28.1,20.1,24.1,-2.1,,4.1,,,-2.0,22.0,-8.1,13.9,0.0,0.0,0.0,13.9,0.0,13.9,0.0,0.0,13.9,32.707752,18.807752,91.2,0.15,0.15,0.358638,97.9,0.14,0.14,0.332112,
09/30/2018,663.0,,,,,,242.658,,,,,,,58.7,,,,,,,58.5,,41.1,,,,,,41.1,,,41.1,44.0,,,0.39,0.39,0.453,,0.39,0.39,0.453,
12/31/2018,670.0,,,,,,250.58,,,,,,,63.8,,,,,,,62.3,,43.7,,,,,,43.7,,,43.7,46.55,,,0.41,0.41,0.477,,0.41,0.41,0.477,
