Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1997,232.220993,,,,,,,,,23.214001,,,,,,,,,,,,,,12.738,0.0,,12.738,12.738,,92.265999,0.14,0.14,0.14,94.444,0.135,0.135,0.135,
06/30/1997,257.14,,-76.655,,,180.485,,-231.529,,25.611,-2.153,2.265,2.265,0.0,-0.112,23.458,-9.524,13.934,0.0,,,13.934,0.0,13.934,0.0,,13.934,13.934,,93.222,0.15,0.15,0.15,95.796,0.145,0.145,0.145,
09/30/1997,172.475,,,,,,,-158.905,,13.57,5.01,1.907,1.907,,-6.917,18.58,-7.571,11.009,,,,11.009,,11.009,,,11.009,11.009,,71.802,0.15,0.15,0.15,73.86,0.15,0.15,0.15,
12/31/1997,285.234985,,,,,,,-257.781006,,27.454,-15.923,,2.751,0.0,13.172,11.531,-5.929,5.602,0.0,,,5.602,0.0,5.602,0.0,,5.602,5.602,,94.765998,0.06,0.06,0.15,97.168,0.06,0.06,0.15,
03/31/1998,304.945007,,,,,,,-273.612,,31.333,-2.895,,3.285,0.0,-0.39,28.438,-11.588,16.85,0.0,,,16.85,0.0,16.85,0.0,,16.85,16.85,,95.716004,0.175,0.175,0.175,100.022004,0.17,0.17,0.17,
06/30/1998,333.949005,,,,,,,-300.351013,,33.598,-2.472,,3.25,0.0,-0.778,31.126,-12.606,18.52,0.0,,,18.52,0.0,18.52,0.0,,18.52,18.52,,96.442001,0.19,0.19,0.19,110.367996,0.18,0.18,0.18,
09/30/1998,363.355988,,,,,,,-328.359985,,34.995998,-3.071,,3.359,0.0,-0.288,31.924998,-12.93,18.995001,0.0,,,18.994998,0.0,18.995001,0.0,,18.995001,18.995001,,96.538002,0.195,0.195,0.195,110.449997,0.185,0.185,0.185,
12/31/1998,391.634003,,,,,,,-353.720001,,37.914001,-2.933,,3.809,0.0,-0.876,34.981001,-14.342,20.639,0.0,,,20.639001,0.0,20.639,0.0,,20.639,20.639,,97.482002,0.21,0.21,0.21,110.832001,0.2,0.2,0.2,
03/31/1999,435.884003,,,,,,,-394.875,,41.008999,-3.0,,4.916,0.0,-1.916,38.008999,-15.584,22.424999,0.0,,,22.424999,0.0,22.424999,0.0,,22.424999,22.424999,,98.321999,0.23,0.23,0.23,112.094002,0.215,0.215,0.215,
06/30/1999,451.34201,,,,,,,-406.677002,,44.665001,-4.043,,5.51,0.0,-1.467,40.622001,-16.451,24.171,0.0,,,24.171,0.0,24.171,0.0,,24.171,24.171,,98.433998,0.245,0.245,0.3,112.054001,0.23,0.23,0.265,
09/30/1999,447.686005,,,,,,,-402.009003,,45.676998,-3.687,,4.828,0.0,-1.141,41.989998,-16.964001,25.025999,0.0,,,25.025997,0.0,25.025999,0.0,,25.025999,25.025999,,98.522003,0.255,0.255,0.255,112.190002,0.235,0.235,0.235,
12/31/1999,476.007996,,,,,,,-430.597992,,45.41,-1.038,,5.631,0.0,-4.593,44.372,-17.926001,26.445999,0.0,,,26.445999,0.0,26.445999,0.0,,26.445999,26.445999,,98.638,0.27,0.27,0.27,111.732002,0.25,0.25,0.25,
03/31/2000,510.438995,,,,,,,-460.434998,,50.004002,-3.374,,6.192,0.0,-2.818,46.630002,-18.794001,27.836,0.0,,,27.836001,0.0,27.836,0.0,,27.836,27.836,,98.278,0.285,0.285,0.285,111.316002,0.265,0.265,0.265,
06/30/2000,528.408997,,,,,,,-489.520996,,38.888004,23.39,,7.328,0.0,-30.718,62.278005,-32.273998,30.003998,0.0,,,30.004006,0.0,30.003998,0.0,,30.003998,30.003998,,98.510002,0.305,0.305,0.295,111.211998,0.285,0.285,0.275,
09/30/2000,478.626007,,,,,,,-436.453003,,42.173,8.331,,5.035,0.0,-13.366,50.504001,-19.948999,30.555,0.0,,,30.555001,0.0,30.555,0.0,0.0,30.555,30.555,,98.875999,0.31,0.31,0.31,112.414001,0.285,0.285,0.285,
12/31/2000,500.881989,,,,,,,-444.154999,,56.727001,-3.848,,4.839,0.0,-0.991,52.879001,-20.886999,31.992001,0.0,,,31.992002,0.0,31.992001,0.0,0.0,31.992001,31.992001,,99.622002,0.32,0.32,0.32,113.762001,0.29,0.29,0.29,
03/31/2001,533.573975,,,,,,,-471.807007,,61.766998,-4.074,,6.375,0.0,-2.301,57.692998,-22.5,35.193001,0.0,,,35.192998,0.0,35.193001,0.0,0.0,35.193001,35.193001,,99.928001,0.35,0.35,0.35,117.346001,0.32,0.32,0.32,
06/30/2001,550.47699,,,,,,,-487.417999,,63.058998,-3.075,,7.493,0.0,-4.418,59.983998,-23.431999,36.551998,0.0,,,36.551999,0.0,36.551998,0.0,0.0,36.551998,36.551998,,100.613998,0.36,0.36,0.36,122.377998,0.33,0.33,0.33,
09/30/2001,655.018982,,,,,,,-573.47699,,81.542,-11.283,,12.599,0.0,-1.316,70.259,-26.346001,43.912998,0.0,,,43.912999,0.0,43.912998,0.0,0.0,43.912998,43.912998,,101.580002,0.43,0.43,0.43,123.344002,0.385,0.385,0.385,
12/31/2001,750.427002,,,,,,,-653.005981,,97.420998,-8.525,,7.583,0.0,0.942,88.895997,-33.335999,55.560001,0.0,,,55.559999,0.0,55.560001,0.0,0.0,55.560001,55.560001,,118.571999,0.47,0.47,0.47,140.692001,0.42,0.42,0.42,
03/31/2002,800.687012,,,,,,,-695.346008,,105.341003,-12.988,,5.789,0.0,7.199,92.353004,-30.323,62.029999,0.0,,,62.030004,0.0,62.029999,0.0,0.0,62.029999,62.029999,,122.794998,0.51,0.51,0.51,142.776001,0.46,0.46,0.46,
06/30/2002,856.784973,,,,,,,-740.45697,,116.328003,-7.38,,4.648,0.0,2.732,108.948003,-40.855,68.093002,0.0,,,68.093004,0.0,68.093002,0.0,0.0,68.093002,68.093002,,131.871002,0.52,0.52,0.52,143.214996,0.49,0.49,0.49,
09/30/2002,897.875977,,,,,,,-778.221008,,119.654999,-8.526,,7.054,0.0,1.472,111.128999,-41.673,69.456001,0.0,,,69.455999,0.0,69.456001,0.0,0.0,69.456001,69.456001,,132.072998,0.53,0.53,0.53,142.983994,0.5,0.5,0.5,
12/31/2002,908.814026,,,,,,,-783.848022,,124.966003,-6.564,,6.147,0.0,0.417,118.402004,-44.401001,74.000999,0.0,,,74.001003,0.0,74.000999,0.0,0.0,74.000999,74.000999,,132.175003,0.56,0.56,0.56,143.294998,0.53,0.53,0.53,
03/31/2003,981.632996,,,,,,,-846.544006,,135.089005,-7.895,,6.051,0.0,1.844,127.194004,-47.701,79.492996,0.0,,,79.493004,0.0,79.492996,0.0,,79.492996,79.492996,,132.539993,0.6,0.6,0.6,143.656998,0.57,0.57,0.57,
06/30/2003,1014.177979,,,,,,,-874.606995,,139.570999,-5.349,,5.942,0.0,-0.593,134.221999,-50.330002,83.891998,0.0,,,83.891997,0.0,83.891998,0.0,,83.891998,83.891998,,132.998001,0.63,0.63,0.63,143.791,0.6,0.6,0.6,
09/30/2003,1036.63501,,,,,,,-892.705994,,143.929001,-5.04,,5.22,0.0,-0.18,138.889001,-52.081001,86.807999,0.0,,,86.808,0.0,86.807999,0.0,,86.807999,86.807999,,133.235001,0.65,0.65,0.63,143.960007,0.62,0.62,0.6,
12/31/2003,997.879028,,,,,,,-879.244019,,118.635002,280.009015,,5.325,0.0,-285.334015,398.644017,-145.613998,253.029999,0.0,,,253.030019,0.0,253.029999,0.0,,253.029999,253.029999,,131.001007,1.93,1.93,0.67,141.880005,1.8,1.8,0.64,
03/31/2004,1009.432007,,,,,,,-856.10498,,153.326996,-2.798,,3.714,0.0,-0.916,150.528996,-50.783001,99.746002,0.0,,,99.745995,0.0,99.746002,0.0,,99.746002,99.746002,,131.503006,0.76,0.76,0.71,139.348007,0.72,0.72,0.67,
06/30/2004,1062.447021,,,,,,,-919.900024,,142.546997,-1.426,,2.778,0.0,-1.352,141.120997,-50.862,90.259003,0.0,,,90.258997,0.0,90.259003,0.0,,90.259003,90.259003,,130.216003,0.69,0.69,0.68,133.304001,0.68,0.68,0.66,
09/30/2004,1046.180054,,,,,,,-891.140991,,155.041,-4.389,,3.955,0.0,0.434,150.652,-56.494999,94.156998,0.0,,,94.157002,0.0,94.156998,0.0,,94.156998,94.156998,,127.947998,0.74,0.74,0.74,131.070007,0.72,0.72,0.72,
12/31/2004,1027.286,,,,,,,-872.362,,154.924,-1.093,2.869,2.869,0.0,-1.776,153.831,-57.686,96.145,0.0,,,96.145,0.0,96.145,0.0,0.0,96.145,96.145,,128.619,0.75,0.75,0.75,131.933,0.73,0.73,0.73,
03/31/2005,1063.29895,,,,,,,-897.487,,165.811996,-3.222,,3.688,0.0,-0.466,162.589996,-47.924,114.666,0.0,,,114.665997,0.0,114.666,0.0,0.0,114.666,114.666,,127.568001,0.9,0.9,0.83,130.229004,0.88,0.88,0.81,
06/30/2005,1214.391968,,,,,,,-1019.859985,,194.531998,-20.533999,,8.084,0.0,12.45,173.997998,-63.021,110.976997,0.0,,,110.976998,0.0,110.976997,0.0,0.0,110.976997,110.976997,,126.086998,0.88,0.88,0.88,128.279007,0.81,0.81,0.81,
09/30/2005,1310.916992,,,,,,,-1156.719971,,154.197006,-8.358,,12.739,0.0,-4.381,145.839006,-52.464001,93.375,0.0,,,93.375005,0.0,93.375,0.0,0.0,93.375,93.375,,125.429001,0.74,0.74,0.74,127.286003,0.73,0.73,0.73,
12/31/2005,1347.587036,,,,,,,-1201.930054,,145.656998,17.703001,14.056,14.056,0.0,-31.759001,163.359999,-60.990002,102.370003,0.0,,,102.369997,0.0,102.370003,0.0,0.0,102.370003,102.370003,,124.848999,0.82,0.82,0.78,126.926003,0.81,0.81,0.76,
03/31/2006,1314.454956,,,,,,,-1179.305054,,135.149994,-13.662,,15.79,0.0,-2.128,121.487994,-44.487999,77.0,0.0,,,76.999995,0.0,77.0,0.0,0.0,77.0,77.0,,124.347,0.62,0.62,0.6,126.380997,0.61,0.61,0.59,
06/30/2006,1380.702,,,,,,,-1217.415,,163.287,-34.347,,24.913,0.0,9.434,128.94,-42.04,86.9,0.0,,,86.9,0.0,86.9,0.0,0.0,86.9,86.9,,118.131,0.74,0.74,0.8,119.479,0.73,0.73,0.79,
09/30/2006,1385.437988,,,,,,,-1244.579956,,140.858002,-43.395,,46.013,0.0,-2.618,97.463001,-36.080002,61.382999,0.0,,,61.382999,0.0,61.382999,0.0,0.0,61.382999,61.382999,,103.452003,0.59,0.59,0.7,104.761002,0.59,0.59,0.7,
12/31/2006,1426.760986,,,,,,,-1276.432983,,150.328003,-38.398999,48.084999,48.084999,0.0,-9.686,111.929004,-39.855,72.073997,0.0,,,72.074004,0.0,72.073997,0.0,0.0,72.073997,72.073997,,98.914001,0.73,0.73,0.8,100.152,0.72,0.72,0.79,
03/31/2007,1440.546,,,,,,0.0,-1277.955,,162.591,-34.066,,46.391,0.0,-12.325,128.525,-46.466,82.059,0.0,,,82.059,0.0,82.059,0.0,0.0,82.059,82.059,,98.945,0.83,0.83,0.83,100.3,0.82,0.82,0.82,
06/30/2007,1519.734,,,,,,,-1436.556,,83.178,-37.682,42.176,42.176,0.0,-4.494,45.496,-7.922,37.574,0.0,,,37.574,0.0,37.574,0.0,0.0,37.574,37.574,,99.378,0.38,0.38,0.89,101.039,0.37,0.37,0.88,
09/30/2007,1493.083,,-6.915,,,1486.168,,-1340.767,,145.401,-43.29,,43.97,0.0,-0.68,102.111,-35.967,66.144,0.0,,,66.144,0.0,66.144,0.0,0.0,66.144,66.144,,99.721,0.66,0.66,0.71,100.986,0.65,0.65,0.7,
12/31/2007,1511.442,,,,,,,-1353.548,,157.894,-37.54,43.049,43.049,0.0,-5.509,120.354,-38.758,81.596,0.0,,,81.596,0.0,81.596,0.0,0.0,81.596,81.596,,99.505,0.82,0.82,0.9,100.31,0.81,0.81,0.89,
03/31/2008,1542.37,,-345.594,,,1196.776,0.0,-1032.865,,163.911,-34.811,,39.325,0.0,-4.514,129.1,-46.462,82.638,0.0,,,82.638,0.0,82.638,0.0,0.0,82.638,82.638,,96.089,0.86,0.86,0.92,96.921,0.85,0.85,0.91,
06/30/2008,1613.655,,-384.054,,,1229.601,,-1051.729,,177.872,-33.218,35.591,35.591,0.0,-2.373,144.654,-46.022,98.632,0.0,,,98.632,0.0,98.632,0.0,0.0,98.632,98.632,,96.703,1.02,1.02,0.96,97.719,1.01,1.01,0.95,
09/30/2008,1604.454,1604.454,-1417.618,1320.012,97.606,186.836,0.0,-14.088,14.088,172.748,-38.908,,35.208,,3.7,133.84,-50.205,83.635,0.0,0.0,0.0,83.635,0.0,83.635,0.0,0.0,83.635,87.04835,3.41335,97.307,0.86,0.86,0.894574,98.091,0.85,0.85,0.884798,
12/31/2008,1612.07,1612.07,-1437.106,1341.49,95.616,174.964,0.0,-6.425,6.425,168.539,-39.096,,35.896,,3.2,129.443,-53.926,75.517,0.0,0.0,0.0,75.517,0.0,75.517,0.0,0.0,75.517,82.817,7.3,97.548,0.77,0.77,0.848987,97.811,0.77,0.77,0.844634,
03/31/2009,1610.429,1610.429,-1416.719,1321.385,95.334,193.71,0.0,-19.389,19.389,174.321,-29.616,,30.738,,-1.122,144.705,-51.461,93.244,0.0,0.0,0.0,93.244,0.0,93.244,0.0,0.0,93.244,103.2577,10.0137,97.572,0.96,0.96,1.058272,98.042,0.95,0.95,1.052137,
06/30/2009,1696.211,1696.211,-1516.995,1410.517,106.478,179.216,0.0,-8.881,8.881,170.335,-24.088,,28.487,,-4.399,146.247,-48.7,97.547,0.0,0.0,0.0,97.547,0.0,97.547,0.0,0.0,97.547,114.2476,16.7006,97.617,1.0,1.0,1.170366,98.089,0.99,0.99,1.16026,
09/30/2009,1676.996,1676.996,-1509.426,1412.539,96.887,167.57,0.0,-37.26,37.26,130.31,-20.158,,29.254,,-9.096,110.152,-41.358,68.794,0.0,0.0,0.0,68.794,0.0,68.794,0.0,0.0,68.794,88.8483,20.0543,97.642,0.7,0.7,0.909939,98.091,0.7,0.7,0.904446,
12/31/2009,1656.311,1656.311,-1462.164,1362.792,99.372,194.147,0.0,-27.449,27.449,166.698,-30.083,,29.429,,0.654,136.615,-40.615,96.0,0.0,0.0,0.0,96.0,0.0,96.0,0.0,0.0,96.0,106.0,10.0,97.83,0.98,0.98,1.083512,99.051,0.97,0.97,1.070958,
06/30/2009,1682.583,,,,,565.347888,,,,180.143,,,,,,147.75,,94.067,,,,,,94.067,,,94.067,94.322,,,0.961,0.961,0.968,,0.961,0.961,0.968,
09/30/2009,1688.0,,,,,928.4,,,,173.167,,,,,,142.143,,90.367,,,,,,90.367,,,90.367,91.5,,,0.929,0.929,0.937,,0.929,0.929,0.937,
