Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
10/03/2009,1058.673,1058.673,-701.993,701.993,356.68,0.0,-263.371,248.267,15.104,93.309,-45.364,42.941,,,2.423,47.945,-6.807,41.138,0.0,0.0,0.0,41.138,0.0,41.138,0,0,41.138,54.3031,13.1651,380.988,0.1075,0.1075,0.142532,385.688,0.1075,0.1075,0.141634,
01/02/2010,988.739,988.739,-665.412,665.412,323.327,0.0,-245.895,238.326,7.569,77.432,-81.495,38.731,,0.0,42.764,-4.063,2.981,-1.082,0.0,0.0,0.0,-1.082,0.0,-1.082,0,0,-1.082,26.4117,27.4937,384.216,-0.0025,-0.0025,0.068742,384.216,-0.0025,-0.0025,0.068742,
04/03/2010,927.84,927.84,-600.41,600.41,327.43,0.0,-241.718,241.718,0.0,85.712,-38.901,37.495,,,1.406,46.811,-10.298,36.513,0.0,0.0,0.0,36.513,0.0,36.513,0,0,36.513,36.9589,0.4459,385.304,0.095,0.095,0.095922,389.972,0.0925,0.0925,0.093644,
07/03/2010,1075.852,1075.852,-701.046,701.046,374.806,0.0,-252.001,252.001,0.0,122.805,-39.201,36.573,,,2.628,83.604,1.808,85.412,0.0,0.0,0.0,85.412,0.0,85.412,0,0,85.412,86.4871,1.0751,385.68,0.2225,0.2225,0.224246,392.108,0.2175,0.2175,0.220242,
10/02/2010,1173.362,1173.362,-809.487,809.487,363.875,0.0,-249.815,249.815,0.0,114.06,-37.42,36.326,,,1.094,76.64,-15.328,61.312,0.0,0.0,0.0,61.312,0.0,61.312,0,0,61.312,61.312,0.0,385.984,0.16,0.16,0.16,391.008,0.1575,0.1575,0.1575,
01/01/2011,1149.659,1149.659,-801.001,801.001,348.658,0.0,-267.047,267.047,0.0,81.611,-54.935,39.842,,,15.093,26.676,1.38,28.056,0.0,0.0,0.0,28.056,0.0,28.056,0,0,28.056,39.535,11.479,386.888,0.0725,0.0725,0.102187,392.244,0.0725,0.0725,0.101765,
04/02/2011,1036.41,1036.41,-681.885,681.885,354.525,0.0,-252.682,252.682,0.0,101.843,-41.706,41.105,,,0.601,60.137,-12.028,48.109,0.0,0.0,0.0,48.109,0.0,48.109,0,0,48.109,48.109,0.0,388.776,0.1225,0.1225,0.1225,394.356,0.1225,0.1225,0.1225,
07/02/2011,1167.986,1167.986,-757.962,757.962,410.024,0.0,-274.202,274.202,0.0,135.822,-39.941,39.127,,,0.814,95.881,-18.121,77.76,-9.022,-9.022,0.0,86.782,0.0,86.782,0,0,86.782,77.76,0.0,390.148,0.2225,0.2,0.2,396.896,0.2175,0.195,0.195,
10/01/2011,1185.304,1185.304,-771.251,771.251,414.053,0.0,-269.109,269.109,0.0,144.944,-39.135,38.255,,,0.88,105.809,-20.739,85.07,-5.762,-5.762,0.0,90.832,0.0,90.832,0,0,90.832,85.07,0.0,391.7,0.2325,0.2175,0.2175,398.14,0.2275,0.2125,0.2125,
12/31/2011,1145.315,1145.315,-812.152,812.152,333.163,0.0,-257.875,257.875,0.0,75.288,-41.834,37.752,,,4.082,33.454,7.511,40.965,0.0,0.0,0.0,40.965,0.0,40.965,0,0,40.965,42.915,1.95,392.628,0.105,0.105,0.109302,397.5,0.1025,0.1025,0.107406,
03/31/2012,973.133,973.133,-718.019,718.019,255.114,0.0,-244.469,244.469,0.0,10.645,-37.64,36.995,,,0.645,-26.995,2.724,-24.271,2.559,2.559,0.0,-26.83,0.0,-26.83,0,0,-26.83,-24.271,0.0,394.132,-0.0675,-0.0625,-0.0625,394.132,-0.0675,-0.0625,-0.0625,
06/30/2012,1180.651,1180.651,-813.719,813.719,366.932,0.0,-246.981,246.981,0.0,119.951,-37.422,36.611,,,0.811,82.529,-15.213,67.316,66.085,66.085,0.0,1.231,0.0,1.231,0,0,1.231,67.316,0.0,394.288,0.0025,0.17,0.17,400.264,0.0025,0.1675,0.1675,
09/29/2012,1218.681,1218.681,-818.751,818.751,399.93,0.0,-243.422,243.422,0.0,156.508,-36.27,32.897,,,3.373,120.238,-9.055,111.183,1.291,1.291,0.0,109.892,0.0,109.892,0,0,109.892,111.183,0.0,394.828,0.2775,0.2825,0.2825,401.888,0.2725,0.2775,0.2775,
12/29/2012,1153.256,1153.256,-755.185,755.185,398.071,0.0,-245.06,245.06,0.0,153.011,-65.838,30.352,,,35.486,87.173,-8.958,78.215,-2.173,-2.173,0.0,80.388,0.0,80.388,0,0,80.388,78.215,0.0,395.956,0.2025,0.1975,0.1975,403.54,0.2,0.195,0.195,
03/30/2013,945.461,945.461,-618.162,618.162,327.299,0.0,-242.156,242.156,0.0,85.143,-26.087,25.623,,,0.464,59.056,-7.677,51.379,0.0,0.0,0.0,51.379,0.0,51.379,0,0,51.379,51.379,0.0,397.476,0.13,0.13,0.13,405.84,0.1275,0.1275,0.1275,
06/29/2013,1199.205,1199.205,-763.723,763.723,435.482,0.0,-254.035,254.035,0.0,181.447,-25.972,25.221,,,0.751,155.475,-33.889,121.586,0.0,0.0,0.0,121.586,0.0,121.586,0,0,121.586,121.586,0.0,399.42,0.305,0.305,0.305,408.052,0.2975,0.2975,0.2975,
09/28/2013,1197.346,1197.346,-775.666,775.666,421.68,0.0,-244.782,244.782,0.0,176.898,-25.797,25.002,,,0.795,151.101,-25.838,125.263,0.0,0.0,0.0,125.263,0.0,125.263,0,0,125.263,125.263,0.0,400.264,0.3125,0.3125,0.3125,407.948,0.3075,0.3075,0.3075,
12/28/2013,1285.79,1285.79,-858.558,858.558,427.232,0.0,-355.534,355.534,0.0,71.698,-41.529,26.038,,,15.491,30.169,2.097,32.266,0.0,0.0,0.0,32.266,0.0,32.266,0,0,32.266,94.36635,62.10035,400.636,0.08,0.08,0.235541,407.524,0.08,0.08,0.232384,
03/29/2014,1059.37,1059.37,-702.593,702.593,356.777,0.0,-284.989,284.989,0.0,71.788,-22.253,21.818,,,0.435,49.535,-7.975,41.56,0.0,0.0,0.0,41.56,0.0,41.56,0,0,41.56,77.332,35.772,401.564,0.1025,0.1025,0.192577,407.876,0.1025,0.1025,0.190203,
06/28/2014,1342.052,1342.052,-837.698,837.698,504.354,0.0,-297.23,297.23,0.0,207.124,-21.779,21.119,,,0.66,185.345,-30.767,154.578,0.0,0.0,0.0,154.578,0.0,154.578,0,0,154.578,174.631,20.053,401.92,0.385,0.385,0.434492,408.228,0.3775,0.3775,0.426622,
09/27/2014,1400.728,1400.728,-903.013,903.013,497.715,0.0,-343.823,343.823,0.0,153.892,-24.323,23.528,,,0.795,129.569,-10.625,118.944,0.0,0.0,0.0,118.944,0.0,118.944,0,0,118.944,176.903,57.959,402.392,0.295,0.295,0.439628,408.524,0.29,0.29,0.431874,
01/03/2015,1522.596,1522.596,-977.035,977.035,545.561,0.0,-414.411,414.411,0.0,131.15,-30.631,29.922,,,0.709,100.519,-11.082,89.437,0.0,0.0,0.0,89.437,0.0,89.437,0,0,89.437,148.724,59.287,403.316,0.22,0.22,0.368753,408.4,0.22,0.22,0.365169,
04/04/2015,1208.921,1208.921,-762.69,762.69,446.231,0.0,-356.3,356.3,0.0,89.931,-27.269,26.887,,,0.382,62.662,-10.026,52.636,0.0,0.0,0.0,52.636,0.0,52.636,0,0,52.636,88.948,36.312,403.578,0.13,0.13,0.220399,408.26,0.13,0.13,0.218943,
07/04/2015,1522.033,1522.033,-953.808,953.808,568.225,0.0,-429.292,429.292,0.0,138.933,-29.85,29.02,,,0.83,109.083,-14.181,94.902,0.0,0.0,0.0,94.902,0.0,94.902,0,0,94.902,204.492,109.59,403.949,0.23,0.23,0.506232,407.51,0.23,0.23,0.498926,
10/03/2015,1591.038,1591.038,-1010.288,1010.288,580.75,0.0,-372.422,372.422,0.0,208.328,-32.074,31.356,,,0.718,176.254,-14.1,162.154,0.0,0.0,0.0,162.154,0.0,162.154,0,0,162.154,201.517997,39.363997,399.445,0.41,0.41,0.504495,402.979,0.4,0.4,0.497683,
01/02/2016,1409.557,1409.557,-868.431,868.431,541.126,0.0,-383.2,383.2,0.0,157.926,-32.052,30.772,,,1.28,125.874,-6.711,119.163,0.0,0.0,0.0,119.163,0.0,119.163,0,0,119.163,174.681,55.518,393.187,0.3,0.3,0.44427,396.082,0.3,0.3,0.440168,
04/02/2016,1219.14,1219.14,-761.884,761.884,457.256,0.0,-334.851,334.851,0.0,122.405,-32.215,31.566,,,0.649,90.19,-9.921,80.269,0.0,0.0,0.0,80.269,0.0,80.269,0,0,80.269,102.225,21.956,386.598,0.21,0.21,0.264422,389.043,0.21,0.21,0.264422,
07/02/2016,1472.731,1472.731,-915.44,915.44,557.291,0.0,-336.081,336.081,0.0,221.21,-84.865,36.54,,,48.325,136.345,-8.202,128.143,0.0,0.0,0.0,128.143,0.0,128.143,0,0,128.143,191.537157,63.394157,379.233,0.34,0.34,0.505065,382.511,0.34,0.34,0.505065,
10/01/2016,1761.019,1761.019,-1111.653,1111.653,649.366,0.0,-421.014,421.014,0.0,228.352,-44.992,43.433,,,1.559,183.36,-10.57,172.79,-1.068,-1.068,0.0,173.858,0.0,173.858,0,0,173.858,213.36,40.57,379.368,0.46,0.46,0.562409,382.558,0.45,0.45,0.556049,
12/31/2016,1575.309,1575.309,-963.174,963.174,612.135,0.0,-408.453,408.453,0.0,203.682,-42.378,41.153,,,1.225,161.304,-5.579,155.725,-1.387,-1.387,0.0,157.112,0.0,157.112,0,0,157.112,201.171,45.446,379.484,0.41,0.41,0.530117,382.074,0.41,0.41,0.528946,
04/01/2017,1380.355,1380.355,-840.824,840.824,539.531,0.0,-413.102,413.102,0.0,126.429,-48.682,42.137,,,6.545,77.747,-4.665,73.082,2.465,2.465,0.0,70.617,0.0,70.617,0,0,70.617,110.21235,37.13035,373.218,0.19,0.2,0.295303,375.251,0.19,0.19,0.288948,
07/01/2017,1646.61,1646.61,-1000.708,1000.708,645.902,0.0,-412.197,412.197,0.0,233.705,-50.552,44.13,,,6.422,183.153,-10.989,172.164,-0.368,-0.368,0.0,172.532,0.0,172.532,0,0,172.532,196.661993,24.497993,365.911,0.47,0.47,0.537459,367.992,0.47,0.47,0.536572,
09/30/2017,1799.27,1799.27,-1120.813,1120.813,678.457,0.0,-419.991,419.991,0.0,258.466,-50.96,43.917,,,7.043,207.506,-4.15,203.356,0.0,0.0,0.0,203.356,0.0,203.356,0,0,203.356,219.892,16.536,366.083,0.56,0.56,0.600662,368.16,0.55,0.55,0.594915,
12/30/2017,1645.175,1645.175,-1019.614,1019.614,625.561,0.0,-507.986,480.134,27.852,117.575,-56.886,44.251,,,12.635,60.689,-433.313,-372.624,0.0,0.0,0.0,-372.624,0.0,-372.624,0,0,-372.624,135.571257,508.195257,365.508,-1.019469,-1.019469,0.370912,366.301,-1.019469,-1.019469,0.367902,
03/31/2018,1471.504,1471.504,-892.583,892.583,578.921,0.0,-432.863,432.863,0.0,146.058,-51.524,45.763,,,5.761,94.534,-15.125,79.409,0.0,0.0,0.0,79.409,0.0,79.409,0,0,79.409,95.845,16.436,361.882,0.22,0.22,0.264852,363.291,0.22,0.22,0.264852,
06/30/2018,1715.443,1715.443,-1055.487,1055.487,659.956,0.0,-439.893,439.893,0.0,220.063,-55.0,48.43,,,6.57,165.063,-24.43,140.633,0.0,0.0,0.0,140.633,0.0,140.633,0,0,140.633,162.086,21.453,362.011,0.39,0.39,0.447738,363.254,0.39,0.39,0.447738,
09/29/2018,1848.707,1848.707,-1136.04,1136.04,712.667,0.0,-455.778,455.778,0.0,256.889,-60.08,52.795,,,7.285,196.809,-25.388,171.421,0.0,0.0,0.0,171.421,0.0,171.421,0,0,171.421,189.064,17.643,363.51,0.47,0.47,0.520107,364.638,0.47,0.47,0.518385,
12/29/2018,1768.301,1768.301,-1064.144,1064.144,704.157,0.0,-460.034,460.034,0.0,244.123,-54.466,47.687,,,6.779,189.657,-39.629,150.028,0.0,0.0,0.0,150.028,0.0,150.028,0,0,150.028,163.034,13.006,364.003,0.41,0.41,0.447892,364.748,0.41,0.41,0.445657,
03/30/2019,1588.024,1588.024,-967.993,967.993,620.031,0.0,-470.387,470.387,0.0,149.644,-55.51,48.059,,,7.451,94.134,-13.046,81.088,0.0,0.0,0.0,81.088,0.0,81.088,0,0,81.088,102.398,21.31,364.57,0.22,0.22,0.280873,365.299,0.22,0.22,0.278336,
06/29/2019,1760.927,1760.927,-1086.248,1086.248,674.679,0.0,-440.662,440.662,0.0,234.017,-54.771,46.522,,,8.249,179.246,-25.274,153.972,0.0,0.0,0.0,153.972,0.0,153.972,0,0,153.972,164.803,10.831,364.637,0.42,0.42,0.451965,365.537,0.42,0.42,0.44963,
09/28/2019,1866.967,1866.967,-1154.629,1154.629,712.338,0.0,-442.582,442.582,0.0,269.756,-51.157,43.091,,,8.066,218.599,-30.823,187.776,0.0,0.0,0.0,187.776,0.0,187.776,0,0,187.776,196.311,8.535,364.743,0.51,0.51,0.538217,365.597,0.51,0.51,0.533345,
12/28/2019,1751.005,1751.005,-1044.262,1044.262,706.743,0.0,-463.328,463.328,0.0,243.415,-48.565,40.907,,,7.658,194.85,-9.864,184.986,0.0,0.0,0.0,184.986,0.0,184.986,0,0,184.986,188.244,3.258,364.885,0.51,0.51,0.5159,365.644,0.51,0.51,0.5159,
03/28/2020,1316.462,1316.462,-842.73,842.73,473.732,0.0,-439.602,439.602,0.0,34.13,-43.339,36.849,,,6.49,-9.209,1.335,-7.874,0.0,0.0,0.0,-7.874,0.0,-7.874,0,0,-7.874,17.091,24.965,359.017,-0.02,-0.02,0.047605,359.017,-0.02,-0.02,0.047605,
06/27/2020,1738.779,1738.779,-1105.767,1105.767,633.012,0.0,-391.476,391.476,0.0,241.536,-46.709,41.659,,,5.05,194.827,-33.646,161.181,0.0,0.0,0.0,161.181,0.0,161.181,0,0,161.181,212.062,50.881,350.538,0.46,0.46,0.604962,350.829,0.46,0.46,0.604962,
