Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2017,14552.0,2016,2016.0,0,1276.0,1276.0,0.0,208.0,,,,,315,233.0,0.0,,525.0,,82.0,3815.0,1624.0,4963.0,-3339.0,686.0,589.0,97.0,,8427.0,6119.0,3838.0,2281.0,113.0,17.0,1341.0,312,10737.0,,1617,222.0,39.0,0.0,1356.0,206.0,103,0.0,0.0,,103.0,629,0.0,0.0,203,2452.0,276.0,276,0.0,0.0,,731,0.0,319.0,61.0,351.0,1007.0,3459.0,20.0,12401.0,6.0,12395.0,,-648.0,-964,10809.0,284.0,11093.0,14552.0,
09/30/2017,14662.0,1877,1877.0,0,1365.0,1365.0,0.0,225.0,,,,,301,242.0,,,553.0,,59.0,3768.0,1636.0,,,294.0,213.0,81.0,,8964.0,6223.0,3922.0,2301.0,,,1750.0,438,10894.0,,1407,235.0,26.0,,1146.0,105.0,105,,,,,905,,,457,2417.0,281.0,281,,,,748,,313.0,73.0,362.0,1029.0,3446.0,20.0,12346.0,6.0,12340.0,,-581.0,-852,10933.0,283.0,11216.0,14662.0,
12/31/2017,14359.0,1856,1856.0,0,1379.0,1379.0,0.0,216.0,,,,,267,215.0,,0.0,349.0,,52.0,3718.0,1631.0,,,2019.0,1939.0,80.0,,6991.0,6198.0,3917.0,2281.0,143.0,,,301,10641.0,,1547,216.0,39.0,,1292.0,94.0,94,,,,,629,,,239,2270.0,207.0,207,,,,724,,305.0,59.0,360.0,931.0,3201.0,,12356.0,6.0,12350.0,,-664.0,-832,10860.0,298.0,11158.0,14359.0,
03/31/2018,13372.0,2112,2112.0,0,1328.0,1328.0,0.0,,,,,,546,263.0,,,370.0,,283.0,3986.0,1642.0,,,204.0,126.0,78.0,,7540.0,5950.0,3724.0,2226.0,148.0,,753.0,319,9386.0,,1680,230.0,40.0,,1410.0,92.0,92,,,,,695,,,247,2467.0,184.0,184,,,,710,,301.0,55.0,354.0,894.0,3361.0,20.0,12316.0,6.0,12310.0,,-1792.0,-829,9715.0,296.0,10011.0,13372.0,
06/30/2018,16346.0,2034,2034.0,0,1612.0,1612.0,0.0,376.0,,,,,372,,115.0,,279.0,,369.0,4394.0,2560.0,5912.0,-3352.0,220.0,220.0,,,9172.0,7889.0,5218.0,2671.0,241.0,135.0,173.0,340,11952.0,,2130,605.0,17.0,0.0,1508.0,462.0,0,0.0,0.0,,462.0,703,0.0,32.0,187,3295.0,1490.0,1490,0.0,0.0,,1064,0.0,245.0,389.0,398.0,2554.0,5849.0,20.0,12328.0,6.0,12322.0,,-2163.0,-874,9311.0,1186.0,10497.0,16346.0,
09/30/2018,16288.0,1886,1886.0,0,1648.0,1648.0,0.0,388.0,,,,,547,,,,260.0,,547.0,4469.0,2512.0,,,226.0,226.0,,,9081.0,7760.0,5153.0,2607.0,429.0,,164.0,468,11819.0,,2012,537.0,16.0,,1459.0,671.0,0,,,,671.0,862,,,426,3545.0,1186.0,1186,,,,1127,,241.0,401.0,485.0,2313.0,5858.0,0.0,12263.0,6.0,12257.0,,-2032.0,-970,9261.0,1169.0,10430.0,16288.0,
12/31/2018,16227.0,1618,1618.0,0,1853.0,1853.0,0.0,400.0,,,,,558,,91.0,,228.0,,501.0,4429.0,2517.0,,,181.0,181.0,,,9100.0,7796.0,5225.0,2571.0,297.0,,164.0,524,11798.0,,2099,625.0,18.0,,1456.0,744.0,0,,,,744.0,869,,26.0,435,3712.0,936.0,936,,,,1145,,237.0,384.0,498.0,2081.0,5793.0,0.0,12277.0,6.0,12271.0,,-1937.0,-1076,9264.0,1170.0,10434.0,16227.0,
03/31/2019,16058.0,1648,1648.0,0,1631.0,1631.0,0.0,404.0,,,,,564,,94.0,,257.0,,509.0,4247.0,2557.0,,,187.0,187.0,,,9067.0,7737.0,5223.0,2514.0,295.0,,160.0,524,11811.0,,2102,432.0,15.0,,1655.0,678.0,0,,,,678.0,899,,31.0,436,3679.0,868.0,868,,,,1053,,237.0,321.0,464.0,1921.0,5600.0,0.0,12235.0,6.0,12229.0,,-1927.0,-1019,9289.0,1169.0,10458.0,16058.0,
06/30/2019,15711.0,1643,1643.0,0,1544.0,1544.0,0.0,348.0,,,,,515,,104.0,,269.0,,461.0,4050.0,2554.0,6078.0,-3524.0,187.0,187.0,,,8920.0,7573.0,5147.0,2426.0,315.0,117.0,148.0,394,11661.0,,2060,411.0,22.0,0.0,1627.0,449.0,0,0.0,0.0,,449.0,831,0.0,36.0,401,3340.0,1004.0,1004,0.0,0.0,,1056,0.0,266.0,295.0,459.0,2060.0,5400.0,0.0,12249.0,6.0,12243.0,,-1979.0,-1126,9144.0,1167.0,10311.0,15711.0,
09/30/2019,16233.0,1441,1441.0,0,1540.0,1540.0,0.0,402.0,,,,,416,,,,305.0,,416.0,3799.0,3723.0,,,189.0,189.0,,,8522.0,7124.0,4885.0,2239.0,323.0,,140.0,630,12434.0,,1835,406.0,21.0,,1408.0,804.0,0,182.0,,182.0,622.0,853,,,405,3492.0,2036.0,707,1329.0,,1329.0,876,,258.0,274.0,344.0,2912.0,6404.0,0.0,12180.0,6.0,12174.0,,-2200.0,-1266,8714.0,1115.0,9829.0,16233.0,
12/31/2019,16282.0,1272,1272.0,0,1570.0,1570.0,0.0,358.0,,,,,518,,103.0,,283.0,,518.0,3718.0,3775.0,,,186.0,186.0,,,8603.0,7233.0,4976.0,2257.0,330.0,,139.0,515,12564.0,,1953,375.0,19.0,,1559.0,183.0,0,183.0,,183.0,0.0,591,,33.0,178,2727.0,2544.0,1201,1343.0,,1343.0,884,,258.0,268.0,325.0,3428.0,6155.0,0.0,12189.0,6.0,12183.0,,-2114.0,-1117,8958.0,1169.0,10127.0,16282.0,
03/31/2020,14428.0,1388,1388.0,0,1237.0,1237.0,0.0,363.0,,,,,753,,150.0,,306.0,,749.0,3741.0,3416.0,,,179.0,179.0,,,7092.0,5677.0,3831.0,1846.0,350.0,,146.0,463,10687.0,,1788,342.0,18.0,,1428.0,156.0,0,156.0,,156.0,0.0,745,,32.0,358,2689.0,2364.0,1115,1249.0,,1249.0,807,,248.0,238.0,289.0,3171.0,5860.0,0.0,12143.0,6.0,12137.0,,-2845.0,-1466,7832.0,736.0,8568.0,14428.0,
06/30/2020,14261.0,1517,1517.0,0,1203.0,1203.0,0.0,348.0,,,,,393,,122.0,,332.0,,393.0,3461.0,3317.0,6984.0,-3667.0,177.0,177.0,,,7306.0,5815.0,3951.0,1864.0,353.0,94.0,120.0,470,10800.0,,1734,351.0,50.0,0.0,1333.0,207.0,0,162.0,31.0,131.0,45.0,741,0.0,34.0,340,2682.0,2329.0,1096,1233.0,87.0,1146.0,861,0.0,277.0,258.0,292.0,3190.0,5872.0,0.0,12154.0,6.0,12148.0,,-3241.0,-1331,7582.0,807.0,8389.0,14261.0,
