Date,Revenue,Sales & Services Revenue,Other Revenue,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2004,128.404,,,,-119.8,,,,,0.142,,8.604,-1.479,1.479,2.873,-1.394,,,,0.0,7.125,-2.494,4.631,,,,4.631,,4.631,-2.799,,1.832,1.832,5.2,78.501,0.02,0.02,0.09,79.271,0.02,0.02,0.09,
06/30/2004,120.013,,,,-111.45,,,,,0.406,,8.563,-1.202,1.202,2.867,-1.665,,,,0.0,7.361,-2.576,4.785,,,,4.785,,4.785,-3.547,,1.238,1.238,3.6,78.535,0.02,0.02,0.07,78.941,0.02,0.02,0.07,
09/30/2004,123.97,,,,-123.759,18.467,2.819,,,0.772,104.52,-8.966,-1.354,1.354,2.873,-1.519,,,,0.0,-10.32,4.835,-5.485,,,,-5.485,,-5.485,-1.004,0.0,-6.489,-6.489,,78.618,-0.08,-0.08,0.09,78.618,-0.08,-0.08,0.09,
12/31/2004,121.386,,,0.0,-121.404,,,,,-0.246,,-0.018,-1.595,1.595,2.871,-1.276,,,,0.0,-1.613,-0.514,-2.127,-9.558,,,7.431,0.0,7.431,-1.004,-1.764,4.663,4.663,,78.774504,0.059194,-0.062139,-0.062139,78.774504,0.059194,-0.062139,-0.062139,
03/31/2005,126.278,,,,-103.52,,,,,0.57,,22.758,-1.437,1.437,2.862,-1.425,,,,0.0,21.321,-8.55,12.771,,,,12.771,,12.771,-1.004,-0.927,10.84,10.84,,79.008527,0.14,0.14,0.19,92.619902,0.13,0.13,0.18,
06/30/2005,130.461,,,,-104.138,,,,,-0.745,,26.323,-1.537,1.537,4.634,-3.097,,,,0.0,24.786,-10.815,13.971,,,,13.971,,13.971,-0.785,-1.459,11.727,11.727,,79.401323,0.15,0.15,0.26,109.914352,0.13,0.13,0.21,
09/30/2005,130.644,,,,-99.282,,,,,0.134,,31.362,-0.713,0.713,4.74,-4.027,,,,0.0,30.649,-12.891,17.758,,,,17.758,0.044,17.802,-0.716,-0.66,16.426,16.426,,81.234484,0.2,0.2,0.24,119.405613,0.16,0.16,0.18,
12/31/2005,138.628,,,,-105.408,,,,,3.039,,33.22,-3.916,3.916,8.102,-4.186,,,,0.0,29.304,-12.316,16.988,,,,16.988,0.158,17.146,-0.715,-0.331,16.1,16.1,,82.5,0.2,0.2,0.22,122.5,0.15,0.15,0.16,
03/31/2006,162.018,,,,-120.207,11.793,5.031,,,0.049,108.365,41.811,-11.967,11.967,16.444,-4.477,,0.0,,0.0,29.844,-11.992,17.852,0.0,,,17.852,0.136,17.988,-0.359,-0.331,17.298,17.298,,87.876102,0.2,0.2,0.3,127.952201,0.16,0.16,0.23,
06/30/2006,171.151,,,,-134.821,,,,,1.843,,36.33,-8.908,18.131,24.406,-6.275,,0.0,,-9.223,27.422,-11.095,16.327,0.0,,,16.327,0.317,16.644,0.0,0.0,16.644,16.644,13.0,105.197081,0.16,0.16,0.28,145.196951,0.13,0.13,0.22,
09/30/2006,171.15,,,,-103.291,9.26,3.487,,,-2.152,96.183,67.859,-18.089,18.089,25.655,-7.566,,0.0,,0.0,49.77,-19.678,30.092,0.0,,,30.092,0.134,30.226,0.0,0.0,30.226,30.226,0.0,111.72575,0.27,0.27,0.27,150.835485,0.22,0.22,0.22,
12/31/2006,183.05,,,,-114.959,,,,,,,68.091,37.144,,24.6,-6.315,,0.0,,-55.429,105.235,-42.5,62.735,0.0,,,62.735,3.0,63.035,0.0,0.0,63.035,63.035,,112.1,0.56,0.56,0.29,152.1,0.43,0.43,0.23,
03/31/2007,192.067,,,,-110.703,,,,,3.49,,81.364,-50.612,17.844,23.468,-5.624,,0.0,,32.768,30.752,-12.532,18.22,0.0,,,18.22,0.096,18.316,0.0,0.0,18.316,18.316,,112.439179,0.16,0.16,0.37,151.807513,0.14,0.14,0.29,
06/30/2007,198.68,,,,-99.744,,,,,-1.359,,98.936,-4.603,15.891,23.586,-7.695,,0.0,,-11.288,94.333,-38.205,56.128,0.0,,,56.128,0.0,56.128,0.0,0.0,56.128,56.128,,112.742,0.5,0.5,0.45,151.966339,0.39,0.39,0.35,
09/30/2007,209.944,,,,-126.096,,,,,0.162,,83.848,452.733,13.907,23.434,-9.527,,0.0,,-466.64,536.581,-171.588,364.993,0.0,,,364.993,0.0,364.993,0.0,0.0,364.993,364.993,,113.17532,3.23,3.23,0.55,152.25175,2.41,2.41,0.42,
12/31/2007,211.6,,,0.0,-110.0,16.0,7.6,,,-0.4,94.4,101.6,30.6,-12.4,2.4,-14.8,,0.0,,-18.2,132.2,-53.2,79.0,0.0,,,79.0,,79.0,0.0,0.0,79.0,79.0,,125.8,0.63,0.63,0.55,154.0,0.52,0.52,0.46,
03/31/2008,278.0,,,0.0,-144.0,13.0,2.0,,,,131.0,134.0,61.0,0.0,10.0,-10.0,,,-27.0,-34.0,195.0,-74.0,121.0,0.0,,,121.0,,121.0,0.0,0.0,121.0,121.0,,160.978663,0.75,0.75,0.59,176.183879,0.69,0.69,0.54,
06/30/2008,380.0,,,0.0,-219.0,18.0,4.0,,,,201.0,161.0,-13.0,16.0,24.0,-8.0,,,-1.0,-2.0,148.0,-47.0,101.0,,,,101.0,-1.0,100.0,0.0,0.0,100.0,100.0,,199.721424,0.5,0.5,0.5,214.41068,0.47,0.47,0.47,
09/30/2008,399.0,,,0.0,-218.0,25.0,7.0,,,,193.0,181.0,-85.0,20.0,29.0,-9.0,,,,65.0,96.0,-38.0,58.0,,,,58.0,,58.0,0.0,0.0,58.0,58.0,,199.977325,0.29,0.29,0.54,214.151753,0.27,0.27,0.51,
12/31/2008,403.0,,,0.0,-213.0,24.0,6.0,,,,189.0,190.0,-117.0,28.0,35.0,-7.0,,,,89.0,73.0,-38.0,35.0,,,,35.0,,35.0,0.0,0.0,35.0,35.0,,201.0,0.17,0.17,0.54,214.0,0.17,0.17,0.52,
03/31/2009,369.0,369.0,,0.0,-203.0,15.0,2.0,13.0,24.0,,164.0,166.0,-24.0,22.0,27.0,-5.0,,,2.0,0.0,142.0,-48.0,94.0,0.0,0.0,0.0,94.0,,94.0,0.0,0.0,94.0,102.0,8.0,202.0,0.47,0.47,0.50495,214.0,0.44,0.44,0.477383,
06/30/2009,367.0,367.0,,0.0,-208.0,14.0,3.0,11.0,27.0,,167.0,159.0,-45.0,23.0,25.0,-2.0,-1.0,,18.0,5.0,114.0,-46.0,68.0,0.0,0.0,0.0,68.0,1.0,69.0,0.0,0.0,69.0,80.0,11.0,202.0,0.34,0.34,0.39604,214.0,0.33,0.33,0.381402,
09/30/2009,349.0,349.0,,0.0,-218.0,24.0,3.0,21.0,27.0,,167.0,131.0,-47.0,23.0,26.0,-3.0,-1.0,,,25.0,84.0,-25.0,59.0,0.0,0.0,0.0,59.0,1.0,60.0,0.0,0.0,60.0,63.0,3.0,203.0,0.3,0.3,0.310345,215.0,0.28,0.28,0.293953,
12/31/2009,369.0,369.0,,0.0,-220.0,18.0,7.0,11.0,27.0,,175.0,149.0,-97.0,22.0,25.0,-3.0,,,87.0,-12.0,52.0,-10.0,42.0,0.0,0.0,0.0,42.0,1.0,43.0,0.0,0.0,43.0,93.065934,50.065934,211.0,0.2,0.2,0.441071,215.0,0.2,0.2,0.432865,
03/31/2010,360.0,360.0,,0.0,-248.0,59.0,4.0,55.0,25.0,,164.0,112.0,-23.0,23.0,25.0,-2.0,,,,0.0,89.0,-29.0,60.0,0.0,0.0,0.0,60.0,1.0,61.0,0.0,0.0,61.0,72.097872,11.097872,211.0,0.29,0.29,0.341696,215.0,0.28,0.28,0.331618,
06/30/2010,390.0,390.0,,0.0,-211.0,18.0,5.0,13.0,25.0,,168.0,179.0,-33.0,24.0,26.0,-2.0,-1.0,,-1.0,11.0,146.0,-51.0,95.0,0.0,0.0,0.0,95.0,1.0,96.0,0.0,0.0,96.0,108.0,12.0,206.0,0.46,0.46,0.524272,209.0,0.46,0.46,0.517416,
09/30/2010,372.0,372.0,,0.0,-207.0,17.0,5.0,12.0,25.0,,165.0,165.0,-22.0,23.0,25.0,-2.0,,,-1.0,0.0,143.0,-43.0,100.0,0.0,0.0,0.0,100.0,1.0,101.0,0.0,0.0,101.0,101.5,0.5,200.0,0.51,0.51,0.5075,204.0,0.5,0.5,0.502451,
12/31/2010,400.0,400.0,,0.0,-225.0,18.0,6.0,12.0,27.0,,180.0,175.0,-27.0,24.0,26.0,-2.0,3.0,,,0.0,148.0,-13.0,135.0,0.0,0.0,0.0,135.0,2.0,137.0,0.0,0.0,137.0,107.333333,-29.666667,195.0,0.7,0.7,0.550427,200.0,0.69,0.69,0.541667,
03/31/2011,413.0,413.0,,0.0,-230.0,18.0,5.0,13.0,27.0,,185.0,183.0,-31.0,30.0,32.0,-2.0,1.0,,,0.0,152.0,-49.0,103.0,0.0,0.0,0.0,103.0,1.0,104.0,0.0,0.0,104.0,108.0,4.0,176.0,0.59,0.59,0.613636,181.0,0.57,0.57,0.592099,
06/30/2011,415.0,415.0,,0.0,-257.0,19.0,5.0,14.0,26.0,,212.0,158.0,-27.0,28.0,31.0,-3.0,,,-1.0,0.0,131.0,-40.0,91.0,0.0,0.0,0.0,91.0,1.0,92.0,0.0,0.0,92.0,112.0,20.0,177.0,0.52,0.52,0.632768,181.0,0.51,0.51,0.620497,
09/30/2011,436.0,436.0,,0.0,-241.0,22.0,4.0,18.0,28.0,,191.0,195.0,-25.0,27.0,30.0,-3.0,-1.0,,-1.0,0.0,170.0,-61.0,109.0,0.0,0.0,0.0,109.0,1.0,110.0,0.0,0.0,110.0,121.0,11.0,177.1,0.62,0.62,0.68323,180.9,0.61,0.61,0.670807,
12/31/2011,420.0,420.0,,0.0,-259.0,48.0,9.0,39.0,28.0,,183.0,161.0,-40.0,23.0,26.0,-3.0,,,-1.0,18.0,121.0,-40.0,81.0,0.0,0.0,0.0,81.0,1.0,82.0,0.0,0.0,82.0,113.0,31.0,175.4,0.46,0.46,0.644242,179.5,0.45,0.45,0.622702,
03/31/2012,414.0,414.0,,0.0,-243.0,20.0,6.0,14.0,26.0,,197.0,171.0,-34.0,22.0,24.0,-2.0,,,,12.0,137.0,-53.0,84.0,0.0,0.0,0.0,84.0,1.0,85.0,0.0,0.0,85.0,108.0,23.0,173.0,0.49,0.49,0.624277,177.5,0.48,0.48,0.609577,
06/30/2012,427.0,427.0,,0.0,-252.0,21.0,6.0,15.0,25.0,,206.0,175.0,-50.0,22.0,24.0,-2.0,,,,28.0,125.0,-33.0,92.0,0.0,0.0,0.0,92.0,1.0,93.0,0.0,0.0,93.0,116.837838,23.837838,169.4,0.55,0.55,0.689716,173.4,0.53,0.53,0.667473,
09/30/2012,412.0,412.0,,0.0,-242.0,21.0,6.0,15.0,26.0,,195.0,170.0,-36.0,22.0,24.0,-2.0,,,,14.0,134.0,-45.0,89.0,0.0,0.0,0.0,89.0,0.0,89.0,0.0,0.0,89.0,105.0,16.0,166.2,0.53,0.53,0.631769,170.5,0.52,0.52,0.613842,
12/31/2012,422.0,422.0,,0.0,-247.0,21.0,7.0,14.0,27.0,,199.0,175.0,-22.0,22.0,25.0,-3.0,,,,0.0,153.0,-69.0,84.0,0.0,0.0,0.0,84.0,1.0,85.0,0.0,0.0,85.0,109.636364,24.636364,164.5,0.52,0.52,0.666482,169.1,0.5,0.5,0.645691,
03/31/2013,418.0,418.0,,0.0,-328.0,32.0,7.0,25.0,27.0,,269.0,90.0,-31.0,21.0,24.0,-3.0,,,,10.0,59.0,-17.0,42.0,0.0,0.0,0.0,42.0,,42.0,0.0,0.0,42.0,106.833333,64.833333,165.7,0.26,0.26,0.644739,169.7,0.25,0.25,0.632047,
06/30/2013,451.0,451.0,,0.0,-292.0,27.0,8.0,19.0,28.0,,237.0,159.0,-24.0,24.0,26.0,-2.0,,,,0.0,135.0,-47.0,88.0,0.0,0.0,0.0,88.0,,88.0,0.0,0.0,88.0,105.0,17.0,166.4,0.53,0.53,0.63101,170.1,0.52,0.52,0.619941,
09/30/2013,506.0,506.0,,0.0,-304.0,24.0,7.0,17.0,33.0,,247.0,202.0,-31.0,30.0,32.0,-2.0,,,1.0,0.0,171.0,-58.0,113.0,0.0,0.0,0.0,113.0,,113.0,0.0,0.0,113.0,113.0,0.0,167.3377,0.68,0.68,0.68,172.103738,0.66,0.66,0.66,
12/31/2013,520.0,520.0,,0.0,-282.0,27.0,8.0,19.0,34.0,,221.0,238.0,-3.0,28.0,30.0,-2.0,,,0.0,-25.0,235.0,-94.0,141.0,0.0,0.0,0.0,141.0,0.0,141.0,0.0,0.0,141.0,120.446421,-20.553579,168.3,0.84,0.84,0.715665,173.1,0.81,0.81,0.691262,
03/31/2014,529.0,529.0,,0.0,-345.0,31.0,8.0,23.0,35.0,,279.0,184.0,-28.0,28.0,30.0,-2.0,,,,0.0,156.0,-53.0,103.0,0.0,0.0,0.0,103.0,,103.0,0.0,0.0,103.0,124.266667,21.266667,169.6,0.61,0.61,0.732704,173.7,0.59,0.59,0.712433,
06/30/2014,523.0,523.0,,0.0,-332.0,42.0,9.0,33.0,35.0,,255.0,191.0,-29.0,29.0,30.0,-1.0,,,0.0,0.0,162.0,-61.0,101.0,0.0,0.0,0.0,101.0,0.0,101.0,0.0,0.0,101.0,120.0,19.0,169.33763,0.6,0.6,0.708643,172.472636,0.59,0.59,0.700162,
09/30/2014,497.0,497.0,,0.0,-290.0,23.0,5.0,18.0,34.0,,233.0,207.0,-28.0,28.0,29.0,-1.0,,,,0.0,179.0,-56.0,123.0,0.0,0.0,0.0,123.0,,123.0,0.0,0.0,123.0,124.333333,1.333333,168.587861,0.73,0.73,0.737499,173.157062,0.71,0.71,0.7177,
12/31/2014,517.0,517.0,,0.0,-344.0,23.0,8.0,15.0,33.0,,288.0,173.0,-75.0,26.0,28.0,-2.0,,,0.0,49.0,98.0,-11.0,87.0,0.0,0.0,0.0,87.0,0.0,87.0,0.0,0.0,87.0,124.23714,37.23714,168.2,0.52,0.52,0.738627,172.5,0.5,0.5,0.715867,
03/31/2015,507.0,507.0,,0.0,-480.0,53.0,7.0,46.0,34.0,,393.0,27.0,-13.0,27.0,28.0,-1.0,0.0,,-14.0,0.0,14.0,-5.0,9.0,0.0,0.0,0.0,9.0,,9.0,0.0,0.0,9.0,128.738462,119.738462,168.985956,0.05,0.05,0.761829,172.677119,0.05,0.05,0.743424,
06/30/2015,518.0,518.0,,0.0,-301.0,25.0,6.0,19.0,34.0,,242.0,217.0,-25.0,26.0,27.0,-1.0,0.0,,-1.0,0.0,192.0,-60.0,132.0,0.0,0.0,0.0,132.0,1.0,133.0,0.0,0.0,133.0,135.5,2.5,168.717817,0.79,0.79,0.803116,172.141653,0.77,0.77,0.784523,
09/30/2015,529.0,529.0,,0.0,-298.0,17.0,6.0,11.0,34.0,,247.0,231.0,-25.0,27.0,28.0,-1.0,0.0,,-2.0,0.0,206.0,-68.0,138.0,0.0,0.0,0.0,138.0,0.0,138.0,0.0,0.0,138.0,146.0,8.0,166.903697,0.83,0.83,0.874756,171.452009,0.8,0.8,0.84666,
12/31/2015,536.0,536.0,,0.0,-290.0,-3.0,9.0,-12.0,35.0,,258.0,246.0,-27.0,27.0,28.0,-1.0,0.0,,0.0,0.0,219.0,-71.0,148.0,0.0,0.0,0.0,148.0,0.0,148.0,0.0,0.0,148.0,144.0,-4.0,164.6,0.9,0.9,0.874848,168.9,0.88,0.88,0.856317,
03/31/2016,534.0,905.0,-371.0,0.0,-315.0,20.0,6.0,14.0,38.0,,257.0,219.0,-24.0,27.0,28.0,-1.0,-1.0,,-2.0,0.0,195.0,-63.0,132.0,0.0,0.0,0.0,132.0,0.0,132.0,0.0,0.0,132.0,142.8,10.8,164.281692,0.8,0.8,0.869239,168.368444,0.78,0.78,0.844145,
06/30/2016,559.0,559.0,,0.0,-385.0,25.0,8.0,17.0,41.0,,319.0,174.0,-28.0,31.0,32.0,-1.0,-2.0,,-1.0,0.0,146.0,-76.0,70.0,0.0,0.0,0.0,70.0,0.0,70.0,0.0,0.0,70.0,161.447059,91.447059,165.01899,0.42,0.42,0.978354,168.205808,0.42,0.42,0.963662,
09/30/2016,585.0,585.0,,0.0,-352.0,27.0,8.0,19.0,46.0,,279.0,233.0,-34.0,36.0,37.0,-1.0,0.0,,-2.0,0.0,199.0,-68.0,131.0,0.0,0.0,0.0,131.0,0.0,131.0,0.0,0.0,131.0,138.885714,7.885714,165.606199,0.79,0.79,0.83865,169.497079,0.77,0.77,0.816524,
12/31/2016,599.0,599.0,,0.0,-386.0,29.0,7.0,22.0,45.0,,312.0,213.0,-617.0,36.0,37.0,-1.0,0.0,,3.0,578.0,-404.0,180.0,-224.0,0.0,0.0,0.0,-224.0,0.0,-224.0,0.0,0.0,-224.0,147.29257,371.29257,165.8,-1.35,-1.35,0.888375,165.8,-1.35,-1.35,0.888375,
03/31/2017,581.0,969.0,-388.0,0.0,-335.0,26.0,7.0,19.0,45.0,,264.0,246.0,-31.0,35.0,37.0,-2.0,,,-4.0,0.0,215.0,-47.0,168.0,0.0,0.0,0.0,168.0,0.0,168.0,0.0,0.0,168.0,171.517241,3.517241,166.473073,1.01,1.01,1.0303,170.246947,0.99,0.99,1.01066,
06/30/2017,596.0,546.0,50.0,0.0,-354.0,38.0,8.0,30.0,47.0,,269.0,242.0,-31.0,34.0,36.0,-2.0,-1.0,,-2.0,0.0,211.0,-65.0,146.0,0.0,0.0,0.0,146.0,0.0,146.0,0.0,0.0,146.0,158.266667,12.266667,165.415989,0.88,0.88,0.95678,168.488305,0.87,0.87,0.942804,
09/30/2017,603.0,557.0,46.0,0.0,-341.0,22.0,7.0,15.0,47.0,,272.0,262.0,-28.0,32.0,34.0,-2.0,0.0,,-4.0,0.0,234.0,-64.0,170.0,0.0,0.0,0.0,170.0,0.0,170.0,0.0,0.0,170.0,171.384616,1.384616,166.694755,1.02,1.02,1.028134,170.002147,1.0,1.0,1.008145,
12/31/2017,630.0,580.0,50.0,0.0,-390.0,27.0,9.0,18.0,49.0,,314.0,240.0,-29.0,34.0,36.0,-2.0,0.0,,-5.0,0.0,211.0,35.0,246.0,0.0,0.0,0.0,246.0,0.0,246.0,0.0,0.0,246.0,169.144118,-76.855882,166.9,1.47,1.47,1.013446,169.7,1.45,1.45,0.997107,
03/31/2018,666.0,1151.0,-485.0,0.0,-393.0,31.0,9.0,22.0,53.0,,309.0,273.0,-34.0,36.0,38.0,-2.0,,,-2.0,0.0,239.0,-62.0,177.0,0.0,0.0,0.0,177.0,0.0,177.0,0.0,0.0,177.0,191.6,14.6,166.921542,1.06,1.06,1.147845,168.992539,1.05,1.05,1.136394,
06/30/2018,615.0,598.0,17.0,0.0,-346.0,35.0,10.0,25.0,53.0,,258.0,269.0,19.0,35.0,37.0,-2.0,-8.0,,-5.0,-41.0,288.0,-126.0,162.0,0.0,0.0,0.0,162.0,0.0,162.0,0.0,0.0,162.0,191.0,29.0,165.748107,0.98,0.98,1.152351,167.399604,0.97,0.97,1.143238,
09/30/2018,600.0,590.0,10.0,0.0,-354.0,35.0,7.0,28.0,53.0,,266.0,246.0,-37.0,35.0,38.0,-3.0,0.0,,-6.0,8.0,209.0,-46.0,163.0,0.0,0.0,0.0,163.0,0.0,163.0,0.0,0.0,163.0,178.652174,15.652174,164.227243,0.99,0.99,1.087835,167.290916,0.97,0.97,1.063563,
12/31/2018,645.0,635.0,10.0,0.0,-404.0,57.0,11.0,46.0,51.0,,296.0,241.0,87.0,35.0,37.0,-2.0,0.0,0.0,-4.0,-118.0,328.0,-372.0,-44.0,0.0,0.0,0.0,-44.0,0.0,-44.0,0.0,0.0,-44.0,201.188571,245.188571,164.5,-0.27,-0.27,1.223031,164.5,-0.27,-0.27,1.220508,
03/31/2019,634.0,1039.0,-405.0,0.0,-359.0,26.0,10.0,16.0,48.0,,285.0,275.0,38.0,34.0,37.0,-3.0,,0.0,-45.0,-27.0,313.0,-66.0,247.0,0.0,0.0,0.0,247.0,0.0,247.0,0.0,0.0,247.0,235.322857,-11.677143,165.3,1.49,1.49,1.423611,167.0,1.48,1.48,1.410077,
06/30/2019,623.0,623.0,0.0,0.0,-367.0,50.0,10.0,40.0,48.0,,269.0,256.0,-17.0,28.0,31.0,-3.0,-1.0,,-10.0,0.0,239.0,-65.0,174.0,0.0,0.0,0.0,174.0,0.0,174.0,0.0,0.0,174.0,189.305564,15.305564,165.596174,1.05,1.05,1.143176,167.041419,1.04,1.04,1.131627,
09/30/2019,632.0,632.0,0.0,0.0,-406.0,48.0,8.0,40.0,47.0,,311.0,226.0,-11.0,26.0,29.0,-3.0,0.0,,-15.0,0.0,215.0,-65.0,150.0,0.0,0.0,0.0,150.0,0.0,150.0,0.0,0.0,150.0,186.864865,36.864865,164.331832,0.91,0.91,1.137119,167.029744,0.9,0.9,1.120708,
12/31/2019,646.0,646.0,,0.0,-386.0,40.0,10.0,30.0,47.0,,299.0,260.0,-8.0,26.0,28.0,-2.0,,,-14.0,-4.0,252.0,-50.0,202.0,0.0,0.0,0.0,202.0,0.0,202.0,0.0,0.0,202.0,208.0,6.0,164.5,1.23,1.23,1.264438,166.8,1.21,1.21,1.245971,
03/31/2020,701.0,1353.0,-652.0,0.0,-426.0,70.0,9.0,61.0,48.0,,308.0,275.0,-2.0,24.0,26.0,-2.0,,,-17.0,-5.0,273.0,-70.0,203.0,0.0,0.0,0.0,203.0,,203.0,0.0,0.0,203.0,241.623188,38.623188,164.9,1.23,1.23,1.465271,166.8,1.22,1.22,1.451554,
06/30/2020,699.0,699.0,,0.0,-384.0,29.0,4.0,25.0,50.0,,305.0,315.0,1.0,25.0,26.0,-1.0,,,-26.0,0.0,316.0,-75.0,241.0,0.0,0.0,0.0,241.0,,241.0,0.0,0.0,241.0,243.85,2.85,164.1,1.47,1.47,1.485984,166.1,1.45,1.45,1.467158,
09/30/2020,687.0,,,,,,,,,,,345.727,,,,,,,,,322.25,,228.333,,,,,,228.333,,,228.333,240.917,,,1.367,1.367,1.444,,1.367,1.367,1.444,
12/31/2020,693.133,,,,,,,,,,,343.625,,,,,,,,,323.5,,224.444,,,,,,224.444,,,224.444,239.917,,,1.344,1.344,1.432,,1.344,1.344,1.432,
