Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
11/30/1996,29.192,22.698,8.587,2.972,,0.806,2.166,-5.065,-8.895,-1.773,,5.603,,-26.373,-17.224,0.128,,,-17.352,,,0.0,0.0,0.0,,,,,-9.149,-3.367,0.0,-4.398,,,0.647,0.647,0.0,0.384,,-0.548,
02/28/1997,33.424001,22.453999,9.105,2.184,,,2.184,-0.319,,,,-0.319,,,-17.287001,,,,-17.287001,,,,,,,,,,17.287001,,,,,,,,,,,,
05/31/1997,47.292999,41.139001,12.554,7.794,,,7.794,-14.194,,,,-14.194,,,-21.088999,,,,-21.088999,,,,,,,,,,21.088999,,,,,,,,,,,,
08/31/1997,27.968,24.058,12.978,4.174,,4.174,0.0,-13.242,-4.592,-1.82,0.566,-7.396,,-27.773,-20.085,0.04,,,-20.125,,,0.0,0.0,0.0,,,,,-7.688,-2.031,0.0,-1.955,,,0.23,0.23,0.0,-0.306,,-1.836,
11/30/1997,25.67,27.976,13.009,3.884,,3.884,0.0,-19.199,-8.609,-3.606,,-6.984,,-13.663,-21.943,0.755,,,-22.698,,,0.0,0.0,0.0,,,,,8.28,-8.372,0.0,-7.052,,,-0.99,0.292,-1.282,-0.33,,3.635,
02/28/1998,41.504,27.674,14.879,-2.132,,-2.132,0.0,1.083,1.147,-8.153,1.885,6.204,,-48.78,-26.211,0.133,,,-26.344,,,0.0,0.0,0.0,,,,,-22.569,7.131,-17.634,24.887,,,0.226,0.226,0.0,-0.348,,-0.145,
05/31/1998,-30.06,43.149,-9.616,49.915,,5.939,43.976,-9.44,-11.723,-8.245,-4.006,14.534,,-50.562,-49.738,,,,-49.738,,,0.0,0.0,0.0,,,,,-0.824,-9.051,0.0,3.019,,,1.656,1.656,,-13.726,,-7.098,
08/31/1998,48.347,33.86,17.677,5.136,,5.136,0.0,-8.326,-5.803,-6.309,-5.789,9.575,,-32.679,-39.542,0.0,,,-39.542,,,0.0,0.0,0.0,,,,,6.863,-10.481,0.0,-9.403,,,0.819,0.819,0.0,-1.897,,5.187,
11/30/1998,25.421,39.8,14.352,1.399,,6.535,-5.136,-30.13,-25.21,-7.782,-5.366,8.228,,-34.412,-41.399,0.0,,,-41.399,,,0.0,0.0,0.0,,,,,6.987,-4.472,0.0,-3.895,,,0.376,0.376,0.0,-0.953,,-13.463,
02/28/1999,65.328,37.872,17.732,-0.64,,5.895,-6.535,10.364,-10.193,-12.18,-7.884,40.621,,-42.078,-38.837,0.0,,,-38.837,,,0.0,0.0,0.0,,,,,-3.241,0.567,0.0,-0.816001,,,0.007,0.007,0.0,1.376,,23.817,
05/31/1999,63.966,27.407,19.018,27.496,,,27.496,-9.955002,,,,-9.955002,,-50.32999,-51.47,0.0,,,-51.47,,,0.0,0.0,0.0,,,,,1.14001,-26.797,-24.942,-5.61,,,0.545,1.107,-0.562,3.21,,-13.161,
08/31/1999,59.639,43.165,23.503,5.716,,5.716,0.0,-12.745,-1.784,3.278,0.691,-14.93,,-28.551,-45.688,,,,-45.688,,,,,,,,,,17.137,-15.091,,-17.101,,,1.894,1.894,,0.116,,15.997,
11/30/1999,48.352,48.335,26.053,11.83,,11.81,0.02,-37.866,-23.87,2.526,-0.246,-16.276,,-47.863,-27.457,8.769,,,-36.226,,,0.0,0.0,0.0,,,,,-20.406,-5.859,0.0,-6.757,,,0.476,0.476,0.0,0.422,,-5.37,
02/29/2000,68.353,49.062,24.148,6.276,,18.086,-11.81,-11.133,-23.016,-13.181,2.635,22.429,,-50.459,-51.089,,,,-51.089,,,,,,,,,,0.63,-3.512,,-4.691,,,0.616,0.616,,0.563,,14.382,
05/31/2000,81.688,52.825,25.629,-0.527,,,-0.527,3.761,,,,3.761,,-30.065,-37.198,0.0,,,-37.198,,,0.0,0.0,0.0,,,,,7.133,-40.253,-31.249,-8.363,,,0.413,0.413,0.0,-1.054,,11.37,
08/31/2000,28.315,50.849,27.616,13.049,,13.049,0.0,-63.199,-12.705,-10.883,-4.586,-35.025,,-40.948,-42.27,0.0,,,-42.27,,,0.0,0.0,0.0,,,,,1.322,-9.04,0.0,-10.42,,,0.687,0.687,0.0,0.693,,-21.673,
11/30/2000,50.989,56.533,26.721,2.123,,15.172,-13.049,-34.388,-26.219,-35.772,3.746,23.857,,-40.39,-35.771,0.0,,,-35.771,,,0.0,0.0,0.0,,,,,-4.619,-6.932,0.0,-8.729,,,0.284,0.284,0.0,1.513,,3.667,
02/28/2001,68.246,54.911,28.61,0.957,,16.129,-15.172,-16.232,-19.369,-58.344,-2.952,64.433,,-58.098,-35.768,0.0,,,-35.768,,,0.0,0.0,0.0,,,,,-22.33,-5.145,0.0,-7.162,,,3.629,3.629,0.0,-1.612,,5.003,
05/31/2001,99.408,60.159,29.142,-7.633,,,-7.633,17.74,,,,17.74,,-21.973,-33.635,0.0,,,-33.635,,,0.0,0.0,0.0,,,,,11.662,-42.89,-37.173,-7.093,,,1.392,1.392,0.0,-0.016,,34.545,
08/31/2001,60.43,56.54,29.405,12.008,,12.008,0.0,-37.523,-2.435,10.727,-0.536,-45.279,,-67.41,-32.731,0.0,,,-32.731,,,0.0,0.0,0.0,,,,,-34.679,-1.993,0.0,-3.267,,,1.07,1.07,0.0,0.204,,-8.973,
11/30/2001,120.332,57.985,29.623,-0.244,,11.764,-12.008,32.968,-6.398,15.131,2.636,21.599,,-74.482,-28.309,0.0,,,-28.309,,,0.0,0.0,0.0,,,,,-46.173,-9.322,0.0,-8.179,,,0.57,0.57,0.0,-1.713,,36.528,
02/28/2002,100.029,55.584,30.328,-2.604,,9.16,-11.764,16.721,9.214,20.936,-6.676,-6.753,,-89.234,-23.937,0.0,,,-23.937,,,0.0,0.0,0.0,,,,,-65.297,-25.817,0.0,-25.817,,,0.802,0.802,0.0,-0.802,,-15.022,
05/31/2002,96.642,64.142,30.669,11.469,,,11.469,-9.638,,,,-9.638,,-618.22,-22.307,0.0,,,-22.307,,,0.0,0.0,0.0,,,,,-595.913,475.949,-42.454,516.896,,,0.805,0.805,0.0,0.702,,-45.629,
08/31/2002,69.979,61.647,38.066,16.57,,16.57,0.0,-46.304,1.739,-15.641,10.388,-42.79,,-28.669,-21.647,0.0,,,-21.647,,,0.0,0.0,0.0,,,,,-7.022,-48.531,0.0,-48.798,,,2.071,2.071,0.0,-1.804,,-7.221,
11/30/2002,112.169,63.34,35.246,-9.554,,7.016,-16.57,23.137,-3.351,-26.045,4.891,47.642,,-43.179,-29.735,0.0,,,-29.735,,,0.0,0.0,0.0,,,,,-13.444,-51.488,0.0,-53.074,,,1.155,1.155,0.0,0.431,,17.502,
02/28/2003,69.78,59.055,35.682,-1.661,,5.355,-7.016,-23.296,10.735,-36.169,-10.556,12.694,,-36.432,-29.065,0.0,,,-29.065,,,0.0,0.0,0.0,,,,,-7.367,-42.082,0.0,-48.22,,,0.761,0.761,0.0,5.377,,-8.734,
05/31/2003,78.759,65.211,34.067,2.293,,,2.293,-22.812,,,,-22.812,,-27.942,-34.572,0.0,,,-34.572,,,0.0,0.0,0.0,,,,,6.63,-60.753,-46.003,-22.799,,,1.712,1.712,0.0,6.337,,-9.936,
08/31/2003,72.058,63.327,35.435,15.593,,15.593,0.0,-42.297,6.844,4.055,-5.075,-48.121,,-47.905,-31.007,0.0,,,-31.007,,,0.0,0.0,0.0,,,,,-16.898,-1.478,0.0,-1.797,,,1.406,1.406,0.0,-1.087,,22.675,
11/30/2003,177.472,69.657,35.899,-7.274,,-7.274,0.0,79.19,-7.822,12.485,2.357,72.17,,-93.097,-26.014,0.0,,,-26.014,,,0.0,0.0,0.0,,,,,-67.083,-40.693,0.0,-49.476,,,1.648,1.648,0.0,7.135,,43.682,
02/29/2004,110.906,66.493,35.861,12.565,,20.884,-8.319,-4.013,4.151,25.965,-5.556,-28.573,,-93.844,-27.998,0.0,,,-27.998,,,0.0,0.0,0.0,,,,,-65.846,-2.398,0.0,-2.061,,,2.814,2.814,0.0,-3.151,,14.664,
05/31/2004,149.273,72.728,36.064,-5.045,,-13.364,8.319,45.526,-3.661,3.891,5.051,40.245,,-108.958,-27.869,0.0,,,-27.869,,,0.0,0.0,0.0,,,,,-81.089,-66.218,-49.634,-15.43,,,0.0,0.0,0.0,-1.154,,-25.903,
08/31/2004,52.835,72.666,36.428,21.815,,21.815,0.0,-78.074,-4.776,-1.548,1.875,-73.625,,-63.791,-35.336,0.0,,,-35.336,,,0.0,0.0,0.0,,,,,-28.455,5.548,0.0,-0.182,,,1.514,1.514,0.0,4.216,,-5.408,
11/30/2004,143.789,73.56,36.636,-1.563,,-1.563,0.0,35.156,-17.125,-11.531,10.343,53.469,,-121.061,-38.527,0.0,,,-38.527,,,0.0,0.0,0.0,,,,,-82.534,8.718,0.0,-6.478,,,1.14,1.14,0.0,14.056,,31.446,
02/28/2005,91.601,71.332,37.121,-13.396,,-13.396,0.0,-3.456,9.782,-14.064,-8.742,9.568,,-129.133,-27.093,0.0,,,-27.093,,,0.0,0.0,0.0,,,,,-102.04,-4.003,0.0,-0.604,,,1.19,1.19,0.0,-4.589,,-41.535,
05/31/2005,125.988,82.96,37.99,-2.665,,-2.665,0.0,7.703,-24.198,0.822,,31.079,,-36.749,-39.771,0.0,,,-39.771,,,0.0,0.0,0.0,,,,,3.022,-117.903,-54.968,-3.311,,,-57.427,0.777,-58.204,-2.197,,-28.664,
08/31/2005,46.875,78.422,38.353,18.654,1.424,17.23,0.0,-88.554,-11.258,-5.61,-3.529,-68.157,,-1.703,-36.144,0.0,,,-36.144,,,0.0,0.0,0.0,,,,,34.441,-44.931,0.0,45.763,,,-96.57,5.687,-102.257,5.876,,0.241,
11/30/2005,159.024,76.839,39.307,-9.497,,-10.817,1.32,52.375,-16.309,8.706,,59.978,,-89.551,-34.037,0.0,,,-34.037,,,0.0,0.0,0.0,,,,,-55.514,-60.314,0.0,-52.166,,,-10.147,1.766,-11.913,1.999,,9.159,
02/28/2006,105.022,76.594,40.484,2.043,,0.986,1.057,-14.099,13.38,8.888,,-36.367,,-289.165,-31.899,0.0,,,-31.899,,,0.0,0.0,0.0,,,,,-257.266,179.59,0.0,127.0,,,4.657,4.657,0.0,47.933,,-4.553,
05/31/2006,150.104,91.527,42.509,-6.833,,-7.451,0.618,22.901,-29.967,10.049,,42.819,,-59.627,-54.552,0.0,,,-54.552,,,0.0,0.0,0.0,,,,,-5.075,-99.606,-58.823,205.6,,,-206.641,2.598,-209.239,-39.742,,-9.129,
08/31/2006,55.844,84.962,42.768,10.174,-0.598,10.772,0.0,-82.06,-1.202,-12.381,-11.77,-56.707,,-0.864,-36.496,0.0,,,-36.496,,,0.0,0.0,0.0,,,,,35.632,-58.929,0.0,58.177,,,-111.015,3.403,-114.418,-6.091,,-3.949,
11/30/2006,171.49,82.527,42.985,-8.022,,-9.773,1.751,54.0,-12.977,-6.873,,73.85,,-66.712,-44.825,0.0,,,-44.825,,,0.0,0.0,0.0,,,,,-21.887,-100.804,0.0,-65.646,,,-25.067,2.475,-27.542,-10.091,,3.974,
02/28/2007,94.743,76.727,44.298,-18.505,,-20.061,1.556,-7.777,15.09,-8.922,,-13.945,,-134.404,-47.315,0.0,,,-47.315,,,0.0,0.0,0.0,,,,,-87.089,32.28,0.0,0.0,,,-53.301,3.688,-56.989,85.581,,-7.381,
05/31/2007,127.314,90.322,45.875,20.477,5.054,18.73,-3.307,-29.36,-12.371,-3.914,4.116,-17.191,,-71.728,-52.188,0.0,,,-52.188,,,0.0,0.0,0.0,,,,,-19.54,-51.784,-61.996,89.942,,,1.341,1.341,0.0,-81.071,,3.802,
08/31/2007,57.065,81.063,46.222,19.55,2.132,17.418,0.0,-89.77,0.644,-4.293,5.435,-91.556,,-54.878,-45.344,0.0,,,-45.344,,,0.0,0.0,0.0,,,,,-9.534,3.294,0.0,-0.532,,,7.23,7.23,0.0,-3.404,,5.481,
11/30/2007,213.536,82.853,47.39,-11.115,2.677,-13.792,0.0,94.408,-8.86,-2.426,3.336,102.358,,-74.559,-47.863,0.0,,,-47.863,,,0.0,0.0,0.0,,,,,-26.696,-123.178,0.0,68.114,,,-190.957,0.522,-191.479,-0.335,,15.799,
02/29/2008,98.559,81.828,48.835,-1.485,2.597,-4.082,0.0,-30.619,9.078,-2.206,-9.219,-28.272,,-108.757,-51.641,0.0,,,-51.641,,,0.0,0.0,0.0,,,,,-57.116,9.233,0.0,16.61,,,0.278,0.278,0.0,-7.655,,-0.965,
05/31/2008,175.322,89.661,49.456,2.169,,2.119,0.05,34.036,-15.801,2.825,,47.012,,-72.781,-45.485,0.0,,,-45.485,,,0.0,0.0,0.0,,,,,-27.296,-91.992,-70.831,-21.601,,,0.341,0.341,0.0,0.099,,10.549,
08/31/2008,88.338,78.636,39.04,12.898,3.535,-1.482,10.845,-42.236,-3.369,-3.795,-7.554,-27.518,0.0,-76.148,-54.461,0.0,,0.0,-54.461,-54.461,0.0,0.0,0.0,0.0,-12.106,0.0,-12.106,0.0,-9.581,-18.821,0.0,6.739,7.0,-0.261,-25.847,0.0,-25.847,0.287,-1.35,-7.981,
11/30/2008,86.803,71.838,39.332,13.695,3.376,-0.358,10.677,-38.062,-4.695,-11.374,7.058,-29.051,,62.315,-41.496,0.0,,,-41.496,-41.496,0.0,0.0,0.0,0.0,-6.225,0.0,-6.225,0.0,110.036,-79.862,0.0,-79.988,0.5,-80.488,0.0,0.0,0.0,0.126,-3.424,65.832,
02/28/2009,164.578,71.811,39.747,23.386,1.993,10.892,10.501,29.634,50.182,-1.258,-21.738,2.448,,-90.021,-36.826,0.0,,,-36.826,-36.826,0.0,0.0,0.0,0.0,-11.05,0.0,-11.05,0.0,-42.145,-83.438,0.0,-83.761,0.0,-83.761,0.0,0.0,0.0,0.323,0.719,-8.162,
05/31/2009,183.803,4.072,39.453,52.222,3.049,-10.226,59.399,88.056,29.031,51.563,-2.313,9.775,,-37.705,-27.309,0.0,,,-27.309,-27.309,0.0,0.0,0.0,0.0,-1.528,0.0,-1.528,0.0,-8.868,-72.227,-72.207,-0.139,0.0,-0.139,0.0,0.0,0.0,0.119,1.623,75.494,
08/31/2009,144.894,53.984,38.549,13.574,3.63,-0.412,10.356,38.787,-1.425,16.976,3.481,19.755,0.0,-46.736,-24.819,0.0,,0.0,-24.819,-24.819,0.0,0.0,0.0,0.0,-2.633,0.0,-2.633,0.0,-19.284,-0.622,0.0,-0.179,,,1.751,2.71,-0.959,-2.194,0.03,97.566,
11/30/2009,149.281,57.176,37.35,19.342,3.941,5.189,10.212,35.413,-11.418,17.898,3.433,25.5,0.0,-34.112,-23.273,0.0,,,-23.273,-23.273,0.0,0.0,0.0,0.0,-3.968,0.0,-3.968,0.0,-6.871,-1.375,0.0,-0.142,,,0.109,0.109,0.0,-1.342,0.909,114.703,
02/28/2010,135.014,48.982,37.935,20.958,3.752,7.168,10.038,27.139,23.628,-2.974,8.253,-1.768,0.0,-71.459,-30.836,0.0,,,-30.836,-30.836,0.0,0.0,0.0,0.0,-34.774,0.0,-34.774,0.0,-5.849,0.179,0.0,-0.143,,,0.023,0.024,-0.001,0.299,0.755,64.489,
05/31/2010,136.465,55.478,38.225,15.852,4.026,1.35,10.476,26.91,-5.563,-1.607,-6.228,40.308,0.0,-55.275,-32.15,0.0,,,-32.15,-32.15,0.0,0.0,0.0,0.0,-9.069,0.0,-9.069,0.0,-14.056,-74.691,-73.96,-0.139,,,-2.852,,,2.26,-1.721,4.778,
08/31/2010,35.298,61.277,37.362,10.937,3.046,-2.538,10.429,-74.278,-13.747,-14.799,8.42,-54.152,0.0,-27.549,-48.2,0.0,,0.0,-48.2,-48.2,0.0,0.0,0.0,0.0,-47.824,0.0,-47.824,0.0,68.475,-127.761,0.0,-0.148,,,-129.794,1.542,-131.336,2.181,-0.623,-120.635,
11/30/2010,73.931,55.866,37.201,9.767,2.753,-3.739,10.753,-28.903,-14.027,-24.039,11.345,-2.182,0.0,-33.431,-39.934,0.0,,0.0,-39.934,-39.934,0.0,0.0,0.0,0.0,-40.975,0.0,-40.975,0.0,47.478,-72.76,0.0,-0.646,,,-71.632,0.239,-71.871,-0.482,2.567,-29.693,
02/28/2011,98.726,59.07,37.563,43.799,4.014,28.801,10.984,-41.706,-5.07,-22.782,7.209,-21.063,0.0,-127.975,-54.164,0.0,,0.0,-54.164,-54.164,0.0,0.0,0.0,0.0,-69.718,0.0,-69.718,0.0,-4.093,-51.549,-71.812,-281.961,,,302.993,303.0,-0.007,-0.769,4.576,-76.222,
05/31/2011,132.931,70.776,38.76,41.189,5.39,25.384,10.415,-17.794,-16.142,-17.204,2.241,13.311,0.0,-109.638,-40.294,0.0,,0.0,-40.294,-40.294,0.0,0.0,0.0,0.0,-13.035,0.0,-13.035,0.0,-56.309,232.032,0.0,782.828,,,-545.257,,,-5.539,-1.95,253.375,
08/31/2011,56.562,68.638,38.277,6.947,4.522,-7.808,10.233,-57.3,-10.142,-30.77,-9.329,-7.059,0.0,-82.336,-44.421,0.0,,0.0,-44.421,-44.421,0.0,0.0,0.0,0.0,-0.87,0.0,-0.87,0.0,-37.045,-262.157,0.0,-0.444,,,-262.639,0.0,-262.639,0.926,0.137,-287.794,
11/30/2011,119.396,74.35,38.645,11.146,5.234,-3.959,9.871,-4.745,-10.708,-8.498,11.172,3.289,0.0,-59.64,-35.411,0.0,,0.0,-35.411,-35.411,0.0,0.0,0.0,0.0,-13.681,0.0,-13.681,0.0,-10.548,0.104,0.0,-0.459,,,0.035,0.078,-0.043,0.528,-2.4,57.46,
02/29/2012,131.756,76.035,38.644,25.455,5.267,10.772,9.416,-8.378,9.09,12.31,4.529,-34.307,0.0,-51.218,-37.884,0.0,,0.0,-37.884,-37.884,0.0,0.0,0.0,0.0,-6.331,0.0,-6.331,0.0,-7.003,-70.919,-70.82,-0.313,,,0.278,0.278,0.0,-0.064,0.592,10.211,
05/31/2012,162.148,78.614,40.265,71.825,5.289,57.722,8.814,-28.556,-12.501,24.628,-18.929,-21.754,0.0,88.9,-43.086,0.0,,0.0,-43.086,-43.086,0.0,0.0,0.0,0.0,-3.982,0.0,-3.982,0.0,135.968,-127.603,0.0,-0.107,,,-126.661,2.985,-129.646,-0.835,-1.603,121.842,
08/31/2012,94.865,76.733,40.342,21.264,5.448,9.716,6.1,-43.474,-7.128,9.889,16.278,-62.513,0.0,-61.241,-47.438,0.0,,0.0,-47.438,-47.438,0.0,0.0,0.0,0.0,-2.13,0.0,-2.13,0.0,-11.673,-55.479,0.0,24.846,,,-76.834,1.119,-77.953,-3.491,1.247,-20.608,
11/30/2012,132.398,78.027,40.979,57.038,5.636,45.529,5.873,-43.646,-17.4,5.571,6.741,-38.558,0.0,-130.338,-51.624,0.0,,0.0,-51.624,-51.624,0.0,0.0,0.0,0.0,-51.113,0.0,-51.113,0.0,-27.601,-79.127,0.0,-0.158,,,-79.984,1.238,-81.222,1.015,0.337,-76.73,
02/28/2013,141.08,74.705,41.921,20.041,5.576,8.554,5.911,4.413,-16.874,-11.023,-9.544,41.854,0.0,-63.254,-52.737,0.0,,0.0,-52.737,-52.737,0.0,0.0,0.0,0.0,-11.382,0.0,-11.382,0.0,0.865,-101.915,-79.744,-0.16,,,-23.102,4.799,-27.901,1.091,-0.928,-25.017,
05/31/2013,184.405,85.977,66.135,-27.01,6.65,-15.776,-17.884,59.303,-1.302,6.56,11.548,42.497,0.0,-29.348,-44.687,0.0,,0.0,-44.687,-44.687,0.0,0.0,0.0,0.0,-4.745,0.0,-4.745,0.0,20.084,-19.537,0.0,-0.164,,,-20.954,7.651,-28.605,1.581,-0.717,134.803,
08/31/2013,82.559,77.754,48.394,14.357,6.984,7.373,0.0,-57.946,-14.903,-5.258,2.915,-40.7,,-67.004,-37.462,0.0,0.0,0.0,-37.462,-37.462,0.0,0.0,0.0,0.0,-32.216,0.0,-32.216,0.0,2.674,-88.933,0.0,-0.167,,,-92.892,14.085,-106.977,4.126,-0.225,-73.603,
11/30/2013,139.721,84.862,48.527,9.566,7.64,1.926,0.0,-3.234,-8.852,-3.974,-22.13,31.722,,-53.523,-39.323,0.0,0.0,0.0,-39.323,-39.323,0.0,0.0,0.0,0.0,-0.298,0.0,-0.298,0.0,-13.902,-55.47,0.0,-7.67,,,-49.997,7.226,-57.223,2.197,-0.064,30.664,
02/28/2014,163.493,84.602,48.364,7.058,7.624,-0.566,0.0,23.469,-10.269,-6.898,12.178,28.458,,-40.621,-36.83,0.0,0.0,0.0,-36.83,-36.83,0.0,0.0,0.0,0.0,-0.451,0.0,-0.451,0.0,-3.34,-81.758,-93.314,-0.173,,,7.713,7.975,-0.262,4.016,-1.589,39.525,
05/31/2014,222.196,127.224,45.577,-18.238,7.627,38.376,-64.241,67.633,-22.207,5.068,37.483,47.289,0.0,144.605,-31.965,0.0,,0.0,-31.965,-31.965,0.0,-65.858,0.0,-65.858,-0.476,0.0,-0.476,0.0,242.904,-203.574,-0.006,-0.177,,,-193.521,12.616,-206.137,-9.87,1.202,164.429,
08/31/2014,148.201,110.108,39.654,-13.97,12.28,2.108,-28.358,12.409,8.222,1.377,-1.325,4.135,,-38.819,-68.05,0.0,0.0,0.0,-68.05,-68.05,0.0,0.0,0.0,0.0,-2.328,0.0,-2.328,0.0,31.559,-41.198,0.0,-0.18,,,-47.816,13.623,-61.439,6.798,-0.019,68.165,
