Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
12/31/2000,3085.952668,-137.113007,0.0,0.0,34.758,2983.597662,668.486012,5.19951,0.01165,5.839257,31.482512,42.272566,-40.30623,-23.644024,3184.155336,3081.80033,38.008581,,
04/01/2001,1138.175062,-104.202003,0.0,0.0,35.834001,1069.807059,680.210023,5.268079,0.033496,1.771805,8.230045,10.512525,-12.2036,-6.81713,1182.369496,1114.001493,13.619613,,
07/01/2001,1310.300215,-84.230003,0.0,0.0,29.454,1255.524211,599.77501,4.910841,0.02346,2.154075,62.773074,,,,1309.601338,1254.825334,15.944379,,
09/30/2001,484.865977,-85.316002,0.0,0.0,28.511,428.060975,563.348993,5.060984,0.066605,0.881573,,,,,484.773731,427.968729,5.42949,,
12/30/2001,834.110431,-79.670998,0.0,0.0,11.322,765.761434,461.52498,2.453172,0.014785,2.105319,,,,,834.617755,766.268757,9.703869,,
03/31/2002,646.588085,-85.619003,0.0,0.0,9.049,570.018082,457.255017,1.978983,0.015875,2.352783,,,,,649.549241,572.979238,7.211311,,
06/30/2002,496.405752,-101.916,0.0,0.0,9.696,404.185751,472.83899,2.050592,0.023989,1.966295,,,,,498.371283,406.151283,5.064477,,
09/30/2002,238.030478,-105.570999,0.0,0.0,9.603,142.062479,277.006992,3.466699,0.067597,0.668514,,,,,241.016435,145.048436,1.778538,,
12/29/2002,483.193963,-107.109001,0.0,0.0,10.197,386.281962,289.33497,3.524289,0.026398,1.67471,,,,,497.62956,400.717558,4.828585,,
03/31/2003,363.096814,-103.382004,0.0,0.0,9.654,269.36881,290.368019,3.324746,0.035839,1.12906,,,,,359.792416,266.064412,3.264206,,
06/30/2003,589.59295,-101.162003,0.0,0.0,10.36,498.790948,291.998977,3.547958,0.02077,1.981484,,,,,587.563779,496.761776,6.023463,,
09/30/2003,865.903803,-98.393997,0.0,0.0,10.475,777.984806,291.041009,3.599149,0.013464,3.046846,78.252346,,,,862.770367,774.85137,9.353027,,
12/31/2003,902.23645,-99.507004,0.0,0.0,11.178,813.907446,286.49697,3.901612,0.013734,3.175183,209.446073,,,,900.254574,811.925571,9.769742,,
03/31/2004,925.500803,-84.922997,0.0,0.0,1.942,842.519807,276.824965,0.701526,0.002305,3.135949,188.188481,,,,922.780019,839.799023,10.068353,,
06/30/2004,920.156955,-89.600998,0.0,0.0,2.0,832.555957,275.561035,0.725792,0.002402,3.062624,129.722022,,,,918.663658,831.06266,9.934679,,
09/30/2004,543.872878,-40.983,0.0,0.0,1.187,504.076879,270.127002,0.439423,0.002355,1.830172,73.566384,,,,543.464615,503.668616,6.005849,,
12/31/2004,751.528987,-44.909001,0.0,0.0,0.0,706.619986,270.036987,0.0,0.0,2.521131,1935.945432,,,,749.618978,704.709977,8.386969,,
03/31/2005,410.87898,-50.072,0.0,0.0,0.0,360.80698,239.186,0.0,0.0,1.296123,,,,,410.54364,360.47164,4.267733,,
06/30/2005,535.668509,-46.997999,0.0,0.0,0.0,488.67051,221.348999,0.0,0.0,1.814946,,,,,534.311882,487.313883,5.756379,,
09/30/2005,472.484457,-50.431002,0.0,0.0,0.0,422.053456,223.113037,0.0,0.0,1.567998,,,,,476.833335,426.402334,4.948684,,
12/31/2005,515.239745,-52.658002,0.0,0.0,0.0,462.581743,224.494995,0.0,0.0,1.76857,,,,,519.357459,466.699457,5.40475,,
03/31/2006,618.069617,-50.184,0.0,0.0,0.0,567.885617,221.391968,0.0,0.0,2.189312,,,,,616.01759,565.83359,6.615398,,
07/02/2006,569.8836,-40.215,0.0,0.0,0.0,529.6686,229.693,0.0,0.0,1.928648,39.720179,3417.211158,,,582.12,541.905,6.134258,,
