Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1997,29398,0,0,,5411,,,,3673,,,,,1467,,,,,10551,3607,8612.0,-5005.0,0.0,,15240,,,,,15240,18847,,1280,1280,,,,1775,,,,,,6418,,,6418,9473,9376,,,,,3219,,,3219,12595,22068,1000,325,,,0.0,,6005,7330,0,7330,29398,
09/30/1997,29577,110,110,,5119,,,,4104,,,,,1467,,,,,10800,3610,8653.0,-5043.0,0.0,,15167,,,,,15167,18777,,1184,1184,,,,1859,,,,,,6383,,,6383,9426,9388,,,,,3109,,,3109,12497,21923,1000,396,,,0.0,,6258,7654,0,7654,29577,
12/31/1997,28361,0,0,,1633,,,,6520,794.0,2350.0,3376.0,,1952,,,,,10105,3669,8644.0,-4975.0,0.0,,14587,11422.0,,,,3165,18256,,1234,1234,,,,1370,,,,,,6585,,,6585,9189,10528,,,,,3468,,,3468,13996,23185,0,219,,,0.0,,4957,5176,0,5176,28361,
03/31/1998,29376,0,0,,5462,,,,3621,675.0,2946.0,,,2066,,,,,11149,3606,8739.0,-5133.0,0.0,,14621,11296.0,,,,3325,18227,,1082,1082,,,,1717,,,,,,7212,,,7212,10011,10494,,,,,3435,,,3435,13929,23940,0,286,,,0.0,,5150,5436,0,5436,29376,
06/30/1998,29557,0,0,,5233,,,,4047,665.0,3382.0,,,2021,,,,,11301,3613,8785.0,-5172.0,0.0,,14643,11223.0,,,,3420,18256,,918,918,,,,2177,,,,,,7101,,,7101,10196,10183,,,,,3442,,,3442,13625,23821,0,364,,,0.0,,5372,5736,0,5736,29557,
09/30/1998,29762,183,183,,5127,,,,4340,606.0,3734.0,,,1964,,,,,11614,3608,8804.0,-5196.0,0.0,,14540,11125.0,,,,3415,18148,,1077,1077,,,,1772,,,,,,7273,,,7273,10122,10183,,,,,3449,,,3449,13632,23754,0,389,,,0.0,,5619,6008,0,6008,29762,
12/31/1998,28744,285,285,0.0,4178,,,,4293,594.0,6198.0,,-2499.0,1855,,,,,10611,3513,8673.0,-5160.0,0.0,,14620,10939.0,,,,3681,18133,,1382,1382,,,,1929,,,,,,6956,,,6956,10267,8957,,,,,3383,,,3383,12340,22607,0,463,,,0.0,,5674,6137,0,6137,28744,
03/31/1999,28596,43,43,0.0,4667,4667.0,,,3959,562.0,3397.0,,-1664.0,1811,,,,,10480,3587,8692.0,-5105.0,0.0,,14529,10840.0,,,,3689,18116,,1021,1021,,,,2047,,,,,,7322,,,7322,10390,8788,,,,,3365,,,3365,12153,22543,0,487,,,0.0,5690.0,-124,6053,0,6053,28596,
06/30/1999,28382,0,0,0.0,4666,4666.0,,,3877,490.0,3387.0,,-1685.0,1829,,,,,10372,3598,8788.0,-5190.0,0.0,,14412,10733.0,,,,3679,18010,,1096,1096,,,,1050,,,,,,6927,,,6927,9073,9984,,,,,3354,,,3354,13338,22411,0,539,,,0.0,5565.0,-133,5971,0,5971,28382,
09/30/1999,29558,0,0,0.0,4426,4426.0,,,3939,426.0,3513.0,,,1764,,,,,10129,3565,8833.0,-5268.0,0.0,,15864,10529.0,,,,5335,19429,,1365,1365,,,,1570,,,,,,6799,,,6799,9734,10463,,,,,3235,,,3235,13698,23432,0,581,,,0.0,5695.0,-150,6126,0,6126,29558,
12/31/1999,30012,455,455,0.0,4348,,,,4051,506.0,5393.0,,-1848.0,1842,,,,,10696,3634,8907.0,-5273.0,0.0,,15682,10421.0,,,,5261,19316,,1228,1228,,,,527,,,,,,7057,,,7057,8812,11427,,,,,3412,,,3412,14839,23651,0,620,,,0.0,,5741,6361,0,6361,30012,
03/31/2000,29603,533,533,,4332,4332.0,,,3782,0.0,5206.0,0.0,-1424.0,1812,,,,,10459,3586,8958.0,-5372.0,2295.0,,13263,1220.0,,,,12043,19144,,930,930,,,,293,,,,,,7074,,,7074,8297,11411,,,,,3420,,,3420,14831,23128,0,666,,,0.0,5911.0,-102,6475,0,6475,29603,
06/30/2000,29892,1249,1249,0.0,4182,4182.0,,,3809,377.0,5258.0,,0.0,1737,,,,,10977,3550,8951.0,-5401.0,,,15365,10208.0,,,,5157,18915,,1037,1037,,,,811,,,,,,7683,,,7683,9531,10650,,,,,3272,,,3272,13922,23453,0,709,,,0.0,5909.0,-179,6439,0,6439,29892,
09/30/2000,32271,1938,1938,0.0,4202,4202.0,,,4216,651.0,5407.0,,0.0,2982,,,,,13338,3439,8844.0,-5405.0,,,15494,9917.0,,,,5577,18933,,1033,1033,,,,882,,,,,,8422,,,8422,10337,10962,,,,,3890,,,3890,14852,25189,0,2099,,,0.0,5161.0,-178,7082,0,7082,32271,
12/31/2000,30426,1505,1505,0.0,4195,,,,3825,680.0,5009.0,,-1864.0,1734,,,,,11259,2941,7877.0,-4936.0,,,16226,8552.0,7479.0,1073.0,,7674,19167,,1106,1106,,,,882,,,,,,8314,,,8314,10302,9065,,,,,3899,,,3899,12964,23266,0,2220,,,0.0,,4940,7160,0,7160,30426,
03/31/2001,30510,2389,2389,0.0,3934,3934.0,,,3571,700.0,5338.0,,0.0,1629,,,,,11523,3334,,,,,15653,9829.0,8794.0,1035.0,,5824,18987,,1104,1104,,,,901,,,,,,8226,,,8226,10231,9029,,,,,3990,,,3990,13019,23250,0,2294,,,0.0,5256.0,-290,7260,0,7260,30510,
06/30/2001,28968,1222,1222,0.0,3818,,,,3365,600.0,5676.0,,-2911.0,1614,,,,,10019,3323,,,,,15626,9723.0,8726.0,997.0,,5903,18949,,1007,1007,,,,275,,,,,,7826,,,7826,9108,8517,,,,,3933,,,3933,12450,21558,0,2352,,,0.0,5352.0,-294,7410,0,7410,28968,
09/30/2001,29197,1801,1801,0.0,3785,,,,3337,515.0,5867.0,,-3045.0,1585,,,,,10508,3264,,,,,15425,9596.0,8638.0,958.0,,5829,18689,,924,924,,,,77,,,,,,8816,,,8816,9817,7639,,,,,3909,,,3909,11548,21365,0,2455,,,0.0,,5377,7832,0,7832,29197,
12/31/2001,27654,912,912,0.0,4049,,,,3140,,5484.0,,-2344.0,2677,,,,,10778,2991,8042.0,-5051.0,,,13885,8310.0,7371.0,939.0,,5575,16876,,1419,1419,,,,89,,,,,,8181,,,8181,9689,7422,,,,,4100,,,4100,11522,21211,0,2583,,,0.0,,3860,6443,0,6443,27654,
03/31/2002,27779,1367,1367,0.0,3941,3941.0,,,3149,446.0,5721.0,,0.0,2606,,,,,11063,2979,,,,,13737,8279.0,7371.0,908.0,,5458,16716,,1171,1171,,,,368,,,,,,8130,,,8130,9669,7093,,,,,4156,,,4156,11249,20918,0,2874,,,0.0,4131.0,-144,6861,0,6861,27779,
06/30/2002,28331,2429,2429,0.0,3555,3555.0,,,3107,516.0,6005.0,,0.0,2568,,,,,11659,3017,,,,,13655,8248.0,7371.0,877.0,,5407,16672,,1149,1149,,,,762,,,,,,8187,,,8187,10098,6687,,,,,4152,,,4152,10839,20937,0,3151,,,0.0,4419.0,-176,7394,0,7394,28331,
09/30/2002,28919,3490,3490,0.0,3730,3730.0,,,2254,505.0,5677.0,,0.0,2473,,,,,11947,3153,,,,,13819,8217.0,7371.0,846.0,,5602,16972,,1107,1107,,,,763,,,,,,8387,,,8387,10257,6693,,,,,4269,,,4269,10962,21219,0,3254,,,0.0,4659.0,-213,7700,0,7700,28919,
12/31/2002,25758,2738,2738,0.0,3655,,,,2250,,6221.0,,-3971.0,1983,,,,,10626,3258,8316.0,-5058.0,1009.0,,10865,8194.0,7380.0,814.0,,2671,15132,,1102,1102,,,,1365,,,,,,7354,,,7354,9821,6217,,,,,3855,,,3855,10072,19893,0,3251,,,0.0,4262.0,-1648,5865,0,5865,25758,
03/31/2003,25015,2090,2090,0.0,3798,3798.0,,,2067,212.0,6076.0,,0.0,1939,,,,,9894,3254,,,,,11867,8171.0,7380.0,791.0,,3696,15121,,1086,1086,,,,607,,,,,,7220,,,7220,8913,6201,,,,,4062,,,4062,10263,19176,0,3023,,,0.0,4458.0,-1642,5839,0,5839,25015,
06/30/2003,24795,1909,1909,0.0,3405,3405.0,,,2054,264.0,6027.0,,0.0,2218,,,,,9586,3259,,,,,11950,8132.0,7380.0,752.0,,3818,15209,,1167,1167,,,,164,,,,,,7132,,,7132,8463,6075,,,,,4166,,,4166,10241,18704,0,3058,,,0.0,4645.0,-1612,6091,0,6091,24795,
09/30/2003,24880,1835,1835,0.0,3552,3552.0,,,2158,221.0,5721.0,,0.0,2169,,,,,9714,3279,,,,,11887,8101.0,7380.0,721.0,,3786,15166,,1298,1298,,,,150,,,,,,6864,,,6864,8312,6073,,,,,4197,,,4197,10270,18582,0,3103,,,0.0,4808.0,-1613,6298,0,6298,24880,
12/31/2003,26175,1250,1010,240.0,4039,4039.0,,,2348,,5434.0,,-3086.0,1764,,,,,9401,3489,8669.0,-5180.0,,,13285,8686.0,7879.0,807.0,,4599,16774,,1434,1434,,,,136,,,,,,7323,,,7323,8893,6072,,,,,4454,,,4454,10526,19419,0,2923,,,0.0,5054.0,-1221,6756,0,6756,26175,
03/31/2004,26823,2124,2124,0.0,4018,4018.0,,,2223,246.0,5131.0,,0.0,1792,,,,,10157,3423,,,,,13243,8650.0,7879.0,771.0,,4593,16666,,1611,1611,,,,121,,,,,,7170,,,7170,8902,6072,,,,,4825,,,4825,10897,19799,0,2991,,,,5247.0,-1214,7024,0,7024,26823,
06/30/2004,26240,2243,2243,0.0,3677,3677.0,,,2054,268.0,4888.0,,-3102.0,1645,,,,,9619,3438,,,,,13183,8615.0,7879.0,736.0,,4568,16621,,1522,1522,,,,0,,,,,,6614,,,6614,8136,6070,,,,,5000,,,5000,11070,19206,0,2809,,,,5445.0,-1220,7034,0,7034,26240,
09/30/2004,26644,2910,2823,87.0,3845,3845.0,,,1795,326.0,5047.0,,0.0,1702,,,,,10252,3372,,,,,13020,8579.0,7879.0,700.0,,4441,16392,,1547,1547,,,,0,,,,,,7026,,,7026,8573,6070,,,,,4761,,,4761,10831,19404,0,2805,,,0.0,5654.0,-1219,7240,0,7240,26644,
12/31/2004,25554,1456,1060,396.0,4094,4094.0,,,1864,434.0,4697.0,,-3267.0,1539,,,,,8953,3599,8660.0,-5061.0,,,13002,8564.0,7892.0,672.0,,4438,16601,,1726,1726,,,,15,15.0,0.0,0.0,,,6825,,,6825,8566,5104,5104.0,0.0,0.0,,4863,,,4863,9967,18533,0,2661,,,0.0,5915.0,-1555,7021,0,7021,25554,
03/31/2005,26878,3133,2727,406.0,4240,4240.0,,,1781,,4463.0,,-2682.0,1578,,,,,10732,3565,,,124.0,,12457,8971.0,8299.0,672.0,,3486,16146,,1818,1818,,,,15,,,,,,7309,,,7309,9142,5104,,,,,5191,,,5191,10295,19437,0,2824,,,0.0,6174.0,-1557,7441,0,7441,26878,
06/30/2005,27393,3476,3062,414.0,4287,4287.0,,,1755,0.0,4720.0,,-2965.0,1658,,,,,11176,3552,,,312.0,,12353,8932.0,8299.0,633.0,,3421,16217,,1933,1933,,,,208,,,,,,7608,,,7608,9749,4874,,,,,4884,,,4884,9758,19507,0,2768,,,0.0,6523.0,-1405,7886,0,7886,27393,
09/30/2005,27357,3566,3140,426.0,4440,4440.0,,,1648,0.0,4924.0,0.0,-3276.0,1383,,,,,11037,3566,,,320.0,,12434,8894.0,8299.0,595.0,,3540,16320,,1854,1854,,,,208,208.0,0.0,0.0,,,7472,,,7472,9534,4874,4874.0,0.0,0.0,,5216,,,5216,10090,19624,0,2284,,,0.0,6840.0,-1391,7733,0,7733,27357,
12/31/2005,27744,2673,2244,429.0,4579,4579.0,,,1921,327.0,5121.0,,-3527.0,1356,,,,,10529,3924,9324.0,-5400.0,196.0,,13095,9007.0,8447.0,560.0,,4088,17215,,1998,1998,,,,202,202.0,0.0,0.0,,,7228,,,7228,9428,4784,4784.0,0.0,0.0,,5665,,,5665,10449,19877,0,2156,,,0.0,7278.0,-1567,7867,0,7867,27744,
03/31/2006,28439,3139,2682,457.0,4832,4832.0,,,1916,,5005.0,,-3089.0,1341,,,,,11228,3884,,,,,13327,9072.0,8534.0,538.0,,4255,17211,,1950,1950,,,,219,,,,,,7598,,,7598,9767,4762,,,,,5974,,,5974,10736,20503,0,1834,,,0.0,7737.0,-1635,7936,0,7936,28439,
06/30/2006,28436,3386,2956,430.0,4367,4367.0,,,1880,0.0,4785.0,,-2905.0,1330,,,,,10963,3891,,,,,13582,9352.0,8827.0,525.0,,4230,17473,,1935,1935,,,,41,,,,,,7927,,,7927,9903,4746,,,,,6129,,,6129,10875,20778,0,1258,,,0.0,8060.0,-1660,7658,0,7658,28436,
09/30/2006,29093,2683,2288,395.0,4865,4865.0,,,2034,,4846.0,,-2812.0,1374,,,,,10956,3911,,,,,14226,9937.0,9386.0,551.0,,4289,18137,,1933,1933,,,,41,,,,,,8409,,,8409,10383,4403,,,,,6224,,,6224,10627,21010,0,1208,,,0.0,8541.0,-1666,8083,0,8083,29093,
12/31/2006,28231,2293,1912,381.0,4595,4595.0,,,1657,,3857.0,,-2200.0,1619,,,,,10164,4056,9629.0,-5573.0,,,14011,9855.0,9250.0,605.0,,4156,18067,,2221,2221,,,,34,34.0,0.0,0.0,,,7298,,,7298,9553,4405,4405.0,0.0,0.0,,7389,,,7389,11794,21347,0,1176,,,0.0,9269.0,-3561,6884,0,6884,28231,
03/31/2007,28853,3074,2778,296.0,4902,4902.0,,,1375,,3911.0,,-2536.0,1509,,,,,10860,3991,,,,,14002,9927.0,9353.0,574.0,,4075,17993,,2099,2099,,,,17,,,,,,7804,,,7804,9920,4405,,,,,7500,,,7500,11905,21825,0,747,,,0.0,9842.0,-3561,7028,0,7028,28853,
06/30/2007,29814,3337,3008,329.0,5239,5239.0,,,1379,,3798.0,,-2419.0,1543,,,,,11498,4010,,,,,14306,9918.0,9380.0,538.0,,4388,18316,,2137,2137,,,,105,,,,,,8322,,,8322,10564,4302,,,,,7789,,,7789,12091,22655,0,412,,,0.0,10304.0,-3557,7159,0,7159,29814,
09/30/2007,29787,3429,3094,335.0,4937,4937.0,,,1387,,3687.0,,-2300.0,1321,,,,,11074,4071,,,,,14642,9871.0,9369.0,502.0,,4771,18713,,1964,1964,,,,104,,,,,,7823,,,7823,9891,4303,,,,,8165,,,8165,12468,22359,0,411,,,0.0,10605.0,-3588,7428,0,7428,29787,
12/31/2007,28926,2981,2648,333.0,4925,4925.0,,,1718,,4039.0,,-2321.0,1316,,,,,10940,4320,10305.0,-5985.0,,,13666,9850.0,9387.0,463.0,,3816,17986,,2163,2163,,,,104,,,,,,7604,,,7604,9871,4303,,,,,4947,,,4947,9250,19121,0,409,,,0.0,11247.0,-1851,9805,0,9805,28926,
03/30/2008,29149,2947,2799,148.0,5413,5413.0,,,1619,,4017.0,,-2398.0,1201,,,,,11180,4258,,,,,13711,9827.0,9399.0,428.0,,3884,17969,,1906,1906,,,,104,,,,,,7864,,,7864,9874,4803,,,,,5105,,,5105,9908,19782,0,400,,,0.0,10805.0,-1838,9367,0,9367,29149,
06/29/2008,29461,3310,3214,96.0,5218,5218.0,,,1623,0.0,3860.0,0.0,-2237.0,1157,,,,,11308,4256,,,0.0,,13897,9893.0,9484.0,409.0,,4004,18153,,1993,1993,,,,1001,,,,,,8262,,,8262,11256,3803,,,,,5068,,,5068,8871,20127,0,394,,,0.0,10756.0,-1816,9334,0,9334,29461,
09/28/2008,29357,2534,2463,71.0,5391,5391.0,,,1736,0.0,4163.0,0.0,-2427.0,1049,,,,,10710,4294,,,0.0,,14353,9950.0,9560.0,390.0,,4403,18647,,2030,2030,,,,1,,,,,,8502,,,8502,10533,3804,,,,,5212,,,5212,9016,19549,0,398,,,0.0,11243.0,-1833,9808,0,9808,29357,
12/31/2008,33439,2229,2168,61.0,5296,5296.0,,,1902,,4631.0,,-2729.0,1256,,,,,10683,4488,10899.0,-6411.0,,,18268,9881.0,9526.0,355.0,,8387,22756,,2030,2030,,,,242,,,,,,8270,,,8270,10542,3563,,,,,16469,,,16469,20032,30574,0,393,,,0.0,11621.0,-9149,2865,0,2865,33439,
03/29/2009,34533,2384,2384,0.0,6097,6097.0,0.0,,1921,0.0,1399.0,0.0,522.0,1269,,4644.0,,446.0,11671,4443,,,0.0,,18419,10035.0,9684.0,351.0,126.0,3614,22862,,3884,2165,,,1719.0,242,0.0,,,,242.0,7239,,,7198,11365,3563,3563.0,,,,16786,694.0,13681.0,2411,20349,31714,0,386,,,0.0,11583.0,-9150,2819,0,2819,34533,
06/28/2009,34788,2672,2672,0.0,6131,6131.0,0.0,,1852,0.0,1542.0,0.0,310.0,1258,,4542.0,,436.0,11913,4441,,,0.0,,18434,10064.0,9725.0,339.0,130.0,3698,22875,,3987,2162,,,1825.0,242,0.0,,,,242.0,7058,,,7037,11287,3563,3563.0,,,,17118,706.0,13972.0,2440,20681,31968,0,382,382.0,0.0,0.0,11547.0,-9109,2820,0,2820,34788,
09/27/2009,35742,2709,2709,0.0,6067,6067.0,0.0,,2079,0.0,1769.0,0.0,310.0,1588,,4596.0,,805.0,12443,4430,,,0.0,,18869,10282.0,9944.0,338.0,135.0,3856,23299,,4145,2245,,,1900.0,242,0.0,,,,242.0,7196,,,7175,11583,3563,3563.0,,,,17456,747.0,14262.0,2447,21019,32602,0,378,,,0.0,11881.0,-9119,3140,0,3140,35742,
12/31/2009,35111,2391,2391,0.0,6061,6061.0,0.0,,2183,0.0,1624.0,0.0,559.0,1842,0.0,3779.0,,1006.0,12477,4520,11405.0,-6885.0,0.0,,18114,10259.0,9948.0,311.0,160.0,3916,22634,,3807,2030,0.0,0.0,1777.0,0,0.0,0.0,0.0,,0.0,6896,0.0,0.0,6873,10703,5052,5052.0,0.0,0.0,,15227,748.0,12131.0,2348,20279,30982,0,373,373.0,0.0,0.0,12351.0,-8595,4129,0,4129,35111,
03/28/2010,36287,3288,3288,0.0,6610,6610.0,0.0,,2476,0.0,1928.0,0.0,548.0,1545,,3625.0,,662.0,13919,4436,,,0.0,,17932,10221.0,9938.0,283.0,164.0,3922,22368,,4021,2247,,,1774.0,0,0.0,,,,,7551,,,7517,11572,5053,5053.0,,,,15634,750.0,12512.0,2372,20687,32259,0,369,,,0.0,12267.0,-8608,4028,0,4028,36287,
06/27/2010,36239,3599,2722,877.0,6383,6383.0,0.0,,2360,0.0,1906.0,0.0,454.0,1870,,3614.0,,363.0,14212,4381,,,0.0,,17646,9976.0,9797.0,179.0,167.0,3889,22027,,4098,2271,,,1827.0,0,0.0,,,,,7761,,,7444,11859,5019,5019.0,,,,15627,750.0,12504.0,2373,20646,32505,0,360,,,0.0,11988.0,-8614,3734,0,3734,36239,
09/26/2010,35551,3423,2656,767.0,6275,6275.0,0.0,,2093,0.0,1774.0,0.0,319.0,2148,,3339.0,,383.0,13939,4347,,,0.0,,17265,9746.0,9588.0,158.0,171.0,4009,21612,,4371,2352,,,2019.0,0,0.0,,,,,7267,,,6899,11638,5019,5019.0,,,,14976,830.0,11798.0,2348,19995,31633,0,358,,,0.0,12150.0,-8590,3918,0,3918,35551,
12/31/2010,35113,2777,2261,516.0,5692,5692.0,0.0,,2363,0.0,6508.0,0.0,-4145.0,2061,0.0,3485.0,,492.0,12893,4554,11958.0,-7404.0,0.0,,17666,9605.0,9605.0,0.0,179.0,4397,22220,,4432,1627,0.0,0.0,2805.0,0,0.0,0.0,0.0,,,6969,0.0,0.0,6732,11401,5019,5019.0,0.0,0.0,,15196,810.0,11820.0,2566,20215,31616,0,346,346.0,0.0,0.0,12161.0,-9010,3497,0,3497,35113,
03/27/2011,36677,3861,3357,504.0,6583,6583.0,0.0,,2277,0.0,1669.0,0.0,608.0,2022,,3412.0,,454.0,14743,4461,,,0.0,,17473,9609.0,9609.0,0.0,,4452,21934,,4298,2374,,,1924.0,0,0.0,,,,,8132,,,7883,12430,5023,5023.0,,,,15433,812.0,12053.0,2568,20456,32886,0,345,345.0,0.0,0.0,12274.0,-8828,3791,0,3791,36677,
06/26/2011,35718,3522,3268,254.0,6547,6547.0,0.0,,2226,0.0,1780.0,0.0,446.0,1659,,3268.0,,480.0,13954,4421,,,0.0,,17343,9615.0,9615.0,0.0,,4460,21764,,4152,2219,,,1933.0,0,0.0,,,,,7904,,,7876,12056,5031,5031.0,,,,15343,807.0,11960.0,2576,20374,32430,0,333,333.0,0.0,0.0,11626.0,-8671,3288,0,3288,35718,
09/25/2011,36187,4567,4564,3.0,6523,6523.0,0.0,,1789,0.0,1484.0,0.0,305.0,1790,,3096.0,,557.0,14669,4428,,,0.0,,17090,9606.0,9606.0,0.0,,4388,21518,,4240,2328,,,1912.0,500,0.0,,,,500.0,7404,,,7379,12144,6538,6538.0,,,,14562,836.0,11233.0,2493,21100,33244,0,321,,,0.0,11189.0,-8567,2943,0,2943,36187,
12/31/2011,37908,3585,3582,3.0,6064,6064.0,0.0,,2481,0.0,1704.0,0.0,777.0,1964,0.0,4388.0,,582.0,14094,4611,12470.0,-7859.0,0.0,,19203,10148.0,10148.0,0.0,178.0,4489,23814,,4865,2269,0.0,0.0,2596.0,0,0.0,0.0,0.0,,,7265,0.0,0.0,7239,12130,6460,6460.0,0.0,0.0,,18317,808.0,14776.0,2733,24777,36907,0,321,321.0,0.0,0.0,11937.0,-11257,1001,0,1001,37908,
03/25/2012,38340,3518,3518,0.0,6720,6720.0,0.0,,2380,0.0,1443.0,0.0,937.0,1943,,4290.0,,571.0,14561,4530,,,0.0,,19249,10170.0,10170.0,0.0,,4789,23779,,4126,2384,,,1742.0,0,0.0,,,,,8085,,,8061,12211,6472,6472.0,,,,18084,848.0,14471.0,2765,24556,36767,0,326,322.0,4.0,0.0,12277.0,-11030,1573,0,1573,38340,
06/24/2012,38386,3802,3802,0.0,6569,6569.0,0.0,,2521,0.0,1617.0,0.0,904.0,1908,,4186.0,,540.0,14800,4495,,,0.0,,19091,10158.0,10158.0,0.0,,4747,23586,,4145,2359,,,1786.0,150,0.0,,,,150.0,7973,,,7948,12268,6343,6343.0,,,,17571,843.0,14042.0,2686,23914,36182,0,341,322.0,19.0,0.0,12727.0,-10864,2204,0,2204,38386,
