Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1998,104.760002,63.412001,21.635,41.777,2.395,,,5.918,,,,,6.871,,,,78.596001,22.820999,36.326,-13.505,3.343,,,,,,,,,26.163999,,2.045,2.045,,,,3.664,,,,,,7.819,,,7.819,13.528,3.14,,,,,2.186,,,,,,2.186,5.326,18.854,0.0,181.360001,,,0.0,,-95.454002,85.905998,0.0,85.905998,104.759998,
06/30/1998,114.848,70.474001,31.816999,38.657001,2.698,,,8.324,,,,,8.088,,,,89.584,21.921,36.354,-14.433,,,,3.343,0.0,,,,3.343,25.263999,,1.247,1.247,,,,3.146,,,,,,8.756,,,8.756,13.149,2.826,,,,,2.223,,,,,,2.223,5.049,18.198,0.0,182.037994,,,0.0,,-85.388,96.649994,0.0,96.649994,114.847994,
09/30/1998,115.991997,65.241001,19.047001,46.194,4.564,,,8.824,,,,,12.507,,,,91.136002,21.482,36.967999,-15.486,3.374,,,,0.0,,,,0.0,24.856,,1.525,1.525,,,,1.868,,,,,,8.895,,,8.895,12.288,2.505,,,,,2.261,,,,,,2.261,4.766,17.054,0.0,182.490005,,,0.0,,-83.552002,98.938004,0.0,98.938004,115.992004,
12/31/1998,125.273003,73.502003,26.929001,46.573002,2.345,,,5.346,,,,,19.834,,,,101.027,20.896999,37.439999,-16.542999,3.349,,,,,,,,,24.245999,,1.989,1.989,,,,1.91,,,,,,10.584,,,10.584,14.483,2.095,,,,,2.267,,,,,,2.267,4.362,18.845,0.0,184.302002,,,0.0,,-77.874001,106.428001,0.0,106.428001,125.273001,
03/31/1999,249.352,196.06,100.847,95.213,1.354,1.354,,5.405,2.07,2.511,0.824,,18.852,,,,221.671,20.452,,,,,,7.229,,,,,7.229,27.681,,1.469,1.469,,,,1.45,,,,,,9.747,,,9.747,12.666,119.158,,,,,2.709,,,,,,2.709,121.867,134.533,,188.081,,,,-73.066,-0.196,114.819,,114.819,249.352,
06/30/1999,275.605,213.189,68.505,144.684,1.266,1.266,,9.487,1.625,2.112,5.75,,24.034,,,,247.976,20.274,,,,,,7.355,,,,,7.355,27.629,,1.587,1.587,,,,1.493,,,,,,12.679,,,12.679,15.759,120.394,,,,,2.801,,,,,,2.801,123.195,138.954,,190.452,,,,-53.158,-0.643,136.651,,136.651,275.605,
09/30/1999,294.564,229.992,78.334,151.658,1.381,1.381,,8.951,1.255,1.982,5.714,,26.3,,,,266.624,20.345,,,,,,7.595,,,,,7.595,27.94,,2.312,2.312,,,,1.455,,,,,,14.408,,,14.408,18.175,121.704,,,,,2.891,,,,,,2.891,124.595,142.77,,194.893,,,,-42.429,-0.67,151.794,,151.794,294.564,
12/31/1999,307.074,246.286,61.404,184.882,1.31,,,2.4,1.005,0.0,1.395,0.0,28.523,,,,278.519,20.822,41.439,-20.617,7.733,,,0.0,0.0,,,,0.0,28.555,,1.269,1.269,,,,1.513,,,,,,12.834,,,12.834,15.616,122.91,,,,,8.57,,,,,,8.57,131.48,147.096,0.0,195.239,,,0.0,,-35.26074,159.97826,0.0,159.97826,307.07426,
03/31/2000,327.267,265.168,89.044,176.124,0.142,0.142,,1.265,1.265,0.0,0.0,0.0,28.007,,,,294.582,23.612,45.238,-21.626,9.073,,,0.0,0.0,,,,0.0,32.685,,1.216,1.216,,,,1.413,,,,,,16.352,,,16.352,18.981,124.2,,,,,8.875,,,,,,8.875,133.075,152.056,0.0,206.843,,,0.0,-31.119,-0.513,175.211,0.0,175.211,327.267,
06/30/2000,352.133,274.257,111.983,162.274,1.534,1.534,,0.778,0.778,0.0,0.0,0.0,37.01,,,,313.579,25.43262,48.209,-22.776,13.121,,,0.0,0.0,,,,0.0,38.55362,,1.437,1.437,,,,1.274,,,,,,16.604,,,16.604,19.315,125.664,,,,,9.392,,,,,,9.392,135.056,154.371,0.0,216.001,,,0.0,-17.794,-0.445,197.762,0.0,197.762,352.133,
09/30/2000,382.631,274.983,96.857,178.126,1.611,1.611,,0.212,0.212,0.0,0.0,0.0,42.121,,,,318.927,45.802,69.811,-24.009,17.902,,,0.0,0.0,,,,0.0,63.704,,2.033,2.033,,,,1.139,,,,,,17.203,,,17.203,20.375,127.197,,,,,9.572,,,,,,9.572,136.769,157.144,0.0,227.289,,,0.0,-1.744,-0.058,225.487,0.0,225.487,382.631,
12/31/2000,856.406,581.338,401.052,180.286,1.697,,,0.0,0.0,0.0,0.0,0.0,48.223,,,,631.258,47.514,72.808,-25.294,169.188,,,8.446,0.0,,,,8.446,225.148,,1.737,1.737,,,,0.743,,,,,,20.565,,,20.565,23.045,128.888,,,,,9.854,,,,,,9.854,138.742,161.787,0.0,680.675,,,0.0,,13.944,694.619,0.0,694.619,856.406,
03/31/2001,897.927,635.863,415.418,220.445,1.479,1.479,,0.0,0.0,0.0,0.0,0.0,55.301,,,,692.643,51.241,,,145.351,,,8.692,0.0,0.0,0.0,,8.692,205.284,,1.503,1.503,,,,0.373,0.373,0.0,0.0,,,21.528,,,21.528,23.404,130.626,130.626,0.0,0.0,,10.038,,,,,,10.038,140.664,164.068,0.0,698.707,,,0.0,34.234,0.918,733.859,0.0,733.859,897.927,
06/30/2001,952.94,612.519,453.906,158.613,2.68,2.68,,0.0,0.0,0.0,0.0,0.0,61.698,,,,676.897,57.807,,,209.03,,209.03,9.206,0.0,0.0,0.0,,9.206,276.043,,1.547,1.547,,,,0.145,0.145,0.0,0.0,,,19.852,,,19.852,21.544,132.409,132.409,0.0,0.0,,10.322,,,,,,10.322,142.731,164.275,0.0,728.45,,,0.0,59.387,0.828,788.665,0.0,788.665,952.94,
09/30/2001,1003.053,576.369,440.927,135.442,0.079,0.079,,0.23,0.23,0.0,0.0,0.0,69.289,,,,645.967,92.981,,,254.811,,254.811,9.294,0.0,0.0,0.0,,9.294,357.086,,1.726,1.726,,,,0.0,0.0,0.0,0.0,,,20.719,,,20.719,22.445,134.193,134.193,0.0,0.0,,10.475,,,,,,10.475,144.668,167.113,0.0,747.676,,,0.0,86.344,1.92,835.94,0.0,835.94,1003.053,
12/31/2001,1141.216,623.823,425.999,197.824,0.993,,,0.524,0.524,0.0,0.0,0.0,74.703,,,,700.043,108.588,140.216,-31.628,242.784,,,89.801,0.0,0.0,0.0,,89.801,441.173,,3.866,3.866,,,,0.0,0.0,0.0,0.0,,,31.423,,,31.423,35.289,135.977,135.977,0.0,0.0,,13.471,,,,,,13.471,149.448,184.737,0.0,840.308,,,0.0,,116.171,956.479,0.0,956.479,1141.216,
03/31/2002,1181.922,479.487,381.626,97.861,0.159,0.159,,7.339,,,,,75.205,,,,562.19,126.807,,,396.924,,396.924,96.001,0.0,0.0,0.0,,96.001,619.732,,2.706,2.706,,,,0.0,0.0,0.0,0.0,,,26.002,,,26.002,28.708,137.764,137.764,0.0,0.0,,5.733,,,,,,5.733,143.497,172.205,0.0,865.196,,,0.0,144.759,-0.238,1009.717,0.0,1009.717,1181.922,
06/30/2002,1832.033,1048.52,576.596,471.924,17.467,17.467,,13.808,0.496,12.832,0.48,0.0,81.245,,,,1161.04,154.894,,,400.315,,400.315,115.784,0.0,0.0,0.0,,115.784,670.993,,3.053,3.053,,,,0.0,0.0,0.0,0.0,,,34.012,,,34.012,37.065,856.165,856.165,0.0,0.0,,6.84,,,,,,6.84,863.005,900.07,0.0,885.142,,,-135.0,180.142,1.679,931.963,0.0,931.963,1832.033,
09/30/2002,1909.432,947.374,402.765,544.609,16.555,16.555,,23.708,0.242,23.294,0.172,0.0,89.343,,,,1076.98,202.817,,,507.289,,507.289,122.346,0.0,0.0,0.0,,122.346,832.452,,4.059,4.059,,,,0.0,0.0,0.0,0.0,,,43.343,,,43.343,47.402,861.185,861.185,0.0,0.0,,7.909,,,,,,7.909,869.094,916.496,0.0,905.963,,,-135.0,218.582,3.391,992.936,0.0,992.936,1909.432,
12/31/2002,2059.689,787.774,350.129,437.645,4.92,,,33.665,2.911,30.582,0.172,0.0,151.251,,,,977.61,264.537,306.12,-41.583,660.091,,,157.451,0.0,0.0,0.0,,157.451,1082.079,,3.886,3.886,,,,0.0,0.0,0.0,0.0,,,52.339,,,52.339,56.225,866.205,866.205,0.0,0.0,,27.569,,,,,,27.569,893.774,949.999,0.0,977.75,,,-135.0,263.176,3.764,1109.69,0.0,1109.69,2059.689,
03/31/2003,2118.407,859.982,336.111,523.871,2.911,2.911,,38.445,2.538,35.907,0.0,0.0,141.281,,,,1042.619,304.031,,,621.962,,,149.795,0.0,0.0,0.0,,149.795,1075.788,,1.807,1.807,,,,0.0,0.0,0.0,0.0,,,55.858,,,55.858,57.665,871.345,871.345,0.0,0.0,,29.029,,,,,,29.029,900.374,958.039,0.0,987.294,,,-135.0,304.376,3.698,1160.368,0.0,1160.368,2118.407,
06/30/2003,2158.577,737.634,292.538,445.096,1.991,,,38.419,3.162,35.257,0.0,0.0,149.997,,,,928.041,368.503,,,713.059,,,148.974,0.0,0.0,0.0,,148.974,1230.536,,51.44,51.44,,,,0.0,0.0,0.0,0.0,,,0.806,,,0.806,52.246,876.641,876.641,0.0,0.0,,29.559,,,,,,29.559,906.2,958.446,0.0,998.965,,,-135.0,333.142,3.024,1200.131,0.0,1200.131,2158.577,
09/30/2003,2239.895,847.584,363.678,483.906,1.133,1.133,,38.532,2.686,35.841,0.005,0.0,159.662,,,,1046.911,444.207,,,602.786,,602.786,145.991,0.0,0.0,0.0,,145.991,1192.984,,65.716,65.716,,,,0.0,0.0,0.0,0.0,,,0.731,,,0.731,66.447,881.956,881.956,0.0,0.0,,29.548,,,,,,29.548,911.504,977.951,0.0,1016.113,,,-135.0,378.642,2.189,1261.944,0.0,1261.944,2239.895,
12/31/2003,9503.945,835.959,314.85,521.109,198.524,,,496.349,36.247,443.666,16.436,0.0,307.832,,,,1838.664,1252.783,1321.087,-68.304,1502.327,,,4910.171,4789.878,1151.066,3638.812,,120.293,7665.281,,63.364,63.364,,,,0.0,0.0,0.0,0.0,,,341.461,,,341.461,404.825,887.27,887.27,0.0,0.0,,1158.522,,,,,,1158.522,2045.792,2450.617,0.0,7801.336,,,-135.0,0.0,-613.008,7053.328,0.0,7053.328,9503.945,
03/31/2004,9511.604,761.547,302.785,458.762,201.368,201.368,,311.395,40.317,152.171,118.907,0.0,293.854,,,,1568.164,1297.862,,,1816.68,,1816.68,4828.897,4708.696,1151.066,3557.63,,120.201,7943.439,,78.382,78.382,,,,0.0,0.0,0.0,0.0,,,284.452,,,284.452,362.834,861.293,861.293,0.0,0.0,,1089.995,,,,,,1089.995,1951.288,2314.122,0.0,8029.531,,,-135.0,-653.116,-43.934,7197.481,0.0,7197.481,9511.603,
06/30/2004,9227.342,741.375,483.311,258.064,209.28,209.28,,232.765,38.456,106.369,87.94,0.0,324.18,,,,1507.6,1354.016,,,1595.58,,1595.58,4770.146,4629.105,1151.105,3478.0,,141.041,7719.742,,85.817,85.817,,,,0.0,0.0,0.0,0.0,,,310.819,,,310.819,396.636,866.229,866.229,0.0,0.0,,1030.31,,,,,,1030.31,1896.539,2293.175,0.0,8089.563,,,-367.062,-725.5161,-62.8179,6934.167,0.0,6934.167,9227.342,
09/30/2004,9020.6,445.88,179.018,266.862,237.572,,,246.369,43.547,161.764,41.058,0.0,334.414,,,,1264.235,1415.689,,,1672.126,,,4668.548,4521.729,1151.105,3370.624,,146.819,7756.363,,77.493,77.493,,,,0.0,0.0,0.0,0.0,,,351.108,,,351.108,428.601,845.704,845.704,0.0,0.0,,1036.031,,,,,,1036.031,1881.735,2310.336,0.0,8128.435,,,-628.584,-744.499,-45.09,6710.262,0.0,6710.262,9020.598,
12/31/2004,9165.758,1057.942,209.447,848.495,278.637,278.637,,251.016,48.465,157.947,44.604,0.0,343.449,,,,1931.044,1525.225,1682.17,-156.945,1109.624,,1109.624,4599.865,4443.932,1151.105,3292.827,,155.933,7234.714,,121.471,121.471,,,,748.43,748.43,0.0,0.0,,,390.847,,,390.847,1260.748,101.879,101.879,0.0,0.0,,976.73,,,,,,976.73,1078.609,2339.357,0.0,8185.152,,,-514.61,-801.094,-43.047,6826.401,0.0,6826.401,9165.758,
03/31/2005,9062.694,1151.881,276.443,875.438,275.014,275.014,,236.624,46.992,138.008,51.624,0.0,320.208,,,,1983.727,1561.918,,,1149.172,,1000.969,4367.877,3783.2,1151.105,2632.095,,584.677,7078.967,,75.015,75.015,,,,751.681,751.681,0.0,0.0,,,401.833,,,401.833,1228.529,94.757,94.757,0.0,0.0,,958.449,,,,,,958.449,1053.206,2281.735,0.0,8207.606,,,-526.742,-808.423,-91.482,6780.959,0.0,6780.959,9062.694,
06/30/2005,8268.152,927.453,638.4,289.053,254.014,254.014,,243.538,58.475,131.733,53.33,0.0,371.297,,,,1796.302,1150.42,,,873.182,,873.182,4448.248,4290.42,1151.105,3139.315,,157.828,6471.85,,66.004,66.004,,,,0.0,0.0,0.0,0.0,,,474.649,,,474.649,540.653,42.405,42.405,0.0,0.0,,939.28,,,,,,939.28,981.685,1522.338,0.0,8260.723,,,-646.677,-793.384,-74.848,6745.814,0.0,6745.814,8268.152,
09/30/2005,8314.609,611.398,296.492,314.906,261.535,261.535,,227.469,51.876,123.124,52.469,0.0,434.81,,,,1535.212,1093.68,,,1477.403,,1207.062,4208.314,4208.314,1151.105,3057.209,,0.0,6779.397,,48.21,48.21,,,,0.0,0.0,0.0,0.0,,,510.735,,,510.735,558.945,42.925,42.925,0.0,0.0,,914.912,,,,,,914.912,957.837,1516.782,0.0,8246.918,,,-586.755,-802.311,-60.025,6797.827,0.0,6797.827,8314.609,
12/31/2005,8366.947,850.753,568.168,282.585,265.742,265.742,,182.815,44.417,107.987,30.411,0.0,318.771,,,,1618.081,1174.396,1389.155,-214.759,1204.378,,,4370.092,4106.031,1130.43,2975.601,,264.061,6748.866,,99.78,99.78,,,,0.0,0.0,0.0,0.0,,,483.256,,,483.256,583.036,43.444,43.444,0.0,0.0,,834.591,,,,,,834.591,878.035,1461.071,0.0,8207.084,,,-222.76,-1021.644,-56.804,6905.876,0.0,6905.876,8366.947,
03/31/2006,8524.226,849.355,535.865,313.49,276.441,276.441,,191.022,46.974,112.849,31.199,,278.863,,,,1595.681,1191.968,,,1407.541,,1407.541,4329.036,4035.268,1130.43,2904.838,,293.768,6928.545,,58.119,58.119,,,,0.0,,,,,,462.678,,,462.678,520.797,43.978,,,,,816.609,,,,,,816.609,860.587,1381.384,0.0,8203.694,,,-137.268,-928.178,4.594,7142.842,0.0,7142.842,8524.226,
06/30/2006,8340.162,713.774,345.104,368.67,284.912,284.912,,147.024,42.698,87.195,17.131,0.0,304.03,,,,1449.74,1227.296,,,1417.482,,1417.482,4245.644,4012.64,1156.348,2856.292,,233.004,6890.422,,62.28,62.28,,,,0.0,0.0,0.0,0.0,,,437.702,,,437.702,499.982,44.526,44.526,0.0,0.0,,787.063,,,,,,787.063,831.589,1331.571,0.0,8248.946,,,-113.142,-1104.681,-22.532,7008.591,,7008.591,8340.162,
09/30/2006,8186.558,661.019,414.594,246.425,282.519,282.519,,155.119,43.329,92.953,18.837,0.0,286.5,,,,1385.157,1246.116,,,1605.685,,1372.772,3949.6,3949.6,1153.98,2795.62,,0.0,6801.401,,62.822,62.822,,,,0.0,0.0,0.0,0.0,,,432.188,,,432.188,495.01,45.074,45.074,0.0,0.0,,751.6,,,,,,751.6,796.674,1291.684,0.0,8261.059,,,-393.318,-954.991,-17.876,6894.874,,6894.874,8186.558,
