Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Source: Bloomberg
12/31/2011,1818.0,1818.0,-1514.0,1514.0,304.0,4.0,-149.0,130.0,19.0,0.0,159.0,-763.0,65.0,68.0,-3.0,,-14.0,712.0,-604.0,0.0,-604.0,-3.0,-3.0,0.0,-601.0,-5.0,-606.0,0.0,0.0,-606.0,131.15,740.15,
03/31/2012,1739.0,1739.0,-1361.0,1361.0,378.0,4.0,-155.0,140.0,15.0,0.0,227.0,-57.0,61.0,64.0,-3.0,,-13.0,9.0,170.0,-44.0,126.0,1.0,1.0,0.0,125.0,-4.0,121.0,0.0,0.0,121.0,122.0,0.0,
06/30/2012,1766.0,1766.0,-1390.0,1390.0,376.0,5.0,-156.0,139.0,17.0,0.0,225.0,-46.0,60.0,62.0,-2.0,,-18.0,4.0,179.0,-41.0,138.0,1.0,1.0,0.0,137.0,-4.0,133.0,0.0,0.0,133.0,134.0,0.0,
09/30/2012,1747.0,1747.0,-1405.0,1405.0,342.0,4.0,-144.0,131.0,13.0,0.0,202.0,-75.0,59.0,61.0,-2.0,,-16.0,32.0,127.0,-28.0,99.0,2.0,2.0,0.0,97.0,-7.0,90.0,0.0,0.0,90.0,113.45,21.45,
12/31/2012,1748.0,1748.0,-1470.0,1470.0,278.0,4.0,-162.0,145.0,17.0,0.0,120.0,-113.0,59.0,61.0,-2.0,,-17.0,71.0,7.0,5.0,12.0,-2.0,-2.0,0.0,14.0,-19.0,-5.0,0.0,0.0,-5.0,41.1,48.1,
03/31/2013,1641.0,1641.0,-1322.0,1322.0,319.0,0.0,-144.0,129.0,15.0,0.0,175.0,-58.0,68.0,71.0,-3.0,,-17.0,7.0,117.0,-33.0,84.0,10.0,10.0,0.0,74.0,-5.0,69.0,0.0,0.0,69.0,92.65,13.65,
06/30/2013,1781.0,1781.0,-1412.0,1412.0,369.0,0.0,-144.0,129.0,15.0,0.0,225.0,-48.0,56.0,57.0,-1.0,,-16.0,8.0,177.0,-37.0,140.0,3.0,3.0,0.0,137.0,-5.0,132.0,0.0,0.0,132.0,135.0,0.0,
09/30/2013,1784.0,1784.0,-1432.0,1432.0,352.0,0.0,-134.0,119.0,15.0,0.0,218.0,-40.0,54.0,56.0,-2.0,,-16.0,2.0,178.0,-40.0,138.0,2.0,2.0,0.0,136.0,-6.0,130.0,0.0,0.0,130.0,132.0,0.0,
12/31/2013,1761.0,1761.0,-1455.0,1455.0,306.0,0.0,-192.0,52.0,17.0,123.0,114.0,3.0,,26.0,,,-18.0,-11.0,117.0,-10.0,107.0,-5.0,-5.0,0.0,112.0,3.0,115.0,0.0,0.0,115.0,159.4,49.4,
03/31/2014,1639.0,1639.0,-1318.0,1318.0,321.0,0.0,-149.0,133.0,15.0,1.0,172.0,-38.0,54.0,,,,-16.0,0.0,134.0,-27.0,107.0,1.0,1.0,0.0,106.0,-5.0,101.0,0.0,0.0,101.0,107.0,0.0,
06/30/2014,1797.0,1797.0,-1439.0,1439.0,358.0,0.0,-148.0,131.0,17.0,0.0,210.0,-31.0,54.0,,,,-19.0,-4.0,179.0,-39.0,140.0,20.0,20.0,0.0,120.0,-6.0,114.0,0.0,0.0,114.0,134.0,0.0,
09/30/2014,1745.0,1745.0,-1408.0,1408.0,337.0,0.0,-206.0,118.0,15.0,73.0,131.0,-40.0,53.0,,,,-13.0,0.0,91.0,-23.0,68.0,1.0,1.0,0.0,67.0,-7.0,60.0,0.0,0.0,60.0,115.6,54.6,
12/31/2014,1603.0,1603.0,-1366.0,1366.0,237.0,0.0,-231.0,141.0,16.0,74.0,6.0,-57.0,69.0,,,,-16.0,4.0,-51.0,-3.0,-54.0,1.0,1.0,0.0,-55.0,-10.0,-65.0,0.0,0.0,-65.0,-64.45,4.55,
03/31/2015,1421.0,1421.0,-1153.0,1153.0,268.0,0.0,-139.0,124.0,15.0,0.0,129.0,-29.0,47.0,,,,-15.0,-3.0,100.0,-25.0,75.0,0.0,0.0,0.0,75.0,-4.0,71.0,0.0,0.0,71.0,71.0,0.0,
06/30/2015,1543.0,1543.0,-1269.0,1269.0,274.0,0.0,-134.0,118.0,16.0,0.0,140.0,-78.0,74.0,,,,-14.0,18.0,62.0,-15.0,47.0,2.0,2.0,0.0,45.0,-5.0,40.0,0.0,0.0,40.0,65.2,18.2,
09/30/2015,1566.0,1566.0,-1290.0,1290.0,276.0,0.0,-124.0,109.0,15.0,0.0,152.0,-94.0,67.0,,,,-17.0,44.0,58.0,-33.0,25.0,1.0,1.0,0.0,24.0,-7.0,17.0,0.0,0.0,17.0,60.1,35.1,
12/31/2015,1626.0,1626.0,-1334.0,1334.0,292.0,0.0,-238.0,125.0,18.0,95.0,54.0,10.0,63.0,,,,-14.0,-59.0,64.0,-33.0,31.0,1.0,1.0,0.0,30.0,-7.0,23.0,0.0,0.0,23.0,25.65,13.65,
03/31/2016,1588.0,1588.0,-1269.0,1269.0,319.0,0.0,-144.0,129.0,15.0,0.0,175.0,-74.0,66.0,,,3.0,-14.0,19.0,101.0,-27.0,74.0,1.0,1.0,0.0,73.0,-6.0,67.0,0.0,0.0,67.0,75.8,7.8,
06/30/2016,1760.0,1760.0,-1418.0,1418.0,342.0,0.0,-142.0,126.0,16.0,0.0,200.0,-59.0,67.0,,,,-15.0,7.0,141.0,-30.0,111.0,2.0,2.0,0.0,109.0,-4.0,105.0,0.0,0.0,105.0,119.35,12.35,
09/30/2016,1712.0,1712.0,-1376.0,1376.0,336.0,0.0,-137.0,121.0,16.0,0.0,199.0,-46.0,66.0,,,,-15.0,-5.0,153.0,-36.0,117.0,3.0,3.0,0.0,114.0,-6.0,108.0,0.0,0.0,108.0,127.9,16.9,
12/31/2016,1642.0,1642.0,-1427.0,1427.0,215.0,0.0,-221.0,127.0,18.0,76.0,-6.0,-33.0,73.0,,,3.0,-16.0,-27.0,-39.0,-26.0,-65.0,1.0,1.0,0.0,-66.0,-5.0,-71.0,0.0,0.0,-71.0,-69.35,0.65,
03/31/2017,1615.0,1615.0,-1300.0,1300.0,315.0,0.0,-134.0,119.0,15.0,0.0,181.0,-108.0,78.0,,,-1.0,-15.0,46.0,73.0,-20.0,53.0,0.0,0.0,0.0,53.0,-4.0,49.0,0.0,0.0,49.0,99.05,50.05,
06/30/2017,1751.0,1751.0,-1405.0,1405.0,346.0,0.0,-139.0,123.0,16.0,0.0,207.0,-55.0,62.0,,,-1.0,-18.0,12.0,152.0,-9.0,143.0,0.0,0.0,0.0,143.0,-3.0,140.0,0.0,0.0,140.0,165.35,25.35,
09/30/2017,1791.0,1791.0,-1438.0,1438.0,353.0,0.0,-135.0,120.0,15.0,0.0,218.0,-46.0,63.0,,,3.0,-22.0,2.0,172.0,-37.0,135.0,2.0,2.0,0.0,133.0,-7.0,126.0,0.0,0.0,126.0,140.35,12.35,
12/31/2017,1712.0,1712.0,-1393.0,1393.0,319.0,0.0,-459.0,122.0,14.0,323.0,-140.0,18.0,65.0,,,4.0,-22.0,-65.0,-122.0,-4.0,-126.0,1.0,1.0,0.0,-127.0,-8.0,-135.0,0.0,0.0,-135.0,-174.95,-40.95,
03/31/2018,1736.0,1736.0,-1417.0,1417.0,319.0,0.0,-142.0,126.0,16.0,0.0,177.0,-42.0,62.0,,,2.0,-17.0,-5.0,135.0,-32.0,103.0,0.0,0.0,0.0,103.0,-5.0,98.0,0.0,0.0,98.0,98.0,0.0,
06/30/2018,1772.0,1772.0,-1426.0,1426.0,346.0,0.0,-143.0,126.0,17.0,0.0,203.0,-125.0,74.0,,,0.0,-21.0,72.0,78.0,-22.0,56.0,0.0,0.0,0.0,56.0,-6.0,50.0,0.0,0.0,50.0,103.72,53.72,
09/30/2018,1734.0,1734.0,-1410.0,1410.0,324.0,0.0,-132.0,115.0,17.0,0.0,192.0,-24.0,63.0,,,4.0,-19.0,-24.0,168.0,-41.0,127.0,0.0,0.0,0.0,127.0,-7.0,120.0,0.0,0.0,120.0,175.3,55.3,
12/31/2018,1635.0,1635.0,-1341.0,1341.0,294.0,0.0,-280.0,116.0,20.0,144.0,14.0,7.0,62.0,,,0.0,-20.0,-49.0,21.0,-13.0,8.0,-113.0,-113.0,0.0,121.0,-7.0,114.0,0.0,0.0,114.0,-35.34,-36.34,
03/31/2019,1638.0,1638.0,-1340.0,1340.0,298.0,0.0,-131.0,115.0,16.0,0.0,167.0,-56.0,65.0,,,3.0,-19.0,7.0,111.0,-27.0,84.0,0.0,0.0,0.0,84.0,-5.0,79.0,0.0,,79.0,79.0,0.0,
06/30/2019,1756.0,1756.0,-1420.0,1420.0,336.0,0.0,-134.0,116.0,18.0,0.0,202.0,-104.0,68.0,,,0.0,-19.0,55.0,98.0,-27.0,71.0,1.0,1.0,0.0,70.0,-5.0,65.0,0.0,0.0,65.0,96.02,30.02,
09/30/2019,1670.0,1670.0,-1371.0,1371.0,299.0,0.0,-124.0,108.0,16.0,0.0,175.0,-711.0,83.0,,,3.0,-17.0,642.0,-536.0,-31.0,-567.0,0.0,0.0,0.0,-567.0,-8.0,-575.0,0.0,0.0,-575.0,-556.04,18.96,
