Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2009,9962,470,470,0.0,307,307.0,0.0,0.0,0.0,0.0,0.0,0.0,352,,1.0,546.0,262.0,1129,6574,,,0.0,2259,553,76,477,,151.0,1008,8833,,846,,,,846.0,12,0.0,,,,12.0,0,,47.0,0,858,6389,6389.0,,,,2486,,,,,1266.0,1173,8875,9733,0.0,9093,1.0,9092.0,-6151,-2642,-71,229,0.0,229,9962,
12/31/2009,10093,482,482,0.0,290,290.0,0.0,0.0,0.0,0.0,0.0,0.0,958,127.0,0.0,597.0,724.0,1730,6409,7956.0,-1547.0,0.0,1954,554,76,478,,228.0,575,8363,,1272,151.0,399.0,89.0,633.0,12,0.0,,,,12.0,0,0.0,48.0,0,1284,6493,6493.0,,,,2094,0.0,58.0,58.0,0.0,1267.0,721,8587,9871,0.0,9099,1.0,9098.0,-6149,-2691,-37,222,0.0,222,10093,
03/31/2010,10257,470,470,0.0,260,260.0,0.0,0.0,0.0,0.0,0.0,0.0,963,,,610.0,856.0,1693,6771,,,0.0,1793,556,76,480,,241.0,386,8564,,1319,162.0,,,1157.0,9,0.0,,,,9.0,0,,11.0,0,1328,6752,6752.0,,,,1951,,,,,1269.0,671,8703,10031,0.0,8995,1.0,8994.0,-6043,-2729,3,226,0.0,226,10257,
06/30/2010,11698,458,458,0.0,304,304.0,0.0,0.0,0.0,0.0,0.0,0.0,1012,,,603.0,907.0,1774,8079,,,0.0,1845,551,76,475,,256.0,435,9924,,1364,195.0,,,1169.0,8,0.0,,,,8.0,0,,11.0,0,1372,8083,8083.0,,,,2018,,,,,1269.0,738,10101,11473,0.0,8919,1.0,8918.0,-5963,-2703,-28,225,0.0,225,11698,
09/30/2010,10701,623,623,0.0,317,317.0,0.0,0.0,0.0,0.0,0.0,0.0,407,,1.0,544.0,300.0,1347,7487,,,0.0,1867,555,76,479,,270.0,497,9354,,928,190.0,,,738.0,9,0.0,,,,9.0,0,,11.0,0,937,7396,7396.0,,,,1995,,,,,1287.0,697,9391,10328,0.0,8907,1.0,8906.0,-5963,-2613,42,373,0.0,373,10701,
12/31/2010,10327,911,911,0.0,315,315.0,0.0,0.0,0.0,0.0,0.0,0.0,412,140.0,1.0,587.0,142.0,1638,6847,8628.0,-1781.0,0.0,1842,557,76,481,,290.0,407,8689,,925,209.0,41.0,3.0,672.0,8,0.0,0.0,0.0,,8.0,0,0.0,12.0,0,933,7009,7009.0,0.0,0.0,,1975,0.0,63.0,63.0,0.0,1333.0,567,8984,9917,0.0,8829,1.0,8828.0,-5874,-2637,92,410,0.0,410,10327,
03/31/2011,11040,913,913,0.0,349,349.0,0.0,0.0,0.0,0.0,0.0,0.0,419,,1.0,632.0,288.0,1681,7501,,,0.0,1858,559,76,483,,305.0,361,9359,,904,208.0,,,696.0,7,0.0,,,,7.0,0,,10.0,0,911,7603,7603.0,,,,2088,,,,,1384.0,694,9691,10602,0.0,8508,1.0,8507.0,-5552,-2630,112,438,0.0,438,11040,
06/30/2011,12441,645,645,0.0,417,417.0,0.0,0.0,0.0,0.0,0.0,0.0,844,,1.0,639.0,710.0,1906,8590,,,0.0,1945,560,76,484,,316.0,429,10535,,1006,237.0,,,769.0,6,0.0,,,,6.0,0,,7.0,0,1012,8779,8779.0,,,,2118,,,,,1430.0,681,10897,11909,0.0,8501,1.0,8500.0,-5539,-2578,148,532,0.0,532,12441,
09/30/2011,12311,1002,1002,0.0,370,370.0,0.0,0.0,0.0,0.0,0.0,0.0,784,,2.0,634.0,651.0,2156,8186,,,0.0,1969,551,76,475,,329.0,453,10155,,1053,218.0,,,835.0,6,0.0,,,,6.0,0,,6.0,0,1059,8625,8625.0,,,,2075,,,,,1461.0,608,10700,11759,0.0,8502,1.0,8501.0,-5535,-2496,81,552,0.0,552,12311,
12/31/2011,12938,534,534,0.0,507,507.0,0.0,0.0,0.0,0.0,0.0,0.0,500,179.0,2.0,444.0,175.0,1541,8849,10914.0,-2065.0,0.0,2548,1066,353,713,,343.0,693,11397,,1433,312.0,109.0,0.0,1012.0,37,0.0,,,,37.0,0,0.0,7.0,0,1470,8732,8732.0,,,,2324,0.0,191.0,191.0,0.0,982.0,1144,11056,12526,0.0,8533,1.0,8532.0,-5533,-2666,78,412,0.0,412,12938,
03/31/2012,14187,606,606,0.0,555,555.0,0.0,0.0,0.0,0.0,0.0,0.0,560,,1.0,510.0,426.0,1721,9902,,,0.0,2564,1083,359,724,,354.0,616,12466,,1443,320.0,,,1123.0,227,0.0,,,,227.0,0,,10.0,0,1670,9525,9525.0,,,,2557,,,,,1065.0,1482,12082,13752,0.0,8322,1.0,8321.0,-5320,-2689,122,435,0.0,435,14187,
06/30/2012,15983,454,454,0.0,638,638.0,0.0,0.0,0.0,0.0,0.0,0.0,674,,1.0,475.0,553.0,1766,11759,,,0.0,2458,1051,344,707,,361.0,570,14217,,1556,338.0,,,1218.0,39,0.0,,,,39.0,0,,11.0,0,1595,11267,11267.0,,,,2643,,,,,1068.0,1564,13910,15505,0.0,8243,1.0,8242.0,-5230,-2610,75,478,0.0,478,15983,
09/30/2012,16376,554,554,0.0,640,640.0,0.0,0.0,0.0,0.0,0.0,0.0,732,,1.0,1265.0,523.0,1926,10842,,,0.0,3608,1056,348,708,,362.0,924,14450,,1576,360.0,,,1216.0,81,0.0,,,,81.0,0,,15.0,0,1657,10761,10761.0,,,,3167,,,,,2017.0,1135,13928,15585,0.0,8233,1.0,8232.0,-5215,-2330,103,791,0.0,791,16376,
12/31/2012,15218,606,606,0.0,553,553.0,0.0,0.0,0.0,0.0,0.0,0.0,551,174.0,0.0,1454.0,228.0,1710,9803,12037.0,-2234.0,0.0,3705,1106,375,731,,362.0,783,13508,,1421,309.0,58.0,0.0,1054.0,57,0.0,,,,57.0,0,0.0,17.0,0,1478,9654,9654.0,,,,3329,0.0,205.0,205.0,0.0,2163.0,944,12983,14461,0.0,8212,1.0,8211.0,-5189,-2376,110,757,0.0,757,15218,
03/31/2013,16557,569,569,0.0,591,591.0,0.0,0.0,0.0,0.0,0.0,0.0,711,,,1346.0,548.0,1871,10721,,,0.0,3965,1556,646,910,,362.0,701,14686,,1546,344.0,,,1202.0,29,0.0,,,,29.0,0,,12.0,0,1575,10780,10780.0,,,,3508,,,,,2126.0,1370,14288,15863,0.0,7967,1.0,7966.0,-4938,-2422,87,694,0.0,694,16557,
06/30/2013,18496,503,503,0.0,691,691.0,0.0,0.0,0.0,0.0,0.0,0.0,752,,3.0,1329.0,575.0,1946,12659,,,0.0,3891,1554,652,902,,362.0,643,16550,,1601,376.0,,,1225.0,221,0.0,,,,221.0,0,,13.0,0,1822,12552,12552.0,,,,3476,,,,,2074.0,1389,16028,17850,0.0,7913,1.0,7912.0,-4867,-2450,50,646,0.0,646,18496,
09/30/2013,17804,589,589,0.0,681,681.0,0.0,0.0,0.0,0.0,0.0,0.0,738,,3.0,1351.0,571.0,2008,11375,,,0.0,4421,1617,689,928,,362.0,1088,15796,,1680,365.0,,,1315.0,181,0.0,,,,181.0,0,,13.0,0,1861,11839,11839.0,,,,3300,,,,,2190.0,1097,15139,17000,0.0,7910,1.0,7909.0,-4884,-2332,110,804,0.0,804,17804,
12/31/2013,16284,693,693,0.0,619,619.0,0.0,0.0,0.0,0.0,0.0,0.0,632,187.0,4.0,1299.0,265.0,1944,10196,12604.0,-2408.0,0.0,4144,1614,691,923,,363.0,864,14340,,1479,344.0,13.0,63.0,1059.0,89,0.0,,,,89.0,0,0.0,14.0,0,1568,10642,10642.0,,,,3303,0.0,153.0,153.0,0.0,2177.0,959,13945,15513,0.0,7894,1.0,7893.0,-4880,-2360,117,771,0.0,771,16284,
03/31/2014,17369,841,841,0.0,646,646.0,0.0,0.0,0.0,0.0,0.0,0.0,675,,4.0,1264.0,498.0,2162,11230,,,0.0,3977,1645,713,932,,362.0,702,15207,,1474,,,,1474.0,393,0.0,,,,393.0,0,,9.0,0,1867,11302,11302.0,,,,3497,,,,,2141.0,1347,14799,16666,0.0,7730,1.0,7729.0,-4791,-2356,120,703,0.0,703,17369,
06/30/2014,19989,537,537,0.0,753,753.0,0.0,0.0,0.0,0.0,0.0,0.0,842,,1.0,1190.0,663.0,2132,13994,,,0.0,3863,1639,707,932,,362.0,671,17857,,1636,,,,1636.0,89,0.0,,,,89.0,0,,6.0,0,1725,14147,14147.0,,,,3450,,,,,2070.0,1374,17597,19322,0.0,7734,1.0,7733.0,-4862,-2330,125,667,0.0,667,19989,
09/30/2014,18296,713,713,0.0,659,659.0,0.0,0.0,0.0,0.0,0.0,0.0,763,,3.0,1042.0,582.0,2135,12107,,,0.0,4054,1580,683,897,,362.0,1067,16161,,1679,,,,1679.0,88,0.0,,,,88.0,0,,3.0,0,1767,12747,12747.0,,,,3050,,,,,2000.0,1047,15797,17564,0.0,7739,1.0,7738.0,-4918,-2138,49,732,0.0,732,18296,
12/31/2014,16842,624,624,0.0,599,599.0,0.0,0.0,0.0,0.0,0.0,0.0,456,192.0,1.0,1511.0,259.0,1679,10853,13333.0,-2480.0,0.0,4310,1728,842,886,,362.0,708,15163,,1491,328.0,0.0,0.0,1163.0,28,0.0,,,,28.0,0,0.0,10.0,0,1519,11381,11381.0,,,,3277,0.0,163.0,163.0,0.0,2267.0,837,14658,16177,0.0,7213,1.0,7212.0,-4411,-2115,-22,665,0.0,665,16842,
03/31/2015,17492,854,854,0.0,564,564.0,0.0,0.0,0.0,0.0,0.0,0.0,659,,18.0,1324.0,517.0,2077,11406,,,0.0,4009,1669,813,856,,362.0,636,15415,,1489,,,,1489.0,244,0.0,,,,244.0,0,,21.0,0,1733,11822,11822.0,,,,3416,,,,,2236.0,1159,15238,16971,0.0,7029,1.0,7028.0,-4268,-2124,-116,521,0.0,521,17492,
06/30/2015,20399,529,529,0.0,685,685.0,0.0,0.0,0.0,0.0,0.0,0.0,907,219.0,0.0,1261.0,526.0,2121,14032,,,0.0,4246,1917,971,946,,362.0,706,18278,,1697,,,,1697.0,32,0.0,,,,32.0,0,,3.0,0,1729,14606,14606.0,,,,3468,,,,,2141.0,1324,18074,19803,0.0,7034,1.0,7033.0,-4349,-1981,-108,596,0.0,596,20399,
09/30/2015,18902,585,585,0.0,705,705.0,0.0,0.0,0.0,0.0,0.0,0.0,828,213.0,1.0,1136.0,459.0,2118,12246,,,0.0,4538,1886,964,922,,362.0,1153,16784,,1764,,,,1764.0,27,0.0,,,,27.0,0,,14.0,0,1791,13501,13501.0,,,,3010,,,,,2066.0,930,16511,18302,0.0,7048,1.0,7047.0,-4509,-1797,-142,600,0.0,600,18902,
12/31/2015,17634,452,452,0.0,668,668.0,0.0,0.0,0.0,0.0,0.0,0.0,507,192.0,1.0,1488.0,299.0,1627,11339,13749.0,-2410.0,0.0,4668,1890,973,917,,362.0,927,16007,,1485,352.0,0.0,0.0,1133.0,26,0.0,,,,26.0,0,0.0,5.0,0,1511,12295,12295.0,,,,3389,0.0,129.0,129.0,0.0,2367.0,888,15684,17195,0.0,7011,1.0,7010.0,-4623,-1802,-147,439,0.0,439,17634,
03/31/2016,19308,876,876,0.0,662,662.0,0.0,0.0,0.0,0.0,0.0,0.0,644,229.0,0.0,1556.0,411.0,2182,12640,,,0.0,4486,1924,1006,918,,361.0,645,17126,,1574,,,,1574.0,327,0.0,,,,327.0,0,,35.0,0,1901,13372,13175.0,197.0,197.0,,3664,,,,,2410.0,1219,17036,18937,0.0,6910,1.0,6909.0,-4609,-1853,-77,371,0.0,371,19308,
06/30/2016,20483,527,527,0.0,760,760.0,0.0,0.0,0.0,0.0,0.0,0.0,856,237.0,0.0,1490.0,600.0,2143,13910,,,0.0,4430,1900,1004,896,,361.0,679,18340,,1743,,,,1743.0,28,0.0,,,,28.0,0,,34.0,0,1771,14667,14486.0,181.0,181.0,,3706,,,,,2350.0,1322,18373,20144,0.0,6936,1.0,6935.0,-4707,-1817,-73,339,0.0,339,20483,
09/30/2016,19475,985,985,0.0,822,822.0,0.0,0.0,0.0,0.0,0.0,0.0,635,216.0,1.0,1443.0,414.0,2442,12395,,,0.0,4638,1898,1013,885,,361.0,935,17033,,1713,,,,1713.0,338,0.0,,,,338.0,0,,25.0,0,2051,13628,13460.0,168.0,168.0,,3322,,,,,2370.0,927,16950,19001,0.0,6941,1.0,6940.0,-4812,-1608,-47,474,0.0,474,19475,
12/31/2016,17643,490,490,0.0,808,808.0,0.0,0.0,0.0,0.0,0.0,0.0,519,212.0,7.0,1493.0,300.0,1817,11149,13630.0,-2481.0,0.0,4677,1877,1007,870,,362.0,938,15826,,861,343.0,0.0,0.0,518.0,279,0.0,,,,279.0,627,0.0,4.0,511,1767,12122,11960.0,162.0,162.0,,3533,0.0,196.0,,,2429.0,904,15655,17422,0.0,6919,1.0,6918.0,-4905,-1639,-154,221,0.0,221,17643,
03/31/2017,18978,923,923,0.0,718,718.0,0.0,0.0,0.0,0.0,0.0,0.0,651,230.0,8.0,1631.0,419.0,2292,12170,,,0.0,4516,1872,1013,859,,395.0,610,16686,,1425,355.0,,,1070.0,474,0.0,,,,474.0,164,,3.0,0,2063,13007,12853.0,154.0,154.0,,3767,,,,,2453.0,1311,16774,18837,0.0,6867,1.0,6866.0,-4910,-1690,-126,141,0.0,141,18978,
06/30/2017,20832,776,776,0.0,762,762.0,0.0,0.0,0.0,0.0,0.0,0.0,837,204.0,5.0,1642.0,631.0,2375,14006,,,0.0,4451,1910,1043,867,,395.0,499,18457,,1849,438.0,,,1411.0,26,0.0,,,,26.0,0,,32.0,0,1875,14908,14747.0,161.0,161.0,,3901,,,,,2437.0,1432,18809,20684,0.0,6865,1.0,6864.0,-4952,-1687,-78,148,0.0,148,20832,
09/30/2017,19873,814,814,0.0,855,855.0,0.0,0.0,0.0,0.0,0.0,0.0,750,231.0,4.0,1566.0,512.0,2419,12494,,,0.0,4960,1928,1065,863,,395.0,1067,17454,,1866,426.0,,,1440.0,26,0.0,,,,26.0,0,,13.0,0,1892,14131,13972.0,159.0,159.0,,3449,,,,,2424.0,1012,17580,19472,0.0,6863,1.0,6862.0,-4976,-1442,-44,401,0.0,401,19873,
12/31/2017,17699,611,611,0.0,922,922.0,0.0,0.0,0.0,0.0,0.0,0.0,533,196.0,8.0,931.0,334.0,2066,11330,14134.0,-2804.0,0.0,4303,1923,1073,850,24.0,423.0,994,15633,,1111,359.0,0.0,0.0,752.0,26,0.0,,,,26.0,508,0.0,1.0,366,1645,12794,12648.0,146.0,146.0,,2687,0.0,186.0,,,1594.0,906,15481,17126,0.0,6821,1.0,6820.0,-5002,-1222,-24,573,0.0,573,17699,
03/31/2018,19222,544,544,0.0,880,880.0,0.0,0.0,0.0,0.0,0.0,0.0,699,218.0,0.0,967.0,471.0,2123,13070,,,0.0,4029,1934,1085,849,,423.0,705,17099,,1583,386.0,,,1197.0,26,0.0,,,,26.0,194,,3.0,0,1803,13963,13777.0,186.0,186.0,,3001,,,,,1567.0,1431,16964,18767,0.0,6781,1.0,6780.0,-4960,-1344,-22,455,0.0,455,19222,
06/30/2018,20919,489,489,0.0,902,902.0,0.0,0.0,0.0,0.0,0.0,0.0,832,252.0,19.0,1120.0,565.0,2223,14582,,,0.0,4114,1892,1049,843,,445.0,638,18696,,1580,412.0,,,1168.0,24,0.0,,,,24.0,252,,1.0,0,1856,15320,15109.0,211.0,211.0,,3371,,,,,1727.0,1643,18691,20547,0.0,6780,1.0,6779.0,-5020,-1316,-72,372,0.0,372,20919,
09/30/2018,19741,605,605,0.0,918,918.0,0.0,0.0,0.0,0.0,0.0,0.0,657,230.0,5.0,1065.0,406.0,2180,12882,,,0.0,4679,1908,1064,844,,516.0,1185,17561,,1375,396.0,,,979.0,23,0.0,,,,23.0,510,,14.0,349,1908,14460,14259.0,201.0,201.0,,2852,,,,,1775.0,1063,17312,19220,0.0,6767,1.0,6766.0,-5065,-1103,-78,521,0.0,521,19741,
12/31/2018,19149,615,615,0.0,955,955.0,0.0,0.0,0.0,0.0,0.0,0.0,604,241.0,12.0,1301.0,358.0,2174,12210,15106.0,-2896.0,0.0,4765,1917,1092,825,18.0,559.0,958,16975,,1200,371.0,,,829.0,23,0.0,,,,23.0,493,0.0,10.0,341,1716,13760,13569.0,191.0,191.0,,3259,0.0,187.0,,,1961.0,1101,17019,18735,0.0,6772,1.0,6771.0,-5134,-1091,-133,414,0.0,414,19149,
03/31/2019,22902,540,540,0.0,915,915.0,0.0,0.0,0.0,0.0,0.0,0.0,682,257.0,10.0,1389.0,409.0,2137,15828,17308.0,-1480.0,0.0,4937,1895,1086,809,,637.0,1006,20765,,1140,415.0,,,725.0,497,0.0,474.0,,474.0,23.0,621,,19.0,445,2258,16752,14484.0,2268.0,222.0,2046.0,3568,,,,,1995.0,1554,20320,22578,0.0,6738,1.0,6737.0,-5099,-1178,-137,324,0.0,324,22902,
