Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,Earnings Per Share,EBIT,EBIT Surprise %,EBITDA,EBITDA Surprise %,Gross Margin %,Pretax Income (Loss),Pretax Income (Loss) Surprise %,Net Income,Source: Bloomberg
06/30/2012,,10.149,6.781,-2.54934210526315,4.802,10.8184,,,-0.783648408466631,,3.98882681564247,,,9.29155581830724,,
09/30/2012,,8.367,9.548,-5.21162890123984,-194.239,11.674,,,52.0639642989959,,14.0162931574707,,,77.1722242141747,,
12/31/2012,,12.583,8.696,-0.309579990561588,-73.025,-9.84925,,,7.47894997523527,,2.71155741416509,,,7.21608519430978,,
03/31/2013,,13.1,7.286,0.679154239252255,4.984,8.7189,,,5.62916180407771,,3.56534206183893,,,7.77862595419847,,
06/30/2013,,14.571,9.575,-3.52839059674503,3.38,9.5705,,,3.40067762579997,,-1.15696408426685,,,3.78834671607988,,
09/30/2013,,14.571,8.174,-1.16800490100078,11.269,11.09035,,,-12.5460122699387,,-11.6618610747051,,,-2.16869123601674,,
12/31/2013,,12.543,10.477,1.83198987409233,-20.115,5.1301,,,19.6923885894571,,-6.73207138343013,,,31.9221876744001,,
03/31/2014,,7.425,8.513,-1.33643375341702,2.065,10.30615,,,61.5172413793103,,-15.2169751116784,,,71.4343434343434,,
06/30/2014,,13.025,1.065,-2.22069125049659,0.034,1.06505,,,-16.5090909090909,,-14.7918953987424,,,-6.97888675623801,,
09/30/2014,,5.673,4.652,0.717908741842544,-1.669,0.4472,,,26.523505513639,,7.9158878504673,,,59.8801339679182,,
12/31/2014,,10.34,6.487,-3.30527441826651,-289.719,134.13245,,,11.1325301204819,,5.53498026128362,,,20.4835589941973,,
03/31/2015,,11.5,7.461,-1.83406813627254,8.17,37.25015,,,,,7.15107285923927,,,80.7130434782609,,
06/30/2015,,13.675,10.24,0.229999999999993,-1.043,-0.54925,,,15.5081967213115,,7.61791841120457,,,13.4698354661792,,
09/30/2015,,14.8,9.697,-2.63286713286713,10.42,20.126,,,-1.84393063583814,,1.17880317231435,,,-1.62837837837839,,
12/31/2015,,16.525,10.568,-4.66526946107784,56.065,-9.91005,,,-0.192096597145994,,-3.09921513382974,,,-3.10438729198183,,
03/31/2016,,9.903,6.228,-1.28008608985628,1.841,4.7174,,,-3.49573587773368,,-6.38390714316883,,,-7.12915278198527,,
06/30/2016,,5.095,-2.052,-3.63218390804597,-124.155,20.057,,,,,-45.0419161676647,,,,,
09/30/2016,,2.15,-4.748,-3.92521255483949,-180.504,1.70385,,,,,-60.6159420289855,,,,,
