Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2014,615.0,615.0,-387.0,387.0,228.0,0.0,-206.0,25.0,25.0,61.0,120.0,22,-27.0,32.0,32.0,0.0,,-5.0,-5.0,0.0,,,,-5.0,0.0,0.0,0.0,-5.0,,-5.0,0.0,0.0,-5.0,-8.25,-3.25,100.0,-0.05,-0.05,-0.0825,100.0,-0.05,-0.05,-0.0825,
12/31/2014,599.0,599.0,-357.0,357.0,242.0,0.0,-230.0,34.0,34.0,62.0,134.0,12,-115.0,119.0,119.0,0.0,,-4.0,-103.0,0.0,,,,-103.0,0.0,0.0,0.0,-103.0,-1.0,-104.0,-5.0,0.0,-109.0,-118.35,-9.35,120.0,-0.91,-0.91,-0.98792,120.0,-0.91,-0.91,-0.98792,
03/31/2015,632.0,632.0,-377.0,377.0,255.0,0.0,-295.0,30.0,30.0,64.0,201.0,-40,-141.0,,136.0,,,5.0,-181.0,0.0,0.0,0.0,,-181.0,0.0,0.0,0.0,-181.0,1.0,-180.0,-5.0,0.0,-185.0,-147.65,38.35,124.0,-1.49,-1.49,-1.182661,124.0,-1.49,-1.49,-1.182661,
06/30/2015,990.0,990.0,-496.0,496.0,494.0,0.0,-484.0,35.0,35.0,175.0,274.0,10,-125.0,,132.0,,-3.0,-4.0,-115.0,501.0,,,,386.0,0.0,0.0,0.0,386.0,2.0,388.0,-6.0,0.0,382.0,383.9,3.9,128.0,2.98,2.98,3.014844,142.0,2.73,2.73,2.757465,
09/30/2015,1232.0,1232.0,-621.0,621.0,611.0,0.0,-504.0,29.0,29.0,174.0,301.0,107,-103.0,,145.0,,4.0,-46.0,4.0,-28.0,,,,-24.0,0.0,0.0,0.0,-24.0,,-24.0,-5.0,0.0,-29.0,9.35,38.35,126.0,-0.23,-0.23,0.074206,126.0,-0.23,-0.23,0.074206,
12/31/2015,1016.0,1016.0,-534.0,534.0,482.0,0.0,-495.0,34.0,34.0,174.0,287.0,-13,-122.0,,133.0,,-2.0,-9.0,-135.0,1.0,,,,-134.0,0.0,0.0,0.0,-134.0,,-134.0,-6.0,0.0,-140.0,-118.55,21.45,122.0,-1.147541,-1.147541,-0.971721,122.0,-1.147541,-1.147541,-0.971721,
03/31/2016,1123.0,1123.0,-545.0,545.0,578.0,0.0,-433.0,37.0,37.0,171.0,225.0,145,-139.0,142.0,142.0,0.0,-2.0,-1.0,6.0,-16.0,,,,-10.0,0.0,0.0,0.0,-10.0,0.0,-10.0,-5.0,0.0,-15.0,-80.65,-65.65,117.0,-0.13,-0.13,-0.689316,117.0,-0.13,-0.13,-0.691111,
06/30/2016,904.0,904.0,-493.0,493.0,411.0,0.0,-1113.0,39.0,39.0,160.0,914.0,-702,-110.0,141.0,141.0,0.0,-1.0,-30.0,-812.0,9.0,,,,-803.0,0.0,0.0,0.0,-803.0,2.0,-801.0,-6.0,0.0,-807.0,-370.85,436.15,120.0,-6.73,-6.73,-3.090417,120.0,-6.73,-6.73,-3.095417,
09/30/2016,1184.0,1184.0,-660.0,660.0,524.0,0.0,-641.0,41.0,41.0,163.0,437.0,-117,-133.0,166.0,166.0,0.0,-4.0,-29.0,-250.0,1.0,,,,-249.0,0.0,0.0,0.0,-249.0,0.0,-249.0,-5.0,0.0,-254.0,-101.25,152.75,140.0,-1.81,-1.81,-0.723214,140.0,-1.81,-1.81,-0.723214,
12/31/2016,1107.0,1107.0,-583.0,583.0,524.0,0.0,-490.0,44.0,44.0,195.0,251.0,34,-267.0,176.0,176.0,0.0,0.0,91.0,-233.0,51.0,,,,-182.0,0.0,0.0,0.0,-182.0,2.0,-180.0,-6.0,0.0,-186.0,-149.6,36.4,139.0,-1.338129,-1.338129,-1.076259,139.0,-1.338129,-1.338129,-1.076259,
03/31/2017,1247.0,1247.0,-757.0,757.0,490.0,0.0,-539.0,40.0,40.0,200.0,299.0,-49,332.0,167.0,167.0,0.0,1.0,-500.0,283.0,313.0,,,,596.0,0.0,0.0,0.0,596.0,1.0,597.0,-5.0,0.0,592.0,303.4,-288.6,148.0,4.0,4.0,2.05,167.0,3.57,3.57,1.841856,
06/30/2017,1164.0,1164.0,-681.0,681.0,483.0,0.0,-665.0,42.0,42.0,209.0,414.0,-182,-130.0,159.0,159.0,0.0,1.0,-30.0,-312.0,16.0,,,,-296.0,0.0,0.0,0.0,-296.0,0.0,-296.0,-6.0,0.0,-302.0,-215.55,86.45,154.0,-1.96,-1.96,-1.399675,154.0,-1.96,-1.96,-1.399675,
09/30/2017,1437.0,1437.0,-787.0,787.0,650.0,0.0,-592.0,44.0,44.0,202.0,346.0,58,-192.0,161.0,161.0,0.0,-4.0,35.0,-134.0,1.0,,,,-133.0,0.0,0.0,0.0,-133.0,1.0,-132.0,-5.0,0.0,-137.0,-43.4,93.6,154.0,-0.89,-0.89,-0.281818,154.0,-0.89,-0.89,-0.282208,
12/31/2017,994.0,994.0,-707.0,707.0,287.0,0.0,-526.0,63.0,63.0,200.0,263.0,-239,-136.0,129.0,129.0,0.0,-6.0,13.0,-375.0,280.0,,,,-95.0,0.0,0.0,0.0,-95.0,2.0,-93.0,-2.0,0.0,-95.0,107.75,202.75,164.0,-0.579268,-0.579268,0.657012,173.0,-0.579268,-0.579268,0.592697,
03/31/2018,1231.0,,,,,,,,,,,182,,,,,,,-55.7,,,,,17.6,,,,,,17.6,,,17.6,17.6,,,0.09,0.09,0.09,,0.09,0.09,0.09,
06/30/2018,1049.5,,,,,,,,,,,169,,,,,,,9.47,,,,,34.89,,,,,,34.89,,,34.89,34.89,,,0.2,0.2,0.2,,0.2,0.2,0.2,
