Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Other Non-Cash Adjustments,Net Ch in Operating Capital,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2003,2391.5,884.799988,,,,,,,,,,,-5782.0,11.5,11.5,0.0,-4631.5,8155.799805,,,,-12787.299805,,,,-1160.0,,,,,,,,-2.0,1599.099804,-373.799988,2253.89978,,,,,31.799999,31.799999,,-312.799988,,,-1791.400024,,,
06/30/2003,1149.400024,919.900024,,,,,,,,,,,-11204.599609,20.6,20.6,0.0,-7309.199219,21516.900391,,,,-28826.099609,,,,-3757.100098,,,,,,,,-158.900293,12034.200272,-767.200012,1881.299896,,,,,126.699997,126.699997,,10793.400391,,,1979.0,,,
09/30/2003,994.0,950.900024,,,,,,,,,,,-11721.200195,33.200001,33.200001,0.0,-7048.101562,32970.699219,,,,-40018.800781,,,,-4513.399902,,,,,,,,-192.898731,6321.19986,-1161.699951,7794.799805,,,,,179.0,179.0,,-490.899994,,,-4406.0,,,
12/31/2003,4147.3,882.9,,,,,,,,,,,29311.6,-25.6,,-25.6,54512.0,54512.0,,,,,,,,9430.5,,,,,,,,-34605.3,-770.1,,3407.0,,,,,828.1,828.1,,-6540.7,1535.5,,4822.2,1257.8,2077.0,
03/31/2004,1239.5,1008.400024,,,,,,,,,,,0.0,7.4,7.4,0.0,2309.399902,2309.399902,,,,0.0,,,,0.0,,,,,,,,-2316.799902,6762.900192,0.0,6532.200195,,,,,230.699997,230.699997,0.0,0.0,0.0,,0.0,,,
06/30/2004,1348.0,1036.900024,,,,,,,,,,,459.700012,30.6,30.6,0.0,7995.5,7995.5,,,,0.0,,,,0.0,,,,,,,,-7566.399988,2547.299988,0.0,1500.0,,,,,83.5,83.5,0.0,963.799988,0.0,,364.799988,,,
09/30/2004,1669.800049,1065.5,,,,,,,,,,,0.0,5.1,5.1,0.0,4577.100098,4577.100098,,,,0.0,,,,0.0,,,,,,,,-4582.200098,7408.499847,0.0,7279.099854,,,,,129.399994,129.399994,0.0,0.0,0.0,,0.0,,,
12/31/2004,967.5,1056.0,,,,,,,,,,,-3120.1,-55.2,7.5,-62.7,-1531.7,5595.0,,,,-7126.7,,,,-1534.1,,,,,,,,0.9,1558.8,-449.3,-2758.3,,,,,-407.6,137.0,-544.6,5174.0,0.0,,-593.8,,,
03/31/2005,871.0,1071.0,,,,,,,,,,,-3982.0,-43.0,1.0,-44.0,-1275.0,5321.0,,,,-6596.0,,,,-2551.0,,,,,,,,-113.0,2576.0,-558.0,4705.0,,,,,-548.0,90.0,-638.0,-1023.0,0.0,,-535.0,,,
06/30/2005,942.0,1121.0,,,,,,,,,,,-4193.0,-38.0,6.0,-44.0,1641.0,2682.0,,,,-1041.0,,,,-4596.0,,,,,,,,-1200.0,3835.0,-553.0,2731.0,,,,,-448.0,63.0,-511.0,2105.0,0.0,,584.0,,,
09/30/2005,1086.0,1154.0,,,,,,,,,,,-2984.0,-44.0,2.0,-46.0,341.0,3134.0,,,,-2793.0,,,,-3224.0,,,,,,,,-57.0,2355.0,-549.0,4295.0,,,,,-363.0,93.0,-456.0,-1028.0,0.0,,457.0,,,
12/31/2005,513.0,1143.0,,,,,,,,,,,-614.0,0.0,,0.0,1448.0,4166.0,,,,-2718.0,,,,-1390.0,,,,,,,,-672.0,1260.0,-585.0,-1944.0,,,,,-125.0,125.0,-250.0,3914.0,0.0,,1159.0,,,
03/31/2006,1746.0,1153.0,,,,,,,,,,,-2030.0,0.0,0.0,0.0,-462.0,1404.0,,,,-1866.0,,,,-1068.0,,,,,,,,-500.0,-720.0,-599.0,2876.0,,,,,-32.0,1117.0,-1149.0,-2965.0,0.0,,-1004.0,,,
06/30/2006,1861.0,,,,,,,,,,,,-4644.0,0.0,,0.0,-217.0,3432.0,,,,-3649.0,,,,-3691.0,,,,,,,,-736.0,2149.0,-1188.0,5524.0,,,,,-197.0,1331.0,-1528.0,-1990.0,,,-634.0,,,
09/30/2006,4512.0,,,,,,,,,,,,-7912.0,0.0,,0.0,-788.0,4306.0,,,,-5094.0,,,,-6232.0,,,,,,,,-892.0,1712.0,-1794.0,8738.0,,,,,-919.0,1561.0,-2480.0,-4313.0,,,-1688.0,,,
12/31/2006,917.0,1194.0,1132.0,,-258.0,,,-258.0,-196.0,,,,-937.0,0.0,0.0,0.0,161.0,2147.0,,,,-1986.0,,,,-1077.0,,,,,,,,-21.0,2311.0,-598.0,-991.0,,,,,-21.0,297.0,-318.0,3921.0,0.0,,2291.0,,,
03/31/2007,527.0,1130.0,,,,,,,,,,,-2761.0,0.0,0.0,,-394.0,1339.0,,,,-1733.0,,,,-1069.0,,,,,,,,-1298.0,-213.0,-721.0,8628.0,,,,,-990.0,227.0,-1217.0,-7130.0,0.0,,-2447.0,,,
06/30/2007,448.0,1156.0,,,,,,,,,,,-572.0,0.0,0.0,0.0,269.0,1653.0,,,,-1384.0,,,,-851.0,,,,,,,,10.0,428.0,-712.0,-16.0,,,,,-486.0,78.0,-564.0,1642.0,0.0,,304.0,,,
09/30/2007,1043.0,1096.0,,,,,,,,,,,-3809.0,0.0,0.0,0.0,-576.0,1696.0,,,,-2272.0,,,,-3266.0,,,,,,,,33.0,2950.0,-707.0,744.0,,,,,-133.0,69.0,-202.0,3046.0,0.0,,184.0,,,
12/31/2007,584.0,942.0,,,,,,,,,,,-7864.0,0.0,0.0,0.0,-2769.0,1658.0,,,,-4427.0,,,,-5007.0,,,,,,,,-88.0,9619.0,-705.0,1574.0,,,,,53.0,53.0,0.0,8697.0,0.0,,2339.0,,,
03/31/2008,1138.0,1090.0,,,,,,,,,,,-5563.0,0.0,0.0,0.0,621.0,1703.0,,,,-1082.0,,,,-4825.0,,,,,,,,-1359.0,2864.0,-749.0,-3946.0,,,,,734.0,734.0,0.0,6825.0,0.0,,-1561.0,,,
06/30/2008,1560.0,950.0,,650.0,,,,,,,,,-3779.0,0.0,0.0,0.0,868.0,2908.0,,,,-2040.0,,,,-5299.0,,,,,,,,652.0,2044.0,-751.0,8623.0,,,,,90.0,90.0,0.0,-5918.0,0.0,,-175.0,,,
09/30/2008,1815.0,576.0,,1239.0,,,,,,,,,-3570.0,0.0,0.0,0.0,982.0,1273.0,,,,-291.0,,,,-4494.0,,,,,,,,-58.0,614.0,-753.0,-3331.0,,,,,325.0,325.0,0.0,4373.0,0.0,,-1141.0,,,
12/31/2008,1334.0,330.0,,792.0,-2641.0,,,-2641.0,541.0,,,,-4501.0,0.0,0.0,0.0,-690.0,1972.0,,,,-2662.0,,,,-3612.0,,,,,,,,-199.0,2925.0,-774.0,-10789.0,,,,,6629.0,6629.0,0.0,7859.0,0.0,,-242.0,,,
03/31/2009,1847.0,529.0,,1318.0,,,,,,,,0.0,2548.0,0.0,0.0,0.0,1688.0,4549.0,0.0,4549.0,0.0,-2861.0,0.0,-2861.0,0.0,-115.0,-223.0,0.0,108.0,0.0,0.0,0.0,0.0,975.0,-5100.0,-853.0,-7463.0,-7976.0,0.0,2597.0,-2084.0,0.0,0.0,0.0,3216.0,0.0,0.0,-705.0,,,
06/30/2009,-1073.0,471.0,,1395.0,,,,,,,,0.0,223.0,0.0,0.0,0.0,-947.0,2919.0,0.0,2919.0,0.0,-3866.0,0.0,-3866.0,0.0,1085.0,589.0,,496.0,222.0,0.0,222.0,0.0,-137.0,1077.0,-218.0,4119.0,3691.0,0.0,2085.0,-1657.0,-3915.0,2684.0,-6599.0,1091.0,0.0,0.0,227.0,,,
09/30/2009,3446.0,603.0,,1456.0,,,,,,,,0.0,-2826.0,0.0,0.0,0.0,-596.0,2897.0,0.0,2897.0,0.0,-3493.0,0.0,-3493.0,0.0,-2229.0,-253.0,,-1976.0,-2.0,220.0,-222.0,0.0,1.0,-1985.0,-114.0,-7608.0,-1532.0,0.0,350.0,-6426.0,-135.0,4.0,-139.0,5872.0,0.0,0.0,-1365.0,,,
12/31/2009,3380.0,602.0,,1388.0,,,,,,,,0.0,-664.0,0.0,0.0,0.0,-2167.0,2737.0,11.0,2726.0,0.0,-4904.0,-5.0,-4899.0,0.0,-438.0,-219.0,,-219.0,2854.0,-220.0,3074.0,0.0,-913.0,-1526.0,-115.0,804.0,1369.0,0.0,1008.0,-1573.0,6614.0,6614.0,,-2230.0,-6599.0,0.0,1190.0,,,
03/31/2010,2876.0,669.0,,1310.0,,,,,,,,0.0,1081.0,0.0,0.0,0.0,-1211.0,4058.0,66.0,3992.0,0.0,-5269.0,-64.0,-5205.0,0.0,1762.0,1944.0,0.0,-182.0,832.0,0.0,832.0,0.0,-302.0,-1783.0,-115.0,-2010.0,-769.0,0.0,902.0,-2143.0,28.0,28.0,0.0,314.0,0.0,0.0,2174.0,,,
06/30/2010,1084.0,766.0,,1139.0,,,,,,,,0.0,-3492.0,0.0,0.0,0.0,-983.0,3716.0,34.0,3682.0,0.0,-4699.0,0.0,-4699.0,0.0,-2032.0,-1437.0,0.0,-595.0,0.0,0.0,0.0,0.0,-477.0,-939.0,-115.0,81.0,2601.0,0.0,2021.0,-4541.0,15.0,15.0,0.0,-916.0,-4.0,0.0,-3347.0,,,
09/30/2010,-1154.0,908.0,,995.0,,,,,,,,0.0,-5304.0,0.0,0.0,0.0,-178.0,4283.0,0.0,4283.0,0.0,-4461.0,0.0,-4461.0,0.0,-4754.0,-3227.0,,-1527.0,0.0,832.0,-832.0,0.0,-372.0,5895.0,-113.0,1712.0,544.0,0.0,2426.0,-1258.0,13.0,13.0,0.0,4283.0,0.0,0.0,-563.0,,,
12/31/2010,2435.0,974.0,149.0,912.0,32874.0,32330.0,-79.0,623.0,-32474.0,-33969.0,1495.0,0.0,-8657.0,0.0,0.0,0.0,-5216.0,5390.0,34.0,5356.0,0.0,-10606.0,-946.0,-9660.0,0.0,-3747.0,-3602.0,0.0,-145.0,91.0,0.0,91.0,0.0,215.0,16239.0,-129.0,-541.0,-1784.0,0.0,1695.0,-452.0,63.0,63.0,0.0,16846.0,0.0,0.0,10017.0,,,
03/31/2011,6228.0,1046.0,137.0,755.0,-11261.0,-11476.0,-50.0,265.0,15551.0,15551.0,,0.0,-7488.0,0.0,0.0,0.0,-6988.0,3432.0,102.0,3330.0,0.0,-10420.0,-6524.0,-3896.0,0.0,-1019.0,-672.0,0.0,-347.0,650.0,0.0,650.0,0.0,-131.0,573.0,-115.0,-1660.0,-1652.0,0.0,370.0,-378.0,94.0,94.0,0.0,2254.0,0.0,0.0,-687.0,,,
06/30/2011,2581.0,1203.0,141.0,572.0,11481.0,11340.0,345.0,-204.0,-10816.0,-10816.0,,0.0,-7818.0,0.0,0.0,0.0,-4504.0,2698.0,279.0,2419.0,0.0,-7202.0,-5348.0,-1854.0,0.0,-2825.0,-2354.0,0.0,-471.0,0.0,0.0,0.0,0.0,-489.0,6687.0,-280.0,-309.0,-1367.0,0.0,1164.0,-106.0,686.0,686.0,0.0,6590.0,0.0,0.0,1450.0,,,
09/30/2011,-54.0,1273.0,143.0,519.0,-30491.0,-30332.0,-45.0,-114.0,28502.0,28502.0,,0.0,-8883.0,0.0,0.0,0.0,-2587.0,3382.0,333.0,3049.0,0.0,-5969.0,-3320.0,-2649.0,0.0,-5910.0,-5432.0,0.0,-478.0,0.0,0.0,0.0,0.0,-386.0,7395.0,-271.0,279.0,2375.0,0.0,468.0,-2564.0,-362.0,21.0,-383.0,7749.0,0.0,0.0,-1542.0,,,
12/31/2011,1065.0,1350.0,144.0,497.0,-16043.0,-17043.0,498.0,502.0,15117.0,15117.0,,0.0,-8515.0,0.0,,0.0,-2515.0,5623.0,690.0,4933.0,0.0,-8138.0,-3308.0,-4830.0,0.0,-5922.0,-4960.0,,-962.0,-14.0,0.0,-14.0,0.0,-64.0,7704.0,-269.0,-204.0,-1561.0,0.0,1609.0,-252.0,-76.0,55.0,-131.0,8253.0,0.0,0.0,254.0,,,
03/31/2012,3091.0,1338.0,140.0,481.0,-19591.0,-19204.0,73.0,-460.0,20723.0,20723.0,,0.0,-5782.0,0.0,0.0,0.0,-3134.0,5055.0,810.0,4245.0,0.0,-8189.0,-3451.0,-4738.0,0.0,-2708.0,-2117.0,0.0,-591.0,108.0,0.0,108.0,0.0,-48.0,-1710.0,-269.0,-4609.0,-3015.0,0.0,1085.0,-2679.0,748.0,1186.0,-438.0,2420.0,0.0,0.0,-4401.0,,,
06/30/2012,537.0,1415.0,141.0,470.0,19678.0,17914.0,-99.0,1863.0,-21167.0,-21167.0,,0.0,-4492.0,0.0,,0.0,423.0,5191.0,1202.0,3989.0,0.0,-4768.0,-2645.0,-2123.0,0.0,-4690.0,-4370.0,,-320.0,-14.0,0.0,-14.0,0.0,-211.0,9797.0,-417.0,1708.0,3230.0,0.0,1535.0,-3057.0,743.0,1168.0,-425.0,7763.0,0.0,,5842.0,,,
09/30/2012,247.0,1474.0,139.0,488.0,-1019.0,-890.0,55.0,-184.0,-835.0,-835.0,,0.0,-2989.0,0.0,,0.0,65.0,7176.0,1993.0,5183.0,0.0,-7111.0,-1907.0,-5204.0,0.0,-2645.0,-3031.0,,386.0,0.0,0.0,0.0,0.0,-409.0,-3279.0,-433.0,-5433.0,-2831.0,0.0,1933.0,-4535.0,-329.0,151.0,-480.0,2916.0,0.0,,-6021.0,,,
12/31/2012,4083.0,1420.0,141.0,443.0,-283.0,-951.0,20.0,648.0,2362.0,2362.0,,0.0,-6990.0,0.0,0.0,0.0,-436.0,6348.0,2331.0,4017.0,0.0,-6784.0,-2244.0,-4540.0,0.0,-5961.0,-5640.0,,-321.0,0.0,0.0,0.0,0.0,-593.0,1777.0,-432.0,-2282.0,-1551.0,0.0,413.0,-1144.0,-460.0,53.0,-513.0,4951.0,0.0,,-1130.0,,,
03/31/2013,1668.0,1428.0,131.0,403.0,-21357.0,-20951.0,10.0,-416.0,21063.0,21063.0,,0.0,-1524.0,0.0,0.0,0.0,-907.0,5794.0,2425.0,3369.0,0.0,-6701.0,-2776.0,-3925.0,0.0,-759.0,-317.0,0.0,-442.0,0.0,0.0,0.0,0.0,142.0,-1464.0,-431.0,559.0,824.0,0.0,105.0,-370.0,-421.0,79.0,-500.0,-1171.0,0.0,0.0,-1320.0,,,
06/30/2013,4848.0,1484.0,129.0,362.0,20446.0,20051.0,-116.0,511.0,-17573.0,-17573.0,,0.0,-5819.0,0.0,0.0,0.0,-409.0,5647.0,2263.0,3384.0,0.0,-6056.0,-2250.0,-3806.0,0.0,-5159.0,-4822.0,0.0,-337.0,0.0,0.0,0.0,0.0,-251.0,657.0,-432.0,-1925.0,-947.0,0.0,26.0,-1004.0,-42.0,577.0,-619.0,3556.0,-500.0,0.0,-314.0,,,
09/30/2013,2141.0,1468.0,129.0,298.0,-698.0,-6.0,68.0,-760.0,944.0,944.0,,0.0,-5320.0,0.0,0.0,0.0,-1489.0,4574.0,2166.0,2408.0,0.0,-6063.0,-4413.0,-1650.0,0.0,-3840.0,-3356.0,0.0,-484.0,0.0,0.0,0.0,0.0,9.0,8176.0,-484.0,-990.0,-51.0,0.0,67.0,-1006.0,-998.0,162.0,-1160.0,10148.0,500.0,0.0,4997.0,,,
12/31/2013,2789.0,1456.0,131.0,277.0,376.0,-212.0,-31.0,619.0,549.0,549.0,,0.0,-8361.0,0.0,0.0,0.0,-3878.0,3666.0,1733.0,1933.0,0.0,-7544.0,-3779.0,-3765.0,0.0,-4222.0,-3836.0,0.0,-386.0,-58.0,0.0,-58.0,0.0,-203.0,2434.0,-483.0,2820.0,1480.0,0.0,1843.0,-503.0,-310.0,,,407.0,0.0,0.0,-3138.0,,,
03/31/2014,2772.0,1397.0,123.0,306.0,-6081.0,-5617.0,-77.0,-387.0,7027.0,7027.0,,0.0,-8645.0,0.0,0.0,0.0,-5347.0,4084.0,2559.0,1525.0,0.0,-9431.0,-4369.0,-5062.0,0.0,-3520.0,-3146.0,0.0,-374.0,0.0,0.0,0.0,0.0,222.0,4804.0,-482.0,6994.0,3173.0,0.0,4815.0,-994.0,-197.0,236.0,-433.0,-1511.0,0.0,0.0,-1069.0,,,
06/30/2014,1112.0,1495.0,123.0,324.0,5592.0,4967.0,42.0,583.0,-6422.0,-6422.0,,0.0,-5867.0,0.0,0.0,0.0,-4726.0,4021.0,2353.0,1668.0,0.0,-8747.0,-3649.0,-5098.0,0.0,-4948.0,-4679.0,0.0,-269.0,3691.0,0.0,3691.0,0.0,116.0,9983.0,-480.0,134.0,-1926.0,0.0,3155.0,-1095.0,-528.0,90.0,-618.0,10857.0,0.0,0.0,5228.0,,,
09/30/2014,582.0,1471.0,127.0,311.0,-508.0,-298.0,-1.0,-209.0,-819.0,-819.0,,0.0,-8860.0,0.0,0.0,0.0,-6565.0,4455.0,2303.0,2152.0,0.0,-11020.0,-4553.0,-6467.0,0.0,-2113.0,-2218.0,0.0,105.0,-255.0,0.0,-255.0,0.0,73.0,1825.0,-504.0,6091.0,1190.0,0.0,5008.0,-107.0,-602.0,51.0,-653.0,-3160.0,0.0,,-6453.0,,,
12/31/2014,866.0,1488.0,128.0,288.0,-31214.0,-31306.0,,92.0,30176.0,30176.0,,0.0,-6440.0,0.0,0.0,0.0,-3545.0,4606.0,2264.0,2342.0,0.0,-8151.0,-3026.0,-5125.0,0.0,-2990.0,-2830.0,0.0,-160.0,0.0,0.0,0.0,0.0,95.0,10045.0,-503.0,1332.0,-152.0,0.0,3416.0,-1932.0,-420.0,76.0,-496.0,9636.0,0.0,0.0,4471.0,,,
03/31/2015,1751.0,1431.0,120.0,264.0,-9949.0,-10330.0,,381.0,9885.0,9885.0,,0.0,-2501.0,0.0,0.0,0.0,-1203.0,5557.0,2334.0,3223.0,0.0,-6760.0,-2977.0,-3783.0,0.0,-894.0,-843.0,0.0,-51.0,0.0,0.0,0.0,0.0,-404.0,4168.0,-500.0,1112.0,-1667.0,0.0,3322.0,-543.0,-312.0,152.0,-464.0,3868.0,0.0,0.0,3418.0,,,
06/30/2015,1646.0,1483.0,120.0,281.0,10276.0,9726.0,,550.0,-10514.0,-10514.0,,0.0,-5623.0,0.0,0.0,0.0,-1258.0,6858.0,3103.0,3755.0,0.0,-8116.0,-3746.0,-4370.0,0.0,-3632.0,-3573.0,0.0,-59.0,0.0,0.0,0.0,0.0,-733.0,7830.0,-498.0,-1330.0,-442.0,0.0,60.0,-948.0,-589.0,36.0,-625.0,10247.0,0.0,0.0,3853.0,,,
09/30/2015,2854.0,1489.0,118.0,282.0,-223.0,-468.0,,245.0,1188.0,1188.0,,0.0,-4987.0,0.0,0.0,0.0,-1586.0,6459.0,2801.0,3658.0,0.0,-8045.0,-1267.0,-6778.0,0.0,-3540.0,-2826.0,,-714.0,0.0,0.0,0.0,0.0,139.0,-5342.0,-513.0,-2627.0,-869.0,0.0,1533.0,-3291.0,-618.0,74.0,-692.0,-1584.0,0.0,,-7475.0,,,
12/31/2015,2531.0,1476.0,123.0,305.0,-713.0,-324.0,,-389.0,1340.0,1340.0,,0.0,-8039.0,0.0,0.0,0.0,-1037.0,5778.0,2329.0,3449.0,0.0,-6815.0,-1244.0,-5571.0,0.0,-6474.0,-4546.0,0.0,-1928.0,0.0,0.0,0.0,0.0,-528.0,6205.0,-508.0,585.0,962.0,0.0,152.0,-529.0,369.0,778.0,-409.0,5759.0,0.0,0.0,697.0,,,
03/31/2016,1261.0,1386.0,119.0,330.0,111.0,-284.0,,395.0,-685.0,-685.0,,0.0,-4889.0,0.0,0.0,0.0,-978.0,5830.0,2088.0,3742.0,0.0,-6808.0,-625.0,-6183.0,0.0,-4061.0,-3702.0,0.0,-359.0,0.0,0.0,0.0,0.0,150.0,3462.0,-513.0,-1400.0,-4100.0,0.0,6607.0,-3907.0,-535.0,33.0,-568.0,5950.0,-40.0,0.0,-166.0,,,
06/30/2016,1423.0,1522.0,117.0,327.0,-362.0,-503.0,,141.0,-181.0,-181.0,,0.0,-5205.0,0.0,,0.0,-1176.0,10183.0,2415.0,7768.0,0.0,-11359.0,-2338.0,-9021.0,0.0,-4305.0,-4323.0,,18.0,0.0,0.0,0.0,0.0,276.0,6839.0,-505.0,-3279.0,-5344.0,0.0,2542.0,-477.0,-619.0,80.0,-699.0,11242.0,0.0,,3057.0,,,
09/30/2016,554.0,1502.0,117.0,325.0,-314.0,-429.0,,115.0,-1076.0,-1076.0,,0.0,-5147.0,0.0,,0.0,-1632.0,9526.0,2613.0,6913.0,0.0,-11158.0,-3465.0,-7693.0,0.0,-3051.0,-3038.0,,-13.0,0.0,0.0,0.0,0.0,-464.0,14219.0,-519.0,-1678.0,-2738.0,0.0,1482.0,-422.0,-589.0,46.0,-635.0,17005.0,0.0,,9626.0,,,
12/31/2016,2098.0,1478.0,117.0,342.0,-519.0,-355.0,,-164.0,680.0,680.0,,0.0,-2717.0,0.0,0.0,0.0,-834.0,8696.0,2617.0,6079.0,0.0,-9530.0,-2743.0,-6787.0,0.0,-2243.0,-2320.0,0.0,77.0,0.0,0.0,0.0,0.0,360.0,-7340.0,-540.0,-6337.0,-1732.0,0.0,84.0,-4689.0,-458.0,196.0,-654.0,-5.0,0.0,0.0,-7959.0,,,
03/31/2017,3190.0,1473.0,117.0,345.0,-911.0,-262.0,,-649.0,2166.0,2166.0,,0.0,-1721.0,0.0,0.0,0.0,-1054.0,5699.0,2085.0,3614.0,0.0,-6753.0,-2500.0,-4253.0,0.0,-743.0,-250.0,0.0,-493.0,0.0,0.0,0.0,0.0,76.0,3145.0,-558.0,909.0,-1780.0,0.0,3162.0,-473.0,511.0,1105.0,-594.0,2283.0,0.0,0.0,4614.0,,,
06/30/2017,1589.0,1500.0,116.0,350.0,419.0,-337.0,,756.0,-796.0,-796.0,,0.0,-5093.0,0.0,0.0,0.0,-384.0,7530.0,2009.0,5521.0,0.0,-7914.0,-2284.0,-5630.0,0.0,-4065.0,-3872.0,0.0,-193.0,0.0,0.0,0.0,0.0,-644.0,12149.0,-545.0,4063.0,2229.0,0.0,3536.0,-1702.0,-1758.0,15.0,-1773.0,10389.0,0.0,0.0,8645.0,,,
