Date,Revenue,Sales & Services Revenue,Financing Revenue,Other Revenue,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2013,957.0,859.0,57.0,41.0,0.0,-941.0,117.0,50.0,67.0,,42.0,782.0,16.0,-92.0,89.0,3.0,-76.0,-7.0,,,9.0,-74.0,0.0,0.0,0.0,-74.0,-1.0,-75.0,0.0,0.0,-75.0,-73.05,1.95,145.1,-0.52,-0.52,-0.503446,145.1,-0.52,-0.52,-0.506561,
06/30/2013,1533.0,1402.0,91.0,40.0,0.0,-1343.0,142.0,49.0,93.0,,44.0,1157.0,190.0,-108.0,67.0,41.0,82.0,-9.0,,,13.0,86.0,0.0,0.0,0.0,86.0,-2.0,84.0,0.0,0.0,84.0,114.55,30.55,145.4,0.58,0.58,0.787827,146.6,0.57,0.57,0.77839,
09/30/2013,1553.0,1423.0,94.0,36.0,0.0,-1341.0,138.0,50.0,88.0,,44.0,1159.0,212.0,-97.0,74.0,23.0,115.0,-9.0,,,4.0,110.0,0.0,0.0,0.0,110.0,-1.0,109.0,0.0,0.0,109.0,123.3,14.3,145.6,0.75,0.75,0.846841,146.8,0.74,0.74,0.837411,
12/31/2013,1246.0,1129.0,80.0,37.0,0.0,-1139.0,129.0,50.0,79.0,,46.0,964.0,107.0,-53.0,51.0,2.0,54.0,267.0,,,,321.0,0.0,0.0,0.0,321.0,-1.0,320.0,0.0,0.0,320.0,320.0,0.0,145.5,2.2,2.2,2.2,147.9,2.18,2.18,2.18,
03/31/2014,1007.0,903.0,63.0,41.0,0.0,-1004.0,121.0,51.0,70.0,,46.0,837.0,3.0,-80.0,70.0,10.0,-77.0,34.0,,,-3.0,-46.0,0.0,0.0,0.0,-46.0,0.0,-46.0,0.0,0.0,-46.0,-33.65,12.35,145.8,-0.32,-0.32,-0.230796,145.8,-0.32,-0.32,-0.235295,
06/30/2014,1512.0,1381.0,92.0,39.0,0.0,-1307.0,117.0,52.0,65.0,,46.0,1144.0,205.0,-89.0,73.0,16.0,116.0,-51.0,,,4.0,69.0,0.0,0.0,0.0,69.0,-1.0,68.0,0.0,0.0,68.0,92.912,24.912,145.9,0.47,0.47,0.63682,146.8,0.46,0.46,0.6297,
09/30/2014,1531.0,1393.0,96.0,42.0,0.0,-1311.0,131.0,52.0,79.0,,48.0,1132.0,220.0,-53.0,54.0,-1.0,167.0,-71.0,,,6.0,102.0,0.0,0.0,0.0,102.0,-2.0,100.0,0.0,0.0,100.0,101.95,1.95,146.0,0.68,0.68,0.698288,147.0,0.68,0.68,0.693265,
12/31/2014,1278.0,1153.0,82.0,43.0,0.0,-1169.0,138.0,59.0,79.0,,50.0,981.0,109.0,-90.0,70.0,20.0,19.0,1.0,,,2.0,22.0,0.0,0.0,0.0,22.0,-1.0,21.0,0.0,0.0,21.0,12.036,-6.45,146.3,0.143,0.143,0.103,149.2,0.141,0.141,0.101,
03/31/2015,1062.0,952.0,67.0,43.0,0.0,-1052.0,134.0,56.0,78.0,,46.0,872.0,10.0,-68.0,68.0,0.0,-58.0,24.0,,,2.0,-32.0,0.0,0.0,0.0,-32.0,,-32.0,0.0,0.0,-32.0,-34.6,-2.6,146.3,-0.22,-0.22,-0.2365,146.3,-0.22,-0.22,-0.237772,
06/30/2015,1651.0,1506.0,99.0,46.0,0.0,-1445.0,151.0,59.0,92.0,,52.0,1242.0,206.0,-49.0,50.0,-1.0,157.0,-66.0,,,7.0,98.0,0.0,0.0,0.0,98.0,-1.0,97.0,0.0,0.0,97.0,100.6,2.6,146.5,0.66,0.66,0.679863,148.0,0.66,0.66,0.677568,
09/30/2015,1668.0,1516.0,103.0,49.0,0.0,-1418.0,141.0,56.0,85.0,,55.0,1222.0,250.0,-68.0,70.0,-2.0,182.0,-74.0,,,4.0,112.0,0.0,0.0,0.0,112.0,-2.0,110.0,0.0,0.0,110.0,112.3,2.3,146.6,0.75,0.75,0.76603,148.1,0.74,0.74,0.75553,
12/31/2015,1325.0,1196.0,84.0,45.0,0.0,-1233.0,137.0,55.0,82.0,,48.0,1048.0,92.0,-91.0,43.0,48.0,1.0,6.0,,,3.0,10.0,0.0,0.0,0.0,10.0,-1.0,9.0,0.0,0.0,9.0,64.1,56.1,146.6,0.061392,0.061392,0.444065,150.0,0.06,0.06,0.434,
03/31/2016,1134.0,1016.0,69.0,49.0,0.0,-1127.0,144.0,58.0,86.0,,48.0,935.0,7.0,-73.0,73.0,0.0,-66.0,24.0,,,0.0,-42.0,0.0,0.0,0.0,-42.0,0.0,-42.0,0.0,0.0,-42.0,-10.2,31.8,146.5,-0.29,-0.29,-0.069625,146.5,-0.29,-0.29,-0.072935,
06/30/2016,1662.0,1503.0,104.0,55.0,0.0,-1450.0,135.0,65.0,70.0,,48.0,1267.0,212.0,-59.0,59.0,0.0,153.0,-64.0,,,5.0,94.0,0.0,0.0,0.0,94.0,-2.0,92.0,0.0,0.0,92.0,108.0,16.0,145.5,0.63,0.63,0.742268,146.7,0.63,0.63,0.739066,
09/30/2016,1644.0,1484.0,107.0,53.0,0.0,-1432.0,136.0,58.0,78.0,,53.0,1243.0,212.0,-36.0,37.0,-1.0,176.0,-74.0,,,5.0,107.0,0.0,0.0,0.0,107.0,-1.0,106.0,0.0,0.0,106.0,108.0,2.0,144.0,0.74,0.74,0.75,145.1,0.73,0.73,0.743784,
12/31/2016,1370.0,1229.0,92.0,49.0,0.0,-1279.0,147.0,60.0,87.0,,53.0,1079.0,91.0,-5.0,5.0,0.0,86.0,-30.0,,,2.0,58.0,0.0,0.0,0.0,58.0,-1.0,57.0,0.0,0.0,57.0,44.9,-12.1,142.0,0.401408,0.401408,0.316197,144.9,0.393375,0.393375,0.309869,
03/31/2017,1203.0,1075.0,75.0,53.0,0.0,-1194.0,158.0,62.0,96.0,,50.0,986.0,9.0,-43.0,39.0,4.0,-34.0,9.0,,,-3.0,-28.0,0.0,0.0,0.0,-28.0,0.0,-28.0,0.0,0.0,-28.0,-23.0,5.0,139.7,-0.2,-0.2,-0.164639,139.7,-0.2,-0.2,-0.164639,
06/30/2017,1793.0,1629.0,110.0,54.0,0.0,-1563.0,168.0,70.0,98.0,,49.0,1346.0,230.0,-47.0,47.0,0.0,183.0,-73.0,,,0.0,110.0,0.0,0.0,0.0,110.0,-1.0,109.0,0.0,0.0,109.0,107.0,-2.0,137.6,0.79,0.79,0.777616,138.9,0.78,0.78,0.765601,
09/30/2017,1674.0,1511.0,111.0,52.0,0.0,-1479.0,145.0,63.0,82.0,,50.0,1284.0,195.0,-42.0,41.0,1.0,153.0,-67.0,,,10.0,96.0,0.0,0.0,0.0,96.0,-1.0,95.0,0.0,0.0,95.0,97.0,2.0,136.1,0.7,0.7,0.712711,138.1,0.69,0.69,0.704482,
12/31/2017,1444.0,1299.0,100.0,45.0,0.0,-1363.0,161.0,66.0,95.0,,49.0,1153.0,81.0,-32.0,31.0,1.0,49.0,196.0,,,11.0,256.0,0.0,0.0,0.0,256.0,-1.0,255.0,0.0,0.0,255.0,35.0,-220.0,133.4,1.91,1.91,0.262369,135.2,1.89,1.89,0.262369,
03/31/2018,1229.0,1099.0,79.0,51.0,0.0,-1271.0,156.0,67.0,89.0,,48.0,1067.0,-42.0,-40.0,33.0,7.0,-82.0,19.0,,,-4.0,-67.0,0.0,0.0,0.0,-67.0,0.0,-67.0,0.0,0.0,-67.0,-49.0,18.0,130.3,-0.51,-0.51,-0.376055,130.3,-0.51,-0.51,-0.376055,
06/30/2018,1820.0,1651.0,114.0,55.0,0.0,-1600.0,144.0,69.0,75.0,,49.0,1407.0,220.0,-46.0,46.0,0.0,174.0,-52.0,,,2.0,124.0,0.0,0.0,0.0,124.0,-1.0,123.0,0.0,0.0,123.0,127.0,4.0,126.5,0.97,0.97,1.003953,127.6,0.96,0.96,0.991348,
09/30/2018,1676.0,1514.0,109.0,53.0,0.0,-1490.0,143.0,63.0,80.0,,49.0,1298.0,186.0,-41.0,41.0,0.0,145.0,-40.0,,,-1.0,104.0,0.0,0.0,0.0,104.0,-1.0,103.0,0.0,0.0,103.0,104.0,1.0,122.7,0.84,0.84,0.847596,123.6,0.83,0.83,0.838091,
12/31/2018,1285.0,1148.0,91.0,46.0,0.0,-1237.0,126.0,58.0,68.0,0.0,42.0,1069.0,48.0,-70.0,70.0,0.0,-22.0,5.0,,,-1.0,-18.0,3.0,3.0,0.0,-21.0,-1.0,-22.0,0.0,0.0,-22.0,5.0,24.0,116.7,-0.19,-0.16,0.042845,116.7,-0.19,-0.16,0.042845,
03/31/2019,1054.0,928.0,70.0,56.0,0.0,-1104.0,148.0,68.0,80.0,,41.0,915.0,-50.0,-68.0,63.0,5.0,-118.0,32.0,,,1.0,-85.0,14.0,14.0,0.0,-99.0,0.0,-99.0,0.0,0.0,-99.0,-64.0,21.0,114.0,-0.87,-0.75,-0.561404,114.0,-0.87,-0.75,-0.565789,
06/30/2019,1735.0,1563.0,112.0,60.0,0.0,-1557.0,151.0,69.0,82.0,,50.0,1356.0,178.0,-81.0,81.0,0.0,97.0,-34.0,,,7.0,70.0,0.0,0.0,0.0,70.0,-1.0,69.0,0.0,0.0,69.0,94.999995,25.999995,114.3,0.6,0.6,0.831146,114.9,0.6,0.6,0.826284,
09/30/2019,1629.0,1470.0,108.0,51.0,0.0,-1657.0,149.0,64.0,85.0,,50.0,1458.0,-28.0,-56.0,66.0,-10.0,-84.0,8.0,,,7.0,-69.0,0.0,0.0,0.0,-69.0,-1.0,-70.0,0.0,0.0,-70.0,74.0,144.0,114.3,-0.61,-0.61,0.647419,114.3,-0.61,-0.61,0.647419,
12/31/2019,1330.0,1190.0,96.0,44.0,0.0,-1275.0,133.0,62.0,71.0,0.0,43.0,1099.0,55.0,-40.0,40.0,0.0,15.0,0.0,0.0,0.0,3.0,18.0,62.0,62.0,0.0,-44.0,-1.0,-45.0,0.0,0.0,-45.0,23.0,6.0,114.3,-0.39,0.15,0.201225,114.3,-0.39,0.15,0.201225,
03/31/2020,1116.0,1001.0,71.0,44.0,0.0,-1591.0,133.0,59.0,74.0,,45.0,1413.0,-475.0,-101.0,101.0,0.0,-576.0,132.0,,,9.0,-435.0,27.0,27.0,0.0,-462.0,0.0,-462.0,0.0,0.0,-462.0,-389.687623,45.312377,114.7,-4.03,-3.79,-3.397451,114.7,-4.03,-3.79,-3.397451,
06/30/2020,1207.0,1091.0,85.0,31.0,0.0,-1137.0,99.0,40.0,59.0,,46.0,992.0,70.0,-67.0,59.0,8.0,3.0,-11.0,,,36.0,28.0,41.0,41.0,0.0,-13.0,-1.0,-14.0,0.0,0.0,-14.0,54.0,27.0,115.4,-0.12,0.23,0.467938,116.2,-0.12,0.23,0.462358,
09/30/2020,1598.0,,,,,,,,,,,,,,,,100.8,,,,,83.06,,,,,,83.06,,,83.06,80.06,,,0.628,0.628,0.71,,0.628,0.628,0.71,
12/31/2020,1366.6,,,,,,,,,,,,,,,,13.02,,,,,16.34,,,,,,16.34,,,16.34,12.34,,,0.063,0.063,0.124,,0.063,0.063,0.124,
