Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2011,1593.0,1593.0,-1339.0,1339.0,254.0,0.0,-444.0,153.0,153.0,,291.0,-190.0,-30.0,,30.0,,,0.0,-220.0,-28.0,-248.0,0.0,0.0,0.0,-248.0,0.0,-248.0,0.0,0.0,-248.0,52.0,300.0,48.9,-5.07,-5.07,1.063395,48.9,-5.07,-5.07,1.063395,
12/31/2011,1735.0,1735.0,-1479.0,1479.0,256.0,0.0,-142.0,163.0,163.0,,-21.0,114.0,-29.0,,29.0,,,0.0,85.0,-22.0,63.0,0.0,0.0,0.0,63.0,0.0,63.0,0.0,0.0,63.0,63.0,-6.5,48.7,1.293634,1.293634,1.160164,48.7,1.293634,1.293634,1.160164,
03/31/2012,1568.0,1568.0,-1341.0,1341.0,227.0,0.0,-147.0,150.0,150.0,,-3.0,80.0,-30.0,,30.0,,,0.0,50.0,-17.0,33.0,0.0,0.0,0.0,33.0,0.0,33.0,0.0,0.0,33.0,33.0,0.0,49.0,0.67,0.67,0.67,49.5,0.67,0.67,0.67,
06/30/2012,1721.0,1721.0,-1443.0,1443.0,278.0,0.0,-172.0,176.0,176.0,,-4.0,106.0,-29.0,,29.0,,,0.0,77.0,-27.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,50.0,50.0,0.0,49.5,1.01,1.01,1.01,50.1,1.0,1.0,1.0,
09/30/2012,1596.0,1596.0,-1373.0,1373.0,223.0,0.0,-157.0,164.0,164.0,,-7.0,66.0,-29.0,,29.0,,,0.0,37.0,-24.0,13.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,13.0,13.0,0.0,49.6,0.26,0.26,0.26,50.3,0.26,0.26,0.26,
12/31/2012,1823.0,1823.0,-1475.0,1475.0,348.0,0.0,-242.0,228.0,228.0,21.0,-7.0,106.0,-29.0,,29.0,,,0.0,77.0,-27.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,50.0,-96.0,0.0,49.5,1.02,1.02,1.02,50.5,0.98,0.98,0.98,
03/31/2013,1562.0,1562.0,-1299.0,1299.0,263.0,0.0,-168.0,170.0,170.0,,-2.0,95.0,-30.0,,30.0,,,0.0,65.0,-21.0,44.0,0.0,0.0,0.0,44.0,0.0,44.0,0.0,0.0,44.0,44.0,0.0,49.8,0.88,0.88,0.88,50.3,0.87,0.87,0.87,
06/30/2013,1683.0,1683.0,-1384.0,1384.0,299.0,0.0,-183.0,185.0,185.0,,-2.0,116.0,-29.0,,29.0,,,0.0,87.0,-30.0,57.0,0.0,0.0,0.0,57.0,0.0,57.0,0.0,0.0,57.0,57.0,0.0,50.2,1.14,1.14,1.14,50.7,1.12,1.12,1.12,
09/30/2013,1637.0,1637.0,-1333.0,1333.0,304.0,0.0,-177.0,186.0,186.0,,-9.0,127.0,-28.0,,28.0,,,0.0,99.0,-30.0,69.0,0.0,0.0,0.0,69.0,0.0,69.0,0.0,0.0,69.0,50.0,-19.0,49.9,1.38,1.38,1.002004,50.6,1.36,1.36,0.984506,
12/31/2013,1938.0,1938.0,-1567.0,1567.0,371.0,0.0,-197.0,198.0,198.0,,-1.0,174.0,-31.0,,31.0,,,0.0,143.0,-52.0,91.0,0.0,0.0,0.0,91.0,0.0,91.0,0.0,0.0,91.0,79.0,-12.0,48.9,1.860941,1.860941,1.615542,50.0,1.82,1.82,1.58,
03/31/2014,1594.0,1594.0,-1287.0,1287.0,307.0,0.0,-148.0,150.0,150.0,,-2.0,159.0,-27.0,27.0,27.0,0.0,,0.0,132.0,-42.0,90.0,0.0,0.0,0.0,90.0,0.0,90.0,0.0,0.0,90.0,90.0,0.0,49.1,1.83,1.83,1.83,49.7,1.81,1.81,1.81,
06/30/2014,1719.0,1719.0,-1369.0,1369.0,350.0,0.0,-169.0,170.0,170.0,,-1.0,181.0,-29.0,29.0,29.0,0.0,,0.0,152.0,-52.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,48.8,2.05,2.05,2.05,49.1,2.04,2.04,2.04,
09/30/2014,1717.0,1717.0,-1364.0,1364.0,353.0,0.0,-182.0,189.0,189.0,,-7.0,171.0,-27.0,27.0,27.0,0.0,,0.0,144.0,-48.0,96.0,0.0,0.0,0.0,96.0,0.0,96.0,0.0,0.0,96.0,96.0,0.0,48.7,1.97,1.97,1.97,49.0,1.96,1.96,1.96,
12/31/2014,1927.0,1927.0,-1520.0,1520.0,407.0,0.0,-263.0,217.0,217.0,,46.0,144.0,-65.0,66.0,66.0,0.0,,-1.0,79.0,-27.0,52.0,0.0,0.0,0.0,52.0,0.0,52.0,0.0,0.0,52.0,113.0,61.0,48.6,1.069959,1.069959,2.325103,49.4,1.052632,1.052632,2.287449,
03/31/2015,1570.0,1570.0,-1265.0,1265.0,305.0,0.0,-149.0,150.0,150.0,,-1.0,156.0,-23.0,23.0,23.0,0.0,,0.0,133.0,-46.0,87.0,0.0,0.0,0.0,87.0,0.0,87.0,0.0,0.0,87.0,81.15,-5.85,48.4,1.8,1.8,1.676653,48.7,1.79,1.79,1.669877,
06/30/2015,1745.0,1745.0,-1246.0,1246.0,499.0,0.0,-230.0,173.0,173.0,,57.0,269.0,-25.0,25.0,25.0,0.0,,0.0,244.0,-88.0,156.0,0.0,0.0,0.0,156.0,0.0,156.0,0.0,0.0,156.0,115.0,-41.0,48.5,3.22,3.22,2.371134,48.8,3.2,3.2,2.359836,
09/30/2015,1800.0,1800.0,-1456.0,1456.0,344.0,0.0,-144.0,150.0,150.0,,-6.0,200.0,-25.0,25.0,25.0,0.0,,0.0,175.0,-64.0,111.0,0.0,0.0,0.0,111.0,0.0,111.0,0.0,0.0,111.0,114.0,3.0,48.0,2.31,2.31,2.375,48.4,2.29,2.29,2.351983,
12/31/2015,1905.0,1905.0,-1550.0,1550.0,355.0,0.0,-211.0,196.0,196.0,,15.0,144.0,-64.0,64.0,64.0,0.0,,0.0,80.0,-30.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,50.0,111.85,61.85,46.7,1.070664,1.070664,2.395075,47.3,1.057082,1.057082,2.364693,
03/31/2016,1763.0,1763.0,-1428.0,1428.0,335.0,0.0,-137.0,137.0,137.0,,0.0,198.0,-21.0,19.0,19.0,0.0,,2.0,177.0,-41.0,136.0,0.0,0.0,0.0,136.0,0.0,136.0,0.0,0.0,136.0,136.0,0.0,47.0,2.89,2.89,2.89,47.4,2.87,2.87,2.87,
06/30/2016,1700.0,1700.0,-1333.0,1333.0,367.0,0.0,-150.0,151.0,151.0,,-1.0,217.0,-18.0,18.0,18.0,0.0,,0.0,199.0,-66.0,133.0,0.0,0.0,0.0,133.0,0.0,133.0,0.0,0.0,133.0,133.0,0.0,47.0,2.83,2.83,2.83,47.5,2.8,2.8,2.8,
09/30/2016,1683.0,1683.0,-1367.0,1367.0,316.0,0.0,-141.0,147.0,147.0,,-6.0,175.0,-18.0,19.0,19.0,0.0,,-1.0,157.0,-50.0,107.0,0.0,0.0,0.0,107.0,0.0,107.0,0.0,0.0,107.0,107.0,0.0,46.9,2.28,2.28,2.28,47.2,2.27,2.27,2.27,
12/31/2016,1922.0,1922.0,-1317.0,1317.0,605.0,15.0,-334.0,333.0,333.0,,1.0,286.0,-35.0,18.0,18.0,0.0,,17.0,251.0,-54.0,197.0,0.0,0.0,0.0,197.0,0.0,197.0,0.0,0.0,197.0,91.05,-105.95,46.3,4.25486,4.25486,1.966523,46.7,4.218415,4.218415,1.949679,
03/31/2017,1724.0,1724.0,-1380.0,1380.0,344.0,0.0,-176.0,178.0,178.0,,-2.0,168.0,-21.0,18.0,18.0,0.0,,3.0,147.0,-28.0,119.0,0.0,0.0,0.0,119.0,0.0,119.0,0.0,0.0,119.0,84.55,-34.45,46.3,2.57,2.57,1.826134,46.4,2.56,2.56,1.817543,
06/30/2017,1858.0,1858.0,-1489.0,1489.0,369.0,0.0,-132.0,133.0,133.0,,-1.0,237.0,-19.0,17.0,17.0,0.0,,2.0,218.0,-71.0,147.0,0.0,0.0,0.0,147.0,0.0,147.0,0.0,0.0,147.0,115.0,-32.0,45.7,3.22,3.22,2.516411,45.8,3.21,3.21,2.51131,
09/30/2017,1863.0,1863.0,-1448.0,1448.0,415.0,0.0,-174.0,181.0,181.0,,-7.0,241.0,-21.0,18.0,18.0,0.0,,3.0,220.0,-71.0,149.0,0.0,0.0,0.0,149.0,0.0,149.0,0.0,0.0,149.0,116.5,-32.5,45.4,3.28,3.28,2.566079,45.5,3.27,3.27,2.555714,
12/31/2017,1996.0,1996.0,-1446.0,1446.0,550.0,0.0,-311.0,313.0,313.0,,-2.0,239.0,-52.0,41.0,41.0,0.0,,11.0,187.0,-123.0,64.0,0.0,0.0,0.0,64.0,0.0,64.0,0.0,0.0,64.0,27.2,-36.8,45.4,1.409692,1.409692,0.599119,45.5,1.406593,1.406593,0.597802,
03/31/2018,1874.0,1874.0,-1495.0,1495.0,379.0,2.0,-190.0,192.0,192.0,,-2.0,191.0,4.0,15.0,15.0,0.0,,-19.0,195.0,-39.0,156.0,0.0,0.0,0.0,156.0,0.0,156.0,0.0,0.0,156.0,99.12,-56.88,44.8,3.48,3.48,2.2125,44.8,3.48,3.48,2.210357,
06/30/2018,2020.0,2020.0,-1568.0,1568.0,452.0,12.0,-207.0,209.0,209.0,,-2.0,257.0,5.0,15.0,15.0,0.0,,-20.0,262.0,-23.0,239.0,0.0,0.0,0.0,239.0,0.0,239.0,0.0,0.0,239.0,181.33,-57.67,44.2,5.41,5.41,4.102489,44.3,5.4,5.4,4.098194,
09/30/2018,2083.0,2083.0,-1593.0,1593.0,490.0,0.0,-200.0,208.0,208.0,,-8.0,290.0,5.0,14.0,14.0,0.0,,-19.0,295.0,-66.0,229.0,0.0,0.0,0.0,229.0,0.0,229.0,0.0,0.0,229.0,171.33,-57.67,43.3,5.29,5.29,3.956813,43.3,5.29,5.29,3.956813,
12/31/2018,2199.0,2199.0,-1729.0,1729.0,470.0,0.0,-257.0,262.0,262.0,,-5.0,213.0,6.0,14.0,14.0,0.0,,-20.0,219.0,-7.0,212.0,0.0,0.0,0.0,212.0,0.0,212.0,0.0,0.0,212.0,155.12,-56.88,42.8,4.941725,4.941725,3.615851,42.8,4.941725,4.941725,3.612753,
03/31/2019,2080.0,2080.0,-1752.0,1752.0,328.0,0.0,-167.0,171.0,171.0,,-4.0,161.0,-12.0,16.0,16.0,0.0,,-4.0,149.0,-31.0,118.0,0.0,0.0,0.0,118.0,0.0,118.0,0.0,0.0,118.0,91.14,-26.86,41.4,2.85,2.85,2.201449,41.4,2.85,2.85,2.201208,
06/30/2019,2188.0,2188.0,-1834.0,1834.0,354.0,0.0,-179.0,184.0,184.0,,-5.0,175.0,-11.0,18.0,18.0,0.0,,-7.0,164.0,-36.0,128.0,0.0,0.0,0.0,128.0,0.0,128.0,0.0,0.0,128.0,98.77,-29.23,41.7,3.07,3.07,2.368585,41.7,3.07,3.07,2.368585,
09/30/2019,2219.0,2219.0,-1802.0,1802.0,417.0,0.0,-203.0,209.0,209.0,,-6.0,214.0,-16.0,18.0,18.0,0.0,,-2.0,198.0,-44.0,154.0,0.0,0.0,0.0,154.0,0.0,154.0,0.0,0.0,154.0,135.83,-18.17,41.2,3.74,3.74,3.296845,41.2,3.74,3.74,3.296845,
12/31/2019,2412.0,2412.0,-1980.0,1980.0,432.0,0.0,-246.0,224.0,224.0,,22.0,186.0,-14.0,18.0,18.0,0.0,,-4.0,172.0,-23.0,149.0,0.0,0.0,0.0,149.0,0.0,149.0,0.0,0.0,149.0,352.22,203.22,41.3,3.607748,3.607748,8.528329,41.3,3.607748,3.607748,8.528329,
03/31/2020,2263.0,2263.0,-1840.0,1840.0,423.0,0.0,-208.0,214.0,214.0,,-6.0,215.0,1.0,16.0,16.0,0.0,,-17.0,216.0,-44.0,172.0,0.0,0.0,0.0,172.0,0.0,172.0,0.0,0.0,172.0,99.147,-72.853,40.7,4.23,4.23,2.436044,40.7,4.23,4.23,2.436044,
06/30/2020,2027.0,2027.0,-1763.0,1763.0,264.0,7.0,-214.0,214.0,214.0,,0.0,57.0,8.0,25.0,25.0,0.0,-7.0,-33.0,65.0,-12.0,53.0,0.0,0.0,0.0,53.0,0.0,53.0,0.0,0.0,53.0,-28.69,-81.69,40.7,1.3,1.3,-0.704914,40.7,1.3,1.3,-0.707125,
09/30/2020,2193.071,,,,444.51356099,,,,,,,217.556,,,,,,,215.8,,178.556,,,,,,178.556,,,178.556,174.0,,,4.345,4.345,4.063,,4.345,4.345,4.063,
12/31/2020,2366.143,,,,501.64597743,,,,,,,253.222,,,,,,,245.6,,199.667,,,,,,199.667,,,199.667,196.727,,,4.821,4.821,4.742,,4.821,4.821,4.742,
