Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/1995,24.131001,8.982,7.717,11.186,,,11.186,-3.754,,,-3.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.131001,,,
03/31/1996,37.285,10.847,14.178,3.249,,,3.249,9.011,,,9.011,,,-7.298,,,,-7.298,,,,,,,,,,7.298,,,,,,,,,,,,,,
06/30/1996,18.615999,11.621,13.88,-19.441999,,,-19.441999,12.557,,,12.557,,,-7.652,,,,-7.652,,,,,,,,,,7.652,,,,,,,,,,,,,,
09/30/1996,39.271999,6.908,13.353,-3.005,,,-3.005,22.016001,,,22.016001,,,-23.93,,,,-23.93,,,,,,,,,,23.93,,,,,,,,,,,,,,
12/31/1996,20.247,17.429,12.671,5.057,,,5.057,-14.91,,,-14.91,,-1.464,-1.464,,,,-1.464,,,,,,,,,,0.0,,,,,,,,,,,18.783,,,
03/31/1997,14.802,17.059,14.596,0.971,,,0.971,-17.823999,,,-17.823999,,-8.225,-8.225,0.02,,,-8.245,,,0.0,0.0,0.0,,,,,0.0,-7.279,0.0,-4.8,,,,-2.479,0.274,-2.753,0.0,-0.702,,,
06/30/1997,10.06,16.514999,14.415,-0.734,,,-0.734,-20.136,,,-20.136,,-9.52,-9.52,0.055,,,-9.575,,,0.0,0.0,0.0,,,,,0.0,-4.298004,0.0,170.0,,,,-170.973004,0.422,-171.395004,-3.325,-3.758,,,
09/30/1997,54.682999,14.614,13.622,-1.214,,,-1.214,27.660999,,,27.660999,,-11.42,-11.42,0.036,,,-11.456,,,0.0,0.0,0.0,,,,,0.0,-40.511,0.0,-50.0,,,,9.489,9.491,-0.002,0.0,2.752,,,
12/31/1997,24.166,18.865,13.362,1.887,,,1.887,-9.948,,,-9.948,,-10.107,-10.107,0.621,,,-10.728,,,0.0,0.0,0.0,,,,,0.0,-19.442,0.0,-20.0,,,,1.454,1.454,,-0.896,-5.383,,,
03/31/1998,22.087999,21.614,14.837,0.58,,,0.58,-14.943,,,-14.943,,-8.429,-8.429,0.008,,,-8.437,,,0.0,0.0,0.0,,,,,0.0,-8.84,0.0,-10.8,,,,1.96,1.96,0.0,0.0,4.819,0.7,11.257,
06/30/1998,24.857,21.107,14.041,-0.009,,,-0.009,-10.282,,,-10.282,,-11.226,-11.226,0.027,,,-11.253,,,0.0,0.0,0.0,,,,,0.0,-16.941,0.0,-17.0,,,,0.059,0.059,0.0,0.0,-3.31,21.805,10.85,
09/30/1998,48.103001,30.548,13.885,-0.571,,,-0.571,4.241,,,4.241,,-12.304,-12.304,0.086,,,-12.39,,,0.0,0.0,0.0,,,,,0.0,-40.712,0.0,-40.0,,,,0.95,0.95,0.0,-1.662,-4.913,10.96,11.035,
12/31/1998,36.257999,24.669001,12.706,1.775,,,1.775,-2.892,,,-2.892,,-11.166,-11.166,1.112,,,-12.278,,,0.0,0.0,0.0,,,,,0.0,-20.742,0.0,-10.0,,,,-10.72,0.223,-10.943,-0.022,4.35,16.424,9.832,
03/31/1999,26.5,27.707,14.968,0.432,,,0.432,-16.607,-32.583,7.566,8.41,,-9.611,-9.611,0.005,,,-9.616,,,0.0,0.0,0.0,,,,,0.0,-24.681,0.0,-10.8,,,,-13.881,1.573,-15.454,0.0,-7.792,6.36,9.463,
06/30/1999,41.877,27.592,14.654,-0.04,,,-0.04,-0.329,-30.859,9.259,21.271,,-16.244,-16.244,0.018,,,-16.262,,,0.0,0.0,0.0,,,,,0.0,-24.523,0.0,-27.8,,,,3.277,3.277,0.0,0.0,1.11,31.307,9.362,
09/30/1999,51.892,27.46,14.174,2.304,,,2.304,7.954,-42.437,23.402,26.989,,-8.781,-8.781,0.006,,,-8.787,,,0.0,0.0,0.0,,,,,0.0,-39.624,0.0,-11.0,,,,-28.624,1.253,-29.877,0.0,3.487,12.487,8.705,
12/31/1999,28.297001,29.150999,12.732,-7.601,,,-7.601,-5.985,,,-5.985,,-13.864,-13.864,0.422,,,-14.286,,,0.0,0.0,0.0,,,,,0.0,-17.049,0.0,-4.5,,,,-12.549,1.84,-14.389,0.0,-2.616,0.0,40.57,
03/31/2000,45.953999,30.6,15.549,-0.124,,,-0.124,-0.071,,,-0.071,,-9.72,-9.72,0.012,,,-9.732,,,0.0,0.0,0.0,,,,,0.0,-32.949998,0.0,-33.099998,,,,0.15,0.15,0.0,0.0,3.284,1.824,3.696,
06/30/2000,9.257,27.621,15.298,1.665,,,1.665,-35.327,,,-35.327,,-9.828,-9.828,0.014,,,-9.842,,,0.0,0.0,0.0,,,,,0.0,1.117,0.0,-1.589,,,,2.706,2.706,0.0,0.0,0.546,15.741,32.935,
09/30/2000,30.339001,23.372999,14.548,1.956,,,1.956,-9.538,,,-9.538,,-16.405001,-16.405,0.016,,,-16.421,,,0.0,0.0,0.0,,,,,-1e-06,-17.453,0.0,-15.411,,,,0.048,0.048,0.0,-2.09,-3.519,11.2,8.735,
12/31/2000,46.594002,24.306999,12.76,-0.93,,,-0.93,10.457,,,10.457,,-17.041,-17.041001,0.274,,,-17.315001,,,0.0,0.0,0.0,,,,,0.0,-22.667,0.0,-23.0,,,,0.333,0.333,0.0,0.0,6.886,15.289,4.573,
03/31/2001,43.17,19.681,15.258,0.584,,,0.584,7.647,2.129,-2.167,7.685,,-5.486,-5.486,0.048,,,-5.534,,,0.0,0.0,0.0,,,,,0.0,-44.252,0.0,-47.0,,,,2.748,2.748,0.0,0.0,-6.568,0.17,13.184,
06/30/2001,46.790001,1.647,14.765,9.896,,,9.896,20.482,,,20.482,,-5.835,-5.835,0.017,,,-5.852,,,0.0,0.0,0.0,,,,,0.0,-40.256,0.0,-41.0,,,,0.744,0.744,0.0,0.0,0.699,11.897,4.055,
09/30/2001,70.321999,13.871,13.507,-1.763,,,-1.763,44.707001,,,44.707001,,-1.29,-1.29,2.377,,,-3.667,,,0.0,0.0,0.0,,,,,0.0,-58.369998,0.0,-59.599998,,,,1.23,1.23,0.0,0.0,10.662,10.406,-4.001,
12/31/2001,24.424,22.830999,12.237,-12.815,,,-12.815,2.171,,,2.171,,-168.417999,7.817,15.755,,,-7.938,,,0.0,0.0,0.0,,,,,-176.234999,140.302,0.0,140.0,,,,0.302,0.302,0.0,0.0,-3.692,3.61,15.702,
03/31/2002,39.110001,32.771,12.556,2.201,,,2.201,-8.418,,,-8.418,,-5.531,-5.531,0.003,,,-5.534,,,0.0,0.0,0.0,,,,,0.0,-19.054999,0.0,-30.799999,,,,11.745,11.745,0.0,0.0,14.524,4.282,4.915,
06/30/2002,23.046,32.084999,12.266,2.924,,,2.924,-24.229,,,-24.229,,-21.84,-21.840001,1.19,,,-23.030001,,,0.0,0.0,0.0,,,,,0.0,-16.831001,0.0,-18.200001,,,,1.369,1.369,0.0,0.0,-15.625,20.191,5.345,
09/30/2002,41.863998,24.658001,12.018,1.333,,,1.333,3.855,,,3.855,,-7.905,-7.905,1.275,,,-9.18,,,0.0,0.0,0.0,,,,,0.0,-30.384,0.0,-30.6,,,,0.216,0.216,0.0,0.0,3.575,9.269,5.306,
12/31/2002,8.716,29.316999,12.426,8.479,,,8.479,-41.506001,,,-41.506001,,-12.014,-12.014,0.456,,,-12.47,,,0.0,0.0,0.0,,,,,0.0,0.191,0.0,0.0,,,,0.191,0.191,0.0,0.0,-3.107,3.065,5.107,
03/31/2003,26.409,29.041,12.904,4.136,,-0.211,4.347,-19.672001,-26.122999,-4.784,11.234998,,-8.669,-8.669,0.052,,,-8.721,,,0.0,0.0,0.0,,,,,0.0,-19.917,0.0,-20.0,,,,0.083,0.083,0.0,0.0,-2.177,9.107,5.039,
06/30/2003,27.455,23.575,12.614,3.547,,-0.262,3.809,-12.281,7.07,3.215,-22.566,,-14.919,-14.919,0.105,,,-15.024,,,0.0,0.0,0.0,,,,,0.0,-10.506,0.0,-11.6,,,,1.094,1.094,0.0,0.0,2.03,0.805,30.869,
09/30/2003,58.405,19.345,12.477,-8.75,,,-8.75,35.333,12.468,3.648,19.217,,-6.952,-6.952,0.838,,,-7.79,,,0.0,0.0,0.0,,,,,0.0,-39.238,0.0,-40.0,,,,0.762,0.762,0.0,0.0,12.215,-9.871905,,
12/31/2003,60.184,22.612,12.928,5.227,,,5.227,19.417,,,19.417,,-8.416,-8.416,1.5,,,-9.916,,,0.0,0.0,0.0,,,,,0.0,-7.242,-6.975,-1.709,,,,1.442,1.442,0.0,0.0,44.526,38.582,0.0,
03/31/2004,38.318,33.209,12.617,-56.582,,4.692,-61.274,49.074,-51.123,9.755,90.442,,-2.65,-2.65,2.539,,,-5.189,,,0.0,0.0,0.0,,,,,0.0,-9.063,-7.001,0.0,,,,-2.062,11.227,-13.289,0.0,26.605,,4.743,
06/30/2004,9.895,16.601999,12.606,47.513,,-0.045,47.558,-66.825996,45.112999,-25.448,-86.490995,,-7.107,-7.107,2.106,,,-9.213,,,0.0,0.0,0.0,,,,,0.0,-44.510999,-6.982,-0.8,,,,-36.728999,0.481,-37.209999,0.0,-41.723,24.804001,4.799,
09/30/2004,41.022999,19.423,11.707,8.106,,-0.869,8.975,1.787,4.139,-28.636999,26.284999,,-4.185,-4.185,1.869,,,-6.054,,,0.0,0.0,0.0,,,,,0.0,-32.952,-6.698,0.0,,,,-26.254,0.0,-26.254,0.0,3.886,2.357,3.635,
12/31/2004,18.101,22.333,12.12,7.154,,2.24,4.914,-23.506001,-6.414,14.186,-31.278,,-8.548,-8.548,1.589,,,-10.137,,,0.0,0.0,0.0,,,,,0.0,-18.741,-7.962,0.0,,,,-10.779,1.269,-12.048,0.0,-9.188,6.57,3.025,
03/31/2005,35.693001,24.784,11.803,4.856,,-2.205,7.061,-5.75,-20.851,15.077,0.024,,-5.802,-5.802,2.139,,,-7.941,,,0.0,0.0,0.0,,,,,0.0,-12.414,-7.986,0.0,,,,-4.428,0.572,-5.0,0.0,17.476999,15.5,3.153,
06/30/2005,48.580002,9.591,11.773,12.882,,-0.521,13.403,14.334,38.595001,-10.396,-13.865002,,-6.393,-6.393,1.173,,,-7.566,,,0.0,0.0,0.0,,,,,0.0,-25.469001,-7.906,-0.8,,,,-16.763,3.17,-19.933001,0.0,16.718,16.950001,2.887,
09/30/2005,68.918999,9.919,11.179,3.715,,-1.802,5.517,44.105999,13.487,5.333,25.285998,,-4.73,-4.73,0.949,,,-5.679,,,0.0,0.0,0.0,,,,,0.0,-31.143001,-7.757,0.0,,,,-23.386001,3.703,-27.089001,0.0,33.046001,0.365,3.192,
12/31/2005,35.791,17.142,10.485,1.34,,-7.461,8.801,6.824,-5.7,2.0,10.524,,-1.787,-1.787,5.568,,,-7.355,,,0.0,0.0,0.0,,,,,0.0,-38.171,-7.618,0.0,,,,-30.553,0.107,-30.66,0.0,-4.167,7.755,2.722,
03/31/2006,4.191,30.222,10.093,-2.356,,-3.339,0.983,-33.768002,-44.014,-6.498,16.743999,,-2.173,-2.173,3.183,,,-5.356,,,0.0,0.0,0.0,,,,,0.0,-25.786,-7.959,0.0,,,,-17.827,7.173,-25.0,0.0,-23.768,18.033001,1.679,
06/30/2006,-8.948,16.978001,9.304,-6.397,,-3.043,-3.354,-28.833,21.684999,-49.448002,-1.069998,,-7.795,-7.795,1.313,,,-9.108,,,0.0,0.0,0.0,,,,,0.0,-14.832987,-7.845,7.823012,,,,-13.626,1.449,-15.075,-1.185,-31.576,24.306,2.718,
09/30/2006,-4.888,5.797,8.875,12.373,,-4.844,17.217,-31.933001,11.325,-28.077,-15.181001,,-4.721,-4.721,0.461,,,-5.182,,,0.0,0.0,0.0,,,,,0.0,-7.759,-7.732,-8.623,,,,0.0,0.0,0.0,8.596,-17.368,8.031,3.482,
12/31/2006,-5.398,2.058,8.398,0.847,,-3.747,4.594,-16.701,-2.351,14.767,-29.117,,-0.083,-0.083,4.984,,,-5.067,,,0.0,0.0,0.0,,,,,0.0,1.855,-7.733,10.0,,,,-0.317,0.0,-0.317,-0.095,-3.626,9.077,7.702,
03/31/2007,45.154999,2.877,8.242,6.344,,-0.425,6.769,27.691999,4.655,12.023,11.013999,,-6.025,-1.784,2.358,,,-4.142,,,0.0,0.0,0.0,,,,,-4.241,-17.734,-7.734,-10.0,,,,0.0,0.0,0.0,0.0,21.396,0.379,2.619,
06/30/2007,54.645,5.808,8.074,-1.998,,-1.598,-0.4,42.761,29.321,13.63,-0.19,,-0.46,-0.46,3.603,,,-4.063,,,0.0,0.0,0.0,,,,,0.0,-9.603,-7.761,-0.8,,,,0.0,0.0,0.0,-1.042,44.582,3.433,6.968,
09/30/2007,3.562,-13.656,6.755,-3.224,,0.088,-3.312,13.687,-2.348,5.138,10.897,,6.168,6.168,10.038,,,-3.87,,,0.0,0.0,0.0,,,,,0.0,-10.083,-7.76,0.0,,,,0.0,0.0,0.0,-2.323,-0.353,0.342,21.318,
12/31/2007,49.527,-40.678001,6.911,13.611,,-18.145,31.756001,69.682999,31.999001,69.227997,-31.543999,,4.863,9.104,9.104,,,0.0,,,0.0,0.0,0.0,,,,,-4.241,-27.816,-7.757,-20.0,,,,0.0,0.0,0.0,-0.059,26.573999,-29.129,30.535,
03/31/2008,50.343,33.616,6.289,-59.966,,0.893,-60.859,70.404,12.732,13.663,44.009,,65.679,1.111,3.261,,,-2.15,,,0.0,0.0,0.0,,,,,64.568,-46.948,-1.94,-65.0,,,,0.0,0.0,0.0,19.992,69.074,0.419,5.647,
06/30/2008,-10.728,-23.944,5.987,2.938,,-7.027,9.965,4.291,33.479,4.18,-33.368,,-7.553,-6.839,0.036,,,-6.875,,,0.0,0.0,0.0,,,,,-0.714,-37.752,-1.952,-35.8,,,,0.0,0.0,0.0,0.0,-56.033,6.85,2.892,
09/30/2008,-13.151,-41.721,5.39,-5.002,,-9.703,4.701,28.182,10.875,4.41,12.897,,-7.062,-5.263,0.041,,,-5.304,,,0.0,0.0,0.0,,,,,-1.799,-1.952,-1.952,0.0,,,,0.0,0.0,0.0,0.0,-22.165,0.689,2.208,
12/31/2008,14.918,-353.832,7.641,289.37,,57.636,231.734,71.739,52.987,44.295,-25.543,,-7.978,-4.623,0.025,,,-4.648,,,0.0,0.0,0.0,,,,,-3.355,-10.0,0.0,-10.0,,,,0.0,0.0,0.0,0.0,-3.06,-5.919,2.625,
03/31/2009,-9.265,-4.176,5.291,-6.278,1.103,0.04,-7.421,-4.102,7.411,27.439,-38.952,0.0,-4.197,-4.197,0.051,0.051,0.0,-4.248,-4.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.01,0.0,-45.0,0.0,0.0,-45.0,0.0,0.0,0.0,-0.01,-58.472,-9.38,2.329,
06/30/2009,44.802,-15.993,5.543,-7.217,-2.517,0.677,-5.377,62.469,33.536,17.63,11.303,0.0,0.353,0.353,2.108,2.108,0.0,-1.755,-1.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,0.0,-16.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,29.155,-25.844,1.357,
09/30/2009,26.288,-23.536,4.621,5.247,0.443,0.175,4.629,39.956,4.78,25.031,10.145,0.0,-0.061,-0.061,1.782,1.782,0.0,-1.843,-1.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.0,0.0,-27.0,0.0,0.0,-27.0,0.0,0.0,0.0,0.0,-0.773,0.136,0.814,
12/31/2009,15.774,-64.981,5.283,44.578,0.447,-8.926,53.057,30.894,5.037,56.844,-30.987,0.0,-1.392,-1.392,0.539,0.539,0.0,-1.931,-1.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,-7.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,7.382,-1.643,0.734,
03/31/2010,-0.723,3.497,6.105,-4.093,0.226,-0.087,-4.232,-6.232,-3.395,-5.314,2.477,0.0,-5.625,-5.625,1.869,1.869,0.0,-7.494,-7.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,0.0,-17.0,0.0,0.0,-17.0,0.0,0.0,0.0,0.0,-23.348,0.103,0.866,
06/30/2010,47.03,4.248,5.92,-2.525,0.667,-0.433,-2.759,39.387,7.269,-20.062,52.18,0.0,-3.696,-3.696,0.181,0.181,0.0,-3.877,-3.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.068,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.068,42.266,-56.591,0.568,
09/30/2010,-28.07,-2.094,5.515,-2.097,0.923,-2.498,-0.522,-29.394,3.332,-25.016,-7.71,0.0,-4.531,-4.531,0.288,0.288,0.0,-4.819,-4.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.601,-0.073,0.743,
12/31/2010,-12.936,-44.677,6.311,3.171,0.696,0.458,2.017,22.259,5.367,26.779,-9.887,0.0,-5.299,-5.299,0.441,0.441,0.0,-5.74,-5.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-18.225,-6.733,0.603,
03/31/2011,-5.011,-3.058,6.114,-1.275,0.974,-0.006,-2.243,-6.792,-9.12,-5.82,8.148,0.0,-6.128,-6.128,2.212,2.212,0.0,-8.34,-8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,-11.118,-0.606,0.652,
06/30/2011,5.903,-6.649,5.435,2.417,1.091,0.256,1.07,4.7,0.08,9.033,-4.413,0.0,-8.972,-8.972,0.052,0.052,0.0,-9.024,-9.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.423,-5.492,0.343,0.865,
09/30/2011,-8.38,-24.546,5.177,0.051,-0.233,-3.113,3.397,10.938,13.477,-2.401,-0.138,0.0,-5.83,-5.83,0.855,0.855,0.0,-6.685,-6.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,-14.163,0.603,0.706,
12/31/2011,1.261,-9.497,5.167,-12.129,0.716,0.261,-13.106,17.72,1.415,20.724,-4.419,0.0,2.94,2.94,6.398,6.398,0.0,-3.458,-3.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,4.196,0.366,0.799,
03/31/2012,-8.594,0.379,4.968,-1.049,0.596,0.268,-1.913,-12.892,-23.167,2.641,7.634,0.0,-1.389,-1.389,0.051,0.051,0.0,-1.44,-1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,-9.969,0.063,0.823,
06/30/2012,5.589,-6.77,5.198,-2.215,0.609,0.276,-3.1,9.376,10.547,-23.523,22.352,0.0,-1.966,-1.966,0.063,0.063,0.0,-2.029,-2.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,3.652,0.1,0.82,
09/29/2012,-0.14,-17.981,4.588,0.493,0.535,0.275,-0.317,12.76,-0.092,-10.724,23.576,0.0,-1.412,-1.412,0.083,0.083,0.0,-1.495,-1.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.006,0.0,6.335,0.0,83.335,-77.0,0.0,0.0,0.0,-8.341,-3.558,-0.016,1.048,
12/29/2012,-26.153,-22.897,4.19,2.802,0.49,-2.775,5.087,-10.248,-5.533,15.428,-20.143,0.0,0.948,0.948,3.584,3.584,0.0,-2.636,-2.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.562,0.0,21.665,0.0,21.665,0.0,0.0,0.0,0.0,-0.103,-3.643,0.004,1.391,
03/30/2013,-11.382,-21.203,4.011,0.994,0.529,3.593,-3.128,4.816,13.321,2.673,-11.178,0.0,-1.819,-1.819,0.002,0.002,0.0,-1.821,-1.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.615,0.0,11.788,0.0,20.0,-8.212,0.0,0.0,0.0,-0.173,-1.586,0.027,2.119,
06/29/2013,0.699,-40.821,3.906,20.301,0.308,-3.676,23.669,17.313,2.735,15.122,-0.544,0.0,-3.117,-3.117,2.346,2.346,0.0,-5.463,-5.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.952,0.0,-34.041,0.0,-20.0,-14.041,0.0,0.0,0.0,34.993,-1.466,0.401,2.772,
