Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2003,247.92,,,-182.075,,,65.845,,-7.175,,,,,58.67,-9.526,10.348,10.348,,0.0,-0.822,49.144,-5.406,43.738,0.0,,,43.738,0.0,43.738,0.0,0.0,43.738,43.738,,263.76,0.165,0.165,0.165,265.77,0.165,0.165,0.165,
09/30/2003,254.646,,,-181.008,,,73.638,,-6.481,,,,,67.157,-7.655,10.022,10.022,,0.0,-2.367,59.502,-6.545,52.957,0.0,,,52.957,0.0,52.957,0.0,0.0,52.957,52.957,,264.018,0.2,0.2,0.2,266.046,0.2,0.2,0.2,
12/31/2003,239.806,,,-195.969,,,43.837,,-6.716,,,,,37.121,-3.076,9.426,9.426,,0.0,-6.35,34.045,-3.745,30.3,0.0,,,30.3,0.0,30.3,0.0,0.0,30.3,30.3,,264.234,0.115,0.115,0.106,266.282,0.115,0.115,0.1055,
03/31/2004,245.433,,,-198.73,,,46.703,,-7.861,,,,,38.842,-6.582,9.068,9.068,,0.0,-2.486,32.26,-4.0,28.26,0.0,,,28.26,0.0,28.26,0.0,0.0,28.26,28.26,,265.252,0.105,0.105,0.105,267.654,0.105,0.105,0.105,
06/30/2004,253.009,,,-198.0,,,55.009,,-8.448,,,,,46.561,-6.583,8.62,8.62,,0.0,-2.037,39.978,-5.597,34.381,0.0,,,34.381,0.0,34.381,0.0,0.0,34.381,34.381,,265.08,0.13,0.13,0.13,267.408,0.13,0.13,0.13,
09/30/2004,265.638,,,-213.792,,,51.846,,-7.831,,,,,44.015,-7.183,8.382,8.382,,0.0,-1.199,36.832,-6.261,30.571,0.0,,,30.571,0.0,30.571,0.0,0.0,30.571,30.571,,265.038,0.115,0.115,0.135,267.62,0.115,0.115,0.135,
12/31/2004,302.151,,,-234.823,,,67.328,,-9.574,,,,,57.754,-5.007,,8.319,,0.0,-3.312,52.747,0.127,52.874,0.0,,,52.874,0.0,52.874,0.0,0.0,52.874,52.874,,267.808,0.195,0.195,0.195,270.622,0.195,0.195,0.195,
03/31/2005,310.325,,,-244.382,,,65.943,,-7.818,,,,,58.125,-2.6,5.935,5.935,,0.0,-3.335,55.525,-9.995,45.53,0.0,,,45.53,0.0,45.53,0.0,0.0,45.53,45.53,,270.418,0.17,0.17,0.17,273.162,0.165,0.165,0.165,
06/30/2005,344.008,,,-242.191,,,101.817,0.0,-10.099,10.099,,,0.0,91.718,-2.316,,5.192,,0.0,-2.876,89.402,-16.092,73.31,0.0,,,73.31,,73.31,0.0,0.0,73.31,73.31,,272.13,0.27,0.27,0.27,274.6,0.265,0.265,0.265,
09/30/2005,367.205,,,-252.837,,,114.368,0.0,-19.789,9.324,,,10.465,94.579,-3.06,,5.153,,0.0,-2.093,91.519,-14.996,76.523,0.0,,,76.523,,76.523,0.0,0.0,76.523,76.523,,273.416,0.28,0.28,0.28,276.226,0.275,0.275,0.275,
12/31/2005,360.599,,,-259.183,,,101.416,,-13.037,,,,,88.399,39.247,3.506,3.506,,0.0,-42.753,127.646,-26.313,101.333,0.0,,,101.333,0.0,101.333,0.0,0.0,101.333,101.333,,273.944,0.37,0.37,0.37,276.404,0.365,0.365,0.365,
03/31/2006,461.915,,,-265.645,,,196.27,,-10.285,,,,,185.985,-5.574,12.479,12.479,,0.0,-6.905,180.411,-35.18,145.231,0.0,,,145.231,0.0,145.231,0.0,0.0,145.231,145.231,,273.442,0.53,0.53,0.53,276.91,0.525,0.525,0.525,
06/30/2006,517.514,,,-283.673,,,233.841,0.0,-10.655,10.655,,,0.0,223.186,0.12,,1.773,,0.0,-1.893,223.306,-43.545,179.761,0.0,,,179.761,,179.761,0.0,0.0,179.761,179.761,,273.6,0.655,0.655,0.665,276.594,0.65,0.65,0.66,
09/30/2006,561.986,,,-293.91,,,268.076,0.0,-11.875,11.875,,,0.0,256.201,1.155,,0.882,,0.0,-2.037,257.356,-50.184,207.172,0.0,,,207.172,,207.172,0.0,0.0,207.172,207.172,,271.33,0.765,0.765,0.765,273.996,0.755,0.755,0.755,
12/31/2006,558.824,,,-294.172,,,264.652,,-13.457,13.457,,,0.0,251.195,9.019,1.033,1.033,,0.0,-10.052,260.214,-60.512,199.702,0.0,,,199.702,0.0,199.702,0.0,0.0,199.702,199.702,,269.004,0.74,0.74,0.74,271.57,0.735,0.735,0.735,
03/31/2007,646.424,,,-320.897,,,325.527,,-14.226,,,,,311.301,-0.346,1.504,1.504,,0.0,-1.158,310.955,-60.635,250.32,0.0,,,250.32,0.0,250.32,0.0,0.0,250.32,250.32,,267.122,0.935,0.935,0.935,269.6,0.93,0.93,0.93,
06/30/2007,725.999,,,-344.69,,,381.309,,-20.302,,,,,361.007,-0.719,1.231,1.231,,,-0.512,360.288,-70.257,290.031,0.0,,,290.031,0.0,290.031,0.0,0.0,290.031,290.031,,265.928,1.09,1.09,1.13,268.74,1.08,1.08,1.12,
09/30/2007,791.276,,,-371.34,,,419.936,,-24.617,,,,,395.319,-3.792,9.146,9.146,,0.0,-5.354,391.527,-73.247,318.28,0.0,,,318.28,0.0,318.28,0.0,0.0,318.28,318.28,,266.684,1.19,1.19,1.23,269.476,1.18,1.18,1.22,
12/31/2007,831.612,,,-385.205,,,446.407,,-26.686,26.686,,,0.0,419.721,6.411,1.23,1.23,,0.0,-7.641,426.132,-78.752,347.38,0.0,,,347.38,0.0,347.38,0.0,0.0,347.38,347.38,,267.074,1.3,1.3,1.3,269.508,1.29,1.29,1.29,
03/31/2008,861.425,,,-373.649,,,487.776,,-21.273,,,,,466.503,2.019,1.11,1.11,,,-3.129,468.522,-84.334,384.188,0.0,,,384.188,0.0,384.188,0.0,0.0,384.188,384.188,,266.451,1.44,1.44,1.47,268.578,1.43,1.43,1.46,
06/30/2008,812.941,,,-368.65,,,444.291,,-19.667,,,,,424.624,36.38,0.721,0.721,,0.0,-37.101,461.004,-85.286,375.718,0.0,,,375.718,0.0,375.718,0.0,0.0,375.718,375.718,,266.464,1.41,1.41,1.31,269.194,1.4,1.4,1.3,
09/30/2008,861.981,,,-368.304,,,493.677,,-16.027,,,,,477.65,-8.297,0.601,0.601,,0.0,7.696,469.353,-86.831,382.522,0.0,,,382.522,0.0,382.522,0.0,0.0,382.522,382.522,10.68,264.746,1.44,1.44,1.48,267.041,1.43,1.43,1.47,
12/31/2008,910.154,,,-286.585,,,623.569,0.0,-110.428,110.428,,,0.0,513.141,0.438,,1.956,,0.0,-2.394,513.579,-95.012,418.567,0.0,,,418.567,0.0,418.567,0.0,0.0,418.567,418.567,,261.501,1.59,1.59,1.59,262.452,1.58,1.58,1.58,
03/31/2009,896.151,879.331,16.82,-352.299,259.315,92.984,543.852,0.0,-29.751,17.717,,,12.034,514.101,0.551,,0.521,,,-1.072,514.652,-100.357,414.295,0.0,0.0,0.0,414.295,0.0,414.295,0.0,-3.461,410.834,418.6561,7.8221,259.266,1.58,1.58,1.614774,259.83,1.58,1.58,1.610105,
06/30/2009,898.872,875.624,23.248,-374.633,275.216,99.417,524.239,0.0,-38.427,21.484,,,16.943,485.812,0.957,,0.361,,,-1.318,486.769,-94.92,391.849,0.0,0.0,0.0,391.849,0.0,391.849,0.0,-4.174,387.675,398.68795,11.01295,258.487,1.5,1.5,1.542391,259.326,1.49,1.49,1.532468,
09/30/2009,905.635,882.459,23.176,-377.446,274.201,103.245,528.189,0.0,-23.776,21.7,,,2.076,504.413,2.226,,0.379,,,-2.605,506.639,-80.556,426.083,0.0,0.0,0.0,426.083,0.0,426.083,0.0,-4.52,421.563,422.9124,1.3494,257.913,1.63,1.63,1.639748,258.838,1.63,1.63,1.635213,
12/31/2009,940.126,902.639,37.487,-414.561,301.894,112.667,525.565,0.0,-19.147,19.361,,0.0,-0.214,506.418,1.424,,0.424,,,-1.848,507.842,-61.427,446.415,0.0,0.0,0.0,446.415,0.0,446.415,0.0,-4.628,441.787,441.6479,-0.1391,256.507,1.72,1.72,1.721777,257.597,1.72,1.72,1.71946,
03/31/2010,840.851,816.407,24.444,-395.919,280.062,115.857,444.932,0.0,-21.971,21.971,,,0.0,422.961,3.161,,0.465,,,-3.626,426.122,-55.396,370.726,0.0,0.0,0.0,370.726,0.0,370.726,0.0,-3.461,367.265,367.265,0.0,255.122,1.44,1.44,1.44,256.221,1.43,1.43,1.43,
06/30/2010,709.922,695.566,14.356,-417.567,291.34,126.227,292.355,0.0,-23.808,23.808,,,0.0,268.547,0.496,,0.51,,,-1.006,269.043,-51.118,217.925,0.0,0.0,0.0,217.925,0.0,217.925,0.0,-2.143,215.782,215.782,0.0,254.224,0.85,0.85,0.85,255.024,0.85,0.85,0.85,
09/30/2010,612.618,592.806,19.812,-478.779,335.497,143.282,133.839,0.0,-25.482,25.482,,,0.0,108.357,-1.583,,4.144,,,-2.561,106.774,-20.287,86.487,0.0,0.0,0.0,86.487,-0.467,86.02,0.0,-0.828,85.192,94.292,9.1,252.513,0.34,0.34,0.373414,253.184,0.34,0.34,0.373414,
12/31/2010,643.785,623.234,20.551,-506.834,352.371,154.463,136.951,0.0,-20.736,20.736,,0.0,0.0,116.215,-1.645,,4.338,,,-2.693,114.57,-16.276,98.294,0.0,0.0,0.0,98.294,0.464,98.758,0.0,-0.95,97.808,97.808,0.0,250.687,0.39,0.39,0.39,251.374,0.39,0.39,0.39,
03/31/2011,578.888,556.152,22.736,-490.111,331.989,158.122,88.777,0.0,-2.513,23.715,,,-21.202,86.264,-16.449,,19.041,,,-2.592,69.815,-15.359,54.456,0.0,0.0,0.0,54.456,0.039,54.495,0.0,-0.509,53.986,40.2047,-13.7813,251.026,0.22,0.22,0.160161,251.801,0.21,0.21,0.155269,
06/30/2011,627.997,603.562,24.435,-527.32,364.201,163.119,100.677,0.0,-21.632,21.632,,,0.0,79.045,-15.363,,14.829,,,0.534,63.682,-9.508,54.174,0.0,0.0,0.0,54.174,-0.091,54.083,0.0,-0.572,53.511,43.42828,-10.08272,251.368,0.21,0.21,0.172768,252.068,0.21,0.21,0.17,
09/30/2011,737.902,720.456,17.446,-546.784,380.571,166.213,191.118,0.0,-27.536,27.536,,,0.0,163.582,-10.413,,11.53,,,-1.117,153.169,-17.614,135.555,0.0,0.0,0.0,135.555,-0.238,135.317,0.0,-1.412,133.905,133.905,0.0,251.58,0.53,0.53,0.53,252.029,0.53,0.53,0.53,
