Date,Revenue,Comparable Actual,GAAP Actual,Adjusted Actual,Earnings Per Share,Consensus Estimate,EPS Surprise %,EBIT,EBITDA,Gross Margin %,Pretax Income (Loss),Net Income,Source: Bloomberg
06/30/2007,,,-1.53,-1.53,,,,,,,,,
09/30/2007,,,-16.027,-16.027,,,,,,,,,
12/31/2007,,,10.0,10.0,,,,,,,,,
03/31/2008,,,-0.29,-0.29,,,,,,,,,
06/30/2008,,,3.965,3.965,,,,,,,,,
09/30/2008,,,-6.745,-6.745,,,,,,,,,
12/31/2008,,,36.254,36.254,,,,,,,,,
03/31/2009,,,-11.843,-10.718,,,,,,,,,
06/30/2009,,,-2.144,-9.87163,,,,,,,,,
09/30/2009,,,3.12,3.12272,,,,,,,,,
12/31/2009,,,-0.9,-2.535,,,,,,,,,
03/31/2010,,,-4.808,6.2901,,,,,,,,,
06/30/2010,,,4.29,5.5276,,,,,,,,,
09/30/2010,,,11.494,9.39915,,,,,,,,,
12/31/2010,,,56.892,7.63462,,,,,,,,,
03/31/2011,,,17.167,14.177,,,,,,,,,
06/30/2011,,,16.919,18.14945,,,,,,,,,
09/30/2011,,,27.674,20.10178,,,,,,,,,
12/31/2011,,,19.9,21.03,,,,,,,,,
03/31/2012,,,21.049,20.65074,,,,,,,,,
06/30/2012,,,25.973,20.42908,,,,,,,,,
09/30/2012,,,10.007,7.7682,,,,,,,,,
12/31/2012,,,17.6,-4.1711,,,,,,,,,
03/31/2013,,,-2.118,2.98206,,,,,,,,,
06/30/2013,,,-14.255,-13.31561,,,,,,,,,
09/30/2013,,,-5.94,19.37978,,,,,,,,,
12/31/2013,,-33.0,,,,0.01,,,,,,,
03/31/2014,,3.313,3.755,4.63326,,-0.02,,,,,,,
06/30/2014,,5.5,5.472,6.04985,,0.09,22.2222222222222,,,,,,
09/30/2014,,13.9,13.889,5.046,,0.17,70.5882352941176,,,,,,
12/31/2014,,5.4,5.4,5.14,,0.11,0.0,,,,,,
03/31/2015,,10.0,10.042,9.197,,,,,,,,,
06/30/2015,,3.916,-29.267,-28.76845,,0.22,-63.6363636363636,,,,,,
09/30/2015,,0.9,0.943,1.45455,,0.11,-81.8181818181818,,,,,,
12/31/2015,,-5.73,-5.6,-5.015,,0.02,,,,,,,
03/31/2016,,-2.5,-2.469,-2.5275,,-0.07,26.6642857142857,,,,,,
06/30/2016,,0.99645,0.845,1.40855,,-0.05,,,,,,,
09/30/2016,,7.335,7.372,9.1764,,0.06,150.0,,,,,,
12/31/2016,,9.6,9.6,10.445,,0.06,228.541666666667,,,,,,
03/31/2017,,8.335,8.35,10.6575,,0.17,0.676470588235285,,,,,,
06/30/2017,,41.1,41.167,42.0341,,0.23,266.931739130435,,,,,,
09/30/2017,,17.435,17.472,18.18895,,0.21,70.48,,,,,,
12/31/2017,,11.47,49.1,49.7786,,0.34,-30.7282352941176,,,,,,
03/31/2018,,,14.248,14.11923,,,,,,,,,
06/30/2018,,6.222,-42.615,6.207,,0.56,-77.1853571428571,,,,,,
09/30/2018,,-15.005,-15.386,-15.80154,,0.49,,,,,,,
12/31/2018,,3.116,2.8,2.47689,,0.42,-84.7657142857143,,,,,,
03/31/2019,,14.963,15.204,14.98043,,0.13,136.344615384615,,,,,,
06/30/2019,,17.671,5.878,-13.30715,,0.2,81.427,,,,,,
09/30/2019,,-1.995,-1.538,-1.58303,,0.22,,,,,,,
12/31/2019,,6.379,6.3,4.35186,,0.11,18.8336363636364,,,,,,
03/31/2020,,1.9,1.91,-7.61029,,0.16,-75.66625,,,,,,
06/30/2020,,4.521,4.589,4.52106,,0.2,-53.6785,,,,,,
09/30/2020,,,,,,0.12,,,,,,,
12/31/2020,,,,,,0.09,,,,,,,
