Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2009,1539,704,704,0,326,326,0.0,46,0.0,0.0,27.0,19.0,71,,,81.0,71.0,1147,90,,,0,302,207,110,97,,14,392,,177,81,,,96.0,0,0.0,,,,,336,,,71,513,0,0.0,,,,111,,82.0,,29,111,624,0,608,2.0,606.0,-210.0,499.0,18,915,0.0,915,1539,
12/31/2009,1569,661,661,0,387,387,0.0,47,0.0,0.0,27.0,20.0,57,,,84.0,57.0,1152,95,264.0,-169.0,0,322,214,109,105,,24,417,,211,102,0.0,0.0,109.0,0,0.0,0.0,0.0,,,332,0.0,,76,543,0,0.0,0.0,0.0,,116,0.0,83.0,,33,116,659,0,624,2.0,622.0,-311.0,583.0,14,910,0.0,910,1569,
03/31/2010,1576,712,712,0,334,334,,56,0.0,0.0,34.0,22.0,58,,,109.0,58.0,1160,96,,,0,320,187,109,78,,24,416,,158,81,,,77.0,0,0.0,,,,,385,,,59,543,0,0.0,,,,116,,81.0,,35,116,659,0,634,2.0,632.0,-382.0,650.0,15,917,0.0,917,1576,
06/30/2010,1662,724,724,0,381,381,0.0,46,0.0,0.0,24.0,22.0,57,,,74.0,57.0,1208,101,,,0,353,248,135,113,,31,454,,176,82,,,94.0,0,0.0,,,,,367,,,60,543,0,0.0,,,,113,,79.0,,34,113,656,0,648,2.0,646.0,-382.0,725.0,15,1006,0.0,1006,1662,
09/30/2010,1755,741,741,0,411,411,0.0,65,0.0,0.0,41.0,24.0,55,,,69.0,55.0,1272,103,,,0,380,250,136,114,,61,483,,212,88,,,124.0,0,0.0,,,,,338,,,73,550,0,0.0,,,,121,,85.0,,36,121,671,0,665,2.0,663.0,-399.0,800.0,18,1084,0.0,1084,1755,
12/31/2010,1883,883,883,0,402,402,0.0,65,0.0,0.0,39.0,26.0,56,,,59.0,56.0,1406,105,284.0,-179.0,0,372,264,136,128,,49,477,,236,102,0.0,0.0,134.0,0,0.0,0.0,0.0,,,333,0.0,,70,569,0,0.0,0.0,0.0,,125,0.0,85.0,,40,125,694,0,692,2.0,690.0,-399.0,884.0,12,1189,0.0,1189,1883,
03/31/2011,2359,778,778,0,467,467,0.0,66,0.0,0.0,38.0,28.0,56,,,125.0,56.0,1367,111,,,0,881,709,516,193,,47,992,,197,98,,,99.0,0,0.0,,,,,463,,,63,660,300,300.0,,,,125,,83.0,,42,425,1085,0,708,2.0,706.0,-399.0,949.0,16,1274,0.0,1274,2359,
06/30/2011,2461,682,682,0,416,416,0.0,59,0.0,0.0,34.0,25.0,65,,,58.0,65.0,1222,119,,,0,1120,1052,714,338,,10,1239,,215,87,,,128.0,0,0.0,,,,,464,,,72,679,295,295.0,,,,122,,85.0,,37,417,1096,0,732,2.0,730.0,-437.0,1052.0,18,1365,0.0,1365,2461,
09/30/2011,2486,691,691,0,441,441,0.0,64,0.0,0.0,40.0,24.0,65,,,48.0,65.0,1261,119,,,0,1106,1047,736,311,,11,1225,,236,96,,,140.0,0,0.0,,,,,435,,,82,671,293,293.0,,,,121,,83.0,,38,414,1085,0,746,2.0,744.0,-494.0,1139.0,10,1401,0.0,1401,2486,
12/31/2011,2616,772,772,0,494,494,0.0,61,0.0,0.0,41.0,20.0,85,,,28.0,51.0,1412,120,302.0,-182.0,0,1084,1045,742,303,,11,1204,,266,97,0.0,0.0,169.0,0,0.0,0.0,0.0,,,429,24.0,,90,695,290,290.0,0.0,0.0,,137,0.0,77.0,20.0,16,427,1122,0,767,2.0,765.0,-526.0,1237.0,16,1494,0.0,1494,2616,
03/31/2012,2812,978,978,0,499,499,0.0,54,0.0,0.0,33.0,21.0,83,,,16.0,83.0,1614,122,,,0,1076,1044,743,301,,16,1198,,208,97,,,111.0,0,0.0,,,,,537,,,83,745,286,286.0,,,,141,,77.0,,64,427,1172,0,817,2.0,815.0,-526.0,1328.0,21,1640,0.0,1640,2812,
06/30/2012,2915,821,821,0,505,505,0.0,35,0.0,0.0,15.0,20.0,79,,,33.0,79.0,1440,134,,,0,1341,1277,925,352,,31,1475,,221,100,,,121.0,0,0.0,,,,,498,,,88,719,282,282.0,,,,179,,76.0,,103,461,1180,0,846,2.0,844.0,-562.0,1440.0,11,1735,0.0,1735,2915,
09/30/2012,3051,909,909,0,524,524,0.0,41,0.0,0.0,19.0,22.0,79,,,34.0,79.0,1553,143,,,0,1355,1288,933,355,,33,1498,,243,107,,,136.0,0,0.0,,,,,451,30.0,,99,694,278,278.0,,,,201,,80.0,,91,479,1173,0,877,2.0,875.0,-565.0,1544.0,22,1878,0.0,1878,3051,
12/31/2012,3066,729,729,0,668,668,0.0,47,0.0,0.0,26.0,21.0,90,,,29.0,54.0,1534,150,355.0,-205.0,0,1382,1291,932,359,,62,1532,,299,141,0.0,0.0,158.0,0,0.0,0.0,0.0,,,507,30.0,,132,806,274,274.0,0.0,0.0,,207,0.0,73.0,83.0,21,481,1287,0,900,2.0,898.0,-806.0,1656.0,29,1779,0.0,1779,3066,
03/31/2013,3017,853,853,0,510,510,0.0,65,0.0,0.0,44.0,21.0,81,,,179.0,81.0,1509,148,,,0,1360,1119,921,198,,62,1508,,226,111,,,115.0,0,0.0,,,,,557,32.0,,100,783,271,271.0,,,,210,,71.0,85.0,22,481,1264,0,922,2.0,920.0,-901.0,1715.0,17,1753,0.0,1753,3017,
06/30/2013,3042,826,826,0,514,514,0.0,70,0.0,0.0,49.0,21.0,83,,,24.0,83.0,1493,156,,,0,1393,1284,934,350,,85,1549,,221,105,,,116.0,0,0.0,,,,,553,29.0,,131,774,263,263.0,,,,215,,72.0,86.0,28,478,1252,0,943,2.0,941.0,-988.0,1823.0,12,1790,0.0,1790,3042,
09/30/2013,3118,862,862,0,546,546,0.0,67,0.0,0.0,44.0,23.0,85,,,25.0,85.0,1560,157,,,0,1401,1293,945,348,,83,1558,,222,98,,,124.0,0,0.0,,,,,500,26.0,,126,722,255,255.0,,,,223,,81.0,87.0,29,478,1200,0,965,2.0,963.0,-989.0,1921.0,21,1918,0.0,1918,3118,
12/31/2013,3096,695,695,0,717,717,0.0,56,0.0,0.0,39.0,17.0,95,,,24.0,61.0,1563,161,391.0,-230.0,0,1372,1290,946,344,,58,1533,,250,114,0.0,0.0,136.0,26,0.0,0.0,0.0,,26.0,500,25.0,,110,776,248,248.0,0.0,0.0,,215,0.0,76.0,87.0,27,463,1239,0,975,2.0,973.0,-1184.0,2033.0,33,1857,0.0,1857,3096,
03/31/2014,3178,922,922,0,607,607,0.0,42,0.0,0.0,25.0,17.0,88,,,24.0,88.0,1659,159,,,0,1360,1283,946,337,,53,1519,,230,97,,,133.0,30,0.0,,,,30.0,622,24.0,,123,882,240,240.0,,,,207,,75.0,78.0,30,447,1329,0,995,2.0,993.0,-1270.0,2092.0,32,1849,0.0,1849,3178,
06/30/2014,3136,934,934,0,550,550,0.0,50,0.0,0.0,33.0,17.0,103,,,24.0,103.0,1637,156,,,0,1343,1272,950,322,,47,1499,,237,112,,,125.0,0,0.0,,,,,609,26.0,,167,846,225,225.0,,,,203,,72.0,73.0,32,428,1274,0,1014,2.0,1012.0,-1374.0,2188.0,34,1862,0.0,1862,3136,
09/30/2014,3018,848,848,0,522,522,0.0,44,0.0,0.0,27.0,17.0,92,,,23.0,92.0,1506,157,,,0,1355,1286,958,328,,46,1512,,245,118,,,127.0,45,0.0,,,,45.0,481,22.0,,101,771,210,210.0,,,,195,,73.0,68.0,32,405,1176,0,1033,2.0,1031.0,-1477.0,2282.0,4,1842,0.0,1842,3018,
12/31/2014,3132,834,834,0,619,619,0.0,38,0.0,0.0,21.0,17.0,81,0.0,,20.0,53.0,1572,159,426.0,-267.0,0,1401,1283,948,335,,98,1560,,251,126,0.0,0.0,125.0,273,220.0,0.0,0.0,,53.0,471,18.0,0.0,101,995,195,195.0,0.0,0.0,,235,0.0,99.0,86.0,32,430,1425,0,1055,1.0,1054.0,0.0,656.0,-4,1707,0.0,1707,3132,
03/31/2015,3103,881,881,0,583,583,0.0,42,0.0,0.0,25.0,17.0,85,,,19.0,85.0,1591,162,,,0,1350,1243,924,319,,88,1512,,267,148,,,119.0,7,0.0,,,,7.0,576,16.0,,84,850,593,593.0,,,,216,,95.0,74.0,31,809,1659,0,1078,1.0,1077.0,0.0,405.0,-39,1444,0.0,1444,3103,
06/30/2015,2735,921,921,0,511,511,0.0,46,0.0,0.0,29.0,17.0,99,,,19.0,99.0,1577,160,,,0,998,897,590,307,,82,1158,,220,103,,,117.0,15,0.0,,,,15.0,522,17.0,,78,757,585,585.0,,,,207,,99.0,63.0,28,792,1549,0,1099,1.0,1098.0,0.0,114.0,-27,1186,0.0,1186,2735,
09/30/2015,2609,874,874,0,486,486,0.0,52,0.0,0.0,35.0,17.0,102,,,19.0,102.0,1514,159,,,0,936,896,587,309,,21,1095,,235,111,,,124.0,133,110.0,,,,23.0,470,14.0,,83,838,577,577.0,,,,198,,96.0,60.0,28,775,1613,0,1117,1.0,1116.0,0.0,-57.0,-64,996,0.0,996,2609,
12/31/2015,2527,839,839,0,580,580,0.0,49,0.0,0.0,32.0,17.0,266,0.0,214.0,41.0,52.0,1734,143,422.0,-279.0,0,650,592,380,212,,17,793,,216,96,0.0,0.0,120.0,210,180.0,0.0,0.0,,30.0,527,15.0,0.0,160,953,567,567.0,0.0,0.0,,158,0.0,89.0,28.0,26,725,1678,0,1129,1.0,1128.0,0.0,-204.0,-76,849,0.0,849,2527,
03/31/2016,2464,917,917,0,519,519,0.0,54,0.0,0.0,37.0,17.0,187,,139.0,48.0,48.0,1677,131,,,0,656,591,384,207,,17,787,,201,83,,,118.0,110,80.0,,,,30.0,657,15.0,,151,968,560,560.0,,,,142,,81.0,20.0,26,702,1670,0,1159,1.0,1158.0,0.0,-297.0,-68,794,0.0,794,2464,
06/30/2016,2382,909,909,0,465,465,0.0,37,0.0,0.0,21.0,16.0,184,,130.0,48.0,54.0,1595,129,,,0,658,591,384,207,,19,787,,229,104,,,125.0,30,0.0,,,,30.0,560,16.0,,130,819,552,552.0,,,,147,,88.0,17.0,26,699,1518,0,1179,1.0,1178.0,0.0,-246.0,-69,864,0.0,864,2382,
09/30/2016,2314,988,988,0,426,426,0.0,44,0.0,0.0,29.0,15.0,59,,0.0,46.0,59.0,1517,131,,,0,666,602,396,206,,18,797,,218,93,,,125.0,30,0.0,,,,30.0,440,14.0,,79,688,545,545.0,,,,149,,88.0,20.0,27,694,1382,0,1204,1.0,1203.0,0.0,-206.0,-66,932,0.0,932,2314,
12/31/2016,2413,974,974,0,548,548,0.0,34,0.0,0.0,20.0,14.0,65,0.0,,49.0,65.0,1621,138,439.0,-301.0,0,654,588,390,198,,17,792,,242,103,0.0,0.0,139.0,30,0.0,0.0,0.0,,30.0,457,14.0,0.0,88,729,538,538.0,0.0,0.0,,175,0.0,96.0,33.0,32,713,1442,0,1221,1.0,1220.0,0.0,-161.0,-89,971,0.0,971,2413,
03/31/2017,2483,1164,1164,0,442,442,0.0,40,0.0,0.0,26.0,14.0,58,,,50.0,58.0,1704,142,,,0,637,569,392,177,,18,779,,198,89,,,109.0,38,0.0,,,,38.0,599,14.0,,85,835,523,523.0,,,,171,,101.0,25.0,31,694,1529,0,1244,1.0,1243.0,0.0,-207.0,-83,954,0.0,954,2483,
06/30/2017,2338,1085,1085,0,356,356,0.0,42,0.0,0.0,29.0,13.0,65,,,51.0,65.0,1548,143,,,0,647,572,401,171,,24,790,,226,97,,,129.0,45,0.0,,,,45.0,521,10.0,,90,792,508,508.0,,,,166,,107.0,14.0,35,674,1466,0,1267,1.0,1266.0,0.0,-318.0,-77,872,0.0,872,2338,
09/30/2017,2307,1025,1025,0,366,366,0.0,45,0.0,0.0,33.0,12.0,72,,0.0,53.0,72.0,1508,159,,,0,640,557,398,159,,30,799,,245,106,,,139.0,233,180.0,,,,53.0,458,17.0,,94,936,493,493.0,,,,159,,107.0,12.0,23,652,1588,0,1293,1.0,1292.0,0.0,-505.0,-69,719,0.0,719,2307,
12/31/2017,2556,1089,1089,0,554,554,0.0,30,0.0,0.0,18.0,12.0,77,0.0,,57.0,77.0,1750,162,494.0,-332.0,0,644,543,399,144,10.0,34,806,,247,74,0.0,0.0,173.0,300,240.0,0.0,0.0,,60.0,516,85.0,0.0,102,1063,478,478.0,0.0,0.0,,347,0.0,109.0,4.0,149,825,1888,0,1321,1.0,1320.0,0.0,-579.0,-74,668,0.0,668,2556,
03/31/2018,2355,939,939,0,451,451,0.0,43,0.0,0.0,31.0,12.0,97,,,58.0,97.0,1530,172,,,0,653,529,401,128,,66,825,,220,110,,,110.0,68,0.0,,,,68.0,625,72.0,,93,913,456,456.0,,,,342,,111.0,9.0,150,798,1711,0,1351,1.0,1350.0,0.0,-637.0,-70,644,0.0,644,2355,
06/30/2018,2203,882,882,0,369,369,0.0,28,0.0,0.0,17.0,11.0,104,,,54.0,104.0,1383,187,,,0,633,511,397,114,,68,820,,219,83,,,136.0,6,0.0,,,,6.0,549,109.0,,88,774,491,491.0,,,,366,,109.0,8.0,140,857,1631,0,1377,1.0,1376.0,0.0,-714.0,-91,572,0.0,572,2203,
09/30/2018,2136,768,768,0,372,372,0.0,45,0.0,0.0,33.0,12.0,99,,,54.0,99.0,1284,226,,,0,626,497,396,101,,75,852,,242,95,,,147.0,13,0.0,,,,13.0,470,102.0,,86,725,484,484.0,,,,367,,109.0,4.0,152,851,1576,0,1398,1.0,1397.0,0.0,-745.0,-93,560,0.0,560,2136,
12/31/2018,2360,715,715,0,588,588,0.0,28,0.0,0.0,16.0,12.0,97,,,67.0,97.0,1428,295,639.0,-344.0,0,637,483,395,88,5.0,82,932,,365,141,,,224.0,36,0.0,17.0,17.0,,19.0,608,105.0,,118,1009,508,478.0,30.0,30.0,,348,,113.0,3.0,127,856,1865,0,1419,1.0,1418.0,0.0,-823.0,-101,495,0.0,495,2360,
03/31/2019,2286,723,723,0,445,445,0.0,52,0.0,0.0,40.0,12.0,82,,,66.0,82.0,1302,363,,,0,621,470,396,74,,85,984,,202,99,,,103.0,63,0.0,38.0,21.0,17.0,25.0,649,100.0,,80,914,558,472.0,86.0,38.0,48.0,347,,104.0,4.0,139,905,1819,0,1467,1.0,1466.0,0.0,-891.0,-109,467,0.0,467,2286,
06/30/2019,2123,635,635,0,377,377,0.0,35,0.0,0.0,23.0,12.0,82,,,70.0,82.0,1129,375,,,0,619,457,396,61,,92,994,,216,102,,,114.0,77,0.0,52.0,32.0,20.0,25.0,572,82.0,,74,865,564,466.0,98.0,54.0,44.0,327,,102.0,4.0,139,891,1756,0,1492,1.0,1491.0,0.0,-1009.0,-116,367,0.0,367,2123,
09/30/2019,1979,528,528,0,328,328,0.0,36,0.0,0.0,24.0,12.0,86,,,67.0,86.0,978,386,,,0,615,447,394,53,,101,1001,,218,103,,,115.0,86,0.0,61.0,42.0,19.0,25.0,468,68.0,,60,772,567,460.0,107.0,66.0,41.0,312,,101.0,4.0,139,879,1651,0,1518,1.0,1517.0,0.0,-1063.0,-127,328,0.0,328,1979,
12/31/2019,2057,494,494,0,398,398,0.0,31,0.0,0.0,19.0,12.0,91,,,87.0,91.0,1014,401,841.0,-440.0,0,642,432,396,36,6.0,117,1043,,223,66,0.0,0.0,157.0,100,0.0,75.0,55.0,20.0,25.0,563,61.0,,91,886,567,454.0,113.0,75.0,38.0,342,0.0,137.0,6.0,138,909,1795,0,1546,1.0,1545.0,0.0,-1143.0,-141,262,0.0,262,2057,
03/31/2020,2151,394,394,0,448,448,0.0,28,0.0,0.0,17.0,11.0,104,,,253.0,104.0,974,383,,,0,794,424,394,30,,117,1177,,182,96,,,86.0,102,0.0,77.0,60.0,17.0,25.0,622,44.0,,67,906,560,448.0,112.0,75.0,37.0,336,,133.0,6.0,153,896,1802,0,1568,1.0,1567.0,0.0,-1050.0,-169,349,0.0,349,2151,
06/30/2020,2102,494,494,0,339,339,0.0,26,0.0,0.0,14.0,12.0,89,,,236.0,89.0,948,383,,,0,771,420,395,25,,115,1154,,181,62,,,119.0,118,0.0,87.0,69.0,18.0,31.0,594,41.0,,76,893,544,436.0,108.0,75.0,33.0,319,,135.0,6.0,137,863,1756,0,1604,1.0,1603.0,0.0,-1093.0,-165,346,0.0,346,2102,
