Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1995,16830,638,638,,2531,,,1921,,,,,2557.0,,,,,7647,3644,8303.0,-4659.0,3192,,2347.0,,,,,2347.0,9183.0,,2579,2579,,,,2436,,,,,,1034,,,1034,6049,3964,,,,,3429.0,,,3429.0,7393.0,13442.0,0.0,901,,,-568.0,,3055.0,3388.0,0.0,3388.0,16830.0,
03/31/1996,17412,605,605,,4465,,,2118,,,,,807.0,,,,,7995,3609,8414.0,-4805.0,3370,,2438.0,,,,,2438.0,9417.0,,2734,2734,,,,2488,,,,,,1076,,,1076,6298,4058,,,,,3415.0,,,3415.0,7473.0,13771.0,0.0,893,,,-580.0,,3328.0,3641.0,0.0,3641.0,17412.0,
06/30/1996,18122,633,633,,4689,,,2198,,,,,821.0,,,,,8341,3569,8499.0,-4930.0,3674,,2538.0,,,,,2538.0,9781.0,,2814,2814,,,,2888,,,,,,1196,,,1196,6898,4042,,,,,3397.0,,,3397.0,7439.0,14337.0,0.0,891,,,-648.0,,3542.0,3785.0,0.0,3785.0,18122.0,
09/30/1996,18598,759,759,,5343,,,2182,,,,,790.0,,,,,9074,3546,8612.0,-5066.0,3273,,2705.0,,,,,2705.0,9524.0,,2824,2824,,,,2895,,,,,,1167,,,1167,6886,4550,,,,,3183.0,,,3183.0,7733.0,14619.0,0.0,884,,,-747.0,,3842.0,3979.0,0.0,3979.0,18598.0,
12/31/1996,18728,487,487,,2956,,,2222,,,,,3118.0,,,,,8783,3767,8817.0,-5050.0,3508,,2670.0,,,,,2670.0,9945.0,,2858,2858,,,,2372,,,,,,1228,,,1228,6458,5087,,,,,3067.0,,,3067.0,8154.0,14612.0,0.0,881,,,-831.0,,4066.0,4116.0,0.0,4116.0,18728.0,
03/31/1997,19292,518,518,,5278,3057.0,,2478,1019.0,,1246.0,213.0,805.0,,,,,9079,3765,,,3750,,2698.0,229.0,,,697.0,1772.0,10213.0,,2904,2904,,,,2190,,,,,,1195,,,1195,6289,5603,,,,,3034.0,,,3034.0,8637.0,14926.0,,879,,,-951.0,4298.0,140.0,4366.0,,4366.0,19292.0,
06/30/1997,20197,557,557,,5899,3195.0,,2526,1071.0,,1249.0,206.0,837.0,,,,,9819,3786,,,3719,,2873.0,223.0,,,695.0,1955.0,10378.0,,3098,3098,,,,2115,,,,,,1285,,,1285,6498,6267,,,,,2916.0,,,2916.0,9183.0,15681.0,,1074,,,-1037.0,4375.0,104.0,4516.0,,4516.0,20197.0,
09/30/1997,20758,787,787,,5923,3009.0,,2621,1032.0,,1390.0,199.0,865.0,,,,,10196,3819,,,3948,,2795.0,224.0,,,715.0,1856.0,10562.0,,3173,3173,,,,2186,,,,,,1179,,,1179,6538,6645,,,,,2889.0,,,2889.0,9534.0,16072.0,,1071,,,-1279.0,4759.0,135.0,4686.0,,4686.0,20758.0,
12/31/1997,20756,292,292,,5991,,,2603,,,,,928.0,,,,,9814,4058,9403.0,-5345.0,4015,,2869.0,,,,,2869.0,10942.0,,3358,3358,,,,1626,,,,,,1395,,,1395,6379,6942,,,,,2756.0,,,2756.0,9698.0,16077.0,0.0,1071,,,-1513.0,,5121.0,4679.0,0.0,4679.0,20756.0,
03/31/1998,23577,306,306,,6532,3794.0,,3091,1264.0,,1617.0,210.0,947.0,,,,,10876,4376,,,4343,,3982.0,1169.0,,,814.0,1999.0,12701.0,,3790,3790,,,,2231,,,,,,1416,,,1416,7437,8316,,,,,2815.0,,,2815.0,11131.0,18568.0,,1069,,,-1589.0,5456.0,73.0,5009.0,,5009.0,23577.0,
06/30/1998,25106,221,221,,7323,3760.0,,3132,1277.0,,1660.0,195.0,1010.0,,,,,11686,4444,,,4911,,4065.0,1253.0,,,805.0,2007.0,13420.0,,3587,3587,,,,2787,,,,,,1305,,,1305,7679,9464,,,,,2830.0,,,2830.0,12294.0,19973.0,,1066,,,-1696.0,5701.0,62.0,5133.0,0.0,5133.0,25106.0,
09/30/1998,25134,235,235,,7467,3605.0,,3116,1264.0,,1648.0,204.0,968.0,,,,,11786,4517,,,4879,,3952.0,1236.0,,,769.0,1947.0,13348.0,,3678,3678,,,,2505,,,,,,1222,,,1222,7405,9726,,,,,2833.0,,,2833.0,12559.0,19964.0,,1066,,,-1985.0,6037.0,52.0,5170.0,,5170.0,25134.0,
12/31/1998,25128,360,360,,7176,3660.0,,2842,1041.0,,1605.0,196.0,1081.0,,,,,11459,4866,10395.0,-5529.0,5143,,3660.0,1241.0,,,773.0,1646.0,13669.0,,3558,3558,,,,3048,,,,,,1339,,,1339,7945,9404,,,,,2648.0,,,2648.0,12052.0,19997.0,,1063,,,-2056.0,6123.0,1.0,5131.0,,5131.0,25128.0,
03/31/1999,25719,244,244,,7631,4183.0,,2892,1083.0,,1603.0,206.0,1136.0,,,,,11903,4852,,,5236,,3728.0,1235.0,,,835.0,1658.0,13816.0,,2123,2123,,,,3420,,,,,,2227,,,2227,7770,9509,,,,,3127.0,,,3127.0,12636.0,20406.0,,1062,,,-2127.0,6328.0,50.0,5313.0,,5313.0,25719.0,
06/30/1999,26755,325,325,,7945,3880.0,,2772,1046.0,,1521.0,205.0,1210.0,,,,,12252,4913,,,5688,,3902.0,1578.0,,,602.0,1722.0,14503.0,,2060,2060,,,,3896,,,,,,2251,,,2251,8207,10106,,,,,3196.0,,,3196.0,13302.0,21509.0,,1046,,,-2172.0,6389.0,-17.0,5246.0,,5246.0,26755.0,
09/30/1999,26459,283,283,,7688,3399.0,,2719,1061.0,,1452.0,206.0,1287.0,,,,,11977,4936,,,5543,,4003.0,1563.0,,,518.0,1922.0,14482.0,,2102,2102,,,,3248,,,,,,2250,,,2250,7600,10347,,,,,3114.0,,,3114.0,13461.0,21061.0,,1044,,,-2235.0,6608.0,-19.0,5398.0,,5398.0,26459.0,
12/31/1999,26635,548,548,,7439,3233.0,,2594,969.0,1164.0,1430.0,195.0,1153.0,,,,,11734,5201,10929.0,-5728.0,5683,,4017.0,1543.0,,,553.0,1921.0,14901.0,,2003,2003,,,,3874,,,,,,2301,,,2301,8178,9928,,,,,3064.0,,,3064.0,12992.0,21170.0,0.0,1045,,,-2275.0,6617.0,78.0,5465.0,0.0,5465.0,26635.0,
03/31/2000,26963,436,436,,7689,2580.0,,2659,971.0,1162.0,1497.0,191.0,1186.0,,,,,11970,5181,,,5781,,4031.0,1519.0,,,553.0,1959.0,14993.0,,2192,2192,,,,3705,,,,,,2265,,,2265,8162,10218,,,,,3087.0,,,3087.0,13305.0,21467.0,0.0,1049,,,-2480.0,6875.0,52.0,5496.0,0.0,5496.0,26963.0,
06/30/2000,27884,469,469,,8071,2517.0,,2555,958.0,,1410.0,187.0,1263.0,,,,,12358,5253,,,6168,,4105.0,1508.0,,,559.0,2038.0,15526.0,,2266,2266,,,,3883,,,,,,2346,,,2346,8495,10853,,,,,3078.0,,,3078.0,13931.0,22426.0,,1049,,,-2592.0,6959.0,42.0,5458.0,0.0,5458.0,27884.0,
09/30/2000,27840,398,398,,8091,2471.0,,2644,998.0,,1452.0,194.0,1307.0,,,,,12440,5273,,,6055,,4072.0,1488.0,,,518.0,2066.0,15400.0,,2263,2263,,,,3516,,,,,,2328,,,2328,8107,11144,,,,,3044.0,,,3044.0,14188.0,22295.0,,1049,,,-2663.0,7175.0,-16.0,5545.0,,5545.0,27840.0,
12/31/2000,28464,334,334,0.0,8079,,,2692,951.0,256.0,1485.0,0.0,1416.0,,,,,12521,5951,11916.0,-5965.0,6171,,3821.0,1507.0,1446.0,61.0,,2314.0,15943.0,,2339,2339,,,,3733,,,,,,2596,,,2596,8668,11334,,,,,2862.0,,,2862.0,14196.0,22864.0,0.0,1048,,,-2676.0,,7228.0,5600.0,0.0,5600.0,28464.0,
03/31/2001,29225,247,247,,8445,2517.0,,2964,1130.0,,1637.0,197.0,1344.0,,,,,13000,5993,,,6103,,4129.0,1482.0,,,875.0,1772.0,16225.0,,2234,2234,,,,4694,,,,,,2308,,,2308,9236,11342,,,,,2972.0,,,2972.0,14314.0,23550.0,,1051,,,-2689.0,7367.0,-54.0,5675.0,,5675.0,29225.0,
06/30/2001,30277,272,272,,9186,2880.0,,2846,1115.0,,1549.0,182.0,1440.0,,,,,13744,6158,,,6161,,4214.0,1502.0,,,837.0,1875.0,16533.0,,2329,2329,,,,4722,,,,,,2580,,,2580,9631,12032,,,,,2955.0,,,2955.0,14987.0,24618.0,,1045,,,-2691.0,7402.0,-97.0,5659.0,,5659.0,30277.0,
09/30/2001,29903,232,232,,8831,2644.0,,2922,1161.0,,1572.0,189.0,1450.0,,,,,13435,6311,,,5942,,4215.0,1485.0,,,787.0,1943.0,16468.0,,2171,2171,,,,4463,,,,,,2706,,,2706,9340,11699,,,,,2987.0,,,2987.0,14686.0,24026.0,,1044,,,-2700.0,7606.0,-73.0,5877.0,,5877.0,29903.0,
12/31/2001,30657,400,400,0.0,8441,,,2925,1028.0,239.0,1658.0,0.0,1634.0,,,,,13400,6603,12790.0,-6187.0,6322,,4332.0,1671.0,1397.0,274.0,,2661.0,17257.0,,2123,2123,,,,5311,,,,,,2842,,,2842,10276,11291,,,,,3479.0,,,3479.0,14770.0,25046.0,0.0,1043,,,-2696.0,,7264.0,5611.0,0.0,5611.0,30657.0,
03/31/2002,31147,302,302,,8693,2619.0,,3214,1373.0,1373.0,1841.0,0.0,1674.0,,,,,13883,6622,,,6321,,4321.0,1683.0,1397.0,286.0,750.0,1888.0,17264.0,,2182,2182,,,,5233,,,,,,2630,,,2630,10045,11934,,,,,3495.0,,,3495.0,15429.0,25474.0,0.0,1036,,,-2682.0,7613.0,-294.0,5673.0,0.0,5673.0,31147.0,
06/30/2002,32734,285,285,,9784,2854.0,,3114,1223.0,,1697.0,194.0,1663.0,,,,,14846,6779,,,6722,,4387.0,1685.0,1398.0,287.0,763.0,1939.0,17888.0,,2403,2403,,,,5291,,,,,,2835,,,2835,10529,12982,,,,,3465.0,,,3465.0,16447.0,26976.0,,1026,,,-2673.0,7573.0,-168.0,5758.0,,5758.0,32734.0,
09/30/2002,32374,445,445,,9535,2868.0,,3084,1481.0,1298.0,1786.0,0.0,1721.0,,,,,14785,6810,,,6376,,4403.0,1706.0,1402.0,304.0,751.0,1946.0,17589.0,,2410,2410,,,,5324,,,,,,2770,,,2770,10504,12435,,,,,3457.0,,,3457.0,15892.0,26396.0,0.0,1035,,,-2672.0,7785.0,-170.0,5978.0,0.0,5978.0,32374.0,
12/31/2002,32851,309,309,0.0,9586,2838.0,,2763,806.0,316.0,1454.0,187.0,2021.321,,,,,14628,7046,13541.0,-6495.0,6780,,4412.531,1683.0,1402.0,281.0,747.0,1982.531,18238.531,,2269,2269,,,,6087,,,,,,2988,,,2988,11344,11596,,,,,4505.262,,,4505.262,16101.262,27445.262,0.0,1034,,,-2669.0,7849.0,-661.819,5552.181,,5552.181,32997.443,
03/31/2003,33538,327,327,,9637,2896.0,,3064,1250.0,296.0,1518.0,0.0,2042.0,,,,,15070,6998,,,6933,,4537.0,1681.0,1402.0,279.0,792.0,2064.0,18468.0,,2375,2375,,,,5512,,,,,,2801,,,2801,10688,12744,,,,,4467.0,,,4467.0,17211.0,27899.0,0.0,1033,,,-2664.0,7978.0,-708.0,5639.0,0.0,5639.0,33538.0,
06/30/2003,34220,309,309,,10177,3250.0,,2949,1201.0,336.0,1412.0,0.0,2054.0,,,,,15489,7034,,,6990,,4707.0,1681.0,1403.0,278.0,784.0,2242.0,18731.0,,2516,2516,,,,5572,,,,,,3079,,,3079,11167,12564,,,,,4559.0,,,4559.0,17123.0,28290.0,0.0,1030,,,-2645.0,8136.0,-591.0,5930.0,0.0,5930.0,34220.0,
09/30/2003,35067,397,397,,10341,3183.0,,3057,1209.0,330.0,1518.0,0.0,2216.0,,,,,16011,7083,,,7319,,4654.0,1675.0,1399.0,276.0,752.0,2227.0,19056.0,,2497,2497,,,,5556,,,,,,2990,,,2990,11043,13171,,,,,4561.0,,,4561.0,17732.0,28775.0,0.0,1036,,,-2571.0,8357.0,-530.0,6292.0,0.0,6292.0,35067.0,
12/31/2003,36465,342,342,0.0,11271,3666.0,,3047,1289.0,377.0,1381.0,0.0,2131.0,,,,,16791,7290,14329.0,-7039.0,7904,,4480.0,1637.0,1398.0,239.0,800.0,2043.0,19674.0,,3100,3100,,,,5738,,,,,,3783,,,3783,12621,14078,13467.0,611.0,611.0,,3688.0,,,3688.0,17766.0,30387.0,0.0,1059,,,-2914.0,8450.0,-517.0,6078.0,0.0,6078.0,36465.0,
03/31/2004,37858,368,368,,11740,3751.0,,3678,1471.0,552.0,1655.0,0.0,2080.0,,,,,17866,7153,,,8081,,4758.0,1634.0,1400.0,234.0,817.0,2307.0,19992.0,,3309,3309,,,,6340,,,,,,3551,,,3551,13200,14570,,,,,3754.0,,,3754.0,18324.0,31524.0,0.0,1101,,,-3129.0,8862.0,-500.0,6334.0,0.0,6334.0,37858.0,
06/30/2004,38718,467,467,,12232,3831.0,,4097,1629.0,646.0,1822.0,0.0,1930.0,,,,,18726,7140,,,8106,,4746.0,1630.0,1395.0,235.0,820.0,2296.0,19992.0,,3664,3664,,,,6433,,,,,,3228,,,3228,13325,14981,,,,,3802.0,,,3802.0,18783.0,32108.0,0.0,1118,,,-3105.0,9146.0,-549.0,6610.0,0.0,6610.0,38718.0,
09/30/2004,40394,417,417,,12741,3790.0,,4509,1687.0,691.0,2131.0,0.0,1969.0,,,,,19636,7303,,,8594,,4861.0,1811.0,1450.0,361.0,839.0,2211.0,20758.0,,3934,3934,,,,6519,,,,,,3373,,,3373,13826,15754,,,,,3793.0,,,3793.0,19547.0,33373.0,0.0,1132,,,-3238.0,9667.0,-540.0,7021.0,0.0,7021.0,40394.0,
12/31/2004,43095,445,445,0.0,12645,7463.0,,4675,1802.0,664.0,2209.0,0.0,1767.0,,,,,19532,7682,15164.0,-7482.0,10667,,5214.0,1765.0,1450.0,315.0,,3449.0,23563.0,,3580,3580,,,,7688,,,,,,4838,,,4838,16106,15837,15172.0,665.0,665.0,,3685.0,,,3685.0,19522.0,35628.0,0.0,1231,,,-3277.0,9937.0,-424.0,7467.0,0.0,7467.0,43095.0,
03/31/2005,44347,517,517,,12705,7517.0,,5230,1959.0,766.0,2505.0,0.0,1772.0,,,,,20224,7551,,,11080,,5492.0,1924.0,1450.0,474.0,558.0,3010.0,24123.0,,3978,3978,,,,6525,,,,,,4284,,,4284,14787,17909,,,,,3904.0,,,3904.0,21813.0,36600.0,0.0,1308,,,-3554.0,10518.0,-525.0,7747.0,0.0,7747.0,44347.0,
06/30/2005,44823,749,749,,13066,7577.0,,5349,1921.0,831.0,2597.0,0.0,1830.0,,,,,20994,7593,,,10777,,5459.0,1919.0,1451.0,468.0,555.0,2985.0,23829.0,,3495,3495,,,,8620,,,,,,5081,,,5081,17196,15857,,,,,4065.0,,,4065.0,19922.0,37118.0,0.0,1704,,,-3965.0,10632.0,-666.0,7705.0,0.0,7705.0,44823.0,
09/30/2005,45865,967,967,,13044,7319.0,,5469,1859.0,925.0,2685.0,0.0,1882.0,,,,,21362,7817,,,11229,,5457.0,1913.0,1451.0,462.0,563.0,2981.0,24503.0,,3425,3425,,,,10048,,,,,,5380,,,5380,18853,14984,,,,,3636.0,,,3636.0,18620.0,37473.0,0.0,1821,,,-4039.0,11298.0,-688.0,8392.0,0.0,8392.0,45865.0,
12/31/2005,47069,1108,1108,0.0,13968,7526.0,,5224,1917.0,814.0,2493.0,0.0,2490.0,,,,,22790,7988,15862.0,-7874.0,11338,,4953.0,1875.0,1451.0,424.0,,3078.0,24279.0,,3471,3471,,,,10068,,,,,,5553,,,5553,19092,15677,15611.0,66.0,66.0,,3868.0,,,3868.0,19545.0,38637.0,0.0,1859,,,-4637.0,11808.0,-598.0,8432.0,0.0,8432.0,47069.0,
03/31/2006,47957,806,806,0.0,14475,8124.0,,5858,2091.0,926.0,2841.0,0.0,2495.0,,,,,23634,7884,,,11515,,4924.0,1864.0,1433.0,431.0,546.0,2514.0,24323.0,,3661,3661,,,,10498,,,,,,5540,,,5540,19699,15370,,,,,3926.0,,,3926.0,19296.0,38995.0,0.0,2063,,,-5193.0,12648.0,-556.0,8962.0,0.0,8962.0,47957.0,
06/30/2006,49905,648,648,0.0,14900,8679.0,,6254,2360.0,981.0,2913.0,0.0,2529.0,,,,,24331,8281,,,11771,,5522.0,2489.0,1834.0,655.0,571.0,2462.0,25574.0,,3936,3936,,,,11353,,,,,,5838,,,5838,21127,15939,,,,,4206.0,,,4206.0,20145.0,41272.0,0.0,2393,,,-6613.0,13330.0,-477.0,8633.0,0.0,8633.0,49905.0,
09/30/2006,50483,553,553,0.0,14622,8246.0,,6411,2374.0,994.0,3043.0,0.0,2510.0,,,,,24096,8424,,,11920,,6043.0,2523.0,1877.0,646.0,,3520.0,26387.0,,3857,3857,,,,9266,,,,,,5562,,,5562,18685,18145,,,,,4625.0,,,4625.0,22770.0,41455.0,0.0,2441,,,-7031.0,14100.0,-482.0,9028.0,0.0,9028.0,50483.0,
12/31/2006,51449,530,530,0.0,15411,8607.0,,6351,2459.0,977.0,2915.0,0.0,1371.0,,,,,23663,8851,17278.0,-8427.0,12391,,6544.0,2291.0,1904.0,387.0,,4253.0,27786.0,,4085,4085,,,,9616,,,,,,6121,,,6121,19822,17680,,,,,7088.0,,,7088.0,24768.0,44590.0,0.0,2465,,,-7352.0,14593.0,-2847.0,6859.0,0.0,6859.0,51449.0,
