Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
01/31/2006,91.064,,-21.34,,69.724,,-64.187,,,,,,,5.537,2.017,-4.6083,0.013,-2.512,,,0.482,7.554,-1.33,6.224,,,,6.224,-0.267,5.957,,,5.957,5.957,,437.84,0.0125,0.0125,0.0125,483.92,0.0125,0.0125,0.0125,
04/30/2006,104.686,,-24.56,,80.126,,-80.246,,,,,,,-0.12,2.38,-2.979,0.011,-2.99,,0.0,0.599,2.26,-2.005,0.255,0.0,,,0.255,-0.484,-0.229,0.0,0.0,-0.229,-0.229,,443.828,0.0,0.0,0.0,443.828,0.0,0.0,0.0,
07/31/2006,118.137,,-29.131,,89.006,,-90.285,,,,,,,-1.279,3.307,-3.17,0.151,-3.321,,,-0.137,2.028,-1.713,0.315,,,,0.315,-0.46,-0.145,0.0,0.0,-0.145,-0.145,,447.352,0.0,0.0,0.0,447.352,0.0,0.0,0.0,
10/31/2006,130.053,,-31.36,,98.693,,-98.816,87.366,66.526,,,,11.45,-0.123,4.441,-4.132,0.019,-4.151,,0.0,-0.309,4.318,-3.418,0.9,0.0,,,0.9,-0.561,0.339,0.0,0.0,0.339,0.339,,451.54,0.0,0.0,0.0,481.116,0.0,0.0,0.0,
01/31/2007,144.222,,-33.839,,110.383,,-112.459,99.128,74.582,,,,13.331,-2.076,5.966,-4.503,0.012,-4.515,,0.0,-1.463,3.89,-2.659,1.231,0.0,,,1.231,-0.715,0.516,0.0,0.0,0.516,0.516,,455.62,0.0,0.0,0.0,485.036,0.0,0.0,0.0,
04/30/2007,162.412,,-39.167,,123.245,,-123.131,,,,,,,0.114,5.176,-5.007,0.041,-5.048,,0.0,-0.169,5.29,-3.842,1.448,0.0,,,1.448,-0.718,0.73,0.0,0.0,0.73,0.73,,459.948,0.0025,0.0025,0.0025,482.54,0.0025,0.0025,0.0025,
07/31/2007,176.579,,-41.412,,135.167,,-131.82,,,,,,,3.347,5.895,-5.615,0.002,-5.617,,0.0,-0.28,9.242,-4.653,4.589,0.0,,,4.589,-0.854,3.735,0.0,0.0,3.735,3.735,,465.176,0.0075,0.0075,0.0075,485.332,0.0075,0.0075,0.0075,
10/31/2007,192.803,,-44.281,,148.522,,-142.404,,,,,,,6.118,8.113,-6.556,0.001,-6.557,,0.0,-1.557,14.231,-6.594,7.637,0.0,,,7.637,-1.125,6.512,0.0,0.0,6.512,6.512,0.068,469.444,0.015,0.015,0.015,488.676,0.0125,0.0125,0.0125,
01/31/2008,216.906,,-46.731,,170.175,,-159.445,,,,,,,10.73,6.72,-7.317,0.0,-7.317,,0.0,0.597,17.45,-8.296,9.154,0.0,,,9.154,-1.775,7.379,0.0,0.0,7.379,7.379,0.845,475.028,0.015,0.015,0.0175,494.72,0.015,0.015,0.0175,
04/30/2008,247.622,247.622,-51.298,51.298,196.324,0.0,-180.903,161.136,122.704,38.432,19.767,,0.0,15.421,5.959,-6.722,,,,,0.763,21.38,-10.311,11.069,0.0,0.0,0.0,11.069,-1.514,9.555,0.0,0.0,9.555,9.68045,0.12545,479.112,0.02,0.02,0.020205,497.656,0.02,0.02,0.020205,
07/31/2008,263.077,263.077,-54.091,54.091,208.986,0.0,-192.888,168.855,130.774,38.081,24.033,,0.0,16.098,5.868,-6.708,,,,,0.84,21.966,-10.558,11.408,0.0,0.0,0.0,11.408,-1.412,9.996,0.0,0.0,9.996,9.996,0.0,483.452,0.02,0.02,0.02,502.504,0.02,0.02,0.02,
10/31/2008,276.487,276.487,-56.348,56.348,220.139,0.0,-204.006,177.736,136.452,41.284,26.27,,0.0,16.133,4.374,-3.84,,,,,-0.534,20.507,-8.824,11.683,0.0,0.0,0.0,11.683,-1.559,10.124,0.0,0.0,10.124,10.124,0.0,486.54,0.02,0.02,0.02,500.532,0.02,0.02,0.02,
01/31/2009,289.583,289.583,-58.734,58.734,230.849,0.0,-214.759,185.299,144.483,40.816,29.46,,0.0,16.09,5.649,,0.059,,-5.456,,-0.252,21.739,-7.864,13.875,0.0,0.0,0.0,13.875,-0.122,13.753,0.0,0.0,13.753,13.753,0.0,489.712,0.0275,0.0275,0.0275,498.132,0.0275,0.0275,0.0275,
04/30/2009,304.924,304.924,-61.8,61.8,243.124,0.0,-213.001,181.417,138.267,43.15,31.584,,0.0,30.123,4.693,,0.208,,-4.53,,-0.371,34.816,-15.823,18.993,0.0,0.0,0.0,18.993,-0.557,18.436,0.0,0.0,18.436,18.3996,-0.0364,492.824,0.0375,0.0375,0.037335,501.396,0.0375,0.0375,0.037335,
07/31/2009,316.061,316.061,-62.496,62.496,253.565,0.0,-224.076,192.973,146.214,46.759,31.103,,0.0,29.489,6.382,,0.293,,-7.747,,1.072,35.871,-14.03,21.841,0.0,0.0,0.0,21.841,-0.643,21.198,0.0,0.0,21.198,19.98315,-1.21485,495.384,0.0425,0.0425,0.040339,506.264,0.0425,0.0425,0.0401,
10/31/2009,330.549,330.549,-65.57,65.57,264.979,0.0,-234.838,202.075,152.166,49.909,32.763,,0.0,30.141,6.875,-7.211,,,,,0.336,37.016,-15.573,21.443,0.0,0.0,0.0,21.443,-0.752,20.691,0.0,0.0,20.691,19.5977,-1.0933,498.244,0.0425,0.0425,0.039334,514.384,0.04,0.04,0.037874,
01/31/2010,354.049,354.049,-68.059,68.059,285.99,0.0,-260.471,224.024,168.552,55.472,36.447,,0.0,25.519,9.159,-1960.987,1.207,-1962.194,-10.628,,1962.456,34.678,-12.263,22.415,0.0,0.0,0.0,22.415,-2.021,20.394,0.0,0.0,20.394,16.7657,-3.6283,504.94,0.04,0.04,0.033203,522.748,0.04,0.04,0.033059,
04/30/2010,376.813,376.813,-71.581,71.581,305.232,0.0,-272.182,232.06,175.867,56.193,40.122,,0.0,33.05,-1.158,2.067,7.06,-4.993,-7.875,0.0,6.966,31.892,-12.016,19.876,0.0,0.0,0.0,19.876,-2.131,17.745,0.0,0.0,17.745,15.8717,-1.8733,512.128,0.035,0.035,0.030992,529.004,0.0325,0.0325,0.028959,
07/31/2010,394.372,394.372,-77.79,77.79,316.582,0.0,-286.9,243.97,182.401,61.569,42.93,,0.0,29.682,-0.215,-0.972,7.185,-8.157,-8.735,,9.922,29.467,-12.884,16.583,0.0,0.0,0.0,16.583,-1.839,14.744,0.0,0.0,14.744,14.3683,-0.3757,517.848,0.0275,0.0275,0.027746,536.704,0.0275,0.0275,0.0268,
10/31/2010,429.087,429.087,-82.131,82.131,346.956,0.0,-311.8,264.495,200.544,63.951,47.305,,0.0,35.156,3.404,-1.073,7.374,-8.447,-11.699,,9.368,38.56,-16.192,22.368,0.0,0.0,0.0,22.368,-1.296,21.072,0.0,0.0,21.072,18.9582,-2.1138,523.552,0.04,0.04,0.036211,548.176,0.0375,0.0375,0.033644,
01/31/2011,456.867,456.867,-92.311,92.311,364.556,0.0,-364.947,307.417,233.217,74.2,57.53,,0.0,-0.391,4.77,-3.386,3.29,-6.676,-9.426,,8.042,4.379,6.491,10.87,0.0,0.0,0.0,10.87,0.043,10.913,0.0,0.0,10.913,1.1255,-9.7875,529.376,0.02,0.02,0.002126,560.796,0.02,0.02,0.002126,
04/30/2011,504.364,504.364,-103.066,103.066,401.298,0.0,-404.101,338.809,254.471,84.338,65.292,,0.0,-2.803,3.584,-2.592,3.671,-6.263,-8.055,,7.063,0.781,-0.251,0.53,0.0,0.0,0.0,0.53,,0.53,0.0,0.0,0.53,-0.6348,-1.1648,533.816,0.0,0.0,-0.001189,564.248,0.0,0.0,-0.002064,
07/31/2011,546.002,546.002,-120.91,120.91,425.092,0.0,-440.84,367.447,283.001,84.446,73.393,,0.0,-15.748,-1.965,-1.409,3.846,-5.255,-5.112,,8.486,-17.713,13.445,-4.268,0.0,0.0,0.0,-4.268,,-4.268,0.0,0.0,-4.268,1.22867,5.49667,540.372,-0.0075,-0.0075,0.002274,540.372,-0.0075,-0.0075,0.002274,
10/31/2011,584.26,584.26,-128.565,128.565,455.695,0.0,-465.852,389.803,304.571,85.232,76.049,,0.0,-10.157,1.307,-1.234,3.859,-5.093,-5.136,,5.063,-8.85,5.094,-3.756,0.0,0.0,0.0,-3.756,,-3.756,0.0,0.0,-3.756,-3.78395,-0.02795,543.388,-0.0075,-0.0075,-0.006964,543.388,-0.0075,-0.0075,-0.007552,
01/31/2012,631.913,631.913,-136.345,136.345,495.568,0.0,-501.945,421.332,327.567,93.765,80.613,,0.0,-6.377,-1.158,1.489,5.669,-4.18,-4.965,,4.634,-7.535,3.457,-4.078,0.0,0.0,0.0,-4.078,0.0,-4.078,0.0,0.0,-4.078,-4.58825,-0.51025,546.88,-0.0075,-0.0075,-0.00839,546.88,-0.0075,-0.0075,-0.008433,
04/30/2012,695.467,695.467,-151.551,151.551,543.916,0.0,-566.165,471.389,369.789,101.6,94.776,,0.0,-22.249,-2.619,1.621,6.37,-4.749,-4.461,,5.459,-24.868,5.393,-19.475,0.0,0.0,0.0,-19.475,0.0,-19.475,0.0,0.0,-19.475,-19.2878,0.1872,552.6,-0.035,-0.035,-0.034904,552.6,-0.035,-0.035,-0.034904,
07/31/2012,731.649,731.649,-162.418,162.418,569.231,0.0,-582.697,483.255,380.16,103.095,99.442,,0.0,-13.466,-0.566,3.118,8.033,-4.915,-7.173,,4.621,-14.032,4.203,-9.829,0.0,0.0,0.0,-9.829,0.0,-9.829,0.0,0.0,-9.829,-11.2967,-1.4677,557.7,-0.0175,-0.0175,-0.020256,557.7,-0.0175,-0.0175,-0.020256,
10/31/2012,788.398,788.398,-186.248,186.248,602.15,0.0,-656.338,542.264,428.507,113.757,114.074,,0.0,-54.188,-8.663,4.127,8.19,-4.063,-3.887,,8.423,-62.851,-157.446,-220.297,0.0,0.0,0.0,-220.297,0.0,-220.297,0.0,0.0,-220.297,-45.0886,175.2084,568.812,-0.3875,-0.3875,-0.079268,568.812,-0.3875,-0.3875,-0.079475,
01/31/2013,834.681,834.681,-183.362,183.362,651.319,0.0,-672.126,550.939,435.57,115.369,121.187,,0.0,-20.807,-5.236,4.179,8.355,-4.176,-4.041,,5.098,-26.043,5.199,-20.844,0.0,0.0,0.0,-20.844,0.0,-20.844,0.0,0.0,-20.844,-20.75625,0.08775,579.88,-0.035,-0.035,-0.035794,579.88,-0.035,-0.035,-0.035794,
04/30/2013,892.633,892.633,-208.994,208.994,683.639,0.0,-728.179,596.24,466.49,129.75,131.939,,0.0,-44.54,-9.403,8.486,11.883,-3.397,-3.354,,4.271,-53.943,-13.778,-67.721,0.0,0.0,0.0,-67.721,0.0,-67.721,0.0,0.0,-67.721,-67.69305,0.02795,588.385,-0.12,-0.12,-0.115049,588.385,-0.12,-0.12,-0.119952,
07/31/2013,957.094,957.094,-217.717,217.717,739.377,0.0,-779.234,631.155,480.621,150.534,148.079,,0.0,-39.857,-16.947,16.282,19.656,-3.374,-4.387,,5.052,-56.804,133.407,76.603,0.0,0.0,0.0,76.603,0.0,76.603,0.0,0.0,76.603,75.94455,-0.65845,593.955,0.13,0.13,0.127862,624.656,0.12,0.12,0.118946,
10/31/2013,1076.034,1076.034,-268.187,268.187,807.847,0.0,-905.778,735.088,581.229,153.859,170.69,,0.0,-97.931,-26.11,21.671,22.929,-1.258,-1.11,,5.549,-124.041,-0.393,-124.434,0.0,0.0,0.0,-124.434,0.0,-124.434,0.0,0.0,-124.434,-124.3378,0.0962,600.467,-0.21,-0.21,-0.207068,600.467,-0.21,-0.21,-0.20984,
01/31/2014,1145.242,1145.242,-273.53,273.53,871.712,0.0,-975.458,802.368,639.792,162.576,173.09,,0.0,-103.746,-19.401,21.26,22.743,-1.483,-1.367,,-0.492,-123.147,6.524,-116.623,0.0,0.0,0.0,-116.623,0.0,-116.623,0.0,0.0,-116.623,-116.5476,0.0754,607.374,-0.19,-0.19,-0.191888,607.374,-0.19,-0.19,-0.191888,
04/30/2014,1226.772,1226.772,-292.305,292.305,934.467,0.0,-989.808,801.45,639.355,162.095,188.358,,0.0,-55.341,-29.428,18.595,20.359,-1.764,-1.778,,12.611,-84.769,-12.142,-96.911,0.0,0.0,0.0,-96.911,0.0,-96.911,0.0,0.0,-96.911,-89.612436,7.298564,612.512,-0.16,-0.16,-0.146303,612.512,-0.16,-0.16,-0.148084,
07/31/2014,1318.551,1318.551,-307.831,307.831,1010.72,0.0,-1044.154,841.045,671.958,169.087,203.109,,0.0,-33.434,-19.535,15.747,18.314,-2.567,-2.655,,6.443,-52.969,-8.119,-61.088,0.0,0.0,0.0,-61.088,0.0,-61.088,0.0,0.0,-61.088,-60.863225,0.224775,617.016,-0.1,-0.1,-0.098641,617.016,-0.1,-0.1,-0.099636,
10/31/2014,1383.655,1383.655,-333.211,333.211,1050.444,0.0,-1072.486,877.026,709.643,167.383,195.46,,0.0,-22.042,0.193,14.962,17.682,-2.72,-2.622,,-12.533,-21.849,-17.075,-38.924,0.0,0.0,0.0,-38.924,0.0,-38.924,0.0,0.0,-38.924,-48.007257,-9.083257,629.548,-0.06,-0.06,-0.076257,629.548,-0.06,-0.06,-0.076257,
01/31/2015,1444.608,1444.608,-355.923,355.923,1088.685,0.0,-1123.501,917.511,736.14,181.371,205.99,,0.0,-34.816,-18.682,13.804,16.882,-3.078,-2.983,,7.861,-53.498,-12.267,-65.765,0.0,0.0,0.0,-65.765,0.0,-65.765,0.0,0.0,-65.765,-65.519299,0.245701,637.219,-0.1,-0.1,-0.102821,637.219,-0.1,-0.1,-0.102821,
04/30/2015,1511.167,1511.167,-381.802,381.802,1129.365,0.0,-1098.26,912.749,736.938,175.811,222.128,,-36.617,31.105,-13.032,13.626,16.675,-3.049,-4.561,,3.967,18.073,-13.981,4.092,0.0,0.0,0.0,4.092,0.0,4.092,0.0,0.0,4.092,-21.915161,-26.007161,653.809,0.01,0.01,-0.033519,664.31,0.01,0.01,-0.033519,
07/31/2015,1634.684,1634.684,-405.384,405.384,1229.3,0.0,-1209.476,975.376,793.691,181.685,234.1,,0.0,19.824,-12.866,14.927,18.096,-3.169,-3.283,,1.222,6.958,-7.81,-0.852,0.0,0.0,0.0,-0.852,0.0,-0.852,0.0,0.0,-0.852,-0.7779,0.0741,659.366,0.0,0.0,-0.00118,659.366,0.0,0.0,-0.00118,
10/31/2015,1711.967,1711.967,-423.683,423.683,1288.284,0.0,-1244.85,1005.638,818.82,186.818,239.212,,0.0,43.434,-0.043,14.549,18.249,-3.7,-3.507,,-10.999,43.391,-68.548,-25.157,0.0,0.0,0.0,-25.157,0.0,-25.157,0.0,0.0,-25.157,-46.433953,-21.276953,664.131,-0.04,-0.04,-0.069917,664.131,-0.04,-0.04,-0.072037,
01/31/2016,1809.398,1809.398,-443.679,443.679,1365.719,0.0,-1345.159,1094.299,890.375,203.924,250.86,,0.0,20.56,-24.703,15.238,19.465,-4.227,-3.99,,13.455,-4.143,-21.366,-25.509,0.0,0.0,0.0,-25.509,0.0,-25.509,0.0,0.0,-25.509,-23.949,1.56,669.025,-0.04,-0.04,-0.035797,669.025,-0.04,-0.04,-0.037668,
04/30/2016,1916.603,1916.603,-496.981,496.981,1419.622,0.0,-1367.636,1106.666,895.86,210.806,260.97,,0.0,51.986,-14.831,14.238,22.011,-7.773,-8.122,,8.715,37.155,1.604,38.759,0.0,0.0,0.0,38.759,0.0,38.759,0.0,0.0,38.759,31.022454,-7.736546,677.514,0.06,0.06,0.045789,686.799,0.06,0.06,0.045789,
07/31/2016,2036.618,2036.618,-525.579,525.579,1511.039,0.0,-1478.488,1186.982,934.931,252.051,291.506,,0.0,32.551,-8.268,14.162,20.708,-6.546,-11.916,,6.022,24.283,205.339,229.622,0.0,0.0,0.0,229.622,0.0,229.622,0.0,0.0,229.622,229.622,0.0,681.126,0.34,0.34,0.34,695.968,0.33,0.33,0.33,
10/31/2016,2144.775,2144.775,-585.522,585.522,1559.253,0.0,-1556.217,1244.758,997.993,246.765,311.459,,0.0,3.036,-15.622,18.304,21.946,-3.642,-3.709,,1.027,-12.586,-24.723,-37.309,0.0,0.0,0.0,-37.309,0.0,-37.309,0.0,0.0,-37.309,-37.982052,-0.673052,690.468,-0.05,-0.05,-0.055009,690.468,-0.05,-0.05,-0.055009,
01/31/2017,2339.004,2339.004,-625.918,625.918,1713.086,0.0,-1582.659,1238.594,982.216,256.378,344.065,,0.0,130.427,-0.279,20.296,24.335,-4.039,-3.253,,-16.764,130.148,-38.22,91.928,0.0,0.0,0.0,91.928,0.0,91.928,0.0,0.0,91.928,72.990345,-18.937655,702.892,0.130785,0.130785,0.103843,726.765,0.126489,0.126489,0.100432,
04/30/2017,2397.0,2397.0,-651.0,651.0,1746.0,0.0,-1742.0,1366.0,1106.0,260.0,376.0,,0.0,4.0,-14.0,16.0,22.0,-6.0,-5.0,,3.0,-10.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-2.9,-3.9,706.0,0.0,0.0,-0.004108,722.0,0.0,0.0,-0.005402,
07/31/2017,2577.0,2577.0,-670.0,670.0,1907.0,0.0,-1823.0,1436.0,1153.0,283.0,387.0,,0.0,84.0,-21.0,-10.0,22.0,-32.0,-9.0,,40.0,63.0,-17.0,46.0,0.0,0.0,0.0,46.0,0.0,46.0,0.0,0.0,46.0,51.2,5.2,712.0,0.06,0.06,0.07191,729.0,0.06,0.06,0.067133,
10/31/2017,2701.0,2701.0,-714.0,714.0,1987.0,0.0,-1832.0,1438.0,1167.0,271.0,394.0,,0.0,155.0,-9.0,11.0,21.0,-10.0,-10.0,,8.0,146.0,-39.0,107.0,0.0,0.0,0.0,107.0,0.0,107.0,0.0,0.0,107.0,106.35,-0.65,717.0,0.15,0.15,0.148326,738.0,0.14,0.14,0.139119,
01/31/2018,2865.0,2865.0,-738.0,738.0,2127.0,0.0,-1916.0,1520.0,1245.0,275.0,396.0,,0.0,211.0,10.0,9.0,22.0,-13.0,-12.0,,-7.0,221.0,-15.0,206.0,0.0,0.0,0.0,206.0,0.0,206.0,0.0,0.0,206.0,190.6726,-15.3274,724.0,0.28,0.28,0.26336,749.0,0.28,0.28,0.259536,
04/30/2018,3006.0,3006.0,-767.0,767.0,2239.0,0.0,-2048.0,1624.0,1329.0,295.0,424.0,,0.0,191.0,194.0,14.0,34.0,-20.0,-16.0,,-192.0,385.0,-41.0,344.0,0.0,0.0,0.0,344.0,0.0,344.0,0.0,0.0,344.0,177.31316,-166.68684,729.0,0.47,0.47,0.243228,754.0,0.46,0.46,0.23893,
07/31/2018,3281.0,3281.0,-849.0,849.0,2432.0,0.0,-2317.0,1854.0,1504.0,350.0,463.0,,0.0,115.0,116.0,19.0,31.0,-12.0,-12.0,,-123.0,231.0,68.0,299.0,0.0,0.0,0.0,299.0,0.0,299.0,0.0,0.0,299.0,186.03,-112.97,747.0,0.4,0.4,0.249036,774.0,0.39,0.39,0.244044,
10/31/2018,3392.0,3392.0,-889.0,889.0,2503.0,0.0,-2411.0,1930.0,1588.0,342.0,481.0,,0.0,92.0,36.0,19.0,32.0,-13.0,-13.0,,-42.0,128.0,-23.0,105.0,0.0,0.0,0.0,105.0,0.0,105.0,0.0,0.0,105.0,55.23,-49.77,760.0,0.14,0.14,0.072671,785.0,0.13,0.13,0.066599,
01/31/2019,3603.0,3603.0,-946.0,946.0,2657.0,0.0,-2520.0,2002.0,1643.0,359.0,518.0,,0.0,137.0,102.0,,41.0,-16.0,-16.0,,-86.0,239.0,123.0,362.0,0.0,0.0,0.0,362.0,0.0,362.0,0.0,0.0,362.0,263.25,-98.75,766.0,0.47,0.47,0.343668,786.0,0.46,0.46,0.334364,
04/30/2019,3737.0,3737.0,-914.0,914.0,2823.0,0.0,-2613.0,1991.0,1629.0,362.0,554.0,68.0,0.0,210.0,272.0,2.0,28.0,-26.0,-26.0,,-248.0,482.0,-90.0,392.0,0.0,0.0,0.0,392.0,0.0,392.0,0.0,0.0,392.0,170.01,-221.99,771.0,0.51,0.51,0.220506,793.0,0.49,0.49,0.210063,
07/31/2019,3997.0,3997.0,-967.0,967.0,3030.0,0.0,-2972.0,2199.0,1824.0,375.0,607.0,,166.0,58.0,106.0,-3.0,28.0,-31.0,-31.0,,-72.0,164.0,-73.0,91.0,0.0,0.0,0.0,91.0,0.0,91.0,0.0,0.0,91.0,136.03,45.03,776.0,0.12,0.12,0.175296,795.0,0.11,0.11,0.166642,
10/31/2019,4513.0,4513.0,-1134.0,1134.0,3379.0,0.0,-3314.0,2540.0,2063.0,477.0,774.0,,0.0,65.0,-1.0,-6.0,26.0,-32.0,-32.0,,39.0,64.0,-173.0,-109.0,0.0,0.0,0.0,-109.0,0.0,-109.0,0.0,0.0,-109.0,-113.74,-4.74,879.0,-0.12,-0.12,-0.129397,879.0,-0.12,-0.12,-0.129397,
01/31/2020,4851.0,4851.0,-1220.0,1220.0,3631.0,0.0,-3667.0,2836.0,2346.0,490.0,831.0,,0.0,-36.0,32.0,-4.0,24.0,-28.0,-29.0,,1.0,-4.0,-244.0,-248.0,0.0,0.0,0.0,-248.0,0.0,-248.0,0.0,0.0,-248.0,-273.28,-25.28,889.0,-0.28,-0.28,-0.307402,889.0,-0.28,-0.28,-0.308436,
04/30/2020,4865.0,4865.0,-1254.0,1254.0,3611.0,0.0,-3751.0,2780.0,2278.0,502.0,859.0,112.0,0.0,-140.0,187.0,-4.0,24.0,-28.0,-28.0,,-155.0,47.0,52.0,99.0,0.0,0.0,0.0,99.0,0.0,99.0,0.0,0.0,99.0,-51.89,-150.89,896.0,0.11,0.11,-0.057913,913.0,0.11,0.11,-0.057913,
07/31/2020,5151.0,5151.0,-1311.0,1311.0,3840.0,0.0,-3662.0,2646.0,2157.0,489.0,898.0,118.0,0.0,178.0,661.0,23.982,24.0,-0.018,-0.019,,-684.963,839.0,1786.0,2625.0,0.0,0.0,0.0,2625.0,0.0,2625.0,0.0,0.0,2625.0,572.86,-2052.14,904.0,2.9,2.9,0.633695,922.0,2.85,2.85,0.624252,
10/31/2020,5243.0,,,,4129.9111,,,,,,,,,1211.963,,,,,,,,902.16,,35.554,,,,,,35.554,,,35.554,699.563,,,0.052,0.052,0.748,,0.052,0.052,0.748,
01/31/2021,5511.206,,,,4353.90785206,,,,,,,,,1036.556,,,,,,,,1040.56,,98.165,,,,,,98.165,,,98.165,803.0,,,0.114,0.114,0.853,,0.114,0.114,0.853,
