Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1995,68.099998,,,-7.358,,,60.741999,,-47.242001,,,,,,13.5,-7.7,,,,0.0,7.7,5.8,-2.088,3.712,0.0,,,3.712,0.0,3.712,0.0,,3.712,3.712,,81.519997,0.045,0.045,0.045,81.519997,0.045,0.045,0.045,
09/30/1995,73.5,,,-8.382,,,65.118,,-50.417999,,,,,,14.7,1.6,,,,0.0,-1.6,16.3,-5.836,10.464,0.0,,,10.464,0.0,10.464,0.0,,10.464,10.464,,82.598,0.125,0.125,,82.598,0.125,0.125,0.125,
12/30/1995,88.439003,,,-9.158,,,79.281003,,-60.799999,,,,,,18.481001,2.132,,,,0.0,-2.132,20.613001,-7.096,13.517,0.0,,,13.517001,0.0,13.517,0.0,,13.517,13.517,,103.708,0.13,0.13,0.13,103.708,0.13,0.13,0.13,
03/30/1996,95.522003,,,-9.93,,,85.592003,,-66.0,,,,,,19.591999,-37.720001,,,,0.0,37.720001,-18.128002,6.078,-12.05,0.0,,,-12.050002,0.0,-12.05,0.0,,-12.05,-12.05,,97.874001,-0.125,-0.125,0.28,97.874001,-0.125,-0.125,0.28,
06/29/1996,102.431,,,-11.532,,,90.899,,-69.901001,,,,,,20.997999,1.97,,,,0.0,-1.97,22.967999,-7.922,15.046,0.0,,,15.045999,0.0,15.046,0.0,,15.046,15.046,,105.846001,0.14,0.14,0.14,105.846001,0.14,0.14,0.14,
09/30/1996,111.027,,,-11.625,,,99.402,,-76.537003,,,,,,22.865,-16.785,,,,0.0,16.785,6.08,-8.571,-2.491,0.0,,,-2.491,0.0,-2.491,0.0,,-2.491,-2.491,,99.907997,-0.025,-0.025,0.155,99.907997,-0.025,-0.025,0.155,
12/28/1996,153.903,,,-19.563999,,,134.339001,,-104.492996,,,,,,29.846001,7.598,,,,0.0,-7.598,37.444001,-13.112,24.332001,0.0,,,24.332,0.0,24.332001,0.0,,24.332001,24.332001,,123.255997,0.195,0.195,0.195,129.837997,0.185,0.185,0.185,
03/31/1997,156.770996,,,-20.937,,,135.833996,,-107.609001,,,,,,28.225,-10.709,,,,0.0,10.709,17.516001,-10.611,6.905,0.0,,,6.905001,0.0,6.905,0.0,,6.905,6.905,,124.078003,0.055,0.055,0.175,130.182007,0.055,0.055,0.175,
06/30/1997,162.610001,,,-23.042999,,,139.567001,,-108.188004,,,,,,31.379,5.753,,,,0.0,-5.753,37.131999,-13.012,24.120001,0.0,,,24.119999,0.0,24.120001,0.0,,24.120001,24.120001,,125.222,0.195,0.195,0.195,130.669998,0.185,0.185,0.185,
09/30/1997,173.671997,,,-23.341,,,150.330997,,-131.113007,,,,,,19.218,21.719,,,,0.0,-21.719,40.937,-14.308,26.629,0.0,,,26.629,0.0,26.629,0.0,,26.629,26.629,,109.304,0.21,0.21,0.2,109.304,0.21,0.2,0.22,
12/28/1997,174.212006,,,-23.492001,,,150.720005,,-119.885002,,,,,,30.834999,-35.25,,,,0.0,35.25,-4.415001,-4.074,-8.489,-1.869,,,-6.620001,0.0,-6.62,0.0,,-6.62,-6.62,,128.682007,-0.05,-0.065,0.175,128.682007,-0.05,-0.065,0.175,
03/31/1998,170.104996,,,-21.290001,,,148.814995,,-105.021004,,,,,,43.793999,-5.469,,,,0.0,5.469,38.324999,-13.151,25.174,0.0,,,25.173999,0.0,25.174,0.0,,25.174,25.174,,131.899994,0.19,0.19,0.255,136.524002,0.185,0.185,0.25,
06/30/1998,179.606003,,,-23.326,,,156.280003,,-108.174004,,,,,,48.105999,3.589,,,,0.0,-3.589,51.694999,-17.861,33.834,0.0,,,33.833999,0.0,33.834,0.0,,33.834,33.834,,134.227997,0.25,0.25,0.265,140.697998,0.24,0.24,0.255,
09/30/1998,194.016998,,,-25.659,,,168.357998,,-115.292,,,,,,53.066002,-20.964001,,,,0.0,20.964001,32.102001,-20.733,11.369,-25.572001,,,36.941002,0.0,37.903999,0.0,,37.903999,37.903999,,133.292007,0.285,0.085,0.334,137.619995,0.275,0.09,0.305,
12/31/1998,180.225998,,,-21.705999,,,158.519999,,-107.606003,,,,,,50.914001,8.484,,,,0.0,-8.484,59.398002,-19.007,40.390999,0.0,,,40.391002,0.0,40.390999,0.0,,40.390999,40.390999,,138.332001,0.29,0.29,0.29,144.768005,0.28,0.28,0.28,
03/31/1999,190.186005,,,-24.691999,,,165.494005,,-110.000999,,,,,,55.493,-6.559,,,,0.0,6.559,48.934,-22.313,26.621,0.0,,,26.621,0.0,26.621,0.0,,26.621,26.621,,140.572006,0.19,0.19,0.31,147.746002,0.18,0.18,0.3,
07/03/1999,207.360001,,,-30.285999,,,177.074001,,-116.417,,,,,,60.657001,4.489,,,,0.0,-4.489,65.146001,-23.791,41.355,0.0,,,41.355001,0.0,41.355,0.0,,41.355,41.355,,141.475998,0.29,0.29,0.345,147.388,0.28,0.28,0.335,
09/30/1999,228.326019,,,-30.080002,,,198.246017,,-121.831985,,,,,,76.413994,1.519,,,,0.0,-1.519,77.932994,-24.938004,52.995003,0.0,,,52.99499,0.0,52.995003,0.0,,52.995003,52.995003,,140.647995,0.375,0.375,0.375,148.059998,0.36,0.36,0.36,
12/31/1999,216.867996,,,-28.885,,,187.982996,,-127.032997,,,,,,60.950001,7.19,,,,0.0,-7.19,68.140001,-23.037001,45.103001,0.0,,,45.103,0.0,45.103001,0.0,0.0,45.103001,45.103001,,141.570007,0.32,0.32,0.36,148.561996,0.305,0.305,0.34,
04/30/2000,204.852997,,,-29.926001,,,174.926996,,-134.080002,,,,,,40.847,9.694,,,,0.0,-9.694,50.541,-16.966999,33.574001,0.0,,,33.574001,0.0,33.574001,0.0,0.0,33.574001,33.574001,,138.306,0.245,0.245,0.27,142.177994,0.235,0.235,0.26,
07/29/2000,228.835007,,,-32.02,,,196.815006,,-140.005005,,,,,,56.810001,5.052,,,,0.0,-5.052,61.862001,-20.490999,41.370998,0.0,,,41.371002,0.0,41.370998,0.0,0.0,41.370998,41.370998,,136.556,0.305,0.305,0.33,139.205994,0.295,0.295,0.325,
10/31/2000,133.222,,,-33.643,,,99.579,0.0,-147.556,94.655,77.662,,,52.901,-47.977,13.372,,,,0.0,-13.372,-34.605,12.335,-22.27,0.0,,,-22.27,0.0,-22.27,0.0,0.0,-22.27,-22.27,,129.166,-0.17,-0.17,-0.17,129.166,-0.17,-0.17,-0.17,
01/31/2001,157.154007,,,-32.056,,,125.098007,,-136.660995,,,,,,-11.563,25.481001,,,,0.0,-25.481001,13.918001,-4.454,9.464,0.0,,,9.464001,0.0,9.464,0.0,0.0,9.464,9.464,,123.802002,0.075,0.075,0.105,130.485992,0.075,0.075,0.095,
04/30/2001,163.524002,,,-30.955999,,,132.568003,,-136.121002,,,,,,-3.553,21.921,,,,0.0,-21.921,18.368,-5.878,12.49,0.0,,,12.49,0.0,12.49,0.0,0.0,12.49,12.49,,121.552002,0.105,0.105,0.13,130.768005,0.095,0.095,0.12,
08/04/2001,176.110001,,,-32.720001,,,143.389999,,-141.639008,,,,,,1.751,19.499001,,,,0.0,-19.499001,21.250001,-6.8,14.45,0.0,,,14.45,0.0,14.45,0.0,0.0,14.45,14.45,,120.096001,0.12,0.12,0.15,129.774002,0.11,0.11,0.14,
10/31/2001,183.562,,,-34.391,,,149.171,,-136.058,,,,,,13.113,16.883,,,,,-16.883,29.996,-9.599,20.397,,,,20.397,,20.397,,,20.397,20.397,,118.458,0.17,0.17,0.17,124.898,0.165,0.165,0.165,
01/31/2002,175.544998,,,-35.189999,,,140.355,,-131.257004,,,,,,9.098,11.081,,,,0.0,-11.081,20.179,-6.127,14.052,0.0,,,14.052,0.0,14.052,0.0,0.0,14.052,14.052,,120.272003,0.115,0.115,0.145,130.022003,0.11,0.11,0.135,
04/30/2002,185.638,,,-34.391998,,,151.246002,,-131.742996,,,,,,19.503,11.213,,,,0.0,-11.213,30.716,-9.336,21.379999,0.0,,,21.38,0.0,21.379999,0.0,0.0,21.379999,21.379999,,122.463996,0.175,0.175,0.205,129.867996,0.165,0.165,0.195,
07/31/2002,236.095001,,,-47.686001,,,188.409,,-161.431,,,,,,26.978001,-188.358002,,,,0.0,188.358002,-161.380001,23.791,-137.589005,0.0,,,-137.589001,0.0,-137.589005,0.0,0.0,-137.589005,-137.589005,,142.313996,-0.965,-0.965,0.28,149.910004,-0.965,-0.965,0.265,
10/31/2002,309.256,,,-35.321,,,273.935,0.0,-193.603,92.995,72.687,,,100.608,80.332,-258.787,,,,,258.787,-178.455,80.619,-97.836,,,,-97.836,0.0,-97.836,0.0,0.0,-97.836,-97.836,,299.28,-0.325,-0.325,-0.27,299.28,-0.325,-0.325,-0.27,
01/31/2003,268.136,,,-38.559,,,229.577,,-189.841,93.789,71.238,,,96.052,39.736,9.21,,,,0.0,-9.21,48.946,-14.561,34.385,0.0,,,34.385,0.0,34.385,0.0,0.0,34.385,34.385,,296.26,0.115,0.115,0.115,306.556,0.11,0.11,0.11,
04/30/2003,292.028015,,,-59.375999,,,232.652016,,-182.990997,,,,,,49.660999,-10.735,,,-1.1,0.0,11.835,38.926,-16.636999,22.289,0.0,,,22.289001,0.0,22.289,0.0,0.0,22.289,22.289,,148.701996,0.15,0.15,0.41,153.033997,0.15,0.15,0.4,
07/31/2003,300.365997,,,-58.158001,,,242.207996,,-177.889008,,,,,,64.319,3.707,,,-1.4,0.0,-2.307,68.026,-19.551001,48.474998,0.0,,,48.475,0.0,48.474998,0.0,0.0,48.474998,48.474998,,153.240005,0.315,0.315,0.435,162.695999,0.3,0.3,0.41,
10/31/2003,316.453,,,-39.533,,,276.92,0.0,-215.881,103.762,80.295,,,112.119,61.039,2.052,,,,,-2.052,63.091,-18.516,44.575,,,,44.575,0.0,44.575,0.0,0.0,44.575,44.575,,155.018,0.29,0.29,0.29,164.381,0.27,0.27,0.27,
01/31/2004,285.264,,,-35.882,,,249.382,,-204.704,,,,,,44.678,-1.069,,,,0.0,1.069,43.609,-11.457,32.152,0.0,,,32.152,0.0,32.152,0.0,0.0,32.152,32.152,,156.316,0.21,0.21,0.21,165.864,0.19,0.19,0.19,
04/30/2004,294.604004,,,-64.898003,,,229.706001,,-182.130997,,,,,,37.575001,-9.075,,,,0.0,9.075,28.500001,-9.761,28.739,0.0,,,18.739001,0.0,28.739,0.0,0.0,28.739,28.739,,154.806,0.19,0.19,0.37,161.839996,0.18,0.18,0.35,
07/31/2004,281.681,,,-64.318001,,,217.362999,,-175.589996,,,,,,41.772999,1.277,,,,0.0,-1.277,43.049999,-1.222,41.827999,0.0,,,41.827999,0.0,41.827999,0.0,0.0,41.827999,41.827999,,155.199005,0.27,0.27,0.34,160.345993,0.26,0.26,0.33,
10/31/2004,230.554993,,,-66.721001,,,163.833992,,-161.197006,,,,,,2.637,-36.203999,,,,0.0,36.203999,-33.566999,5.185,-28.382,0.0,,,-28.381999,0.0,-28.382,0.0,0.0,-28.382,-28.382,,151.123993,-0.19,-0.19,0.01,151.123993,-0.19,-0.19,0.01,
01/31/2005,241.304,,,-41.876,,,199.428,,-218.081,,,,,,-18.653,-0.501,,0.0,,0.0,0.501,-19.154,4.829,-14.325,0.0,,,-14.325,0.0,-14.325,0.0,0.0,-14.325,-14.325,,146.06,-0.1,-0.1,0.1,146.06,-0.1,-0.1,0.1,
04/30/2005,244.339,,,-41.624,,,202.715,,-223.043,,,,,,-20.328,1.322,,0.0,,0.0,-1.322,-19.006,14.034,-4.972,0.0,,,-4.972,0.0,-4.972,0.0,0.0,-4.972,-4.972,,144.801,-0.03,-0.03,0.09,144.801,-0.03,-0.03,0.09,
07/31/2005,251.45,,,-43.194,,,208.256,,-215.872,,,,,,-7.616,37.2,,0.0,,0.0,-37.2,29.584,-12.29,17.294,0.0,,,17.294,0.0,17.294,0.0,0.0,17.294,17.294,,143.83,0.12,0.12,0.08,145.668,0.12,0.12,0.08,
10/31/2005,254.838,,,-127.942,,,126.896,,-134.444,,,,,,-7.548,8.335,,0.0,,0.0,-8.335,0.787,-15.898,-15.111,0.0,,,-15.111,0.0,-15.111,0.0,0.0,-15.111,-15.111,,145.189,-0.11,-0.11,0.07,145.189,-0.11,-0.11,0.07,
01/31/2006,260.189,,,-46.562,,,213.627,,-211.596,,,,,,2.031,0.995,-2.998,0.0,-2.998,0.0,2.003,3.026,-1.329,1.697,0.0,,,1.697,0.0,1.697,0.0,0.0,1.697,1.697,,144.989,0.01,0.01,0.15,146.969,0.01,0.01,0.14,
04/30/2006,274.779,,,-49.361,,,225.418,,-217.307,,,,,,8.111,1.032,,0.0,,0.0,-1.032,9.143,-3.768,5.375,0.0,,,5.375,0.0,5.375,0.0,0.0,5.375,5.375,,143.352,0.04,0.04,0.17,146.01,0.04,0.04,0.17,
07/31/2006,277.208,,,-48.866,,,228.342,,-215.189,,,,,,13.153,2.421,,0.0,,0.0,-2.421,15.574,-8.024,7.55,0.0,,,7.55,0.0,7.55,0.0,0.0,7.55,7.55,,142.538,0.05,0.05,0.1,143.964,0.05,0.05,0.09,
10/31/2006,283.384,,,-78.738,,,204.646,,-198.509,,,,,,6.137,0.0,,0.0,,0.0,-9.839,15.976,-5.856,10.12,0.0,,,10.12,0.0,10.12,0.0,0.0,10.12,10.12,,140.441,0.07,0.07,0.07,141.969,0.07,0.07,0.07,
01/31/2007,300.21,,,-51.666,,,248.544,0.0,-222.078,119.485,89.808,,,102.593,26.466,1.29,,,,0.0,-1.29,27.756,-4.399,23.357,0.0,,,23.357,0.0,23.357,0.0,0.0,23.357,23.357,,142.772,0.16,0.16,0.24,148.113,0.16,0.16,0.24,
04/30/2007,292.928,,,-55.417,,,237.511,0.0,-200.163,101.563,79.012,,,98.6,37.348,19.668,,,,,-19.668,57.016,-15.751,41.265,0.0,,,41.265,0.0,41.265,0.0,0.0,41.265,41.265,,144.37,0.29,0.29,0.29,149.783,0.28,0.28,0.28,
07/31/2007,304.098,,,-52.855,,,251.243,,-228.245,,,,,,22.998,10.829,,,,,-10.829,33.827,-8.972,24.855,0.0,,,24.855,0.0,24.855,0.0,0.0,24.855,24.855,,143.82,0.17,0.17,0.24,149.709,0.17,0.17,0.24,
10/31/2007,315.233,,,-74.327,,,240.906,,-209.674,,,,,,31.232,0.0,,,,0.0,-15.968,47.2,-6.186,41.014,0.0,,,41.014,0.0,41.014,0.0,0.0,41.014,41.014,,144.973,0.29,0.29,0.35,150.701,0.26,0.26,0.32,
01/31/2008,315.465,,,-61.31,,,254.155,0.0,-200.316,101.211,77.37,,,99.105,53.839,6.33,,,,0.0,-6.33,60.169,-13.724,46.445,0.0,,,46.445,0.0,46.445,0.0,0.0,46.445,46.445,,146.001,0.32,0.32,0.37,150.683,0.31,0.31,0.36,
04/30/2008,324.553,,,-63.692,,,260.861,0.0,-210.924,109.058,82.887,,,101.866,49.937,0.151,,,,,-0.151,50.088,-10.701,39.387,,,,39.387,,39.387,,0.0,39.387,39.387,,141.844,0.28,0.28,0.28,145.271,0.27,0.27,0.27,
07/31/2008,344.128,,,-60.764,,,283.364,,-228.532,,,,,,54.832,-1.853,,,,0.0,1.853,52.979,4.77,57.749,0.0,,,57.749,0.0,57.749,0.0,0.0,57.749,57.749,,142.536,0.41,0.41,0.36,147.486,0.39,0.39,0.35,
10/31/2008,352.805,,,-66.868,,,285.937,0.0,-220.633,115.034,87.706,,,105.599,65.304,-9.584,,,,0.0,9.584,55.72,-9.323,46.397,0.0,,,46.397,0.0,46.397,0.0,0.0,46.397,46.397,,142.684,0.33,0.33,0.37,145.638,0.32,0.32,0.36,
01/31/2009,339.755,36.376,303.379,-65.424,57.402,8.022,274.331,0.0,-206.759,104.566,77.384,27.182,97.807,4.386,67.572,2.099,,,-3.643,-3.401,4.945,69.671,-17.242,52.429,0.0,0.0,0.0,52.429,0.0,52.429,0.0,0.0,52.429,54.227136,1.798136,141.865,0.37,0.37,0.382245,142.612,0.37,0.37,0.382245,
04/30/2009,336.835,36.845,299.99,-65.019,57.34,7.679,271.816,0.0,-217.148,111.211,82.52,28.691,102.996,2.941,54.668,10.445,,,-2.782,-2.311,-5.352,65.113,-16.825,48.288,0.0,0.0,0.0,48.288,0.0,48.288,0.0,0.0,48.288,48.288,0.0,143.275,0.34,0.34,0.34,145.421,0.33,0.33,0.33,
07/31/2009,345.177,41.804,303.373,-70.035,61.583,8.452,275.142,0.0,-214.053,105.708,77.973,27.735,104.989,3.356,61.089,5.384,,,-2.364,0.018,-3.038,66.473,-19.037,47.436,0.0,0.0,0.0,47.436,0.0,47.436,0.0,0.0,47.436,49.906,2.47,144.138,0.33,0.33,0.346238,146.063,0.32,0.32,0.336911,
10/31/2009,338.278,36.996,301.282,-73.172,64.663,8.509,265.106,0.0,-240.184,121.739,86.247,35.492,114.116,4.329,24.922,6.891,,,-2.042,-1.403,-3.446,31.813,-12.285,19.528,0.0,0.0,0.0,19.528,0.0,19.528,0.0,0.0,19.528,26.090045,6.562045,145.73,0.13,0.13,0.17903,149.332,0.13,0.13,0.173943,
01/31/2010,330.167,37.246,292.921,-65.581,57.724,7.857,264.586,0.0,-209.494,105.469,79.616,25.853,101.232,2.793,55.092,2.25,,,-1.728,1.265,-1.787,57.342,75.444,132.786,0.0,0.0,0.0,132.786,0.0,132.786,0.0,0.0,132.786,41.8169,-90.9691,146.83,0.9,0.9,0.284798,150.788,0.88,0.88,0.276709,
04/30/2010,338.106,36.719,301.387,-69.027,60.198,8.829,269.079,0.0,-224.111,108.076,28.713,79.363,113.05,2.985,44.968,8.905,,,-1.502,-1.297,-6.106,53.873,-14.324,39.549,0.0,0.0,0.0,39.549,0.0,39.549,0.0,0.0,39.549,42.546936,2.997936,148.89,0.27,0.27,0.285761,152.482,0.26,0.26,0.279661,
07/31/2010,336.929,35.716,301.213,-66.743,58.693,8.05,270.186,0.0,-219.393,111.183,83.812,27.371,105.649,2.561,50.793,-3.046,,,-1.315,1.234,3.127,47.747,-8.42,39.327,0.0,0.0,0.0,39.327,0.0,39.327,0.0,0.0,39.327,39.778532,0.451532,148.006,0.27,0.27,0.268763,151.106,0.26,0.26,0.262988,
10/31/2010,375.459,43.944,331.515,-79.743,68.376,11.367,295.716,0.0,-262.459,129.918,96.968,32.95,129.298,3.243,33.257,6.439,,,-0.851,0.312,-5.9,39.696,-14.295,25.401,0.0,0.0,0.0,25.401,0.0,25.401,0.0,0.0,25.401,31.40505,6.00405,148.229,0.17,0.17,0.211868,151.978,0.17,0.17,0.209506,
01/31/2011,364.644,42.5,322.144,-84.305,71.07,13.235,280.339,0.0,-233.677,109.189,79.324,29.865,120.74,3.748,46.662,5.67,,,-0.614,-2.611,-2.445,52.332,-4.106,48.226,0.0,0.0,0.0,48.226,0.0,48.226,0.0,0.0,48.226,50.030057,1.804057,149.016,0.32,0.32,0.335736,153.64,0.31,0.31,0.321742,
04/30/2011,393.67,49.894,343.776,-86.028,71.12,14.908,307.642,0.0,-255.957,129.032,99.562,29.47,123.169,3.756,51.685,5.574,,,-0.552,0.396,-5.418,57.259,23.855,81.114,0.0,0.0,0.0,81.114,0.0,81.114,0.0,0.0,81.114,47.233257,-33.880743,148.461,0.55,0.55,0.318153,152.593,0.53,0.53,0.307967,
07/31/2011,386.795,45.635,341.16,-84.732,71.364,13.368,302.063,0.0,-243.884,117.784,90.732,27.052,122.547,3.553,58.179,-2.212,,,-0.521,0.483,2.25,55.967,-3.885,52.082,0.0,0.0,0.0,52.082,0.0,52.082,0.0,0.0,52.082,51.457153,-0.624847,144.96,0.36,0.36,0.354975,148.045,0.35,0.35,0.345779,
10/31/2011,390.534,46.741,343.793,-85.385,72.077,13.308,305.149,0.0,-248.832,119.873,93.5,26.373,125.415,3.544,56.317,-2.762,,,-0.43,0.077,3.115,53.555,-13.613,39.942,0.0,0.0,0.0,39.942,0.0,39.942,0.0,0.0,39.942,40.752321,0.810321,143.855,0.28,0.28,0.283287,146.35,0.27,0.27,0.275537,
01/31/2012,425.496,41.09,384.406,-89.854,76.466,13.388,335.642,0.0,-265.639,129.243,95.404,33.839,132.875,3.521,70.003,3.826,,,-0.478,-0.025,-3.323,73.829,-17.135,56.694,0.0,0.0,0.0,56.694,0.0,56.694,0.0,0.0,56.694,57.947784,1.253784,143.882,0.39,0.39,0.402745,147.113,0.39,0.39,0.398523,
04/30/2012,432.561,46.648,385.913,-100.506,76.807,23.699,332.055,0.0,-314.919,158.784,108.836,49.948,151.23,4.905,17.136,6.353,,0.485,,-1.961,-4.877,23.489,-2.518,20.971,0.0,0.0,0.0,20.971,0.0,20.971,0.0,0.0,20.971,43.14067,22.16967,145.948,0.14,0.14,0.295589,149.297,0.14,0.14,0.288494,
07/31/2012,443.747,55.536,388.211,-99.789,78.633,21.156,343.958,0.0,-280.563,131.773,100.004,31.769,143.955,4.835,63.395,-2.31,,0.65,,0.349,1.311,61.085,14.571,75.656,0.0,0.0,0.0,75.656,0.0,75.656,0.0,0.0,75.656,78.489691,2.833691,147.801,0.51,0.51,0.53105,150.644,0.5,0.5,0.518811,
