Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/2014,406.5,172.6,42.6,59.8,-18.2,31.4,31.5,15.1,131.5,131.5,0.0,-717.1,-5.5,0.0,-5.5,-1.0,3.4,,,,-4.4,0.0,0.0,0.0,0.0,-710.6,0.0,-710.6,0.0,0.0,307.9,0.0,607.3,0.0,0.0,744.4,-137.1,-132.7,6.4,-139.1,0.0,-166.7,-6.9,-9.6,,,
03/31/2015,119.1,128.0,32.2,220.3,,34.1,17.3,168.9,-261.4,-261.4,0.0,-4.3,-4.7,0.0,-4.7,0.4,1.8,,,,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-217.5,0.0,33.2,0.0,0.0,523.3,-490.1,-119.7,78.1,-197.8,0.0,-131.0,-9.7,-112.4,,,
06/30/2015,351.4,128.7,32.7,126.9,,25.6,49.8,51.5,63.1,63.1,0.0,-26.0,-7.0,0.0,-7.0,13.0,16.4,,,,-3.4,0.0,0.0,0.0,0.0,-32.0,0.0,-32.0,0.0,0.0,-283.5,0.0,-56.5,0.0,0.0,0.0,-56.5,-99.6,17.4,-117.0,0.0,-127.4,8.4,50.3,,,
09/30/2015,385.7,107.7,35.0,135.8,,21.0,17.6,97.2,107.2,107.2,0.0,-32.1,-13.8,,-13.8,-0.3,4.3,,,,-4.6,,,,,-18.0,0.0,-18.0,0.0,0.0,-293.9,0.0,-58.0,0.0,0.0,426.4,-484.4,-63.2,1.6,-64.8,,-172.7,-6.5,53.2,,,
12/31/2015,1213.2,147.5,134.2,902.8,,101.2,102.7,698.9,28.7,28.7,0.0,-324.5,-38.2,0.0,-38.2,11.4,24.9,,,,-13.5,0.0,0.0,0.0,0.0,-297.7,0.0,-297.7,0.0,0.0,-857.7,0.0,-2.7,0.0,0.0,1253.3,-1256.0,-311.4,102.3,-413.7,0.0,-543.6,-17.8,13.2,89.6,76.4,
03/31/2016,25.6,104.0,31.6,167.6,,27.5,15.2,124.9,-277.6,-277.6,0.0,-550.9,-4.1,0.0,-4.1,4.5,7.2,,,,-2.7,0.0,0.0,0.0,0.0,-551.3,0.0,-551.3,0.0,0.0,259.8,0.0,422.2,0.0,0.0,515.0,-92.8,-12.4,4.5,-16.9,0.0,-150.0,-4.3,-269.8,,,
06/30/2016,315.8,108.3,33.7,130.0,,22.9,18.0,89.1,43.8,43.8,,10.9,-4.5,0.0,-4.5,15.5,20.8,,,,-5.3,0.0,0.0,0.0,0.0,-0.1,0.0,-0.1,0.0,0.0,-274.2,0.0,-167.2,0.0,0.0,70.0,-237.2,-13.3,3.2,-16.5,0.0,-93.7,-11.4,41.1,,,
09/30/2016,343.1,110.2,31.9,123.9,,19.4,32.4,72.1,77.1,77.1,0.0,-328.7,-6.5,0.0,-6.5,11.3,13.5,,,,-2.2,0.0,,,,-333.5,0.0,-333.5,0.0,0.0,51.0,0.0,-25.0,0.0,0.0,315.0,-340.0,155.5,155.5,0.0,0.0,-79.5,-4.0,61.4,,,
12/31/2016,365.8,150.2,32.5,-14.0,,-10.5,14.8,-18.3,197.1,197.1,0.0,-463.5,-5.1,0.0,-5.1,18.0,23.8,,,,-5.8,0.0,0.0,0.0,0.0,-476.4,0.0,-476.4,0.0,0.0,164.3,0.0,-5.0,0.0,0.0,450.0,-455.0,302.6,302.6,0.0,0.0,-133.3,-30.2,36.4,,,
03/31/2017,122.1,122.5,27.1,230.7,,35.3,26.0,169.4,-258.2,-258.2,0.0,16.3,-4.1,0.0,-4.1,25.1,31.3,,,,-6.2,0.0,0.0,0.0,0.0,-4.7,0.0,-4.7,0.0,0.0,-277.4,-11.3,-85.0,0.0,0.0,75.0,-160.0,-59.7,20.3,-80.0,0.0,-121.4,1.8,-137.2,,,
06/30/2017,321.9,126.3,26.9,125.7,,20.7,22.2,82.8,43.0,43.0,0.0,-15.3,-3.1,0.0,-3.1,13.4,20.8,,,,-7.4,0.0,,,,-25.6,0.0,-25.6,0.0,0.0,-239.8,-11.3,5.0,0.0,0.0,130.0,-125.0,-81.0,9.2,-90.2,0.0,-152.5,4.2,71.0,,,
09/30/2017,356.5,125.4,26.0,142.2,,24.3,20.4,97.5,62.9,62.9,0.0,3.9,-6.7,0.0,-6.7,10.6,19.2,,,,-8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-354.3,-11.2,-120.0,0.0,0.0,240.0,-360.0,-102.0,4.2,-106.2,0.0,-121.1,4.0,10.1,,,
12/31/2017,369.9,315.3,26.7,-111.3,,-203.9,21.8,70.8,139.2,139.2,0.0,8.9,-4.6,0.0,-4.6,13.8,28.8,,,,-15.0,0.0,0.0,0.0,0.0,-0.3,0.0,-0.3,0.0,0.0,-318.2,-11.1,-60.0,0.0,0.0,100.0,-160.0,-108.6,,,0.0,-138.5,4.2,64.8,,,
03/31/2018,205.0,153.0,28.7,245.1,,13.4,30.1,201.6,-221.8,-221.8,0.0,-3.9,-5.5,0.0,-5.5,1.6,6.6,,,,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-313.1,-16.4,5.0,0.0,0.0,440.0,-435.0,-170.1,3.0,-173.1,0.0,-131.6,6.7,-105.3,,,
06/30/2018,372.3,117.0,28.9,172.9,,5.3,19.4,148.2,53.5,53.5,0.0,-21.6,-4.8,0.0,-4.8,-9.5,3.9,,,,-13.4,0.0,0.0,0.0,0.0,-7.3,0.0,-7.3,0.0,0.0,-282.7,-16.2,20.0,0.0,0.0,125.0,-105.0,-149.7,1.1,-150.8,0.0,-136.8,-9.4,58.6,,,
09/30/2018,298.9,124.9,35.4,129.6,,12.4,27.7,89.5,9.0,9.0,0.0,4.6,-3.2,0.0,-3.2,7.8,16.2,,,,-8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-245.9,-16.0,-36.5,0.0,0.0,25.0,-61.5,-98.2,5.0,-103.2,0.0,-95.2,-2.3,55.3,,,
12/31/2018,264.4,-151.3,43.8,357.9,,20.8,23.9,313.2,14.0,14.0,0.0,2.7,-5.2,0.0,-5.2,7.9,21.9,,,,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-141.4,-15.8,-19.1,0.0,0.0,560.0,-579.1,-78.1,0.0,-78.1,0.0,-28.4,-5.1,120.6,,,
