Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1994,52141,255,255,0.0,4929,,,7369,,,,,1350,,,,13903,10711,17704,-6993,5002,,22525,,,,,22525,38238,,2641,2641,,,,1193,,,,,8885,,,8885,12719,14993,,,,11837,,,,11837,26830,39549,0.0,935,,,-4728.0,,16385.0,12592,0.0,12592,52141,
09/30/1994,52882,354,354,0.0,4852,,,7708,,,,,1326,,,,14240,10865,18017,-7152,4919,,22858,,,,,22858,38642,,2719,2719,,,,1763,,,,,9423,,,9423,13905,15557,,,,10481,,,,10481,26038,39943,0.0,935,,,-5100.0,,17104.0,12939,0.0,12939,52882,
12/31/1994,52649,184,184,0.0,4382,,,7987,,,,,1355,,,,13908,11171,18254,-7083,4920,,22650,,,,,22650,38741,,3789,3789,,,,1497,,,,,8283,,,8283,13569,14975,,,,11319,,,,11319,26294,39863,0.0,935,,,-5.591,,11856.591,12786,0.0,12786,52649,
03/31/1995,53487,257,257,0.0,4973,,,8062,,,,,1345,,,,14637,11235,18541,-7306,4861,,22754,,,,,22754,38850,,2528,2528,,,,1489,,,,,8930,,,8930,12947,15621,,,,11509,,,,11509,27130,40077,0.0,935,,,-5991.0,,18466.0,13410,0.0,13410,53487,
06/30/1995,53263,191,191,0.0,5029,,,7522,,,,,1287,,,,14029,11387,18940,-7553,4975,,22872,,,,,22872,39234,,2659,2659,,,,1714,,,,,8618,,,8618,12991,14739,,,,11653,,,,11653,26392,39383,0.0,935,,,-6347.0,,19292.0,13880,0.0,13880,53263,
09/30/1995,53690,878,878,0.0,4945,,,7612,,,,,1288,,,,14723,11272,18899,-7627,5172,,22523,,,,,22523,38967,,2280,2280,,,,2419,,,,,9363,,,9363,14062,14247,,,,11483,,,,11483,25730,39792,0.0,935,,,-6762.0,,19725.0,13898,0.0,13898,53690,
12/31/1995,53811,1138,1138,0.0,4508,,,7862,,,,,1371,,,,14879,11116,18601,-7485,5330,,22486,,,,,22486,38932,,3364,3364,,,,2719,,,,,8861,,,8861,14944,13107,,,,11775,,,,11775,24882,39826,0.0,935,,,-7196.0,,20246.0,13985,0.0,13985,53811,
03/31/1996,54752,680,680,0.0,5109,,,8547,,,,,1364,,,,15700,11276,19054,-7778,5298,,22478,,,,,22478,39052,,2352,2352,,,,2559,,,,,9616,,,9616,14527,14156,,,,11899,,,,11899,26055,40582,0.0,935,,,-7721.0,,20956.0,14170,0.0,14170,54752,
06/30/1996,55026,1165,1165,0.0,5168,,,8201,,,,,1239,,,,15773,11293,19221,-7928,5473,,22487,,,,,22487,39253,,2325,2325,,,,3162,,,,,9476,,,9476,14963,14009,,,,11831,,,,11831,25840,40803,0.0,935,,,-8291.0,,21579.0,14223,0.0,14223,55026,
09/30/1996,54721,459,459,0.0,5105,,,8601,,,,,1215,,,,15380,11412,19493,-8081,5531,,22398,,,,,22398,39341,,2457,2457,,,,2296,,,,,9291,,,9291,14044,14233,,,,12069,,,,12069,26302,40346,0.0,935,,,-8818.0,,22258.0,14375,0.0,14375,54721,
12/31/1996,54871,240,240,0.0,4466,,,9002,,,,,1482,,,,15190,11751,19972,-8221,5659,,22271,,,,,22271,39681,,3409,3409,,,,2279,,,,,9352,,,9352,15040,12961,,,,12652,,,,12652,25613,40653,0.0,935,,,-9387.0,,22670.0,14218,0.0,14218,54871,
03/31/1997,54722,321,321,0.0,5209,,,8812,,,,,1484,,,,15826,11376,19534,-8158,5642,,21878,,,,,21878,38896,,2077,2077,,,,2361,,,,,9795,,,9795,14233,13979,,,,12693,,,,12693,26672,40905,0.0,935,,,-9903.0,,22785.0,13817,0.0,13817,54722,
06/30/1997,54972,317,317,0.0,5175,,,8860,,,,,1567,,,,15919,11547,19929,-8382,5866,,21640,,,,,21640,39053,,2428,2428,,,,2342,,,,,9755,,,9755,14525,13135,,,,12864,,,,12864,25999,40524,0.0,935,,,-9903.0,,23416.0,14448,0.0,14448,54972,
09/30/1997,55043,779,779,0.0,5050,,,8925,,,,,1397,,,,16151,11609,19999,-8390,5593,,21690,,,,,21690,38892,,2305,2305,,,,2195,,,,,9847,,,9847,14347,13283,,,,12772,,,,12772,26055,40402,0.0,935,,,-9866.0,,23572.0,14641,0.0,14641,55043,
12/31/1997,55947,2282,2282,0.0,4294,,,9039,6037.0,,3002.0,,1825,,,,17440,11621,20002,-8381,5712,,21174,17789.0,,,,3385,38507,,3318,3318,,,,1673,,,,,10080,,,10080,15071,12430,,,,13526,,,,13526,25956,41027,0.0,935,,,-9830.0,,23815.0,14920,0.0,14920,55947,
03/31/1998,57358,2454,2454,0.0,4974,,,9719,6568.0,,3151.0,,1817,,,,18964,11757,20356,-8599,5773,,20864,17736.0,,,,3128,38394,,2597,2597,,,,2776,,,,,10456,,,10456,15829,12465,,,,13822,,,,13822,26287,42116,0.0,935,,,-9749.0,,24056.0,15242,0.0,15242,57358,
06/30/1998,59363,4605,4605,0.0,5293,,,9119,6076.0,,3043.0,,1840,,,,20857,11855,20595,-8740,5900,,20751,17557.0,,,,3194,38506,,2505,2505,,,,2527,,,,,11047,,,11047,16079,13127,,,,14135,,,,14135,27262,43341,0.0,935,,,-9694.0,,24781.0,16022,0.0,16022,59363,
09/30/1998,60875,5524,5524,0.0,5122,,,9246,6207.0,,3039.0,,1846,,,,21738,12113,21158,-9045,6127,,20897,17653.0,,,,3244,39137,,2692,2692,,,,2304,,,,,11096,,,11096,16092,13292,,,,14257,,,,14257,27549,43641,0.0,935,,,-9638.0,,25937.0,17234,0.0,17234,60875,
12/31/1998,59920,4081,4081,0.0,4691,,,9445,6457.0,,2988.0,,2013,,,,20230,12335,21234,-8899,6324,,21031,17566.0,,,,3465,39690,,3359,3359,,,,2047,,,,,10973,,,10973,16379,12615,,,,14729,,,,14729,27344,43723,0.0,935,,,-9893.0,,25155.0,16197,0.0,16197,59920,
03/31/1999,58782,3194,3194,,4941,4941.0,,9610,6447.0,,3163.0,,1914,,,,19659,12167,21108,-8941,6354,,20602,17040.0,17040.0,0.0,,3562,39123,,2493,2493,,,,1834,,,,,11916,,,11916,16243,11960,,,,14738,,,,14738,26698,42941,,935,,,-10504.0,26991.0,-1581.0,15841,,15841,58782,
06/30/1999,60453,4408,4408,,4865,4865.0,,9104,6177.0,,2927.0,,2095,,,,20472,12170,21275,-9105,6911,,20900,17268.0,17268.0,0.0,,3632,39981,,2630,2630,,,,1320,,,,,12598,,,12598,16548,13052,,,,14912,,,,14912,27964,44512,,935,,,-11242.0,27957.0,-1709.0,15941,,15941,60453,
09/30/1999,62320,5876,5876,,4711,4711.0,,8937,6063.0,,2874.0,,2369,,,,21893,12173,21445,-9272,7433,,20821,17138.0,17138.0,0.0,,3683,40427,,2318,2318,,,,1608,,,,,14097,,,14097,18023,13123,,,,15279,,,,15279,28402,46425,,935,,,-12004.0,28819.0,-1855.0,15895,,15895,62320,
12/31/1999,61381,5100,5100,,4313,4313.0,,9028,6088.0,,2940.0,,2454,,,,20895,12271,21599,-9328,7527,,20688,16879.0,16879.0,0.0,,3809,40486,,3351,3351,,,,2242,,,,,12424,,,12424,18017,12226,,,,15833,,,,15833,28059,46076,,935,,,-13078.0,29556.0,-2108.0,15305,,15305,61381,
03/31/2000,60647,4226,4226,,4621,4621.0,,8686,5863.0,,2823.0,,2470,,,,20003,12381,21793,-9412,7563,,20700,16910.0,16910.0,0.0,,3790,40644,,2493,2493,,,,1337,,,,,14062,,,14062,17892,11757,,,,15883,,,,15883,27640,45532,,935,,,-13896.0,30378.0,-2302.0,15115,,15115,60647,
06/30/2000,59786,4224,4224,,4710,4710.0,,8113,5489.0,,2624.0,,1922,,,,18969,12355,21876,-9521,7820,,20642,16686.0,16686.0,0.0,,3956,40817,,2426,2426,,,,2024,,,,,12956,,,12956,17406,11255,,,,16047,,,,16047,27302,44708,,935,,,-14.763,31468.0,-17310.237,15078,,15078,59786,
09/30/2000,60279,4779,4779,,4549,4549.0,,8100,5425.0,,2675.0,,2171,,,,19599,12252,21753,-9501,7972,,20456,16381.0,16381.0,0.0,,4075,40680,,2703,2703,,,,2736,,,,,13862,,,13862,19301,10217,,,,15859,,,,15859,26076,45377,,935,,,-15653.0,32617.0,-2997.0,14902,,14902,60279,
12/31/2000,79067,937,937,,5019,5019.0,,8765,5470.0,,3295.0,,2517,,,,17238,15303,24906,-9603,8118,,38408,33090.0,33090.0,0.0,,5318,61829,,3787,3787,,,,9968,,,,,13221,,,13221,26976,19154,,,,17932,,,,17932,37086,64062,,935,,,-16461.0,33481.0,-2950.0,15005,,15005,79067,
03/31/2001,79498,426,426,,5148,5148.0,,9025,5670.0,,3355.0,,2007,,,,16606,15259,25104,-9845,8156,,39477,33159.0,33159.0,0.0,,6318,62892,,2847,2847,,,,11748,,,,,13663,,,13663,28258,18712,,,,17698,,,,17698,36410,64668,,935,,,-17065.0,34055.0,-3095.0,14830,,14830,79498,
06/30/2001,79467,395,395,,5329,5329.0,,8724,5580.0,,3144.0,,2283,,,,16731,15064,25103,-10039,8241,,39431,33041.0,33041.0,0.0,,6390,62736,,2758,2758,,,,5639,,,,,15223,,,15223,23620,14793,,,,17635,,,,17635,32428,56048,,5300,,,-17846.0,35182.0,-3101.0,19535,3884.0,23419,79467,
09/30/2001,80339,459,459,,5292,5292.0,,9063,5757.0,,3306.0,,2578,,,,17392,15057,25379,-10322,8329,,39561,33128.0,33128.0,0.0,,6433,62947,,2685,2685,,,,5484,,,,,16476,,,16476,24645,14254,,,,17593,,,,17593,31847,56492,,5452,,,-18786.0,36276.0,-3061.0,19881,3966.0,23847,80339,
12/31/2001,84968,453,453,,5148,5148.0,,8923,5736.0,,3187.0,,2751,,,,17275,15137,25625,-10488,8691,,43865,37548.0,37548.0,0.0,,6317,67693,,3600,3600,,,,3451,,,,,13602,,,13602,20653,18651,,,,22031,,,,22031,40682,61335,,5438,,,-19714.0,37269.0,-3373.0,19620,4013.0,23633,84968,
03/31/2002,83544,383,383,,5275,5275.0,,8875,5624.0,,3251.0,,1936,,,,16469,15056,25735,-10679,8650,,43369,37485.0,25606.0,11879.0,,5884,67075,,2927,2927,,,,3511,,,,,11476,,,11476,17914,19771,,,,22139,,,,22139,41910,59824,,5392,,,-20579.0,38454.0,-3585.0,19682,4038.0,23720,83544,
06/30/2002,86183,1380,1380,,5567,5567.0,,9087,5671.0,,3416.0,,2119,,,,18153,15390,26456,-11066,8381,,44259,37879.0,37879.0,0.0,,6380,68030,,2878,2878,,,,3681,,,,,13954,,,13954,20513,18667,,,,22264,,,,22264,40931,61444,,5581,,,-21548.0,39773.0,-3265.0,20541,4198.0,24739,86183,
09/30/2002,85985,455,455,,5030,5030.0,,9331,5701.0,,3630.0,,2295,,,,17111,14563,24050,-9487,8751,,45560,37568.0,37568.0,0.0,,7992,68874,,2739,2739,,,,1304,,,,,15602,,,15602,19645,18386,,,,22374,,,,22374,40760,60405,,5593,,,-23768.0,42796.0,-3276.0,21345,4235.0,25580,85985,
12/31/2002,87540,565,565,,5139,5139.0,,9127,5540.0,,3587.0,,2610,,,,17441,14846,24553,-9707,9075,,46178,37871.0,26037.0,11834.0,,8307,70099,,3088,3088,,,,1965,,,,,14029,,,14029,19082,21355,,,,23259,,,,23259,44614,63696,,5577,,,-25.402,43259.0,-29332.598,19478,4366.0,23844,87540,
03/31/2003,89900,1391,1391,,5465,5465.0,,9447,5530.0,,3917.0,,2888,,,,19191,15101,25338,-10237,8751,,46857,38109.0,38109.0,0.0,,8748,70709,,2726,2726,,,,1931,,,,,15196,,,15196,19853,22908,,,,22545,,,,22545,45453,65306,,5711,,,-25.964,44016.0,-29552.036,20149,4445.0,24594,89900,
06/30/2003,94152,4832,4832,,5596,5596.0,,9482,5607.0,,3875.0,,2319,,,,22229,15621,26416,-10795,8993,,47309,38440.0,38440.0,0.0,,8869,71923,,2650,2650,,,,7411,,,,,13348,,,13348,23409,21090,,,,22787,,,,22787,43877,67286,,5683,,,-25.816,45167.0,-28586.184,22238,4628.0,26866,94152,
09/30/2003,94426,6048,6048,,5161,5161.0,,9152,5514.0,,3638.0,,2498,,,,22859,15377,26153,-10776,8464,,47726,38558.0,26751.0,11807.0,,9168,71567,,2639,2639,,,,5937,,,,,14546,,,14546,23122,20787,,,,23031,,,,23031,43818,66940,,5688,,,-25.78,46290.0,-29123.22,22829,4657.0,27486,94426,
12/31/2003,96175,3777,3777,,5256,5256.0,,9540,5600.0,,3940.0,,2809,,,,21382,16067,27233,-11166,8393,,50333,39545.0,27742.0,11803.0,,10788,74793,,3198,3198,,,,3376,,,,,14819,,,14819,21393,21163,,,,23782,,,,23782,44945,66338,,5748,,,-25.554,47008.0,-27653.446,25077,4760.0,29837,96175,
03/31/2004,95565,3204,3204,,5592,5592.0,,9543,5537.0,,4006.0,,1980,,,,20319,16009,27637,-11628,8336,,50901,39679.0,28277.0,11402.0,,11222,75246,,2780,2780,,,,4022,,,,,12021,,,12021,18823,19294,,,,25846,,,,25846,45140,63963,,6007,,,-25.152,47696.0,-26837.848,26840,4762.0,31602,95565,
06/30/2004,97921,5031,5031,,5672,5672.0,,9216,5407.0,,3809.0,,2228,,,,22147,15773,27551,-11778,8196,,51805,39758.0,28316.0,11442.0,,12047,75774,,2877,2877,,,,4325,,,,,13852,,,13852,21054,20559,,,,23848,,,,23848,44407,65461,,6047,,,-25.097,48950.0,-27196.903,27775,4685.0,32460,97921,
09/30/2004,100244,6669,6669,,5492,5492.0,,9647,5586.0,,4061.0,,2490,,,,24298,15832,27898,-12066,7984,,52130,39913.0,28378.0,11535.0,,12217,75946,,2926,2926,,,,4303,,,,,15764,,,15764,22993,19580,,,,23904,,,,23904,43484,66477,,6014,,,-25.08,50124.0,-27029.92,29083,4684.0,33767,100244,
12/31/2004,101648,5744,5744,,5754,5754.0,,10041,5813.0,,4228.0,,4362,,,,25901,16305,29087,-12782,7827,,51615,39169.0,28056.0,11113.0,,12446,75747,,3466,3466,,,,4297,,,,,15811,,,15811,23574,18683,,,,23913,,,,23913,42596,66170,,6111,,,-24851.0,50595.0,-1141.0,30714,4764.0,35478,101648,
03/31/2005,102280,4208,4208,,6080,6080.0,,10124,5716.0,,4408.0,,3564,,,,23976,16187,29241,-13054,7756,,54361,39140.0,28063.0,11077.0,,15221,78304,,3072,3072,,,,6969,,,,,12904,,,12904,22945,18224,,,,23934,,,,23934,42158,65103,,6422,,,-24548.0,51573.0,-1038.0,32409,4768.0,37177,102280,
06/30/2005,108205,8499,8499,0.0,5737,5737.0,,10867,6199.0,0.0,4668.0,0.0,2405,,,,27508,16247,29305,-13058,7500,,56950,43503.0,32427.0,11076.0,,13447,80697,,3153,3153,,,,8762,,,,,16160,,,16160,28075,19034,,,,23069,,,,23069,42103,70178,0.0,6473,,,-24378.0,52759.0,-1466.0,33388,4639.0,38027,108205,
09/30/2005,106090,6195,6195,,5503,5503.0,,10918,6346.0,,4572.0,,2906,,,,25522,16318,29596,-13278,7210,,57040,43266.0,32191.0,11075.0,,13774,80568,,3279,3279,,,,5567,,,,,16145,,,16145,24991,19153,,,,22976,,,,22976,42129,67120,,6556,,,-24214.0,54012.0,-1848.0,34506,4464.0,38970,106090,
12/31/2005,107949,6258,6258,,5361,5361.0,,10584,6292.0,,4292.0,,3578,,,,25781,16678,29956,-13278,7189,,58301,43415.0,31219.0,12196.0,,14886,82168,,3645,3645,,,,6266,,,,,16247,,,16247,26158,17868,,,,24075,,,,24075,41943,68101,,6996,,,-24102.0,54666.0,-1853.0,35707,4141.0,39848,107949,
03/31/2006,104814,2491,2491,,5324,5324.0,,11580,6357.0,,5223.0,,2729,,,,22124,16719,30381,-13662,6935,,59036,43835.0,31634.0,12201.0,,15201,82690,,3098,3098,,,,7386,,,,,12910,,,12910,23394,16058,,,,23272,,,,23272,39330,62724,,6915,,,-24027.0,56617.0,-1361.0,38144,3946.0,42090,104814,
06/30/2006,106764,5613,5613,,5808,5808.0,,11139,6298.0,,4841.0,,2871,,,,25431,16876,31206,-14330,6837,,57620,44446.0,32154.0,12292.0,,13174,81333,,3176,3176,,,,6116,,,,,15895,,,15895,25187,15495,,,,22505,,,,22505,38000,63187,,7026,,,-23947.0,57653.0,-1041.0,39691,3886.0,43577,106764,
09/30/2006,107779,5695,5695,,5826,5826.0,,11765,6772.0,,4993.0,,2913,,,,26199,17043,31784,-14741,6732,,57805,45010.0,33142.0,11868.0,,12795,81580,,3589,3589,,,,6415,,,,,17317,,,17317,27321,13221,,,,22251,,,,22251,35472,62793,,7174,,,-23791.0,58724.0,-917.0,41190,3796.0,44986,107779,
12/31/2006,104270,4781,4781,,2808,2808.0,,8680,5492.0,,3188.0,,9883,,,,26152,7581,14882,-7301,10414,,60123,8105.0,6197.0,1908.0,,52018,78118,,1414,1414,,,,1068,,,,,22945,,,22945,25427,7417,,,,31807,,,,31807,39224,64651,,7291,,,-23743.0,59879.0,-3808.0,39619,,39619,104270,
03/31/2007,44609,2189,2189,,2725,2725.0,,8562,5185.0,,3377.0,,1181,,,,14657,7719,15183,-7464,6453,,15780,8500.0,6597.0,1903.0,3772.0,3508,29952,,1074,1074,,,,579,,,,,8969,,,8969,10622,7952,,,,11525,,,,11525,19477,30099,,7661,,,-23617.0,32010.0,-1544.0,14510,,14510,44609,
06/30/2007,49495,6156,6156,,2525,2525.0,,8263,5287.0,,2976.0,,1552,,,,18496,7880,15712,-7832,6414,,16705,8732.0,6794.0,1938.0,3934.0,4039,30999,,1072,1072,,,,4004,,,,,12004,,,12004,17080,4304,,,,11922,,,,11922,16226,33306,,7732,,,-23546.0,32770.0,-767.0,16189,,16189,49495,
09/30/2007,51728,7309,7309,,2523,2523.0,,8932,5469.0,,3463.0,,1983,,,,20747,8074,16171,-8097,6376,,16531,8574.0,6700.0,1874.0,3911.0,4046,30981,,1166,1166,,,,4485,,,,,13533,,,13533,19184,3540,,,,11765,,,,11765,15305,34489,,7774,,,-23521.0,33822.0,-836.0,17239,,17239,51728,
12/31/2007,57746,4842,4842,,83,83.0,,1254,1021.0,,233.0,,16711,,,,22890,2422,5626,-3204,6029,,26405,3125.0,76.0,3049.0,4495.0,18785,34856,,611,611,,,,2354,,,,,15817,,,15817,18782,2385,,,,17677,,,,17677,20062,38844,0.0,7819,,,-23454.0,34426.0,111.0,18902,0.0,18902,57746,
03/31/2008,25847,4813,4813,,167,167.0,,1277,1000.0,,277.0,,2378,,,,8635,2207,5294,-3087,5852,,9153,3125.0,81.0,3044.0,4126.0,1902,17212,,321,321,,,,1269,,,,,9502,,,9502,11092,736,,,,9311,,,,9311,10047,21139,,7384,,,-23441.0,21575.0,-810.0,4708,,4708,25847,
06/30/2008,20851,415,415,,51,51.0,,1139,861.0,,278.0,,1952,,,,3557,2179,5288,-3109,5831,,9284,3124.0,81.0,3043.0,4273.0,1887,17294,,271,271,,,,2089,,,,,4521,,,4521,6881,601,,,,9435,,,,9435,10036,16917,,7303,,,-24468.0,21907.0,-808.0,3934,,3934,20851,
09/30/2008,20670,915,915,,52,52.0,,1060,803.0,,257.0,,1818,,,,3845,2162,5316,-3154,5527,,9136,3122.0,81.0,3041.0,4146.0,1868,16825,,293,293,,,,284,,,,,5896,,,5896,6473,601,,,,9418,,,,9418,10019,16492,,7304,,,-24444.0,22113.0,-795.0,4178,,4178,20670,
12/31/2008,27215,7916,7916,,44,44.0,,1069,872.0,,197.0,,2047,,,,11076,2199,5344,-3145,5451,,8489,3116.0,77.0,3039.0,,5373,16139,,494,494,,,,135,,,,,6513,,,6513,7142,7339,,,,9906,,,,9906,17245,24387,,7285,,,-24407.0,22131.0,-2181.0,2828,,2828,27215,
03/31/2009,38656,3858,3858,0.0,86,86.0,,2033,1212.0,0.0,821.0,0.0,2102,,1751.0,351.0,8079,2844,6049,-3205,5046,5046.0,22687,17150.0,4998.0,12152.0,4354.0,1183,30577,,8394,415,44.0,666.0,7269.0,1210,835.0,,,375.0,0,,,0,9604,12460,12460.0,,,13779,,3911.0,8110.0,1758,26239,35843,,7094,935.0,6159.0,-24203.0,22058.0,-2171.0,2778,35.0,2813,38656,
