Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/28/1992,86.684998,,-60.689999,,25.994999,,-13.824,,,,12.171,-0.93,,1.168,,,,-0.238,11.241,-5.192,,,6.049,0.0,,,6.049,-0.457,5.592,0.0,,5.592,5.592,,62.436001,0.09,0.09,,62.436001,0.09,0.09,0.09,
09/27/1992,81.342003,,-59.088001,,22.254002,,-14.275,,,,7.979,-0.615,,0.915,,,,-0.3,7.364,-2.873,,,4.491,0.0,,,4.491,-0.386,4.105,0.0,,4.105,4.105,,62.639999,0.065,0.065,,62.639999,0.065,0.065,0.065,
12/31/1992,88.365997,,-64.275002,,24.090996,,-15.968,,,,8.123,-0.905,,0.767,,0.0,,0.138,7.218,-2.274,,,4.944,0.0,,,4.944,-0.484,4.46,0.0,,4.46,4.46,,62.858002,0.07,0.07,,62.858002,0.07,0.07,0.07,
04/04/1993,86.900002,,-62.799999,,24.100002,,-14.9,,,,9.2,0.5,,0.7,,0.0,,-1.2,9.7,-3.8,,,5.9,0.0,,,5.9,-0.3,6.6,0.0,,6.6,6.6,,63.056,0.09,0.09,,63.056,0.09,0.09,0.09,
07/04/1993,87.099998,,-60.200001,,26.899998,,-15.8,,,,11.1,-0.6,,0.7,,0.0,,-0.1,10.5,-3.8,,,6.7,0.0,,,6.7,-0.5,6.2,0.0,,6.2,6.2,,63.243999,0.0975,0.0975,,63.243999,0.0975,0.0975,0.0975,
10/03/1993,81.900002,,-57.799999,,24.100002,,-15.1,,,,9.0,-1.1,,0.7,,0.0,,0.4,7.9,-2.8,,,5.1,0.0,,,5.1,-0.3,4.8,0.0,,4.8,4.8,,63.515999,0.075,0.075,,63.515999,0.075,0.075,0.075,
12/31/1993,92.800003,,-63.299999,,29.500004,,-18.200001,,,,11.3,-1.9,,1.0,,0.0,,0.9,9.4,-3.9,,,5.5,-1.0,,,6.5,-0.6,4.9,0.0,,4.9,4.9,,63.604,0.0925,0.0925,,63.604,0.0925,0.0925,0.0925,
03/31/1994,87.099998,,-58.200001,,28.899998,,-15.5,,,,13.4,-1.2,,0.6,,0.0,,0.6,12.2,-4.7,,,7.5,0.0,,,7.5,-0.5,7.0,0.0,,7.0,7.0,,63.824001,0.11,0.11,,63.824001,0.11,0.11,0.11,
06/30/1994,91.5,,-61.700001,,29.799999,,-16.9,,,,12.9,-1.2,,0.7,,0.0,,0.5,11.7,-4.2,,,7.5,0.0,,,7.5,0.0,7.5,0.0,,7.5,7.5,,63.972,0.1175,0.1175,,63.972,0.1175,0.1175,0.1175,
09/30/1994,87.400002,,-62.0,,25.400002,,-15.6,,,,9.8,-0.7,,1.1,,0.0,,-0.4,9.1,-3.2,,,5.9,0.0,,,5.9,-0.3,5.6,0.0,,5.6,5.6,,64.195999,0.0875,0.0875,,64.195999,0.0875,0.0875,0.0875,
12/31/1994,99.099998,,-67.099998,,32.0,,-22.700001,,,,9.3,0.3,,0.9,,0.0,,-1.2,9.6,-1.3,,,8.3,0.0,,,8.3,-1.1,7.2,0.0,,7.2,7.2,,64.863998,0.11,0.11,,64.863998,0.11,0.11,0.11,
03/31/1995,95.199997,,-63.099998,,32.099998,,-16.799999,,,,15.3,-1.8,,1.4,,0.0,,0.4,13.5,-5.1,,,8.4,0.0,,,8.4,-0.2,8.2,0.0,,8.2,8.2,,65.963997,0.125,0.125,,65.963997,0.125,0.125,0.125,
06/30/1995,109.0,,-77.099998,,31.900002,,-18.1,,,,13.8,-0.1,,2.0,,0.0,,-1.9,13.7,-4.7,,,9.0,0.0,,,9.0,-0.3,8.7,0.0,,8.7,8.7,,66.124001,0.13,0.13,,66.124001,0.13,0.13,0.13,
09/30/1995,101.099998,,-76.400002,,24.699997,,-16.6,,,,8.1,-1.5,,2.1,,0.0,,-0.6,6.600001,-2.5,,,4.1,0.0,,,4.100001,-0.2,3.9,0.0,,3.9,3.9,,66.344002,0.06,0.06,,66.344002,0.06,0.06,0.06,
12/31/1995,107.599998,,-78.099998,,29.5,,-18.4,,,,11.1,-2.3,,1.8,,1.4,,-0.9,8.8,-1.6,,,7.2,0.0,,,7.2,-0.1,7.1,0.0,,7.1,7.1,,64.800003,0.1175,0.1175,,64.800003,0.1175,0.1175,0.1175,
03/31/1996,113.900002,,-82.599998,,31.300003,,-19.1,,,,12.2,-22.800001,,1.6,,0.0,,21.200001,-10.600001,2.4,,,-8.2,0.0,,,-8.200001,0.0,-8.2,0.0,,-8.2,-8.2,,66.524002,-0.1225,-0.1225,0.105,66.524002,-0.1225,-0.1225,0.1025,
06/30/1996,119.0,,-87.099998,,31.900002,,-18.1,,,,13.8,-1.0,,1.8,,0.0,,-0.8,12.8,-4.6,,,8.2,0.0,,,8.2,-0.1,8.1,0.0,,8.1,8.1,,65.592003,0.125,0.125,0.125,66.124001,0.1225,0.1225,0.1225,
09/30/1996,111.300003,,-81.699997,,29.600006,,-18.1,,,,11.5,-1.2,,2.0,,0.0,,-0.8,10.3,-3.7,,,6.6,0.0,,,6.6,0.0,6.6,0.0,,6.6,6.6,,65.099998,0.1,0.1,0.1,65.099998,0.1,0.1,0.1,
12/31/1996,114.599998,,-81.300003,,33.299995,,-17.5,,,,15.8,-1.0,,1.5,,0.0,,-0.5,14.8,-4.9,,,9.9,0.0,,,9.9,0.0,9.9,0.0,,9.9,9.9,,65.456001,0.15,0.15,0.15,65.456001,0.15,0.15,0.15,
03/31/1997,114.699997,,-82.0,,32.699997,,-18.0,,,,14.7,-1.1,,1.4,,0.0,,-0.3,13.6,-5.2,,,8.4,0.0,,,8.4,0.0,8.4,0.0,,8.4,8.4,,65.632004,0.1275,0.1275,0.1275,66.204002,0.1275,0.1275,0.1275,
06/30/1997,123.099998,,-86.800003,,36.299995,,-19.1,,,,17.200001,-0.9,,1.4,,0.0,,-0.5,16.300001,-6.2,,,10.1,0.0,,,10.100001,0.0,10.1,0.0,,10.1,10.1,,65.804001,0.1525,0.1525,0.1525,66.332001,0.1525,0.1525,0.1525,
09/30/1997,105.199997,,-76.0,,29.199997,,-16.299999,,,,12.9,-0.2,,1.4,,0.0,,-1.2,12.7,4.6,,,17.299999,0.0,,,17.3,0.0,17.299999,0.0,,17.299999,17.299999,,65.924004,0.2625,0.2625,0.12,66.375999,0.2625,0.2625,0.12,
12/31/1997,109.5,,-75.599998,,33.900002,,-16.799999,,,,17.1,-1.8,,1.4,,0.0,,0.4,15.3,-6.5,,,8.8,0.0,,,8.8,-0.2,8.6,0.0,,8.6,8.6,,66.152,0.13,0.13,0.1525,66.896004,0.1275,0.1275,0.15,
03/31/1998,105.199997,,-73.900002,,31.299995,,-16.799999,,,,14.5,-28.8,,1.2,,0.0,,27.6,-14.3,-5.4,,,-19.700001,0.0,,,-19.700001,0.0,-19.700001,0.0,,-19.700001,-19.700001,,66.412003,-0.2975,-0.2975,0.125,66.412003,-0.2975,-0.2975,0.125,
06/30/1998,115.800003,,-81.0,,34.800003,,-18.4,,,,16.4,-0.6,,1.9,,0.0,,-1.3,15.8,-5.8,,,10.0,0.0,,,9.999999,-0.1,9.9,0.0,,9.9,9.9,,67.963997,0.145,0.145,0.145,68.283997,0.145,0.145,0.145,
09/30/1998,113.900002,,-80.5,,33.400002,,-17.299999,,,,16.1,-5.5,,1.8,,0.0,,3.7,10.6,-4.1,,,6.5,0.0,,,6.5,0.0,6.5,0.0,,6.5,6.5,,68.012001,0.095,0.095,0.1325,68.311996,0.095,0.095,0.1325,
12/31/1998,114.800003,,-79.099998,,35.700005,,-18.0,,,,17.700001,-1.8,,2.3,,0.0,,-0.5,15.900001,-5.9,,,10.0,0.0,,,10.000001,0.0,10.0,0.0,,10.0,10.0,,60.647999,0.165,0.165,0.165,61.0,0.165,0.165,0.165,
03/31/1999,114.199997,,-79.800003,,34.399994,,-17.0,,,,17.4,-1.9,,2.0,,0.0,,-0.1,15.5,-5.9,,,9.6,0.0,,,9.6,-0.1,9.5,0.0,,9.5,9.5,,60.327999,0.1575,0.1575,0.1575,60.532001,0.1575,0.1575,0.1575,
06/30/1999,124.4,,-84.6,,39.8,0.0,-20.0,19.7,,0.3,19.8,-2.8,,2.8,,,,,17.0,-6.6,,,10.4,0.0,,,10.4,,10.4,0.0,0.0,10.4,10.4,,59.78,0.175,0.175,0.175,60.172,0.1725,0.1725,0.1725,
09/30/1999,115.1,,-80.8,,34.3,0.0,-19.2,19.2,,0.0,15.1,-2.6,,2.9,,,0.1,-0.3,12.5,-4.0,,,8.6,,,,8.6,,8.6,,0.0,8.6,8.6,,59.592,0.145,0.145,0.145,60.296,0.1425,0.1425,0.1425,
12/31/1999,115.4,,-79.6,,35.8,0.0,-20.8,22.0,,-1.2,15.0,-2.8,,2.7,,,,0.7,12.2,-1.9,,,10.3,,,,10.3,-0.1,10.2,,0.0,10.2,10.2,,58.972,0.172963,0.172963,0.18437,59.408,0.171694,0.171694,0.181783,
03/31/2000,108.7,,-80.5,,28.2,,-17.8,17.4,,0.4,10.4,-2.5,3.0,3.0,,0.0,,-0.5,7.9,-2.7,,,5.2,0.0,,,5.2,-0.1,5.1,0.0,0.0,5.1,5.1,,58.184,0.0875,0.0875,0.0875,58.248,0.0875,0.0875,0.0875,
06/30/2000,113.599998,,-85.400002,,28.199997,,-17.0,,,,11.2,-3.1,,3.4,,0.0,,-0.3,8.1,-3.0,,,5.1,0.0,,,5.1,-0.1,5.0,0.0,0.0,5.0,5.0,,57.852001,0.0875,0.0875,0.0875,57.860001,0.0875,0.0875,0.0875,
09/30/2000,104.5,,-79.900002,,24.599998,,-16.5,,,,8.1,-3.0,,3.2,,0.0,,-0.2,5.1,-0.5,,,4.6,0.0,,,4.6,0.0,4.6,0.0,0.0,4.6,4.6,,57.348,0.08,0.08,0.0525,57.348,0.08,0.08,0.0525,
12/31/2000,104.199997,,-81.800003,,22.399994,,-16.799999,,,,5.6,-23.4,,3.5,,0.0,,19.9,-17.8,4.7,,,-13.1,0.0,,,-13.1,0.0,-13.1,0.0,,-13.1,-13.1,,57.271999,-0.2275,-0.2275,0.0425,57.271999,-0.2275,-0.2275,0.0425,
03/31/2001,99.300003,,-69.800003,,29.5,,-18.200001,,,,11.3,-3.1,,,,0.0,,3.1,8.2,-2.8,,,5.4,-0.1,,,5.5,-0.1,5.4,0.0,0.0,5.4,5.4,,57.279999,0.095,0.0925,0.0925,57.292,0.095,0.0925,0.0925,
06/30/2001,100.5,,-70.9,,29.6,0.0,-18.4,18.0,,0.4,11.2,-7.5,3.0,,,,0.2,4.5,3.7,-1.1,,,2.8,-0.3,,,3.1,,3.1,,0.0,3.1,3.1,,57.344,0.055,0.05,0.1,57.424,0.055,0.05,0.1,
09/30/2001,96.5,,-69.900002,,26.599998,,-18.299999,,,,8.3,-1.1,,,,0.0,,1.1,7.2,-1.5,,,5.7,-0.2,,,5.9,0.0,5.9,0.0,0.0,5.9,5.9,,57.372002,0.1025,0.1,0.0725,57.411999,0.1025,0.1,0.0725,
12/31/2001,100.599998,,-70.199997,,30.400002,,-18.9,,,,11.5,-2.5,,,,0.0,,2.5,9.0,-3.2,,,5.8,25.4,,,-19.6,0.0,-19.6,0.0,0.0,-19.6,-19.6,,57.375999,-0.34,0.1025,0.105,57.400002,-0.34,0.1025,0.105,
03/31/2002,101.699997,,-70.900002,,30.799995,,-20.299999,,,,10.5,-0.4,,,,0.0,,0.4,10.1,-3.8,,,6.3,0.2,,,6.1,0.0,6.1,0.0,0.0,6.1,6.1,,57.464001,0.105,0.11,0.11,57.588001,0.105,0.11,0.11,
06/30/2002,106.5,,-75.800003,,30.699997,,-21.5,,,,9.2,-1.8,,,,0.0,,1.8,7.4,-2.2,,,5.2,-0.1,,,5.3,0.0,5.3,0.0,0.0,5.3,5.3,,57.720001,0.0925,0.09,0.09,58.028,0.0925,0.09,0.09,
09/30/2002,104.1,,-77.8,,26.3,0.0,-19.5,19.1,,0.4,6.8,-11.2,2.1,,,,-0.4,9.1,-4.4,2.8,,,-2.0,-5.6,,,3.6,,3.6,,0.0,3.6,3.6,,57.852,0.0625,-0.035,0.0675,57.852,0.0625,-0.035,0.0675,
12/31/2002,103.400002,,-74.900002,,28.5,,-21.0,,,,7.5,-3.7,,,,0.0,,3.7,3.8,-0.9,,,2.9,-0.1,,,3.0,0.4,3.4,0.0,0.0,3.4,3.4,,57.852001,0.06,0.0575,0.0675,57.852001,0.06,0.0575,0.0675,
03/31/2003,117.800003,,-81.400002,,36.400002,,-24.4,,,,12.0,-6.9,,,,0.0,,6.9,5.1,-1.3,,,3.8,0.0,,,3.8,0.0,3.8,0.0,0.0,3.8,3.8,,57.919998,0.065,0.065,0.1225,57.919998,0.065,0.065,0.1225,
06/30/2003,126.400002,,-85.0,,41.400002,,-26.799999,,,,14.6,-4.8,,,,0.0,,4.8,9.8,-2.9,,,6.9,0.0,,,6.9,0.0,6.9,0.0,0.0,6.9,6.9,,57.931999,0.12,0.12,0.1625,57.931999,0.12,0.12,0.1625,
09/30/2003,120.1,,-84.3,,35.8,0.0,-27.8,27.8,,0.0,8.0,-2.4,2.0,,,,,1.1,5.6,-1.5,,,4.1,,,,4.1,,4.1,,0.0,4.1,4.1,,58.024,0.07,0.07,0.07,58.396,0.07,0.07,0.07,
12/31/2003,126.400002,,-84.199997,,42.200005,,-32.0,,,,10.2,17.9,,,,0.0,,-17.9,28.099999,-11.0,,,17.1,0.0,,,17.099999,0.0,17.1,0.0,0.0,17.1,17.1,,58.327999,0.2925,0.2925,0.1075,59.495998,0.285,0.285,0.1,
03/31/2004,130.399994,,-90.900002,,39.499992,,-25.1,,,,14.4,-1.7,,,,0.0,,1.7,12.7,-3.8,,,8.9,1.9,,,7.0,0.0,7.0,0.0,0.0,7.0,7.0,,58.888,0.12,0.15,0.182,60.268002,0.115,0.15,0.18,
06/30/2004,136.100006,,-93.699997,,42.400009,,-26.6,,,,15.8,-0.8,,,,0.0,,0.8,15.0,-4.5,,,10.5,2.8,,,7.7,0.0,7.7,0.0,0.0,7.7,7.7,,59.84,0.13,0.175,0.193382,61.408001,0.125,0.17,0.187913,
09/30/2004,133.1,,-97.2,,35.9,,-25.9,,,,10.0,-0.7,1.9,,,0.0,,-1.2,9.3,-2.5,,,6.8,2.5,,,4.3,0.0,4.3,0.0,0.0,4.3,4.3,,60.344,0.07,0.115,0.115,62.542,0.07,0.11,0.11,
12/31/2004,142.0,,-103.9,,38.1,,-26.3,,,,11.8,-4.3,,,,0.0,,4.3,7.5,-0.2,,,7.3,6.9,,,0.4,0.0,0.4,0.0,0.0,0.4,0.4,,60.552,0.005,0.12,0.12825,62.768,0.005,0.115,0.12,
03/31/2005,149.5,,-103.1,,46.4,,-25.2,,,,21.2,-2.5,,,,0.0,,2.5,18.7,-5.7,,,13.0,-0.3,,,13.3,0.0,13.3,0.0,0.0,13.3,13.3,,61.29,0.215,0.21,0.21,63.55,0.21,0.205,0.205,
06/30/2005,173.0,,-122.4,,50.6,,-32.1,,,,18.5,-0.8,,,,0.0,,0.8,17.7,-5.5,,,12.2,-0.6,,,12.8,0.0,12.8,0.0,0.0,12.8,12.8,,61.956,0.205,0.195,0.212755,64.31,0.2,0.19,0.207104,
09/30/2005,181.6,,-137.8,,43.8,,-30.7,,,,13.1,-3.0,3.7,,,0.0,,-0.7,10.1,-3.0,,,7.1,-0.7,,,7.8,0.0,7.8,0.0,0.0,7.8,7.8,,62.668,0.125,0.115,0.115,65.552,0.12,0.11,0.11,
12/31/2005,195.6,,-143.8,,51.8,,-33.7,,,,18.1,12.1,,0.0,-2.1,0.5,,-10.5,30.2,-3.1,,,13.0,1.2,,,25.9,-0.1,11.7,0.0,0.0,11.7,11.7,,62.2,0.185,0.205,0.190445,65.05,0.17,0.19,0.175896,
03/31/2006,222.800003,,-155.899994,,66.900009,,-38.0,,,,28.9,-9.1,,3.8,-0.7,-0.2,,6.2,19.8,-5.4,,,14.4,-3.8,,,18.2,-0.1,18.1,0.0,0.0,18.1,18.1,,63.507999,0.285,0.225,0.2801,66.25,0.275,0.215,0.26785,
06/30/2006,240.199997,,-169.699997,,70.5,,-38.400002,,,,32.099998,-2.1,,3.3,-0.5,0.4,,-1.1,29.999999,-9.2,,,20.799999,0.0,,,20.799999,-0.1,20.700001,0.0,0.0,20.700001,20.700001,,64.152,0.32,0.32,0.32,67.115997,0.31,0.31,0.31,
09/30/2006,218.399994,,-159.600006,,58.799988,,-37.099998,,,,21.700001,-4.9,,3.1,-0.4,0.2,,2.0,16.800001,-4.9,,,11.9,-1.5,,,13.400001,-0.1,13.3,0.0,0.0,13.3,13.3,,64.463997,0.205,0.185,0.20205,67.657997,0.195,0.175,0.19125,
12/31/2006,231.899994,,-166.300003,,65.599991,,-44.700001,,,,20.9,-0.9,2.0,2.5,-0.5,0.3,,-1.4,20.0,-5.2,,,14.8,-0.3,,,15.1,-0.1,15.0,0.0,0.0,15.0,15.0,,65.0,0.23,0.225,0.225,68.0,0.22,0.215,0.215,
03/31/2007,257.6,,-177.2,,80.4,,-40.8,,,,39.6,-1.8,,2.9,-0.6,0.1,,-0.6,37.8,-11.2,,,26.6,0.0,,,26.6,-0.1,26.5,0.0,0.0,26.5,26.5,,65.4,0.405,0.405,0.405,69.0,0.385,0.385,0.385,
06/30/2007,263.7,,-187.0,,76.7,,-41.8,,,,34.9,-1.3,,3.9,-2.2,-0.5,,0.1,33.6,-7.0,,,26.6,0.5,,,26.1,-0.1,26.0,0.0,0.0,26.0,26.0,,65.8,0.395,0.4,0.4,74.2,0.365,0.37,0.37,
09/30/2007,242.7,,-178.4,,64.3,,-51.4,,,,12.9,-1.4,,3.9,-1.9,0.4,,-1.0,11.5,0.8,,,12.3,0.0,,,12.3,-0.1,12.2,0.0,0.0,12.2,12.2,,65.4,0.185,0.185,0.22,73.6,0.18,0.18,0.21,
12/31/2007,256.1,,-185.7,,70.4,,-44.2,,,,26.2,-20.2,2.5,3.8,-1.3,0.7,,17.0,6.0,0.3,,,6.3,0.1,,,6.2,-0.2,6.0,0.0,0.0,6.0,6.0,,64.6,0.095,0.095,0.27,72.4,0.095,0.095,0.25,
03/31/2008,270.7,,-187.2,,83.5,,-45.5,,,,38.0,-3.1,,4.1,-1.0,0.3,,-0.3,34.9,-8.5,,,26.4,0.0,,,26.4,-0.2,26.2,0.0,0.0,26.2,26.2,,64.4,0.405,0.405,0.385,72.2,0.38,0.38,0.36,
06/30/2008,279.3,,-195.7,,83.6,,-45.8,,,,37.8,1.9,,4.2,-0.7,0.2,,-5.6,39.7,-10.8,,,28.9,0.0,,,28.9,-0.2,28.7,0.0,0.0,28.7,28.7,,64.8,0.445,0.445,0.395,72.6,0.41,0.41,0.365,
09/30/2008,256.2,,-190.2,,66.0,,-46.1,,,,19.9,-5.6,,4.3,-0.4,0.3,,1.4,14.3,-0.8,,,13.5,0.0,,,13.5,-0.2,13.3,0.0,0.0,13.3,13.3,,65.0,0.205,0.205,0.19,72.4,0.2,0.2,0.185,
12/31/2008,244.9,,-175.3,,69.6,,-40.7,36.9,,3.8,28.9,-7.3,4.2,,,,,3.3,21.6,-3.7,,,17.9,0.0,,,17.9,-0.1,17.8,0.0,0.0,17.8,17.8,,65.2,0.27,0.27,0.27,72.2,0.26,0.26,0.26,
03/31/2009,242.4,242.4,-173.1,173.1,69.3,0.0,-48.1,42.9,4.3,0.9,21.2,-3.3,3.6,3.9,-0.3,,,0.0,17.9,-2.5,,,15.4,0.0,0.0,0.0,15.4,0.0,15.4,0.0,0.0,15.4,14.155,-1.245,65.4,0.235,0.235,0.216438,72.2,0.23,0.23,0.212756,
06/30/2009,261.0,261.0,-182.3,182.3,78.7,0.0,-50.1,45.1,4.7,0.3,28.6,-2.9,3.4,3.5,-0.1,,,0.0,25.7,-6.0,,,19.7,0.0,0.0,0.0,19.7,0.0,19.7,0.0,0.0,19.7,19.96,0.26,65.6,0.3,0.3,0.304268,72.4,0.285,0.285,0.288591,
09/30/2009,258.9,258.9,-187.2,187.2,71.7,0.0,-45.8,44.3,5.1,-3.6,25.9,-2.7,3.5,3.8,-0.3,,,0.0,23.2,-6.0,,,17.2,0.0,0.0,0.0,17.2,0.0,17.2,0.0,0.0,17.2,15.1,-2.1,65.8,0.26,0.26,0.229484,72.8,0.25,0.25,0.221154,
12/31/2009,293.4,293.4,-209.5,209.5,83.9,0.0,-62.2,45.4,5.8,11.0,21.7,-3.8,3.8,3.9,-0.1,,1.4,0.0,17.9,1.0,,,20.3,0.0,0.0,0.0,20.3,0.0,20.3,0.0,0.0,20.3,23.58,3.28,66.0,0.31,0.31,0.357272,73.0,0.295,0.295,0.339931,
03/31/2010,274.7,274.7,-192.5,192.5,82.2,0.0,-53.3,46.6,5.4,1.3,28.9,-2.9,3.9,4.0,-0.1,,,0.0,26.0,-6.2,,,19.8,0.0,0.0,0.0,19.8,0.0,19.8,0.0,0.0,19.8,20.19,0.39,66.2,0.3,0.3,0.304985,73.0,0.285,0.285,0.290343,
06/30/2010,281.8,281.8,-198.6,198.6,83.2,0.0,-52.7,45.8,5.7,1.2,30.5,-2.2,3.8,3.9,-0.1,,,0.0,28.3,-6.6,,,21.7,0.0,0.0,0.0,21.7,0.0,21.7,0.0,0.0,21.7,21.96,0.26,66.6,0.325,0.325,0.32973,73.4,0.31,0.31,0.313542,
09/30/2010,271.4,271.4,-196.7,196.7,74.7,0.0,-49.4,44.9,5.9,-1.4,25.3,-3.0,4.1,4.2,-0.1,,,0.0,22.3,-4.5,,,17.8,0.0,0.0,0.0,17.8,0.0,17.8,0.0,0.0,17.8,16.33,-1.47,66.8,0.265,0.265,0.244461,73.4,0.255,0.255,0.234973,
12/31/2010,276.8,276.8,-198.8,198.8,78.0,0.0,-72.1,50.5,6.9,14.7,5.9,-3.6,4.4,4.7,-0.3,,,0.0,2.3,3.6,,,5.9,0.0,0.0,0.0,5.9,0.0,5.9,0.0,0.0,5.9,15.455,9.555,66.8,0.09,0.09,0.231362,67.8,0.09,0.09,0.230929,
03/31/2011,295.4,295.4,-207.4,207.4,88.0,0.0,-59.2,50.6,6.9,1.7,28.8,-3.1,4.5,4.7,-0.2,,,0.0,25.7,-6.1,,,19.6,0.0,0.0,0.0,19.6,0.0,19.6,0.0,0.0,19.6,20.835,1.235,66.8,0.295,0.295,0.311901,73.6,0.28,0.28,0.29678,
06/30/2011,307.9,307.9,-223.3,223.3,84.6,0.0,-56.8,48.5,7.3,1.0,27.8,-2.4,4.3,4.6,-0.3,,,0.0,25.4,-5.3,,,20.1,0.0,0.0,0.0,20.1,0.0,20.1,0.0,0.0,20.1,21.71,1.61,67.2,0.3,0.3,0.323066,74.0,0.285,0.285,0.306757,
09/30/2011,293.6,293.6,-212.2,212.2,81.4,0.0,-55.3,45.7,7.7,1.9,26.1,-2.6,4.1,4.5,-0.4,,,0.0,23.5,-6.6,,,16.9,0.0,0.0,0.0,16.9,0.0,16.9,0.0,0.0,16.9,17.75,0.85,67.6,0.25,0.25,0.262574,74.0,0.245,0.245,0.256487,
