Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Zakat Expenses,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2003,97.414001,,-46.043999,,51.370003,,-28.542,,,,22.827999,-2.701,,1.999,,0.0,0.702,20.126999,-5.164,,14.963,0.0,,,14.962999,0.0,14.963,0.0,0.0,14.963,14.963,,131.339996,0.115,0.115,0.115,156.184006,0.105,0.105,0.105,
03/31/2004,108.861,,-55.441002,,53.419998,,-31.558001,,,,21.862,-2.933,,2.101,,0.0,0.832,18.929,-6.246,,12.683,0.0,,,12.683,0.0,12.683,0.0,0.0,12.683,12.683,,132.848008,0.095,0.095,0.095,140.440004,0.09,0.09,0.09,
06/30/2004,119.294998,,-58.271,,61.023998,,-33.810001,,,,27.214001,-1.782,,2.006,,0.0,-0.224,25.432001,-7.506,,17.926001,0.0,,,17.926001,0.0,17.926001,0.0,0.0,17.926001,17.926001,,134.408004,0.1325,0.1325,0.1325,142.475996,0.125,0.125,0.125,
09/30/2004,110.768997,,-51.789001,,58.979996,,-33.320999,,,,25.659,-2.383,,1.954,,0.0,0.429,23.276,-6.452,,16.823999,0.0,,,16.824,0.0,16.823999,0.0,0.0,16.823999,16.823999,,135.820008,0.125,0.125,0.125,163.42,0.11,0.11,0.11,
12/31/2004,143.726,,-67.991,,75.735,,-41.344,,,,34.391,-2.119,,2.031,,0.0,0.088,32.272,-8.21,,24.062,0.0,,,24.062,0.0,24.062,0.0,0.0,24.062,24.062,,137.42,0.175,0.175,0.175,163.944,0.155,0.155,0.155,
03/31/2005,108.317,,-49.731,,58.586,,-37.451,,,,21.135,-1.261,1.995,1.995,,0.0,-0.734,19.874,-5.167,,14.707,0.0,,,14.707,0.0,14.707,0.0,0.0,14.707,14.707,,139.108,0.105,0.105,0.105,165.112,0.095,0.095,0.095,
06/30/2005,130.966,,-59.639,,71.327,,-39.001,,,,32.326,0.88,1.972,1.972,,0.0,-2.852,33.206,-8.634,,24.572,0.0,,,24.572,0.0,24.572,0.0,0.0,24.572,24.572,,139.038,0.175,0.175,0.175,163.98,0.155,0.155,0.155,
09/30/2005,113.031,,-52.911,,60.12,,-33.779,,,,26.341,-2.903,1.954,1.954,,0.0,0.949,23.438,-6.094,,17.344,0.0,,,17.344,0.0,17.344,0.0,0.0,17.344,17.344,,139.554,0.125,0.125,0.125,164.584,0.11,0.11,0.11,
12/31/2005,156.246994,,-69.585999,,86.660995,,-40.509998,,,,46.151001,-0.445,-0.643,2.001,,0.0,1.088,45.706001,-11.564,,34.141998,0.0,,,34.142001,0.0,34.141998,0.0,0.0,34.141998,34.141998,,138.936005,0.245,0.245,0.245,162.444,0.215,0.215,0.215,
03/31/2006,117.339,,-56.491,,60.848,,-41.982,,,,18.866,-1.223,1.924,1.924,,0.0,-0.701,17.643,-4.984,,12.659,0.0,,,12.659,0.0,12.659,0.0,0.0,12.659,12.659,,138.326,0.09,0.09,0.09,162.622,0.085,0.085,0.085,
06/30/2006,138.55,,-64.639,,73.911,,-44.862,,,,29.049,0.772,1.953,1.953,,0.0,-2.725,29.821,-8.41,,21.411,0.0,,,21.411,0.0,21.411,0.0,0.0,21.411,21.411,,138.218,0.155,0.155,0.155,161.602,0.14,0.14,0.14,
09/30/2006,133.212,,-57.501,,75.711,,-41.744,,,,33.967,-0.818,2.266,2.266,,0.0,-1.448,33.149,-6.079,,27.07,0.0,,,27.07,0.0,27.07,0.0,0.0,27.07,27.07,,134.956,0.2,0.2,0.2,158.104,0.18,0.18,0.18,
12/31/2006,185.899002,,-81.456001,,104.443001,,-49.369999,,,,55.073002,-3.075,2.813,2.813,,0.0,0.262,51.998002,-12.242,,39.756001,0.0,,,39.756002,0.0,39.756001,0.0,0.0,39.756001,39.756001,,131.345993,0.305,0.305,0.305,155.240005,0.265,0.265,0.265,
03/31/2007,161.363,,-71.541,,89.822,,-53.84,,,,35.982,-0.331,2.74,2.74,,0.0,-2.409,35.651,-9.387,,26.264,0.0,,,26.264,0.0,26.264,0.0,0.0,26.264,26.264,,132.084,0.2,0.2,0.2,156.068,0.175,0.175,0.175,
06/30/2007,184.296,,-85.15,,99.146,,-57.983,,,,41.163,-1.395,2.564,2.564,,0.0,-1.169,39.768,-10.683,,29.085,0.0,,,29.085,0.0,29.085,0.0,0.0,29.085,29.085,,133.484,0.22,0.22,0.22,157.826,0.19,0.19,0.19,
09/30/2007,191.104,,-84.081,,107.023,,-55.2,,,,51.823,-1.288,2.245,2.245,,0.0,-0.957,50.535,-15.77,,34.765,0.0,,,34.765,0.0,34.765,0.0,0.0,34.765,34.765,,135.13,0.255,0.255,0.255,159.536,0.225,0.225,0.225,
12/31/2007,242.634,,-105.395,,137.239,,-74.375,,,,62.864,2.335,2.681,2.681,,0.0,-5.016,65.199,-18.602,,46.597,0.0,,,46.597,0.0,46.597,0.0,0.0,46.597,46.597,,136.224,0.34,0.34,0.34,161.426,0.3,0.3,0.3,
03/31/2008,236.906,,-106.111,,130.795,0.0,-75.689,52.579,,23.11,55.106,-3.782,,3.8,,,-0.018,51.324,-14.81,,36.514,,,,36.514,,36.521,0.0,0.0,36.521,36.521,0.0,136.992,0.27,0.27,0.27,161.488,0.24,0.24,0.24,
06/30/2008,260.978,,-114.364,,146.614,0.0,-81.941,58.394,,23.547,64.673,0.037,,3.6,,,-3.637,64.71,-20.059,,44.651,,,,44.651,,44.617,0.0,0.0,44.617,44.617,,138.054,0.32,0.32,0.32,162.344,0.29,0.29,0.29,
09/30/2008,276.74,,-121.478,,155.262,0.0,-78.612,56.973,,21.639,76.65,1.456,,3.5,,,-4.956,78.106,-23.354,,54.752,,,,54.752,,54.779,0.0,0.0,54.779,54.779,,139.211,0.39,0.39,0.39,163.124,0.35,0.35,0.35,
12/31/2008,302.35,,-128.879,,173.471,0.0,-85.409,63.741,,21.668,88.062,8.116,,3.436,,,-11.552,96.178,-31.194,,64.984,0.0,,,64.984,0.0,64.984,0.0,0.0,64.984,64.984,,139.679,0.47,0.47,0.47,162.728,0.41,0.41,0.41,
03/31/2009,271.996,271.996,-114.281,114.281,157.715,0.0,-74.349,51.94,22.409,0.0,83.366,-1.754,2.178,2.778,-0.6,-0.9,0.476,81.612,-27.34,,54.272,0.0,0.0,0.0,54.272,0.0,54.272,0.0,0.0,54.272,53.0253,-1.2467,143.819,0.38,0.38,0.368695,162.578,0.35,0.35,0.342332,
06/30/2009,277.978,277.978,-116.03,116.03,161.948,0.0,-77.287,54.055,23.232,0.0,84.661,-2.819,,1.727,,,1.092,81.842,-26.189,,55.653,0.0,0.0,0.0,55.653,0.0,55.653,0.0,0.0,55.653,55.65365,0.00065,149.948,0.37,0.37,0.371153,161.354,0.35,0.35,0.350004,
09/30/2009,285.553,285.553,-122.736,122.736,162.817,0.0,-73.498,52.204,21.294,0.0,89.319,-2.902,,1.238,,,1.664,86.417,-26.382,,60.035,0.0,0.0,0.0,60.035,0.0,60.035,0.0,0.0,60.035,59.84,-0.195,151.573,0.4,0.4,0.394793,160.287,0.38,0.38,0.378783,
12/31/2009,311.56,311.56,-135.511,135.511,176.049,0.0,-86.108,61.742,24.366,0.0,89.941,0.581,0.705,1.139,-0.434,,-1.286,90.522,-30.269,,60.253,0.0,0.0,0.0,60.253,0.0,60.253,0.0,0.0,60.253,60.253,0.0,152.163,0.4,0.4,0.4,161.241,0.38,0.38,0.38,
03/31/2010,287.298,287.298,-121.944,121.944,165.354,0.0,-81.011,56.208,24.803,0.0,84.343,-0.917,0.97,1.224,-0.254,0.2,-0.253,83.426,-27.531,,55.895,0.0,0.0,0.0,55.895,0.0,55.895,0.0,0.0,55.895,55.895,0.0,152.899,0.37,0.37,0.37,161.604,0.35,0.35,0.35,
06/30/2010,331.133,331.133,-147.81,147.81,183.323,0.0,-93.508,65.199,28.309,0.0,89.815,1.026,0.708,0.9,-0.192,,-1.734,90.841,-31.387,,59.454,0.0,0.0,0.0,59.454,0.0,59.454,0.0,0.0,59.454,62.47455,3.02055,154.495,0.38,0.38,0.404379,161.643,0.37,0.37,0.388687,
09/30/2010,332.497,332.497,-150.389,150.389,182.108,0.0,-96.321,67.801,28.52,0.0,85.787,0.736,,0.349,,,-1.085,86.523,-23.568,,62.955,0.0,0.0,0.0,62.955,0.0,62.955,0.0,0.0,62.955,64.58,1.625,158.215,0.4,0.4,0.408179,160.925,0.39,0.39,0.400098,
12/31/2010,437.509,437.509,-204.653,204.653,232.856,0.0,-132.489,97.486,35.003,0.0,100.367,1.543,0.053,0.412,-0.359,,-1.596,101.91,-31.84,,70.07,0.248,0.248,0.0,69.822,0.0,69.822,0.0,0.0,69.822,73.45,3.38,158.867,0.44,0.44,0.462336,161.51,0.43,0.43,0.450927,
03/31/2011,375.969,375.969,-179.457,179.457,196.512,0.0,-120.196,82.607,37.589,0.0,76.316,-0.938,0.086,0.35,-0.264,,0.852,75.378,-23.772,,51.606,0.291,0.291,0.0,51.315,0.0,51.315,0.0,0.0,51.315,51.606,0.0,159.4,0.32,0.32,0.32,162.31,0.32,0.32,0.32,
06/30/2011,391.555,391.555,-186.144,186.144,205.411,0.0,-163.608,124.127,39.481,0.0,41.803,1.775,0.349,0.435,-0.086,,-2.124,43.578,-13.755,,29.823,0.514,0.514,0.0,29.309,0.0,29.309,0.0,0.0,29.309,55.173,25.35,159.796,0.18,0.19,0.345271,162.55,0.18,0.18,0.335952,
09/30/2011,371.327,371.327,-169.43,169.43,201.897,0.0,-116.488,81.3,35.188,0.0,85.409,-1.437,1.371,1.526,-0.155,,0.066,83.972,-19.582,,64.39,-0.329,-0.329,0.0,64.719,0.0,64.719,0.0,0.0,64.719,64.975,0.585,158.665,0.41,0.41,0.409511,160.798,0.4,0.4,0.403638,
12/31/2011,405.212,405.212,-180.427,180.427,224.785,0.0,-115.117,80.197,34.92,0.0,109.668,-1.515,2.407,3.175,-0.768,,-0.892,108.153,-31.318,,76.835,0.705,0.705,0.0,76.13,0.0,76.13,0.0,0.0,76.13,76.835,0.0,155.647,0.49,0.49,0.49,157.611,0.48,0.49,0.49,
03/31/2012,348.452,348.452,-165.725,165.725,182.727,0.0,-114.431,77.86,36.571,0.0,68.296,-1.413,2.638,3.066,-0.428,,-1.225,66.883,-18.058,,48.825,0.686,0.686,0.0,48.139,0.0,48.139,0.0,0.0,48.139,48.825,0.0,154.485,0.31,0.32,0.32,156.972,0.31,0.31,0.31,
06/30/2012,338.291,338.291,-168.262,168.262,170.029,0.0,-109.308,71.798,37.51,0.0,60.721,-2.631,2.391,2.768,-0.377,,0.24,58.09,-15.685,,42.405,1.312,1.312,0.0,41.093,0.0,41.093,0.0,0.0,41.093,46.825,4.42,153.172,0.27,0.28,0.305702,155.033,0.27,0.27,0.29851,
09/30/2012,332.23,332.23,-158.877,158.877,173.353,0.0,-99.116,69.523,29.593,0.0,74.237,-5.003,2.828,3.096,-0.268,,2.175,69.234,-13.285,,55.949,0.044,0.044,0.0,55.905,0.0,55.905,0.0,0.0,55.905,56.144,0.195,150.878,0.37,0.37,0.372115,152.327,0.37,0.37,0.37128,
12/31/2012,386.385,386.385,-181.01,181.01,205.375,0.0,-105.299,70.482,33.704,1.113,100.076,-2.371,2.22,2.729,-0.509,,0.151,97.705,-19.528,,78.177,0.916,0.916,0.0,77.261,0.0,77.261,0.0,0.0,77.261,78.90045,0.72345,148.103,0.52,0.53,0.53274,149.419,0.52,0.52,0.524842,
03/31/2013,348.583,348.583,-164.596,164.596,183.987,0.0,-114.857,78.173,36.684,0.0,69.13,-1.942,2.706,2.897,-0.191,,-0.764,67.188,-15.552,,51.636,0.0,0.0,0.0,51.636,0.0,51.636,0.0,0.0,51.636,51.636,0.0,144.629,0.36,0.36,0.36,146.291,0.35,0.35,0.35,
06/30/2013,389.329,389.329,-199.288,199.288,190.041,0.0,-119.769,80.168,39.601,0.0,70.272,-3.668,3.493,3.767,-0.274,,0.175,66.604,-16.446,,50.158,0.0,0.0,0.0,50.158,0.0,50.158,0.0,0.0,50.158,50.158,0.0,142.085,0.35,0.35,0.35,143.774,0.35,0.35,0.35,
09/30/2013,358.141,358.141,-185.251,185.251,172.89,0.0,-109.351,76.365,32.986,0.0,63.539,-3.493,3.44,3.696,-0.256,,0.053,60.046,-13.56,,46.486,0.0,0.0,0.0,46.486,0.0,46.486,0.0,0.0,46.486,46.486,0.0,141.863,0.33,0.33,0.33,144.231,0.32,0.32,0.32,
12/31/2013,400.319,400.319,-210.228,210.228,190.091,0.0,-152.29,88.033,38.425,25.832,37.801,-2.653,3.394,3.731,-0.337,,-0.741,35.148,-6.413,,28.735,0.0,0.0,0.0,28.735,0.0,28.735,0.0,0.0,28.735,49.735,21.0,141.25,0.2,0.2,0.352106,143.441,0.2,0.2,0.346402,
03/31/2014,351.542,351.542,-183.01,183.01,168.532,0.0,-126.081,81.942,36.326,7.813,42.451,-3.246,3.444,3.708,-0.264,,-0.198,39.205,-9.311,,29.894,0.0,0.0,0.0,29.894,0.0,29.894,0.0,0.0,29.894,36.294,6.4,140.932,0.21,0.21,0.257528,143.828,0.21,0.21,0.254498,
06/30/2014,369.38,369.38,-186.662,186.662,182.718,0.0,-123.354,83.5,36.307,3.547,59.364,-2.287,3.357,3.629,-0.272,,-1.07,57.077,-12.319,,44.758,0.0,0.0,0.0,44.758,0.0,44.758,0.0,0.0,44.758,47.458,2.7,141.574,0.32,0.32,0.335217,144.12,0.31,0.31,0.328734,
09/30/2014,375.366,375.366,-190.98,190.98,184.386,0.0,-114.377,76.295,34.022,4.06,70.009,0.454,3.265,3.663,-0.398,,-3.719,70.463,-17.606,,52.857,0.0,0.0,0.0,52.857,0.0,52.857,0.0,0.0,52.857,55.957,3.1,141.433,0.37,0.37,0.395643,143.413,0.37,0.37,0.391616,
