Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2011,986,198.0,381.0,407.0,,407.0,,,,0.0,-298,-313,0,0.0,0.0,-313,-313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,-714,0,-580,0.0,1354.0,-1934.0,0,0,0,-134,0.0,-26,,,
09/30/2011,-98,549.0,384.0,-1031.0,,-1031.0,,,,0.0,-212,-233,0,0.0,0.0,-233,-233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,-238,0,-251,0.0,781.0,-1032.0,0,0,0,13,0.0,-548,,,
12/31/2011,1158,425.0,382.0,351.0,,351.0,,,,0.0,-412,-368,0,0.0,0.0,-368,-368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44,-396,0,-731,0.0,15.0,-746.0,0,0,0,335,0.0,350,,,
03/31/2012,831,124.0,386.0,321.0,,321.0,,,,0.0,-349,-407,0,0.0,0.0,-407,-407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,-228,0,-367,0.0,0.0,-367.0,0,0,0,139,0.0,254,,,
06/30/2012,632,-168.0,388.0,412.0,,412.0,,,,0.0,-652,-597,0,0.0,0.0,-597,-597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55,-352,0,-374,0.0,0.0,-374.0,0,0,0,22,0.0,-372,,,
09/30/2012,463,1047.0,392.0,-976.0,,-976.0,,,,0.0,-428,-426,0,0.0,0.0,-426,-426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-300,0,-669,0.0,0.0,-669.0,0,0,0,369,0.0,-265,,,
12/31/2012,550,7.0,399.0,144.0,,144.0,,,,0.0,-533,-538,0,0.0,0.0,-538,-538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,125,0,31,0.0,1485.0,-1454.0,0,0,0,94,0.0,142,,,
03/31/2013,1004,7.0,405.0,592.0,,592.0,,,,0.0,-630,-647,0,0.0,0.0,-647,-647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,-154,0,-299,0.0,0.0,-299.0,0,0,0,145,0.0,220,,,
06/30/2013,1208,685.0,415.0,108.0,,108.0,,,,0.0,-561,-338,0,0.0,0.0,-338,-338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-223,-318,0,-322,0.0,0.0,-322.0,0,0,0,4,0.0,329,,,
09/30/2013,1161,1369.0,418.0,-626.0,,-626.0,,,,0.0,-617,-631,0,0.0,0.0,-631,-631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,-491,-51,-347,0.0,0.0,-347.0,-93,0,-93,0,0.0,53,,,
12/31/2013,1131,8479.0,420.0,-7768.0,,-7768.0,,,,0.0,-948,-952,0,0.0,0.0,-952,-952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-357,-51,-293,0.0,200.0,-493.0,-157,0,-157,144,0.0,-174,,,
03/31/2014,951,213.0,442.0,296.0,121.0,175.0,,,,0.0,-563,-614,0,0.0,0.0,-614,-614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,-533,-51,-353,0.0,59.0,-412.0,-125,0,-125,-4,0.0,-145,,,
06/30/2014,2056,801.0,451.0,804.0,,804.0,,,,0.0,-279,-518,0,0.0,0.0,-518,-518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239,-1114,-50,-851,0.0,214.0,-1065.0,-225,0,-225,12,0.0,663,,,
09/30/2014,1358,357.0,440.0,561.0,,561.0,,,,0.0,-1583,-457,0,0.0,0.0,-457,-457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1126,-627,-75,-301,0.0,707.0,-1008.0,-250,0,-250,-1,0.0,-852,,,
12/31/2014,582,-712.0,438.0,1409.0,-415.0,1824.0,-553.0,,-553.0,0.0,-38,-660,0,0.0,0.0,-660,-660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622,-966,-75,-403,0.0,40.0,-443.0,-500,0,-500,12,0.0,-422,,,
03/31/2015,1636,746.0,470.0,420.0,435.0,-15.0,,,,0.0,-812,-586,0,0.0,0.0,-586,-586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-226,-790,-75,-260,0.0,41.0,-301.0,-425,0,-425,-30,0.0,34,,,
06/30/2015,2745,1485.0,448.0,812.0,868.0,-56.0,,,,0.0,-955,-919,0,0.0,0.0,-919,-919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36,-1619,-72,-333,0.0,0.0,-333.0,-925,0,-925,-289,0.0,171,,,
09/30/2015,2067,1315.0,466.0,749.0,720.0,29.0,-463.0,,-463.0,0.0,-1009,-562,0,0.0,0.0,-562,-562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-447,-982,-107,-520,0.0,997.0,-1517.0,-425,0,-425,70,0.0,76,,,
12/31/2015,1479,980.0,451.0,179.0,558.0,-379.0,-131.0,,-131.0,0.0,-1179,-878,0,0.0,0.0,-878,-878.0,0.0,0.0,0.0,0.0,-276.0,0.0,-276.0,0.0,-25,-697,-105,-407,,,-407.0,-425,0,-425,240,0.0,-397,,,
03/31/2016,1011,946.0,486.0,-140.0,475.0,-615.0,-281.0,,-281.0,0.0,-601,-871,0,0.0,0.0,-871,-871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270,-674,-107,59,68.0,450.0,-459.0,-775,0,-775,149,0.0,-264,,,
06/30/2016,3215,1546.0,470.0,316.0,791.0,-475.0,883.0,,883.0,0.0,-1112,-1046,0,0.0,0.0,-1046,-1046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66,-2149,-103,-860,0.0,0.0,-860.0,-1026,0,-1026,-160,0.0,-46,,,
09/30/2016,1854,1259.0,474.0,675.0,625.0,50.0,-554.0,,-554.0,0.0,-887,-680,0,0.0,0.0,-680,-680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-207,-991,-150,-254,0.0,0.0,-254.0,-500,0,-500,-87,0.0,-24,,,
12/31/2016,1125,622.0,472.0,332.0,332.0,0.0,-301.0,,-301.0,0.0,445,-794,0,0.0,0.0,-794,-794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1239,-446,-149,-306,0.0,0.0,-306.0,-300,0,-300,309,0.0,1124,,,
03/31/2017,-830,561.0,537.0,-2400.0,276.0,-2676.0,472.0,,472.0,0.0,-1708,-802,0,0.0,0.0,-802,-802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-906,1680,-149,1716,0.0,2004.0,-288.0,-200,0,-200,313,0.0,-858,,,
06/30/2017,2369,1186.0,531.0,27.0,629.0,-602.0,625.0,,625.0,0.0,-958,-988,0,0.0,0.0,-988,-988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,-1074,-148,-275,0.0,0.0,-275.0,-600,0,-600,-51,0.0,337,,,
09/30/2017,1593,1159.0,571.0,616.0,612.0,4.0,-753.0,,-753.0,0.0,-1295,-942,0,0.0,0.0,-942,-942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-353,-1086,-219,-255,0.0,0.0,-255.0,-550,0,-550,-62,0.0,-788,,,
12/31/2017,1891,299.0,583.0,697.0,725.0,-28.0,312.0,,312.0,0.0,-1305,-1160,0,0.0,0.0,-1160,-1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-145,-250,-216,11,0.0,450.0,-439.0,-325,0,-325,280,0.0,336,,,
03/31/2018,1372,557.0,603.0,-383.0,168.0,-551.0,595.0,,595.0,0.0,-927,-1265,0,0.0,0.0,-1265,-1265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338,-816,-217,-244,0.0,0.0,-244.0,-325,0,-325,-30,0.0,-371,,,
06/30/2018,2898,1036.0,583.0,276.0,338.0,-62.0,1003.0,,1003.0,0.0,-1545,-1580,0,0.0,0.0,-1580,-1580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,425,-213,1276,0.0,3124.0,-1848.0,-600,0,-600,-38,0.0,1778,,,
09/30/2018,1500,1322.0,573.0,290.0,354.0,-64.0,-685.0,,-685.0,0.0,-903,-962,0,0.0,0.0,-962,-962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,-1209,-241,-648,0.0,0.0,-648.0,-325,0,-325,5,0.0,-612,,,
12/31/2018,1245,1019.0,570.0,391.0,504.0,-113.0,-735.0,,-735.0,0.0,-1020,-1363,0,0.0,0.0,-1363,-1363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343,-125,-238,422,113.0,621.0,-312.0,-325,0,-325,16,0.0,100,,,
03/31/2019,1942,730.0,615.0,222.0,219.0,3.0,375.0,-897.0,1272.0,0.0,-1096,-1360,0,0.0,0.0,-1360,-1360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264,-609,-233,965,1750.0,500.0,-1285.0,-1325,0,-1325,-16,0.0,237,,,
06/30/2019,3268,1443.0,713.0,488.0,470.0,18.0,624.0,,624.0,0.0,-1562,-1559,0,0.0,0.0,-1559,-1559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-1662,-229,-1165,0.0,0.0,-1165.0,-268,0,-268,0,0.0,44,,,
09/30/2019,2245,1495.0,631.0,462.0,460.0,2.0,-343.0,,-343.0,0.0,-1125,-945,0,0.0,0.0,-945,-945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-180,-1451,-260,-355,0.0,0.0,-355.0,-208,0,-208,-628,0.0,-331,,,
12/31/2019,956,1099.0,622.0,272.0,324.0,-52.0,-1037.0,,-1037.0,0.0,-766,-1072,0,0.0,0.0,-1072,-1072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306,842,-258,1042,0.0,1557.0,-515.0,-226,0,-226,284,0.0,1032,,,
03/31/2020,358,-534.0,678.0,-54.0,21.0,-75.0,268.0,682.0,-414.0,0.0,-2971,-937,0,0.0,0.0,-937,-937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2034,5344,-260,5606,2882.0,3962.0,-1238.0,-344,0,-344,342,0.0,2731,,,
06/30/2020,-290,-5717.0,589.0,5325.0,875.0,4450.0,-487.0,,-487.0,0.0,-4076,-282,0,0.0,0.0,-282,-282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3794,9722,0,9996,379.0,10091.0,-474.0,0,0,0,-274,0.0,5356,,,
