Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/2007,39.182999,1.905,48.741001,-6.584,,-12.662,6.078,-4.879,-5.247,1.782,,-1.414,-40.346001,-40.345999,4.336,,,-44.681999,,,0.0,0.0,0.0,,,,,-1e-06,-11.471,-2.256,0.0,,,,-9.116,1.041,-10.157,-0.099,,-12.634,0.166,17.142,
12/31/2007,66.301,9.933,50.644,6.029,,2.812,3.217,-0.305,8.884,-4.818,,-4.371,-50.944,-50.944,2.689,,,-53.633,,,0.0,0.0,0.0,,,,,0.0,-34.758,-2.248,-26.784,,,,-9.843,1.995,-11.838,4.117,,-19.401,1.382,6.454,
03/31/2008,55.528,6.17,53.389999,15.48,,-2.398,17.878,-19.511999,-24.747,-0.145,,5.380001,-80.904999,-34.997999,0.254,,,-35.251999,,,0.0,0.0,0.0,,,,,-45.907,-1.563,-2.253,0.0,,,,0.69,2.614,-1.924,0.0,,-26.940001,-0.282,16.422001,
06/30/2008,76.252998,-4.427,52.702,5.043,,2.544,2.499,22.934999,15.834,1.934,,5.167,-31.610001,-31.339,0.07,,,-31.409,,,0.0,0.0,0.0,,,,,-0.271,3.938,-2.277,0.0,,,,6.215,6.364,-0.149,0.0,,48.581001,8.143,4.445,
09/30/2008,20.559999,-32.224998,51.967999,28.056999,,13.039,15.018,-27.24,-9.185,-3.084,,-14.970999,-41.997002,-41.718,2.463,,,-44.181,,,0.0,0.0,0.0,,,,,-0.279002,-26.630999,-2.268,0.0,,,,-22.266,0.648,-22.914,-2.097,,-48.068001,0.571,14.869,
12/31/2008,81.797,42.036,55.474,-16.059,,-19.851,3.792,0.346,-16.325,-11.178,,27.849,-46.005,-46.079,0.008,,,-46.087,,,0.0,0.0,0.0,,,,,0.074,-17.11,-2.227,0.0,,,,-14.866,,-14.866,-0.017,,18.682,3.869,4.601,
03/31/2009,43.75,40.964,46.066,11.815,5.366,3.791,2.658,-55.095,2.137,-18.777,,-38.455,-19.762,-18.136,0.0,,0.0,-18.136,-18.136,0.0,0.0,0.0,0.0,-1.75,0.0,-1.75,0.0,0.124,-7.492,0.0,-5.47,-5.416,,-0.054,-2.022,0.0,-2.022,0.0,0.0,16.496,13.63,6.579,
06/30/2009,13.826,15.359,41.954,-6.012,2.105,4.047,-12.164,-37.475,4.146,5.707,,-47.328,-27.787,-27.975,0.0,,0.0,-27.975,-27.975,0.0,0.0,0.0,0.0,1.75,0.0,1.75,0.0,-1.562,-11.357,0.0,-5.654,5.416,,-11.07,0.225,0.23,-0.005,-5.928,,-25.318,14.074,7.777,
09/30/2009,104.54,-16.265,144.615,-20.769,19.179,-55.732,15.784,-3.041,-24.255,-10.384,,31.598,-32.855,-56.705,0.0,,0.0,-56.705,-56.705,0.0,0.0,0.0,0.0,23.505,0.0,23.505,0.0,0.345,-257.496,0.0,-246.805,-16.429,,-230.376,-4.279,2.189,-6.468,-6.412,,-185.811,0.294,36.009,
12/31/2009,194.104,51.301,97.716,75.714,11.152,-0.864,65.426,-30.627,33.217,11.845,-7.86,-67.829,-201.406,-83.602,0.675,0.675,0.0,-84.277,-84.277,0.0,0.0,0.0,0.0,-23.505,-23.505,0.0,0.0,-94.299,-8.386,0.0,-10.234,-1.859,0.0,-8.375,2.807,3.186,-0.379,-0.959,,-15.688,,,
03/31/2010,143.25,14.041,170.495,21.032,24.143,-6.853,3.742,-62.318,-62.891,-30.232,,30.805,-101.3,-60.879,0.0,,0.0,-60.879,-60.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.421,-13.984,0.0,-8.375,0.0,,-8.375,-5.609,10.067,-15.676,0.0,0.0,27.966,,16.234,
06/30/2010,194.681,38.797,155.093,-4.715,-7.136,-33.258,35.679,5.506,-9.009,6.055,,8.46,-195.151,-75.016,0.0,,0.0,-75.016,-75.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.135,-74.48,0.0,-42.559,0.0,,-42.559,-23.231,1.765,-24.996,-8.69,,-74.95,27.518,15.681,
09/30/2010,173.12,31.874,155.963,-38.606,7.396,-1.557,-44.445,23.889,-1.583,3.411,,22.061,-148.886,-87.065,0.0,,0.0,-87.065,-87.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.821,-0.356,0.0,0.0,0.0,,0.0,-0.336,0.572,-0.908,-0.02,,23.878,16.219,17.662,
