Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Discontinued Operations,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1992,201509,74962,2114,72848,7629,,,6411,,,,,0.0,,,89002,20130,36335,-16205,65554.0,,,26823,,,,,,,26823,112507,,8206,8206,,,,53045,,,,,,69659,,,69659,130910,24368,,,,,22154,,,,,22154,46522,177432,0.0,584,,,-4474,,26663,22773,1304,24077,201509,
12/31/1992,192876,65327,3129,62198,7150,,,4574,,,,,0.0,,,77051,20387,35655,-15268,70293.0,,,25145,,,,,,,25145,115825,,8245,8245,,,,56389,,,,,,55841,,,55841,120475,25376,,,,,22222,,,,,22222,47598,168073,0.0,584,,,-4407,,27282,23459,1344,24803,192876,
03/31/1993,216878,88221,2824,85397,6659,,,5026,,,,,0.0,,,99906,20129,35837,-15708,67752.0,,,29091,,,,,,,29091,116972,,8175,8175,,,,54486,,,,,,79608,,,79608,142269,25168,,,,,24299,,,,,24299,49467,191736,0.0,584,,,-4573,,27772,23783,1359,25142,216878,
06/30/1993,226972,90590,2988,87602,7282,,,4995,,,,,0.0,,,102867,20416,36692,-16276,73199.0,,,30490,,,,,,,30490,124105,,8260,8260,,,,55006,,,,,,79903,,,79903,143169,26283,,,,,32300,,,,,32300,58583,201752,0.0,1295,,,-4612,,27082,23765,1455,25220,226972,
09/30/1993,233231,97110,2939,94171,7174,,,4766,,,,,0.0,,,109050,20704,37520,-16816,71878.0,,,31599,,,,,,,31599,124181,,10195,10195,,,,56015,,,,,,74122,,,74122,140332,28232,,,,,38824,,,,,38824,67056,207388,0.0,1340,,,-4407,,27389,24322,1521,25843,233231,
12/31/1993,251506,29867,3056,26811,8195,,,3824,,,,,0.0,,,41886,21153,37871,-16718,69259.0,,,119208,,,,,,,119208,209620,,5467,5467,,,,57375,,,,,,9637,,,9637,72479,28194,,,,,123353,,,,,123353,151547,224026,0.0,1134,,,-4771,,29461,25824,1656,27480,251506,
03/31/1994,270090,120699,2524,118175,7587,,,4333,,,,,0.0,,,132619,21810,39277,-17467,81091.0,,,34570,,,,,,,34570,137471,,13482,13482,,,,62697,,,,,,98077,,,98077,174256,29326,,,,,39240,,,,,39240,68566,242822,0.0,1129,,,-4800,,29066,25395,1873,27268,270090,
06/30/1994,261903,108533,3371,105162,7993,,,4500,,,,,0.0,,,121026,22095,40087,-17992,84466.0,,,34316,,,,,,,34316,140877,,12791,12791,,,,60186,,,,,,88135,,,88135,161112,32631,,,,,39854,,,,,39854,72485,233597,0.0,1128,,,-4715,,29971,26384,1922,28306,261903,
09/30/1994,254873,95893,3343,92550,7829,,,4670,,,,,0.0,,,108392,22806,41346,-18540,89046.0,,,34629,,,,,,,34629,146481,,13732,13732,,,,59879,,,,,,74517,,,74517,148128,35810,,,,,42123,,,,,42123,77933,226061,0.0,1040,,,-4887,,30723,26876,1936,28812,254873,
12/31/1994,185871,33556,2591,30965,7527,,,3880,,,,,0.0,,,44963,23465,41670,-18205,82393.0,,,35050,,,,,,,35050,140908,,6766,6766,,,,57781,,,,,,8307,,,8307,72854,36979,,,,,47804,,,,,47804,84783,157637,0.0,1716,,,-5312,,29983,26387,1847,28234,185871,
03/31/1995,198020,35123,2757,32366,7204,,,5294,,,,,0.0,,,47621,24180,43585,-19405,87564.0,,,38655,,,,,,,38655,150399,,6707,6707,,,,56596,,,,,,8371,,,8371,71674,45570,,,,,51448,,,,,51448,97018,168692,0.0,1954,,,-6045,,31370,27279,2049,29328,198020,
06/30/1995,205002,36617,3115,33502,8092,,,5254,,,,,0.0,,,49963,25038,45109,-20071,91016.0,,,38985,,,,,,,38985,155039,,6956,6956,,,,57889,,,,,,8158,,,8158,73003,48011,,,,,53195,,,,,53195,101206,174209,0.0,2114,,,-6821,,32949,28242,2551,30793,205002,
09/30/1995,214931,39979,3159,36820,8248,,,5229,,,,,0.0,,,53456,24476,44684,-20208,97089.0,,,39910,,,,,,,39910,161475,,8834,8834,,,,60251,,,,,,7527,,,7527,76612,49853,,,,,57633,,,,,57633,107486,184098,0.0,1972,,,-7687,,33989,28274,2559,30833,214931,
12/31/1995,228035,43890,2823,41067,8735,,,4395,,,,,0.0,,,57020,25679,45946,-20267,105789.0,,,39547,,,,,,,39547,171015,,9061,9061,,,,64463,,,,,,8477,,,8477,82001,51027,,,,,62442,,,,,62442,113469,195470,0.0,2257,,,-8176,,35528,29609,2956,32565,228035,
03/31/1996,230213,43923,3170,40753,8260,,,4894,,,,,0.0,,,57077,26248,47063,-20815,104595.0,,,42293,,,,,,,42293,173136,,8538,8538,,,,65696,,,,,,8700,,,8700,82934,52306,,,,,62731,,,,,62731,115037,197971,0.0,2437,,,-8979,,35813,29271,2971,32242,230213,
06/30/1996,242081,49958,3271,46687,8312,,,5051,,,,,0.0,,,63321,27028,48195,-21167,105688.0,,,46044,,,,,,,46044,178760,,8453,8453,,,,71425,,,,,,9516,,,9516,89394,49775,,,,,70669,,,,,70669,120444,209838,0.0,2573,,,-9999,,36722,29296,2947,32243,242081,
09/30/1996,249182,52950,4672,48278,8597,,,5061,,,,,0.0,,,66608,28212,50069,-21857,107163.0,,,47199,,,,,,,47199,182574,,9339,9339,,,,75122,,,,,,9474,,,9474,93935,48799,,,,,73396,,,,,73396,122195,216130,0.0,2794,,,-10691,,37896,29999,3053,33052,249182,
12/31/1996,272402,64080,4191,59889,8704,,,4473,,,,,0.0,,,77257,28795,50784,-21989,115132.0,,,51218,,,,,,,51218,195145,,10205,10205,,,,80200,,,,,,10102,,,10102,100507,49246,,,,,88517,,,,,88517,137763,238270,0.0,3092,,,-11308,,39341,31125,3007,34132,272402,
03/31/1997,270068,63403,3621,59782,8119,,,5226,,,,,0.0,,,76748,29278,51260,-21982,112050.0,,,51992,,,,,,,51992,193320,,9661,9661,,,,81931,,,,,,10358,,,10358,101950,46364,,,,,88172,,,,,88172,134536,236486,0.0,3166,,,-12377,,39675,30464,3118,33582,270068,
06/30/1997,278897,67952,3806,64146,8509,,,5376,,,,,0.0,,,81837,29872,52268,-22396,114066.0,,,53122,,,,,,,53122,197060,,9673,9673,,,,84136,,,,,,10890,,,10890,104699,46792,,,,,92650,,,,,92650,139442,244141,0.0,3587,,,-13800,,41835,31622,3134,34756,278897,
09/30/1997,285354,70994,4289,66705,8315,,,5412,,,,,0.0,,,84721,31069,54107,-23038,113401.0,,,56163,,,,,,,56163,200633,,9662,9662,,,,86577,,,,,,11247,,,11247,107486,47501,,,,,93566,,,,,93566,141067,248553,0.0,4051,,,-14185,,43830,33696,3105,36801,285354,
12/31/1997,304012,76482,5861,70621,8924,,,5895,3070.0,,2825.0,,0.0,,,91301,32316,55657,-23341,121454.0,,,58941,19121.0,,,,,,39820,212711,,10407,10407,,,,98075,,,,,,12186,,,12186,120668,46603,,,,,98621,,,,,98621,145224,265892,0.0,5028,,,-15268,,44678,34438,3682,38120,304012,
03/31/1998,309754,77371,5419,71952,8039,,,5975,3082.0,,2893.0,,0.0,,,91385,32727,56791,-24064,121820.0,,,63822,19675.0,,,,,,44147,218369,,10791,10791,,,,104170,,,,,,12177,,,12177,127138,43781,,,,,100303,,,,,100303,144084,271222,0.0,5436,,,-16478,,45761,34719,3813,38532,309754,
06/30/1998,318882,77956,3862,74094,8400,,,5564,2988.0,,2576.0,,0.0,,,91920,33308,57461,-24153,127185.0,,,66469,19939.0,,,,,,46530,226962,,10865,10865,,,,106322,,,,,,12317,,,12317,129504,48764,,,,,101069,,,,,101069,149833,279337,0.0,5816,,,-17537,,47306,35585,3960,39545,318882,
09/30/1998,334575,80581,5767,74814,8232,,,6202,3495.0,,2707.0,,0.0,,,95015,34085,59183,-25098,134967.0,,,70508,21377.0,,,,,,49131,239560,,11004,11004,,,,107127,,,,,,13115,,,13115,131246,57436,,,,,104576,,,,,104576,162012,293258,0.0,6621,,,-17926,,48470,37165,4152,41317,334575,
12/31/1998,355935,83034,4317,78717,8224,,,6049,3154.0,,3711.0,-816.0,0.0,,,97307,35730,61100,-25370,146355.0,,,76543,23635.0,,,,,,52908,258628,,12502,12502,,,,115378,,,,,,13699,,,13699,141579,59663,,,,,111538,,,,,111538,171201,312780,0.0,7402,,,-18739,,50217,38880,4275,43155,355935,
03/31/1999,361736,83089,4596,78493,8354,8354.0,,6398,3406.0,,3756.0,0.0,0.0,,,97841,35645,61554,-25909,149127.0,,,79123,24330.0,,,,,,54793,263895,,11959,11959,,,,116738,116738.0,0.0,0.0,,,14515,,,14515,143212,60502,60502.0,0.0,0.0,,114548,,,,,114548,175050,318262,0.0,7993,,,-19655,49563.0,892,38793,4681,43474,361736,
06/30/1999,368383,81656,5099,76557,8048,8048.0,,6576,3308.0,,3992.0,0.0,0.0,,,96280,35629,62171,-26542,154688.0,,,81786,24727.0,,,,,,57059,272103,,11557,11557,,,,120391,120391.0,0.0,0.0,,,16159,,,16159,148107,60852,60852.0,0.0,0.0,,114701,,,,,114701,175553,323660,0.0,8771,,,-19768,51235.0,-627,39611,5112,44723,368383,
09/30/1999,380224,84219,6112,78107,7293,8133.0,,8133,3490.0,,4504.0,0.0,0.0,,,99645,37622,65276,-27654,156646.0,,,86311,25567.0,,,,,,60744,280579,,12570,12570,,,,120010,120010.0,0.0,0.0,,,17095,,,17095,149675,66338,66338.0,0.0,0.0,,119048,,,,,119048,185386,335061,0.0,9539,,,-21171,52742.0,-1136,39974,5189,45163,380224,
12/31/1999,405200,90312,8554,81758,8531,8531.0,,7007,3438.0,,4263.0,0.0,0.0,,,105850,41022,68359,-27337,167337.0,,,90991,26010.0,23106.0,2904.0,,,,64981,299350,,13676,13676,,,,130346,130346.0,0.0,0.0,,,17194,,,17194,161216,71427,71427.0,0.0,0.0,,124786,,,,,124786,196213,357429,0.0,11384,,,-22567,54484.0,-744,42557,5214,47771,405200,
03/31/2000,421637,100643,18062,82581,7786,8786.0,,8786,3742.0,,4773.0,0.0,0.0,,,117215,41080,69251,-28171,168774.0,,,94568,27159.0,,,,,,67409,304422,,12790,12790,,,,122544,122544.0,0.0,0.0,,,18245,,,18245,153579,73413,73413.0,0.0,0.0,,145262,,,,,145262,218675,372254,0.0,12764,,,-22941,55724.0,-1049,44498,4885,49383,421637,
06/30/2000,424040,96504,12085,84419,8910,8910.0,,7878,3762.0,,5023.0,0.0,0.0,,,113292,42083,70830,-28747,171474.0,,,97191,27241.0,,,,,,69950,310748,,13373,13373,,,,119737,119737.0,0.0,0.0,,,18930,,,18930,152040,77603,77603.0,0.0,0.0,,143539,,,,,143539,221142,373182,0.0,13595,,,-23210,57749.0,-2209,45925,4933,50858,424040,
09/30/2000,431141,98022,8781,89241,9494,9494.0,,8466,4170.0,,5184.0,0.0,0.0,,,115982,40907,69613,-28706,172190.0,,,102062,27136.0,,,,,,74926,315159,,14610,14610,,,,121897,121897.0,0.0,0.0,,,21295,,,21295,157802,75813,75813.0,0.0,0.0,,144903,,,,,144903,220716,378518,0.0,14899,,,-24445,59575.0,-2284,47745,4878,52623,431141,
12/31/2000,437006,99534,8195,91339,9502,19004.0,,7812,4134.0,,4280.0,-602.0,0.0,,,116848,40015,67990,-27975,178815.0,,,101328,27441.0,23512.0,3929.0,,,,73887,320158,,14853,14853,,,,119180,119180.0,0.0,0.0,,,22079,,,22079,156112,82132,82132.0,0.0,0.0,,143334,,,,,143334,225466,381578,0.0,15864,,,-24444,61572.0,-2500,50492,4936,55428,437006,
03/31/2001,437985,100032,8177,91855,10035,10035.0,,8200,4498.0,,4329.0,0.0,0.0,,,118267,40176,68953,-28777,176644.0,,,102898,27156.0,,,,,,75742,319718,,13927,13927,,,,118360,118360.0,0.0,0.0,,,24160,,,24160,156447,80239,80239.0,0.0,0.0,,145455,,,,,145455,225694,382141,0.0,16207,,,-25103,62556.0,-2730,50930,4914,55844,437985,
06/30/2001,445347,102351,8000,94351,10038,10038.0,,8220,4935.0,,4089.0,0.0,0.0,,,120609,41453,70860,-29407,179389.0,,,103896,27475.0,,,,,,76421,324738,,15514,15514,,,,122129,122129.0,0.0,0.0,,,25536,,,25536,163179,78638,78638.0,0.0,0.0,,146399,,,,,146399,225037,388216,0.0,16684,,,-25801,64862.0,-3496,52249,4882,57131,445347,
09/30/2001,460097,106435,8834,97601,9977,9977.0,,8440,4776.0,,4229.0,0.0,0.0,,,124852,42135,72641,-30506,188198.0,,,104912,28106.0,,,,,,76806,335245,,16192,16192,,,,125473,125473.0,0.0,0.0,,,27123,,,27123,168788,81035,81035.0,0.0,0.0,,151815,,,,,151815,232850,401638,0.0,16959,,,-26366,66553.0,-3549,53597,4862,58459,460097,
12/31/2001,495023,109450,8433,101017,9590,9590.0,,8565,4708.0,,4221.0,0.0,0.0,,,127605,42140,71287,-29147,213557.0,,,111721,35124.0,28287.0,6837.0,,,,76597,367418,,18158,18158,,,,153076,153076.0,0.0,0.0,,,27670,,,27670,198904,79806,79806.0,0.0,0.0,,156274,,,,,156274,236080,434984,0.0,17362,,,-26916,68701.0,-4323,54824,5215,60039,495023,
03/31/2002,500736,111256,9442,101814,9521,9521.0,,9297,5108.0,,4405.0,0.0,0.0,,,130074,42953,72814,-29861,212137.0,,,115572,31715.0,28545.0,3170.0,,,,83857,370662,,17660,17660,,,,143476,143476.0,0.0,0.0,,,27730,,,27730,188866,93880,93880.0,0.0,0.0,,157598,,,,,157598,251478,440344,0.0,17711,,,-27143,69415.0,-4812,55171,5221,60392,500736,
06/30/2002,540888,117368,10211,107157,10207,10207.0,,9139,4955.0,,4524.0,0.0,0.0,,,136714,44471,75384,-30913,225591.0,,,134112,43718.0,36408.0,7310.0,,,,90394,404174,,17510,17510,,,,135224,135224.0,0.0,0.0,,,25992,,,25992,178726,125206,125206.0,0.0,0.0,,172908,,,,,172908,298114,476840,0.0,17815,,,-26903,72051.0,-4236,58727,5321,64048,540888,
09/30/2002,555523,126498,11126,115372,10803,10803.0,,9341,4992.0,,4690.0,0.0,0.0,,,146642,44345,76184,-31839,230359.0,,,134177,44637.0,37446.0,7191.0,,,,89540,408881,,20644,20644,,,,130486,130486.0,0.0,0.0,,,24728,,,24728,175858,134036,134036.0,0.0,0.0,,177933,,,,,177933,311969,487827,0.0,17902,,,-27023,74347.0,-2968,62258,5438,67696,555523,
12/31/2002,575244,125772,8910,116862,10681,10681.0,,9247,4894.0,,4587.0,-234.0,0.0,,,145700,49073,82082,-33009,198060.0,,,182411,46180.0,39138.0,7042.0,,,,136231,429544,,18874,18874,,,,138775,138775.0,0.0,0.0,,,24178,,,24178,181827,140632,140632.0,0.0,0.0,,183606,,,,,183606,324238,506065,0.0,17957,,,-26627,75553.0,-3177,63706,5473,69179,575244,
03/31/2003,583634,130610,9499,121111,10318,10318.0,,9198,4704.0,,4799.0,-305.0,0.0,,,150126,47430,81057,-33627,241692.0,,,144386,48648.0,41453.0,7195.0,,,,95738,433508,,18859,18859,,,,129706,129706.0,0.0,0.0,,,23559,,,23559,172124,155701,155701.0,0.0,0.0,,183938,,,,,183938,339639,511763,0.0,17861,,,-26084,76653.0,-2072,66358,5513,71871,583634,
06/30/2003,614857,115965,6535,109430,10194,10194.0,,9218,4705.0,,4863.0,-350.0,0.0,,,135377,50249,85907,-35658,255167.0,,,174064,50216.0,43329.0,6887.0,,,,123848,479480,,20786,20786,,,,134203,134203.0,0.0,0.0,,,23037,,,23037,178026,169002,169002.0,0.0,0.0,,190405,,,,,190405,359407,537433,0.0,17981,,,-25535,78517.0,1005,71968,5456,77424,614857,
09/30/2003,626933,127391,8321,119070,9962,9962.0,,9047,4649.0,,4665.0,-267.0,0.0,,,146400,49196,84707,-35511,253911.0,,,177426,50086.0,,,,,,127340,480533,,20567,20567,,,,127519,127519.0,0.0,0.0,,,22105,,,22105,170191,162911,162911.0,0.0,0.0,,215559,,,,,215559,378470,548661,0.0,18061,,,-25092,80254.0,-742,72481,5791,78272,626933,
12/31/2003,647483,133388,12664,120724,10732,10732.0,,8752,4530.0,,4573.0,-351.0,0.0,,,152872,53382,91206,-37824,226029.0,,,215200,55025.0,47487.0,7538.0,,,,160175,494611,,19824,19824,,,,134917,134917.0,0.0,0.0,,,21789,,,21789,176530,170004,170004.0,0.0,0.0,,215989,,,,,215989,385993,562523,0.0,18166,,,-24597,82796.0,2815,79180,5780,84960,647483,
03/31/2004,662106,138276,13371,124905,9952,9952.0,,9007,4668.0,,4948.0,-609.0,0.0,,,157235,57776,99016,-41240,269078.0,,,178017,57083.0,49830.0,7253.0,,,,120934,504871,,19794,19794,,,,143212,143212.0,0.0,0.0,,,20918,,,20918,183924,169472,169472.0,0.0,0.0,,215933,,,,,215933,385405,569329,0.0,19214,,,-21147,84014.0,4405,86486,6291,92777,662106,
06/30/2004,697085,133079,10265,122814,13257,13257.0,,9605,5014.0,,4914.0,-323.0,0.0,,,155941,61297,102974,-41677,290113.0,,,189734,80878.0,69403.0,11475.0,,,,108856,541144,,23474,23474,,,,160050,160050.0,0.0,0.0,,,23623,,,23623,207147,175658,175658.0,0.0,0.0,,199267,,,,,199267,374925,582072,0.0,24062,,,-13088,85822.0,1486,98282,16731,115013,697085,
09/30/2004,704620,135366,10075,125291,12468,12468.0,,9734,5186.0,,4780.0,-232.0,0.0,,,157568,61447,103929,-42482,292312.0,,,193293,81372.0,69739.0,11633.0,,,,111921,547052,,23587,23587,,,,153164,153164.0,0.0,0.0,,,23435,,,23435,200186,186336,186336.0,0.0,0.0,,200004,,,,,200004,386340,586526,0.0,24171,,,-12930,87761.0,2775,101777,16317,118094,704620,
12/31/2004,750507,69075,12152,56923,14233,14233.0,,9778,5042.0,,4995.0,-259.0,0.0,,,93086,63103,105872,-42769,282699.0,,,311619,78456.0,67365.0,11091.0,,,,233163,657421,,19137,19137,,,,157195,157195.0,0.0,0.0,,,23805,,,23805,200137,207871,207871.0,0.0,0.0,,219075,,,,,219075,426946,627083,0.0,24934,,,-12762,91411.0,7238,110821,12603,123424,750507,
12/31/2005,673321,50973,8825,42148,14851,14851.0,,10474,5527.0,,5311.0,-364.0,0.0,,,76298,67528,111729,-44201,287639.0,,,241856,81630.0,69611.0,12019.0,,,,160226,597023,,21183,21183,,,,158200,158200.0,0.0,0.0,,,25587,,,25587,204970,212281,212281.0,0.0,0.0,,138665,,,,,138665,350946,555916,0.0,25896,,,-17326,97644.0,3137,109351,8054,117405,673321,
12/31/2006,696683,61905,14099,47806,19617,19617.0,,10032,5870.0,,4317.0,-155.0,0.0,,,91554,70650,109371,-38721,321736.0,,,212743,84314.0,71399.0,12915.0,,,,128429,605129,,20632,20632,,,,172200,,,,,,25232,,,25232,218064,260752,,,,,98865,,,,,98865,359617,577681,0.0,26155,,,-24893,106993.0,3254,111509,7493,119002,696683,
09/30/2007,761706,65057,19848,45209,374389,12705.0,,13319,7888.0,,5354.0,77.0,,,,452765,76292,117694,-41402,,,,232649,105033.0,79093.0,25940.0,,,,127616,308941,,18716,18716,,,,180403,,,,,,28524,,,28524,227643,311220,,,,,102504,,,,,102504,413724,641367,,26592,,,-32136,114139.0,4236,112831,7508,120339,761706,
12/31/2007,795683,61007,15731,45276,22259,22259.0,,12897,7893.0,,5088.0,-84.0,0.0,,,96163,77888,119311,-41423,376123.0,,,245509,94903.0,81116.0,13787.0,,,,150606,699520,,21338,21338,,,,195100,,,,,,28801,,,28801,245239,319013,,,,,107868,,,,,107868,426881,672120,0.0,26769,,,-36896,117362.0,8324,115559,8004,123563,795683,
03/31/2008,833890,60913,15291,45622,21729,21729.0,,14276,8971.0,0.0,5379.0,-74.0,,,,96918,79210,122680,-43470,409763.0,,,247999,99069.0,83132.0,15937.0,,,,148930,736972,,21311,21311,,,,201157,,,,,,31453,,,31453,253921,346680,,,,,109055,,,,,109055,455735,709656,0.0,26845,,,-37657,118561.0,8251,116000,8234,124234,833890,
06/30/2008,846988,64850,18989,45861,22330,22330.0,,15012,9340.0,0.0,5593.0,79.0,0.0,,,102192,79925,124870,-44945,415302.0,,,249569,100371.0,84439.0,15932.0,,,,149198,744796,,22278,22278,,,,204837,,,,,,32452,,,32452,259567,351264,,,,,108977,,,,,108977,460241,719808,0.0,26829,,,-38216,120537.0,9236,118386,8794,127180,846988,
09/30/2008,829550,59760,16301,43459,22439,22439.0,,14719,9343.0,,5364.0,12.0,0.0,,,96918,80095,127594,-47499,413170.0,,,239367,96164.0,83061.0,13103.0,,,,143203,732632,,20679,20679,,,,218748,,,,,,33179,,,33179,272606,329915,,,,,105666,,,,,105666,435581,708187,0.0,26575,,,-37829,121755.0,1826,112327,9036,121363,829550,
12/31/2008,797769,89633,48187,41446,21411,21411.0,,13674,8710.0,,5109.0,-145.0,0.0,,,124718,78530,125671,-47141,365168.0,,,229353,94382.0,81759.0,12623.0,,,,134971,673051,,20819,20819,,,,193695,,,,,,34096,,,34096,248610,330067,,,,,105480,,,,,105480,435547,684157,0.0,41092,,,-36697,122123.0,-21853,104665,8947,113612,797769,
03/31/2009,760807,88761,46830,41931,19198,19198.0,0.0,13831,8903.0,0.0,4888.0,40.0,0.0,,0.0,121790,72222,116171,-43949,347647.0,,347647.0,219148,95398.0,80640.0,14758.0,,1340.0,,122222,639017,,18171,18171,,,,176320,97302.0,,,,79018.0,33315,,,21494,227806,327658,327658.0,,,,95867,,,,5179.0,89348,423525,651331,0.0,39852,702.0,39150.0,-34813,121572.0,-25592,101019,8457,109476,760807,
06/30/2009,778168,97530,52316,45214,19194,19194.0,0.0,13307,8432.0,0.0,4763.0,112.0,0.0,,0.0,130031,72937,118117,-45180,351601.0,,351601.0,223599,99052.0,83825.0,15227.0,,1480.0,,123021,648137,,19194,19194,,,,174644,92225.0,,,,82419.0,31075,,,19192,224913,339420,339420.0,,,,93376,,,,2858.0,89038,432796,657709,0.0,39073,702.0,38371.0,-33554,123166.0,-16566,112119,8340,120459,778168,
