Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1997,1696.793945,-921.47699,775.316956,-619.838013,155.479004,-90.160004,0,13.480957,78.799957,-53.801998,24.997999,0.0,0,24.997999,-6.61,,18.387999,,18.387959,0.013333,0.013333,0.013333,1421.641479,0.013333,0.013333,0.013333,1517.803528,
06/30/1997,1796.862061,-937.237,859.625061,-641.349976,218.274994,-95.948997,0,7.313,129.638997,-85.157997,44.480999,-2.857,0,41.624001,-6.611,,35.013,,37.869999,0.026667,0.026667,0.026667,1443.671997,0.026667,0.026667,0.026667,1534.435455,
09/30/1997,1911.0,-965.0,946.0,-658.0,288.0,-102.0,0,12.0,198.0,-122.0,76.0,0.0,0,76.0,-7.0,,69.0,,69.0,0.046667,0.046667,0.046667,1461.0,0.046667,0.046667,0.046667,1561.5,
12/31/1997,1979.343994,-1916.286011,63.057983,293.187988,356.246002,-106.890999,0,7.206,256.561003,-155.039993,101.521004,-0.143,0,101.377998,-5.779,,95.598999,,95.74201,0.066667,0.066667,0.066667,1436.129974,0.066667,0.066667,0.066667,1436.129974,
03/31/1998,2320.0,-1117.0,1203.0,-777.0,426.0,-102.0,0,-486.0,-162.0,-118.0,-280.0,-129.0,0,-409.0,-7.0,,-416.0,498.0,211.0,0.12,-0.186667,-0.273333,1517.492981,0.12,-0.186667,-0.273333,1517.492981,
06/30/1998,2581.0,-1230.0,1351.0,-856.0,495.0,-108.0,0,10.0,397.0,-170.0,227.0,0.0,0,227.0,-6.0,,221.0,,221.0,0.14,0.14,0.14,1567.257019,0.14,0.14,0.14,1651.375488,
09/30/1998,3758.0,-1792.0,1966.0,-4598.0,-2632.0,-141.0,0,14.0,-2759.0,-174.0,-2933.0,0.0,-11,-2944.0,-3.0,,-2947.0,3227.0,280.0,0.14,-1.626667,-1.626667,1813.5,0.14,-1.626667,-1.626667,1813.5,
12/31/1998,9510.0,-4395.0,5115.0,-621.0,4494.0,-341.0,0,-3219.0,934.0,-415.0,519.0,-36.0,-82,401.0,-14.8,,386.2,,422.2,0.16,0.16,0.16,2769.0,0.153333,0.153333,0.153333,2863.5,
03/31/1999,9122.0,-4137.0,4985.0,-3475.0,1510.0,-272.0,0,-26.0,1212.0,-547.0,665.0,0.0,65,730.0,-18.0,,712.0,-20.0,692.0,0.246667,0.253333,0.253333,2772.0,0.24,0.246667,0.246667,2883.0,
06/30/1999,9065.0,-3956.0,5109.0,-3327.0,1782.0,-248.0,0,48.0,1582.0,-654.0,928.0,0.0,-45,883.0,-18.0,,865.0,,865.0,0.31,0.31,0.31,2816.000061,0.3,0.3,0.3,2930.000061,
09/30/1999,8996.0,-3593.0,5403.0,-3204.0,2199.0,-228.0,0,31.0,2002.0,-793.0,1209.0,0.0,-112,1097.0,-18.0,,1079.0,,1079.0,0.38,0.38,0.38,2833.999512,0.37,0.37,0.37,2931.0,
12/31/1999,9989.0,-4011.0,5978.0,-3559.0,2419.0,-256.0,0,206.0,2369.0,-973.0,1396.0,0.0,-94,1302.0,-24.0,,1278.0,-59.0,1219.0,0.43,0.45,0.45,2840.0,0.42,0.44,0.44,2931.0,
03/31/2000,9612.0,-4092.0,5520.0,-3096.0,2424.0,-218.0,0,35.0,2241.0,-953.0,1288.0,0.0,-85,1203.0,-17.0,0.0,1186.0,,1186.0,0.45,0.45,0.45,2852.0,0.44,0.44,0.44,2921.0,
06/30/2000,9807.0,-4152.0,5655.0,-3268.0,2387.0,-236.0,0,117.0,2268.0,-930.0,1338.0,0.0,-65,1273.0,-16.0,,1257.0,,1257.0,0.47,0.45,0.45,2865.0,0.46,0.44,0.44,2922.0,
09/30/2000,10037.0,-3867.0,6170.0,-4318.0,1852.0,-245.0,0,113.0,1720.0,-697.0,1023.0,0.0,-72,951.0,-16.0,,935.0,405.0,1340.0,0.46,0.33,0.33,2874.0,0.46,0.32,0.32,2914.0,
12/31/2000,9634.0,-4086.0,5548.0,-4058.0,1490.0,-271.0,0,58.0,1277.0,-471.0,806.0,0.0,-80,726.0,-16.0,,710.0,,710.0,0.25,0.25,0.25,2880.0,0.25,0.25,0.25,2893.0,
03/31/2001,5203.0,-1987.0,3216.0,-2250.0,966.0,-179.0,0,100.0,887.0,-339.0,548.0,0.0,0,548.0,-16.0,0.0,532.0,47.0,579.0,0.2,0.18,0.18,2885.0,0.2,0.18,0.18,2885.0,
06/30/2001,5362.0,-2039.0,3323.0,-3013.0,310.0,-222.0,0,123.0,211.0,-85.0,126.0,0.0,0,126.0,-16.0,0.0,110.0,464.0,574.0,0.2,0.04,0.04,2888.0,0.2,0.04,0.04,2903.0,
09/30/2001,5482.0,-2085.0,3397.0,-2398.0,999.0,-316.0,0,107.0,790.0,-307.0,483.0,0.0,20,503.0,-43.0,,460.0,,460.0,0.15,0.15,0.15,3082.0,0.15,0.15,0.15,3082.0,
12/31/2001,5301.0,-2009.0,3292.0,-2518.0,774.0,-312.0,0,82.0,544.0,-212.0,332.0,0.0,15,347.0,-42.0,,305.0,79.0,384.0,0.13,0.1,0.1,2965.0,0.13,0.1,0.1,2965.0,
03/31/2002,5078.0,-2020.0,3058.0,-2250.0,808.0,-327.0,0,-156.0,325.0,-117.0,208.0,0.0,18,226.0,-42.0,0.0,184.0,90.0,274.0,0.09,0.06,0.06,2962.0,0.09,0.06,0.06,2962.0,
