Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2010,717.919,717.919,-158.03,158.03,,559.889,0.0,-447.715,351.896,280.838,71.058,86.791,9.028,112.174,-20.04,20.608,21.203,-0.595,,,-0.568,92.134,-31.535,60.599,0.0,0.0,0.0,60.599,-1.204,59.395,0.0,0.0,59.395,59.395,0.0,144.301,0.42,0.42,0.42,147.251,0.4,0.4,0.4,
06/30/2010,833.96,833.96,-168.571,168.571,,665.389,0.0,-471.699,375.935,296.83,79.105,87.42,8.344,193.69,-18.171,18.988,20.209,-1.221,,,-0.817,175.519,-60.166,115.353,0.0,0.0,0.0,115.353,-1.091,114.262,0.0,0.0,114.262,114.262,0.0,142.044,0.8,0.8,0.8,144.4875,0.8,0.8,0.8,
09/30/2010,987.86,987.86,-190.033,190.033,,797.827,0.0,-521.023,419.6,344.019,75.581,93.297,8.126,276.804,-38.196,24.539,26.993,-2.454,,,13.657,238.608,-60.584,178.024,0.0,0.0,0.0,178.024,-1.474,176.55,0.0,0.0,176.55,176.55,0.0,140.6075,1.26,1.26,1.26,143.142,1.24,1.24,1.24,
12/31/2010,737.591,737.591,-174.191,174.191,,563.4,0.0,-450.465,349.722,283.227,66.495,79.395,21.348,112.935,-25.666,21.326,24.148,-2.822,0.606,,3.734,87.269,-23.684,63.585,-7.999,-7.999,0.0,71.584,-0.291,71.293,0.0,0.0,71.293,73.37745,10.08345,138.052,0.52,0.46,0.53152,141.251,0.5,0.45,0.521386,
03/31/2011,727.835,727.835,-175.61,175.61,,552.225,0.0,-517.067,422.068,350.908,71.16,86.807,8.192,35.158,-26.369,19.187,22.522,-3.335,0.377,,6.805,8.789,-2.886,5.903,-46.306,-46.306,0.0,52.209,-0.17,52.039,0.0,0.0,52.039,7.2657,1.5327,136.93,0.38,0.04,0.053062,139.084,0.37,0.04,0.05102,
06/30/2011,913.591,913.591,-195.81,195.81,,717.781,0.0,-574.074,472.528,400.483,72.045,93.101,8.445,143.707,-22.442,17.038,22.489,-5.451,1.182,,4.222,121.265,-33.132,88.133,-52.757,-52.757,0.0,140.89,-0.497,140.393,0.0,0.0,140.393,89.28115,1.64515,136.796,1.03,0.64,0.65266,139.053,1.01,0.63,0.641832,
09/30/2011,1020.45,1020.45,-206.451,206.451,,813.999,0.0,-604.9,486.849,408.169,78.68,98.472,19.579,209.099,-6.66,17.45,23.234,-5.784,0.558,,-11.348,202.439,-30.599,171.84,-38.566,-38.566,0.0,210.406,-0.872,209.534,0.0,0.0,209.534,180.07775,9.10975,136.176,1.54,1.26,1.32239,139.684,1.5,1.22,1.285216,
12/31/2011,787.133,787.133,-183.401,183.401,,603.732,0.0,-512.087,402.904,315.081,87.823,102.619,6.564,91.645,-22.066,16.825,22.473,-5.648,0.573,,4.668,69.579,-9.114,60.465,-10.633,-10.633,0.0,71.098,-0.77,70.328,,0.0,70.328,60.96315,1.26815,133.681,0.53,0.45,0.456035,137.022,0.51,0.44,0.449255,
03/31/2012,816.488,816.488,-200.098,200.098,,616.39,0.0,-567.707,455.65,377.072,78.578,108.911,3.146,48.683,-21.856,15.649,21.392,-5.743,-0.106,,6.313,26.827,-5.24,21.587,23.889,23.889,0.0,-2.302,-0.979,-3.281,,0.0,-3.281,20.4286,-0.1794,133.202,-0.02,0.15,0.153366,139.306,-0.02,0.15,0.148712,
06/30/2012,1039.98,1039.98,-229.741,229.741,,810.239,0.0,-655.798,527.791,444.573,83.218,116.026,11.981,154.441,-19.577,14.917,21.989,-7.072,0.263,,4.397,134.864,-28.755,106.109,0.0,0.0,0.0,106.109,-0.868,105.241,,0.0,105.241,107.4185,2.1775,132.556,0.79,0.79,0.810363,138.192,0.76,0.76,0.775757,
09/30/2012,1199.02,1199.02,-243.633,243.633,,955.387,0.0,-728.297,590.896,505.756,85.14,125.617,11.784,227.09,-22.752,14.342,22.101,-7.759,-0.182,,8.592,204.338,-36.15,168.188,-1.543,-1.543,0.0,169.731,1.746,171.477,,0.0,171.477,171.4355,1.5015,135.968,1.26,1.25,1.260852,141.423,1.21,1.2,1.210617,
12/31/2012,974.859,974.859,-225.132,225.132,,749.727,0.0,-748.217,492.054,393.636,98.418,134.344,121.819,1.51,-17.482,16.484,22.306,-5.822,0.041,,0.957,-15.972,23.067,7.095,0.193,0.193,0.0,6.902,-0.168,6.734,0.0,0.0,6.734,79.49365,72.56665,135.046,0.05,0.05,0.588641,140.756,0.05,0.05,0.565549,
03/31/2013,1012.367,1012.367,-250.581,250.581,,761.786,0.0,-867.414,588.531,496.155,92.376,138.283,140.6,-105.628,-13.643,15.831,21.748,-5.917,-0.013,0.0,-2.175,-119.271,11.903,-107.368,0.0,0.0,0.0,-107.368,3.142,-104.226,0.0,0.0,-104.226,-57.82445,46.40155,135.641,-0.77,-0.77,-0.426305,135.641,-0.77,-0.77,-0.427909,
06/30/2013,1205.017,1205.017,-262.607,262.607,,942.41,0.0,-848.124,682.359,590.468,91.891,140.682,25.083,94.286,-6.863,14.351,21.629,-7.278,-0.163,,-7.325,87.423,-24.408,63.015,0.0,0.0,0.0,63.015,8.485,71.5,0.0,0.0,71.5,75.5599,4.0599,136.351,0.52,0.52,0.554157,141.112,0.51,0.51,0.538771,
09/30/2013,1401.86,1401.86,-276.318,276.318,,1125.542,0.0,-886.851,717.647,625.296,92.351,143.816,25.388,238.691,-26.611,15.324,21.966,-6.642,0.049,,11.238,212.08,-45.356,166.724,0.0,0.0,0.0,166.724,4.135,170.859,0.0,0.0,170.859,175.3271,4.4681,136.38,1.25,1.25,1.285578,140.451,1.22,1.22,1.251813,
12/31/2013,1152.015,1152.015,-248.528,248.528,,903.487,0.0,-764.776,584.686,484.226,100.46,155.039,25.051,138.711,-18.25,17.073,22.015,-4.942,-0.038,,1.215,120.461,-26.474,93.987,0.0,0.0,0.0,93.987,0.73,94.717,0.0,0.0,94.717,99.5842,4.8672,131.306,0.72,0.72,0.758413,135.571,0.7,0.7,0.735901,
03/31/2014,1200.371,1200.371,-294.619,294.619,,905.752,0.0,-908.75,723.744,624.699,99.045,162.975,22.031,-2.998,-16.487,16.006,21.804,-5.798,0.008,0.0,0.473,-19.485,-0.319,-19.804,0.0,0.0,0.0,-19.804,5.5,-14.304,0.0,0.0,-14.304,-12.00365,2.30035,130.559,-0.11,-0.11,-0.09194,130.559,-0.11,-0.11,-0.092381,
06/30/2014,1494.632,1494.632,-300.501,300.501,,1194.131,0.0,-1064.911,846.156,743.616,102.54,169.075,49.68,129.22,-22.615,15.438,22.321,-6.883,-0.296,,7.473,106.605,-20.751,85.854,0.0,0.0,0.0,85.854,3.519,89.373,0.0,0.0,89.373,109.7934,20.4204,129.538,0.69,0.69,0.847577,133.668,0.67,0.67,0.82277,
09/30/2014,1712.504,1712.504,-299.708,299.708,,1412.796,0.0,-1115.96,920.799,815.8,104.999,172.754,22.407,296.836,-7.311,17.483,25.558,-8.075,0.272,,-10.444,289.525,-38.904,250.621,0.0,0.0,0.0,250.621,6.438,257.059,0.0,0.0,257.059,259.659,2.6,127.911,2.01,2.01,2.029997,132.274,1.94,1.94,1.959656,
12/31/2014,1355.978,1355.978,-284.253,284.253,,1071.725,0.0,-977.019,743.003,624.214,118.789,181.35,52.666,94.706,-6.71,21.874,28.406,-6.532,-6.053,,-9.111,87.996,-31.717,56.279,0.0,0.0,0.0,56.279,9.69,65.969,0.0,0.0,65.969,86.25485,20.28585,127.683,0.52,0.52,0.675539,131.639,0.5,0.5,0.654102,
03/31/2015,1373.397,1373.397,-321.918,321.918,,1051.479,0.0,-1102.48,879.778,763.381,116.397,190.455,32.247,-51.001,82.652,22.449,27.994,-5.545,-0.019,,-105.082,31.651,0.91,32.561,0.0,0.0,0.0,32.561,11.582,44.143,0.0,0.0,44.143,-71.670204,-115.813204,127.563,0.35,0.35,-0.561842,131.402,0.34,0.34,-0.561842,
06/30/2015,1662.6,1662.6,-321.082,321.082,,1341.518,0.0,-1251.426,1026.874,885.48,141.394,186.516,38.036,90.092,467.965,23.822,28.515,-4.693,0.006,,-491.793,558.057,-131.221,426.836,0.0,0.0,0.0,426.836,22.808,449.644,0.0,0.0,449.644,74.929155,-374.714845,128.887,3.49,3.49,0.581355,132.96,3.38,3.38,0.561748,
09/30/2015,1937.753,1937.753,-328.066,317.052,5.887,1609.687,0.0,-1264.689,1067.57,940.375,127.195,202.703,-11.471,344.998,-2.811,29.094,33.259,-4.165,26.158,,-52.441,342.187,-65.95,276.237,0.0,0.0,0.0,276.237,6.979,283.216,0.0,0.0,283.216,280.153279,-3.062721,129.989,2.18,2.18,2.155208,133.417,2.12,2.12,2.097044,
12/31/2015,1698.567,1698.567,-338.493,325.74,9.729,1360.074,0.0,-1330.597,965.161,784.601,180.56,250.57,105.137,29.477,-35.41,34.135,36.427,-2.292,0.442,,0.833,-5.933,-6.953,-12.886,0.0,0.0,0.0,-12.886,0.348,-12.538,0.0,0.0,-12.538,16.107398,28.645398,134.128,-0.09,-0.09,0.12009,134.128,-0.09,-0.09,0.12009,
03/31/2016,1903.961,1903.961,-402.57,388.075,11.059,1501.391,0.0,-1598.689,1174.3,1033.628,140.672,291.554,121.776,-97.298,-68.588,40.393,43.96,-3.567,0.0,,28.195,-165.886,57.354,-108.532,0.0,0.0,0.0,-108.532,-0.057,-108.589,0.0,0.0,-108.589,-77.22695,31.36205,151.052,-0.72,-0.72,-0.511261,151.052,-0.72,-0.72,-0.512376,
06/30/2016,2195.869,2195.869,-406.38,391.067,12.662,1789.489,0.0,-1763.827,1334.886,1148.002,186.884,317.921,98.358,25.662,-37.857,37.984,42.939,-4.955,0.0,,-0.127,-12.195,18.202,6.007,0.0,0.0,0.0,6.007,25.642,31.649,0.0,0.0,31.649,29.793055,-1.855945,149.552,0.21,0.21,0.199215,153.532,0.21,0.21,0.197912,
09/30/2016,2580.905,2580.905,-416.907,400.862,15.091,2163.998,0.0,-1777.846,1355.259,1197.411,157.848,301.446,106.05,386.152,-46.597,37.547,43.374,-5.827,5.725,,3.325,339.555,-60.627,278.928,0.0,0.0,0.0,278.928,0.403,279.331,0.0,0.0,279.331,299.246192,19.915192,150.239,1.86,1.86,1.991801,154.236,1.81,1.81,1.939122,
12/31/2016,2092.829,2092.829,-370.841,354.274,14.395,1721.988,0.0,-1574.802,1128.057,960.5,167.557,324.098,108.252,147.186,-32.06,37.498,42.875,-5.377,15.244,,-20.682,115.126,-30.244,84.882,0.0,0.0,0.0,84.882,-5.425,79.457,0.0,0.0,79.457,104.186293,24.729293,150.624,0.53,0.53,0.691698,155.071,0.51,0.51,0.669471,
03/31/2017,2189.0,2189.0,-422.0,399.0,15.0,1767.0,0.0,-1840.0,1413.0,1262.0,151.0,322.0,90.0,-73.0,-58.0,37.0,43.0,-6.0,0.0,,21.0,-131.0,47.0,-84.0,0.0,0.0,0.0,-84.0,-2.0,-86.0,0.0,0.0,-86.0,-57.242038,28.757962,150.531,-0.57,-0.57,-0.380267,150.531,-0.57,-0.57,-0.380267,
06/30/2017,2586.0,2586.0,-439.0,414.0,18.0,2147.0,0.0,-2044.0,1604.0,1434.0,170.0,343.0,79.0,103.0,-46.0,33.0,43.0,-10.0,6.0,,7.0,57.0,-3.0,54.0,0.0,0.0,0.0,54.0,3.0,57.0,0.0,0.0,57.0,70.335766,13.335766,151.582,0.37,0.37,0.464011,157.033,0.36,0.36,0.444923,
09/30/2017,2966.0,2966.0,-459.0,434.0,18.0,2507.0,0.0,-2026.0,1584.0,1451.0,133.0,350.0,74.0,481.0,-66.0,35.0,44.0,-9.0,21.0,,10.0,415.0,-66.0,349.0,0.0,0.0,0.0,349.0,3.0,352.0,0.0,0.0,352.0,360.456522,8.456522,152.088,2.32,2.32,2.370052,157.76,2.23,2.23,2.283604,
12/31/2017,2319.0,2319.0,-437.0,411.0,19.0,1882.0,0.0,-1768.0,1303.0,1113.0,190.0,372.0,74.0,114.0,-38.0,43.0,52.0,-9.0,0.0,,-5.0,76.0,-23.0,53.0,0.0,0.0,0.0,53.0,2.0,55.0,0.0,0.0,55.0,39.614035,-15.385965,152.252,0.36,0.36,0.260187,155.974,0.35,0.35,0.251356,
03/31/2018,2508.0,2508.0,-487.0,460.0,140.0,2021.0,0.0,-2186.0,1694.0,1505.0,189.0,396.0,-44.0,-165.0,-4.0,40.0,51.0,-11.0,0.0,,-36.0,-169.0,20.0,-149.0,0.0,0.0,0.0,-149.0,12.0,-137.0,0.0,0.0,-137.0,-173.444444,-36.444444,151.817,-0.91,-0.91,-1.142457,151.817,-0.91,-0.91,-1.150055,
06/30/2018,2880.0,2880.0,-498.0,472.0,19.0,2382.0,0.0,-2271.0,1718.0,1530.0,188.0,400.0,134.0,111.0,-125.0,35.0,51.0,-16.0,-9.0,,99.0,-14.0,5.0,-9.0,0.0,0.0,0.0,-9.0,10.0,1.0,0.0,0.0,1.0,121.974874,120.974874,150.076,0.01,0.01,0.812754,152.617,0.01,0.01,0.80267,
09/30/2018,3276.0,3276.0,-504.0,480.0,20.0,2772.0,0.0,-2100.0,1683.0,1489.0,194.0,404.0,-7.0,672.0,-60.0,13.0,47.0,-34.0,6.0,,41.0,612.0,-81.0,531.0,0.0,0.0,0.0,531.0,-6.0,525.0,0.0,0.0,525.0,501.547619,-23.452381,149.482,3.51,3.51,3.355238,153.153,3.43,3.43,3.27687,
12/31/2018,2559.0,2559.0,-476.0,452.0,20.0,2083.0,0.0,-1987.0,1400.0,1197.0,203.0,417.0,150.0,96.0,-40.0,31.0,41.0,-10.0,,,9.0,56.0,-31.0,25.0,0.0,0.0,0.0,25.0,-8.0,17.0,0.0,0.0,17.0,95.928571,78.928571,148.509,0.11,0.11,0.645944,151.358,0.11,0.11,0.631469,
03/31/2019,2609.0,2609.0,-490.0,490.0,281.0,2119.0,0.0,-2250.0,1671.0,1510.0,161.0,297.0,1.0,-131.0,-10.0,30.0,41.0,-11.0,14.0,,-34.0,-141.0,41.0,-100.0,0.0,0.0,0.0,-100.0,-3.0,-103.0,0.0,0.0,-103.0,-98.0,5.0,147.882,-0.69,-0.69,-0.662691,147.882,-0.69,-0.69,-0.662691,
06/30/2019,3153.0,3153.0,-500.0,500.0,228.0,2653.0,0.0,-2388.0,1848.0,1643.0,205.0,304.0,8.0,265.0,-30.0,22.0,39.0,-17.0,2.0,,6.0,235.0,-48.0,187.0,0.0,0.0,0.0,187.0,-4.0,183.0,0.0,0.0,183.0,195.617188,12.617188,149.049,1.23,1.23,1.312435,151.561,1.21,1.21,1.293248,
09/30/2019,3558.0,3558.0,-569.0,548.0,207.0,2989.0,0.0,-2380.0,1856.0,1646.0,210.0,440.0,-123.0,609.0,-48.0,23.0,40.0,-17.0,2.0,,23.0,561.0,-154.0,407.0,0.0,0.0,0.0,407.0,2.0,409.0,0.0,0.0,409.0,433.201439,24.201439,147.232,2.77,2.77,2.942305,150.635,2.71,2.71,2.870663,
12/31/2019,2747.0,2747.0,-559.0,539.0,24.0,2188.0,0.0,-2028.0,1484.0,1268.0,216.0,459.0,61.0,160.0,-40.0,39.0,53.0,-14.0,,,1.0,120.0,-42.0,78.0,0.0,0.0,0.0,78.0,-2.0,76.0,0.0,0.0,76.0,93.692308,17.692308,144.647,0.52,0.52,0.647731,146.828,0.52,0.52,0.640497,
03/31/2020,2209.0,2209.0,-629.0,629.0,281.0,1580.0,0.0,-2874.0,1365.0,1198.0,167.0,308.0,920.0,-1294.0,-185.0,40.0,50.0,-10.0,-45.0,,190.0,-1479.0,82.0,-1397.0,0.0,0.0,0.0,-1397.0,96.0,-1301.0,0.0,0.0,-1301.0,-431.634257,869.365743,140.823,-9.24,-9.24,-3.065084,140.823,-9.24,-9.24,-3.066536,
06/30/2020,566.0,566.0,-389.0,389.0,232.0,177.0,0.0,-1026.0,448.0,296.0,152.0,255.0,91.0,-849.0,-104.0,92.0,95.0,-3.0,-3.0,,15.0,-953.0,213.0,-740.0,0.0,0.0,0.0,-740.0,4.0,-736.0,-17.0,0.0,-753.0,-647.087336,105.912664,141.072,-5.34,-5.34,-4.58693,141.072,-5.34,-5.34,-4.58923,
09/30/2020,1383.174,,,,,1007.80823988,,,,,,,,126.08,,,,,,,,-137.677,,-127.582,,,,,,-127.582,,,-127.582,-39.928,,,-1.152,-1.152,-0.613,,-1.152,-1.152,-0.613,
12/31/2020,1474.435,,,,,1105.98843785,,,,,,,,116.66,,,,,,,,-90.546,,-67.306,,,,,,-67.306,,,-67.306,-46.751,,,-1.155,-1.155,-0.591,,-1.155,-1.155,-0.591,
