Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Net Ch of Interbank Asset,Net Ch of Interbank Liab,Net Ch in Operating Loans,Change of Accrued Interest Receivable,Change of Accrued Interest Payable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
05/31/2010,1308.705,258.067,41.325,724.264,45.934,0.0,85.969,9.63,-49.665,239.115,,,,,-98.665,,,337.78,0.0,2654.729,-9.491,0.144,-9.635,-241.211,503.0,0.0,0.0,503.0,-744.211,0.0,0.0,-744.211,-85.456,-85.456,,,0.0,0.0,0.0,0.0,2990.887,-6356.026,-22.206,-5080.388,0.0,0.0,253.427,-5333.815,-1223.723,0.921,-1224.644,-1006.336,976.627,,-2392.592,42.848,395.362,
08/31/2010,262.955,260.617,42.326,712.565,23.456,-19.39,78.08,8.631,-43.865,-776.009,,,,,-19.892,,,-756.117,0.0,-1119.129,-12.075,0.002,-12.077,-150.903,159.658,0.0,0.0,159.658,-310.561,0.0,0.0,-310.561,-949.567,-949.567,,,0.0,0.0,0.0,0.0,-6.584,-586.837,-10.958,-602.476,0.0,0.0,0.0,-602.476,-2.86,,,-775.17,804.627,,-1443.011,55.038,359.895,
11/30/2010,1165.824,349.642,45.928,382.67,27.084,23.746,49.45,10.938,-57.05,360.5,,,,,119.043,,,241.457,0.0,-4144.037,-25.039,0.099,-25.138,-3862.361,184.314,0.0,0.0,184.314,-4046.675,0.0,0.0,-4046.675,415.425,415.425,,,0.0,0.0,0.0,0.0,-672.062,160.855,-10.976,1004.764,1800.0,0.0,0.0,-795.236,0.49,0.586,-0.096,1143.204,-1976.627,,-2817.358,57.018,326.87,
02/28/2011,1257.643,464.892,1.006,417.709,48.1,-0.141,112.511,11.875,-76.145,325.936,,,,,,,,325.936,0.0,-78.074,-15.573,0.013,-15.586,-199.999,342.026,0.0,0.0,342.026,-542.025,0.0,0.0,-542.025,-381.403,-381.403,0.0,0.0,-366.049,0.0,-366.049,0.0,884.95,-1106.877,-11.026,-1534.213,500.0,0.0,100.0,-2134.213,-4.073,0.931,-5.004,442.435,0.0,0.0,72.692,38.209,383.757,
05/31/2011,939.356,600.419,-10.515,175.54,35.589,-5.937,94.168,10.765,-63.407,138.323,,,,,-21.44,,,159.763,0.0,-1598.46,-34.282,0.0,-34.282,105.557,666.367,0.0,0.0,666.367,-560.81,0.0,0.0,-560.81,-1296.331,-1296.331,0.0,0.0,-35.109,0.0,-35.109,0.0,-338.295,-739.361,-29.475,-1076.203,1500.0,0.0,0.0,-2576.203,6.128,6.222,-0.094,360.189,0.0,0.0,-1398.465,338.867,351.306,
08/31/2011,500.172,648.818,40.437,99.514,73.356,-2.539,145.175,11.05,-80.33,-361.953,,,,,-31.418,,,-330.535,0.0,-3690.219,-20.185,0.0,-20.185,-362.209,170.536,0.0,0.0,170.536,-532.745,0.0,0.0,-532.745,-3384.964,-3384.964,0.0,0.0,0.0,0.0,0.0,0.0,77.139,3474.612,-29.211,1350.382,100.0,0.0,2000.0,-749.618,-191.687,10.775,-202.462,2345.128,0.0,0.0,284.565,258.284,310.307,
11/30/2011,900.829,513.0,215.072,320.237,-361.174,7.617,-119.854,10.31,-259.247,213.694,,,,,52.858,,,160.836,0.0,-2743.247,-37.96,2.987,-40.947,-334.349,541.071,0.0,0.0,541.071,-875.42,0.0,0.0,-875.42,-2031.302,-2031.302,0.0,0.0,0.158,0.0,0.158,0.0,-339.794,634.626,-40.288,-1095.966,1650.0,0.0,0.0,-2745.966,-223.368,5.072,-228.44,1994.248,0.0,0.0,-1207.792,270.64,296.63,
02/29/2012,1010.672,631.006,-15.51,151.529,50.309,0.518,86.996,13.532,-50.737,193.338,,,,,,,,193.338,0.0,1130.316,-25.856,0.515,-26.371,-120.283,494.182,0.0,0.0,494.182,-614.465,0.0,0.0,-614.465,351.942,351.942,0.0,0.0,0.0,0.0,0.0,0.0,924.513,1324.321,-53.513,827.224,-50.0,0.0,999.773,-122.549,-11.865,2.431,-14.296,562.475,0.0,0.0,3465.309,45.993,290.563,
05/31/2012,492.1,536.591,-12.056,232.584,2.709,-0.032,38.658,10.712,-46.629,-267.728,,,,,,,,-267.728,0.0,-2852.518,-29.624,0.0,-29.624,-394.012,599.693,0.0,0.0,599.693,-993.705,0.0,0.0,-993.705,-987.308,-987.308,0.0,0.0,0.0,0.0,0.0,0.0,-1441.574,1157.335,-53.474,366.092,,,,,-435.0,12.171,-447.171,1394.21,-114.493,0.0,-1203.083,606.006,347.356,
08/31/2012,656.432,626.686,-4.43,126.288,498.21,501.76,33.347,11.864,-48.761,-590.322,,,,,-782.677,,,192.355,0.0,-318.346,-48.69,0.0,-48.69,294.207,473.675,0.0,0.0,473.675,-179.468,0.0,0.0,-179.468,-2017.376,-2017.376,0.0,0.0,0.0,0.0,0.0,0.0,1453.513,787.455,-51.894,445.719,-1799.634,0.0,4099.844,-1854.491,-350.8,1.629,-352.429,744.43,0.0,0.0,1125.541,315.775,260.207,
11/30/2012,881.796,551.0,298.996,337.599,813.489,1165.754,-13.001,10.892,-350.156,-1119.288,0.0,0.0,0.0,0.0,-1238.323,0.0,0.0,119.035,0.0,-3652.452,-38.83,0.485,-39.315,82.088,226.45,0.0,0.0,226.45,-144.362,0.0,0.0,-144.362,-1653.258,-1653.258,0.0,0.0,0.0,0.0,0.0,0.0,-2042.452,458.889,-50.119,679.965,33.861,0.0,750.383,-104.279,167.665,569.769,-402.104,-162.115,-176.507,0.0,-2311.767,333.226,304.874,
03/31/2013,1492.0,673.0,68.0,159.0,1219.0,1195.0,121.0,17.0,-114.0,-627.0,,,,,-1156.0,,,529.0,0.0,2625.0,-59.0,0.0,-59.0,907.0,1028.0,0.0,0.0,1028.0,-121.0,0.0,-90.0,-31.0,1969.0,1969.0,0.0,0.0,0.0,0.0,0.0,0.0,-192.0,1366.0,-79.0,1514.0,750.0,0.0,1700.0,-936.0,-256.0,5.0,-261.0,187.0,0.0,0.0,5483.0,113.0,231.0,
06/30/2013,595.0,602.0,95.0,240.0,1263.0,1318.0,42.0,14.0,-111.0,-1605.0,,,,,-1289.0,,,-316.0,0.0,-1393.0,-58.0,0.0,-58.0,247.0,269.0,0.0,0.0,269.0,-22.0,0.0,0.0,-22.0,-1527.0,-1527.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.0,-1525.0,-108.0,-1276.0,0.0,0.0,0.0,-1276.0,-338.0,2.0,-340.0,206.0,-9.0,0.0,-2323.0,685.0,290.0,
09/30/2013,448.0,593.0,84.0,333.0,-2748.0,-2643.0,-9.0,14.0,-110.0,2186.0,,,,,2797.0,,,-611.0,0.0,-1134.0,-60.0,0.0,-60.0,-98.0,94.0,0.0,0.0,94.0,-192.0,-1.0,-169.0,-22.0,-1330.0,-1330.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,565.0,-107.0,477.0,550.0,0.0,498.0,-571.0,-344.0,5.0,-349.0,539.0,0.0,,-121.0,323.0,224.0,
12/31/2013,982.0,602.0,87.0,354.0,59.0,-19.0,168.0,14.0,-104.0,-120.0,,,,,3.0,,,-123.0,0.0,-3261.0,-54.0,,-54.0,-45.0,61.0,0.0,0.0,61.0,-106.0,-1.0,-67.0,-38.0,-3163.0,-3163.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3210.0,-105.0,1810.0,1400.0,0.0,496.0,-86.0,-345.0,1.0,-346.0,1850.0,0.0,0.0,931.0,227.0,230.0,
03/31/2014,1129.0,631.0,90.0,272.0,421.0,492.0,23.0,18.0,-112.0,-285.0,,,,,-478.0,,,193.0,0.0,1811.0,-43.0,0.0,-43.0,1143.0,1281.0,0.0,1276.0,5.0,-138.0,-8.0,-101.0,-29.0,1692.0,1692.0,0.0,0.0,0.0,0.0,0.0,0.0,-981.0,-763.0,-106.0,-319.0,1650.0,0.0,399.0,-2368.0,-364.0,1.0,-365.0,26.0,0.0,0.0,2177.0,,,
06/30/2014,642.0,644.0,91.0,360.0,552.0,628.0,25.0,14.0,-115.0,-1005.0,,,,,-625.0,,,-380.0,0.0,-1509.0,-30.0,0.0,-30.0,-100.0,58.0,0.0,55.0,3.0,-158.0,-10.0,-143.0,-5.0,-2237.0,-2237.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,-985.0,-122.0,-144.0,-1251.0,0.0,2251.0,-1144.0,-177.0,1.0,-178.0,-542.0,0.0,0.0,-1852.0,,,
09/30/2014,1055.0,644.0,93.0,354.0,711.0,781.0,28.0,14.0,-112.0,-747.0,,,,,-800.0,,,53.0,0.0,-1627.0,-29.0,,-29.0,-102.0,65.0,,,,-167.0,-13.0,-146.0,-8.0,-1698.0,-1698.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,1075.0,-120.0,868.0,-399.0,0.0,2346.0,-1079.0,-620.0,2.0,-622.0,947.0,0.0,0.0,503.0,,,
12/31/2014,1000.0,404.0,95.0,457.0,-1939.0,-2079.0,,,140.0,1983.0,,,,,2014.0,,,-31.0,0.0,-2872.0,-43.0,0.0,-43.0,26.0,66.0,,,,-40.0,-22.0,0.0,-18.0,-2852.0,-2852.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,1774.0,-119.0,1585.0,-426.0,0.0,2098.0,-87.0,-398.0,1.0,-399.0,706.0,0.0,0.0,-98.0,,,
03/31/2015,1063.0,586.0,95.0,390.0,926.0,1047.0,,,-121.0,-934.0,,,,,-1110.0,,,176.0,0.0,3253.0,-41.0,0.0,-41.0,1168.0,1190.0,0.0,1188.0,2.0,-22.0,-17.0,0.0,-5.0,2129.0,2129.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,214.0,-119.0,419.0,950.0,0.0,499.0,-1030.0,-419.0,1.0,-420.0,333.0,0.0,0.0,4530.0,,,
06/30/2015,600.0,599.0,98.0,306.0,1051.0,1136.0,,,-85.0,-1454.0,0.0,0.0,0.0,0.0,-1092.0,0.0,0.0,-362.0,0.0,-2294.0,-47.0,0.0,-47.0,41.0,74.0,0.0,69.0,5.0,-33.0,-15.0,0.0,-18.0,-1643.0,-1643.0,0.0,0.0,0.0,0.0,0.0,0.0,-645.0,475.0,-135.0,1140.0,799.0,0.0,1251.0,-910.0,-423.0,2.0,-425.0,-107.0,0.0,0.0,-1219.0,,,
09/30/2015,1147.0,612.0,98.0,332.0,386.0,491.0,,,-105.0,-281.0,,,,,-317.0,,,36.0,0.0,-747.0,-30.0,1.0,-31.0,66.0,79.0,,,,-13.0,-4.0,0.0,-9.0,-1439.0,-1439.0,0.0,0.0,0.0,0.0,0.0,0.0,656.0,-745.0,-131.0,-466.0,-1862.0,0.0,2759.0,-1363.0,-435.0,0.0,-435.0,287.0,0.0,0.0,-345.0,,,
12/31/2015,1044.0,500.0,100.0,484.0,-115.0,14.0,,,-129.0,75.0,,,,,0.0,,,75.0,0.0,-3080.0,-49.0,0.0,-49.0,-504.0,193.0,,,,-697.0,-1.0,-677.0,-19.0,-2526.0,-2526.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1358.0,-130.0,924.0,0.0,0.0,1255.0,-331.0,-433.0,2.0,-435.0,997.0,0.0,0.0,-678.0,,,
03/31/2016,1158.0,575.0,84.0,424.0,-81.0,13.0,,,-94.0,156.0,,,,,0.0,,,156.0,0.0,982.0,-46.0,0.0,-46.0,146.0,163.0,5.0,158.0,0.0,-17.0,-16.0,0.0,-1.0,1793.0,1793.0,0.0,0.0,0.0,0.0,0.0,0.0,-911.0,423.0,-129.0,49.0,0.0,0.0,1029.0,-980.0,-422.0,1.0,-423.0,925.0,0.0,0.0,2563.0,,,
06/30/2016,658.0,616.0,92.0,412.0,69.0,13.0,,,56.0,-531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-531.0,0.0,-1578.0,-40.0,0.0,-40.0,-574.0,517.0,4.0,513.0,0.0,-1091.0,-30.0,0.0,-1061.0,-1876.0,-1876.0,0.0,0.0,0.0,0.0,0.0,0.0,912.0,-598.0,-125.0,-109.0,0.0,0.0,877.0,-986.0,-422.0,4.0,-426.0,58.0,0.0,0.0,-1518.0,,,
09/30/2016,1317.0,639.0,86.0,445.0,-127.0,14.0,,,-141.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,0.0,-2007.0,-46.0,0.0,-46.0,795.0,816.0,8.0,808.0,0.0,-21.0,-10.0,0.0,-11.0,-1907.0,-1907.0,0.0,0.0,0.0,0.0,0.0,0.0,-849.0,2149.0,-132.0,2143.0,0.0,0.0,2220.0,-77.0,-581.0,0.0,-581.0,719.0,0.0,0.0,1459.0,,,
12/31/2016,1292.0,563.0,89.0,578.0,-86.0,17.0,,,-103.0,148.0,,,,,,,,148.0,0.0,-2295.0,-47.0,0.0,-47.0,892.0,,,,,,,,,-3988.0,-3988.0,,,0.0,0.0,0.0,0.0,848.0,837.0,-128.0,-1310.0,0.0,0.0,66.0,-1376.0,-476.0,2.0,-478.0,2751.0,0.0,0.0,-166.0,,,
03/31/2017,1013.0,564.0,93.0,586.0,-73.0,14.0,,,-87.0,-157.0,,,,,0.0,,,-157.0,0.0,988.0,-47.0,0.0,-47.0,25.0,56.0,4.0,52.0,0.0,-31.0,-17.0,0.0,-14.0,1010.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2253.0,-127.0,1370.0,0.0,0.0,2295.0,-925.0,-519.0,1.0,-520.0,1529.0,0.0,0.0,4254.0,,,
06/30/2017,1019.0,546.0,95.0,640.0,-108.0,13.0,,,-121.0,-154.0,,,,,0.0,,,-154.0,0.0,-2575.0,-56.0,0.0,-56.0,41.0,69.0,3.0,52.0,14.0,-28.0,-19.0,0.0,-9.0,-2560.0,-2560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1664.0,-124.0,-420.0,0.0,0.0,1707.0,-2127.0,-449.0,1.0,-450.0,-671.0,0.0,0.0,-3220.0,,,
09/30/2017,1552.0,602.0,101.0,674.0,-118.0,15.0,,,-133.0,293.0,,,,,,,,293.0,0.0,-2917.0,-41.0,17.0,-58.0,29.0,41.0,,,,-12.0,-4.0,0.0,-8.0,-2905.0,-2905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2850.0,-139.0,272.0,0.0,0.0,1338.0,-1066.0,-554.0,2.0,-556.0,3271.0,0.0,0.0,1485.0,,,
12/31/2017,1624.0,387.0,104.0,679.0,316.0,13.0,,,303.0,138.0,,,,,,,,138.0,0.0,-4287.0,-57.0,0.0,-57.0,16.0,50.0,,,,-34.0,0.0,0.0,-34.0,-4246.0,-4246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522.0,-137.0,-399.0,0.0,0.0,846.0,-1245.0,-566.0,564.0,-1130.0,2624.0,0.0,0.0,-1141.0,,,
03/31/2018,1238.0,666.0,107.0,751.0,-186.0,11.0,,,-197.0,-100.0,,,,,0.0,,,-100.0,0.0,916.0,-58.0,0.0,-58.0,15.0,48.0,4.0,44.0,0.0,-33.0,-33.0,0.0,0.0,959.0,959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1557.0,-142.0,-57.0,0.0,0.0,2488.0,-2545.0,-582.0,2.0,-584.0,2338.0,0.0,0.0,3711.0,,,
06/30/2018,1586.0,669.0,109.0,742.0,-83.0,11.0,,,-94.0,149.0,,,,,,,,149.0,0.0,-2645.0,-60.0,0.0,-60.0,13.0,47.0,5.0,42.0,0.0,-34.0,-29.0,0.0,-5.0,-2598.0,-2598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.0,-122.0,-5.0,0.0,0.0,1291.0,-1296.0,-555.0,1.0,-556.0,562.0,0.0,0.0,-1179.0,,,
09/30/2018,1606.0,720.0,110.0,742.0,-122.0,11.0,,,-133.0,156.0,,,,,,,,156.0,0.0,-3036.0,-59.0,0.0,-59.0,-298.0,720.0,4.0,716.0,0.0,-1018.0,-20.0,-983.0,-15.0,-2679.0,-2679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.0,-137.0,729.0,0.0,0.0,2283.0,-1554.0,-458.0,2.0,-460.0,1986.0,0.0,0.0,690.0,,,
12/31/2018,761.0,687.0,109.0,800.0,-74.0,12.0,,,-86.0,-761.0,,,,,,,,-761.0,0.0,-5814.0,-77.0,0.0,-77.0,-1575.0,41.0,5.0,36.0,0.0,-1616.0,0.0,-1571.0,-45.0,-4162.0,-4162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3589.0,-151.0,129.0,0.0,0.0,1688.0,-1559.0,-464.0,1.0,-465.0,4075.0,0.0,0.0,-1464.0,,,
03/31/2019,2335.0,726.0,99.0,809.0,-92.0,10.0,-19.0,,-83.0,793.0,,,,,,,,793.0,0.0,-1768.0,-82.0,,-82.0,-2834.0,40.0,6.0,34.0,0.0,-2874.0,-12.0,-1856.0,-1006.0,1148.0,1148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-499.0,-134.0,-1026.0,0.0,0.0,1837.0,-2863.0,-485.0,2.0,-487.0,1146.0,0.0,0.0,68.0,,,
06/30/2019,1578.0,753.0,103.0,787.0,-99.0,11.0,,,-110.0,34.0,,,,,,,,34.0,0.0,-4421.0,-69.0,0.0,-69.0,-2254.0,42.0,6.0,36.0,0.0,-2296.0,-22.0,-2259.0,-15.0,-2098.0,-2098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1017.0,-145.0,-1222.0,0.0,0.0,,-1222.0,-459.0,2.0,-461.0,809.0,0.0,0.0,-3860.0,,,
09/30/2019,819.0,770.0,113.0,799.0,-126.0,9.0,,,-135.0,-737.0,,,,,,,,-737.0,0.0,-6030.0,-61.0,0.0,-61.0,-2071.0,45.0,9.0,36.0,0.0,-2116.0,,,,-2898.0,-2898.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000.0,-30.0,-141.0,-748.0,0.0,0.0,1531.0,-2279.0,-417.0,2.0,-419.0,1276.0,0.0,0.0,-5241.0,,,
12/31/2019,1464.0,708.0,121.0,836.0,-118.0,7.0,,,-125.0,-83.0,,,,,,,,-83.0,0.0,-3055.0,-72.0,0.0,-72.0,13.0,1044.0,10.0,34.0,1000.0,-1031.0,-12.0,0.0,-1019.0,-3996.0,-3996.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2443.0,-153.0,1282.0,0.0,0.0,1491.0,-209.0,-400.0,1.0,-401.0,1714.0,0.0,0.0,852.0,,,
03/31/2020,1680.0,-61.0,123.0,1807.0,-339.0,-23.0,-240.0,,-76.0,150.0,,,,,,,,150.0,0.0,2397.0,-59.0,0.0,-59.0,188.0,216.0,7.0,209.0,0.0,-28.0,-14.0,0.0,-14.0,2268.0,2268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,-138.0,-14.0,0.0,0.0,496.0,-510.0,-341.0,2.0,-343.0,663.0,0.0,0.0,4247.0,,,
06/30/2020,1587.0,-368.0,123.0,2046.0,-340.0,-28.0,-291.0,,-21.0,126.0,,,,,,,,126.0,0.0,996.0,-94.0,0.0,-94.0,-2256.0,334.0,11.0,323.0,0.0,-2590.0,-16.0,0.0,-2574.0,3346.0,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.0,-151.0,-2910.0,,,,,496.0,496.0,0.0,3938.0,0.0,0.0,3956.0,,,
