Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2012,343.806,127.137,127.137,0.0,48.429,48.429,0,0,0,0,0,0,26.381,9.139,,8.987,8.255,201.947,84.17,330.48,-246.31,0,57.689,,,,,14.212,43.477,141.859,,38.375,3.665,,,34.71,0.0,0,,,,,25.533,,,8.168,63.908,0.0,0.0,,,,39.991,,1.861,,,19.805,18.325,39.991,103.899,0.0,62.343,0.913,61.43,-104.2,282.686,-0.922,239.907,0.0,239.907,343.806,
09/30/2012,377.526,160.281,160.281,0.0,45.379,45.379,0,0,0,0,0,0,32.788,6.737,,16.809,9.242,238.448,82.441,333.598,-251.157,0,56.637,,,,,14.257,42.38,139.078,,38.307,2.084,,,36.223,0.0,0,,,,,17.782,,,9.069,56.089,0.0,0.0,,,,45.916,,1.882,,,21.86,22.174,45.916,102.005,0.0,65.425,0.913,64.512,-104.2,315.203,-0.907,275.521,0.0,275.521,377.526,
12/31/2012,338.858,135.597,135.597,0.0,45.666,45.666,0,0,0,0,0,0,21.646,4.146,0.0,11.717,5.783,202.909,78.958,330.6,-251.642,0,56.991,0.0,0.0,0.0,,14.27,42.721,135.949,,45.148,0.735,,,44.413,0.0,0,0.0,0.0,,,7.002,0.0,0.0,5.918,52.15,0.0,0.0,0.0,0.0,,47.586,0.0,1.794,,,20.989,24.803,47.586,99.736,,68.725,0.913,67.812,-104.201,275.491,-0.893,239.122,0.0,239.122,338.858,
03/31/2013,409.625,210.486,210.486,0.0,51.136,51.136,0,0,0,0,0,0,13.802,6.335,,0.481,6.986,275.424,77.191,333.719,-256.528,0,57.01,,,,,14.221,42.789,134.201,,55.04,3.12,11.872,,40.048,0.0,0,,,,,30.712,,,6.932,85.752,0.0,0.0,,,,49.147,,2.174,,,20.341,26.632,49.147,134.899,0.0,75.464,0.913,74.551,-104.204,304.567,-1.101,274.726,0.0,274.726,409.625,
06/30/2013,429.862,207.766,207.766,0.0,55.733,55.733,0,0,0,0,0,0,33.177,8.234,,15.44,9.503,296.676,76.195,336.787,-260.592,0,56.991,,,,,14.174,42.817,133.186,,44.112,3.709,,,40.403,0.0,0,,,,,26.159,,,9.518,70.271,0.0,0.0,,,,49.685,,2.195,,,19.363,28.127,49.685,119.956,0.0,83.88,0.918,82.962,-110.31,337.42,-1.084,309.906,0.0,309.906,429.862,
09/30/2013,441.15,226.378,226.378,0.0,50.131,50.131,0,0,0,0,0,0,32.42,6.609,,16.44,9.371,308.929,74.165,339.544,-265.379,0,58.056,,,,,14.034,44.022,132.221,,46.985,1.911,,,45.074,0.0,0,,,,,18.412,,,9.281,65.397,0.0,0.0,,,,50.354,,2.216,,,16.472,31.666,50.354,115.751,0.0,87.948,0.919,87.029,-124.314,362.831,-1.066,325.399,0.0,325.399,441.15,
12/31/2013,441.589,221.341,221.341,0.0,49.888,49.888,0,0,0,0,0,0,37.632,4.007,0.0,22.039,11.586,308.861,72.208,341.822,-269.614,0,60.52,0.0,0.0,0.0,,14.581,45.939,132.728,,96.789,4.219,,43.831,48.739,0.0,0,0.0,0.0,,,10.669,0.0,0.0,9.569,107.458,0.0,0.0,0.0,0.0,,49.614,0.0,2.11,,,13.745,33.759,49.614,157.072,0.0,91.904,0.919,90.985,-155.627,349.29,-1.05,284.517,0.0,284.517,441.589,
03/31/2014,412.844,199.065,199.065,0.0,57.856,57.856,0,0,0,0,0,0,19.101,7.271,,0.732,11.098,276.022,74.094,348.052,-273.958,0,62.728,,,,,14.571,48.157,136.822,,49.467,2.816,8.064,0.0,38.587,0.0,0,,,,,24.99,,,10.823,74.457,0.0,0.0,,,,51.707,,1.654,,,13.971,36.082,51.707,126.164,0.0,99.582,0.92,98.662,-194.754,382.587,-0.735,286.68,0.0,286.68,412.844,
06/30/2014,385.781,145.111,145.111,0.0,55.474,55.474,0,0,0,0,0,0,43.35,9.611,,23.261,10.478,243.935,75.142,352.438,-277.296,0,66.704,,,,,14.711,51.993,141.846,,47.809,4.144,,0.0,43.665,0.0,0,,,,,21.22,,,9.508,69.029,0.0,0.0,,,,52.861,,1.674,,,13.502,37.685,52.861,121.89,0.0,106.805,0.926,105.879,-252.19,409.988,-0.712,263.891,0.0,263.891,385.781,
09/30/2014,367.086,126.519,126.519,0.0,55.121,55.121,0,0,0,0,0,0,41.086,7.529,,22.34,11.217,222.726,75.293,357.653,-282.36,0,69.067,,,,,14.919,54.148,144.36,,49.982,1.899,,,48.083,0.0,0,,,,,18.301,,,11.09,68.283,0.0,0.0,,,,53.679,,1.694,,,12.767,39.218,53.679,121.962,0.0,108.938,0.926,108.012,-303.547,440.441,-0.708,245.124,0.0,245.124,367.086,
12/31/2014,383.901,147.927,147.927,0.0,58.386,58.386,0,0,0,0,0,0,37.794,4.622,0.0,21.503,11.669,244.107,71.77,359.656,-287.886,0,68.024,0.0,0.0,0.0,,12.351,55.673,139.794,,58.566,2.779,,0.0,55.787,0.0,0,0.0,0.0,,,15.099,0.0,0.0,13.111,73.665,0.0,0.0,0.0,0.0,,60.169,0.0,1.612,,,13.677,44.88,60.169,133.834,0.0,111.038,0.926,110.112,-332.287,472.005,-0.689,250.067,0.0,250.067,383.901,
03/31/2015,375.797,137.558,137.558,0.0,51.986,51.986,0,0,0,0,0,0,19.841,8.588,0.0,1.12,10.133,209.385,67.639,358.254,-290.615,0,98.773,,,,,42.74,56.033,166.412,,47.247,2.8,2.654,,41.793,0.0,0,,,,,23.465,0.0,0.0,9.392,70.712,0.0,0.0,,,,61.35,0.0,1.938,,,14.168,45.244,61.35,132.062,0.0,114.887,0.927,113.96,-366.821,496.539,-0.87,243.735,0.0,243.735,375.797,
06/30/2015,362.109,89.634,89.634,0.0,63.387,63.387,0,0,0,0,0,0,41.598,10.459,,23.216,7.923,194.619,67.082,362.133,-295.051,0,100.408,,,,,43.407,57.001,167.49,,53.122,4.883,1.119,,47.12,0.0,0,,,,,19.342,,,8.402,72.464,0.0,0.0,,,,62.628,,1.957,,,14.111,46.56,62.628,135.092,0.0,118.085,0.927,117.158,-414.038,523.822,-0.852,227.017,0.0,227.017,362.109,
09/30/2015,397.419,121.678,121.678,0.0,65.863,65.863,0,0,0,0,0,0,35.159,8.035,,19.381,7.743,222.7,63.136,219.23,-156.094,0,111.583,10.146,7.655,2.491,,43.68,57.757,174.719,,63.941,1.943,2.634,,59.364,0.0,0,,,,,14.722,,,7.234,78.663,0.0,0.0,,,,58.939,,1.976,,,11.865,45.098,58.939,137.602,0.0,121.31,0.927,120.383,-432.868,572.213,-0.838,259.817,0.0,259.817,397.419,
12/31/2015,384.788,102.253,102.253,0.0,62.535,62.535,0,0,0,0,0,0,39.33,5.122,0.0,27.901,6.307,204.118,65.274,220.927,-155.653,0,115.396,10.033,7.655,2.378,0.0,48.43,56.933,180.67,,61.737,1.762,1.633,0.0,58.342,0.0,0,0.0,0.0,,,12.26,0.0,0.0,8.241,73.997,0.0,0.0,0.0,0.0,,51.146,0.0,1.896,,,5.309,43.941,51.146,125.143,0.0,124.504,0.927,123.577,-467.632,603.597,-0.824,259.645,0.0,259.645,384.788,
03/31/2016,394.83,107.482,107.482,0.0,57.604,57.604,0,0,0,0,0,0,19.605,7.978,0.0,4.778,6.849,184.691,62.977,224.504,-161.527,0,147.162,36.484,26.468,10.016,,53.485,57.193,210.139,,58.082,4.178,7.695,,46.209,0.0,0,,,,,25.272,0.0,0.0,10.546,83.354,0.0,0.0,,,,50.949,0.0,1.881,,,5.144,43.924,50.949,134.303,0.0,129.009,0.929,128.08,-514.163,633.876,-0.795,247.927,12.6,260.527,394.83,
06/30/2016,406.644,52.193,52.193,0.0,71.129,71.129,0,0,0,0,0,0,50.55,10.577,,32.489,7.484,173.872,66.044,,,0,166.728,35.99,26.468,9.522,,72.698,58.04,232.772,,54.736,1.939,0.015,,52.782,0.0,0,,,,,21.896,,,11.02,76.632,0.0,0.0,,,,51.649,,1.902,,,4.967,44.78,51.649,128.281,0.0,132.78,0.929,131.851,-532.249,666.016,-0.784,265.763,12.6,278.363,406.644,
09/30/2016,441.342,72.759,72.759,0.0,61.112,61.112,0,0,0,0,0,0,72.712,8.495,,52.19,12.027,206.583,64.825,237.003,-172.178,0,169.934,35.562,26.468,9.094,,73.469,60.903,234.759,,66.439,3.087,0.018,,63.334,0.0,0,,,,,14.683,,,7.673,81.122,0.0,0.0,,,,58.055,,1.922,,,5.753,50.38,58.055,139.177,0.0,136.547,0.929,135.618,-532.249,686.042,-0.775,289.565,12.6,302.165,441.342,
12/31/2016,476.7,97.3,97.3,0.0,76.7,76.7,0,0,0,0,0,0,61.1,,0.0,53.7,7.4,235.1,60.8,220.9,-160.1,0,180.8,35.2,26.5,8.7,,72.9,72.7,241.6,,82.4,6.5,0.0,0.0,75.9,0.0,0,0.0,0.0,,,7.5,0.0,0.0,4.4,89.9,0.0,0.0,0.0,0.0,,56.3,0.0,0.0,0.0,0.0,0.0,56.3,56.3,146.2,0.0,140.1,0.9,139.2,-532.2,710.8,-0.8,317.9,12.6,330.5,476.7,
03/31/2017,5345.1,194.6,153.3,41.3,233.3,233.3,0,0,0,0,0,0,27.8,,,12.0,15.8,455.7,79.5,246.1,-166.6,0,4809.9,4671.6,2675.6,1996.0,,82.0,56.3,4889.4,,160.0,51.4,10.3,,98.3,0.0,0,,,,,100.9,,,82.9,260.9,1486.7,1486.7,,,,839.5,,,,,720.6,118.9,2326.2,2587.1,0.0,2585.7,1.2,2584.5,-540.1,697.7,2.1,2745.4,12.6,2758.0,5345.1,
06/30/2017,5395.6,259.0,148.6,110.4,231.3,231.3,0,0,0,0,0,0,29.4,,,10.7,18.7,519.7,80.5,253.1,-172.6,0,4795.4,4656.8,2686.4,1970.4,,82.0,56.6,4875.9,,154.9,11.9,3.9,,139.1,0.0,0,,,,,221.4,,,207.1,376.3,1411.3,1411.3,,,,778.7,,,,,703.4,75.3,2190.0,2566.3,0.0,2598.0,1.2,2596.8,-548.2,737.3,29.6,2816.7,12.6,2829.3,5395.6,
09/30/2017,5228.1,127.2,124.8,2.4,195.8,195.8,0,0,0,0,0,0,51.3,,,35.2,16.1,374.3,82.1,262.0,-179.9,0,4771.7,4636.5,2696.3,1940.2,,83.2,52.0,4853.8,,144.6,38.9,4.2,,101.5,0.0,0,,,,,93.4,,,82.0,238.0,1312.4,1312.4,,,,790.4,,,,,715.7,74.7,2102.8,2340.8,0.0,2611.2,1.2,2610.0,-550.2,766.9,50.0,2877.9,9.4,2887.3,5228.1,
12/31/2017,5265.7,190.8,143.5,47.3,217.3,217.3,0,0,0,0,0,0,26.6,,0.0,17.2,9.4,434.7,78.8,227.9,-149.1,0,4752.2,4610.0,2707.4,1902.6,,82.7,59.5,4831.0,,156.4,43.2,2.6,0.0,110.6,0.0,0,0.0,0.0,,0.0,177.6,0.0,0.0,162.2,334.0,1237.9,1237.9,0.0,0.0,,573.8,0.0,0.0,0.0,0.0,488.2,85.6,1811.7,2145.7,0.0,2624.9,1.2,2623.7,-558.3,993.3,50.7,3110.6,9.4,3120.0,5265.7,
03/31/2018,5328.2,230.3,166.3,64.0,268.4,268.4,0,0,0,0,0,0,13.6,,,0.0,13.6,512.3,79.1,234.7,-155.6,0,4736.8,4594.9,2718.2,1876.7,,85.0,56.9,4815.9,,196.9,48.7,52.9,,95.3,0.0,0,,,,,187.4,,,167.8,384.3,1213.4,1213.4,,,,545.9,,,,,461.2,84.7,1759.3,2143.6,0.0,2636.5,1.2,2635.3,-617.6,1080.8,75.5,3175.2,9.4,3184.6,5328.2,
06/30/2018,5316.9,271.8,140.0,131.8,252.2,252.2,0,0,0,0,0,0,60.0,,,46.9,13.1,584.0,70.3,238.3,-168.0,0,4662.6,4514.3,2701.3,1813.0,,88.7,59.6,4732.9,,170.9,11.1,0.0,,159.8,299.5,0,,,,299.5,209.5,,,192.1,679.9,914.6,914.6,,,,563.4,,,,,473.5,89.9,1478.0,2157.9,0.0,2647.3,1.2,2646.1,-665.9,1134.0,34.2,3149.6,9.4,3159.0,5316.9,
09/30/2018,5119.5,137.7,136.8,0.9,221.9,221.9,0,0,0,0,0,0,75.9,,,59.8,16.1,435.5,70.8,241.8,-171.0,0,4613.2,4465.8,2697.6,1768.2,,88.7,58.7,4684.0,,147.8,6.3,0.0,,141.5,299.6,0,,,,299.6,31.5,,,18.1,478.9,915.1,915.1,,,,564.2,,,,,475.4,88.8,1479.3,1958.2,0.0,2655.7,1.2,2654.5,-715.0,1185.4,25.8,3151.9,9.4,3161.3,5119.5,
12/31/2018,5321.0,310.8,275.1,35.7,287.3,287.3,0,0,0,0,0,0,85.6,,0.0,70.4,15.2,683.7,76.6,248.3,-171.7,0,4560.7,4411.6,2691.4,1720.2,,86.2,62.9,4637.3,,202.6,12.8,4.1,0.0,185.7,299.8,0,0.0,0.0,,299.8,93.5,0.0,0.0,85.0,595.9,915.6,915.6,0.0,0.0,,559.1,0.0,0.0,0.0,0.0,436.8,122.3,1474.7,2070.6,0.0,2661.4,1.2,2660.2,-720.1,1288.2,11.5,3241.0,9.4,3250.4,5321.0,
03/31/2019,5330.4,376.4,346.2,30.2,251.0,251.0,0,0,0,0,0,0,55.8,,,40.3,15.5,683.2,129.9,305.2,-175.3,0,4517.3,4387.8,2697.5,1690.3,,63.4,66.1,4647.2,,131.0,4.3,4.1,,122.6,308.8,0,8.9,,8.9,299.9,71.6,,,53.4,511.4,966.2,916.1,50.1,,50.1,558.0,,,,,433.4,124.6,1524.2,2035.6,0.0,2674.9,1.2,2673.7,-764.3,1348.6,26.2,3285.4,9.4,3294.8,5330.4,
06/30/2019,5159.3,244.2,161.3,82.9,245.9,245.9,0,0,0,0,0,0,87.3,,,70.4,16.9,577.4,104.7,225.5,-120.8,0,4477.2,4326.5,2680.0,1646.5,,63.5,87.2,4581.9,,138.2,9.0,3.2,,126.0,9.7,0,9.7,0.0,9.7,,137.9,,,124.7,285.8,963.5,916.6,46.9,0.0,46.9,577.2,,,,,426.7,150.5,1540.7,1826.5,0.0,2681.6,1.2,2680.4,-764.6,1401.9,8.1,3327.0,5.8,3332.8,5159.3,
09/30/2019,5019.3,171.4,150.0,21.4,235.5,235.5,0,0,0,0,0,0,82.6,,,65.0,17.6,489.5,102.4,226.0,-123.6,0,4427.4,4262.0,2663.4,1598.6,,69.7,95.7,4529.8,,150.4,10.3,0.0,,140.1,8.8,0,8.8,0.0,8.8,0.0,39.8,,,31.7,199.0,914.5,867.1,47.4,0.0,47.4,577.1,,,,,418.2,158.9,1491.6,1690.6,0.0,2687.7,1.2,2686.5,-817.3,1467.4,-9.1,3328.7,0.0,3328.7,5019.3,
12/31/2019,5113.9,300.3,229.3,71.0,234.7,234.7,0,0,0,0,0,0,72.6,,0.0,56.8,15.8,607.6,100.4,219.0,-118.6,0,4405.9,4272.0,2682.1,1589.9,,61.2,72.7,4506.3,,167.2,21.0,4.0,0.0,142.2,8.7,0,8.7,0.0,8.7,0.0,105.7,0.0,0.0,101.2,281.6,914.3,867.6,46.7,0.0,46.7,562.4,0.0,0.0,0.0,0.0,399.7,162.7,1476.7,1758.3,0.0,2692.5,1.2,2691.3,-887.1,1512.6,37.6,3355.6,0.0,3355.6,5113.9,
03/31/2020,5237.5,208.8,165.2,43.6,396.5,396.5,0,0,0,0,0,0,26.8,,,11.5,15.3,632.1,184.7,306.4,-121.7,0,4420.7,4280.9,2725.4,1555.5,,62.3,77.5,4605.4,,201.4,9.2,2.9,,189.3,9.6,0,9.6,,9.6,,147.1,,,129.9,358.1,996.4,868.1,128.3,,128.3,572.9,,,,,392.2,180.7,1569.3,1927.4,0.0,2700.9,1.2,2699.7,-1020.5,1629.6,0.1,3310.1,0.0,3310.1,5237.5,
06/30/2020,5366.3,386.6,210.1,176.5,376.8,376.8,0,0,0,0,0,0,17.8,,,0.0,17.8,781.2,193.4,317.5,-124.1,0,4391.7,4256.6,2730.4,1526.2,,61.3,73.8,4585.1,,220.2,12.2,14.9,,193.1,10.7,0,10.7,,10.7,,265.6,,,248.3,496.5,1005.9,868.6,137.3,,137.3,577.6,,,,,384.9,192.7,1583.5,2080.0,0.0,2705.7,1.2,2704.5,-1120.5,1703.7,-2.6,3286.3,0.0,3286.3,5366.3,
