Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/30/1996,34.330002,,-25.458,,,8.872002,,-4.334,,,,,4.538,0.112,,,,0.0,-0.112,4.65,-1.861,,2.789,0.0,,,2.789,0.0,2.789,0.0,,2.789,2.789,,321.528008,0.00875,0.00875,0.00875,321.528008,0.00875,0.00875,0.00875,
07/31/1996,31.431,,-22.641001,,,8.789999,,-4.69,,,,,4.1,0.043,,,,0.0,-0.043,4.143,-1.384,,2.759,0.0,,,2.759,0.0,2.759,0.0,,2.759,2.759,,318.095993,0.00875,0.00875,0.00875,318.095993,0.00875,0.00875,0.00875,
10/31/1996,32.516998,,-24.351,,,8.165998,,-4.329,,,,,3.837,0.037,,0.0,,0.0,-0.037,3.874,-1.536,,2.338,0.0,,,2.338,0.0,2.338,0.0,,2.338,2.338,,320.280006,0.0075,0.0075,0.0075,320.280006,0.0075,0.0075,0.0075,
01/31/1997,30.3645,,-20.907,,,9.4575,,-25.4092,,,,,4.9553,0.0858,,0.0,,0.0,-0.0858,5.0411,-2.0295,,3.0116,0.0,,,3.0116,0.0,3.0116,0.0,,3.0116,3.0116,,319.461,0.009583,0.009583,0.009583,319.461,0.009583,0.009583,0.009583,
04/30/1997,33.8068,,-23.976,,,9.8308,,-28.5019,,,,,5.3049,0.1925,,0.0,,0.0,-0.1925,5.4974,-2.1994,,3.298,0.0,,,3.298,0.0,3.298,0.0,,3.298,3.298,,322.2168,0.010417,0.010417,0.010417,322.2168,0.010417,0.010417,0.010417,
07/31/1997,29.587999,,-20.160999,,,9.427,,-4.673,,,,,4.754,0.307,,0.826,,0.0,-1.133,5.061,-1.718,,3.343,0.0,,,3.343,0.0,3.343,0.0,,3.343,3.343,,322.032005,0.010417,0.010417,0.010417,322.032005,0.010417,0.010417,0.010417,
10/31/1997,27.4908,,-18.037001,,,9.453799,0.0,-22.6762,,,,,4.8146,0.3332,-0.1962,0.0,,0.0,-0.137,5.1478,-2.0077,,3.1401,0.0,,,3.1401,0.0,3.1401,0.0,0.0,3.1401,3.1401,,323.0472,0.009583,0.009583,0.009583,323.0472,0.009583,0.009583,0.009583,
01/31/1998,26.1736,,-16.176001,,,9.997599,0.0,-20.7915,,,,,5.3821,0.2785,-0.2493,0.1574,-0.4067,0.0,-0.0292,5.6606,-2.2077,,3.4529,0.0,,,3.4529,0.0,3.4529,0.0,0.0,3.4529,3.4529,,631.3584,0.005417,0.005417,0.005417,645.888,0.005417,0.005417,0.005417,
04/30/1998,30.5687,,-18.718,,,11.8507,,-23.9186,,,,,6.6501,0.4029,,0.0,,0.0,-0.4029,7.053,-2.7505,,4.3025,0.0,,,4.3025,0.0,4.3025,0.0,,4.3025,4.3025,,317.2248,0.01375,0.01375,0.01375,324.6912,0.013333,0.013333,0.013333,
07/31/1998,29.973,,-18.583,,,11.39,,-23.313,,,,,6.66,-0.227,,0.65,-0.371,0.0,-0.052,7.083,-2.762,,4.321,0.0,,,4.321,0.0,4.321,0.0,0.0,4.321,4.321,,317.976,0.01375,0.01375,0.01375,325.944,0.013333,0.013333,0.013333,
10/31/1998,30.1931,,-18.58,,,11.6131,,-23.8462,,,,,6.3469,0.523,,0.1495,-0.4379,0.0,-0.2346,6.8699,-2.6792,,4.1907,0.0,,,4.1907,0.0,4.1907,0.0,0.0,4.1907,4.1907,,318.9672,0.013333,0.013333,0.013333,326.6616,0.012917,0.012917,0.012917,
01/31/1999,32.0543,,-21.558001,,,10.496299,,-24.6161,,,,,7.4382,0.4018,,0.1472,-0.3811,0.0,-0.1679,7.84,-3.0184,,4.8216,0.0,,,4.8216,0.0,4.8216,0.0,,4.8216,4.8216,,319.824,0.015,0.015,0.015,330.4488,0.015,0.015,0.015,
04/30/1999,40.0148,,-24.577,,,15.4378,,-30.2659,,,,,9.7489,0.3068,,0.1447,-0.3127,0.0,-0.1388,10.0557,-3.7708,,6.2849,0.0,,,6.2849,0.0,6.2849,0.0,,6.2849,6.2849,,320.4696,0.02,0.02,0.02,333.5652,0.019167,0.019167,0.019167,
07/31/1999,39.488998,,-21.764999,,,17.723999,,-7.874,,,,,9.85,0.507,,0.143,,0.0,-0.65,10.357,-3.688,,6.668,0.0,,,6.669,0.0,6.668,0.0,,6.668,6.668,,321.755997,0.020833,0.020833,0.020833,334.727989,0.02,0.02,0.02,
10/31/1999,40.5076,,-24.636999,,,15.870601,,-30.6952,,,,,9.8124,0.452,,0.1401,-0.4079,0.0,-0.1842,10.2644,-3.9518,,6.3126,0.0,,,6.3126,0.0,6.3126,0.0,0.0,6.3126,6.3126,,322.176,0.02,0.02,0.02,335.3352,0.019167,0.019167,0.019167,
01/31/2000,44.4064,,-27.362,,,17.0444,,-34.1031,,,,,10.3033,0.4633,,0.138,-0.4464,0.0,-0.1549,10.7666,-4.1481,,6.6185,0.0,,,6.6185,0.0,6.6185,0.0,0.0,6.6185,6.6185,,322.371,0.02,0.02,0.02,337.4712,0.02,0.02,0.02,
04/30/2000,53.8012,,-33.762001,,,20.039199,,-40.6938,,,,,13.1074,0.4422,,0.1355,-0.3148,0.0,-0.2629,13.5496,-5.2135,,8.3361,0.0,,,8.3361,0.0,8.3361,0.0,0.0,8.3361,8.3361,,323.487,0.025,0.025,0.025,338.7894,0.025,0.025,0.025,
07/31/2000,51.327301,,-30.9363,,,20.391001,,-7.3978,,,,,12.9932,0.3998,,0.1368,,0.0,-0.5366,13.393,-5.2309,,8.1621,0.0,,,8.1621,0.0,8.1621,0.0,,8.1621,8.1621,,325.572006,0.025,0.025,0.025,337.332001,0.025,0.025,0.025,
10/31/2000,57.1394,,-35.355999,,,21.783401,,-43.1924,,,,,13.947,0.676,,0.1359,-0.3508,0.0,-0.4611,14.623,-5.7038,,8.9192,0.0,,,8.9192,0.0,8.9192,0.0,0.0,8.9192,8.9192,,327.33,0.026667,0.026667,0.026667,338.7192,0.026667,0.026667,0.026667,
01/31/2001,56.6382,,-34.123001,,,22.515199,,-41.8172,,,,,14.821,0.6322,,0.1509,-0.4621,0.0,-0.321,15.4532,-6.104,,9.3492,0.0,,,9.3492,0.0,9.3492,0.0,0.0,9.3492,9.3492,,328.2798,0.028333,0.028333,0.028333,338.562,0.028333,0.028333,0.028333,
04/30/2001,71.4806,,-43.209999,,,28.270601,,-52.4005,,,,,19.0801,0.1903,,0.1494,-0.2852,0.0,-0.0545,19.2704,-7.7852,,11.4852,0.0,,,11.4852,0.0,11.4852,0.0,0.0,11.4852,11.4852,,330.4386,0.035,0.035,0.035,341.4108,0.033333,0.033333,0.033333,
07/31/2001,68.630997,,-39.362999,,,29.267998,,-8.999,,,,,20.268999,1.428,,0.058,-0.4,0.0,-1.086,21.696999,-8.766,,12.931,0.0,,,12.930999,0.0,12.931,0.0,0.0,12.931,12.931,,331.421997,0.038333,0.038333,0.038333,343.253998,0.038333,0.038333,0.038333,
10/31/2001,72.2825,,-43.231998,,,29.050502,,-51.8187,,,,,20.4638,0.6241,,0.0119,-0.2429,0.0,-0.3931,21.0879,-8.3297,,12.7582,0.0,,,12.7582,0.0,12.7582,0.0,0.0,12.7582,12.7582,,332.7378,0.038333,0.038333,0.038333,344.9286,0.036667,0.036667,0.036667,
01/31/2002,71.3823,,-43.132,,,28.2503,,-52.2232,,,,,19.1591,0.9136,,0.0106,-0.5128,0.0,-0.4114,20.0727,-7.5775,,12.4952,0.0,,,12.4952,0.0,12.4952,0.0,0.0,12.4952,12.4952,,356.498,0.035,0.035,0.035,369.9868,0.035,0.035,0.035,
04/30/2002,90.1581,,-53.014,,,37.1441,,-64.147,,,,,26.0111,0.9814,,0.0093,-0.4938,0.0,-0.4969,26.9925,-10.3921,,16.6004,0.0,,,16.6004,0.0,16.6004,0.0,0.0,16.6004,16.6004,,363.322,0.045,0.045,0.045,374.0632,0.045,0.045,0.045,
07/31/2002,82.633003,,-47.577999,,,35.055004,,-10.75,,,,,24.305,1.199,,0.008,-0.62,0.0,-0.587,25.504,-9.968,,15.536,0.0,,,15.536,0.0,15.536,0.0,0.0,15.536,15.536,,366.455994,0.0425,0.0425,0.0425,376.18399,0.0425,0.0425,0.0425,
10/31/2002,83.4949,,-47.879002,,,35.615898,,-59.7974,,,,,23.6975,0.6108,-0.4551,0.0066,-0.4617,0.0,-0.1557,24.3083,-9.6018,,14.7065,0.0,,,14.7065,0.0,14.7065,0.0,0.0,14.7065,14.7065,,368.9956,0.04,0.04,0.04,376.2252,0.04,0.04,0.04,
01/31/2003,82.7834,,-48.198002,,,34.585398,,-61.0366,,,,,21.7468,0.7679,-0.4817,0.0065,-0.4882,0.0,-0.2862,22.5147,-8.7582,,13.7565,0.0,,,13.7565,0.0,13.7565,0.0,0.0,13.7565,13.7565,,369.4636,0.0375,0.0375,0.0375,376.3512,0.0375,0.0375,0.0375,
04/30/2003,93.9287,,-55.012001,,,38.916699,,-69.32,,,,,24.6087,0.8721,,0.0045,-0.3395,0.0,-0.5371,25.4808,-10.058,,15.4228,0.0,,,15.4228,0.0,15.4228,0.0,0.0,15.4228,15.4228,,364.7804,0.0425,0.0425,0.0425,370.398,0.0425,0.0425,0.0425,
07/31/2003,87.216003,,-51.331001,,,35.885002,,-14.873,,,,,21.011999,0.852,,0.002,-0.361,0.0,-0.493,21.863999,-8.527,,13.337,0.0,,,13.336999,0.0,13.337,0.0,0.0,13.337,13.337,,359.256012,0.0375,0.0375,0.0375,365.368011,0.0375,0.0375,0.0375,
10/31/2003,91.4666,,-51.661999,,,39.804601,,-67.1795,,,,,24.2871,0.9048,-0.2939,0.0016,-0.2955,0.0,-0.6109,25.1919,-9.9508,,15.2411,0.0,,,15.2411,0.0,15.2411,0.0,0.0,15.2411,15.2411,,357.9688,0.0425,0.0425,0.0425,364.7328,0.0425,0.0425,0.0425,
01/31/2004,92.6349,,-50.141998,,,42.492902,,-66.8148,,,,,25.8201,2.8876,-0.2925,0.0006,-0.2931,0.0,-2.5951,28.7077,-11.3399,,17.3678,0.0,,,17.3678,0.0,17.3678,0.0,0.0,17.3678,17.3678,,356.0952,0.05,0.05,0.05,365.9396,0.0475,0.0475,0.045903,
04/30/2004,116.6184,,-58.053001,,,58.565399,,-76.2199,,,,,40.3985,0.1561,-0.3383,0.0005,-0.3388,0.0,0.1822,40.5546,-15.5902,,24.9644,0.0,,,24.9644,0.0,24.9644,0.0,0.0,24.9644,24.9644,,357.4908,0.07,0.07,0.07,367.8948,0.0675,0.0675,0.068866,
07/31/2004,100.075996,,-48.900002,,,51.175995,,-16.916,,,,,34.259998,1.582,,0.0,-0.582,0.0,-1.0,35.841998,-14.195,,21.646999,0.0,,,21.646999,0.0,21.646999,0.0,0.0,21.646999,21.646999,,359.747986,0.06,0.06,0.055,371.283997,0.0575,0.0575,0.0525,
10/31/2004,104.110001,,-52.723999,,,51.386002,,-16.318001,,,,,35.068001,1.974,,,-0.78,0.0,-1.194,37.042001,-14.372,,22.67,0.0,,,22.670001,0.0,22.67,0.0,0.0,22.67,22.67,,360.324004,0.0625,0.0625,0.0625,370.536012,0.06,0.06,0.06,
01/31/2005,110.0145,,,,,,,-73.3909,,,,,36.6236,1.8611,-1.0381,,-1.0381,0.0,-0.823,38.4847,-14.9321,,23.5526,,,,23.5526,0.0,23.5526,0.0,0.0,23.5526,23.5526,,360.4916,0.065,0.065,0.065,372.4848,0.0625,0.0625,0.0625,
04/30/2005,130.426,,,,,,,-82.673,,,,,47.753,1.926,-1.217,,-1.217,,-0.709,49.679,-18.774,,30.905,,,,30.905,,30.905,0.0,0.0,30.905,30.905,,360.716,0.085,0.085,0.085,372.4,0.0825,0.0825,0.0825,
07/31/2005,110.575,,-72.974,,,37.601,,,,,,,37.601,2.1919,,0.062,-1.8729,0.0,-0.381,39.7929,-14.6939,,25.099,0.11,,,24.989,0.0,24.988,0.0,0.0,24.988,24.988,,361.068,0.07,0.07,0.07,373.028,0.07,0.07,0.07,
10/31/2005,116.739,,,,,,0.0,-82.74,,,,,33.999,2.413,-1.775,,,0.0,-0.638,36.412,-13.746,,22.666,-0.147,,,22.813,0.0,22.813,0.0,0.0,22.813,22.813,,361.54,0.0625,0.0625,0.0625,370.92,0.0625,0.06,0.06,
01/31/2006,125.099,,,,,,,-88.084,,,,,37.015,1.709,-1.805,,,0.0,0.096,38.724,-12.606,,26.118,18.265,,,7.853,0.0,7.853,0.0,0.0,7.853,7.853,,361.604,0.0225,0.0725,0.0675,370.544,0.02,0.07,0.065,
04/30/2006,149.512,,,,,,,-96.161,,,,,53.351,0.338,-1.805,,-1.805,0.0,1.467,53.689,-20.509,,33.18,-1.53,,,34.71,0.0,34.71,0.0,0.0,34.71,34.71,,361.172,0.095,0.0925,0.097175,371.536,0.0925,0.09,0.094548,
07/31/2006,137.2,,-72.482,,,64.718,,-17.521,,,,,47.197,-1.497,,0.072,,0.0,1.425,45.7,-14.912,,30.788,-0.785,,,31.573,0.0,31.573,0.0,0.0,31.573,31.573,,361.6,0.0875,0.085,0.085,371.32,0.085,0.0825,0.0825,
10/31/2006,132.121,,-70.231,,,61.89,,-14.997,,,,,46.893,1.462,-3.027,,,0.0,1.565,48.355,-18.01,,30.345,0.0,,,30.345,0.0,30.345,0.0,0.0,30.345,30.345,,362.0,0.085,0.085,0.085,373.5,0.08,0.08,0.08,
01/31/2007,128.925,,-68.536,,,60.389,,-15.225,,,,,45.164,3.528,-3.283,,,0.0,-0.245,48.692,-18.3,,30.392,0.0,,,30.392,0.0,30.392,0.0,0.0,30.392,30.392,,363.008,0.0825,0.0825,0.0825,374.728,0.08,0.08,0.08,
04/30/2007,145.652,,-72.665,,,72.987,,-15.758,,,,,57.229,4.796,-3.54,,,0.0,-1.256,62.025,-23.158,,38.867,0.0,,,38.867,0.0,38.867,0.0,0.0,38.867,38.867,,365.084,0.1075,0.1075,0.1075,375.14,0.1025,0.1025,0.1025,
07/31/2007,153.982,,,,,,,-100.122,,,,,53.859,4.49,,,,0.0,-4.49,58.349,-21.615,,36.734,0.0,,,36.734,0.0,36.734,0.0,0.0,36.734,36.734,,360.404,0.1025,0.1025,0.1025,371.196,0.1,0.1,0.1,
10/31/2007,183.957,,,,,,,-127.33,,,,,56.627,3.539,-2.743,,,,-0.796,60.166,-22.556,,37.61,0.0,0.0,0.0,37.61,0.0,37.61,0.0,0.0,37.61,37.61,,354.232,0.105,0.105,0.105,362.744,0.1025,0.1025,0.1025,
01/31/2008,173.459,,-27.633,,,145.826,,-98.591,,,,,47.235,3.354,-2.472,,,,-0.882,50.589,-18.563,,32.026,0.0,0.0,0.0,32.026,0.0,32.026,0.0,0.0,32.026,32.026,,355.208,0.09,0.09,0.09,365.332,0.0875,0.0875,0.0875,
04/30/2008,221.15,,-43.708,,,177.442,,-108.758,,,,,68.684,2.19,-1.377,,,,-0.813,70.874,-24.397,,46.477,0.0,,0.0,46.477,0.0,46.477,0.0,0.0,46.477,46.477,0.0,348.476,0.1325,0.1325,0.1325,358.828,0.13,0.13,0.13,
07/31/2008,206.282,,-34.506,,,171.776,,-106.404,,,,,65.372,2.65,-0.959,,,,-1.691,68.022,-27.202,0.0,40.82,0.0,,0.0,40.82,0.0,40.82,0.0,0.0,40.82,40.82,0.0,340.752,0.12,0.12,0.12,349.472,0.1175,0.1175,0.1175,
10/31/2008,191.569,191.569,-111.999,103.663,2.542,79.57,0.0,-20.085,17.543,17.543,,0.0,59.485,1.835,-0.581,,,,-1.254,61.32,-24.066,,37.254,0.0,0.0,0.0,37.254,0.0,37.254,0.0,0.0,37.254,36.604,-0.65,333.132,0.1125,0.1125,0.109878,341.28,0.11,0.11,0.108095,
01/31/2009,169.855,169.855,-102.563,94.578,2.218,67.292,0.0,-21.723,19.505,19.505,,0.0,45.569,-1.391,-0.407,,,,1.798,44.178,-17.028,,27.15,0.0,0.0,0.0,27.15,0.0,27.15,0.0,0.0,27.15,27.8,0.65,333.772,0.0825,0.0825,0.083291,336.824,0.08,0.08,0.08193,
04/30/2009,197.326,197.326,-111.859,103.766,2.124,85.467,0.0,-20.587,18.463,18.463,,0.0,64.88,1.016,-0.48,,,,-0.536,65.896,-25.384,,40.512,-1.557,-1.557,0.0,42.069,0.0,42.069,0.0,0.0,42.069,40.512,0.0,334.524,0.125,0.12,0.12,339.128,0.125,0.12,0.12,
07/31/2009,184.332,184.332,-104.403,96.014,2.162,79.929,0.0,-24.541,22.379,22.379,,0.0,55.388,0.946,0.051,,,,-0.997,56.334,-21.708,,34.626,0.0,0.0,0.0,34.626,0.0,34.626,0.0,0.0,34.626,34.626,0.0,335.176,0.1025,0.1025,0.1025,336.856,0.1025,0.1025,0.1025,
10/31/2009,185.461,185.461,-102.876,94.354,2.173,82.585,0.0,-26.093,23.92,23.92,,0.0,56.492,0.56,0.071,0.142,-0.071,,-0.631,57.052,-21.782,,35.27,0.0,0.0,0.0,35.27,0.0,35.27,0.0,0.0,35.27,35.79,0.52,336.18,0.105,0.105,0.106461,339.792,0.105,0.105,0.106461,
01/31/2010,176.601,176.601,-97.914,89.46,2.091,78.687,0.0,-25.455,23.364,23.364,,0.0,53.232,-0.06,-0.042,0.021,-0.063,,0.102,53.172,-17.439,,35.733,0.0,0.0,0.0,35.733,0.0,35.733,0.0,0.0,35.733,36.58227,0.84927,336.432,0.105,0.105,0.108736,339.708,0.105,0.105,0.1075,
04/30/2010,220.349,220.349,-119.851,111.038,2.038,100.498,0.0,-28.372,26.334,26.334,,0.0,72.126,-0.542,0.013,0.038,-0.025,,0.529,71.584,-27.194,,44.39,0.0,0.0,0.0,44.39,0.0,44.39,0.0,0.0,44.39,45.95,1.56,336.896,0.1325,0.1325,0.136392,340.592,0.13,0.13,0.13458,
07/31/2010,190.468,190.468,-104.244,95.092,1.988,86.224,0.0,-29.004,27.016,27.016,,0.0,57.22,0.467,-0.031,,,,-0.436,57.687,-21.453,,36.234,0.0,0.0,0.0,36.234,0.0,36.234,0.0,0.0,36.234,36.949,0.715,337.136,0.1075,0.1075,0.109597,340.348,0.1075,0.1075,0.109597,
10/31/2010,212.667,212.667,-123.813,114.364,2.276,88.854,0.0,-29.26,26.984,26.984,,0.0,59.594,0.569,-0.065,0.015,-0.08,,-0.504,60.163,-22.34,,37.823,0.0,0.0,0.0,37.823,0.0,37.823,0.0,0.0,37.823,37.823,0.0,334.98,0.1125,0.1125,0.1125,337.624,0.1125,0.1125,0.1125,
01/31/2011,207.38,207.38,-121.475,112.118,2.007,85.905,0.0,-25.71,23.703,23.703,,0.0,60.195,0.522,0.284,0.417,-0.133,,-0.806,60.717,-22.824,,37.893,0.0,0.0,0.0,37.893,0.0,37.893,0.0,0.0,37.893,38.283,0.39,324.96,0.1175,0.1175,0.117808,327.82,0.115,0.115,0.11619,
04/30/2011,236.755,236.755,-127.848,118.588,2.067,108.907,0.0,-26.863,24.796,24.796,,0.0,82.044,-1.694,1.673,1.832,-0.159,,0.021,80.35,-30.214,,50.136,0.0,0.0,0.0,50.136,0.0,50.136,0.0,0.0,50.136,50.656,0.52,279.224,0.18,0.18,0.181417,284.132,0.1775,0.1775,0.17933,
07/31/2011,215.443,215.443,-125.856,116.964,2.394,89.587,0.0,-26.131,23.737,23.737,,0.0,63.456,-0.811,,1.693,,,-0.882,62.645,-22.124,,40.521,0.0,0.0,0.0,40.521,0.0,40.521,0.0,0.0,40.521,40.521,0.0,1081.84,0.0375,0.0375,0.0375,1105.856,0.03625,0.03625,0.03625,
10/31/2011,225.626,225.626,-130.401,122.199,3.893,95.225,0.0,-29.849,25.956,25.956,,0.0,65.376,-1.561,2.125,2.187,-0.062,,-0.564,63.815,-22.666,,41.149,0.0,0.0,0.0,41.149,0.0,41.149,0.0,0.0,41.149,42.124,0.975,525.728,0.0775,0.0775,0.080125,535.208,0.0775,0.0775,0.079322,
01/31/2012,227.904,227.904,-128.208,120.027,3.97,99.696,0.0,-36.157,23.416,23.416,,8.771,63.539,-1.323,2.914,3.033,-0.119,,-1.591,62.216,-21.613,,40.603,0.0,0.0,0.0,40.603,0.0,40.603,0.0,0.0,40.603,48.53955,7.93655,256.612,0.16,0.16,0.189156,263.18,0.155,0.155,0.185156,
04/30/2012,244.105,244.105,-128.836,120.49,3.723,115.269,0.0,-27.325,23.602,23.602,,0.0,87.944,-3.397,2.93,3.008,-0.078,,0.467,84.547,-29.076,,55.471,0.0,0.0,0.0,55.471,0.0,55.471,0.0,0.0,55.471,55.666,0.195,253.192,0.22,0.22,0.219857,260.902,0.215,0.215,0.215748,
07/31/2012,226.556,226.556,-127.13,118.821,3.528,99.426,0.0,-29.932,26.404,26.404,,0.0,69.494,-2.016,3.015,,,,-0.999,67.478,-22.582,,44.896,0.0,0.0,0.0,44.896,0.0,44.896,0.0,0.0,44.896,44.36105,-0.53495,252.224,0.18,0.18,0.175879,259.706,0.175,0.175,0.17294,
10/31/2012,238.866,238.866,-133.43,124.332,3.741,105.436,0.0,-31.079,27.338,27.338,,0.0,74.357,-2.769,2.476,2.632,-0.156,,0.293,71.588,-25.743,,45.845,0.0,0.0,0.0,45.845,0.0,45.845,0.0,0.0,45.845,46.04,0.195,248.604,0.185,0.185,0.185194,256.946,0.18,0.18,0.180759,
01/31/2013,266.185,266.185,-169.368,158.705,3.949,96.817,0.0,-34.047,30.098,30.098,,0.0,62.77,-1.653,2.397,2.588,-0.191,,-0.744,61.117,-21.477,,39.64,0.0,0.0,0.0,39.64,0.0,39.64,0.0,0.0,39.64,48.0612,8.4212,249.418,0.16,0.16,0.192693,259.04,0.155,0.155,0.187509,
04/30/2013,277.638,277.638,-162.041,151.279,4.034,115.597,0.0,-32.784,28.75,28.75,,0.0,82.813,-0.808,2.4,2.538,-0.138,,-1.592,82.005,-28.769,,53.236,0.0,0.0,0.0,53.236,0.0,53.236,0.0,0.0,53.236,53.431,0.195,250.54,0.21,0.21,0.213263,261.06,0.205,0.205,0.205747,
07/31/2013,263.697,263.697,-160.625,150.382,4.238,103.072,0.0,-40.02,35.782,35.782,,0.0,63.052,-0.89,2.356,,,,-1.466,62.162,-20.858,,41.304,0.0,0.0,0.0,41.304,0.0,41.304,0.0,0.0,41.304,41.5159,0.2119,250.76,0.165,0.165,0.16556,261.226,0.16,0.16,0.160811,
10/31/2013,279.883,279.883,-172.047,161.952,4.409,107.836,0.0,-42.877,38.468,38.468,,0.0,64.959,-0.714,2.137,2.286,-0.149,,-1.423,64.245,-22.823,,41.422,0.0,0.0,0.0,41.422,0.0,41.422,0.0,0.0,41.422,43.437,2.015,250.92,0.165,0.165,0.173111,261.412,0.16,0.16,0.167708,
01/31/2014,286.434,286.434,-174.888,165.428,3.615,111.546,0.0,-40.062,36.447,36.447,,0.0,71.484,-0.896,2.066,2.209,-0.143,,-1.17,70.588,-25.243,,45.345,0.0,0.0,0.0,45.345,0.0,45.345,0.0,0.0,45.345,48.335,2.99,251.128,0.18,0.18,0.192471,262.202,0.175,0.175,0.186403,
