Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,Periodic EV to Shares Outstanding,Trailing 12 Month Values for Ratios,Source: Bloomberg
12/31/1994,911.710219,-62.686001,0.0,0.0,636.148001,1485.172219,1287.530996,49.408364,0.428333,1.23013,7.647407,11.582187,6.036561,6.5626,911.396791,1484.858791,42.557518,,
03/31/1995,872.474957,-217.401993,0.0,0.0,626.855994,1281.928957,1308.422003,47.909313,0.488994,1.212659,6.722405,10.329889,5.470345,6.643237,872.474957,1281.928957,36.732543,,
06/30/1995,903.373828,-250.292999,0.0,0.0,675.874023,1328.954853,1346.63504,50.189844,0.508576,1.280898,6.829232,10.340371,5.905008,8.313473,903.192704,1328.773728,38.064759,,
09/30/1995,960.107445,-177.338998,0.0,0.0,626.774023,1409.54247,1268.468024,49.41189,0.444665,1.363984,6.919052,10.265328,5.402874,8.545452,960.107445,1409.54247,40.373,,
12/31/1995,1109.249759,-34.437002,0.0,0.0,547.129004,1621.94176,1209.734015,45.227215,0.33733,1.553758,7.312566,10.446819,7.329041,12.944425,1108.964045,1621.656046,46.424757,,
03/31/1996,1131.214936,-81.523001,0.0,0.0,535.804004,1585.495939,1244.370013,43.058254,0.337941,1.418087,6.50831,9.007169,12.480672,46.282249,1131.150098,1585.431101,45.376373,,
06/30/1996,1170.891989,-82.883002,0.0,0.0,531.104004,1619.112991,1238.150024,42.894964,0.328022,1.372867,6.362237,8.75518,17.250362,234.190786,1170.690971,1618.911974,46.323902,,
09/30/1996,1188.639966,-37.77,0.0,0.0,529.689026,1680.558992,1210.874024,43.744355,0.315186,1.402035,6.471928,8.890247,12.52733,34.62828,1188.504034,1680.42306,48.070911,,
12/31/1996,1184.947484,-25.683001,0.0,0.0,556.064001,1715.328485,1259.050024,44.165362,0.324173,1.352569,6.509687,8.977346,10.254376,20.046681,1184.710361,1715.091361,49.037407,,
03/31/1997,1158.778698,-49.869999,0.0,0.0,527.739001,1636.647701,1277.594989,41.307222,0.322451,1.223544,6.136708,8.44717,9.488425,17.43454,1158.745592,1636.614594,46.785426,,
06/30/1997,1310.200249,-115.941,0.0,0.0,527.039001,1721.298251,1272.774994,41.408655,0.306187,1.332725,6.394979,8.797215,7.836804,12.552687,1309.863211,1720.961213,49.184163,,
09/30/1997,1321.700625,-49.198,0.0,0.0,529.814028,1802.316653,1246.313021,42.510511,0.293963,1.414281,6.873509,9.579759,9.430495,17.719836,1320.909187,1801.525215,51.391978,,
12/31/1997,1384.464347,-44.973002,0.0,0.0,587.505028,1926.996373,1325.916008,44.30937,0.304881,1.51449,7.422258,10.409332,11.429413,25.757587,1384.306934,1926.83896,54.804938,,
03/31/1998,1284.073827,-78.802999,0.0,0.0,527.859028,1733.129856,1299.258046,40.627728,0.30457,1.53524,7.279153,10.618497,8.629427,16.676334,1281.745857,1730.801886,49.095774,,
06/30/1998,1366.822915,-94.105,0.0,0.0,527.818028,1800.535944,1293.543034,40.804056,0.293145,1.600821,7.832912,11.674507,10.953823,28.909822,1364.003218,1797.716247,50.881281,,
09/30/1998,1274.472015,-15.015,0.0,0.0,525.504004,1784.961019,1266.865026,41.480662,0.294406,1.570389,7.574692,11.264924,9.719872,26.464105,1274.003998,1784.493001,50.419778,,
12/31/1998,1414.804875,-14.33,0.0,0.0,579.179,1979.653875,1329.775,43.554662,0.292566,1.858795,9.099765,14.263972,,,1414.645375,1979.494375,55.79476,,
03/31/1999,1146.489506,-60.535,0.0,0.0,581.589,1667.543506,1380.931,42.115718,0.34877,1.461095,7.022862,10.620011,,,1146.770625,1667.824625,46.997813,,
06/30/1999,1337.500733,-67.418,0.0,0.0,597.274,1867.356732,1386.247,43.085684,0.31985,1.60739,7.997485,12.265633,,,1337.830875,1867.686875,52.617546,,
09/30/1999,1248.769187,-20.364,0.0,0.0,650.734,1879.139187,1419.464,45.843642,0.346294,1.573316,7.844619,12.044683,,,1249.191437,1879.561438,52.949905,,
12/31/1999,1190.355532,-20.115001,0.0,0.0,774.223007,1944.463538,1555.875015,49.76126,0.398168,1.504137,7.832935,11.982595,13.558995,-13.878185,1190.32205,1944.430057,54.72275,,
03/31/2000,971.918572,-28.109,0.0,0.0,950.398987,1894.208558,1768.704987,53.734172,0.501739,1.438051,7.598048,11.8337,14.281542,-11.460558,974.333106,1896.623093,53.473973,,
06/30/2000,1142.714468,-33.724,0.0,0.0,873.710999,1982.701467,1682.012024,51.944397,0.440667,1.458165,7.427573,11.695215,37.447723,-8.504844,1143.808809,1983.795808,56.173228,,
09/30/2000,1178.69439,-16.047,0.0,0.0,987.878,2150.52539,1764.96,55.971693,0.459366,1.517719,8.26947,13.515032,24.869709,-13.336399,1178.794573,2150.625573,60.928303,,
12/31/2000,1583.325302,-36.567,0.0,0.0,1160.019,2706.777302,1918.443,60.466691,0.428561,1.571853,9.802476,15.539848,42.040407,-19.964302,1584.2395,2707.6915,76.502462,,
03/31/2001,1375.715454,-51.032,0.0,0.0,1174.693,2499.376454,1977.596,59.400049,0.469994,1.10077,9.18652,14.368527,-801.55954,-13.672727,1378.17472,2501.83572,70.618355,,
06/30/2001,1423.0398,-51.571,0.0,0.0,1226.303,2597.7718,2051.03,59.789618,0.47206,1.115966,9.73966,14.909415,18.954287,-18.253621,1425.4518,2600.1838,73.385457,,
09/30/2001,,,,,,,,,,,,,,,1409.8896,,,,
12/31/2001,1344.54264,-10.111,0.0,0.0,1020.633,2355.06464,1829.47,55.788452,0.433378,1.219745,9.32976,14.952507,8.179001,172.136464,1345.94605,2356.46805,66.437165,,
03/31/2002,1396.49356,-101.004,0.0,0.0,946.02,2241.50956,1782.866,53.061756,0.422046,1.624482,8.829638,14.448116,4.856392,12.576599,1398.02938,2243.04538,63.208774,,
06/30/2002,1293.24568,-116.443,0.0,0.0,946.02,2122.82268,1764.46,53.61527,0.445642,1.507175,8.642324,15.005462,5.218399,9.1479,1294.84044,2124.41744,59.847959,,
09/30/2002,1194.61371,-34.078,0.0,0.0,931.885,2092.42071,1738.209,53.611792,0.445362,1.41138,7.61836,12.211384,5.72761,12.722218,1195.28751,2093.09451,59.00958,,
