Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
06/30/1998,,215,75,7,-84,213,,,-25.0,,,,,,,,,,,,,,,,
09/30/1998,,218,76,45,-178,161,,,-40.0,,,,,,,,,,,,,,,,
12/31/1998,,222,199,-110,-52,259,,,-32.0,,,,,,,,,,,,,,,,
03/31/1999,,254,78,170,416,918,,,-39.0,,,,,,,,,,,,,,,,
06/30/1999,,238,72,-93,390,607,,,-48.0,,,,,,,,,,,,,,,,
09/30/1999,,231,71,-251,416,467,,,-32.0,,,,,,,,,,,,,,,,
12/31/1999,,240,70,87,204,601,-52.0,,-52.0,,,,,,,,,,,,,,549.0,,
03/31/2000,,253,71,128,-26,426,312.0,0.0,-39.0,-140.0,258.0,440.0,-207.0,-1190.0,-100.0,-790.0,103.0,-103.0,10.0,-336.0,-75.0,101.0,-452.0,,
06/30/2000,,247,24,-177,23,502,1119.0,0.0,-27.0,-261.0,223.0,1292.0,-108.0,-338.0,-108.0,-435.0,300.0,-206.0,18.0,-187.0,-500.0,780.0,1283.0,,
09/30/2000,,252,34,307,-213,-5,104.0,0.0,-40.0,-417.0,375.0,153.0,33.0,-1113.0,-107.0,-118.0,1.0,-7.0,22.0,-77.0,-361.0,-466.0,-1014.0,,
12/31/2000,,255,72,-323,127,131,-4204.0,0.0,-65.0,-5308.0,2888.0,-1659.0,-60.0,4691.0,-106.0,-276.0,0.0,-13.0,40.0,-137.0,5145.0,38.0,618.0,,
03/31/2001,,264,28,535,-58,769,2508.0,0.0,-55.0,-20899.0,21886.0,1599.0,-23.0,-3816.0,-106.0,1310.0,0.0,-6.0,19.0,-528.0,-4591.0,86.0,-539.0,,
06/30/2001,,55,43,4413,74,4886,-2381.0,0.0,-44.0,-6956.0,4406.0,138.0,75.0,-2294.0,-114.0,-1511.0,309.0,-118.0,17.0,-384.0,-319.0,-174.0,211.0,,
09/30/2001,,192,51,1695,-16,1621,-3377.0,0.0,-44.0,-4355.0,4466.0,-3121.0,-323.0,2336.0,-112.0,281.0,0.0,-100.0,12.0,-133.0,2311.0,77.0,580.0,,
12/31/2001,,807,34,3024,-403,3462,1815.0,0.0,-22.0,-2440.0,3506.0,1206.0,-435.0,-4690.0,-56.0,-554.0,338.0,0.0,29.0,-968.0,2311.0,-5790.0,587.0,,
03/31/2002,,216,41,-1237,19,-961,1015.0,0.0,-111.0,-2848.0,2536.0,1799.0,-361.0,-492.0,-53.0,1847.0,0.0,0.0,17.0,-264.0,-2037.0,-2.0,-438.0,,
06/30/2002,,109,198,327,-131,503,-487.0,0.0,-28.0,-1992.0,1761.0,-181.0,-47.0,66.0,-53.0,-946.0,397.0,-5.0,13.0,-275.0,918.0,17.0,82.0,,
09/30/2002,,191,39,-144,-58,28,-139.0,0.0,-40.0,-3241.0,2894.0,352.0,-104.0,1353.0,-51.0,-551.0,0.0,-403.0,10.0,-130.0,2484.0,-6.0,1242.0,,
12/31/2002,,166,45,318,-26,503,-2166.0,0.0,-30.0,-6718.0,5715.0,-973.0,-160.0,343.0,-56.0,-327.0,296.0,-1.0,11.0,-29.0,577.0,-128.0,-1320.0,,
03/31/2003,,161,44,-357,-51,-203,1144.0,0.0,-31.0,-4781.0,3844.0,2154.0,-42.0,-832.0,-56.0,411.0,0.0,-151.0,10.0,-28.0,-1017.0,-1.0,109.0,,
06/30/2003,,175,42,209,11,437,-2854.0,0.0,-59.0,-4425.0,4682.0,-2998.0,-54.0,2610.0,-59.0,-97.0,109.0,-152.0,8.0,-58.0,2855.0,4.0,193.0,,
09/30/2003,,181,42,120,44,387,4244.0,0.0,-42.0,-2756.0,4243.0,2863.0,-64.0,-5010.0,-60.0,745.0,0.0,0.0,12.0,-54.0,-5652.0,-1.0,-379.0,,
12/31/2003,,184,45,110,-254,85,-956.0,0.0,-1.0,-2356.0,2089.0,-599.0,-89.0,854.0,-68.0,-926.0,248.0,-300.0,10.0,-117.0,2000.0,7.0,-17.0,,
03/31/2004,,245,34,67,-207,139,319.0,0.0,-52.0,-1762.0,1186.0,854.0,93.0,-375.0,-68.0,261.0,298.0,-200.0,12.0,-148.0,-537.0,7.0,83.0,,
06/30/2004,,176,41,-20,173,370,-1688.0,0.0,-39.0,-2061.0,1744.0,-1389.0,57.0,1805.0,-76.0,-259.0,0.0,-5.0,9.0,-50.0,2196.0,-10.0,487.0,,
09/30/2004,,183,40,47,10,280,335.0,0.0,-50.0,-2751.0,1931.0,1306.0,-101.0,-509.0,-77.0,66.0,0.0,0.0,11.0,-38.0,-471.0,0.0,106.0,,
12/31/2004,,192,18,302,379,891,-2862.0,0.0,-29.0,-2872.0,1909.0,-1752.0,-118.0,1468.0,-76.0,-237.0,297.0,0.0,10.0,-30.0,1650.0,-146.0,-503.0,,
03/31/2005,,255,35,-145,-55,90,-350.0,0.0,-17.0,-2267.0,1670.0,365.0,-101.0,288.0,-76.0,258.0,0.0,-218.0,11.0,-55.0,416.0,-48.0,28.0,,
06/30/2005,,125,38,106,130,399,454.0,0.0,-36.0,-3010.0,1767.0,1280.0,453.0,-869.0,-84.0,-89.0,0.0,-300.0,15.0,-168.0,-172.0,-71.0,-16.0,,
09/30/2005,,194,47,-44,-23,174,-1765.0,0.0,-55.0,-3728.0,2091.0,178.0,-251.0,1574.0,-84.0,591.0,0.0,-251.0,29.0,-42.0,1339.0,-8.0,-17.0,,
12/31/2005,,208,43,-73,42,220,-598.0,0.0,-63.0,-2370.0,1879.0,-139.0,95.0,-19.0,-83.0,-829.0,0.0,0.0,11.0,-120.0,918.0,84.0,-397.0,,
03/31/2006,,207,28,-54,-132,49,756.0,0.0,-51.0,-2584.0,1525.0,1593.0,273.0,-939.0,-83.0,2293.0,249.0,-301.0,39.0,-157.0,-2983.0,4.0,-134.0,,
06/30/2006,,232,36,24,152,444,-2092.0,0.0,-54.0,-2164.0,1987.0,-1757.0,-104.0,1768.0,-91.0,-1511.0,7.0,-4.0,34.0,-128.0,3452.0,9.0,120.0,,
09/30/2006,,222,33,8,-163,100,-2123.0,0.0,-40.0,-1834.0,1697.0,-1909.0,-37.0,2334.0,-90.0,-383.0,373.0,0.0,41.0,-46.0,2433.0,6.0,311.0,,
12/31/2006,,237,63,-291,237,246,1682.0,0.0,-48.0,-1418.0,1365.0,1842.0,-59.0,-1744.0,-91.0,-15.0,0.0,-1.0,60.0,-57.0,-1645.0,5.0,184.0,,
03/31/2007,,252,35,27,-48,266,741.0,0.0,-9.0,-1705.0,1480.0,259.0,716.0,-1656.0,-92.0,378.0,0.0,0.0,107.0,-115.0,-1933.0,-1.0,-649.0,,
