Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
08/03/1996,100.762001,0.304,10.983,-13.125,,,-13.125,102.599998,,,,102.599998,,,-1.717,,,,-1.717,,,,,,,,,,1.717,,,,,,,,,,,,,,
11/02/1996,-30.903999,-3.604,10.5,-2.576,,,-2.576,-35.223999,,,,-35.223999,,,-3.818,,,,-3.818,,,,,,,,,,3.818,,,,,,,,,,,,,,
02/01/1997,62.188999,2.221,13.074,16.017,,,16.017,30.877001,,,,30.877001,,-4.103,-4.103,,,,-4.103,,,,,,,,,,0.0,,,,,,,,,,,58.085999,,,
05/03/1997,-10.2,-2.342,9.643,-0.285,,,-0.285,-17.216,,,,-17.216,,-10.145,-0.872,0.607,,,-1.479,,,0.0,0.0,0.0,,,,,-9.273,0.398,0.0,-0.004,,,,0.402,0.402,0.0,0.0,-19.947001,,,
08/02/1997,38.271,6.853,10.821,-0.876,,,-0.876,21.473,,,,21.473,,-60.015999,-2.116,1.807,,,-3.923,,,0.0,0.0,0.0,,,,,-57.899999,0.296,0.0,0.0,,,,0.296,0.296,0.0,0.0,-21.448999,,,
11/01/1997,-0.721,8.626,9.532,-6.941,,,-6.941,-11.938,,,,-11.938,,-6.73,-7.052,0.189,,,-7.241,,,0.0,0.0,0.0,,,,,0.322,0.868,0.0,-0.004,,,,0.872,0.872,0.0,0.0,-6.583,,,
01/31/1998,56.133999,6.197,10.096,-1.091,,,-1.091,40.931999,,,,40.931999,,-49.431,-8.396,0.962,,,-9.358,,,0.0,0.0,0.0,,,,,-41.035,-25.354,0.0,-0.004,,,,-25.35,0.032,-25.382,0.0,-18.650999,,,
05/02/1998,7.673,-19.902,8.914,-0.086,,,-0.086,18.747,,,,18.747,,30.528,-7.474,0.005,,,-7.479,,,43.709,118.486,-74.777,,,,,-5.707,-1.62,0.0,-0.004,,,,-1.616,0.184,-1.8,0.0,36.581001,,,
08/01/1998,27.503,9.328,8.331,-4.853,,,-4.853,14.697,,,,14.697,,-24.562,-6.66,0.046,,,-6.706,,,-15.087997,129.947998,-145.035995,,,,,-2.814003,-4.697,0.0,-3.0,,,,-1.697,0.283,-1.98,0.0,-1.756,,,
10/31/1998,-17.721001,-0.424,8.453,9.17,,,9.17,-34.919998,,,,-34.919998,,26.216,-6.224,0.009,,,-6.233,,,39.148003,78.328003,-39.18,,,,,-6.708003,-23.036,0.0,-12.833,,,,-10.203,0.04,-10.243,0.0,-14.541,,,
01/31/1999,45.916,-9.137,8.879,12.084,,,12.084,34.09,,,,34.09,,-32.873001,-11.643,0.308,,,-11.951,,,-22.157005,125.500999,-147.658005,,,,,0.927004,-1.887,0.0,-1.969,,,,0.082,0.082,0.0,0.0,11.156,,,
05/01/1999,-6.95,6.002,7.718,-1.495,,,-1.495,-19.174999,,,,-19.174999,,6.079,-0.059,7.252,,,-7.311,,,7.006989,160.522995,-153.516006,,,,,-0.868989,-20.916001,0.0,-21.051001,,,,0.135,0.174,-0.039,0.0,-21.787001,,,
07/31/1999,59.826,22.225,7.747,-0.97,,,-0.97,30.823999,,,,30.823999,,-53.085999,-4.97,2.202,,,-7.172,,,-42.822006,148.516998,-191.339005,,,,,-5.293992,0.264,0.0,0.0,,,,0.264,0.264,0.0,0.0,7.004,,,
10/30/1999,-34.797001,8.276,8.196,-16.051001,,,-16.051001,-35.217999,,,,-35.217999,,23.382,-10.695,0.875,,,-11.57,,,41.395999,52.244999,-10.849,,,,,-7.318999,-4.749,0.0,-3.797,,,,-0.952,0.428,-1.38,0.0,-16.164,,,
01/29/2000,39.814999,8.556,9.291,23.198999,,,23.198999,-1.231,,,,-1.231,,-25.114,-12.931,0.227,,,-13.158,,,124.570996,162.259995,-37.688999,,,,,-136.753996,6.756,0.0,-0.182,,,,6.938,6.938,0.0,0.0,21.457001,,,
04/29/2000,34.303001,8.943,11.183,0.232,,,0.232,13.945,,-31.416,,45.361,,-6.731,-6.79,0.789,,,-7.579,,,0.0,0.0,0.0,,,,,0.059,0.764,0.0,-0.375,,,,1.139,1.139,0.0,0.0,28.336,,,
07/29/2000,49.730999,26.444,12.257,0.043,,,0.043,10.987,,4.87,,6.117001,,-12.891,-16.134001,0.0,,,-16.134001,,,-2.121,0.0,-2.121,,,,,5.364001,-0.266,0.0,-0.786,,,,0.52,1.233,-0.713,0.0,36.574001,,,
10/28/2000,-9.932,7.899,12.524,0.054,,,0.054,-30.409,,-18.726,,-11.683001,,-29.959999,-21.493001,0.044,,,-21.537001,,,2.121,2.121,0.0,,,,,-10.587998,-1.058,0.0,-1.342,,,,0.284,0.284,0.0,0.0,-40.950001,,,
02/03/2001,19.166996,7.811999,12.318002,5.292,,,5.292,-6.255,,,,-6.255,,-21.337999,-12.671,0.0,,,-12.671,,,-6.392002,40.554996,-46.946999,,,,,-2.274998,0.456,0.0,-1.032,,,,0.488,0.488,0.0,1.0,-1.715,,,
05/05/2001,17.216,8.368,12.599,0.376,,,0.376,-4.127,,-52.479,,48.352,,29.704,-15.511,0.0,,,-15.511,,,0.0,0.0,0.0,,,,,45.215,0.214,0.0,-1.272,,,,1.486,1.486,0.0,0.0,47.133999,,,
08/04/2001,21.718,14.86,13.151,-0.061,,,-0.061,-6.232,,35.596001,,-41.828001,,1.467,-15.417,0.0,,,-15.417,,,0.0,0.0,0.0,,,,,16.884,-1.327,0.0,-1.458,,,,0.131,0.131,0.0,0.0,21.858,,,
11/03/2001,-9.1,0.16,18.232,-0.013,,,-0.013,-27.479,,-49.777,,22.298,,-289.796997,-17.441,0.0,,,-17.441,,,0.0,0.0,0.0,,,,,-272.355997,229.939003,0.0,236.884003,,,,0.596,0.596,0.0,-7.541,-68.958,,,
02/02/2002,113.031,-27.794,19.92,30.74,,9.212,21.528,90.165,,133.331,,-43.166,,-27.508,-14.677,0.0,,,-14.677,,,0.0,0.0,0.0,,,,,-12.831,-105.461,0.0,-105.158,,,,0.147,0.147,0.0,-0.45,-19.938,9692.0,17.657,
05/04/2002,52.452999,16.311001,18.334999,-0.032,,,-0.032,17.839001,,-38.292999,,56.132,,-20.837999,-10.606,,,,-10.606,,,,,,,,,,-10.231999,-30.856001,,-34.909001,,,,4.053,4.053,,,0.759,,,
08/03/2002,76.68,29.711,20.478001,-0.017,,,-0.017,26.507999,,-7.944,,34.451999,,-21.562,-14.223,0.0,,,-14.223,,,0.0,0.0,0.0,,,,,-7.339001,28.374001,0.0,51.534,,,,-17.782,0.489,-18.271,-5.378,83.491997,,,
11/02/2002,-10.217,0.502,19.450001,0.734,,,0.734,-30.903,,-74.707001,,43.804001,,-36.967999,-38.944998,0.801,,,-39.745998,,,0.0,0.0,0.0,,,,,1.977,-27.449998,0.0,37.977,,,,-65.313998,0.551,-65.864998,-0.113,-74.635002,,,
02/01/2003,87.167999,3.878,21.158001,-8.993,,,-8.993,71.574997,,,,71.574997,,-2.322,-9.728,0.0,,,-9.728,,,11.709001,38.824001,-27.115,,,,,-4.303001,-29.076,0.0,-29.02,,,,0.021,0.021,0.0,-0.077,55.77,,,
05/03/2003,20.394,9.689,19.27,-0.331,,-1.025,0.694,-8.234,,-55.976,,47.742,,-21.668,-4.437,8.888,,,-13.325,,,,,,,,,,-17.231,-3.123,,-3.382,,,,0.259,0.259,,,-4.397,,,
08/02/2003,53.935,18.645,19.956,3.78,,3.265,0.515,11.554,,35.396,,-23.842,,-9.162,-12.589,0.0,,,-12.589,,,,,,,,,,3.427,-2.528,,-2.74,,,,0.212,0.212,,,42.245,,,
11/01/2003,-47.204,2.159,17.488,8.787,,8.775,0.012,-75.638,,-101.118,,25.48,,-17.282,-13.462,0.0,,,-13.462,,,,,,,,,,-3.82,-3.101,,-3.617,,,,0.516,0.516,,,-67.587,,,
01/31/2004,72.175,7.549,27.82,-4.751,,-4.948,0.197,41.557,,98.175,,-56.618,,-16.097,-23.04,,,,-23.04,,,0.0,0.0,0.0,,,,,6.943,-4.584,0.0,-3.27,,,,0.186,0.186,0.0,-1.5,51.494,,,
05/01/2004,35.626,26.928,17.007,-1.163,,-1.536,0.373,-7.146,0.0,-46.446,,39.3,,-16.299,-9.825,0.0,,,-9.825,,,0.0,0.0,0.0,,,,,-6.474,2.216,0.0,-4.126,,,,6.342,6.342,0.0,0.0,21.543,,,
07/31/2004,74.086,27.738,17.376,5.721,,1.3,4.421,23.251,0.0,49.197,,-25.946,,-8.245,-9.572,0.0,,,-9.572,,,0.0,0.0,0.0,,,,,1.327,12.691,0.0,-4.365,,,,17.056,17.056,0.0,0.0,78.532,,,
10/30/2004,-30.584,7.032,14.958,8.355,,6.923,1.432,-60.929,0.0,-71.711,,10.782,,0.856,-13.365,0.0,,,-13.365,,,0.0,0.0,0.0,,,,,14.221,8.75,0.0,8.776,,,,0.324,0.324,0.0,-0.35,-20.978,,,
01/29/2005,85.580002,4.865,28.18,6.942,,6.607,0.335,45.592999,0.0,93.834999,,-48.242,,-24.128,-25.389,0.0,,,-25.389,,,0.0,0.0,0.0,,,,,1.261,8.719,0.0,-0.717,,,,9.436,9.436,0.0,0.0,70.170998,,,
04/30/2005,35.715,30.017,18.728,0.234,,0.151,0.083,-13.264,0.0,-62.674,,49.41,,-49.771,-15.774,1.923,,,-17.697,,,0.0,0.0,0.0,,,,,-33.997,-4.192,0.0,-4.38,,,,0.188,0.188,0.0,0.0,-18.248,,,
07/30/2005,97.517,39.424,19.028,2.399,,0.738,1.661,36.666,0.0,25.957,,10.709,,-230.806,-19.187,0.509,,,-19.696,,,0.0,0.0,0.0,,,,,-211.619,109.936,0.0,105.967,,,,4.819,4.819,0.0,-0.85,-23.353,,,
10/29/2005,-34.332,10.762,21.387,-2.443,,-5.309,2.866,-64.038,0.0,-81.409,,17.371,,-25.832,-30.784,0.0,,,-30.784,,,0.0,0.0,0.0,,,,,4.952,-19.608,0.0,-20.067,,,,0.98,0.98,0.0,-0.521,-79.772,,,
01/28/2006,65.855,19.188,23.928,-2.559,,-5.719,3.16,25.298,-31.315,98.075,,-41.462,,-37.699,-34.658,1.0,,,-35.658,,,0.0,0.0,0.0,,,,,-3.041,-49.7,0.0,-53.732,,,,4.078,4.078,0.0,-0.046,-21.544,,,
04/29/2006,58.937,32.061,20.158,-0.948,,-1.665,0.717,7.666,30.118,-72.206,,49.754,,-24.684,-23.854,0.0,,,-23.854,,,0.0,0.0,0.0,,,,,-0.83,-9.508,0.0,-13.766,,,,4.258,4.258,0.0,0.0,24.745,,,
07/29/2006,116.644,32.563,24.971,4.368,,2.955,1.413,54.742,5.34,67.082,,-17.68,,-37.248,-31.117,0.0,,,-31.117,,,0.0,0.0,0.0,,,,,-6.131,-22.454,0.0,-23.834,,,,1.38,1.38,0.0,0.0,56.942,,,
10/28/2006,-34.747,19.357,21.302,-8.077,,-11.003,2.926,-67.329,1.125,-99.916,,31.462,,-18.941,-37.553,0.0,,,-37.553,,,0.0,0.0,0.0,,,,,18.612,-19.893,0.0,-23.891,,,,3.998,3.998,0.0,0.0,-73.581,,,
02/03/2007,46.12,24.942,24.813,31.443,,30.432,1.011,-35.078,-31.346,52.016,,-55.748,,-41.519,-40.632,0.0,,,-40.632,,,0.0,0.0,0.0,,,,,-0.887,0.999,0.0,-3.242,,,,4.241,4.241,0.0,0.0,5.6,,,
05/05/2007,58.929,26.298,22.744,2.025,2.288,-0.395,0.132,7.862,26.535,-40.075,18.496,2.906,,-38.816,-37.511,0.0,,,-37.511,,,0.0,0.0,0.0,,,,,-1.305,76.962,0.0,165.001,,,,-81.789,49.313,-131.102,-6.25,97.075,,,
08/04/2007,99.186,18.279,23.512,5.326,4.692,0.745,-0.111,52.069,3.722,63.875,-31.826,16.298,,-66.911,-36.505,0.0,,,-36.505,,,0.0,0.0,0.0,,,,,-30.406,-39.914,0.0,14.346,,,,-12.969,5.422,-18.391,-41.291,-7.639,,,
11/03/2007,-54.014,-3.568,23.236,3.592,,8.506,-4.914,-77.274,-0.45,-92.563,,15.739,,-89.581,-34.759,0.0,,,-34.759,,,0.0,0.0,0.0,,,,,-54.822,-53.29,0.0,-2.88,,,,-90.34,0.456,-90.796,39.93,-196.885,,,
02/02/2008,55.744,-124.422,27.757,94.946,,-13.789,108.735,57.463,-29.976,106.669,,-19.23,,-15.321,-28.934,0.0,,,-28.934,,,0.0,0.0,0.0,,,,,13.613,-14.97,0.0,79.81,,,,-12.501,0.208,-12.709,-82.279,25.453,,,
05/03/2008,46.16,-46.843,27.096,5.407,2.898,-2.022,4.531,15.249,25.345,-39.06,30.864,-1.9,,-15.282,-22.014,0.0,,0.0,-22.014,-22.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.732,-13.129,0.0,-2.184,0.0,0.087,-2.271,-10.9,0.069,-10.969,-0.045,17.749,,,
08/02/2008,63.4,-10.676,23.286,2.668,2.116,-0.069,0.621,50.605,4.65,39.155,1.378,5.422,,-10.675,-11.632,4.813,4.813,0.0,-16.445,-16.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.957,-2.419,0.0,-2.287,0.0,0.021,-2.308,-0.131,0.0,-0.131,-0.001,50.306,,,
11/02/2008,-95.759,-83.761,23.116,36.986,-0.306,13.116,24.176,-76.068,-0.937,-65.525,19.526,-29.132,,30.063,-11.039,0.0,0.0,0.0,-11.039,-11.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.662,-1.205,0.0,-2.234,0.0,0.0,-2.234,1.03,1.03,0.0,-0.001,-66.901,,,
01/31/2009,35.765,-113.993,21.354,87.704,0.868,3.091,83.745,40.7,-28.823,137.96,-86.501,18.064,,-2.33,-6.302,0.0,0.0,0.0,-6.302,-6.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.972,-2.672,0.0,-1.869,0.0,0.0,-1.869,-0.802,0.131,-0.933,-0.001,30.763,23.023,,
05/02/2009,35.239,-6.561,20.524,6.785,1.71,1.246,3.829,14.491,25.279,-32.072,46.295,-25.011,0.0,2.32,-4.702,0.0,,0.0,-4.702,-4.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.022,-7.433,0.0,-7.472,-5.631,0.0,-1.841,0.039,0.039,0.0,0.0,30.126,,,
08/01/2009,22.174,4.983,19.977,-0.707,1.264,0.445,-2.416,-2.079,4.662,40.741,-24.65,-22.832,0.0,-0.623,-3.845,1.219,1.219,0.0,-5.064,-5.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.222,-28.737,0.0,-22.624,-21.017,0.0,-1.607,0.215,0.215,0.0,-6.328,-7.186,,,
10/31/2009,76.959,-48.362,18.407,100.798,1.327,0.845,98.626,6.116,-0.741,-74.989,41.977,39.869,0.0,45.456,-6.047,0.5,0.5,0.0,-6.547,-6.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.503,-15.17,0.0,-14.303,26.648,0.0,-40.951,0.144,0.144,0.0,-1.011,107.245,,,
01/30/2010,-20.161,-28.022,19.014,21.059,2.543,1.495,17.021,-32.212,-29.547,66.937,-36.275,-33.327,0.0,-3.972,-4.878,1.459,1.459,0.0,-6.337,-6.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.906,-13.231,0.0,-13.322,-50.633,0.0,37.311,0.086,0.086,0.0,0.005,-37.364,,,
05/01/2010,14.186,3.895,17.039,2.145,1.074,-1.604,2.675,-8.893,24.956,-35.674,17.105,-15.28,0.0,-7.553,-7.763,0.0,,0.0,-7.763,-7.763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,-1.885,0.0,-1.543,,0.0,-1.543,0.0,0.0,0.0,-0.342,4.748,,,
07/31/2010,67.856,-8.642,17.657,1.548,0.936,0.686,-0.074,57.293,3.93,13.743,16.077,23.543,0.0,-9.785,-8.821,0.0,0.0,0.0,-8.821,-8.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.964,-39.344,0.0,-39.817,-38.26,0.0,-1.557,0.473,0.473,0.0,0.0,18.727,,,
10/30/2010,-95.959,-18.81,16.897,4.083,1.656,0.597,1.83,-98.129,-0.68,-105.052,16.873,-9.27,0.0,-8.461,-12.315,0.318,0.318,0.0,-12.633,-12.633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.854,-1.478,0.0,-1.574,38.26,0.0,-39.834,0.096,0.096,0.0,0.0,-105.898,,,
01/29/2011,19.215,-30.425,18.515,25.288,1.032,1.848,22.408,5.837,-31.127,112.26,-69.04,-6.256,0.0,-4.426,-5.631,0.93,0.93,0.0,-6.561,-6.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205,-1.464,0.0,-1.591,-38.26,0.0,36.669,0.127,0.127,0.0,0.0,13.325,,,
04/30/2011,67.344,26.038,15.099,-0.982,1.031,0.886,-2.899,27.189,26.39,-22.467,29.901,-6.635,0.0,-1.961,-1.367,7.521,7.521,0.0,-8.888,-8.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.594,-2.462,0.0,-1.611,0.0,0.0,-1.611,-0.851,0.0,-0.851,0.0,62.921,,,
07/30/2011,55.845,-1.911,14.892,4.545,1.356,0.885,2.304,38.319,4.783,32.853,-1.561,2.244,0.0,-5.443,-5.692,0.016,0.016,0.0,-5.708,-5.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249,-3.369,0.0,-1.621,0.0,0.0,-1.621,0.064,0.064,0.0,-1.812,47.033,,,
10/29/2011,-60.221,-12.99,13.863,4.847,1.409,0.885,2.553,-65.941,-1.235,-83.752,32.113,-13.067,0.0,-7.909,-8.153,0.0,0.0,0.0,-8.153,-8.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244,-1.552,0.0,-1.561,0.0,0.0,-1.561,0.082,0.146,-0.064,-0.073,-69.682,,,
01/28/2012,30.233,-13.154,14.345,5.135,1.359,0.987,2.789,23.907,-32.749,98.434,-56.705,14.927,0.0,-12.916,-11.981,0.202,0.202,0.0,-12.183,-12.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.935,-6.464,0.0,-6.557,0.0,0.0,-6.557,0.093,0.303,-0.21,0.0,10.853,,,
04/28/2012,60.253,17.772,14.447,4.06,1.351,0.813,1.896,23.974,27.803,-20.89,23.187,-6.126,0.0,-13.152,-13.128,0.0,,0.0,-13.128,-13.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,-1.622,0.0,-1.389,0.0,0.0,-1.389,-0.233,0.0,-0.233,0.0,45.479,,,
