Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Discontinued Operations,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2014,6592.5,1238.0,1238.0,0,664.8,664.8,0,617.4,189.3,12.3,415.8,0,264.6,0.0,,11.4,199.1,2784.8,540.3,1386.8,-846.5,0,3267.4,3179.9,1342.8,1837.1,0.0,76.1,3807.7,,1551.7,810.2,29.4,3.9,708.2,33.4,0.0,0.0,0.0,,33.4,12.2,0.0,0.0,273.3,0.0,1597.3,3260.1,3260.1,0.0,0.0,,774.5,0.0,272.5,0.0,228.7,4034.6,5631.9,0.0,1930.7,3.8,1926.9,-575.4,-426.4,-85.1,843.8,116.8,960.6,6592.5,
09/30/2014,6426.7,1002.7,1002.7,0,805.3,805.3,0,638.7,163.2,8.2,467.3,0,253.2,,,8.5,185.2,2699.9,518.6,,,0,3208.2,3129.2,1324.7,1804.5,,70.5,3726.8,,1646.3,793.2,5.5,,847.6,683.0,0.0,,,,683.0,6.7,,,258.7,0.0,2336.0,2554.9,2554.9,,,,750.1,,263.6,,227.8,3305.0,5641.0,0.0,1834.2,3.8,1830.4,-575.4,-415.8,-158.4,684.6,101.1,785.7,6426.7,
12/31/2014,6389.3,1203.2,1203.2,0,736.7,736.7,0,526.7,149.0,6.9,370.8,0,254.3,,,9.2,182.5,2720.9,500.5,,,0,3167.9,3091.5,1313.7,1777.8,,67.2,3668.4,,1530.4,700.0,31.7,,798.7,691.6,0.0,,,,691.6,3.5,,,260.8,0.0,2225.5,2713.5,2713.5,,,,701.2,,258.7,,181.7,3414.7,5640.2,0.0,1902.1,3.9,1898.2,-766.6,-290.4,-203.8,641.3,107.8,749.1,6389.3,
03/31/2015,6108.1,1144.1,1144.1,0,610.5,610.5,0,513.4,140.0,5.7,367.7,0,229.0,,,7.6,153.3,2497.0,473.6,,,0,3137.5,3059.9,1319.5,1740.4,,70.0,3611.1,,1238.4,607.9,30.6,,599.9,35.5,0.0,,,,35.5,11.3,,,261.2,0.0,1285.2,3550.9,3550.9,,,,657.9,,235.1,,161.6,4208.8,5494.0,0.0,1925.0,3.9,1921.1,-880.5,-214.9,-326.6,503.0,111.1,614.1,6108.1,
06/30/2015,6018.9,341.3,341.3,0,679.6,679.6,0,557.8,160.9,8.4,388.5,0,277.7,0.0,,10.4,178.6,1856.4,500.2,1345.6,-845.4,0,3662.3,3444.3,1530.7,1913.6,0.0,207.6,4162.5,,1483.7,748.4,22.4,3.5,709.4,28.8,0.0,0.0,0.0,,28.8,13.7,46.2,0.0,352.6,0.0,1526.2,2605.9,2605.9,0.0,0.0,,815.8,0.0,206.5,0.0,210.5,3421.7,4947.9,0.0,2048.3,3.9,2044.4,-610.6,-193.9,-274.0,969.8,101.2,1071.0,6018.9,
09/30/2015,6157.0,416.0,416.0,0,772.9,772.9,0,585.9,146.1,6.9,432.9,0,263.2,,,9.8,168.7,2038.0,483.6,,,0,3635.4,3417.3,1528.7,1888.6,,208.3,4119.0,,1633.3,773.1,32.6,,827.6,41.9,0.0,,,,41.9,12.0,,,334.5,0.0,1687.2,2750.6,2750.6,,,,741.5,,207.0,,200.0,3492.1,5179.3,0.0,1995.1,4.0,1991.1,-766.3,-68.2,-286.1,874.5,103.2,977.7,6157.0,
12/31/2015,6511.7,482.7,482.7,0,697.2,697.2,0,505.9,135.7,6.4,363.8,0,254.8,7.2,,9.2,164.1,1940.6,486.9,,,0,4084.2,3387.2,1530.9,1856.3,,680.6,4571.1,,1601.5,781.4,8.2,,811.9,85.6,0.0,,,,85.6,25.8,,,340.1,0.0,1712.9,3570.9,3570.9,,,,726.4,,202.5,,183.8,4297.3,6010.2,0.0,2008.5,4.0,2004.5,-1338.5,20.8,-285.0,405.8,95.7,501.5,6511.7,
03/31/2016,7024.9,366.6,366.6,0,661.5,661.5,0,579.1,151.1,2.6,425.4,0,291.9,2.9,,13.6,196.6,1899.1,605.7,,,0,4520.1,4254.0,2096.0,2158.0,,249.6,5125.8,,1551.7,796.8,18.3,,736.6,133.5,0.0,0.0,0.0,,133.5,45.0,,7.0,380.2,0.0,1730.2,3997.0,3997.0,0.0,0.0,,763.7,,207.2,,169.3,4760.7,6490.9,0.0,2038.8,4.0,2034.8,-1338.5,-6.0,-250.9,443.4,90.6,534.0,7024.9,
06/30/2016,7035.6,372.4,372.4,0,682.9,682.9,0,565.8,159.8,9.5,396.5,0,317.3,0.0,,15.7,197.6,1938.4,638.6,1529.4,-890.8,0,4458.6,4262.8,2212.7,2050.1,0.0,180.1,5097.2,,1651.2,921.4,18.7,9.4,701.7,161.8,0.0,0.0,0.0,,161.8,42.2,47.2,0.0,339.2,0.0,1855.2,3936.4,3936.4,0.0,0.0,,803.6,0.0,230.6,0.0,186.6,4740.0,6595.2,0.0,2042.4,4.0,2038.4,-1405.5,-37.0,-239.7,360.2,80.2,440.4,7035.6,
09/30/2016,7193.4,378.0,378.0,0,768.5,768.5,0,616.7,157.0,6.3,453.4,0,344.5,0.0,,14.6,232.6,2107.7,665.7,,,0,4420.0,4230.3,2192.3,2038.0,,175.1,5085.7,,1709.5,964.6,4.3,,740.6,156.6,0.0,0.0,0.0,,156.6,16.8,0.0,0.0,298.8,0.0,1882.9,4210.4,4210.4,0.0,0.0,,763.7,0.0,228.0,,236.9,4974.1,6857.0,0.0,1961.7,4.1,1957.6,-1441.8,-37.0,-231.9,251.0,85.4,336.4,7193.4,
12/31/2016,21891.0,939.2,939.2,0,1450.3,1450.3,0,1014.8,238.8,29.2,746.8,0,505.0,0.0,,71.5,353.2,3909.3,1418.7,2359.9,-941.2,0,16563.0,16206.7,7390.1,8816.6,,284.8,17981.7,,2932.9,1401.0,20.8,,1511.1,186.7,0.0,,,,186.7,18.2,,,1611.4,0.0,3137.8,6308.4,6308.4,,,,2563.7,,589.2,,363.1,8872.1,12009.9,0.0,11508.6,8.1,11500.5,-1441.8,9.8,-283.5,9793.1,88.0,9881.1,21891.0,
03/31/2017,22773.3,767.0,767.0,0,1380.9,1380.9,0,1034.3,241.9,34.0,758.4,0,564.0,,,100.9,405.4,3746.2,1555.8,2578.0,-1022.2,0,17471.3,17080.6,8111.8,8968.8,,289.8,19027.1,,3021.9,1456.5,9.7,,1555.7,193.0,0.0,,,,193.0,42.8,,,1480.2,0.0,3257.7,6909.3,6909.3,,,,2469.3,,603.6,,385.5,9378.6,12636.3,0.0,11399.6,8.1,11391.5,-1441.8,-154.4,-193.7,9609.7,527.3,10137.0,22773.3,
06/30/2017,22548.2,535.4,535.4,0,1470.3,1470.3,0,1052.6,256.4,33.4,762.8,0,523.2,,,72.6,523.2,3581.5,1632.1,2675.5,-1043.4,0,17334.6,16980.7,8555.5,8425.2,0.5,280.8,18966.7,,3594.5,1732.1,66.0,17.8,1778.6,209.1,0.0,0.0,0.0,,209.1,0.0,49.0,,924.9,0.0,3803.6,6928.3,6928.3,0.0,0.0,,1947.5,0.0,549.2,0.0,424.4,8875.8,12679.4,0.0,11211.3,8.1,11203.2,-1441.8,-459.2,4.4,9314.7,554.1,9868.8,22548.2,
09/30/2017,23573.1,919.2,919.2,0,1609.5,1609.5,0,1172.0,262.3,26.9,882.8,0,548.8,,,158.2,548.8,4249.5,1633.8,,,0,17689.8,17231.9,8738.0,8493.9,,299.7,19323.6,,3725.2,1768.3,129.3,,1827.6,223.3,0.0,0.0,0.0,,223.3,0.0,0.0,0.0,937.4,0.0,3948.5,7541.9,7541.9,0.0,0.0,,2066.5,0.0,564.1,,565.0,9608.4,13556.9,0.0,11121.2,8.1,11113.1,-1441.8,-470.6,243.5,9452.3,563.9,10016.2,23573.1,
12/31/2017,23445.6,400.1,400.1,0,1743.9,1743.9,0,1155.3,305.3,22.6,827.4,0,579.9,,,199.1,579.9,3879.2,1647.3,,,0,17919.1,17415.6,8864.9,8550.7,,304.4,19566.4,,3859.9,1758.6,94.0,,2007.3,295.9,0.0,,,,295.9,0.0,,,933.9,0.0,4155.8,7145.8,7145.8,,,,2077.2,,571.3,,572.0,9223.0,13378.8,0.0,10948.4,8.1,10940.3,-1441.8,-361.4,283.9,9429.1,637.7,10066.8,23445.6,
03/31/2018,23765.0,460.8,460.8,0,1555.4,1555.4,0,1258.5,308.9,19.9,929.7,0,635.9,,,226.5,635.9,3910.6,1689.2,,,0,18165.2,17634.9,8972.8,8662.1,,303.8,19854.4,,3710.2,1709.3,118.7,,1882.2,231.6,0.0,,,,231.6,0.0,,,941.3,0.0,3941.8,7628.6,7628.6,,,,2029.6,,588.7,,499.6,9658.2,13600.0,0.0,10843.4,8.1,10835.3,-1441.8,-438.4,536.1,9499.3,665.7,10165.0,23765.0,
06/30/2018,22630.2,331.6,331.6,0,1536.0,1536.0,0,1148.9,278.6,21.8,848.5,0,634.5,0.0,,107.4,634.5,3651.0,1680.8,2981.6,-1300.8,0,17298.4,16891.5,8607.1,8284.4,1.1,298.4,18979.2,,3825.1,1928.6,52.1,,1844.4,218.9,0.0,0.0,0.0,,218.9,0.0,54.2,0.0,842.5,0.0,4044.0,7305.4,7305.4,0.0,0.0,,1764.3,0.0,533.3,0.0,334.3,9069.7,13113.7,0.0,10758.9,8.1,10750.8,-1441.8,-626.2,158.8,8849.7,666.8,9516.5,22630.2,
09/30/2018,22592.7,423.3,423.3,0,1484.4,1484.4,0,1251.2,289.6,20.8,940.8,0,581.1,,,219.0,581.1,3740.0,1648.0,,,0,17204.7,16789.0,8570.1,8218.9,,196.7,18852.7,,3590.4,1794.9,57.8,,1737.7,200.7,0.0,,,,200.7,0.0,,,841.1,0.0,3791.1,7789.7,7789.7,,,,1776.6,,532.9,,402.6,9566.3,13357.4,0.0,10707.6,8.1,10699.5,-1441.8,-769.1,110.8,8607.5,627.8,9235.3,22592.7,
12/31/2018,21270.7,417.5,417.5,0,1542.7,1542.7,0,1164.6,289.6,18.4,856.6,0,589.6,,,182.7,589.6,3714.4,1625.7,,,0,15930.6,15594.4,7665.0,7929.4,,153.5,17556.3,,3609.3,1818.9,51.6,,1738.8,255.7,0.0,,,,255.7,0.0,,,840.6,0.0,3865.0,7560.9,7560.9,,,,1745.9,,519.6,,385.7,9306.8,13171.8,0.0,10743.0,8.1,10734.9,-1441.8,-1729.7,33.6,7605.1,493.8,8098.9,21270.7,
03/31/2019,20756.6,384.1,384.1,0,1211.6,1211.6,0,1183.5,265.6,15.1,902.8,0,623.3,,,183.3,623.3,3402.5,1609.2,,,0,15744.9,15410.1,7618.8,7791.3,,151.5,17354.1,,3382.1,1844.0,50.1,,1488.0,196.7,0.0,,,,196.7,0.0,,,836.0,0.0,3578.8,7490.9,7490.9,,,,1732.2,,518.2,,378.0,9223.1,12801.9,0.1,10682.7,8.1,10674.6,-1441.8,-1741.8,-1.5,7497.7,457.0,7954.7,20756.6,
06/30/2019,17710.0,340.4,340.4,0,858.9,858.9,0,860.1,206.3,18.0,635.8,0,1211.4,0.0,773.2,110.4,438.2,3270.8,1332.7,2720.7,-1388.0,0,13106.5,8698.1,4166.8,4531.3,1.5,4296.5,14439.2,,2824.9,1583.5,52.9,,1188.5,193.8,0.0,0.0,0.0,,193.8,456.5,45.6,0.0,351.3,456.5,3475.2,7469.9,7469.9,0.0,0.0,,1719.7,0.0,447.7,,875.1,9189.6,12664.8,0.1,10628.6,8.1,10620.5,-1441.8,-4541.2,-58.8,4586.9,458.3,5045.2,17710.0,
09/30/2019,17283.5,350.4,350.4,0,1036.6,1036.6,0,1150.8,252.2,13.0,885.6,0,594.9,,,156.0,594.9,3132.7,1961.8,,,0,12189.0,11881.1,4917.3,6963.8,,151.9,14150.8,,2955.5,1548.1,63.7,,1343.7,281.9,0.0,96.5,,96.5,185.4,0.0,,,630.9,0.0,3237.4,7911.4,7453.5,457.9,,457.9,1575.8,,570.0,,374.9,9487.2,12724.6,0.1,10574.2,8.1,10566.1,-1446.3,-4489.6,-183.4,4455.0,103.9,4558.9,17283.5,
12/31/2019,17360.9,288.8,288.8,0,1110.0,1110.0,0,1015.8,231.2,9.7,774.9,0,608.7,,,189.6,608.7,3023.3,1967.4,,,0,12370.2,12008.5,5016.0,6992.5,,172.1,14337.6,,3216.3,1574.8,56.3,,1585.2,297.3,0.0,109.3,,109.3,188.0,0.0,,,645.3,0.0,3513.6,7688.0,7233.8,454.2,,454.2,1579.1,,583.4,,350.4,9267.1,12780.7,0.1,10506.1,8.3,10497.8,-1446.3,-4510.7,-77.5,4471.7,108.5,4580.2,17360.9,
03/31/2020,18310.0,1278.5,1278.5,0,844.2,844.2,0,959.9,204.9,7.5,747.5,0,590.5,,,284.3,590.5,3673.1,1833.0,,,0,12803.9,12364.3,4922.1,7442.2,,155.3,14636.9,,2795.0,1422.1,50.2,,1322.7,290.8,0.0,104.9,,104.9,185.9,0.0,,,623.8,0.0,3085.8,9601.0,9172.0,429.0,,429.0,1563.4,,579.1,,360.5,11164.4,14250.2,0.0,10439.3,8.3,10431.0,-1446.3,-4782.3,-478.5,3732.2,327.6,4059.8,18310.0,
06/30/2020,16728.8,308.3,308.3,0,440.1,440.1,0,678.2,148.6,11.1,518.5,0,5068.4,0.0,4613.1,362.4,455.3,6495.0,1453.0,2916.7,-1463.7,0,8780.8,8346.0,3973.9,4372.1,1.5,70.9,10233.8,,2335.7,1190.3,33.8,,1111.6,293.3,0.0,105.0,0.0,105.0,188.3,956.7,0.0,,175.1,956.7,3585.7,8209.5,7892.1,317.4,0.0,317.4,909.9,0.0,400.3,,334.5,9119.4,12705.1,0.102,11171.398,8.3,11163.098,-1446.3,-5548.6,-456.2,3720.4,303.3,4023.7,16728.8,
