Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,Inventories,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2014,50822,4956,4956,0.0,10110,4928,611,,611,20605,16092,25550,-9458,10038,10038.0,4087,3875,3140,735,212,30217,,13762,11529,1085,,1148,38,0,,,,38.0,1320,,,1320,15120,6174,6174,,,,7573,,825,5686,1062,13747,28867,0.0,18992.0,6.0,18986.0,-5208,7541.0,186,21511,444,21955,50822,
09/30/2014,49650,3108,3108,0.0,8766,5673,647,,647,18194,16951,26540,-9589,10237,10237.0,4268,4094,3275,819,174,31456,,12645,10381,945,,1319,35,0,,,,35.0,1089,,,1089,13769,6178,6178,,,,7509,,842,5632,1035,13687,27456,0.0,19034.0,6.0,19028.0,-5702,8439.0,-25,21746,448,22194,49650,
12/31/2014,48692,5207,5207,0.0,7255,3397,833,,833,16692,17346,27145,-9799,10189,10189.0,4465,4174,3274,900,291,32000,,9676,7488,878,0.0,1310,842,0,19.0,19.0,,823.0,576,0.0,,576,11094,7793,7602,191.0,191.0,,7768,0.0,1305,5491,972,15561,26655,0.0,19046.0,6.0,19040.0,-6234,9309.0,-531,21590,447,22037,48692,
03/31/2015,49077,5390,5390,0.0,5737,4166,851,,851,16144,17918,27856,-9938,10529,10529.0,4486,4156,3274,882,330,32933,,9101,6965,1112,,1024,35,0,,,,35.0,728,,,728,9864,8914,8914,,,,7704,,1292,5483,929,16618,26482,0.0,19066.0,6.0,19060.0,-6633,10021.0,-694,21760,835,22595,49077,
06/30/2015,49874,5089,5089,0.0,6567,4126,752,,752,16534,18765,28942,-10177,10070,10070.0,4505,4155,3275,880,350,33340,,9298,7749,774,,775,42,0,,,,42.0,735,,,735,10075,8923,8923,,,,7653,,1277,5447,929,16576,26651,0.0,19099.0,6.0,19093.0,-6967,10726.0,-469,22389,834,23223,49874,
09/30/2015,49415,4822,4822,0.0,5198,4388,641,25.0,477,15049,19257,29638,-10381,10601,10601.0,4508,4154,3275,879,329,34366,,6464,6151,980,,-667,43,0,,,,43.0,2368,,21.0,711,8875,8908,8908,,,,7600,,1249,5401,929,16508,25383,0.0,19122.0,6.0,19116.0,-7340,12000.0,-588,23194,838,24032,49415,
12/31/2015,48580,3074,3074,0.0,5173,3477,532,,532,12256,19721,30310,-10589,12143,12143.0,4460,4181,3275,906,279,36324,,6987,5155,878,,954,44,0,16.0,16.0,,28.0,500,0.0,,500,7531,8843,8651,192.0,192.0,,8268,0.0,1285,6041,942,17111,24642,0.0,19151.0,6.0,19145.0,-7746,12348.0,-653,23100,838,23938,48580,
03/31/2016,48246,1723,1723,0.0,4737,4108,648,,648,11216,20075,30927,-10852,12449,12449.0,4506,4176,3275,901,330,37030,,6683,5063,820,,800,32,0,,,,32.0,704,,,704,7419,8803,8803,,,,8381,,1310,6089,982,17184,24603,0.0,19148.0,6.0,19142.0,-8137,12434.0,-657,22788,855,23643,48246,
06/30/2016,50361,2232,2232,0.0,5597,3993,821,,821,12643,20247,31310,-11063,12936,12936.0,4535,4171,3275,896,364,37718,,8103,6319,912,,872,1532,0,,,,1532.0,765,,,765,10400,7330,7330,,,,8565,,1343,6233,989,15895,26295,0.0,19376.0,6.0,19370.0,-8379,12597.0,-752,22842,1224,24066,50361,
09/30/2016,50254,2337,2337,0.0,5001,3905,721,,721,11964,20447,31362,-10915,13277,13277.0,4566,4159,3267,892,407,38290,,7722,5767,869,,1086,1583,0,,,,1583.0,795,,,795,10100,7275,7275,,,,8568,,1061,6568,939,15843,25943,0.0,19480.0,6.0,19474.0,-8558,12775.0,-792,22905,1406,24311,50254,
12/31/2016,51653,2711,2711,0.0,6397,3150,422,5.0,155,12680,20855,31989,-11134,13534,13534.0,4584,4158,3270,888,421,38973,,7635,6395,805,,435,550,0,19.0,19.0,,531.0,1278,0.0,2.0,512,9463,9588,9419,169.0,169.0,,8877,0.0,1216,6743,916,18465,27928,0.0,19565.0,6.0,19559.0,-8788,12608.0,-995,22390,1335,23725,51653,
03/31/2017,51405,1513,1513,0.0,5690,4387,580,,580,12170,21240,32659,-11419,13359,13359.0,4636,4165,3270,895,471,39235,,7578,5829,853,,896,609,0,,,,609.0,543,,,543,8730,9601,9601,,,,9349,,1222,7254,873,18950,27680,0.0,19575.0,6.0,19569.0,-9073,12814.0,-952,22364,1361,23725,51405,
06/30/2017,51828,2161,2161,0.0,5594,4245,456,,456,12456,21293,32994,-11701,13507,13507.0,4572,4159,3270,889,413,39372,,7717,5891,893,,933,493,0,,,,493.0,664,,,664,8874,9472,9472,,,,9676,,1250,7565,861,19148,28022,0.0,19630.0,6.0,19624.0,-9454,13001.0,-809,22368,1438,23806,51828,
09/30/2017,52712,1547,1547,0.0,6355,4455,578,,578,12935,21303,33348,-12045,13899,13899.0,4575,4154,3270,884,421,39777,,8332,6404,901,,1027,706,0,,,,706.0,867,,,867,9905,9495,9495,,,,9353,,877,7605,871,18848,28753,0.0,19658.0,6.0,19652.0,-9915,13464.0,-684,22523,1436,23959,52712,
12/31/2017,54371,3119,3119,0.0,7506,3395,370,7.0,327,14390,21460,33742,-12282,13941,13941.0,4580,4146,3270,876,427,39981,,8535,7242,1002,,291,41,0,16.0,16.0,,25.0,1531,0.0,4.0,766,10107,10069,9893,176.0,176.0,,6767,0.0,884,5008,871,16836,26943,0.0,19774.0,6.0,19768.0,-10378,16306.0,-617,25085,2343,27428,54371,
03/31/2018,52132,842,842,0.0,6124,4743,416,,416,12125,21500,34125,-12625,13934,13934.0,4573,4141,3270,871,432,40007,,8520,6736,1008,,776,42,0,,,,42.0,674,,,674,9236,11579,11579,,,,7017,,879,5119,1019,18596,27832,0.0,19781.0,6.0,19775.0,-13891,16537.0,-504,21923,2377,24300,52132,
06/30/2018,54826,1884,1884,0.0,7173,4901,621,,621,14579,21465,34328,-12863,14177,14177.0,4605,4136,3270,866,469,40247,,10492,8437,1133,,922,341,0,,,,341.0,899,0.0,,899,11732,11023,11023,,,,7111,0.0,885,5191,1035,18134,29866,0.0,19837.0,6.0,19831.0,-14121,17500.0,-680,22536,2424,24960,54826,
09/30/2018,55884,924,924,0.0,7971,5544,875,,875,15314,21625,34781,-13156,14311,14311.0,4634,4144,3270,874,490,40570,,10747,8444,1151,,1152,316,0,,,,316.0,911,,,911,11974,11021,11021,,,,7094,,793,5311,990,18115,30089,0.0,19866.0,6.0,19860.0,-14526,18618.0,-639,23319,2476,25795,55884,
12/31/2018,54302,3019,3019,0.0,6173,3543,474,2.0,376,13209,22018,35197,-13179,14421,14421.0,4654,4139,3270,869,513,41093,,8372,6113,1116,,1143,67,0,17.0,17.0,,50.0,496,0.0,2.0,473,8935,11093,10926,167.0,167.0,,7121,0.0,867,5275,977,18214,27149,0.0,19879.0,6.0,19873.0,-15023,20489.0,-692,24653,2500,27153,54302,
03/31/2019,57855,1253,1253,0.0,7303,5344,915,,915,14815,23639,37082,-13443,14786,14786.0,4615,4134,3270,864,481,43040,,10136,8310,940,,886,489,0,473.0,14.0,459.0,16.0,703,,,703,11328,12142,11102,1040.0,166.0,874.0,7640,,875,5456,1309,19782,31110,0.0,19885.0,6.0,19879.0,-15367,20408.0,-709,24217,2528,26745,57855,
06/30/2019,57781,1819,1819,0.0,6727,5093,656,,656,14295,23830,37563,-13733,15006,15006.0,4650,4141,3270,871,509,43486,,9337,7300,1086,,951,1134,0,482.0,15.0,467.0,652.0,700,0.0,,700,11171,11589,10613,976.0,159.0,817.0,7715,0.0,906,5533,1276,19304,30475,0.0,19918.0,6.0,19912.0,-15822,21423.0,-767,24752,2554,27306,57781,
09/30/2019,58741,2268,2268,0.0,7086,5521,742,,742,15617,24292,38251,-13959,14147,14147.0,4685,4142,3270,872,543,43124,,10138,7738,1128,,1272,1310,0,481.0,13.0,468.0,829.0,635,,,635,12083,11903,10930,973.0,153.0,820.0,7663,,905,5503,1255,19566,31649,0.0,20259.0,6.0,20253.0,-16261,21730.0,-871,24857,2235,27092,58741,
12/31/2019,58720,1614,1614,0.0,8510,3776,495,3.0,472,14395,25098,39383,-14285,14571,14571.0,4656,4139,3270,869,514,44325,,10099,8043,979,,1077,1002,0,473.0,18.0,455.0,529.0,545,0.0,1.0,532,11646,12022,10957,1065.0,259.0,806.0,7883,0.0,1044,5553,1285,19905,31551,0.0,20307.0,6.0,20301.0,-16673,22064.0,-788,24910,2259,27169,58720,
03/31/2020,53460,1221,1221,0.0,4559,5331,594,,594,11705,24051,38573,-14522,13635,13635.0,4069,2305,1425,880,1764,41755,,7846,4882,703,,2261,2243,0,,,,2243.0,440,,,440,10529,10720,10720,,,,8572,,1000,5487,2085,19292,29821,0.0,20311.0,6.0,20305.0,-17116,19168.0,-991,21372,2267,23639,53460,
06/30/2020,54518,1890,1890,0.0,4852,5136,621,,621,12499,24282,39137,-14855,13628,13628.0,4109,2299,1425,874,1810,42019,,7774,4902,1046,,1826,1783,0,,,,1783.0,466,,,466,10023,12663,12663,,,,8537,,1360,5471,1706,21200,31223,0.0,20348.0,6.0,20342.0,-17116,18631.0,-1148,20715,2580,23295,54518,
