Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Increase(Decrease) in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
12/31/2003,6939.030762,563.731018,7.258,2596.708008,3771.333984,,,-60.866001,,,,,,,,,,,,,,,,
03/31/2004,1820.001953,543.189026,55.384998,1006.320984,215.106995,-5227.212891,0.0,-120.262001,-6040.285156,5404.731934,-3593.426025,-877.971985,3976.13501,-40.793999,-2657.281006,4805.0,-1066.542969,37.984001,0.0,2897.769043,0.0,568.924011,,
06/30/2004,554.627991,786.479004,56.175999,-2659.51001,2371.48291,-3624.516113,0.0,-58.035999,-1523.463989,3060.858887,-3974.499023,-1129.375977,2548.406982,-42.550999,-760.174988,2765.883057,-2703.697998,44.108002,0.0,3244.840088,0.0,-521.481018,,
09/30/2004,-5989.007812,498.071014,47.006001,3587.749023,-10121.830078,3047.500977,0.0,-64.530998,,5161.483887,-1041.123047,-1008.328979,2855.85791,-56.345001,-3740.412109,4663.426758,-1294.875977,21.646,0.0,3262.417969,0.0,-85.649002,,
12/31/2004,1408.274048,369.834991,64.366997,1294.27002,-2624.381104,-12121.950195,0.0,-98.908997,0.0,2419.611084,-13363.80957,-1078.848022,13176.019531,-69.671997,13104.740234,4300.786133,-5453.15918,12.823,0.0,1280.506958,0.0,2462.343994,,
03/31/2005,194.134003,688.85199,66.404999,-537.098022,-24.025,-18099.326172,0.0,-141.438995,-10918.944336,1110.347046,-8053.874023,-95.417,17907.210938,-81.735001,11350.28418,3785.0,-2879.146973,68.901001,0.0,5663.908203,0.0,2.018,,
06/30/2005,-5967.106934,566.458008,96.286003,-7.108,-6622.743164,-13968.380859,0.0,-126.866997,-1415.584961,2590.403076,-14914.708984,-101.623001,20098.804688,-88.301003,9174.473633,8469.530273,-2518.440918,144.110992,0.0,4917.431152,0.0,163.315994,,
09/30/2005,-5965.451,633.885,109.703,-2271.136,-4437.903,-6529.179,0.0,-101.721,-2075.804,1253.327,-5507.611,-97.37,13066.64,-89.262,1854.61,5493.427,-1412.245,61.98,0.0,7158.13,0.0,572.01,,
12/31/2005,-2206.603,638.895,86.392,-4901.981,1970.091,-970.845,0.0,-105.88,-43.58,996.671,-5735.543,3917.487,2719.975,-89.719,-548.471,4125.851,-2472.528,28.014,0.0,1676.828,0.0,-457.473,,
03/31/2006,3762.970947,683.510986,125.327003,-1047.936035,4002.069092,-2955.797119,0.0,-106.404999,-1034.764038,2452.616943,-4265.333984,-1.911,806.338989,-90.333,-6419.195801,3634.792969,-2347.680908,94.049004,0.0,5934.707031,0.0,1613.512939,,
06/30/2006,-4242.884766,722.190002,124.349998,-393.675995,-4695.749023,-10611.338867,0.0,-180.737,-4062.313965,0.0,-6362.131836,-6.156,14578.949219,-91.325996,6265.132812,5004.333984,-1903.238037,135.214005,0.0,5168.832031,0.0,-275.274994,,
09/30/2006,3603.961,647.564,104.895,-979.153,3830.655,-339.434,0.0,-153.687,0.0,685.896,-830.893,-40.75,-4050.151,-91.853,-4931.566,2505.178,-6995.468,125.462,0.0,5338.096,0.0,-785.624,,
12/31/2006,-6225.651,621.581,143.316,-1223.406,-5767.142,-359.303,0.0,-111.466,-2913.703,222.021,2544.666,-100.821,6408.232,-87.427,7477.654,2604.689,-1949.428,194.49,-1508.596,-323.15,0.0,-176.722,,
03/31/2007,-1525.258,433.981,226.465,-136.076,-2049.628,-5451.068,0.0,-85.088,-10630.659,1901.201,3480.07,-116.592,6771.44,-88.309,7824.404,5268.74,-8325.0,151.207,0.0,1940.398,0.0,-204.886,,
06/30/2007,-2897.615,485.068,369.609,850.058,-4602.35,-4559.431,0.0,-50.085,-8033.665,1914.257,1677.981,-67.919,7408.964,-89.223,-240.977,18757.763,-13039.797,122.106,-863.556,2762.648,0.0,-48.082,,
09/30/2007,1754.68,-1200.693,1011.854,-212.122,2155.641,13533.998,0.0,-52.338,-2404.674,13996.163,2005.858,-11.011,-11674.347,-86.362,-40871.988,34749.352,-1956.606,2038.666,0.0,-5547.409,0.0,3614.331,,
12/31/2007,3619.41,-421.894,984.607,290.489,2766.208,1505.643,0.0,-47.178,-2645.544,8523.386,-4324.233,-0.788,-1083.017,-102.585,-4065.661,7659.144,-10040.654,20.982,0.0,5445.757,0.0,4042.036,,
03/31/2008,253.69,-893.053,1576.199,-1263.822,834.366,2684.386,0.0,-70.217,-2582.088,9793.863,-4881.217,424.045,-2734.135,-123.321,-2429.848,500.0,-3781.855,15.706,0.0,3085.183,0.0,203.941,,
06/30/2008,15019.143,-2330.099,2403.927,2193.919,12751.396,6430.282,0.0,-0.001,-1416.252,2089.212,4881.217,876.106,-19979.733,-123.713,-15085.48,0.0,-4279.076,0.0,-4.083,-487.381,0.0,1469.692,,
