Date,Revenue,Net Premiums Earned,Net Premiums Earned (NL),Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Oth Claims & Losses (NL & L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (NL),Underwriting Cost (NL),Underwriting & Acq Cost (L),Underwriting Cost (L),Other Cost (NL & L),Other Operating Expense,Operating Income (Loss),Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2002,8118.0,4679.0,711.0,3968.0,0.0,2528.0,911.0,,,-5973.0,497.0,4740.0,736.0,,-1720.0,,,,,,,425,,,,-118.0,307.0,-21.0,,,,0.0,328.0,0.0,0.0,328.0,328.0,,701.541455,0.47,0.44,0.44,722.75489,0.45,0.42,0.42,
12/31/2002,8788.0,5227.0,723.0,4504.0,0.0,2669.0,887.0,,,-6514.0,510.0,5231.0,773.0,,-2015.0,,,,,,,547,,0.0,547.0,-37.0,222.0,-412.0,,,922.0,-73.0,561.0,0.0,0.0,561.0,561.0,,700.115476,0.8,0.22,0.22,720.648532,0.78,0.22,0.22,
03/31/2003,8362.0,4832.0,712.0,4089.0,31.0,2660.0,870.0,,,-6344.0,534.0,5063.0,747.0,,-1156.0,,,,,,,504,-94.0,0.0,410.0,-115.0,295.0,-67.0,,,362.0,,362.0,0.0,0.0,362.0,362.0,,700.319863,0.49,0.39,0.39,722.440354,0.47,0.38,0.38,
06/30/2003,8868.0,5088.0,721.0,4367.0,0.0,2822.0,958.0,,,-6238.0,527.0,4950.0,761.0,,-1758.0,,,,,,,872,-88.0,,784.0,-212.0,572.0,-8.0,,,580.0,0.0,580.0,0.0,0.0,580.0,580.0,,731.242,0.79,0.78,0.84,731.256,0.79,0.78,0.84,
09/30/2003,8725.0,5083.0,735.0,4348.0,0.0,2720.0,922.0,,,-6387.0,543.0,5077.0,767.0,,-1567.0,,,,,,,771,-77.0,,694.0,-143.0,551.0,-23.0,,,574.0,0.0,574.0,0.0,0.0,574.0,574.0,,760.146381,0.75,0.72,0.72,760.927693,0.75,0.72,0.72,
03/31/2004,9417.0,5386.0,737.0,4649.0,0.0,3055.0,976.0,,,-6638.0,536.0,4939.0,1163.0,,-1740.0,,,,,,,1039,-68.0,,971.0,-290.0,681.0,40.0,,,641.0,-43.0,598.0,0.0,0.0,598.0,598.0,,757.184655,0.79,0.84,0.84,760.319884,0.79,0.84,0.84,
06/30/2004,9471.0,5337.0,734.0,4603.0,0.0,3129.0,1005.0,,,-6540.0,495.0,4882.0,1163.0,,-1726.0,,,,,,,1205,-93.0,,1112.0,-237.0,875.0,-126.0,,,1001.0,-47.0,954.0,0.0,0.0,954.0,954.0,,754.575339,1.26,1.1,1.02,758.031139,1.26,1.09,1.01,
09/30/2004,9972.0,5679.0,740.0,4939.0,0.0,3265.0,1028.0,,,-7070.0,553.0,5778.0,739.0,,-1783.0,,,,,,,1119,-123.0,,996.0,-290.0,706.0,-16.0,,,722.0,-27.0,695.0,0.0,0.0,695.0,695.0,,749.217335,0.93,0.91,0.83,753.351995,0.92,0.9,0.79,
12/31/2004,9950.0,5800.0,,,,3094.0,1056.0,,,-7078.0,497.0,5390.0,1191.0,,-2009.0,,,,,,,863,-124.0,,739.0,-212.0,527.0,-19.0,,,546.0,-35.0,511.0,0.0,,511.0,511.0,,742.722599,0.69,0.66,0.89,747.0,0.68,0.66,0.88,
03/31/2005,10257.0,5966.0,728.0,5238.0,0.0,3201.0,1090.0,,,-7136.0,478.0,5863.0,795.0,,-1790.0,,,,,,,1331,-131.0,,1200.0,-350.0,850.0,-187.0,,,1037.0,-50.0,987.0,0.0,0.0,987.0,987.0,,733.997727,1.34,1.09,1.12,739.573439,1.33,1.08,1.11,
06/30/2005,10955.0,6034.0,738.0,5296.0,0.0,3807.0,1114.0,,,-7495.0,448.0,6227.0,820.0,,-1859.0,,,,,,,1601,-137.0,,1464.0,-450.0,1014.0,-1240.0,,,2254.0,-9.0,2245.0,,0.0,2245.0,2245.0,,736.516503,3.05,1.36,1.18,743.135547,3.02,1.35,1.17,
09/30/2005,11988.0,6514.0,716.0,5798.0,0.0,4014.0,1460.0,,,-8412.0,615.0,6648.0,1149.0,,-2367.0,,,,,,,1209,-194.0,,1015.0,-238.0,777.0,-50.0,,,827.0,-54.0,773.0,-31.0,0.0,742.0,742.0,,759.837955,0.98,0.91,1.02,768.699279,0.97,0.9,1.12,
12/31/2005,11524.0,6346.0,,,,3743.0,1435.0,,,-8067.0,456.0,6450.0,1161.0,,-2438.0,,,,,,,1019,-197.0,0.0,822.0,-203.0,619.0,-131.0,,,750.0,-41.0,709.0,-32.0,0.0,677.0,677.0,,760.674,0.89,0.72,1.05,769.0,0.88,0.71,1.04,
03/31/2006,11532.0,6428.0,724.0,5704.0,0.0,3601.0,1503.0,,,-8024.0,453.0,6374.0,1197.0,,-2224.0,,,,,,,1284,-211.0,,1073.0,-284.0,789.0,-17.0,,,806.0,-59.0,747.0,-33.0,,714.0,714.0,,762.043823,0.94,0.91,1.34,768.804635,0.93,0.91,1.33,
06/30/2006,11351.0,6428.0,726.0,5702.0,0.0,3403.0,1520.0,,,-8010.0,432.0,6324.0,1254.0,,-2261.0,,,,,,,1080,-214.0,,866.0,-205.0,661.0,-57.0,,,718.0,-68.0,650.0,-33.0,0.0,617.0,617.0,,763.063769,0.81,0.73,1.29,769.907239,0.8,0.73,1.28,
09/30/2006,12528.0,6577.0,732.0,5845.0,0.0,4424.0,1527.0,,,-8468.0,427.0,6707.0,1334.0,,-2442.0,,,,,,,1618,-246.0,,1372.0,-357.0,1015.0,-74.0,,,1089.0,-56.0,1033.0,-34.0,,999.0,999.0,,762.404666,1.31,1.21,1.26,773.703037,1.29,1.2,1.24,
12/31/2006,12893.0,6979.0,742.0,6237.0,0.0,4322.0,1592.0,,,-8725.0,411.0,6907.0,1407.0,,-2858.0,,,,,,,1310,-187.0,0.0,1123.0,-261.0,862.0,-3057.0,,,3919.0,-56.0,3863.0,-34.0,0.0,3829.0,3829.0,,773.1,4.95,0.998577,,773.1,4.95,0.99579,4.95,
03/31/2007,12912.0,6765.0,716.0,6049.0,0.0,4483.0,1664.0,,,-8573.0,431.0,6766.0,1376.0,,-2560.0,,,,,,,1779,-252.0,,1527.0,-416.0,1111.0,10.0,,,1101.0,-84.0,1017.0,-34.0,,983.0,983.0,,752.658844,1.31,1.32,1.44,769.107631,1.28,1.29,1.41,
06/30/2007,13217.0,6903.0,738.0,6165.0,0.0,4596.0,1718.0,,,-8752.0,446.0,6841.0,1465.0,,-2514.0,,,,,,,1951,-267.0,0.0,1684.0,-476.0,1208.0,-8.0,,,1216.0,-53.0,1163.0,-34.0,,1129.0,1129.0,,744.49194,1.52,1.51,1.76,763.55631,1.48,1.47,1.72,
09/30/2007,11678.0,5717.0,750.0,4967.0,0.0,4303.0,1658.0,,,-7872.0,455.0,5992.0,1425.0,,-2225.0,,,,,,,1581,-264.0,0.0,1317.0,-380.0,937.0,-76.0,,,1013.0,6.0,1019.0,-34.0,,985.0,985.0,,743.958113,1.32,1.22,1.5,762.693073,1.29,1.19,1.46,
12/31/2007,9351.0,3585.0,761.0,2824.0,0.0,4103.0,1663.0,,,-5770.0,479.0,4096.0,1195.0,,-1990.0,,,,,,,1591,-334.0,0.0,1257.0,-388.0,869.0,-141.0,,,1010.0,108.0,1118.0,-35.0,0.0,1083.0,1083.0,,735.505159,1.47,1.44,1.58,753.698982,1.44,1.4,1.54,
03/31/2008,11624.0,6291.0,745.0,5546.0,0.0,3567.0,1766.0,,,-8245.0,479.0,6533.0,1233.0,,-2259.0,,,,,,,1120,-288.0,0.0,832.0,-207.0,625.0,-35.0,,,660.0,-12.0,648.0,-33.0,0.0,615.0,615.0,,720.392991,0.85,0.82,1.48,732.722142,0.84,0.81,1.46,
06/30/2008,12049.0,6340.0,742.0,5598.0,0.0,3962.0,1747.0,,,-8221.0,541.0,6484.0,1196.0,,-2338.0,,,,,,,1490,-269.0,0.0,1221.0,-342.0,879.0,-117.0,,,996.0,-50.0,946.0,-31.0,0.0,915.0,915.0,,712.837796,1.28,1.19,1.24,726.534514,1.26,1.18,1.22,
09/30/2008,13351.0,6785.0,745.0,6040.0,0.0,4793.0,1773.0,,,-8841.0,472.0,7240.0,1129.0,,-2666.0,,,,,,,1844,-265.0,0.0,1579.0,-529.0,1050.0,404.0,,,646.0,-16.0,630.0,-30.0,0.0,600.0,600.0,,718.114168,0.84,1.43,0.85,726.934052,0.83,1.42,0.84,
12/31/2008,13962.0,6498.0,739.0,5759.0,0.0,5783.0,1681.0,,,-9809.0,432.0,8147.0,1230.0,,-2493.0,,,,,,,1660,-229.0,0.0,1431.0,-503.0,928.0,-48.0,,,976.0,9.0,985.0,-31.0,0.0,954.0,954.0,,790.0,1.21,1.15,0.17,793.6,1.2,1.14,0.17,
03/31/2009,10214.0,6122.0,722.0,5400.0,0.0,2355.0,1737.0,1183.0,554.0,-7750.0,479.0,6527.0,1168.0,-424.0,-3171.0,193.0,193.0,2554.0,2554.0,424.0,,-707,-255.0,0.0,-962.0,377.0,-585.0,-37.0,-37.0,0.0,-548.0,4.0,-544.0,-30.0,0.0,-574.0,-1064.35,-453.35,809.101944,-0.71,-0.76,-1.315471,809.101944,-0.71,-0.76,-1.320313,
06/30/2009,8265.0,6576.0,729.0,5850.0,-3.0,-99.0,1788.0,1216.0,572.0,-8175.0,492.0,6888.0,1229.0,-434.0,-1707.0,192.0,192.0,1750.0,1750.0,-235.0,,-1617,-758.0,0.0,-2375.0,956.0,-1419.0,-1.0,-1.0,0.0,-1418.0,16.0,-1402.0,-31.0,0.0,-1433.0,424.165113,1858.165113,822.407969,-1.74,-1.74366,0.51576,829.174792,-1.74,-1.74366,0.497321,
09/30/2009,10238.0,6601.0,727.0,5874.0,0.0,1784.0,1853.0,1251.0,602.0,-8431.0,483.0,7129.0,1258.0,-439.0,-2698.0,184.0,184.0,2075.0,2075.0,439.0,,-891,-284.0,0.0,-1175.0,551.0,-624.0,1.0,1.0,0.0,-625.0,5.0,-620.0,-30.0,0.0,-650.0,-1186.091159,-537.091159,821.76449,-0.79,-0.79,-1.443347,821.76449,-0.79,-0.79,-1.443347,
12/31/2009,12341.0,7161.0,727.0,6434.0,0.0,3026.0,2154.0,1553.0,601.0,-8829.0,478.0,7510.0,1194.0,-353.0,-3064.0,196.0,196.0,2604.0,2604.0,264.0,,448,-269.0,0.0,179.0,131.0,310.0,-3.0,-3.0,0.0,313.0,7.0,320.0,-31.0,0.0,289.0,266.0,-20.0,821.9,0.35,0.35,0.32364,828.0,0.35,0.35,0.32364,
03/31/2010,13100.0,6788.0,714.0,6074.0,0.0,4394.0,1918.0,1405.0,513.0,-8606.0,494.0,7347.0,1142.0,-377.0,-2939.0,182.0,182.0,2380.0,2380.0,377.0,,1555,-370.0,0.0,1185.0,-356.0,829.0,-5.0,-5.0,0.0,834.0,1.0,835.0,-30.0,0.0,805.0,892.95,92.95,822.654945,0.98,0.97,1.085449,828.621389,0.97,0.96,1.04,
06/30/2010,14138.0,6584.0,726.0,5861.0,-3.0,5528.0,2026.0,1482.0,544.0,-7978.0,506.0,6812.0,1048.0,-388.0,-3428.0,187.0,187.0,2853.0,2853.0,388.0,,2732,-369.0,0.0,2363.0,-827.0,1536.0,-11.0,-11.0,0.0,1547.0,10.0,1557.0,-31.0,0.0,1526.0,2596.65,1081.65,822.905671,1.85,1.84,3.155465,830.472873,1.84,1.83,1.1,
09/30/2010,12338.0,6484.0,740.0,5744.0,0.0,3778.0,2076.0,1452.0,624.0,-8573.0,506.0,7194.0,1264.0,-391.0,-2983.0,192.0,192.0,2400.0,2400.0,391.0,,782,-397.0,0.0,385.0,-68.0,317.0,-3.0,-3.0,0.0,320.0,-4.0,316.0,-30.0,0.0,286.0,647.45,364.45,875.782191,0.33,0.33,0.739282,883.100164,0.32,0.32,0.739282,
12/31/2010,12690.0,7215.0,746.0,6469.0,0.0,3139.0,2336.0,1689.0,647.0,-8947.0,515.0,7296.0,1465.0,-329.0,-3349.0,199.0,199.0,2821.0,2821.0,329.0,,394,-414.0,0.0,-20.0,86.0,66.0,-19.0,-19.0,0.0,85.0,-3.0,82.0,-31.0,0.0,51.0,1106.45,1074.45,1007.3,0.05,0.031768,1.098431,1014.9,0.05,0.031279,1.098431,
03/31/2011,15908.0,8554.0,735.0,7819.0,0.0,4899.0,2455.0,1889.0,566.0,-10161.0,532.0,8077.0,1924.0,-372.0,-4047.0,193.0,193.0,3478.0,3478.0,376.0,,1700,-415.0,0.0,1285.0,-361.0,924.0,40.0,40.0,0.0,884.0,-7.0,877.0,-30.0,-146.0,701.0,1205.1,464.1,1058.517978,0.66,0.7,1.138479,1069.523536,0.66,0.7,1.133932,
06/30/2011,17146.0,9294.0,748.0,8546.0,0.0,5291.0,2561.0,1969.0,592.0,-10563.0,719.0,8776.0,1442.0,-374.0,-4653.0,198.0,198.0,4085.0,4085.0,370.0,,1930,-420.0,0.0,1510.0,-448.0,1062.0,-31.0,-31.0,0.0,1093.0,7.0,1100.0,-31.0,0.0,1069.0,1270.7,232.7,1059.751486,1.01,0.98,1.199055,1070.975905,1.0,0.97,1.187278,
09/30/2011,20453.0,9342.0,,9342.0,0.0,8393.0,2718.0,1998.0,720.0,-10140.0,,9018.0,1122.0,,-4773.0,,,4773.0,4773.0,,,5540,-425.0,0.0,5115.0,-1673.0,3442.0,-8.0,-8.0,0.0,3450.0,6.0,3456.0,-30.0,0.0,3426.0,6426.45,3008.45,1060.199513,3.23,3.22,6.061548,1066.200699,3.21,3.2,6.021654,
12/31/2011,16735.0,9171.0,757.0,8414.0,0.0,4960.0,2604.0,1950.0,654.0,-10594.0,511.0,8900.0,1499.0,-316.0,-4497.0,203.0,203.0,3978.0,3978.0,316.0,,1644,-369.0,0.0,1275.0,-312.0,963.0,-25.0,-25.0,0.0,988.0,2.0,990.0,-31.0,0.0,959.0,1514.461,580.461,1060.4,0.9,0.8808,1.428198,1066.3,0.9,0.876554,1.420924,
03/31/2012,15916.0,9129.0,753.0,8376.0,0.0,4112.0,2675.0,2078.0,597.0,-11661.0,503.0,8944.0,2557.0,-343.0,-4306.0,191.0,191.0,3771.0,3771.0,344.0,,-51,-358.0,0.0,-409.0,275.0,-134.0,-14.0,-14.0,0.0,-120.0,-24.0,-144.0,-30.0,0.0,-174.0,1510.45,1698.45,1064.252898,-0.16,-0.17,1.419259,1064.252898,-0.16,-0.17,1.37,
06/30/2012,18398.0,9161.0,761.0,8400.0,0.0,6747.0,2490.0,2097.0,393.0,-9933.0,584.0,8679.0,1022.0,-352.0,-4785.0,205.0,205.0,4235.0,4235.0,345.0,,3680,-342.0,0.0,3338.0,-1038.0,2300.0,-3.0,-3.0,0.0,2303.0,-8.0,2295.0,-31.0,0.0,2264.0,1492.05,-768.95,1064.688383,2.13,2.13,1.401396,1069.979618,2.12,2.12,1.401341,
09/30/2012,16503.0,9096.0,,9096.0,0.0,4821.0,2586.0,2131.0,455.0,-11400.0,,8943.0,2457.0,,-3919.0,,,3919.0,3919.0,,-1868.0,-684,-326.0,0.0,-1010.0,53.0,-957.0,0.0,0.0,0.0,-957.0,3.0,-954.0,-30.0,0.0,-984.0,1472.7,2456.7,1065.041874,-0.92,-0.92,1.382763,1065.041874,-0.92,-0.92,1.382763,
12/31/2012,17333.0,10589.0,783.0,9806.0,0.0,4033.0,2711.0,2250.0,461.0,-13077.0,609.0,10739.0,2048.0,-319.0,-4403.0,205.0,205.0,3881.0,3881.0,317.0,,-147,-330.0,0.0,-477.0,582.0,105.0,-31.0,-31.0,0.0,136.0,-9.0,127.0,-31.0,0.0,96.0,1712.75,1647.75,1091.0,0.09,0.059578,1.56989,1097.5,0.09,0.059578,1.560945,
03/31/2013,17683.0,9151.0,780.0,8371.0,0.0,5761.0,2771.0,2291.0,480.0,-11985.0,529.0,9179.0,2590.0,-313.0,-4130.0,208.0,208.0,3608.0,3608.0,314.0,,1568,-321.0,0.0,1247.0,-252.0,995.0,3.0,3.0,0.0,992.0,-6.0,986.0,-30.0,0.0,956.0,1695.45,736.45,1096.925583,0.87,0.87,1.545638,1103.885405,0.87,0.87,1.48,
06/30/2013,15721.0,9158.0,800.0,8358.0,0.0,3702.0,2861.0,2371.0,490.0,-10806.0,622.0,8667.0,1846.0,-329.0,-4033.0,215.0,215.0,3498.0,3498.0,320.0,,882,-321.0,0.0,561.0,-53.0,508.0,-2.0,-2.0,0.0,510.0,-8.0,502.0,-31.0,0.0,471.0,1610.4,1141.4,1097.889347,0.43,0.43,1.466814,1106.680318,0.43,0.43,1.461373,
09/30/2013,16337.0,9094.0,822.0,8272.0,0.0,4395.0,2848.0,2372.0,476.0,-11072.0,546.0,9238.0,1600.0,-312.0,-3972.0,227.0,227.0,3441.0,3441.0,304.0,0.0,1293,-317.0,0.0,976.0,-3.0,973.0,-2.0,-2.0,0.0,975.0,-3.0,972.0,-30.0,0.0,942.0,1683.6,743.6,1104.892638,0.85,0.85,1.523768,1117.296838,0.84,0.84,1.34,
12/31/2013,18458.0,10271.0,832.0,9439.0,0.0,5296.0,2891.0,2417.0,474.0,-12423.0,532.0,10053.0,2143.0,-305.0,-4444.0,229.0,229.0,3910.0,3910.0,305.0,0.0,1591,-323.0,0.0,1268.0,-353.0,915.0,-1.0,-1.0,0.0,916.0,-8.0,908.0,-31.0,0.0,877.0,1484.4,608.4,1123.7,0.77,0.779568,1.320993,1138.1,0.77,0.769121,1.320993,
03/31/2014,17085.0,9219.0,825.0,8394.0,0.0,4967.0,2899.0,2421.0,478.0,-10793.0,574.0,9053.0,1469.0,-303.0,-4154.0,223.0,223.0,3624.0,3624.0,307.0,,2138,-312.0,0.0,1826.0,-484.0,1342.0,3.0,3.0,0.0,1339.0,-11.0,1328.0,-30.0,0.0,1298.0,1995.9,694.9,1126.922641,1.15,1.15,1.771106,1140.466038,1.14,1.14,1.37,
06/30/2014,18266.0,9873.0,838.0,9035.0,0.0,5445.0,2948.0,2458.0,490.0,-11697.0,641.0,9347.0,1709.0,0.0,-4307.0,234.0,234.0,4081.0,4081.0,-8.0,,2262,-312.0,0.0,1950.0,-574.0,1376.0,0.0,0.0,0.0,1376.0,-10.0,1366.0,-31.0,0.0,1335.0,1938.7,603.7,1127.986031,1.18,1.18,1.718727,1142.262115,1.17,1.17,1.698513,
09/30/2014,18846.0,9703.0,855.0,8848.0,0.0,5997.0,3146.0,2628.0,518.0,-11329.0,527.0,9332.0,1817.0,-347.0,-4270.0,230.0,230.0,3699.0,3699.0,341.0,,3247,-295.0,0.0,2952.0,-858.0,2094.0,0.0,0.0,0.0,2094.0,,2094.0,-30.0,0.0,2064.0,2413.35,349.35,1125.165772,1.83,1.83,2.144884,1141.046731,1.81,1.81,2.116166,
12/31/2014,19119.0,10272.0,861.0,9411.0,0.0,5864.0,2983.0,2439.0,544.0,-12226.0,541.0,10066.0,1948.0,-329.0,-4520.0,230.0,230.0,3957.0,3957.0,333.0,0.0,2373,-297.0,0.0,2076.0,-549.0,1527.0,0.0,0.0,0.0,1527.0,-6.0,1521.0,-31.0,0.0,1490.0,1779.65,289.65,1146.153846,1.3,1.3,1.552715,1147.3,1.3,1.3,1.552462,
03/31/2015,18710.0,9253.0,845.0,8408.0,0.0,6568.0,2889.0,2394.0,495.0,-11252.0,584.0,8673.0,1995.0,0.0,-4101.0,220.0,220.0,3876.0,3876.0,5.0,,3357,-298.0,0.0,3059.0,-896.0,2163.0,0.0,0.0,0.0,2163.0,-5.0,2158.0,-30.0,0.0,2128.0,1609.95,-518.05,1125.703588,1.89,1.89,1.430172,1135.761118,1.87,1.87,1.413874,
06/30/2015,16166.0,9312.0,856.0,8456.0,0.0,3902.0,2952.0,2434.0,518.0,-10650.0,626.0,8726.0,1298.0,0.0,-4095.0,232.0,232.0,3867.0,3867.0,-4.0,,1421,-308.0,0.0,1113.0,6.0,1119.0,0.0,0.0,0.0,1119.0,-4.0,1115.0,-31.0,-42.0,1042.0,1836.3,794.3,1117.807514,0.93,0.93,1.642769,1128.391778,0.92,0.92,1.623922,
09/30/2015,18031.0,10375.0,867.0,9508.0,0.0,4826.0,2830.0,2346.0,484.0,-10981.0,593.0,9741.0,647.0,,-4585.0,240.0,240.0,4834.0,4834.0,-489.0,,2465,-302.0,0.0,2163.0,-965.0,1198.0,0.0,0.0,0.0,1198.0,5.0,1203.0,-6.0,0.0,1197.0,2132.129968,935.129968,1118.856041,1.07,1.07,1.905634,1129.941081,1.06,1.06,1.887592,
12/31/2015,37376.0,36403.0,,,36403.0,2147.0,-1174.0,-1604.0,430.0,-33816.0,631.0,,475.0,32710.0,-2184.0,231.0,231.0,1032.0,1032.0,921.0,,-424,-260.0,0.0,-684.0,265.0,-419.0,-1324.0,-1324.0,0.0,905.0,-8.0,897.0,-49.0,0.0,848.0,-3376.729968,-2900.729968,1108.832857,0.764768,-0.42928,-3.045301,1119.106023,0.757748,-0.42928,-3.045301,
03/31/2016,18433.0,9693.0,865.0,8828.0,0.0,5909.0,2831.0,2344.0,487.0,-11004.0,652.0,9341.0,1326.0,-315.0,-4195.0,234.0,234.0,3646.0,3646.0,315.0,,3234,-312.0,0.0,2922.0,-719.0,2203.0,0.0,0.0,0.0,2203.0,-2.0,2201.0,-6.0,0.0,2195.0,1437.75,-757.25,1100.836608,1.99,1.99,1.306052,1108.6,1.98,1.98,1.296931,
06/30/2016,15244.0,9417.0,868.0,8549.0,0.0,3054.0,2773.0,2286.0,487.0,-11774.0,701.0,9897.0,1500.0,-324.0,-3267.0,230.0,230.0,2717.0,2717.0,320.0,,203,-303.0,0.0,-100.0,214.0,114.0,0.0,0.0,0.0,114.0,-4.0,110.0,-46.0,0.0,64.0,944.75,880.75,1100.328049,0.06,0.06,0.858608,1109.128438,0.06,0.06,0.854092,
09/30/2016,15833.0,9839.0,879.0,8960.0,0.0,4297.0,1697.0,1341.0,356.0,-11156.0,611.0,9303.0,1544.0,-302.0,-3238.0,236.0,236.0,2259.0,2259.0,743.0,,1439,-280.0,0.0,1159.0,-135.0,1024.0,451.0,451.0,0.0,573.0,4.0,577.0,-6.0,0.0,571.0,1083.75,61.75,1100.5,0.52,0.928669,0.98478,1109.3,0.51,0.916563,0.972228,
12/31/2016,12832.0,9246.0,882.0,8364.0,0.0,1854.0,1732.0,1356.0,376.0,-10321.0,642.0,7398.0,1357.0,924.0,-3470.0,218.0,218.0,4323.0,4323.0,-1071.0,,-959,-282.0,0.0,-1241.0,560.0,-681.0,1355.0,1355.0,0.0,-2036.0,-2.0,-2038.0,-45.0,0.0,-2083.0,788.45,1516.45,1108.8,-1.878608,-0.656566,0.711084,1108.8,-1.878608,-0.656566,0.711084,
