Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2012,677.0,514.0,163.0,-458.0,215.0,,219.0,0.0,-294.0,67.0,67.0,,227.0,-75.0,-16.0,25.0,-7.0,,,-2.0,-91.0,28.0,,,-63.0,-2.0,-2.0,0.0,-61.0,-3.0,-64.0,0.0,0.0,-64.0,-66.0,0.0,199.1,-0.32,-0.33,-0.33,199.1,-0.32,-0.33,-0.33,
12/31/2012,827.0,572.0,255.0,-488.0,241.0,,339.0,0.0,-463.0,81.0,81.0,,382.0,-124.0,-19.0,25.0,-6.0,,,0.0,-143.0,40.0,,,-103.0,1.0,1.0,0.0,-104.0,-2.0,-106.0,0.0,0.0,-106.0,-34.8,70.2,199.2,-0.532129,-0.527108,-0.174699,199.2,-0.532129,-0.527108,-0.174699,
03/31/2013,734.0,460.0,274.0,-448.0,217.0,,286.0,0.0,-444.0,72.0,72.0,,372.0,-158.0,-18.0,26.0,-8.0,,,0.0,-176.0,63.0,5.0,-68.0,-113.0,0.0,0.0,0.0,-113.0,-3.0,-116.0,0.0,0.0,-116.0,-49.05,66.95,199.9,-0.58,-0.58,-0.245373,199.9,-0.58,-0.58,-0.245373,
06/30/2013,717.0,525.0,192.0,-447.0,220.0,,270.0,0.0,-219.0,74.0,74.0,,145.0,51.0,-18.0,28.0,-10.0,,,0.0,33.0,-11.0,6.0,5.0,22.0,0.0,0.0,0.0,22.0,-4.0,18.0,0.0,0.0,18.0,-45.7,-63.7,200.4,0.09,0.09,-0.228044,203.8,0.09,0.09,-0.228044,
09/30/2013,634.0,450.0,184.0,-421.0,191.0,,213.0,0.0,-327.0,67.0,67.0,,260.0,-114.0,-23.0,28.0,-4.0,,,-1.0,-137.0,29.0,-28.0,-1.0,-108.0,8.0,8.0,0.0,-116.0,2.0,-114.0,0.0,0.0,-114.0,-81.95,24.05,200.7,-0.57,-0.53,-0.408321,200.7,-0.57,-0.53,-0.410169,
12/31/2013,576.0,419.0,157.0,-391.0,170.0,,185.0,0.0,-1547.0,71.0,71.0,,1476.0,-1362.0,-47.0,26.0,21.0,,,0.0,-1409.0,519.0,,,-890.0,94.0,94.0,0.0,-984.0,11.0,-973.0,0.0,0.0,-973.0,-121.1,757.9,200.9,-4.85,-4.382106,-0.602787,200.9,-4.85,-4.382106,-0.609582,
03/31/2014,921.0,527.0,394.0,-377.0,184.0,,544.0,0.0,-502.0,67.0,67.0,,435.0,42.0,-29.0,29.0,0.0,,,0.0,13.0,-13.0,1.0,12.0,0.0,-19.0,-19.0,0.0,19.0,-1.0,18.0,0.0,0.0,18.0,16.55,17.55,201.5,0.09,0.0,0.082134,205.2,0.09,-0.002593,0.082134,
06/30/2014,727.0,510.0,217.0,-372.0,170.0,,355.0,0.0,-553.0,70.0,70.0,,483.0,-198.0,-28.0,28.0,0.0,,,0.0,-226.0,82.0,13.0,-95.0,-144.0,-11.0,-11.0,0.0,-133.0,-2.0,-135.0,0.0,0.0,-135.0,4.0,150.0,202.7,-0.66,-0.71,0.019734,202.7,-0.66,-0.71,0.019734,
09/30/2014,661.0,501.0,160.0,-408.0,195.0,,253.0,0.0,-139.0,75.0,75.0,,64.0,114.0,-25.0,31.0,-5.0,,,-1.0,89.0,-28.0,-4.0,32.0,61.0,-5.0,-5.0,0.0,66.0,-4.0,62.0,0.0,0.0,62.0,-14.5,-71.5,203.3,0.3,0.28,-0.071323,207.5,0.3,0.28,-0.071323,
12/31/2014,672.0,441.0,231.0,-381.0,167.0,,291.0,0.0,89.0,63.0,63.0,,-152.0,380.0,-34.0,35.0,-1.0,,,0.0,346.0,-119.0,,,227.0,8.0,8.0,0.0,219.0,0.0,219.0,0.0,0.0,219.0,-83.7,-310.7,199.09,1.1,1.140188,-0.420413,199.090909,1.1,1.140183,-0.420413,
03/31/2015,450.0,156.0,294.0,-184.0,67.0,,266.0,0.0,-153.0,54.0,54.0,,99.0,113.0,-32.0,33.0,-1.0,,,0.0,81.0,-29.0,-1.0,30.0,52.0,-16.0,-16.0,0.0,68.0,-1.0,67.0,0.0,0.0,67.0,48.0,-3.0,204.1,0.33,0.26,0.235179,205.9,0.32,0.25,0.235179,
06/30/2015,357.0,169.0,188.0,-187.0,64.0,,170.0,0.0,-115.0,53.0,53.0,,62.0,55.0,-31.0,32.0,-1.0,,,0.0,24.0,-1.0,1.0,0.0,23.0,53.0,53.0,0.0,-30.0,0.0,-30.0,0.0,0.0,-30.0,-60.85,-83.85,205.0,-0.14,0.11,-0.296829,206.8,-0.14,0.11,-0.296829,
09/30/2015,357.0,163.0,194.0,-201.0,65.0,,156.0,0.0,-123.0,45.0,45.0,,78.0,33.0,-130.0,65.0,0.0,,,65.0,-97.0,27.0,-5.0,-22.0,-70.0,160.0,160.0,0.0,-230.0,0.0,-230.0,-4.0,0.0,-234.0,-5.1,68.9,251.2,-0.93,-0.29,-0.020303,251.2,-0.93,-0.29,-0.020303,
12/31/2015,385.0,167.0,218.0,-227.0,75.0,,158.0,0.0,-85.0,58.0,58.0,0.0,27.0,73.0,-61.0,57.0,4.0,0.0,,0.0,12.0,-21.0,,,-9.0,1525.0,1525.0,0.0,-1534.0,0.0,-1534.0,-5.0,0.0,-1539.0,-164.15,-150.15,234.2,-6.571307,-0.06,-0.700897,234.2,-6.571307,-0.06,-0.701119,
03/31/2016,292.0,127.0,165.0,-221.0,69.0,,71.0,0.0,19.0,53.0,53.0,,-72.0,90.0,-55.0,57.0,-2.0,,,0.0,35.0,-35.0,0.0,35.0,0.0,12.0,12.0,0.0,-12.0,0.0,-12.0,-5.0,0.0,-17.0,-90.542346,-85.542346,276.1,-0.06,-0.02,-0.327933,276.1,-0.06,-0.02,-0.329824,
06/30/2016,361.0,176.0,185.0,-240.0,77.0,,121.0,0.0,-420.0,55.0,55.0,,365.0,-299.0,-54.0,53.0,1.0,,,0.0,-353.0,130.0,0.0,-130.0,-223.0,-25.0,-25.0,0.0,-198.0,0.0,-198.0,-6.0,0.0,-204.0,-80.15,148.85,300.7,-0.68,-0.76,-0.266545,300.7,-0.68,-0.76,-0.266545,
09/30/2016,251.0,188.0,63.0,-223.0,73.0,,28.0,0.0,-329.0,51.0,51.0,,278.0,-301.0,-49.0,49.0,0.0,,,0.0,-350.0,132.0,-5.0,-127.0,-218.0,1.0,1.0,0.0,-219.0,,-219.0,-4.0,-22.0,-245.0,-93.0,151.0,341.5,-0.72,-0.72,-0.272328,341.5,-0.72,-0.72,-0.277833,
12/31/2016,63.0,16.0,47.0,,,,,70.0,-449.0,43.0,43.0,0.0,406.0,-316.0,-48.0,48.0,-1.0,,,1.0,-364.0,133.0,-28.0,-105.0,-231.0,-59.0,-59.0,0.0,-172.0,0.0,-172.0,-3.0,0.0,-175.0,-173.449936,60.550064,344.8,-0.507541,-0.678654,-0.503045,344.8,-0.507541,-0.678654,-0.503045,
03/31/2017,187.0,187.0,0.0,-167.0,54.0,,20.0,0.0,153.0,41.0,41.0,,-194.0,173.0,-45.0,47.0,-2.0,0.0,,0.0,128.0,-33.0,0.0,33.0,95.0,3.0,3.0,0.0,92.0,0.0,92.0,-4.0,0.0,88.0,-50.0,-141.0,386.3,0.23,0.24,-0.129433,410.4,0.22,0.23,-0.129433,
06/30/2017,248.0,226.0,22.0,-207.0,66.0,,41.0,0.0,34.0,44.0,44.0,,-78.0,75.0,-46.0,46.0,0.0,,,0.0,29.0,298.0,0.0,-298.0,327.0,251.0,251.0,0.0,76.0,0.0,76.0,-4.0,0.0,72.0,-54.0,-377.0,397.8,0.18,0.81,-0.135747,423.2,0.17,0.77,-0.135747,
09/30/2017,265.0,247.0,18.0,-202.0,69.0,,63.0,0.0,-73.0,40.0,40.0,,33.0,-10.0,-63.0,48.0,-2.0,,,17.0,-73.0,-305.0,-27.0,332.0,-378.0,-232.0,-232.0,0.0,-146.0,0.0,-146.0,-3.0,0.0,-149.0,-211.0,170.0,398.1,-0.38,-0.96,-0.530018,398.1,-0.38,-0.96,-0.532972,
12/31/2017,346.0,356.0,-10.0,-237.0,82.0,,109.0,0.0,-249.0,35.0,35.0,0.0,214.0,-140.0,-48.0,47.0,1.0,0.0,,0.0,-188.0,168.0,,,-20.0,18.0,18.0,0.0,-38.0,0.0,-38.0,-4.0,0.0,-42.0,21.0,45.0,398.2,-0.105475,-0.06,0.052737,398.2,-0.105475,-0.06,0.052737,
03/31/2018,498.0,407.0,91.0,-264.0,103.0,,234.0,0.0,-228.0,43.0,43.0,,185.0,6.0,-47.0,46.0,,,,1.0,-41.0,15.0,0.0,-15.0,-26.0,89.0,89.0,0.0,-115.0,0.0,-115.0,-4.0,0.0,-119.0,89.0,119.0,398.6,-0.3,-0.07,0.223281,398.6,-0.3,-0.07,0.223281,
06/30/2018,506.0,520.0,-14.0,-317.0,120.0,,189.0,0.0,-192.0,44.0,44.0,,148.0,-3.0,-109.0,39.0,-1.0,,,71.0,-112.0,33.0,,-33.0,-79.0,2.0,2.0,0.0,-81.0,0.0,-81.0,-4.0,0.0,-85.0,23.0,106.0,400.0,-0.21,-0.21,0.0575,400.0,-0.21,-0.21,0.055,
09/30/2018,708.0,554.0,154.0,-332.0,139.0,,376.0,0.0,-350.0,44.0,44.0,,306.0,26.0,-40.0,38.0,2.0,,,0.0,-14.0,8.0,,,-6.0,1.0,1.0,0.0,-7.0,0.0,-7.0,0.0,0.0,-7.0,29.000001,35.000001,414.0,-0.01,-0.01,0.070048,414.0,-0.01,-0.01,0.070048,
12/31/2018,598.0,544.0,54.0,-400.0,174.0,,198.0,0.0,327.0,44.0,44.0,,-371.0,525.0,-42.0,40.0,2.0,,,0.0,483.0,-130.0,,,353.0,-1.0,-1.0,0.0,354.0,0.0,354.0,0.0,0.0,354.0,27.999792,-325.000208,424.0,0.84,0.84,0.066037,424.0,0.83,0.83,0.06349,
03/31/2019,557.0,507.0,50.0,-386.0,167.0,,171.0,0.0,-320.0,47.0,47.0,,273.0,-149.0,87.0,41.0,-2.0,,,-126.0,-62.0,14.0,-1.0,-13.0,-48.0,0.0,0.0,0.0,-48.0,0.0,-48.0,0.0,0.0,-48.0,10.0,58.0,421.0,-0.11,-0.11,0.023753,421.0,-0.11,-0.11,0.023753,
06/30/2019,607.0,558.0,49.0,-398.0,177.0,,209.0,0.0,-28.0,48.0,48.0,,-20.0,181.0,208.0,40.0,-1.0,,,-247.0,389.0,-84.0,2.0,82.0,305.0,0.0,0.0,0.0,305.0,0.0,305.0,0.0,0.0,305.0,37.0,-268.0,422.5,0.72,0.72,0.087574,423.5,0.72,0.72,0.087178,
09/30/2019,616.0,581.0,35.0,-432.0,191.0,,184.0,0.0,58.0,51.0,51.0,,-109.0,242.0,-81.0,38.0,-4.0,,,47.0,161.0,-39.0,1.0,38.0,122.0,1.0,1.0,0.0,121.0,0.0,121.0,0.0,0.0,121.0,38.0,-84.0,420.8,0.29,0.29,0.090304,421.8,0.29,0.29,0.090304,
12/31/2019,633.0,601.0,32.0,-447.0,200.0,,186.0,0.0,-316.0,51.0,51.0,,265.0,-130.0,-30.0,40.0,-3.0,,,-7.0,-160.0,39.0,-22.0,-17.0,-121.0,1.0,1.0,0.0,-122.0,0.0,-122.0,0.0,0.0,-122.0,24.0,145.0,417.2,-0.29,-0.29,0.057526,417.2,-0.29,-0.29,0.057526,
03/31/2020,412.0,502.0,-90.0,-464.0,205.0,,-52.0,0.0,-174.0,51.0,51.0,,123.0,-226.0,-41.0,48.0,-3.0,,,-4.0,-267.0,61.0,-19.0,-42.0,-206.0,180.0,180.0,0.0,-386.0,-2.0,-388.0,0.0,0.0,-388.0,13.846154,221.846154,458.0,-0.85,-0.46,0.030232,458.0,-0.85,-0.46,0.02438,
06/30/2020,-29.0,274.0,-303.0,-415.0,186.0,,-444.0,0.0,-27.0,42.0,42.0,,-15.0,-471.0,-43.0,49.0,-5.0,,-2.0,1.0,-514.0,101.0,-1.0,-100.0,-413.0,-5.0,-5.0,0.0,-408.0,-1.0,-409.0,0.0,0.0,-409.0,70.552632,484.552632,559.7,-0.73,-0.74,0.126054,559.7,-0.73,-0.74,0.125736,
09/30/2020,607.947,,,,,,92.7727122,,,,,,,63.588,,,,,,,46.359,,,,42.553,,,,,,42.553,,,42.553,37.192,,,0.071,0.071,0.06,,0.071,0.071,0.06,
12/31/2020,652.3,,,,,,107.75996,,,,,,,86.875,,,,,,,66.792,,,,61.22,,,,,,61.22,,,61.22,53.053,,,0.102,0.102,0.091,,0.102,0.102,0.091,
