Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Discontinued Operations,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2010,16649,971,971,0.0,679,679,0.0,222,2417,223.0,548.0,629.0,4289,11408,14864,-3456,89.0,89.0,863,,,,,640,12360,,541,482,,59.0,,699,0.0,,,,699.0,1533,,382.0,,289,2773,8827,8827.0,,,,710,,,112.0,216,9537,12310,0.0,12269,1.0,12268.0,-5.0,-7702,-223,4339,0,4339,16649,
09/30/2010,18382,914,914,0.0,718,718,0.0,295,2415,318.0,545.0,549.0,4342,12915,16505,-3590,69.0,69.0,1056,,,,,738,14040,,655,523,,132.0,,574,0.0,,,,574.0,1557,,499.0,11.0,299,2786,10043,10043.0,,,,933,,,159.0,275,10976,13762,0.0,12276,1.0,12275.0,-5.0,-7485,-166,4620,0,4620,18382,
12/31/2010,17256,1327,1327,0.0,669,669,0.0,292,1141,170.0,,416.0,3429,12978,16668,-3690,80.0,80.0,769,0.0,0.0,0.0,,599,13827,,651,514,5.0,132.0,0.0,152,0.0,,,,152.0,986,0.0,370.0,,268,1789,10104,10104.0,,,,694,0.0,7.0,77.0,240,10798,12587,0.0,12282,1.0,12281.0,-5.0,-7509,-125,4643,26,4669,17256,
03/31/2011,16849,1280,1280,0.0,555,555,0.0,267,984,135.0,,335.0,3086,12965,16778,-3813,98.0,98.0,700,,,,,565,13763,,606,448,,158.0,,227,0.0,,,,227.0,1017,,275.0,,301,1850,10023,10023.0,,,,518,,,1.0,242,10541,12391,0.0,12287,1.0,12286.0,-6.0,-7806,-52,4423,35,4458,16849,
06/30/2011,16898,1147,1147,0.0,738,738,0.0,285,914,110.0,,345.0,3084,13033,16964,-3931,84.0,84.0,697,,,,,587,13814,,805,602,,203.0,,126,0.0,,,,126.0,941,,221.0,,298,1872,10190,10190.0,,,,447,,,1.0,225,10637,12509,0.0,12294,1.0,12293.0,-7.0,-7876,-83,4328,61,4389,16898,
09/30/2011,17231,1285,1285,0.0,755,755,0.0,281,1109,134.0,,419.0,3430,13010,17056,-4046,75.0,75.0,716,,,,,582,13801,,724,558,,166.0,,101,0.0,,,,101.0,1048,,303.0,,269,1873,10303,10303.0,,,,536,,,1.0,232,10839,12712,0.0,12300,1.0,12299.0,-9.0,-7686,-147,4458,61,4519,17231,
12/31/2011,17371,1252,1252,0.0,598,598,0.0,329,1383,113.0,,332.0,3562,13019,17177,-4158,80.0,80.0,710,0.0,0.0,0.0,,597,13809,,638,435,3.0,200.0,0.0,104,0.0,,,,104.0,1420,0.0,279.0,,276,2162,10321,10321.0,,,,524,0.0,18.0,,227,10845,13007,0.0,12306,1.0,12305.0,-125.0,-7699,-178,4304,60,4364,17371,
03/31/2012,17456,1070,1070,0.0,386,386,0.0,293,1735,186.0,,332.0,3484,13101,17394,-4293,92.0,92.0,779,,,,,593,13972,,490,334,,156.0,,103,0.0,,,,103.0,1616,,257.0,,315,2209,10392,10392.0,,,,494,,,,237,10886,13095,0.0,12311,1.0,12310.0,-131.0,-7708,-173,4299,62,4361,17456,
06/30/2012,16887,587,587,0.0,532,532,0.0,337,1478,158.0,,429.0,2934,13109,17514,-4405,76.0,76.0,768,,,,,610,13953,,553,353,,200.0,,103,0.0,,,,103.0,1517,,276.0,,274,2173,10488,10488.0,,,,523,,,,247,11011,13184,0.0,12321,1.0,12320.0,-420.0,-8037,-223,3641,62,3703,16887,
09/30/2012,16593,1097,1097,0.0,500,500,0.0,297,793,146.0,,306.0,2687,13129,17647,-4518,79.0,79.0,698,,,,,552,13906,,524,361,,163.0,,105,0.0,,,,105.0,722,,286.0,,265,1351,10567,10567.0,,,,561,,,,275,11128,12479,0.0,12328,1.0,12327.0,-439.0,-7600,-237,4052,62,4114,16593,
12/31/2012,16549,1284,1284,0.0,437,437,0.0,335,776,98.0,,437.0,2832,13005,17395,-4390,81.0,81.0,631,0.0,0.0,0.0,,533,13717,,573,382,11.0,180.0,0.0,115,0.0,,,,115.0,630,0.0,293.0,,273,1318,10635,10635.0,,,,540,0.0,6.0,,241,11175,12493,0.0,12336,1.0,12335.0,-594.0,-7500,-248,3994,62,4056,16549,
03/31/2013,16569,962,962,0.0,483,483,0.0,352,959,149.0,,445.0,2756,13052,17568,-4516,92.0,92.0,669,,,,,520,13813,,571,437,,134.0,,144,0.0,,,,144.0,798,,289.0,,203,1513,10633,10633.0,,,,546,,,,257,11179,12692,0.0,12352,1.0,12351.0,-675.0,-7625,-236,3816,61,3877,16569,
06/30/2013,16758,715,715,0.0,726,726,0.0,447,1051,136.0,,450.0,2939,13057,17698,-4641,85.0,85.0,677,,,,,541,13819,,726,551,,175.0,,169,0.0,,,,169.0,836,,291.0,,206,1731,10851,10851.0,,,,592,,,3.0,298,11443,13174,0.0,12371,1.0,12370.0,-962.0,-7695,-191,3523,61,3584,16758,
09/30/2013,16803,1024,1024,0.0,657,657,0.0,355,999,148.0,,528.0,3035,13039,17807,-4768,95.0,95.0,634,,,,,486,13768,,574,451,,123.0,,154,0.0,,,,154.0,756,,333.0,,284,1484,10869,10869.0,,,,650,,,,317,11519,13003,0.0,12381,1.0,12380.0,-1069.0,-7389,-184,3739,61,3800,16803,
12/31/2013,16559,941,941,0.0,552,552,0.0,406,957,105.0,,512.0,2856,12995,17892,-4897,93.0,93.0,615,0.0,0.0,0.0,,510,13703,,631,462,7.0,162.0,0.0,204,0.0,,,,204.0,696,0.0,243.0,,245,1531,10908,10908.0,,,,552,0.0,14.0,,295,11460,12991,0.0,12390,1.0,12389.0,-1230.0,-7486,-160,3514,54,3568,16559,
03/31/2014,17067,515,515,0.0,627,627,0.0,417,1143,174.0,,488.0,2702,13598,18644,-5046,85.0,85.0,682,,,,,508,14365,,700,607,,93.0,,189,0.0,,,,189.0,984,,230.0,,256,1873,11286,11286.0,,,,496,,,,266,11782,13655,0.0,12401,1.0,12400.0,-1378.0,-7503,-166,3354,58,3412,17067,
06/30/2014,17370,442,442,0.0,762,762,0.0,374,2124,236.0,808.0,570.0,3702,12844,17548,-4704,92.0,92.0,732,,,,,496,13668,,803,614,,189.0,,189,0.0,,,,189.0,1154,,248.0,,448,2146,11260,11260.0,,,,550,,,,302,11810,13956,0.0,12422,1.0,12421.0,-1535.0,-7364,-168,3355,59,3414,17370,
09/30/2014,17172,1529,1529,0.0,680,680,0.0,353,1054,295.0,,505.0,3616,12665,17505,-4840,92.0,92.0,799,,,,,504,13556,,655,560,,95.0,,194,0.0,,,,194.0,911,,295.0,,377,1760,11260,11260.0,,,,592,,,,297,11852,13612,0.0,12433,1.0,12432.0,-2011.0,-6750,-164,3508,52,3560,17172,
12/31/2014,18378,717,717,0.0,648,648,0.0,447,2408,439.0,,350.0,4220,13190,18174,-4984,95.0,95.0,873,0.0,0.0,0.0,,434,14158,,745,580,0.0,165.0,0.0,199,0.0,,,,199.0,2255,0.0,444.0,,473,3199,11083,11083.0,,,,665,0.0,15.0,,206,11748,14947,0.0,12441,1.0,12440.0,-2345.0,-6540,-178,3378,53,3431,18378,
03/31/2015,18382,796,796,0.0,503,503,0.0,486,2187,711.0,,329.0,3972,13178,18300,-5122,88.0,88.0,1144,,,,,433,14410,,619,456,,163.0,,197,0.0,,,,197.0,2028,,572.0,,385,2844,11520,11520.0,,,,813,,,,241,12333,15177,0.0,12454,1.0,12453.0,-2557.0,-6550,-195,3152,53,3205,18382,
06/30/2015,17757,422,422,0.0,595,595,0.0,477,1953,637.0,,346.0,3447,13147,18383,-5236,87.0,87.0,1076,,,,,439,14310,,576,443,,133.0,,198,0.0,,,,198.0,1762,,453.0,,355,2536,11493,11493.0,,,,727,,,,274,12220,14756,0.0,12464,1.0,12463.0,-2810.0,-6531,-179,2944,57,3001,17757,
09/30/2015,17898,659,659,0.0,581,581,0.0,470,1888,718.0,,459.0,3598,12984,18229,-5245,77.0,77.0,1239,,,,,521,14300,,583,446,,137.0,,199,0.0,,,,199.0,1641,,501.0,,307,2423,11465,11465.0,,,,799,,,,298,12264,14687,0.0,12471,1.0,12470.0,-2867.0,-6258,-193,3153,58,3211,17898,
12/31/2015,18681,906,906,0.0,644,644,0.0,475,2070,313.0,0.0,372.0,4095,13012,18389,-5377,79.0,79.0,1495,0.0,0.0,0.0,,1182,14586,,681,552,,129.0,0.0,221,0.0,,,,221.0,2146,0.0,473.0,,412,3048,11716,11716.0,,,,750,0.0,14.0,,263,12466,15514,0.0,9594,0.356756,9593.643244,-1.0,-6305,-179,3109,58,3167,18681,
03/31/2016,18659,244,244,0.0,569,569,0.0,490,2472,420.0,,619.0,3775,13407,18898,-5491,89.0,89.0,1388,,,,,968,14884,,557,433,,124.0,,205,0.0,,,,205.0,2323,,585.0,,348,3085,11672,11672.0,,,,929,,,,344,12601,15686,0.0,9602,0.359543,9601.640457,-7.0,-6503,-177,2915,58,2973,18659,
06/30/2016,17979,215,215,0.0,720,720,0.0,522,1831,369.0,206.0,394.0,3288,13341,18993,-5652,74.0,74.0,1276,,,,,907,14691,,661,531,,130.0,,197,0.0,,,,197.0,1715,,512.0,,355,2573,11644,11644.0,,,,810,,,,298,12454,15027,0.0,9611,0.359663,9610.640337,-7.0,-6532,-183,2889,63,2952,17979,
09/30/2016,17988,561,561,0.0,801,801,0.0,518,1835,323.0,452.0,424.0,3715,13069,18788,-5719,80.0,80.0,1124,,,,,801,14273,,734,590,,144.0,,197,0.0,,,,197.0,1383,,436.0,,392,2314,11623,11623.0,,,,780,,,,344,12403,14717,0.0,9618,0.35961,9617.64039,-7.0,-6237,-170,3204,67,3271,17988,
12/31/2016,17493,418,418,0.0,839,839,0.0,581,1013,300.0,210.0,582.0,2851,13013,18878,-5865,99.0,99.0,1530,837.0,187.0,650.0,,393,14642,,796,671,,125.0,0.0,748,0.0,,,,748.0,661,0.0,149.0,,523,2205,11431,11431.0,,,,518,0.0,18.0,,351,11949,14154,0.0,9625,0.359627,9624.640373,-7.0,-6213,-137,3268,71,3339,17493,
03/31/2017,18576,243,243,0.0,765,765,0.0,535,1978,670.0,0.0,591.0,3521,13009,18984,-5975,,,2046,868.0,233.0,635.0,92.0,416,15055,,780,655,,125.0,,608,0.0,,,,608.0,1732,,550.0,,459,3120,11344,11344.0,,,,830,,,,280,12174,15294,0.0,9633,0.361833,9632.638167,-13.0,-6269,-139,3212,70,3282,18576,
06/30/2017,17975,294,294,0.0,874,874,0.0,455,1564,527.0,0.0,502.0,3187,12940,19063,-6123,98.0,98.0,1750,820.0,242.0,578.0,,403,14788,,866,761,,105.0,,615,0.0,,,,615.0,1392,,428.0,,370,2873,11307,11307.0,,,,726,,,,298,12033,14906,0.0,9642,0.361745,9641.638255,-13.0,-6485,-148,2996,73,3069,17975,
09/30/2017,16792,426,426,0.0,935,935,0.0,409,618,284.0,0.0,412.0,2388,12833,19098,-6265,,,1571,795.0,243.0,552.0,106.0,386,14404,,885,756,,129.0,,369,0.0,,,,369.0,540,,103.0,,427,1794,11281,11281.0,,,,394,,,,291,11675,13469,0.0,9652,0.361696,9651.638304,-13.0,-6260,-135,3244,79,3323,16792,
12/31/2017,16453,284,284,0.0,970,970,0.0,498,554,218.0,0.0,380.0,2306,12724,19107,-6383,106.0,106.0,1317,754.0,242.0,512.0,,345,14147,,881,777,,104.0,0.0,225,0.0,,,,225.0,768,0.0,119.0,,571,1874,11180,11180.0,,,,332,0.0,21.0,,192,11512,13386,0.0,9661,0.361678,9660.638322,-15.0,-6552,-106,2988,79,3067,16453,
03/31/2018,16277,215,215,0.0,839,839,0.0,581,646,228.0,0.0,449.0,2281,12623,19168,-6545,110.0,110.0,1263,727.0,242.0,485.0,,308,13996,,843,709,,134.0,,227,0.0,,,,227.0,873,,178.0,,535,1943,11455,11455.0,,,,432,,,,254,11887,13830,0.0,9582,0.360543,9581.639457,0.0,-7150,-70,2362,85,2447,16277,
06/30/2018,16475,201,201,0.0,983,983,0.0,560,780,234.0,9.0,533.0,2524,12586,19176,-6590,0.0,,1365,696.0,242.0,454.0,111.0,324,13951,,871,763,,108.0,,512,0.0,,,,512.0,757,,188.0,,507,2140,11095,11095.0,,,,418,,,,230,11513,13653,0.0,9582,0.0,9582.0,0.0,-6798,-50,2734,88,2822,16475,
09/30/2018,16460,534,534,0.0,936,936,0.0,546,652,207.0,0.0,493.0,2668,12494,19192,-6698,119.0,119.0,1179,682.0,242.0,440.0,,290,13792,,881,743,,138.0,,512,0.0,,,,512.0,779,,126.0,,557,2172,10795,10795.0,,,,381,,,,255,11176,13348,0.0,9582,0.0,9582.0,0.0,-6526,-36,3020,92,3112,16460,
12/31/2018,16062,205,205,0.0,1022,1022,0.0,525,667,160.0,0.0,525.0,2419,12442,19274,-6832,76.0,76.0,1125,654.0,242.0,412.0,,311,13643,,1054,958,,96.0,0.0,637,0.0,,,,637.0,792,0.0,140.0,,489,2483,10148,10148.0,,,,375,0.0,19.0,,216,10523,13006,0.0,9582,0.0,9582.0,0.0,-6542,-77,2963,93,3056,16062,
03/31/2019,16151,184,184,0.0,794,794,0.0,515,1204,165.0,372.0,696.0,2697,12230,18994,-6764,67.0,67.0,1157,633.0,242.0,391.0,,359,13454,,840,720,,120.0,,308,0.0,50.0,,50.0,258.0,717,,113.0,,493,1865,10849,10533.0,316.0,,316.0,224,,,,111,11073,12938,0.0,9584,0.0,9584.0,0.0,-6367,-100,3117,96,3213,16151,
06/30/2019,16209,297,297,0.0,806,806,0.0,541,1055,213.0,335.0,518.0,2699,12235,19095,-6860,71.0,71.0,1204,612.0,242.0,370.0,,379,13510,,793,695,,98.0,0.0,312,0.0,49.0,10.0,39.0,263.0,608,,119.0,,443,1713,10700,10461.0,239.0,68.0,171.0,343,,,,224,11043,12756,0.0,9584,0.0,9584.0,0.0,-6101,-129,3354,99,3453,16209,
09/30/2019,16518,792,792,0.0,882,882,0.0,571,843,243.0,6.0,693.0,3088,12177,19032,-6855,73.0,73.0,1180,601.0,242.0,359.0,,336,13430,,868,748,,120.0,0.0,268,0.0,39.0,,39.0,229.0,788,,84.0,,590,1924,10582,10413.0,169.0,,169.0,471,,,,387,11053,12977,0.0,9584,0.0,9584.0,0.0,-6017,-131,3436,105,3541,16518,
12/31/2019,16649,1131,1131,0.0,757,757,0.0,543,871,246.0,,715.0,3302,12134,18985,-6851,70.0,70.0,1143,582.0,242.0,340.0,,315,13347,,775,714,,61.0,0.0,1290,0.0,22.0,10.0,12.0,1268.0,860,0.0,63.0,,635,2925,10671,10438.0,233.0,63.0,170.0,395,0.0,26.0,,306,11066,13991,0.0,9584,0.0,9584.0,0.0,-6923,-114,2547,111,2658,16649,
03/31/2020,15873,531,531,0.0,598,598,0.0,543,867,263.0,,641.0,2539,12132,19087,-6955,63.0,63.0,1139,565.0,242.0,323.0,,311,13334,,686,584,,102.0,,236,0.0,19.0,,19.0,217.0,678,,184.0,,484,1600,11003,10836.0,167.0,,167.0,639,,,,455,11642,13242,0.0,9651,0.0,9651.0,,-6795,-225,2631,0,2631,15873,
06/30/2020,15955,677,677,0.0,683,683,0.0,517,812,250.0,,613.0,2689,12102,19009,-6907,67.0,67.0,1097,558.0,242.0,316.0,,289,13266,,677,569,,108.0,0.0,246,0.0,15.0,,15.0,231.0,684,,196.0,,516,1607,11038,10874.0,164.0,,164.0,511,,,,315,11549,13156,0.0,9651,0.0,9651.0,0.0,-6632,-220,2799,0,2799,15955,
