Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2004,4159,1617,1617,0.0,696,,,239,0.0,42.0,197.0,0.0,172,,,2724,509,1178.0,-669.0,0.0,926,257,257.0,0.0,669,1435,,345,345,,299,299.0,0.0,0.0,,779,,779,1423,294,294.0,0.0,0.0,1648,,,1648,1942,3365,0.0,2597,,0.0,-974.0,-829,794,0.0,794,4159,
12/31/2004,5080,911,911,,774,774.0,,351,,48.0,303.0,,257,,,2293,916,1610.0,-694.0,,1871,1281,793.0,488.0,590,2787,,437,437,,117,,,,,870,,870,1424,251,,,,2181,,,2181,2432,3856,,2927,,-1.0,-943.0,-759,1224,,1224,5080,
03/31/2005,4843,855,855,,793,793.0,,364,,11.0,353.0,,208,,,2220,747,1497.0,-750.0,,1876,1329,939.0,390.0,547,2623,,403,403,,74,,,,,888,,888,1365,114,,,,2125,,,2125,2239,3604,,2941,,-2.0,-907.0,-793,1239,,1239,4843,
06/30/2005,4579,735,735,0.0,813,813.0,,328,0.0,16.0,312.0,0.0,189,,,2065,731,1516.0,-785.0,0.0,1783,1249,894.0,355.0,534,2514,,390,390,,5,5.0,0.0,0.0,,916,,916,1311,26,26.0,0.0,0.0,1919,,,1919,1945,3256,0.0,2902,,-2.0,-713.0,-864,1323,0.0,1323,4579,
09/30/2005,5219,750,750,0.0,862,862.0,,288,14.0,0.0,274.0,0.0,271,,,2171,738,1565.0,-827.0,0.0,2310,1251,914.0,337.0,1059,3048,,402,402,,5,0.0,5.0,5.0,,912,,912,1319,25,14.0,11.0,11.0,1914,,,1914,1939,3258,0.0,2900,,-3.0,-53.0,-883,1961,0.0,1961,5219,
12/31/2005,5078,726,726,0.0,811,811.0,,282,18.0,0.0,264.0,0.0,273,,,2092,715,1568.0,-853.0,0.0,2271,1221,904.0,317.0,1050,2986,,381,381,,5,0.0,5.0,5.0,,799,,799,1185,25,13.0,12.0,12.0,1933,,,1933,1958,3143,0.0,2826,,-4.0,18.0,-905,1935,0.0,1935,5078,
03/31/2006,5115,745,745,,799,799.0,,292,17.0,,275.0,,314,,,2150,708,1595.0,-887.0,,2257,1223,916.0,307.0,1034,2965,,383,383,,5,0.0,5.0,5.0,,849,,849,1237,24,13.0,11.0,11.0,1944,,,1944,1968,3205,,2740,,-4.0,56.0,-882,1910,,1910,5115,
06/30/2006,5223,822,822,0.0,818,818.0,,296,7.0,0.0,289.0,0.0,327,,,2263,678,1612.0,-934.0,0.0,2282,1242,948.0,294.0,1040,2960,,395,395,,5,1.0,4.0,4.0,,888,,888,1288,25,15.0,10.0,10.0,1951,,,1951,1976,3264,0.0,2694,,-5.0,100.0,-830,1959,0.0,1959,5223,
09/30/2006,5200,899,899,0.0,871,871.0,,285,4.0,0.0,281.0,0.0,304,,,2359,668,1634.0,-966.0,0.0,2173,1204,941.0,263.0,969,2841,,418,418,,0,-4.0,4.0,4.0,,969,,969,1387,0,-9.0,9.0,9.0,1727,,,1727,1727,3114,0.0,2642,,-6.0,148.0,-698,2086,0.0,2086,5200,
12/31/2006,5226,895,895,0.0,854,854.0,,293,3.0,,290.0,,323,,,2365,656,1669.0,-1013.0,0.0,2205,1237,975.0,262.0,968,2861,,371,371,,4,0.0,4.0,4.0,,921,,921,1296,8,0.0,8.0,8.0,1680,,,1680,1688,2984,0.0,2676,,-7.0,219.0,-646,2242,0.0,2242,5226,
03/31/2007,5346,829,829,0.0,887,887.0,,282,2.0,0.0,280.0,0.0,366,,,2364,644,1698.0,-1054.0,0.0,2338,1395,1105.0,290.0,943,2982,,398,398,,3,0.0,3.0,3.0,,987,,987,1388,8,0.0,8.0,8.0,1691,,,1691,1699,3087,0.0,2627,,-13.0,276.0,-631,2259,0.0,2259,5346,
06/30/2007,5563,1057,1057,0.0,869,869.0,,304,4.0,0.0,300.0,0.0,389,,,2619,626,1711.0,-1085.0,0.0,2318,1396,1121.0,275.0,922,2944,,395,395,,6,3.0,3.0,3.0,,1019,,1019,1420,7,0.0,7.0,7.0,1710,,,1710,1717,3137,0.0,2718,,-14.0,331.0,-609,2426,0.0,2426,5563,
12/31/2009,9789,669,669,0.0,689,689.0,,248,,,,,284,,,1890,524,860.0,-336.0,0.0,7375,7117,4087.0,3030.0,258,7899,,362,362,,48,,,,,1432,,1432,1842,5840,,,,2636,,,2636,8476,10318,0.0,2672,,,-2292.0,-956,-576,47.0,-529,9789,
03/31/2010,9676,576,576,0.0,774,774.0,,242,,,,,361,,,1953,480,834.0,-354.0,0.0,7243,6991,4113.0,2878.0,252,7723,,445,445,,48,,,,,1469,,1469,1962,5839,,,,2622,,,2622,8461,10423,0.0,2675,,,-2574.0,-896,-795,48.0,-747,9676,
06/30/2010,9463,514,514,0.0,737,737.0,,235,,,,,458,,,1944,451,804.0,-353.0,0.0,7068,6822,4095.0,2727.0,246,7519,,476,476,,48,,,,,1409,,1409,1933,5880,,,,2536,,,2536,8416,10349,0.0,2679,,,-799.0,-2814,-934,48.0,-886,9463,
09/30/2010,9261,579,579,0.0,792,792.0,,234,,,,,279,,,1884,450,852.0,-402.0,0.0,6927,6678,4075.0,2603.0,249,7377,,464,464,,161,,,,,1391,,1391,2016,8155,,,,518,,,518,8673,10689,0.0,2682,,,-3029.0,-1081,-1428,0.0,-1428,9261,
12/31/2010,8987,460,460,0.0,735,735.0,,260,,,,,302,,,1757,434,858.0,-424.0,0.0,6796,6556,4075.0,2481.0,240,7230,,506,506,,48,,,,,1363,,1363,1917,5880,,,,2762,,,2762,8642,10559,0.0,2685,,,-3209.0,-1048,-1572,0.0,-1572,8987,
03/31/2011,8905,453,453,0.0,734,734.0,,311,,,,,311,,,1809,423,887.0,-464.0,0.0,6673,6447,4080.0,2367.0,226,7096,,519,519,,128,,,,,1356,,1356,2003,8409,,,,511,,,511,8920,10923,0.0,2688,,,-3641.0,-1065,-2018,0.0,-2018,8905,
06/30/2011,8703,368,368,0.0,717,717.0,,331,,,,,312,,,1728,414,903.0,-489.0,0.0,6561,6328,4081.0,2247.0,233,6975,,520,520,,199,,,,,1221,,1221,1940,6130,,,,2799,,,2799,8929,10869,0.0,2690,,,-3793.0,-1063,-2166,0.0,-2166,8703,
09/30/2011,8546,400,400,,755,755.0,,280,,,,,282,,,1717,397,880.0,-483.0,,6432,6208,4079.0,2129.0,224,6829,,465,465,,37,,,,,1444,,1444,1946,7756,,,,1222,,,1222,8978,10924,,2692,,,-3892.0,-1178,-2378,,-2378,8546,
12/31/2011,8399,345,345,0.0,749,749.0,,279,,,,,283,,,1656,380,,,0.0,6363,6135,4106.0,2029.0,228,6743,,480,480,,37,,,,,1284,,1284,1801,6111,,,,2821,,,2821,8932,10733,0.0,2726,,,-3918.0,-1142,-2334,0.0,-2334,8399,
03/31/2012,8331,355,355,0.0,745,745.0,,274,,,,,337,,,1711,364,,,0.0,6256,6032,4093.0,1939.0,224,6620,,472,472,,178,,,,,1250,,1250,1900,6102,,,,2807,,,2807,8909,10809,0.0,2728,,,-4080.0,-1126,-2478,0.0,-2478,8331,
06/30/2012,8236,271,271,0.0,729,729.0,,278,,,,,291,,,1569,354,,,0.0,6313,6065,4188.0,1877.0,248,6667,,440,440,,37,,,,,1252,,1252,1729,6093,,,,2942,,,2942,9035,10764,0.0,2924,,,-4246.0,-1206,-2528,0.0,-2528,8236,
09/30/2012,8194,337,337,0.0,782,782.0,,255,,,,,270,,,1644,364,897.0,-533.0,0.0,6186,5963,4188.0,1775.0,223,6550,,438,438,,37,,,,,1264,,1264,1739,6084,,,,2807,,,2807,8891,10630,0.0,2926,,,-4236.0,-1126,-2436,0.0,-2436,8194,
12/31/2012,8065,285,285,0.0,763,763.0,,258,,,,,276,,,1582,360,,,0.0,6123,5885,4188.0,1697.0,238,6483,,446,446,,34,,,,,1215,,1215,1695,6075,,,,2828,,,2828,8903,10598,0.0,2927,,,-4321.0,-1139,-2533,0.0,-2533,8065,
03/31/2013,7850,302,302,0.0,681,681.0,0.0,255,,,,,301,,,1539,353,,,0.0,5958,5718,4093.0,1625.0,240,6311,,409,409,,35,0.0,,,,1292,,1292,1736,6068,,,,2759,,,2759,8827,10563,0.0,2929,,,-4513.0,-1129,-2713,,-2713,7850,
06/30/2013,7702,271,271,0.0,662,662.0,,256,,,,,284,,,1473,354,,,0.0,5875,5646,4092.0,1554.0,229,6229,,410,410,,154,,,,,1167,,1167,1731,6059,,,,2709,,,2709,8768,10499,0.0,2932,,,-4623.0,-1106,-2797,0.0,-2797,7702,
09/30/2013,7672,288,288,0.0,716,716.0,,245,,,,,305,,,1554,334,914.0,-580.0,0.0,5784,5578,4092.0,1486.0,206,6118,,408,408,,35,,,,,1276,,1276,1719,6051,,,,2571,,,2571,8622,10341,0.0,2937,,,-4600.0,-1006,-2669,0.0,-2669,7672,
12/31/2013,7589,300,300,0.0,686,686.0,,226,,,,,328,,,1540,326,,,0.0,5723,5529,4103.0,1426.0,194,6049,,436,436,,35,,,,,1220,,1220,1691,6042,,,,2577,,,2577,8619,10310,0.0,2943,,,-4654.0,-1010,-2721,0.0,-2721,7589,
06/30/2014,7297,315,315,0.0,644,644.0,,207,,,,,334,,,1500,272,,,0.0,5525,5343,4049.0,1294.0,182,5797,,376,376,,32,,,,,1269,,1269,1677,6009,,,,2460,,,2460,8469,10146,0.0,2957,,,-4812.0,-994,-2849,0.0,-2849,7297,
09/30/2014,7257,322,322,0.0,745,745.0,,197,,,,,248,,,1512,281,867.0,-586.0,0.0,5464,5271,4047.0,1224.0,193,5745,,416,416,,32,,,,,1236,,1236,1684,5991,,,,2651,,,2651,8642,10326,0.0,2962,,,-4831.0,-1200,-3069,0.0,-3069,7257,
12/31/2014,7148,328,328,0.0,704,704.0,0.0,192,,,,,259,46.0,238.0,1483,279,,,0.0,5386,5204,1157.0,4047.0,136,5665,,614,406,208.0,32,0.0,,,32.0,1015,669.0,346,1661,5973,5973.0,,,2546,1760.0,254.0,532,8519,10180,0.0,2969,2969.0,,-4828.0,-1173,-3032,0.0,-3032,7148,
03/31/2015,7011,332,332,0.0,688,688.0,0.0,190,,,,,239,47.0,216.0,1449,278,,,0.0,5284,5146,4053.0,1093.0,91,5562,,601,384,217.0,19,0.0,,,19.0,1052,722.0,330,1672,5920,5920.0,,,2396,1661.0,255.0,480,8316,9988,0.0,2973,2973.0,,-4850.0,-1100,-2977,0.0,-2977,7011,
06/30/2015,6920,328,328,0.0,647,647.0,0.0,179,,,,,235,42.0,215.0,1389,280,,,0.0,5251,5113,4075.0,1038.0,96,5531,,593,375,218.0,7,0.0,,,7.0,1020,679.0,341,1620,5947,5947.0,,,2390,1646.0,259.0,485,8337,9957,0.0,2977,2977.0,,-4899.0,-1115,-3037,0.0,-3037,6920,
09/30/2015,6862,323,323,0.0,678,678.0,0.0,174,,,,,197,34.0,171.0,1372,282,894.0,-612.0,0.0,5208,5044,4074.0,970.0,130,5490,,608,379,229.0,7,0.0,,,7.0,1037,665.0,372,1652,5960,5960.0,,,2628,1884.0,262.0,482,8588,10240,0.0,2981,2981.0,,-4975.0,-1384,-3378,0.0,-3378,6862,
12/31/2015,6792,344,344,0.0,628,628.0,0.0,172,,,,,235,32.0,204.0,1379,280,,,0.0,5133,4977,4073.0,904.0,124,5413,,572,372,200.0,25,0.0,,,25.0,1045,665.0,380,1642,5956,5956.0,,,2571,1825.0,265.0,481,8527,10169,0.0,2985,,,-5002.0,-1360,-3377,0.0,-3377,6792,
03/31/2016,6686,312,312,0.0,626,626.0,0.0,166,,,,,227,34.0,200.0,1331,272,,,0.0,5083,4920,4074.0,846.0,129,5355,,527,351,176.0,7,0.0,,,7.0,1142,747.0,395,1676,5967,5967.0,,,2545,1798.0,272.0,475,8512,10188,0.0,2989,,,-5105.0,-1386,-3502,0.0,-3502,6686,
06/30/2016,6462,269,269,0.0,532,532.0,0.0,162,,,,,196,43.0,196.0,1159,268,,,0.0,5035,4854,4072.0,782.0,138,5303,,495,330,165.0,24,0.0,,,24.0,1065,710.0,355,1584,5975,5975.0,,,2585,1855.0,266.0,464,8560,10144,0.0,2993,,,-5220.0,-1455,-3682,0.0,-3682,6462,
