Date,Revenue,Sales & Services Revenue,Other Revenue,Other Operating Income,Operating Expenses,Selling & Marketing,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2000,36.716999,,,,-24.753,,,,,11.964,-1.332,,,,0.0,,1.332,10.632,-1.425,9.207,0.0,,,9.207,-6.932,2.275,0.0,0.0,2.275,2.275,,21.857999,0.106667,0.106667,0.106667,22.448999,0.1,0.1,0.1,
12/31/2000,40.320999,,,,-26.781,,,,,13.54,-1.746,,,,0.0,,1.746,11.794,-1.604,10.19,0.0,,,10.19,-7.627,2.563,0.0,0.0,2.563,2.563,,22.005,0.113333,0.113333,0.113333,23.133,0.113333,0.113333,0.113333,
03/31/2001,45.139,,,,-30.398001,,,,,14.741,-1.721,,1.721,,0.0,,0.0,13.02,-1.79,11.23,0.0,,,11.23,-8.545,2.685,0.0,0.0,2.685,2.685,,22.125,0.12,0.12,0.12,23.308499,0.113333,0.113333,0.113333,
06/30/2001,49.473999,,,,-32.827,,,,,16.646999,-0.589,,0.589,,0.0,,0.0,16.057999,-2.473,13.585,0.0,,,13.584999,-9.876,3.709,0.0,0.0,3.709,3.709,,28.368001,0.133333,0.133333,0.133333,29.4315,0.126667,0.126667,0.126667,
09/30/2001,51.582001,,,,-34.623001,,,,,16.959,-0.41,,0.41,,0.0,,0.0,16.549,-2.634,13.915,0.0,,,13.915,-9.971,3.944,0.0,0.0,3.944,3.944,,29.956501,0.133333,0.133333,0.133333,30.641999,0.126667,0.126667,0.126667,
12/31/2001,56.117001,,,,-37.174999,,,,,18.941999,-0.124,,,,0.0,,0.124,18.817999,-3.044,15.774,0.0,,,15.774,-11.207,4.567,0.0,0.0,4.567,4.567,,30.116999,0.153333,0.153333,0.153333,30.742501,0.146667,0.146667,0.146667,
03/31/2002,58.290001,,,,-37.539001,,,,,20.750999,-0.35,,0.35,,0.0,,0.0,20.400999,-3.582,16.819,0.0,,,16.818999,-11.447,5.372,0.0,0.0,5.372,5.372,,30.209999,0.18,0.18,0.18,30.7545,0.173333,0.173333,0.173333,
06/30/2002,61.713001,,,,-38.945999,,,,,22.767,-0.269,,0.269,,0.0,,0.0,22.498,-3.925,18.573,0.0,,,18.573,-12.685,5.888,0.0,0.0,5.888,5.888,,30.5625,0.193333,0.193333,0.193333,31.149001,0.186667,0.186667,0.186667,
09/30/2002,63.279999,,,,-39.500999,,,,,23.778999,-0.317,,0.317,,0.0,,0.0,23.461999,-4.148,19.313999,0.0,,,19.314,-13.093,6.221,0.0,0.0,6.221,6.221,,30.746999,0.2,0.2,0.2,31.241999,0.2,0.2,0.2,
12/31/2002,68.241997,,,,-43.216,,,,,25.025999,-0.254,,0.254,,0.0,,0.0,24.771999,-4.36,20.412001,0.0,,,20.411999,-13.871,6.541,0.0,0.0,6.541,6.541,,30.8175,0.213333,0.213333,0.213333,31.222501,0.206667,0.206667,0.206667,
03/31/2003,69.551003,,,,-43.681,,,,,25.870001,-0.297,,0.297,,0.0,,0.0,25.573001,-4.542,21.031,-0.186,,,21.217001,-14.214,7.003,0.0,0.0,7.003,7.003,,30.8325,0.23,0.22,0.22,31.157999,0.22,0.22,0.22,
06/30/2003,72.783997,,,,-45.491001,,,,,27.292999,-0.432,,0.432,,0.0,,0.0,26.860999,-4.771,22.09,-0.181,,,22.270999,-14.934,7.337,0.0,0.0,7.337,7.337,,29.771999,0.246667,0.24,0.24,30.245999,0.24,0.24,0.24,
09/30/2003,72.079002,,,,-45.375999,,,,,26.702999,-0.404,,0.404,,0.0,,0.0,26.298999,-4.655,21.643999,-0.548,,,22.191999,-14.661,7.531,0.0,0.0,7.531,7.531,,29.876999,0.253333,0.23,0.23,30.449999,0.246667,0.23,0.23,
12/31/2003,76.763,,,,-47.935001,,,,,28.827999,-0.399,,0.399,,0.0,,0.0,28.428999,-5.099,23.33,-0.606,,,23.935999,-15.681,8.255,0.0,0.0,8.255,8.255,,30.074999,0.27,0.25,0.25,30.809,0.27,0.25,0.25,
03/31/2004,79.746002,,,,-49.551998,,,,,30.194,-0.427,,0.427,,0.0,,0.0,29.767,-5.246,24.521,-1.75,,,26.271,-16.650999,9.62,0.0,0.0,9.62,9.62,,30.158001,0.32,0.26,0.26,30.832001,0.31,0.26,0.26,
06/30/2004,83.738998,,,,-52.625,,,,,31.114,-0.494,,,,0.0,,0.494,30.62,-5.215,25.405001,-0.411,,,25.816,-17.582001,8.234,0.0,0.0,8.234,8.234,,30.238001,0.27,0.26,0.26,30.862,0.27,0.25,0.25,
09/30/2004,81.061996,,,,-49.393002,,,,,31.669001,-0.447,,0.0,,0.0,,0.447,31.222001,-5.893,25.329,-4.326,,,29.655001,-16.489,13.166,0.0,0.0,13.166,13.166,,29.886,0.44,0.3,0.3,30.454,0.43,0.29,0.29,
12/31/2004,87.325996,,,,-55.126999,,,,,32.199001,-0.643,,0.643,,0.0,,0.0,31.556001,-5.433,26.122999,0.061,,,26.062001,-17.375999,8.686,0.0,0.0,8.686,8.686,,29.299,0.3,0.3,0.3,29.879999,0.29,0.29,0.29,
03/31/2005,92.289001,,,,-58.57,,,,,33.719002,-0.902,,,,,,0.902,32.817002,-5.579,27.238001,,,,27.238002,-18.586,8.652,,,8.652,8.652,,29.451,0.29,0.29,0.29,30.024,0.29,0.29,0.29,
06/30/2005,98.786003,,,,-61.137001,,,,,37.648998,-0.983,,0.983,,,,0.0,36.665998,-6.438,30.228001,0.304,,,29.923998,-20.242001,9.682,0.0,0.0,9.682,9.682,,29.537001,0.33,0.34,0.34,30.165001,0.32,0.33,0.33,
09/30/2005,98.410004,,,,-62.819,,,,,35.591,-1.098,1.098,,,0.0,,0.0,34.493,-5.898,28.594999,0.789,,,27.806,-19.445,8.361,0.0,0.0,8.361,8.361,,29.625,0.28,0.31,0.31,30.287001,0.28,0.3,0.3,
12/31/2005,101.952003,,,,-66.737999,,,,,35.214001,-4.042,,2.752,-0.51,0.0,,1.8,31.172001,-5.442,28.482,-0.018,,,25.748001,-20.042999,8.457,0.0,0.0,8.457,8.457,,29.681,0.28,0.28,0.28,30.111,0.28,0.28,0.28,
03/31/2006,113.634,,,0.0,-73.853,,,,,39.781,-1.702,1.702,,,0.0,,0.0,38.079,-5.625,32.454,0.0,,,32.454,-23.729,8.725,0.0,0.0,8.725,8.725,,29.693,0.29,0.29,0.29,30.219,0.29,0.29,0.29,
06/30/2006,119.955002,,,,-76.655998,,,,,43.299,-2.049,,0.0,,0.0,,2.049,41.25,-6.515,34.735001,0.0,,,34.735,-24.631001,10.104,0.0,0.0,10.104,10.104,,29.794001,0.34,0.34,0.34,30.472,0.33,0.33,0.33,
09/30/2006,113.546,,,,-74.051,,,,,39.495,-1.924,,,,0.0,,1.924,37.571,-6.05,31.521,0.022,,,31.499,-22.137,9.362,0.0,0.0,9.362,9.362,,29.875,0.31,0.31,0.31,30.423,0.31,0.31,0.31,
12/31/2006,116.843,,,,-76.687,,,,,40.156,-2.443,,2.013,,0.0,,0.43,37.713,-5.928,9.77,-0.222,,,32.007,-22.445,9.548,0.0,0.0,9.548,9.548,,29.924,0.33,0.32,0.32,30.477,0.32,0.31,0.31,
03/31/2007,125.190002,,,,-80.848,,,,,44.341999,-2.479,,,,0.0,,2.479,41.862999,-6.647,35.216,-0.198,,,35.413999,-25.136999,10.277,0.0,0.0,10.277,10.277,,30.046,0.34,0.34,0.34,30.504999,0.34,0.33,0.33,
06/30/2007,128.406,,,,-83.615,,,,,44.791,-2.16,,,,0.0,,2.16,42.631,-6.359,36.272,-0.558,,,36.83,-25.638,11.192,0.0,0.0,11.192,11.192,,30.541,0.37,0.35,0.35,31.085,0.36,0.34,0.34,
09/30/2007,127.801,,,,-83.283,,,,,44.518,-2.158,,,,0.0,,2.158,42.36,-6.577,35.783,0.382,,,35.401,-25.411,9.99,0.0,0.0,9.99,9.99,,30.778,0.32,0.34,0.34,31.175,0.32,0.33,0.33,
12/31/2007,141.482,,,0.0,-92.092,16.585,,,75.507,49.39,-2.852,2.852,,,0.0,,0.0,46.538,-7.444,39.094,-1.349,,,40.443,-27.727,12.716,0.0,0.0,12.716,12.716,,31.11,0.41,0.37,0.37,31.644,0.4,0.36,0.36,
03/31/2008,145.729,,,0.0,-94.635,,,,,51.094,-2.792,2.792,,,,,0.0,48.302,-7.915,40.387,-0.32,,,40.707,-29.001,11.706,0.0,0.0,11.706,11.706,0.0,31.298,0.37,0.38,0.38,31.79,0.37,0.38,0.38,
06/30/2008,150.722,,,0.0,-96.808,,,,,53.914,-2.503,,2.503,,,,0.0,51.411,-8.394,43.017,1.163,,,41.854,-30.61,11.244,0.0,0.0,11.244,11.244,0.0,31.479,0.36,0.4,0.4,31.962,0.35,0.39,0.39,
09/30/2008,150.749,,,0.0,-98.161,,,,,52.588,-2.331,,2.331,,,,,50.257,-8.017,42.24,-0.467,,,42.707,-30.323,12.384,0.0,0.0,12.384,12.384,,31.719,0.39,0.4,0.4,32.303,0.38,0.39,0.39,
12/31/2008,153.057,,,0.0,-100.104,,,,,52.953,-2.312,,2.312,,,,,50.641,-8.774,41.867,1.209,,,40.658,-28.946,11.712,0.0,0.0,11.712,11.712,,62.997483,0.37,0.41,0.42,63.568202,0.37,0.41,0.42,
03/31/2009,163.424,163.424,,0.0,-108.544,,,5.647,102.897,54.88,-2.027,,2.027,,,,0.0,52.853,-8.546,44.307,-0.008,-0.008,0.0,44.315,-31.699,12.616,0.0,0.0,12.616,12.6392,0.0312,31.244,0.4,0.4,0.404532,31.406,0.4,0.4,0.400993,
06/30/2009,168.844,168.844,,0.0,-110.44,,,5.702,104.738,58.404,-2.038,,2.038,,,,0.0,56.366,-9.365,47.001,0.148,0.148,0.0,46.853,-33.273,13.58,,0.0,13.58,13.7306,0.0026,30.66,0.44,0.45,0.447834,30.828,0.44,0.45,0.447834,
09/30/2009,167.873,167.873,,0.0,-111.096,,,5.743,105.353,56.777,-1.921,,1.921,,,,0.0,54.856,-8.944,45.912,-0.41,-0.41,0.0,46.322,-32.519,13.803,,0.0,13.803,13.4268,0.0338,30.195,0.46,0.44,0.44467,30.528,0.45,0.44,0.441107,
12/31/2009,166.002,166.002,,0.0,-111.552,,,5.697,105.855,54.45,-1.768,1.768,1.768,0.0,,,0.0,52.682,-8.669,44.013,0.153,0.153,0.0,43.86,-31.711,12.149,0.0,0.0,12.149,12.445,0.143,30.206,0.4,0.42,0.412004,30.686,0.4,0.41,0.412004,
03/31/2010,169.164,169.164,,0.0,-115.65,,,5.652,109.998,53.514,-1.867,,1.867,,,,0.0,51.647,-8.578,43.069,-0.443,-0.443,0.0,43.512,-30.815,12.697,0.0,0.0,12.697,12.27935,0.02535,30.212,0.42,0.41,0.406439,30.716,0.41,0.41,0.406439,
06/30/2010,175.698,175.698,,0.0,-117.931,,,5.856,112.075,57.767,-3.163,3.163,3.163,0.0,,,0.0,54.604,-9.088,45.516,-1.112,-1.112,0.0,46.628,-33.486,13.142,0.0,0.0,13.142,12.0859,0.0559,30.239,0.43,0.42,0.399679,30.655,0.43,0.41,0.399679,
09/30/2010,176.343,176.343,,0.0,-120.398,,,6.975,113.423,55.945,-4.04,,4.04,,,,0.0,51.905,-7.644,44.261,-0.874,-0.874,0.0,45.135,-32.017,13.118,0.0,0.0,13.118,12.2856,0.0416,30.251,0.43,0.404747,0.406122,30.62,0.43,0.401457,0.402815,
12/31/2010,183.371,183.371,,0.0,-123.1,,,6.43,116.67,60.271,-4.415,,4.415,,,,0.0,55.856,-8.626,47.23,2.009,2.009,0.0,45.221,-34.353,10.868,0.0,0.0,10.868,12.91535,0.03835,30.318,0.36,0.43,0.425996,30.763,0.35,0.43,0.425996,
03/31/2011,179.415,179.415,,0.0,-122.774,,,5.946,116.828,56.641,-3.941,,3.941,,,,0.0,52.7,-8.336,44.364,-0.264,-0.264,0.0,44.628,-32.935,11.693,,0.0,11.693,11.44525,0.01625,30.42,0.38,0.38,0.376241,31.024,0.38,0.38,0.376241,
06/30/2011,187.522,187.522,,0.0,-127.591,,,6.133,121.458,59.931,-3.631,,3.631,,,,0.0,56.3,-8.899,47.401,1.024,1.024,0.0,46.377,-34.747,11.63,0.0,0.0,11.63,12.70275,0.04875,30.415,0.38,0.42,0.417648,31.335,0.37,0.4,0.401556,
09/30/2011,194.84,194.84,,0.147,-135.262,,,6.531,128.731,59.725,-3.597,,3.597,,,,0.0,56.128,-8.451,47.677,0.06,0.06,0.0,47.617,-34.491,13.126,0.0,0.0,13.126,14.1493,0.9633,30.436,0.43,0.43,0.464887,31.162,0.42,0.42,0.450913,
12/31/2011,221.148,221.148,,0.466,-156.21,,,7.41,148.8,65.404,-4.169,,4.169,,,,0.0,61.235,-9.982,51.253,-0.239,-0.239,0.0,51.492,-37.944,13.548,0.0,0.0,13.548,13.93546,0.62646,30.537,0.44,0.44,0.456347,31.323,0.43,0.43,0.45,
03/31/2012,228.899,228.899,,0.395,-158.685,,,7.341,151.344,70.609,-4.267,,4.267,,,,0.0,66.342,-10.816,55.526,0.587,0.587,0.0,54.939,-40.163,14.776,0.0,0.0,14.776,15.3968,0.0338,30.619,0.48,0.51,0.502851,31.401,0.47,0.5,0.501076,
06/30/2012,231.581,231.581,,0.316,-160.27,,,7.463,152.807,71.627,-4.159,,4.159,,,,0.0,67.468,-11.263,56.205,0.66,0.66,0.0,55.545,-40.009,15.536,,0.0,15.536,16.196,0.0,30.743,0.51,0.53,0.53,31.577,0.49,0.51,0.51,
09/30/2012,226.399,226.399,,0.392,-159.242,,,7.635,151.607,67.549,-3.537,,3.537,,,,0.0,64.012,-10.247,53.765,0.0,0.0,0.0,53.765,-38.328,15.437,,0.0,15.437,15.4864,0.0494,30.819,0.5,0.5,0.502495,31.697,0.49,0.49,0.491559,
12/31/2012,242.775,242.775,,0.461,-170.372,,0.0,7.652,162.72,72.864,-5.01,,5.01,,0.0,0.0,0.0,67.854,-10.47,57.384,-1.202,-1.202,0.0,58.586,-41.772,16.814,0.0,0.0,16.814,15.5288,-0.0832,30.912,0.54,0.51,0.502355,31.757,0.53,0.49,0.48738,
03/31/2013,258.189,258.189,,0.402,-176.669,,,8.008,168.661,81.922,-7.542,,7.542,,,,0.0,74.38,-12.269,62.111,-0.162,-0.162,0.0,62.273,-44.462,17.811,0.0,0.0,17.811,16.2177,-1.4313,31.217,0.57,0.57,0.519515,31.881,0.56,0.56,0.515105,
06/30/2013,267.102,267.102,,0.696,-182.124,,,8.125,173.999,85.674,-7.512,7.512,7.512,0.0,,,0.0,78.162,-12.71,65.452,-0.384,-0.384,0.0,65.836,-47.273,18.563,0.0,0.0,18.563,18.27,0.091,31.208,0.59,0.59,0.585427,31.862,0.58,0.58,0.582856,
09/30/2013,263.035,263.035,,1.095,-184.148,,,8.239,175.909,79.982,-7.293,7.293,7.293,0.0,,,0.0,72.689,-11.161,61.528,-0.739,-0.739,0.0,62.267,-45.496,16.771,0.0,0.0,16.771,16.122126,0.090126,31.376,0.53,0.510964,0.513836,31.991,0.52,0.4969,0.499717,
12/31/2013,279.095,279.095,,0.958,-192.506,,0.0,8.33,184.176,87.547,-7.184,7.184,7.188,-0.004,0.0,0.0,0.0,80.363,-13.015,67.348,-3.82,-3.82,0.0,71.168,-51.61,19.558,0.0,0.0,19.558,15.739456,0.001456,31.549,0.62,0.498843,0.498889,32.082,0.61,0.49093,0.490976,
03/31/2014,259.561,259.561,,0.764,-180.337,,,8.259,172.078,79.988,-6.96,6.96,6.96,0.0,0.0,,0.0,73.028,-12.982,60.046,-0.068,-0.068,0.0,60.114,-42.919,17.195,0.0,0.0,17.195,13.22516,-3.90184,31.716,0.54,0.55,0.416987,32.12,0.54,0.54,0.416987,
06/30/2014,278.227,278.227,,0.539,-191.387,,,8.436,182.951,87.379,-6.892,6.892,6.892,0.0,,,0.0,80.487,-12.798,67.689,-0.483,-0.483,0.0,68.172,-49.211,18.961,0.0,0.0,18.961,18.894428,0.416428,31.825,0.6,0.59,0.593698,32.233,0.59,0.58,0.592919,
09/30/2014,502.35,555.543,-53.193,2.158,-409.425,,,20.838,388.587,95.083,-55.941,39.054,39.054,0.0,,,16.887,39.142,-0.022,39.12,1.697,1.697,0.0,37.423,-47.257,-9.834,-2.239,0.0,-12.073,9.25085,19.62685,46.32,-0.26,-0.223364,0.199716,46.32,-0.26,-0.223364,0.199716,
12/31/2014,581.811,645.619,-63.808,3.577,-453.474,,0.0,22.811,430.663,131.914,-30.379,30.379,30.379,0.0,0.0,0.0,0.0,101.535,-22.301,79.234,0.15,0.15,0.0,79.084,-51.705,27.379,-2.264,0.0,25.115,28.356613,3.091613,47.384,0.53,0.533197,0.598443,47.828,0.53,0.533136,0.597776,
03/31/2015,570.445,638.197,-67.752,2.651,-459.845,,,22.818,437.027,113.251,-30.247,30.247,30.247,0.0,,,0.0,83.004,-14.249,68.755,0.0,0.0,0.0,68.755,-47.717,21.038,-2.264,0.0,18.774,19.7904,1.0164,47.572,0.39,0.39,0.416009,47.905,0.39,0.39,0.411217,
06/30/2015,641.95,707.733,-65.783,3.989,-499.817,,,23.612,476.205,146.122,-30.182,30.182,30.182,0.0,,,0.0,115.94,-25.193,90.747,0.0,0.0,0.0,90.747,-57.072,33.675,-2.264,0.0,31.411,38.072777,6.661777,47.678,0.66,0.66,0.79854,48.099,0.65,0.65,0.788501,
09/30/2015,650.227,712.719,-62.492,4.935,-489.123,,,24.106,465.017,166.039,-30.242,30.242,30.242,0.0,,,0.0,135.797,-37.518,98.279,0.0,0.0,0.0,98.279,-55.618,42.661,-2.264,0.0,40.397,38.8636,-1.5334,47.707,0.85,0.85,0.814631,51.275,0.78,0.78,0.750095,
12/31/2015,704.3,774.3,-70.0,4.6,-516.8,,,27.0,489.8,192.1,-30.9,30.9,30.9,0.0,,,0.0,161.2,-36.8,124.4,1.0,1.0,0.0,123.4,-57.8,65.6,-2.3,0.0,63.3,41.48,-22.82,49.277,1.28,1.31,0.841772,52.888,1.19,1.26,0.828522,
03/31/2016,724.678,818.286,-93.608,6.579,-594.946,,,29.072,565.874,136.311,-30.81,30.81,,,0.0,,0.0,105.501,-20.797,84.704,0.0,0.0,0.0,84.704,-53.841,30.863,-2.264,0.0,28.599,29.433011,0.834011,53.665,0.53,0.53,0.548458,54.001,0.53,0.53,0.545444,
06/30/2016,758.499,859.832,-101.333,7.351,-597.453,,,30.054,567.399,168.397,-31.913,31.913,,,,,0.0,136.484,-33.365,103.119,0.0,0.0,0.0,103.119,-57.05,46.069,-2.264,0.0,43.805,43.766946,-0.038054,53.739,0.82,0.82,0.814435,57.327,0.8,0.8,0.799336,
09/30/2016,822.216,968.822,-146.606,4.445,-668.508,,,31.585,636.923,158.153,-32.915,32.915,,,,,0.0,125.238,-29.658,95.58,0.0,0.0,0.0,95.58,-55.626,39.954,-2.264,0.0,37.69,46.23255,8.54255,53.757,0.7,0.7,0.860028,54.258,0.69,0.69,0.847443,
12/31/2016,1192.5,1675.5,-483.0,0.0,-1288.7,,,46.9,1241.8,-96.2,-72.8,46.8,46.8,0.0,,-5.3,31.3,-169.0,87.1,-81.9,-4.0,-4.0,0.0,-77.9,-57.6,-135.5,-2.3,0.0,-137.8,42.371032,184.171032,74.846,-1.84,-1.89,0.56611,74.846,-1.84,-1.89,0.56611,
03/31/2017,1878.6,2855.8,-977.2,0.0,-1727.6,,,71.3,1656.3,151.0,-46.4,52.4,52.4,0.0,,-4.9,-1.1,104.6,-17.5,87.1,478.2,478.2,0.0,-391.1,-54.1,-445.2,-2.3,0.0,-447.5,42.861098,12.161098,116.563,-3.84,0.26,0.367708,119.475,-3.84,0.162511,0.264299,
06/30/2017,1947.0,3020.6,-1073.6,5.7,-1757.4,,,71.6,1685.8,195.3,-55.7,56.1,56.1,0.0,,,-0.4,139.6,-35.6,104.0,-3.9,-3.9,0.0,107.9,-51.6,56.3,-2.2,0.0,54.1,70.390794,20.190794,116.852,0.46,0.43,0.602393,119.581,0.45,0.42,0.588846,
09/30/2017,1990.7,3069.0,-1078.3,5.0,-1816.8,,,73.0,1743.8,178.9,-60.4,61.4,61.4,0.0,,,-1.0,118.5,-27.1,91.4,12.4,12.4,0.0,79.0,-50.7,28.3,0.0,0.0,28.3,54.2709,13.5709,119.949,0.24,0.34,0.45245,122.7,0.23,0.33,0.440602,
12/31/2017,2003.0,3232.1,-1229.1,0.0,-2350.5,,,73.0,2277.5,-347.5,-46.1,61.2,61.2,0.0,,-6.6,-8.5,-393.6,577.0,183.4,5.2,5.2,0.0,178.2,-45.6,132.6,0.0,0.0,132.6,21.290855,-116.509145,120.223,1.1,1.15,0.177095,122.249,1.09,1.13,0.176952,
03/31/2018,2077.0,2077.0,,0.0,-1925.4,,,70.6,1854.8,151.6,-58.0,63.6,63.6,0.0,,-5.8,0.2,93.6,-5.5,88.1,123.3,123.3,0.0,-35.2,-51.2,-86.4,0.0,0.0,-86.4,45.48,8.58,120.552,-0.72,0.31,0.377265,122.354,-0.72,0.3,0.370124,
06/30/2018,2072.8,2072.8,0.0,0.0,-3891.1,,,70.3,3820.8,-1818.3,-59.5,67.4,67.4,0.0,,-7.5,-0.4,-1877.8,100.8,-1777.0,0.0,0.0,0.0,-1777.0,-60.7,-1837.7,0.0,0.0,-1837.7,63.655975,1901.355975,120.843,-15.21,-15.21,0.526766,122.63,-15.21,-15.21,0.294819,
09/30/2018,2115.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.675,0.675,0.975,,0.675,0.675,0.975,
12/31/2018,2166.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.73,1.04,,0.73,0.73,1.04,
