Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Real Estate Investments,Other Investments,Net Receivables,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2008,879043,43553,15265.0,,684219.0,,,0.0,,6247.0,,,,,,,,89537,-468.0,89069,0.0,,,,,,,145024,,0.0,410353.0,,,,,425459,,,,,,,,,30152,865964,14109.0,1016.0,,,-4125.0,26128.0,-24180.0,12948,131,13079,879043,
09/30/2008,804390,50180,8000.0,,603785.0,,,0.0,,5298.0,,,,,,,,98662,-459.0,98203,0.0,,,,,,,145127,,0.0,416153.0,,,,,367797,,,,,,,,,34140,818090,15109.0,14.0,,,-4117.0,833.0,-25634.0,-13795,95,-13700,804390,
12/31/2008,850963,45326,,,,,,0.0,,6337.0,,,,,,,,92034,-690.0,91344,0.0,,,,,,,799300,,0.0,540526.0,,,,,302495,,,,,,,,,38579,881600,28909.0,19.0,,,-4111.0,-23191.0,-32357.0,-30731,94,-30637,850963,
03/31/2009,946950,53754,34050.0,34050.0,703546.0,264044.0,438157.0,,1345.0,6047.0,69707.0,75733.0,-6026.0,51213.0,51213.0,0.0,0.0,120920,-840.0,120080,0.0,0.0,0.0,0.0,13282.0,666.0,,15525,,,557100.0,,,103788.0,453312.0,352411,,,352411.0,,,,,1478.0,41969,952958,59709.0,,,,-4033.0,-33477.0,-28303.0,-6104,96,-6008,946950,
06/30/2009,892290,46662,8500.0,8500.0,672966.0,250666.0,420691.0,,1609.0,6871.0,70813.0,78307.0,-7494.0,51968.0,51968.0,0.0,0.0,122781,-831.0,121950,0.0,0.0,0.0,0.0,16894.0,319.0,,18128,,,425848.0,,,81713.0,344135.0,411130,,,411130.0,,,,,885.0,46195,884058,65809.0,30.0,,30.0,-4024.0,-18863.0,-34815.0,8137,95,8232,892290,
09/30/2009,866601,55620,9550.0,9550.0,640331.0,235859.0,402774.0,,1698.0,6070.0,73116.0,81230.0,-8114.0,50649.0,50649.0,0.0,0.0,123765,-974.0,122791,0.0,0.0,0.0,0.0,12443.0,162.0,,19634,,,489526.0,,,124112.0,365414.0,314255,,,314255.0,,,,,949.0,51465,856195,65809.0,50.0,,50.0,-4022.0,-25171.0,-26355.0,10311,95,10406,866601,
12/31/2009,841784,64683,7000.0,7000.0,607461.0,222250.0,384684.0,,527.0,6095.0,74433.0,83938.0,-9505.0,54878.0,54878.0,0.0,0.0,129311,-1441.0,127870,0.0,0.0,0.0,0.0,11101.0,215.0,,17359,,,449779.0,0.0,0.0,105804.0,343975.0,330825,0.0,0.0,330825.0,217.0,,,,589.0,56002,837412,65809.0,57.0,,57.0,-4019.0,-33921.0,-23648.0,4278,94,4372,841784,
03/31/2010,2360210,55445,25491.0,25491.0,338096.0,75955.0,252353.0,,9788.0,9468.0,75174.0,83008.0,-7834.0,1870040.0,1870040.0,0.0,0.0,1945214,-36630.0,1908584,0.0,0.0,0.0,0.0,10044.0,57.0,,13025,,,,,,,,2351848,,,2351848.0,,,,,888.0,17999,2370735,65809.0,,,,-3960.0,-50933.0,-21530.0,-10614,89,-10525,2360210,
06/30/2010,2343576,49677,42068.0,42068.0,318733.0,66633.0,245305.0,,6795.0,9265.0,76660.0,82185.0,-5525.0,1862039.0,1862039.0,0.0,0.0,1938699,-38142.0,1900557,0.0,0.0,0.0,0.0,7926.0,172.0,,15178,,,,,,,,2326345,,,2326345.0,,,,,873.0,18096,2345314,76409.0,,,,-3955.0,-56945.0,-17247.0,-1738,0,-1738,2343576,
09/30/2010,2288730,27920,44945.0,44945.0,309073.0,63208.0,239585.0,,6280.0,9009.0,80969.0,82891.0,-1922.0,1829006.0,1829006.0,0.0,0.0,1909975,-38401.0,1871574,0.0,0.0,0.0,0.0,6134.0,100.0,,19975,,,,,,,,2269894,,,2269894.0,,,,,1071.0,17823,2288788,78209.0,4.0,,4.0,-3954.0,-61017.0,-13300.0,-58,0,-58,2288730,
12/31/2010,2261780,37012,46524.0,46524.0,301007.0,60262.0,232634.0,,8111.0,8713.0,85330.0,85883.0,-553.0,1799256.0,1799256.0,0.0,0.0,1884586,-39691.0,1844895,0.0,0.0,0.0,0.0,5543.0,143.0,,17943,,,,0.0,0.0,,0.0,2242588,0.0,0.0,2242588.0,208.0,32.0,176.0,5462.0,1209.0,12922,2262181,78309.0,7.0,,7.0,-3953.0,-62733.0,-12031.0,-401,0,-401,2261780,
03/31/2011,2244916,34298,37792.0,37792.0,297375.0,61353.0,229838.0,,6184.0,8660.0,83447.0,84152.0,-705.0,1803437.0,1803437.0,0.0,0.0,1886884,-39088.0,1847796,0.0,0.0,0.0,0.0,4498.0,58.0,,14439,,,,,,,,2225998,,,2225998.0,,,,,750.0,16931,2243679,78809.0,,,,-3912.0,-63693.0,-9967.0,1237,0,1237,2244916,
06/30/2011,2195795,17488,33609.0,33609.0,279946.0,54764.0,222849.0,,2333.0,8523.0,82902.0,81802.0,1100.0,1793769.0,1793769.0,0.0,0.0,1876671,-38867.0,1837804,0.0,0.0,0.0,0.0,3866.0,246.0,,14313,,,,,,,,2180123,,,2180123.0,,,,,408.0,16742,2197273,78809.0,1.0,,1.0,-3911.0,-67449.0,-8928.0,-1478,0,-1478,2195795,
09/30/2011,2172336,18174,10596.0,10596.0,297577.0,55298.0,216584.0,,25695.0,8327.0,85064.0,81591.0,3473.0,1771717.0,1771717.0,0.0,0.0,1856781,-39544.0,1817237,0.0,0.0,0.0,0.0,3909.0,295.0,,16221,,,,,,,,2162457,,,2162457.0,,,,,329.0,15541,2178327,80288.0,2.0,,2.0,-3910.0,-73489.0,-8882.0,-5991,0,-5991,2172336,
12/31/2011,2147216,28442,12044.0,12044.0,297552.0,58830.0,210659.0,,28063.0,8062.0,87307.0,82311.0,4996.0,1733215.0,1733215.0,0.0,0.0,1820522,-39263.0,1781259,0.0,0.0,0.0,0.0,3546.0,118.0,,16193,,,142943.0,0.0,0.0,142943.0,0.0,1989040,0.0,0.0,1989040.0,0.0,0.0,0.0,6507.0,435.0,8437,2147362,86280.0,3.0,,3.0,-3909.0,-74525.0,-7995.0,-146,0,-146,2147216,
03/31/2012,2114944,8569,24349.0,24349.0,288531.0,58319.0,202422.0,,27790.0,7820.0,90231.0,82489.0,7742.0,1714182.0,1714182.0,0.0,0.0,1804413,-38064.0,1766349,0.0,0.0,0.0,0.0,2929.0,182.0,,16215,,,,,,,,2100251,,,2100251.0,,,,,296.0,14415,2114962,86426.0,,,,-3886.0,-75775.0,-6783.0,-18,0,-18,2114944,
06/30/2012,2066335,19182,38858.0,38858.0,251774.0,47436.0,194098.0,,10240.0,7460.0,89981.0,79597.0,10384.0,1675687.0,1675687.0,0.0,0.0,1765668,-35556.0,1730112,0.0,0.0,0.0,0.0,3053.0,168.0,,15728,,,,,,,,2050356,,,2050356.0,,,,,336.0,14557,2065249,86445.0,1.0,,1.0,-3885.0,-74564.0,-6911.0,1086,0,1086,2066335,
09/30/2012,2016503,7783,45805.0,45805.0,238859.0,46596.0,183504.0,,8759.0,7174.0,94410.0,80268.0,14142.0,1637442.0,1637442.0,0.0,0.0,1731852,-33517.0,1698335,0.0,0.0,0.0,0.0,1551.0,765.0,,16231,,,155825.0,,,155825.0,0.0,1841843,,,1841843.0,,,,,287.0,13641,2011596,86445.0,1.0,,1.0,-3885.0,-73445.0,-4209.0,4907,0,4907,2016503,
12/31/2012,1989856,8513,37563.0,37563.0,230323.0,40835.0,174896.0,,14592.0,6875.0,95280.0,77017.0,18263.0,1621774.0,1621774.0,0.0,0.0,1717054,-30707.0,1686347,0.0,0.0,0.0,0.0,778.0,657.0,,18800,,,115577.0,0.0,0.0,115577.0,0.0,1851465,0.0,0.0,1851465.0,0.0,0.0,0.0,778.0,178.0,12853,1981029,86445.0,1.0,,1.0,-3885.0,-70796.0,-2938.0,8827,0,8827,1989856,
03/31/2013,1979386,27733,38646.0,38646.0,201197.0,31589.0,167760.0,,1848.0,6657.0,93981.0,74162.0,19819.0,1622660.0,1622660.0,0.0,0.0,1716641,-28487.0,1688154,0.0,0.0,0.0,0.0,,599.0,,16400,,,208138.0,,,208138.0,0.0,1747711,,,1747711.0,,,,,225.0,13341,1969415,86445.0,1.0,,1.0,-3885.0,-72042.0,-548.0,9971,0,9971,1979386,
06/30/2013,1967518,13867,40149.0,40149.0,198397.0,42626.0,154705.0,,1066.0,6458.0,89671.0,69755.0,19916.0,1627224.0,1627224.0,0.0,0.0,1716895,-26290.0,1690605,0.0,0.0,0.0,0.0,,1175.0,,16867,,,136030.0,,,136030.0,0.0,1809886,,,1809886.0,,,,64.0,871.0,13310,1960161,86445.0,1.0,,1.0,-3885.0,-74025.0,-1179.0,7357,0,7357,1967518,
09/30/2013,1981785,9532,41023.0,41023.0,198200.0,52647.0,139798.0,,5755.0,6340.0,83271.0,65268.0,18003.0,1631084.0,1631084.0,0.0,0.0,1714355,-24861.0,1689494,0.0,0.0,0.0,0.0,23930.0,928.0,,12338,,,164743.0,,,164743.0,0.0,1770834,,,1770834.0,,,,,389.0,12383,1948349,86445.0,,,,-3885.0,-47896.0,-1228.0,33436,0,33436,1981785,
12/31/2013,1966061,11281,62383.0,62383.0,164588.0,23404.0,128919.0,,12265.0,6150.0,78549.0,59615.0,18934.0,1630859.0,1630859.0,0.0,0.0,1709408,-24618.0,1684790,0.0,0.0,0.0,0.0,22716.0,1063.0,,13090,,,78115.0,0.0,0.0,78115.0,0.0,1862636,0.0,0.0,1862636.0,0.0,0.0,0.0,,180.0,12295,1953226,86445.0,,,,-3885.0,-69719.0,-6.0,12835,0,12835,1966061,
03/31/2014,1921538,10611,35041.0,35041.0,151758.0,29987.0,118617.0,,3154.0,6097.0,75989.0,56391.0,19598.0,1628916.0,1628916.0,0.0,0.0,1704905,-24009.0,1680896,0.0,0.0,0.0,0.0,20710.0,1155.0,,15270,,,52757.0,,,52757.0,0.0,1847568,,,1847568.0,,,,,111.0,14203,1914639,86445.0,,,,-3885.0,-76134.0,473.0,6899,0,6899,1921538,
06/30/2014,1916618,4662,44131.0,44131.0,150682.0,34295.0,113598.0,,2789.0,6059.0,73353.0,53003.0,20350.0,1627898.0,1627898.0,0.0,0.0,1701251,-22699.0,1678552,0.0,0.0,0.0,0.0,19752.0,502.0,,12278,,,43415.0,,,43415.0,0.0,1855260,,,1855260.0,,,,,1289.0,12364,1912328,86445.0,,,,-3885.0,-79271.0,1001.0,4290,0,4290,1916618,
