Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2005,3504.0,,,-1512.0,,1992.0,,-1784.0,,,,,,208.0,-353.0,384.0,384.0,,0.0,-31.0,-145.0,1.0,-144.0,0.0,,,-144.0,0.0,-144.0,0.0,0.0,-144.0,-144.0,,1843.715,-0.08,-0.08,-0.07,1843.715,-0.08,-0.08,-0.07,
12/31/2005,3480.0,,,-1451.0,,2029.0,,-1808.0,,,,,,221.0,-730.0,,338.0,,0.0,392.0,-509.0,3.0,-506.0,22.0,,,-528.0,0.0,-528.0,0.0,0.0,-528.0,-528.0,,1861.684,-0.28,-0.27,0.01,1861.684,-0.28,-0.27,0.01,
03/31/2006,3476.0,,,-1417.0,,2059.0,0.0,-1705.0,1014.0,,,,691.0,354.0,-268.0,,296.0,,0.0,-28.0,86.0,2.0,88.0,0.0,,,88.0,0.0,88.0,0.0,0.0,88.0,88.0,,1874.313,0.05,0.05,0.06,1911.376,0.05,0.05,0.06,
06/30/2006,3472.0,,,-1393.0,,2079.0,,-1663.0,,,,,,416.0,-281.0,298.0,298.0,,0.0,-17.0,135.0,-18.0,117.0,0.0,,,117.0,0.0,117.0,0.0,0.0,117.0,117.0,,1882.398,0.06,0.06,0.06,1951.728,0.06,0.06,0.06,
09/30/2006,3487.0,,,-1382.0,,2105.0,,-1705.0,,,,,,400.0,-249.0,291.0,291.0,,0.0,-42.0,151.0,43.0,194.0,0.0,,,194.0,0.0,194.0,0.0,0.0,194.0,194.0,,1901.372,0.1,0.1,0.08,2004.502,0.09,0.09,0.07,
12/31/2006,3488.0,,,-1415.0,,2073.0,,-1688.0,,,,,,385.0,-200.0,,284.0,,0.0,-84.0,185.0,9.0,194.0,0.0,,,194.0,0.0,194.0,0.0,0.0,194.0,194.0,,1900.92,0.1,0.1,0.07,1992.13,0.1,0.1,0.07,
03/31/2007,3446.0,,,-1174.0,,2272.0,,-1753.0,,,,,,519.0,-277.0,282.0,282.0,,0.0,-5.0,242.0,-2.0,240.0,0.0,,,240.0,0.0,240.0,0.0,0.0,240.0,240.0,,1864.951,0.13,0.13,0.15,1958.535,0.12,0.12,0.14,
06/30/2007,3463.0,,,-1166.0,,2297.0,,-1763.0,,,,,,534.0,-288.0,274.0,274.0,,0.0,14.0,246.0,0.0,246.0,0.0,,,246.0,0.0,246.0,0.0,0.0,246.0,246.0,,1841.295,0.13,0.13,0.13,1950.056,0.13,0.13,0.13,
09/30/2007,3434.0,,,-1313.0,,2121.0,,-1942.0,,,,,,179.0,-263.0,272.0,272.0,,0.0,-9.0,-84.0,2149.0,2065.0,0.0,,,2065.0,0.0,2065.0,0.0,0.0,2065.0,2065.0,,1818.683,1.14,1.14,0.15,1916.478,1.08,1.08,0.14,
12/31/2007,3435.0,,,-1317.0,,2118.0,0.0,-1594.0,981.0,,,,613.0,524.0,-264.0,,267.0,,0.0,-3.0,260.0,106.0,366.0,0.0,,,366.0,0.0,366.0,0.0,0.0,366.0,366.0,,1792.953,0.2,0.2,0.14,1854.042,0.2,0.2,0.14,
03/31/2008,3399.0,,,-1181.0,,2218.0,0.0,-1698.0,550.0,,,,1148.0,520.0,-275.0,,272.0,,,3.0,245.0,-95.0,150.0,0.0,,,150.0,0.0,150.0,0.0,0.0,150.0,150.0,,1763.306,0.08,0.08,0.0956,1769.165,0.08,0.08,0.0955,
06/30/2008,3382.0,,,-1149.0,,2233.0,0.0,-2233.0,564.0,532.0,,,1669.0,0.0,-266.0,,270.0,,,-4.0,-266.0,-118.0,-384.0,0.0,,,-384.0,0.0,180.0,0.0,0.0,180.0,180.0,,1742.294,0.1,0.1,0.1,1744.961,0.1,0.1,0.1,
09/30/2008,3379.0,,,-1232.0,,2147.0,0.0,-1693.0,1094.0,575.0,,,599.0,454.0,-236.0,,263.0,,0.0,-27.0,218.0,-73.0,145.0,0.0,,,145.0,0.0,145.0,0.0,0.0,145.0,145.0,,1713.127,0.08,0.08,0.164641,1713.745,0.08,0.08,0.158669,
12/31/2008,3315.0,,,-1023.0,,2292.0,,-1733.0,,,,,,559.0,-269.0,,264.0,,0.0,5.0,290.0,-113.0,177.0,0.0,,,177.0,0.0,177.0,0.0,0.0,177.0,177.0,,1696.833,0.1044,0.1044,0.1105,1704.561,0.1039,0.1039,0.1099,
03/31/2009,3173.0,3173.0,,-1014.0,1014.0,2159.0,0.0,-1610.0,1037.0,543.0,494.0,573.0,0.0,549.0,-251.0,260.0,,,,-9.0,298.0,-92.0,206.0,0.0,0.0,0.0,206.0,0.0,206.0,0.0,0.0,206.0,220.95,14.95,1702.069,0.12,0.12,0.129813,1706.822,0.12,0.12,0.128759,
06/30/2009,3090.0,3090.0,,-1028.0,1028.0,2062.0,0.0,-1571.0,993.0,493.0,500.0,578.0,0.0,491.0,-274.0,276.0,,,,-2.0,217.0,-5.0,212.0,0.0,0.0,0.0,212.0,0.0,212.0,0.0,0.0,212.0,226.95,14.95,1707.928,0.12,0.12,0.13288,1722.77,0.12,0.12,0.128678,
09/30/2009,3054.0,3054.0,,-1029.0,1029.0,2025.0,0.0,-1540.0,959.0,455.0,504.0,581.0,0.0,485.0,-274.0,274.0,,,,0.0,211.0,-75.0,136.0,0.0,0.0,0.0,136.0,0.0,136.0,0.0,0.0,136.0,153.55,17.55,1711.954,0.08,0.08,0.089693,1719.502,0.08,0.08,0.089693,
12/31/2009,2994.0,2994.0,,-1017.0,1017.0,1977.0,0.0,-1527.0,948.0,453.0,495.0,579.0,0.0,450.0,-273.0,279.0,,,,-6.0,177.0,-69.0,108.0,0.0,0.0,0.0,108.0,0.0,108.0,0.0,0.0,108.0,144.4,36.4,1715.257,0.06,0.06,0.084186,1720.551,0.06,0.06,0.081156,
03/31/2010,2966.0,2966.0,,-1247.0,1247.0,1719.0,0.0,-1151.0,606.0,,,545.0,0.0,568.0,-321.0,279.0,,,,42.0,247.0,-209.0,38.0,0.0,0.0,0.0,38.0,0.0,38.0,0.0,0.0,38.0,65.3,27.3,1719.148,0.02,0.02,0.037984,1739.405,0.02,0.02,0.035695,
06/30/2010,2930.0,2930.0,,-940.0,940.0,1990.0,0.0,-1481.0,933.0,428.0,505.0,548.0,0.0,509.0,-243.0,265.0,,,,-22.0,266.0,-108.0,158.0,0.0,0.0,0.0,158.0,0.0,158.0,0.0,0.0,158.0,180.1,22.1,1723.274,0.09,0.09,0.10451,1761.489,0.09,0.09,0.102546,
09/30/2010,2935.0,2935.0,,-980.0,980.0,1955.0,0.0,-1458.0,906.0,420.0,486.0,552.0,0.0,497.0,-479.0,255.0,,,,224.0,18.0,-108.0,-90.0,0.0,0.0,0.0,-90.0,0.0,-90.0,0.0,0.0,-90.0,90.7,180.7,1726.768,-0.05,-0.05,0.052526,1726.768,-0.05,-0.05,0.052526,
12/31/2010,2899.0,2899.0,,-943.0,943.0,1956.0,0.0,-1529.0,974.0,414.0,560.0,555.0,0.0,427.0,-508.0,240.0,,,,268.0,-81.0,-80.0,-161.0,0.0,0.0,0.0,-161.0,0.0,-161.0,0.0,0.0,-161.0,39.2,200.2,1734.967,-0.09,-0.09,0.022594,1734.967,-0.09,-0.09,0.022594,
03/31/2011,2846.0,2846.0,,-1178.0,1178.0,1668.0,0.0,-1089.0,556.0,,,533.0,0.0,579.0,-222.0,227.0,,,,-5.0,357.0,-146.0,211.0,0.0,0.0,0.0,211.0,0.0,211.0,0.0,0.0,211.0,211.0,0.0,1761.149,0.12,0.12,0.12,1775.729,0.12,0.12,0.12,
06/30/2011,2769.0,2763.0,6.0,-1141.0,1141.0,1628.0,0.0,-1490.0,656.0,,,802.0,32.0,138.0,-151.0,150.0,150.0,0.0,,1.0,-13.0,0.0,-13.0,0.0,0.0,0.0,-13.0,0.0,-13.0,0.0,0.0,-13.0,70.2,83.2,,,,,,,,,
09/30/2011,2765.0,2744.0,21.0,-1185.0,1185.0,1580.0,0.0,-1357.0,525.0,,,796.0,36.0,223.0,-158.0,158.0,158.0,0.0,,0.0,65.0,-33.0,32.0,0.0,0.0,0.0,32.0,0.0,32.0,0.0,0.0,32.0,44.35,12.35,,,,,,,,,
12/31/2011,2793.0,2769.0,24.0,-1197.0,1197.0,1596.0,0.0,-1414.0,560.0,,,796.0,58.0,182.0,-183.0,178.0,,,,5.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,4.55,,,,,,,,,
03/31/2012,2839.0,2725.0,114.0,-1175.0,1175.0,1664.0,0.0,-1374.0,484.0,,,741.0,149.0,290.0,-165.0,174.0,,,,-9.0,125.0,-48.0,77.0,0.0,0.0,0.0,77.0,0.0,77.0,0.0,0.0,77.0,73.75,-3.25,,,,,,,,,
06/30/2012,2836.0,2736.0,100.0,-1213.0,1213.0,1623.0,0.0,-1332.0,444.0,,,738.0,150.0,291.0,-227.0,184.0,,,,43.0,64.0,-27.0,37.0,0.0,0.0,0.0,37.0,0.0,37.0,0.0,0.0,37.0,68.2,31.2,,,,,,,,,
09/30/2012,2825.0,2712.0,113.0,-1227.0,1227.0,1598.0,0.0,-1276.0,384.0,,,727.0,165.0,322.0,-185.0,184.0,,,,1.0,137.0,-54.0,83.0,0.0,0.0,0.0,83.0,0.0,83.0,0.0,0.0,83.0,83.65,0.65,,,,,,,,,
12/31/2012,2856.0,2716.0,140.0,-1199.0,1199.0,1657.0,0.0,-1282.0,405.0,,,742.0,135.0,375.0,-197.0,213.0,,,,-16.0,178.0,-67.0,111.0,0.0,0.0,0.0,111.0,0.0,111.0,0.0,0.0,111.0,106.45,-4.55,,,,,,,,,
03/31/2013,2796.0,2661.0,135.0,-1107.0,1107.0,1689.0,0.0,-1294.0,438.0,,,682.0,174.0,395.0,-200.0,206.0,,,,-6.0,195.0,-78.0,117.0,0.0,0.0,0.0,117.0,0.0,117.0,0.0,0.0,117.0,117.0,0.0,,,,,,,,,
06/30/2013,2840.0,2683.0,157.0,-1177.0,1177.0,1663.0,0.0,-1283.0,409.0,,,680.0,194.0,380.0,-205.0,204.0,,,,1.0,175.0,-37.0,138.0,0.0,0.0,0.0,138.0,0.0,138.0,0.0,0.0,138.0,138.0,0.0,,,,,,,,,
09/30/2013,2848.0,2680.0,168.0,-1216.0,1216.0,1632.0,0.0,-1516.0,626.0,,,687.0,203.0,116.0,-215.0,218.0,,,,-3.0,-99.0,38.0,-61.0,0.0,0.0,0.0,-61.0,0.0,-61.0,0.0,0.0,-61.0,-61.0,0.0,,,,,,,,,
03/31/2011,2862.385,,,,,1957.15574375,,,,,,,,535.0,,,,,,,297.875,,289.667,,,,,,289.667,,,289.667,186.111,,,0.11,0.11,0.108,,0.11,0.11,0.108,
06/30/2011,2836.077,,,,,1932.07745625,,,,,,,,507.333,,,,,,,279.5,,276.5,,,,,,276.5,,,276.5,174.889,,,0.106,0.106,0.103,,0.106,0.106,0.103,
