Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2000,-4757,3339,1980.0,,-1911,,,-1911,-8165,,,,,-28326.0,-273,301.0,-574,1257.0,21173.0,,,,-19916.0,-23365.0,,,,,,,,-5945,33019.0,-616.0,16823.0,,,,,-758.0,376.0,-1134.0,17711.0,-141.0,,-64.0,1099.0,8435.0,
09/30/2000,8703,3484,1929.0,,255,,,255,3035,,,,,-19753.0,-22,532.0,-554,-1214.0,27106.0,,,,-28320.0,-14897.0,,,,,,,,-3620,12398.0,-708.0,6302.0,,,,,-921.0,180.0,-1101.0,7922.0,-197.0,,1348.0,3687.0,6480.0,
12/31/2000,750,2840,4461.0,,-6801,,,-6801,250,,,,,-18018.0,-757,176.0,-933,-4127.0,26835.0,,,,-30962.0,-12323.0,,,,,,,,-811,18329.0,-850.0,12797.0,,,,,-238.0,111.0,-349.0,7270.0,-650.0,,1061.0,3062.0,13141.0,
03/31/2001,-5195,3538,2147.0,,-1872,,,-1872,-9008,,,,,-11063.0,22,483.0,-461,-9781.0,34108.0,,,,-43889.0,-1304.0,,,,,,,,0,16010.0,-740.0,4210.0,,,,,-1083.0,428.0,-1511.0,13812.0,-189.0,,-248.0,209.0,9117.0,
06/30/2001,3954,3536,2164.0,,2877,,,2877,-4623,,,,,67.0,-123,348.0,-471,3760.0,27923.0,,,,-24163.0,-3570.0,,,,,,,,0,-3313.0,-736.0,-3621.0,,,,,-680.0,139.0,-819.0,1855.0,-131.0,,708.0,1491.0,8724.0,
09/30/2001,14712,3177,2166.0,,11417,,,11417,-2048,,,,,-16854.0,452,777.0,-325,-2370.0,179969.0,,,,-182339.0,-7869.0,,,,,,,,-7067,8938.0,-856.0,1045.0,,,,,-688.0,99.0,-787.0,9399.0,38.0,,6796.0,2778.0,9271.0,
12/31/2001,13331,3875,2612.0,,-11050,,,-11050,17894,,,,,-10639.0,-271,181.0,-452,-14794.0,174728.0,,,,-189522.0,4426.0,,,,,,,,0,-6054.0,-853.0,-21924.0,,,,,-445.0,209.0,-654.0,17209.0,-41.0,,-3362.0,-2367.0,5599.0,
03/31/2002,1746,4843,2921.0,,-3819,,,-3819,-2199,,,,,-10707.0,-174,157.0,-331,-10792.0,170741.0,,,,-181533.0,2330.0,,,,,,,,-2071,6430.0,-848.0,-92.0,,,,,-1078.0,205.0,-1283.0,8449.0,-1.0,,-2531.0,3333.0,5195.0,
06/30/2002,10973,4084,2412.0,,8556,,,8556,-4079,,,,,-15051.0,233,500.0,-267,-856.0,64766.0,,,,-65622.0,-13817.0,,,,,,,,-611,5780.0,-958.0,-5756.0,,,,,-1536.0,86.0,-1622.0,13942.0,88.0,,1702.0,781.0,5308.0,
09/30/2002,3695,3920,2918.0,,3317,,,3317,-6460,,,,,-539.0,813,1121.0,-308,2271.0,59155.0,,,,-56884.0,-3623.0,,,,,,,,0,-4956.0,-932.0,1961.0,,,,,-2479.0,0.0,-2479.0,-3397.0,-109.0,,-1800.0,732.0,6175.0,
12/31/2002,13952,2429,3221.0,,-8415,,,-8415,16717,,,,,-32439.0,-23,406.0,-429,-22480.0,57799.0,,,,-80279.0,-8665.0,,,,,,,,-1271,19927.0,-938.0,6959.0,,,,,-507.0,0.0,-507.0,14293.0,120.0,,1440.0,1883.0,3507.0,
03/31/2003,-3636,4103,2428.0,,4564,,,4564,-14731,,,,,-9976.0,-161,277.0,-438,-15233.0,49917.0,,,,-65150.0,5418.0,,,,,,,,0,16017.0,-1053.0,4348.0,,,,,-1604.0,95.0,-1699.0,14318.0,8.0,,2405.0,1106.0,4237.0,
06/30/2003,5386,4299,2586.0,,2749,,,2749,-4248,,,,,-6475.0,-709,288.0,-997,-2344.0,55331.0,,,,-57675.0,-3422.0,,,,,,,,0,3174.0,-1054.0,148.0,,,,,-211.0,190.0,-401.0,4090.0,201.0,,2085.0,1660.0,4041.0,
09/30/2003,-22350,4691,1996.0,,-2676,,,-2676,-26361,,,,,-3148.0,-81,398.0,-479,1295.0,58581.0,,,,-57286.0,-4362.0,,,,,,,,0,28370.0,-1834.0,23860.0,,,,,38.0,177.0,-139.0,6204.0,102.0,,2872.0,1398.0,3652.0,
12/31/2003,5746,4760,2610.0,,1276,,,1276,-2900,,,,,-26708.0,-143,297.0,-440,3984.0,35308.0,,,,-31324.0,-9093.0,,,,,,,,-21456,17423.0,-1832.0,-180.0,,,,,-727.0,224.0,-951.0,19894.0,268.0,,-3539.0,1949.0,3802.0,
03/31/2004,-7804,5273,408.0,2230.0,-1944,,,-1944,-13771,,,,,-28672.0,363,681.0,-318,-22618.0,50865.0,,,,-73483.0,-5304.0,,,,,,,,-1113,38431.0,-2097.0,15362.0,,,,,-574.0,379.0,-953.0,25755.0,-15.0,,1955.0,388.0,3845.0,
06/30/2004,2024,1144,2113.0,1588.0,-2331,,,-2331,-490,,,,,-7959.0,362,1684.0,-1322,438.0,39451.0,,,,-39013.0,-6937.0,,,,,,,,-1822,9293.0,-2096.0,7440.0,,,,,147.0,165.0,-18.0,3882.0,-80.0,,3358.0,2407.0,4285.0,
09/30/2004,-2918,5308,1590.0,1029.0,-840,,,-840,-10005,,,,,-7396.0,-335,267.0,-602,1094.0,44143.0,,,,-43049.0,-7413.0,,,,,,,,-742,9335.0,-2085.0,827.0,,,,,-519.0,198.0,-717.0,10600.0,512.0,,-979.0,1497.0,5195.0,
12/31/2004,6294,5321,1948.0,1386.0,8418,,,8418,-10779,,,,,-35204.0,-295,474.0,-769,-1233.0,41329.0,,,,-42562.0,-33676.0,,,,,,,,0,26983.0,-2097.0,-1914.0,,,,,568.0,568.0,,30112.0,314.0,,-1927.0,2516.0,5219.0,
03/31/2005,3583,5441,536.0,1813.0,-2797,,,-2797,-1410,,,,,-9776.0,4145,5069.0,-924,-10651.0,39173.0,,,,-49824.0,-2668.0,,,,,,,,-602,8257.0,-2326.0,7700.0,,,,,-1116.0,279.0,-1395.0,4141.0,-142.0,,2064.0,679.0,6970.0,
06/30/2005,13186,5073,2338.0,,-3514,,,-3514,9289,,,,,-16301.0,18,895.0,-877,-5720.0,46685.0,,,,-52405.0,-10599.0,,,,,,,,0,5052.0,-2316.0,5696.0,,,,,-1746.0,264.0,-2010.0,3600.0,-182.0,,1937.0,2975.0,6989.0,
09/30/2005,143344,7143,3289.0,,1707,,,1707,131205,,,,,-144401.0,10142,11098.0,-956,-763.0,57186.0,,,,-57949.0,-153780.0,,,,,,,,0,1111.0,-2301.0,98.0,,,,,-5241.0,352.0,-5593.0,8577.0,-22.0,,54.0,2598.0,9098.0,
12/31/2005,-128115,6932,2521.0,1921.0,-4339,,,-4339,-135150,,,,,110255.0,-418,549.0,-967,-10709.0,37220.0,,,,-47929.0,121382.0,,,,,,,,0,16824.0,-2245.0,13157.0,,,,,-3987.0,505.0,-4492.0,11393.0,-1494.0,,-1036.0,2369.0,9024.0,
03/31/2006,3170,5639,599.0,1446.0,-10513,,,-10513,5999,,,,,-37971.0,-350,525.0,-875,-15198.0,49846.0,,,,-65044.0,-22423.0,,,,,,,,0,32580.0,-2491.0,1815.0,,,,,-2436.0,258.0,-2694.0,35530.0,162.0,,-2221.0,1017.0,11150.0,
06/30/2006,-65,5265,2202.0,1586.0,1263,,,1263,-10381,,,,,-38038.0,-786,77.0,-863,-3344.0,45569.0,,,,-48913.0,-33908.0,,,,,,,,0,41003.0,-2471.0,25225.0,,,,,-1380.0,642.0,-2022.0,19437.0,192.0,,2900.0,1131.0,11777.0,
09/30/2006,34536,5505,2461.0,1843.0,-2722,,,-2722,27449,,,,,-73127.0,-451,524.0,-975,-52335.0,48488.0,,,,-100823.0,-20341.0,,,,,,,,0,36823.0,-2458.0,17545.0,,,,,-1758.0,310.0,-2068.0,23473.0,21.0,,-1768.0,3239.0,14308.0,
12/31/2006,-44,21538,2503.0,6988.0,-11740,,90.0,-11830,-19333,,,,,-204206.0,-2429,1606.0,-4035,-98891.0,208110.0,,,,-307001.0,-102886.0,,,,,,,,0,207075.0,-9826.0,101122.0,,,,,-6012.0,1798.0,-7810.0,121146.0,645.0,,2825.0,9230.0,51472.0,
03/31/2007,-18417,5012,573.0,2706.0,-7982,,,-7982,-18726,,,,,-23904.0,-268,516.0,-784,-10203.0,73410.0,,,,-83613.0,-11080.0,,,,,,,,-2353,40228.0,-2698.0,19085.0,,,,,-1070.0,394.0,-1464.0,24902.0,9.0,,-2093.0,1826.0,15332.0,
06/30/2007,-21484,6226,3074.0,2496.0,8678,,,8678,-41958,,,,,-29994.0,-81,878.0,-959,16967.0,90169.0,,,,-73202.0,-35708.0,,,,,,,,-11172,57692.0,-2689.0,41543.0,,,,,26.0,458.0,-432.0,18532.0,280.0,,6214.0,826.0,18402.0,
09/30/2007,-70841,2212,5017.0,4360.0,-38679,,,-38679,-43751,,,,,-2179.0,-506,555.0,-1061,32177.0,84571.0,,,,-52394.0,-32189.0,,,,,,,,-1661,80611.0,-2699.0,42103.0,,,,,-338.0,155.0,-493.0,41089.0,456.0,,7591.0,1971.0,19424.0,
12/31/2007,-71537,3617,2421.0,17574.0,-18875,,-3928.0,-14947,-76274,,,,,-62377.0,250,4253.0,-4003,41457.0,333099.0,,,,-291642.0,-88470.0,,,,,,,,-15614,145606.0,-10778.0,63404.0,,,,,-1554.0,1060.0,-2614.0,93422.0,1112.0,,11692.0,5923.0,72732.0,
03/31/2008,1751,-5111,812.0,5751.0,7118,,,7118,-6819,,,,,-13356.0,421,1165.0,-744,1971.0,98420.0,,,,-96449.0,-15748.0,,,,,,,,0,4236.0,-1759.0,-18291.0,,,,,19138.0,19430.0,-292.0,4978.0,170.0,,-7369.0,-141.0,17120.0,
06/30/2008,51327,-2495,7475.0,6877.0,-10389,,,-10389,49859,,,,,781.0,286,1051.0,-765,-23289.0,93732.0,,,,-117021.0,23784.0,,,,,,,,0,-38191.0,-2114.0,-21654.0,,,,,12916.0,12955.0,-39.0,-27566.0,227.0,,13917.0,1056.0,13736.0,
09/30/2008,47024,-2815,9125.0,8582.0,1796,,,1796,30336,,,,,14538.0,12826,13428.0,-602,-6256.0,62415.0,,,,-68671.0,7968.0,,,,,,,,0,-42134.0,-2135.0,-28450.0,,,,,-53.0,0.0,-53.0,-9823.0,-1673.0,,19428.0,1208.0,13438.0,
12/31/2008,-3582,-17263,-14946.0,12101.0,-9368,,-20535.0,11167,25894,,,,,-79574.0,7892,8322.0,-430,-114749.0,48411.0,,,,-163160.0,27283.0,,,,,,,,0,48227.0,-1518.0,12112.0,,,,,45082.0,45105.0,-23.0,-5400.0,-2049.0,,-34929.0,1047.0,11384.0,
03/31/2009,-8381,1593,13.0,9975.0,1137,-1646.0,,2783,-21216,5761.0,4530.0,-31507.0,84.0,42474.0,750,1032.0,-282,13394.0,71530.0,,,,-58136.0,28330.0,28330.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-31527.0,-1074.0,-18959.0,-10302.0,0.0,65398.0,-74055.0,-89.0,0.0,-89.0,-11489.0,0.0,-756.0,1810.0,1111.0,8362.0,
06/30/2009,-12564,4279,846.0,12368.0,-13190,-466.0,,-12724,-16491,-5225.0,-3206.0,-8060.0,418.0,-26017.0,3480,3813.0,-333,-41467.0,33447.0,,,,-74914.0,11970.0,11970.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32988.0,-1465.0,-7985.0,-10195.0,0.0,7403.0,-5193.0,-21.0,0.0,-21.0,42041.0,0.0,927.0,-4666.0,-1696.0,6722.0,
09/30/2009,6069,101,431.0,8771.0,8988,-1212.0,,10200,-11804,-4618.0,-20385.0,13199.0,-576.0,-11749.0,501,745.0,-244,-29731.0,52131.0,,,,-81862.0,17481.0,17481.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4000.0,-696.0,-22585.0,-35646.0,0.0,17663.0,-4602.0,-9.0,0.0,-9.0,27866.0,0.0,411.0,-1269.0,-666.0,6254.0,
12/31/2009,-41088,-7579,1563.0,7890.0,-3175,-383.0,,-2792,-39555,4564.0,-24665.0,-19454.0,97.0,32460.0,-692,713.0,-1405,-1783.0,64420.0,,,,-66203.0,34935.0,34935.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7568.0,-2.0,-13337.0,4148.0,0.0,22408.0,-39893.0,17510.0,17514.0,-4.0,3300.0,0.0,50.0,-1010.0,962.0,7051.0,
03/31/2010,35418,4428,623.0,8331.0,-5011,-1982.0,,-3029,27258,-7874.0,-12326.0,47458.0,52.0,14398.0,359,637.0,-278,-12749.0,82755.0,,,,-95504.0,26788.0,26788.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-49425.0,0.0,-43236.0,-33885.0,0.0,7331.0,-16682.0,-127.0,0.0,-127.0,-7989.0,1875.0,-185.0,206.0,1802.0,5711.0,
06/30/2010,6183,2697,620.0,6452.0,-17040,-773.0,,-16267,13451,24824.0,3564.0,-14937.0,-1.0,25880.0,277,527.0,-250,-6675.0,98668.0,,,,-105343.0,32278.0,32278.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-33169.0,0.0,-18603.0,658.0,0.0,5822.0,-25083.0,-602.0,0.0,-602.0,-13963.0,0.0,137.0,-969.0,967.0,6390.0,
09/30/2010,-17320,2168,136.0,5692.0,7835,-2599.0,,10434,-33525,-16682.0,-9273.0,-7570.0,,-9627.0,215,492.0,-277,-14461.0,119060.0,,,,-133521.0,4619.0,4619.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27908.0,0.0,-10049.0,-3894.0,0.0,8919.0,-15074.0,-62.0,0.0,-62.0,36144.0,1875.0,672.0,1633.0,623.0,5188.0,
12/31/2010,11405,1309,1285.0,4602.0,8273,6837.0,,1436,-3966,6875.0,-6660.0,-4181.0,163.0,12686.0,-595,963.0,-1558,6318.0,77996.0,,,,-71678.0,6963.0,6963.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-22528.0,-9.0,-17534.0,-10068.0,0.0,11605.0,-19071.0,-21.0,0.0,-21.0,-5127.0,0.0,67.0,1630.0,915.0,5920.0,
03/31/2011,1039,2999,671.0,2924.0,2255,498.0,,1757,-7770,21454.0,-14403.0,-14821.0,,-16992.0,-266,422.0,-688,-24174.0,82546.0,,,,-106720.0,7448.0,7448.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15492.0,-4.0,-7067.0,-1068.0,0.0,8190.0,-14189.0,-220.0,0.0,-220.0,20908.0,1875.0,331.0,-130.0,874.0,4608.0,
06/30/2011,3806,3341,720.0,3168.0,-293,-2509.0,,2216,-3059,-3278.0,-22856.0,23075.0,2669.0,25247.0,-519,323.0,-842,30067.0,94440.0,,,,-64373.0,-4301.0,-4301.0,,,0.0,0.0,0.0,0.0,0,-29707.0,-38.0,-32782.0,-5733.0,0.0,13066.0,-40115.0,-3.0,0.0,-3.0,447.0,0.0,578.0,-76.0,1042.0,5513.0,
09/30/2011,25975,3771,744.0,3092.0,5462,1384.0,,4078,12907,-1744.0,-6669.0,21320.0,0.0,11641.0,-599,318.0,-917,12835.0,96153.0,,,,-83318.0,-595.0,-595.0,,,0.0,0.0,0.0,0.0,0,-37001.0,-27.0,-23814.0,-7071.0,0.0,3969.0,-20712.0,-6.0,0.0,-6.0,-15029.0,1875.0,569.0,1184.0,701.0,5261.0,
12/31/2011,33975,956,737.0,2640.0,-746,3612.0,,-4358,30344,18834.0,14796.0,-3286.0,-16.0,-28668.0,-741,260.0,-1001,-3800.0,56039.0,,,,-59839.0,-24127.0,-24127.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2777.0,-38.0,-20253.0,-11195.0,0.0,5017.0,-14075.0,-2.0,0.0,-2.0,17532.0,0.0,-2779.0,-249.0,88.0,5848.0,
03/31/2012,9453,2931,738.0,2790.0,7525,3241.0,,4284,-4536,-5442.0,-13208.0,14114.0,,-38374.0,-681,163.0,-844,-30923.0,60171.0,,,,-91094.0,-6770.0,-6770.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26328.0,-34.0,-13523.0,1920.0,0.0,7725.0,-23168.0,-191.0,0.0,-191.0,40076.0,0.0,397.0,-2196.0,916.0,4602.0,
06/30/2012,-5320,2946,774.0,2592.0,-10663,-2036.0,,-8627,-945,-10334.0,16393.0,-7004.0,,24382.0,-778,152.0,-930,26019.0,61379.0,,,,-35360.0,-859.0,-859.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-10964.0,-37.0,-19219.0,2837.0,0.0,11200.0,-33256.0,-4.0,0.0,-4.0,8296.0,0.0,-676.0,7422.0,929.0,5421.0,
09/30/2012,3431,468,752.0,2470.0,907,3077.0,,-2170,-1158,-3783.0,-4878.0,7503.0,,-4071.0,460,561.0,-101,-3479.0,72877.0,,,,-76356.0,-1052.0,-1052.0,0.0,0.0,0.0,0.0,0.0,0.0,0,88.0,-33.0,-30212.0,-9784.0,0.0,4894.0,-25322.0,-3.0,0.0,-3.0,30336.0,0.0,427.0,-125.0,737.0,5162.0,
12/31/2012,-17926,1196,243.0,2606.0,12075,-3668.0,,15743,-34131,-20169.0,1693.0,-15655.0,6.0,48398.0,-1516,213.0,-1729,65537.0,119634.0,,,,-54097.0,-15623.0,-15623.0,,,0.0,0.0,0.0,0.0,0,-27947.0,-39.0,-16079.0,15726.0,0.0,4024.0,-35829.0,2249.0,2250.0,-1.0,-14084.0,0.0,126.0,2651.0,1318.0,4554.0,
03/31/2013,25021,3808,807.0,2309.0,-6606,-2888.0,,-3718,24670,17285.0,-9115.0,16500.0,-2.0,-28266.0,-594,140.0,-734,-31228.0,67275.0,,,,-98503.0,3556.0,3556.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1462.0,-34.0,-4759.0,-3834.0,0.0,9273.0,-10198.0,131.0,575.0,-444.0,3202.0,0.0,-596.0,-5303.0,1127.0,3755.0,
06/30/2013,20029,4182,411.0,1743.0,6884,-773.0,,7657,6839,4547.0,7221.0,-4929.0,2.0,-26928.0,-586,155.0,-741,-22131.0,58036.0,,,,-80167.0,-4211.0,-4211.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7484.0,-40.0,1887.0,10614.0,0.0,9721.0,-18448.0,970.0,1250.0,-280.0,4665.0,0.0,-590.0,-5.0,1325.0,2813.0,
09/30/2013,14249,3227,1233.0,1755.0,2778,5980.0,,-3202,5348,13874.0,-10474.0,1948.0,,-23373.0,-714,160.0,-874,-13770.0,48751.0,,,,-62521.0,-8889.0,-8889.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11035.0,-140.0,-6368.0,-6621.0,0.0,22771.0,-22518.0,510.0,950.0,-440.0,17033.0,0.0,-246.0,1665.0,801.0,3951.0,
12/31/2013,3945,2456,852.0,1797.0,8702,1789.0,,6913,-9681,-7492.0,,-2189.0,-10.0,-12771.0,-880,261.0,-1141,-360.0,46143.0,,,,-46503.0,-11531.0,-11531.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6027.0,-100.0,-7874.0,-7684.0,0.0,12640.0,-12830.0,1198.0,1417.0,-219.0,12813.0,0.0,-126.0,-2925.0,1242.0,3864.0,
03/31/2014,29598,3944,843.0,1793.0,-526,317.0,,-843,23581,23026.0,,555.0,,-11396.0,-766,102.0,-868,-10900.0,48717.0,,,,-59617.0,270.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-14560.0,-154.0,-12001.0,-41.0,0.0,10547.0,-22507.0,-395.0,467.0,-862.0,-2010.0,0.0,-147.0,3495.0,1317.0,3000.0,
06/30/2014,16119,181,896.0,1606.0,3610,-2584.0,,6194,9804,-13266.0,6361.0,16709.0,,1003.0,-1210,129.0,-1339,13612.0,77317.0,,,,-63705.0,-11399.0,-11399.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-15305.0,-130.0,-16055.0,141.0,0.0,18699.0,-34895.0,1418.0,1726.0,-308.0,-538.0,0.0,71.0,1888.0,1769.0,2834.0,
09/30/2014,6287,2841,934.0,1545.0,-2561,-178.0,,-2383,3512,13856.0,4891.0,-15235.0,,10965.0,-38,229.0,-267,-1187.0,31309.0,,,,-32496.0,12190.0,12190.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-15289.0,-159.0,8127.0,5304.0,0.0,18800.0,-15977.0,-187.0,0.0,-187.0,-23070.0,0.0,-1255.0,708.0,-2147.0,6685.0,
12/31/2014,11459,344,916.0,1881.0,7878,1767.0,,6111,439,-4200.0,,4639.0,,15559.0,-749,163.0,-912,-27361.0,60625.0,,,,-87986.0,44578.0,3662.0,40916.0,0.0,0.0,0.0,0.0,0.0,-909,-29785.0,-190.0,-7987.0,-6503.0,0.0,18790.0,-20274.0,1110.0,1493.0,-383.0,-22718.0,0.0,-1101.0,-3868.0,945.0,4230.0,
03/31/2015,2093,4770,885.0,1755.0,-1037,-3188.0,,2151,-4285,-2795.0,,-1490.0,,7595.0,-605,135.0,-740,-1890.0,80380.0,,,,-82270.0,10090.0,10090.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-19852.0,-159.0,-20786.0,-18930.0,0.0,11704.0,-13560.0,778.0,1494.0,-716.0,315.0,0.0,-64.0,-10228.0,1100.0,2908.0,
06/30/2015,16253,4846,882.0,1515.0,505,829.0,,-324,8511,17643.0,,-9132.0,,-16207.0,-538,193.0,-731,-2011.0,59575.0,,,,-61586.0,-13658.0,-13658.0,,,0.0,0.0,0.0,0.0,0,1526.0,-355.0,-6944.0,-13498.0,0.0,15479.0,-8925.0,435.0,1992.0,-1557.0,8390.0,0.0,-39.0,1533.0,1763.0,2268.0,
09/30/2015,23832,4291,865.0,1582.0,3568,1718.0,,1850,13516,1937.0,,11579.0,,-9227.0,-858,143.0,-1001,-1842.0,49723.0,,,,-51565.0,-6527.0,3723.0,-10250.0,0.0,0.0,0.0,0.0,0.0,0,-15644.0,-324.0,-10819.0,-3328.0,0.0,8495.0,-15986.0,-707.0,1245.0,-1952.0,-3794.0,0.0,-648.0,-1687.0,1180.0,2963.0,
12/31/2015,4766,3335,874.0,2256.0,-10419,-41.0,,-10378,8675,8521.0,,154.0,,25515.0,-620,106.0,-726,9793.0,56734.0,,,,-46941.0,29339.0,3601.0,25738.0,0.0,0.0,0.0,0.0,0.0,-12997,-30803.0,-415.0,-33873.0,-1500.0,0.0,8941.0,-41314.0,-159.0,1496.0,-1655.0,3644.0,0.0,-304.0,-826.0,935.0,3590.0,
03/31/2016,-538,3501,908.0,1886.0,4871,3710.0,,1161,-11706,-5157.0,,-6549.0,,-37190.0,-472,230.0,-702,-33173.0,50394.0,,,,-83567.0,-3810.0,-3810.0,0.0,0.0,0.0,0.0,0.0,0.0,265,38878.0,-359.0,13149.0,-186.0,0.0,13904.0,-569.0,-616.0,1004.0,-1620.0,26704.0,0.0,190.0,1340.0,688.0,2694.0,
