Date,Revenue,Sales & Services Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2012,171.82,171.82,,0.0,-90.372,34.098,,,,11.609,44.665,81.448,-2.752,2.818,,,-0.066,78.696,-24.295,54.401,0.0,0.0,0.0,54.401,0.0,54.401,0.0,0.0,54.401,54.401,0.0,83.294,0.65,0.65,0.65,85.737,0.63,0.63,0.63,
09/30/2012,186.932,186.932,,0.0,-101.098,44.009,,,,13.591,43.498,85.834,-3.243,3.246,,,-0.003,82.591,-22.943,59.648,0.0,0.0,0.0,59.648,0.0,59.648,0.0,0.0,59.648,59.648,0.0,84.002,0.71,0.71,0.71,86.224,0.69,0.69,0.69,
12/31/2012,202.617,202.617,,0.0,-109.446,44.446,,,,15.116,49.884,93.171,-3.992,3.39,,,0.602,89.179,-29.108,60.071,0.0,0.0,0.0,60.071,0.0,60.071,0.0,0.0,60.071,61.696,1.625,83.378,0.72,0.72,0.739955,85.75,0.7,0.7,0.71895,
03/31/2013,193.651,193.651,,0.0,-99.398,40.965,,,,14.629,43.804,94.253,-3.74,3.448,,,0.292,90.513,-25.851,64.662,0.0,0.0,0.0,64.662,0.0,64.662,0.0,0.0,64.662,65.767,1.105,81.222,0.8,0.8,0.809719,83.96,0.77,0.77,0.783161,
06/30/2013,220.869,220.869,,0.0,-111.795,44.34,,,,15.89,51.565,109.074,-3.75,3.756,,,-0.006,105.324,-32.225,73.099,0.0,0.0,0.0,73.099,0.0,73.099,0.0,0.0,73.099,74.204,1.105,81.573,0.9,0.9,0.909664,84.461,0.87,0.87,0.883083,
09/30/2013,225.15,225.15,,0.0,-113.895,45.418,,,,18.06,50.417,111.255,-3.6,3.756,,,-0.156,107.655,-29.035,78.62,0.0,0.0,0.0,78.62,0.0,78.62,0.0,0.0,78.62,76.51,-2.11,81.974,0.96,0.96,0.933345,84.905,0.93,0.93,0.905149,
12/31/2013,255.501,255.501,,0.0,-149.451,68.906,,,,24.158,56.387,106.05,-5.973,5.501,,,0.472,100.077,-31.957,68.12,0.0,0.0,0.0,68.12,0.0,68.12,0.0,0.0,68.12,68.12,0.0,82.388,0.83,0.83,0.83,85.277,0.8,0.8,0.8,
03/31/2014,253.908,253.908,,0.0,-139.772,60.875,,,,24.418,54.479,114.136,-6.005,5.461,,,0.544,108.131,-33.022,75.109,0.0,0.0,0.0,75.109,0.0,75.109,0.0,0.0,75.109,75.109,0.0,82.737,0.91,0.91,0.91,85.695,0.88,0.88,0.88,
06/30/2014,273.502,273.502,,0.0,-139.018,55.417,,,,24.429,59.172,134.484,-6.529,5.308,,1.489,-0.268,127.955,-39.406,88.549,0.0,0.0,0.0,88.549,0.0,88.549,0.0,0.0,88.549,88.549,0.0,82.996,1.07,1.07,1.07,85.817,1.03,1.03,1.03,
09/30/2014,295.283,295.283,,0.0,-151.076,58.897,,,,25.714,66.465,144.207,-7.653,4.859,,2.2,0.594,136.554,-41.045,95.509,0.0,0.0,0.0,95.509,0.0,95.509,0.0,0.0,95.509,95.509,0.0,83.611,1.14,1.14,1.14,86.134,1.11,1.11,1.11,
12/31/2014,376.697,376.697,,0.0,-204.075,106.301,,,,37.8,59.974,172.622,-32.319,13.228,,4.897,14.194,140.303,-30.763,109.54,0.0,0.0,0.0,109.54,0.0,109.54,0.0,0.0,109.54,119.443251,9.903251,87.877,1.25,1.25,1.359209,90.24,1.21,1.21,1.319743,
03/31/2015,416.166,416.166,,0.0,-252.392,95.628,,,,48.082,108.682,163.774,-24.126,19.566,,2.7,1.86,139.648,-45.495,94.153,0.0,0.0,0.0,94.153,0.0,94.153,0.0,0.0,94.153,94.153,0.0,91.75,1.03,1.03,1.03,93.934,1.0,1.0,1.0,
06/30/2015,404.605,404.605,,0.0,-235.454,90.338,,,,48.827,96.289,169.151,-23.86,18.089,,5.118,0.653,145.291,-46.613,98.678,0.0,0.0,0.0,98.678,0.0,98.678,0.0,0.0,98.678,98.678,0.0,91.904,1.07,1.07,1.07,94.05,1.05,1.05,1.05,
09/30/2015,451.493,451.493,,0.0,-263.033,91.822,,,,48.526,122.685,188.46,-23.103,17.163,,6.108,-0.168,165.357,-48.587,116.77,0.0,0.0,0.0,116.77,0.0,116.77,0.0,0.0,116.77,116.77,0.0,92.11,1.27,1.27,1.27,94.157,1.24,1.24,1.24,
12/31/2015,430.601,430.601,,0.0,-284.452,129.002,,,,48.018,107.432,146.149,-60.441,16.521,,43.742,0.178,85.708,-32.878,52.83,0.0,0.0,0.0,52.83,0.0,52.83,0.0,0.0,52.83,85.005139,32.175139,92.321,0.57,0.57,0.920756,94.35,0.56,0.56,0.901019,
03/31/2016,414.262,414.262,,0.0,-238.307,94.147,26.553,67.594,,36.328,107.832,175.955,-19.043,16.191,,2.193,0.659,156.912,-45.822,111.09,0.0,0.0,0.0,111.09,0.0,111.09,0.0,0.0,111.09,111.09,0.0,92.516,1.2,1.2,1.2,95.03,1.17,1.17,1.17,
06/30/2016,417.905,417.905,,0.0,-246.737,95.533,31.947,63.586,,48.436,102.768,171.168,-8.82,15.9,,-7.184,0.104,162.348,-46.095,116.253,0.0,0.0,0.0,116.253,0.0,116.253,0.0,0.0,116.253,109.132979,-7.120021,92.665,1.25,1.25,1.177715,95.279,1.22,1.22,1.145272,
09/30/2016,484.426,484.426,,0.0,-293.371,112.084,34.18,77.904,,57.084,124.203,191.055,-20.851,17.814,,2.744,0.293,170.204,-40.586,129.618,0.0,0.0,0.0,129.618,0.0,129.618,0.0,0.0,129.618,129.618,0.0,92.631,1.4,1.4,1.4,95.307,1.36,1.36,1.36,
12/31/2016,514.953,514.953,,0.0,-348.158,113.304,38.763,74.541,,61.408,173.446,166.795,-62.52,21.991,,38.603,1.926,104.275,-58.031,46.244,0.0,0.0,0.0,46.244,0.0,46.244,0.0,0.0,46.244,75.412235,29.168235,92.574,1.03,1.03,0.814616,95.235,1.0,1.0,0.814616,
03/31/2017,520.433,520.433,,0.0,-325.365,134.271,38.837,95.434,,64.866,126.228,195.068,-27.7,23.127,,2.377,2.196,167.368,-43.675,123.693,0.0,0.0,0.0,123.693,0.0,123.693,0.0,0.0,123.693,123.693,0.0,92.108,1.34,1.34,1.34,94.56,1.31,1.31,1.31,
06/30/2017,541.237,541.237,,0.0,-325.194,126.526,38.957,87.569,,64.709,133.959,216.043,-25.654,23.851,,2.354,-0.551,190.389,-59.402,130.987,0.0,0.0,0.0,130.987,0.0,130.987,0.0,0.0,130.987,130.987,0.0,92.013,1.42,1.42,1.42,94.223,1.39,1.39,1.39,
09/30/2017,577.877,577.877,,0.0,-345.24,137.103,45.06,92.043,,69.156,138.981,232.637,94.865,29.344,,47.766,-171.975,327.502,-124.679,202.823,0.0,0.0,0.0,202.823,0.0,202.823,0.0,0.0,202.823,134.040638,-68.782362,90.751,2.23,2.23,1.477016,93.001,2.18,2.18,1.440413,
12/31/2017,609.991,609.991,,0.0,-369.979,160.511,47.863,112.648,0.0,65.829,143.639,240.012,-31.682,30.825,0.0,0.667,0.19,208.33,74.366,282.696,0.0,0.0,0.0,282.696,0.0,282.696,0.0,0.0,282.696,164.214126,-118.481874,89.676,3.15,3.15,1.831194,92.623,3.05,3.05,1.770816,
03/31/2018,585.5,585.5,,0.0,-325.413,137.426,47.111,90.315,,71.502,116.485,260.087,-30.768,31.065,,0.0,-0.297,229.319,-54.382,174.937,0.0,0.0,0.0,174.937,0.0,174.937,0.0,0.0,174.937,176.408548,1.471548,89.765,1.95,1.95,1.965226,93.25,1.88,1.88,1.895781,
06/30/2018,584.985,584.985,,0.0,-320.202,140.391,44.009,96.382,,68.61,111.201,264.783,-33.608,33.15,,0.0,0.458,231.175,-54.323,176.852,0.0,0.0,0.0,176.852,0.0,176.852,0.0,0.0,176.852,178.00411,1.15211,89.169,1.98,1.98,1.996256,92.702,1.91,1.91,1.922428,
09/30/2018,619.586,619.586,,0.0,-338.496,142.829,44.806,98.023,,67.267,128.4,281.09,-43.522,36.072,,7.147,0.303,237.568,-79.874,157.694,0.0,0.0,0.0,157.694,0.0,157.694,0.0,0.0,157.694,186.676315,28.982315,88.456,1.78,1.78,2.110386,92.081,1.71,1.71,2.024748,
12/31/2018,643.422,643.422,,0.0,-358.684,151.12,46.667,104.453,0.0,67.23,140.334,284.738,112.325,38.207,0.0,0.0,-150.532,397.063,-95.063,302.0,0.0,0.0,0.0,302.0,0.0,302.0,0.0,0.0,302.0,199.086975,-102.913025,87.636,3.45,3.45,2.271749,90.703,3.33,3.33,2.195385,
03/31/2019,621.825,621.825,,0.0,-337.649,142.045,49.261,92.784,,67.445,128.159,284.176,-54.935,39.055,,15.66,0.22,229.241,-57.134,172.107,0.0,0.0,0.0,172.107,0.0,172.107,0.0,0.0,172.107,184.813755,12.706755,85.941,2.0,2.0,2.150472,89.244,1.93,1.93,2.072382,
06/30/2019,647.094,647.094,,0.0,-349.777,158.64,51.856,106.784,,70.908,120.229,297.317,-40.057,39.529,,0.0,0.528,257.26,4.391,261.651,0.0,0.0,0.0,261.651,0.0,261.651,0.0,0.0,261.651,199.428154,-62.222846,86.36,3.03,3.03,2.309265,90.131,2.9,2.9,2.20964,
09/30/2019,681.048,681.048,,0.0,-351.907,149.84,51.79,98.05,,67.347,134.72,329.141,-36.384,36.504,,0.0,-0.12,292.757,-66.952,225.805,0.0,0.0,0.0,225.805,0.0,225.805,0.0,0.0,225.805,227.587,1.782,86.662,2.61,2.61,2.626145,90.522,2.49,2.49,2.509686,
12/31/2019,698.881,698.881,,0.0,-378.085,161.491,51.899,109.592,0.0,68.51,148.084,320.796,-22.235,34.96,0.0,-12.19,-0.535,298.561,-63.051,235.51,0.0,0.0,0.0,235.51,0.0,235.51,0.0,0.0,235.51,231.787979,-3.722021,86.6,2.72,2.72,2.676536,90.427,2.6,2.6,2.558839,
03/31/2020,661.093,661.093,,0.0,-460.11,161.969,55.859,106.11,,64.476,233.665,200.983,-28.684,35.679,,2.371,-9.366,172.299,-25.239,147.06,0.0,0.0,0.0,147.06,0.0,147.06,0.0,0.0,147.06,146.858934,-0.201066,84.902,1.73,1.73,1.729746,88.205,1.67,1.67,1.66772,
06/30/2020,525.146,525.146,,0.0,-312.335,129.113,42.374,86.739,,62.162,121.06,212.811,-1.183,32.412,,-33.7,2.471,211.628,-53.14,158.488,0.0,0.0,0.0,158.488,0.0,158.488,0.0,0.0,158.488,149.793722,-8.694278,83.895,1.89,1.89,1.78549,86.57,1.83,1.83,1.729569,
09/30/2020,588.0,,463.932,,,,,,,,,262.313,,,,,,231.0,,185.063,,,,,,185.063,,,185.063,234.526,,,2.136,2.136,2.696,,2.136,2.136,2.696,
12/31/2020,632.667,,499.80693,,,,,,,,,289.0,,,,,,257.692,,205.563,,,,,,205.563,,,205.563,255.842,,,2.366,2.366,2.886,,2.366,2.366,2.886,
