Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Discontinued Operations,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2013,10551,1001,1001,0,2913,2868,45,1162,652,135,375,0,557,65,4,,276.0,36,282,5633,2875,,,0.0,,2043,1224,467.0,757,,,208.0,331,4918,,3716,2501,244,26.0,945,59,0,,,,59.0,34,,24.0,201.0,0,3809,2367,2367,0.0,0.0,,1333,,888,220,3700,7509,0.0,1721,3.0,1718.0,0,1177.0,-377,2521,521,3042,10551,
09/30/2013,10811,1053,1053,0,2900,2856,44,1233,675,145,413,0,601,75,6,,269.0,74,282,5787,2982,,,0.0,,2042,1227,485.0,742,,,217.0,323,5024,,3796,2504,210,29.0,1053,59,0,,,,59.0,2,,43.0,210.0,0,3857,2359,2359,,,,1372,-16.0,909,226,3731,7588,0.0,1721,3.0,1718.0,0,1287.0,-262,2746,477,3223,10811,
12/31/2013,11047,1389,1389,0,2707,2662,45,1093,584,142,367,0,563,59,7,,,57,426,5752,3216,4806.0,-1590.0,0.0,,2079,1219,496.0,723,,,234.0,619,5295,,3833,2595,296,24.0,918,61,0,0.0,0.0,,61.0,0,0.0,32.0,0.0,0,3894,2351,2351,0.0,0.0,,1368,-4.0,959,381,3719,7613,0.0,1702,3.0,1699.0,0,1446.0,-237,2911,523,3434,11047,
03/31/2014,11182,978,978,0,3098,3066,32,1235,695,145,395,0,569,58,3,,267.0,54,293,5880,3251,,,0.0,,2051,1190,494.0,696,,,229.0,362,5302,,3860,2681,266,20.0,893,31,0,,,,31.0,39,,16.0,160.0,0,3930,2418,2418,,,,1340,18.0,958,188,3758,7688,0.0,1696,3.0,1693.0,0,1544.0,-279,2961,533,3494,11182,
06/30/2014,11452,1166,1166,0,3089,3049,40,1262,691,155,416,0,565,51,15,,,56,434,6082,3311,,,0.0,,2059,1158,489.0,669,,,248.0,638,5370,,3951,2696,250,31.0,974,32,0,,,,32.0,15,,,,0,3998,2420,2420,,,,1350,19.0,965,366,3770,7768,0.0,1698,3.0,1695.0,0,1646.0,-219,3125,559,3684,11452,
09/30/2014,10923,1026,1026,0,2860,2839,21,1227,681,145,401,0,569,62,1,,268.0,53,284,5682,3273,,,0.0,,1968,1083,456.0,627,,,243.0,373,5241,,3785,2521,258,19.0,987,37,0,,,,37.0,22,,8.0,162.0,0,3844,2417,2417,,,,1283,,911,202,3700,7544,0.0,1698,3.0,1695.0,0,1602.0,-406,2894,485,3379,10923,
12/31/2014,10721,859,859,0,2428,2400,28,1013,562,104,347,0,924,59,2,384.0,,34,446,5224,3021,4726.0,-1705.0,0.0,,2476,1384,656.0,728,,,98.0,992,5497,,3431,2278,323,30.0,800,34,0,0.0,0.0,,34.0,424,0.0,42.0,162.0,348,3889,2392,2392,0.0,0.0,,1427,4.0,1002,217,3819,7708,0.0,1703,3.0,1700.0,0,1548.0,-741,2510,503,3013,10721,
03/31/2015,10464,558,558,0,2706,2677,29,1081,629,86,366,0,1342,54,3,837.0,223.0,27,255,5687,2905,,,0.0,,1872,1292,611.0,681,,,101.0,253,4777,,3337,2287,302,9.0,739,44,0,,,,44.0,437,,113.0,164.0,406,3818,2673,2673,,,,1310,-58.0,926,165,3983,7801,0.0,1645,3.0,1642.0,0,1460.0,-950,2155,508,2663,10464,
06/30/2015,10809,1171,1171,0,2745,2700,45,1150,626,112,412,0,868,77,0,316.0,233.0,29,446,5934,2988,,,0.0,,1887,1280,619.0,661,,,93.0,281,4875,,3530,2386,230,29.0,885,43,0,,,,43.0,199,,92.0,180.0,165,3772,2693,2693,,,,1323,-58.0,922,187,4016,7788,0.0,1648,3.0,1645.0,0,1739.0,-897,2490,531,3021,10809,
09/30/2015,10792,434,434,0,2639,2615,24,1187,684,96,407,0,794,97,2,187.0,,39,466,5054,3010,,,,,2728,1304,640.0,664,,,93.0,1329,5738,,3380,2327,322,15.0,716,424,0,,,,424.0,224,,40.0,169.0,87,4028,2698,2698,,,,1292,4.0,898,181,3990,8018,0.0,1638,3.0,1635.0,0,1693.0,-1015,2316,458,2774,10792,
12/31/2015,11973,535,535,0,2775,2750,25,1181,634,98,449,0,630,78,2,223.0,,44,280,5121,3377,5321.0,-1944.0,23.0,23.0,3452,2922,1539.0,1383,,,94.0,434,6852,,3632,2541,330,39.0,722,52,0,0.0,0.0,,52.0,243,0.0,23.0,252.0,130,3927,3956,3956,0.0,0.0,,1357,3.0,854,225,5313,9240,0.0,1656,3.0,1653.0,0,1627.0,-1033,2250,483,2733,11973,
03/31/2016,12071,463,463,0,2961,2934,27,1287,696,110,481,0,371,69,0,0.0,,50,249,5082,3446,,,0.0,,3543,2963,1578.0,1385,,,100.0,480,6989,,3598,2514,223,26.0,835,368,0,,,,368.0,95,,14.0,267.0,0,4061,3985,3985,,,,1381,5.0,849,246,5366,9427,0.0,1605,3.0,1602.0,0,1629.0,-969,2265,379,2644,12071,
06/30/2016,11957,437,437,0,2927,2900,27,1318,692,110,516,0,369,60,2,0.0,227.0,46,259,5051,3430,,,26.0,26.0,3450,2916,1571.0,1345,,,96.0,209,6906,,3719,2527,298,48.0,846,97,0,,,,97.0,83,,8.0,275.0,0,3899,3969,3969,,,,1319,5.0,807,224,5288,9187,0.0,1611,3.0,1608.0,0,1749.0,-979,2381,389,2770,11957,
09/30/2016,12122,395,395,0,2999,2983,16,1375,739,117,519,0,378,53,1,0.0,223.0,63,258,5147,3522,,,26.0,26.0,3427,2905,1583.0,1322,,,104.0,194,6975,,3741,2544,210,23.0,964,36,0,,,,36.0,64,,9.0,283.0,0,3841,4038,4038,,,,1322,5.0,794,231,5360,9201,0.0,1623,3.0,1620.0,0,1870.0,-941,2552,369,2921,12122,
12/31/2016,12292,737,737,0,2137,2130,7,859,491,72,296,0,1686,62,12,1390.0,130.0,25,183,5419,2325,3745.0,-1420.0,6.0,6.0,4542,2650,1502.0,1148,8.0,618.0,67.0,124,6873,,3006,1820,194,40.0,952,10,0,,,,10.0,1132,0.0,15.0,143.0,1072,4148,3953,3919,34.0,34.0,,1428,4.0,439,209,5381,9529,0.0,1636,3.0,1633.0,0,1980.0,-1215,2401,362,2763,12292,
03/31/2017,12497,547,547,0,3159,3132,27,1375,739,118,518,0,406,69,13,0.0,256.0,55,263,5487,3569,,,41.0,41.0,3400,2801,1557.0,1244,,0.0,118.0,212,7010,,4061,2549,190,27.0,1295,8,0,,,,8.0,23,,1.0,162.0,0,4092,3991,3991,,,,1465,6.0,962,334,5456,9548,0.0,1609,3.0,1606.0,0,2057.0,-1087,2579,370,2949,12497,
06/30/2017,13056,792,792,0,3163,3127,36,1485,789,129,567,0,409,62,13,0.0,258.0,60,254,5849,3671,,,51.0,51.0,3485,2860,1628.0,1232,,,127.0,227,7207,,4145,2603,178,38.0,1326,13,0,,,,13.0,12,,0.0,170.0,0,4170,4059,4059,,,,1542,5.0,986,381,5601,9771,0.0,1620,3.0,1617.0,0,2257.0,-982,2895,390,3285,13056,
09/30/2017,14166,557,557,0,3268,3225,43,1642,855,152,635,0,1243,81,13,0.0,272.0,72,1047,6710,3819,,,77.0,77.0,3560,2883,1670.0,1213,,,130.0,262,7456,,4113,2745,233,30.0,1105,15,0,,,,15.0,15,,0.0,178.0,0,4143,4884,4884,,,,1525,5.0,1004,338,6409,10552,0.0,1631,3.0,1628.0,0,2485.0,-913,3203,411,3614,14166,
12/31/2017,12169,1596,1596,0,2456,2440,16,1083,584,100,399,0,506,104,8,,185.0,46,319,5641,2804,4602.0,-1798.0,56.0,56.0,3668,3163,1944.0,1219,4.0,,91.0,217,6528,,3501,2227,248,41.0,985,17,0,,,,17.0,22,,11.0,222.0,0,3540,4132,4090,42.0,42.0,,980,4.0,454,289,5112,8652,0.0,1652,3.0,1649.0,0,2118.0,-471,3299,218,3517,12169,
03/31/2018,12560,1345,1345,0,2661,2646,15,1202,675,107,420,0,718,116,5,,183.0,62,506,5926,2890,,,0.0,,3744,3184,1980.0,1204,,0.0,101.0,271,6634,,3622,2282,264,29.0,1047,60,0,,,,60.0,26,,23.0,218.0,0,3708,4163,4163,,,,991,4.0,460,286,5154,8862,0.0,1625,3.0,1622.0,0,2278.0,-436,3467,231,3698,12560,
06/30/2018,12316,970,970,0,2623,2598,25,1265,725,109,431,0,482,96,1,0.0,186.0,51,324,5340,2972,,,0.0,,4004,3402,2157.0,1245,,,99.0,316,6976,,3401,2307,228,39.0,827,22,0,,,,22.0,15,,10.0,268.0,0,3438,4067,4030,37.0,37.0,,1053,3.0,432,340,5120,8558,0.0,1635,3.0,1632.0,0,2510.0,-622,3523,235,3758,12316,
09/30/2018,12327,771,771,0,2665,2635,30,1358,772,105,481,0,410,93,12,0.0,241.0,30,266,5204,3056,,,0.0,,4067,3378,2162.0,1216,,,101.0,335,7123,,3347,2254,242,30.0,821,24,0,,,,24.0,16,,8.0,223.0,0,3387,4084,4050,34.0,34.0,,1047,2.0,439,375,5131,8518,0.0,1636,3.0,1633.0,0,2610.0,-638,3608,201,3809,12327,
12/31/2018,12480,567,567,0,2530,2487,43,1277,724,101,452,0,403,80,2,,143.0,73,241,4777,3179,5343.0,-2164.0,72.0,72.0,4452,3904,2524.0,1380,2.0,,99.0,302,7703,,3331,2334,206,42.0,749,306,0,,,,306.0,57,,10.0,233.0,36,3694,4038,4006,32.0,32.0,,1078,3.0,445,387,5116,8810,0.0,1642,3.0,1639.0,0,2511.0,-694,3459,211,3670,12480,
03/31/2019,13019,321,321,0,2771,2736,35,1326,761,107,458,0,401,86,9,,152.0,42,260,4819,3652,,,94.0,94.0,4454,3837,2503.0,1334,,0.0,102.0,354,8200,,3369,2340,197,24.0,808,635,0,95.0,2.0,93.0,540.0,10,,9.0,242.0,0,4014,4345,3979,366.0,16.0,350.0,1025,4.0,440,330,5370,9384,0.0,1609,3.0,1606.0,0,2491.0,-682,3418,217,3635,13019,
06/30/2019,13108,365,365,0,2699,2679,20,1304,733,108,463,0,486,77,5,,148.0,45,345,4854,3681,,,94.0,94.0,4479,3822,2517.0,1305,,,103.0,401,8254,,3365,2284,195,48.0,838,609,0,94.0,2.0,92.0,515.0,17,,5.0,238.0,0,3991,4347,3982,365.0,15.0,350.0,1038,3.0,439,353,5385,9376,0.0,1621,3.0,1618.0,0,2597.0,-699,3519,213,3732,13108,
09/30/2019,12939,341,341,0,2669,2661,8,1345,756,103,486,0,1030,79,5,525.0,137.0,67,337,5385,3556,,,95.0,95.0,3903,3264,2136.0,1128,,,105.0,392,7554,,3289,2232,204,24.0,829,536,0,96.0,4.0,92.0,440.0,50,,8.0,236.0,25,3875,4268,3920,348.0,19.0,329.0,1015,3.0,422,346,5283,9158,0.0,1626,3.0,1623.0,0,2745.0,-806,3565,216,3781,12939,
12/31/2019,13459,412,412,0,2579,2569,10,1286,706,102,478,0,1042,88,10,532.0,164.0,45,341,5319,3722,6330.0,-2608.0,101.0,101.0,4317,3593,2407.0,1186,2.0,,106.0,442,8140,,3518,2463,184,47.0,824,487,0,98.0,4.0,94.0,389.0,49,0.0,6.0,229.0,34,4054,4300,3953,347.0,18.0,329.0,1094,3.0,483,373,5394,9448,0.0,1648,3.0,1645.0,0,2890.0,-719,3819,192,4011,13459,
03/31/2020,16167,2055,2055,0,2318,2308,10,1363,793,107,463,0,454,81,0,0.0,151.0,65,301,6190,3642,,,101.0,101.0,6234,3521,2389.0,1132,,0.0,2090.0,472,9977,,3223,2243,165,22.0,793,353,0,97.0,4.0,93.0,256.0,79,,40.0,213.0,0,3655,6272,5947,325.0,17.0,308.0,1087,4.0,466,364,7359,11014,0.0,1609,3.0,1606.0,0,4353.0,-991,4971,182,5153,16167,
06/30/2020,15280,1885,1885,0,1841,1834,7,1212,714,98,400,0,474,72,3,0.0,143.0,104,295,5412,3573,,,101.0,101.0,6194,3505,2401.0,1104,,,2073.0,470,9868,,2524,1432,208,45.0,839,295,0,99.0,4.0,95.0,196.0,40,,14.0,205.0,0,2859,4239,3930,309.0,16.0,293.0,1056,4.0,468,365,5295,8154,,3852,3.0,3849.0,0,3984.0,-894,6942,184,7126,15280,
