Date,Revenue,Rental Income,Base Rent,Recoveries from Tenants,Percentage Rent,Other Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,Impairment of Assets,Disposal of Con Assets,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Amortization of Financing Costs,Recurring Capital Expenditure,Accounting Adjustments,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/2000,23.962,23.413,,,,,0.0,0.0,0.0,0.549,-7.067,4.974,2.093,5.607,0.0,,0.0,11.288,-5.551,5.551,0.0,0.0,5.737,0.0,,,,0.0,,,5.737,,5.737,-0.916,,4.821,4.821,,13.780276,0.35,0.35,0.35,13.9124,0.35,0.35,0.35,,,,,,,10.428,,10.428,,,,,,,10.428,0.749547,0.749547,0.43,57.367971,57.367971,56.875719,
06/30/2000,24.91,24.357,,,,,,,,0.553,-12.601,4.827,2.104,5.67,,,,12.309,-5.968,5.968,,,6.341,,,,,,,,,,6.341,-0.916,,5.425,5.425,,14.272509,0.38,0.38,0.38,14.450365,0.38,0.38,0.38,,,,,,,11.095,,11.095,,,,,,,11.095,0.767801,0.767801,0.43,56.004119,56.004119,55.772871,
09/30/2000,28.475,27.244,,,,,0.0,0.0,0.0,1.231,-8.418,6.027,2.391,6.46,0.0,,0.0,13.597,-7.066,7.066,0.0,0.0,6.531,0.0,,,,0.0,,,6.531,,6.531,-0.916,,5.615,5.615,,14.518005,0.39,0.39,0.39,14.782077,0.38,0.38,0.38,,,,,,,12.075,,12.075,,,,,,,12.075,0.816868,0.816868,0.43,52.640109,52.640109,55.320911,
12/31/2000,29.563,28.389999,,,,,0.0,0.0,0.0,1.173,-16.497,6.045,2.398,8.054,0.0,,0.0,13.066,-5.666,5.666,0.0,0.0,7.4,0.0,,,,0.0,,,7.4,,7.4,-0.916,,6.484,6.484,,15.446,0.42,0.42,0.42,15.728,0.41,0.41,0.41,,,,,,,12.998,,12.998,,,,,,,12.998,0.826424,0.826424,0.43,52.031389,52.031389,50.53085,
03/31/2001,30.995,29.907,,,,,0.0,0.0,0.0,1.088,-9.594,6.72,2.874,6.734,0.0,,0.0,14.667,-7.361,7.361,0.0,0.0,7.306,0.0,,,,0.0,,,7.306,,7.306,-0.916,,6.39,6.39,,15.4711,0.41,0.41,0.41,15.704458,0.41,0.41,0.41,,,,,,,13.124,,13.124,,,,,,,13.124,0.835686,0.835686,0.46,55.04458,55.04458,54.884182,
06/30/2001,30.399,29.461,,,,,,,,0.938,-16.192,5.91,2.819,7.463,,,,14.207,-6.883,6.883,,,7.324,,,,,,,,,,7.324,-0.916,,6.408,6.408,,16.011654,0.4,0.4,0.4,16.253036,0.39,0.39,0.39,,,,,,,13.871,,13.871,,,,,,,13.871,0.853441,0.853441,0.46,53.899478,53.899478,53.911037,
09/30/2001,32.73,32.112,,,,,,,,0.618,-9.81,6.925,2.885,8.191,,,,14.729,-7.278,7.278,,,7.451,,,,,,,,,,7.451,-0.916,,6.535,6.535,,16.135399,0.41,0.41,0.41,16.413591,0.4,0.4,0.4,,,,,,,14.726,,14.726,,,,,,,14.726,0.897183,0.897183,0.46,51.271573,51.271573,50.814885,
12/31/2001,33.666,33.042,,,,,,,,0.624,-17.866,6.56,3.116,8.19,,,,15.8,-7.604,7.604,0.0,0.0,22.971,,,,,,,,,,8.196,-0.458,,7.738,7.738,,16.195683,0.477782,0.477782,0.477782,16.461627,0.470063,0.470063,0.470063,,,,,,,15.468,,15.468,,,,,,,15.468,0.93964,0.93964,0.46,48.954929,48.954929,50.213344,
03/31/2002,33.672,33.189,,,,,,,,0.483,-10.131,6.658,3.473,7.994,,,,15.547,-6.359,6.359,,,9.188,,,,,-0.415,,,,,9.603,-1.905,,7.698,7.698,,16.409258,0.47,0.44,0.44,16.720857,0.46,0.44,0.44,,,,,,,15.935,,15.935,,,,,,,15.935,0.953001,0.953001,0.5,52.465821,52.465821,52.845937,
06/30/2002,34.841,34.536,,,,,,,,0.305,-10.206,6.898,3.308,8.314,,,,16.321,-6.517,6.517,,,9.804,,,,,-0.416,,,,,10.22,-2.225,,7.995,7.995,,16.747201,0.48,0.452553,0.45,17.11783,0.47,0.445698,0.44,,,,,,,16.552,,16.552,,,,,,,16.552,0.966945,0.966945,0.5,51.70925,51.70925,51.045191,
09/30/2002,36.864,36.564,,,,,,,,0.3,-11.458,8.255,3.203,8.334,,,,17.072,-5.726,5.726,,,11.346,,,,,0.591,,,,,10.755,-2.225,,8.53,8.53,,18.329443,0.47,0.52,0.5,18.5563,0.46,0.52,0.5,,,,,,,18.114,,18.114,,,,,,,18.114,0.976164,0.976164,0.5,51.220879,51.220879,52.362813,
12/31/2002,36.894,36.425,,,,,0.0,0.0,0.0,0.455,-19.032,7.324,3.452,8.256,0.0,,0.0,17.862,-8.927,6.382,0.0,2.545,8.935,0.0,,,,-0.519,,,9.454,,9.454,-2.224,,7.23,7.23,,24.078138,0.37,0.28,0.47,24.078138,0.37,0.18,0.46,,,,,,,,,,,,,,,,,,,0.5,,,,
03/31/2003,40.039,39.701,,,,,0.0,0.0,0.0,0.338,-12.125,8.576,3.549,9.374,,,,18.54,-6.871,6.871,0.0,0.0,11.669,,,,,-0.48,,,,,12.149,-2.225,,9.924,9.924,,18.895821,0.53,0.499793,0.5,19.136372,0.52,0.494917,0.49,,,,,,,19.84,,19.84,,,,,,,19.84,1.036769,1.036769,0.53,51.120349,51.120349,50.771169,
06/30/2003,39.456,39.078,,,,,,,,0.378,-11.68,8.136,3.544,9.678,,,,18.098,-6.512,6.512,0.0,0.0,11.586,,,,,-0.963,,,,,12.549,-2.225,,10.324,10.324,,18.952445,0.54,0.49392,0.49,19.190472,0.54,0.489819,0.49,,,,,,,20.084,,20.084,,,,,,,20.084,1.046561,1.046561,0.53,50.642054,50.642054,50.453097,
09/30/2003,40.085,39.38,,,,,0.0,0.0,0.0,0.705,-11.739,8.171,3.568,9.737,,,,18.609,-6.532,6.532,0.0,0.0,12.077,,,,,-9.517,,,,,21.594,-2.225,,19.369,19.369,,19.023162,1.02,0.517895,0.52,19.276932,1.0,0.506301,0.51,,,,,,,20.405,,20.405,,,,,,,20.405,1.058519,1.058519,0.56,52.904102,52.904102,52.590051,
12/31/2003,39.105,38.519,,,,,0.0,0.0,0.0,0.586,-20.347,7.198,3.55,9.599,0.0,,0.0,29.897,-6.501,6.501,0.0,0.0,23.396,0.0,,,,21.184,,,2.212,,13.351,-2.223,,11.128,11.128,,19.103996,0.58,0.48,0.69,19.387384,0.58,0.84,0.69,,,,,,,21.03,,21.03,,,,,,,21.03,1.084726,1.084726,0.58,53.469723,53.469723,53.128864,
03/31/2004,42.775,42.088,,,,,0.0,0.0,0.0,0.687,-22.352,8.735,3.636,9.981,0.0,,0.0,20.423,-6.709,6.709,0.0,0.0,13.714,0.0,,,,0.0,,,13.714,,15.34,-2.225,,13.115,13.115,,19.207,0.68,0.6,0.6,19.584,0.67,0.59,0.59,,,,,,,21.469,,21.469,,,,,,,21.469,1.096252,1.096252,0.6,54.731939,54.731939,53.677395,
06/30/2004,43.523,42.915,,,,,0.0,0.0,0.0,0.608,-12.622,8.808,3.814,10.088,0.0,,0.0,20.813,-6.926,6.926,0.0,0.0,13.887,0.0,,,,0.0,,,13.887,,13.887,-2.284,,9.727,9.727,,19.285,0.5,0.5,0.5,19.609,0.5,0.5,0.5,,,,,,,19.815,,19.815,,,,,,,19.815,1.010505,1.010505,0.62,61.355438,61.355438,60.343174,
09/30/2004,46.459,45.475,,,,,,,,0.984,-24.405,10.178,3.662,10.565,,,,22.054,-6.626,6.626,0.0,0.0,15.428,0.0,,,,-0.036,,,15.464,,15.464,-4.094,,11.37,11.37,,19.35267,0.59,0.585656,0.59,19.66836,0.58,0.57817,0.58,,,,,,,21.944,,21.944,,,,,,,21.944,1.115701,1.115701,0.64,57.363062,57.363062,56.442348,
12/31/2004,50.476,49.214,,,,,0.0,0.0,0.0,1.262,-26.563,10.69,3.993,11.88,0.0,,0.0,23.913,-8.409,8.409,0.0,0.0,15.504,0.0,,,,0.0,,,15.504,,15.504,-4.022,,11.482,11.482,,19.416,0.59,0.59,0.59,19.755,0.58,0.58,0.58,,,,,,,23.392,,23.392,,,,,,,23.392,1.184105,1.184105,0.66,55.738287,55.738287,54.783687,
03/31/2005,55.055,54.334,,,,,0.0,0.0,0.0,0.721,-29.352,12.401,4.445,12.506,0.0,,0.0,25.703,-11.321,11.321,0.0,0.0,14.382,0.0,,,10.967,-0.607,,,14.989,,14.989,-4.022,,10.967,10.967,,19.46862,0.56,0.53,0.53,19.789798,0.55,0.52,0.52,,12.641,,,,,23.608,,23.608,,,,,,,23.608,1.192938,1.192938,0.66,55.325596,55.325596,54.427691,
06/30/2005,57.277,56.208,,,,,,,,1.069,-17.25,12.485,4.765,13.088,,,,26.939,-11.248,11.248,,0.0,15.691,,,,12.25,-0.582,,,,,16.273,-4.023,,12.25,12.25,,20.936265,0.59,0.56,0.56,21.275364,0.58,0.55,0.55,,13.251,,,,,25.501,,25.501,,,,,,,25.501,1.198616,1.198616,0.68,56.732079,56.732079,55.827851,
09/30/2005,62.026,60.676,,,,,0.0,0.0,0.0,1.35,-19.943,13.95,5.993,13.744,0.0,,0.0,28.339,-13.16,13.16,0.0,0.0,15.179,0.0,,,11.969,-1.046,,,16.225,,15.991,-4.022,,11.969,11.969,,21.091183,0.57,0.52,0.52,21.486731,0.56,0.51,0.51,,14.073,,,,,26.042,,26.042,,,,,,,26.042,1.212004,1.212004,0.68,56.105434,56.105434,55.072592,
12/31/2005,63.78,62.122,,,,,0.0,0.0,0.0,1.658,-34.811,14.271,5.885,14.655,0.0,,0.0,28.969,-13.387,13.387,0.0,0.0,15.582,0.0,,,12.157,-0.998,,,16.58,-0.016,16.18,-4.023,,12.157,12.157,,22.299592,0.545,0.5,0.5,22.715651,0.535,0.49,0.49,,15.451,,,,,27.592,,27.592,,,,,,,27.592,1.214669,1.214669,0.7,57.628862,57.628862,65.519158,
03/31/2006,68.283,66.285,,,,,0.0,0.0,0.0,1.998,-36.989,15.341,6.451,15.197,0.0,,0.0,31.294,-14.865,14.865,0.0,0.0,16.429,0.0,,,12.733,-0.696,,,17.125,-0.022,16.755,-4.022,,12.733,12.733,,22.32229,0.57,0.54,0.54,22.759795,0.56,0.53,0.53,,15.443,,,,,28.154,,28.154,,,,,,,28.154,1.237006,1.237006,0.7,56.588252,56.588252,55.500472,
06/30/2006,70.187,67.707,,,,,0.0,0.0,0.0,2.48,-36.589,14.229,6.269,16.091,0.0,,0.0,33.598,-16.317,16.317,0.0,0.0,17.281,0.0,,,13.139,-0.251,,,17.532,-0.022,17.162,-4.023,,13.139,13.139,,22.85638,0.57,0.56,0.56,23.250681,0.57,0.56,0.56,,16.169,,,-0.59,,29.227,,29.227,,,,,,,29.227,1.257038,1.257038,0.7,55.686443,55.686443,54.742074,
09/30/2006,84.754,81.323,,,,,0.0,0.0,0.0,3.431,-46.257,19.797,6.652,19.808,0.0,,0.0,38.497,-19.041,19.041,0.0,0.0,19.456,0.0,,,14.942,-0.217,,,19.673,0.315,18.964,-4.022,,14.942,14.942,,26.323345,0.57,0.56,0.56,26.71405,0.56,0.55,0.55,,19.973,,,0.531,,35.23,,35.23,,,,,,,35.23,1.318782,1.318782,0.72,54.595844,54.595844,53.797356,
12/31/2006,91.907,87.989,,,,,0.0,0.0,0.0,3.918,-50.413,21.625,6.693,22.095,0.0,,0.0,41.494,-21.148,21.148,0.0,0.0,20.346,0.0,,,16.512,-1.027,,,21.373,0.088,20.535,-4.023,,16.512,16.512,,28.821942,0.57,0.53,0.53,29.222144,0.57,0.53,0.53,,22.454,,,,,39.054,,39.054,,,,,,,39.054,1.336452,1.336452,0.74,55.370478,55.370478,68.613004,
03/31/2007,94.786,91.048,,,,,0.0,0.0,0.0,3.738,-31.351,23.277,8.074,22.92,0.0,,0.0,40.515,-20.263,20.263,0.0,0.0,20.252,0.0,,,15.108,-2.439,,,22.691,0.041,21.784,-3.877,,15.108,15.108,,28.899303,0.52,0.44,0.44,29.299733,0.52,0.44,0.44,,23.518,,,-1.121,,37.546,,37.546,,,,,,,37.546,1.281445,1.281445,0.74,57.747303,57.747303,58.104725,
06/30/2007,93.769,90.37,,,,,0.0,0.0,0.0,3.399,-52.111,22.169,7.808,22.134,0.0,,0.0,41.658,-19.58,19.58,0.0,0.0,22.078,0.0,,,21.334,-2.872,,,24.95,-0.041,24.048,-2.714,,21.334,21.334,,29.045354,0.73,0.63,0.63,29.362514,0.73,0.63,0.63,,22.654,,,-2.34,,41.607,,41.607,-2.617,,,,,,38.99,1.417011,1.327884,0.76,53.634029,57.233933,53.0547,
09/30/2007,102.107,98.39,,,,,0.0,0.0,0.0,3.717,-56.98,24.944,8.31,23.726,0.0,,0.0,45.127,-23.659,23.659,0.0,0.0,21.468,0.0,,,20.186,-2.341,,,23.809,-0.043,22.9,-2.714,,20.186,20.186,,29.258184,0.69,0.61,0.61,29.507316,0.68,0.6,0.6,,24.194,,,-1.614,,42.723,,42.723,-4.335,,,,,,38.388,1.452833,1.305417,0.76,52.311594,58.218928,52.047421,
12/31/2007,107.596,103.631,,,,,0.0,0.0,0.0,3.965,-61.524,26.923,8.127,26.474,0.0,,0.0,46.072,-23.451,23.451,0.0,0.0,22.621,0.0,,,22.277,-3.322,,,25.943,-0.021,24.992,-2.715,,22.277,22.277,,31.446999,0.71,0.6,0.6,31.729054,0.7,0.6,0.6,,26.969,,,-2.901,,46.324,,46.324,,,,,,,46.324,1.459987,1.459987,0.78,53.425141,53.425141,52.950219,
03/31/2008,109.562,106.312,,,,,0.0,0.0,0.0,3.25,-37.048,28.261,8.787,25.591,0.0,,0.0,46.923,-25.445,23.46,0.0,1.985,21.478,0.0,,,32.769,-15.673,,,37.151,-0.016,36.2,-2.928,,32.769,32.769,,31.546591,1.04,0.55,0.61,31.687241,1.03,0.54,0.6,,25.81,,,-20.213,-0.084,38.266,6.635,44.901,-3.015,,,,,-0.238,41.648,1.411895,1.309605,0.78,55.24491,59.559924,64.303405,
06/30/2008,108.778,105.887,,,,,0.0,0.0,0.0,2.891,-35.592,27.145,8.447,26.735,0.0,0.0,0.0,46.451,-18.739,18.739,0.0,0.0,27.712,0.0,,,,0.0,,0.0,27.776,-0.07,26.828,-7.118,1.976,19.42,19.42,,31.615359,0.61,0.61,0.61,31.740291,0.61,0.61,0.61,,27.003,,,0.0,-0.392,45.777,,45.777,-2.085,3.008,1.659,-0.461,0.084,-1.008,48.95,1.442236,1.542204,0.8,55.469412,51.873816,55.251081,
09/30/2008,112.531,109.891,,,,,0.0,0.0,0.0,2.64,-37.644,29.057,8.587,26.924,0.0,,0.0,47.963,-21.289,21.289,0.0,0.0,26.674,0.0,,,19.318,-0.928,,,27.602,-0.125,26.673,-7.09,,19.583,19.583,,31.694711,0.61,0.58,0.58,31.807455,0.61,0.58,0.58,,27.447,,,0.0,-0.367,46.273,,46.273,-3.274,,,,,,42.999,1.454785,1.351853,0.8,54.990954,59.178037,54.796034,
12/31/2008,124.504,122.077,,,,,0.0,0.0,0.0,2.427,-37.441,28.468,8.973,27.874,0.0,,0.0,59.189,-32.2,20.934,0.0,11.266,26.989,0.0,,,19.224,-0.579,,,27.568,-0.098,26.597,-7.089,3.563,19.224,19.224,,31.757072,0.61,0.59,0.94,31.883885,0.6,0.58,0.93,,28.483,,,-0.006,-0.413,47.19,11.266,58.456,-1.444,,,-0.202,1.225,-1.931,59.667,1.837641,1.87571,0.8,43.534074,42.650508,53.836952,
03/31/2009,131.559,130.807,0.0,26.796,0.0,104.011,0.0,0.0,0.0,0.752,-73.094,32.434,9.418,31.242,,0.0,0.0,58.465,-20.199,20.199,,0.0,38.266,0.0,0.0,0.0,32.768,-2.983,-2.983,0.0,41.249,-0.202,40.374,-7.089,1.662,32.768,29.785,0.0,32.478671,1.01,0.92,0.92,32.498107,1.01,0.92,0.92,,31.446,,,-2.234,-0.449,61.329,,61.329,-0.385,2.984,1.793,-0.492,-2.483,-0.691,63.717,1.887156,1.960637,0.8,42.39183,40.80306,42.366477,
06/30/2009,121.039,112.129,0.0,24.668,0.0,87.461,0.0,0.0,0.0,8.91,-67.528,29.224,8.804,29.5,,0.0,0.0,53.511,-10.119,21.373,,-11.254,43.392,0.0,0.0,0.0,32.298,-0.724,-0.724,0.0,44.116,3.52,39.754,-7.089,1.631,32.298,20.32,-11.254,38.649971,0.83,0.816922,0.525744,43.071925,0.82,0.803191,0.525744,,29.722,,,0.0,2.861,68.401,-11.254,57.147,-1.222,3.755,4.628,-0.27,0.869,-0.894,65.644,1.326781,1.524055,0.35,26.379642,22.965044,19.776743,
09/30/2009,115.826,114.649,0.0,26.23,0.0,88.419,0.0,0.0,0.0,1.177,-68.941,31.218,9.611,28.112,,0.0,0.0,46.885,-21.225,21.225,,0.0,25.66,0.0,0.0,0.0,18.203,-0.718,-0.718,0.0,26.378,-0.032,25.492,-7.09,1.545,18.203,17.485,0.0,39.094018,0.47,0.447255,0.447255,39.10595,0.47,0.447255,0.447255,,28.336,,,0.0,4.102,50.609,0.0,50.609,-1.542,4.074,4.984,-0.565,-1.51,-0.819,56.776,1.127073,1.264413,0.35,31.053899,27.68083,27.036508,
12/31/2009,115.06,114.05,0.0,25.421,0.0,88.629,0.0,0.0,0.0,1.01,-66.876,29.434,8.468,28.974,,0.0,0.0,48.184,-19.452,19.452,,0.0,28.732,0.0,0.0,0.0,21.65,-1.173,-1.173,0.0,29.905,-0.082,28.981,-7.089,1.66,21.65,20.477,0.0,43.715462,0.5,0.47,0.47,43.750301,0.49,0.46,0.46,,29.004,,,-0.393,4.068,54.247,,54.247,-5.664,3.195,2.081,-0.607,1.541,-2.334,54.119,1.094851,1.092267,0.35,31.967834,32.043443,28.205084,
03/31/2010,116.493,115.421,0.0,26.564,0.0,88.857,0.0,0.0,0.0,1.072,-70.739,31.548,9.479,29.712,,0.0,0.0,45.754,-17.562,17.562,,0.0,28.192,0.0,0.0,0.0,20.542,-0.593,-0.593,0.0,28.785,-0.163,27.85,-7.089,1.356,20.542,19.949,0.0,43.821765,0.47,0.46,0.46,43.857513,0.47,0.46,0.46,,29.738,,,-0.024,3.887,53.98,0.0,53.98,-2.703,2.706,5.098,-0.303,-2.247,-1.485,56.402,1.087109,1.135886,0.35,32.19547,30.812941,28.413519,
06/30/2010,117.01,116.088,0.0,26.576,0.0,89.512,0.0,0.0,0.0,0.922,-68.9,30.335,8.266,30.299,,0.0,0.0,48.11,-60.274,18.778,,41.496,-12.164,0.0,0.0,0.0,-20.393,0.06,0.06,0.0,-12.224,-0.109,-13.154,-7.09,1.302,-20.393,21.163,41.496,44.870142,-0.45,-0.45,0.47165,44.870142,-0.45,-0.45,0.47165,,30.342,,,0.0,0.0,9.84,41.496,51.336,-2.188,2.295,4.875,-0.44,-1.33,-1.801,54.049,1.143213,1.20363,0.35,30.615454,29.078706,159.599082,
09/30/2010,120.314,118.746,0.0,29.179,0.0,89.567,0.0,0.0,0.0,1.568,-72.954,33.154,8.042,31.758,,0.0,0.0,47.36,-17.378,16.078,,1.3,29.982,0.0,0.0,0.0,22.235,-0.479,-0.479,0.0,30.461,-0.133,29.541,-7.089,1.544,22.235,23.056,1.3,49.807241,0.45,0.44,0.462905,49.830339,0.45,0.44,0.462905,,32.009,,,0.0,-0.249,53.862,1.3,55.162,-4.936,2.649,3.887,-0.329,-1.927,-0.856,55.194,1.106244,1.106886,0.35,31.63859,31.620246,32.365182,
12/31/2010,131.778,130.145,0.0,30.614,0.0,99.531,0.0,0.0,0.0,1.633,-79.698,36.688,8.601,34.409,,0.0,0.0,52.08,39.912,17.158,,-57.07,91.992,0.0,0.0,0.0,83.241,-0.008,-0.008,0.0,92.0,-0.092,91.056,-7.089,1.486,83.241,85.605,2.372,54.865654,1.52,1.52,1.560266,54.89341,1.52,1.52,1.560266,,34.551,,,-59.442,0.216,58.474,2.372,60.846,-7.668,2.786,4.031,-0.26,-2.364,-2.583,56.274,1.108439,1.02515,0.45,40.597631,43.895999,42.223115,
