Date,Revenue,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1993,2796.5,-2202.5,594.0,-119.5,,-19.299999,455.200001,-155.199997,300.0,0.0,0.0,300.0,0,300.0,,,300.000004,,0.2775,0.2775,1083.339966,0.2775,0.2775,0.2775,1083.339966,
06/30/1993,2950.800049,-2302.100098,648.700012,-118.099998,,27.4,558.000013,-168.399994,389.600006,0.0,0.0,389.600006,0,389.600006,,,389.600019,,0.3575,0.3575,1086.744019,0.3575,0.3575,0.3575,1086.744019,
09/30/1993,2946.800049,-2326.399902,620.400024,-117.0,,103.599998,607.000023,-182.0,425.0,0.0,0.0,425.0,0,425.0,,,425.000023,,0.39,0.39,1089.868042,0.39,0.39,0.39,1089.868042,
12/31/1993,3016.300049,-2321.199951,695.099976,-109.699997,,16.9,602.299979,-204.100006,398.200012,0.0,0.0,398.200012,0,398.200012,,,398.199973,0.365,0.365,0.365,1092.54004,0.365,0.365,0.365,1092.54004,
03/31/1994,2990.399902,-2319.5,670.900024,-105.199997,,-497.100006,68.600021,-24.799999,43.799999,0.0,0.0,43.799999,0,43.799999,,,43.800022,,0.04,0.04,1094.69397,0.04,0.04,0.04,1094.69397,
06/30/1994,3184.399902,-2438.800049,745.599976,-107.300003,,32.5,670.799973,-224.199997,446.600006,0.0,0.0,446.600006,0,446.600006,,,446.599976,,0.405,0.405,1097.27002,0.405,0.405,0.405,1097.27002,
09/30/1994,3121.399902,-2689.0,432.399994,-117.800003,,45.599998,360.199989,-109.300003,250.899994,0.0,0.0,250.899994,0,250.899994,,,250.899986,,0.23,0.23,1099.786011,0.23,0.23,0.23,1099.786011,
12/31/1994,3311.300049,-3130.899902,180.399994,-101.5,,562.900024,641.800018,-212.699997,429.100006,-2234.0,0.0,-1804.900024,0,-1804.900024,,,429.100021,,0.385,-1.64,1102.062012,0.385,0.385,-1.64,1102.062012,
03/31/1995,3145.699951,-2413.0,732.700012,-117.900002,,289.899994,904.700005,-325.799988,578.900024,0.0,0.0,578.900024,0,578.900024,,,578.900017,,0.525,0.525,1104.537964,0.525,0.525,0.525,1104.537964,
06/30/1995,3368.899902,-2509.300049,859.599976,-119.300003,,35.0,775.299973,-271.799988,503.5,0.0,0.0,503.5,0,503.5,,,503.499985,,0.455,0.455,1107.400024,0.455,0.455,0.455,1107.400024,
09/30/1995,3381.399902,-2588.699951,792.700012,-119.0,,122.400002,796.100014,-283.600006,512.5,0.0,0.0,512.5,0,512.5,,,512.500008,,0.46,0.46,1109.0,0.46,0.46,0.46,1109.0,
12/31/1995,3531.800049,-2613.800049,918.0,-112.699997,,-187.300003,618.0,-205.300003,412.700012,0.0,0.0,412.700012,0,412.700012,,,412.699997,0.37,0.37,0.37,1107.91394,0.37,0.37,0.37,1107.91394,
03/31/1996,3567.0,-2745.0,822.0,-124.0,,51.0,749.0,-271.0,478.0,0.0,0.0,478.0,0,478.0,,,478.0,0.43,0.43,0.43,1109.5,0.43,0.43,0.43,1109.5,
06/30/1996,3744.0,-2798.0,946.0,-128.0,,73.0,891.0,-324.0,567.0,0.0,0.0,567.0,0,567.0,,,567.0,0.51,0.51,0.51,1106.400024,0.51,0.51,0.51,1106.400024,
09/30/1996,3722.0,-2849.0,873.0,-130.0,,74.0,817.0,-298.0,519.0,0.0,0.0,519.0,0,519.0,,,519.0,0.47,0.47,0.47,1099.599976,0.47,0.47,0.47,1099.599976,
12/31/1996,3884.0,-3020.0,864.0,-132.0,,128.0,860.0,-290.0,570.0,0.0,0.0,570.0,0,570.0,,,570.0,0.52,0.52,0.52,1099.41394,0.52,0.52,0.52,1099.41394,
03/31/1997,3859.0,-2947.0,912.0,-125.0,,65.0,852.0,-316.0,536.0,0.0,0.0,536.0,0,536.0,,,536.0,0.49,0.49,0.49,1101.0,0.48,0.48,0.48,1109.0,
06/30/1997,3986.0,-2945.0,1041.0,-123.0,,-14.0,904.0,-367.0,537.0,0.0,0.0,537.0,0,537.0,87.0,,624.0,0.5675,0.488,0.488,1100.0,0.565,0.4865,0.4865,1104.0,
09/30/1997,4006.0,-3044.0,962.0,-123.0,,127.0,966.0,-353.0,613.0,0.0,0.0,613.0,0,613.0,-52.0,15.0,576.0,0.525,0.56,0.56,1098.069946,0.525,0.56,0.56,1098.069946,
12/31/1997,4147.0,-3263.0,884.0,-134.0,,212.0,962.0,-352.0,610.0,0.0,0.0,610.0,0,610.0,119.778999,-32.778999,697.0,0.635,0.56,0.56,1095.800048,0.635,0.56,0.56,1095.800048,
03/31/1998,4133.0,-3228.0,905.0,-175.0,,51.0,781.0,-289.0,492.0,0.0,0.0,492.0,0,492.0,,,492.0,0.45,0.45,0.45,1100.0,0.44,0.44,0.44,1109.0,
06/30/1998,4289.0,-3125.0,1164.0,-148.0,0.0,1627.0,2643.0,-936.0,1707.0,0.0,0.0,1707.0,0,1707.0,-1543.0,500.0,664.0,0.63,1.55,1.55,1101.0,0.63,1.54,1.54,1110.0,
09/30/1998,4290.0,-3227.0,1063.0,-140.0,,83.0,1006.0,-361.0,645.0,0.0,0.0,645.0,0,645.0,,,645.0,0.58,0.58,0.58,1102.842041,0.58,0.58,0.58,1112.761963,
12/31/1998,4442.0,-3381.0,1061.0,-148.0,,294.0,1207.0,-445.0,762.0,0.0,0.0,762.0,0,762.0,-78.0,,684.0,0.620403,0.69,0.69,1102.51001,0.61,0.68,0.68,1114.027954,
03/31/1999,4430.0,-3320.0,1110.0,-134.0,0.0,155.0,1131.0,-417.0,714.0,207.0,0.0,921.0,0,921.0,-44.0,17.0,687.0,0.62,0.65,0.84,1099.06604,0.61,0.64,0.83,1111.988037,
06/30/1999,4802.0,-3426.0,1376.0,-134.0,0.0,59.0,1301.0,-482.0,819.0,0.0,0.0,819.0,0,819.0,21.0,,840.0,0.77,0.75,0.75,1099.081055,0.76,0.74,0.74,1112.126953,
