Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
04/04/1992,721.409973,-561.64502,159.764954,-131.889999,27.875,-3.838,0.0,0.473,24.51,-8.971,15.539,0.0,0.0,15.539,0.0,15.539,15.539,0.19,0.19,81.783997,0.19,0.19,0.19,81.783997,
06/28/1992,596.947998,-463.160004,133.787994,-109.734001,24.054001,-3.121,0.0,-6.736,14.197001,-4.078,10.119,-12.95,0.0,-2.831,0.0,-2.831,10.119001,-0.38,-0.04,81.889999,-0.38,-0.38,-0.04,81.889999,
09/19/1992,641.723999,-501.143005,140.580994,-117.386002,23.195,-3.47,0.0,0.132,19.857,-7.17,12.687,0.0,0.0,12.687,0.0,12.687,12.687,0.16,0.16,81.037003,0.16,0.16,0.16,81.037003,
12/26/1992,746.867004,-574.416992,172.450012,-141.195007,31.254999,-5.375,0.0,0.019,25.898999,-9.348,16.551001,0.0,0.0,16.551001,0.0,16.551001,16.551,0.21,0.21,78.022003,0.21,0.21,0.21,78.022003,
04/03/1993,762.088989,-604.198975,157.890015,-146.013,11.877,-5.159,,0.136,6.854,-2.474,4.38,,,4.38,,4.38,4.38,0.06,0.06,78.935997,0.06,0.06,0.06,78.935997,
07/03/1993,721.646973,-562.695984,158.950989,-134.074005,24.877001,-4.206,0.0,0.106,20.777001,-7.501,13.276,0.0,0.0,13.276,0.0,13.276,13.276001,0.17,0.17,78.046997,0.17,0.17,0.17,78.046997,
09/25/1993,640.911011,-493.079987,147.831024,-125.414001,22.417,-4.412,0.0,0.421,18.426,-9.226,9.2,-3.288,0.0,5.912,0.0,5.912,9.2,0.12,0.08,78.047997,0.12,0.12,0.08,78.047997,
01/01/1994,768.244019,-595.366028,172.877991,-153.436996,19.441,-5.765,0.0,1.357,15.033,-5.712,9.321,0.0,0.0,9.321,0.0,9.321,9.321,0.12,0.12,78.065002,0.12,0.12,0.12,78.065002,
04/09/1994,764.60199,-591.242981,173.359009,-153.813004,19.546,-5.753,0.0,1.435,15.228,-5.787,9.441,0.0,0.0,9.441,0.0,9.441,9.441,0.12,0.12,78.092003,0.12,0.12,0.12,78.092003,
07/02/1994,660.93103,-505.89801,155.03302,-131.742004,23.291,-4.597,0.0,1.389,20.083,-7.464,12.619,0.0,0.0,12.619,0.0,12.619,12.619,0.16,0.16,78.089996,0.16,0.16,0.16,78.089996,
09/24/1994,653.620972,-497.575989,156.044983,-133.026001,23.018999,-5.958,0.0,1.538,18.598999,-7.067,11.532,0.0,0.0,11.532,0.0,11.532,11.531999,0.15,0.15,77.796997,0.15,0.15,0.15,77.796997,
12/31/1994,784.119995,-598.994019,185.125977,-157.039993,28.086,-6.768,0.0,1.376,22.694,-8.624,14.07,0.0,0.0,14.07,0.0,14.07,14.070001,0.18,0.18,77.502998,0.18,0.18,0.18,77.502998,
04/08/1995,763.273987,-588.245972,175.028015,-176.207993,-1.18,-8.006,0.0,1.807,-7.378999,2.804,-4.575,0.0,0.0,-4.575,0.0,-4.575,-4.575,-0.06,-0.06,77.502998,-0.06,-0.06,-0.06,77.502998,
06/30/1995,668.554016,-511.73999,156.814026,-132.692993,24.121,-0.052,0.0,-4.721,19.348,-7.033,12.315,0.0,0.0,12.315,0.0,12.315,12.315,0.16,0.16,76.969002,0.16,0.16,0.16,76.969002,
