Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2010,3296,2063,2063,0,9,9,0.0,277,225,0,48,4,586,,19.0,6.0,83.0,2935,243,665,-422,0.0,,118,,,0.0,,66.0,,27,361,,366,27,6.0,,333.0,0,0.0,,,1060,,,1060,1426,1769,1769.0,,,326,,284.0,42,2095,3521,0.0,244,2.0,242.0,-2026.0,1666,-109,-225,0.0,-225,3296,
12/31/2010,3296,2063,2063,0,9,9,0.0,277,225,0,48,4,586,,19.0,6.0,83.0,2935,243,665,-422,0.0,,118,0.0,0.0,0.0,10.0,66.0,,17,361,,366,27,6.0,,333.0,0,0.0,0.0,0.0,1060,0.0,0.0,1060,1426,1769,1769.0,0.0,0.0,326,0.0,284.0,42,2095,3521,0.0,244,2.0,242.0,-2026.0,1666,-109,-225,0.0,-225,3296,
03/31/2011,3590,2338,2338,0,12,12,0.0,308,244,0,60,4,581,,9.0,7.0,76.0,3239,240,657,-417,0.0,,111,,,0.0,,68.0,,27,351,,568,19,131.0,,418.0,0,0.0,0.0,0.0,1381,,,1381,1949,1759,1759.0,0.0,0.0,331,,284.0,47,2090,4039,0.0,248,2.0,246.0,-2315.0,1726,-108,-449,0.0,-449,3590,
06/30/2011,2498,1154,1154,0,17,17,,319,243,0,72,4,627,92.0,30.0,9.0,28.0,2117,250,674,-424,,,131,,,,10.0,66.0,,16,381,,479,39,115.0,14.0,311.0,0,,,,734,,,734,1213,1780,1780.0,,,336,,287.0,49,2116,3329,0.0,258,2.0,256.0,-2809.0,1832,-112,-831,,-831,2498,
09/30/2011,3152,1705,1705,0,11,11,0.0,319,250,0,62,7,669,,90.0,8.0,160.0,2704,248,676,-428,0.0,,200,,,0.0,,68.0,,34,448,,348,16,5.0,,327.0,0,0.0,,,1057,,,1057,1405,2590,2590.0,,,331,,279.0,52,2921,4326,0.0,262,2.0,260.0,-3247.0,1922,-111,-1174,0.0,-1174,3152,
12/31/2011,3008,1634,1634,0,10,10,0.0,277,230,0,43,4,643,,95.0,54.0,108.0,2564,262,690,-428,0.0,,182,0.0,0.0,0.0,9.0,0.0,,24,444,,334,32,6.0,,296.0,0,0.0,0.0,0.0,1151,0.0,0.0,1151,1485,2595,2595.0,0.0,0.0,441,0.0,388.0,53,3036,4521,0.0,268,2.0,266.0,-3612.0,2059,-228,-1513,0.0,-1513,3008,
03/31/2012,3351,1929,1929,0,10,10,0.0,342,246,0,91,5,629,8.0,86.0,52.0,87.0,2910,268,702,-434,0.0,,173,,,,12.0,,,23,441,,503,27,197.0,52.0,227.0,0,0.0,,,1488,,,1488,1991,2586,2586.0,,,440,,383.0,57,3026,5017,0.0,278,2.0,276.0,-3800.0,2080,-224,-1666,0.0,-1666,3351,
06/30/2012,2576,946,946,0,14,14,0.0,365,251,0,109,5,657,92.0,110.0,50.0,30.0,1982,278,719,-441,0.0,,316,122.0,64.0,58.0,12.0,,,22,594,,354,31,78.0,27.0,218.0,0,0.0,,,747,,,747,1101,2610,2610.0,0.0,0.0,433,,375.0,58,3043,4144,0.0,290,2.0,288.0,-3800.0,2161,-219,-1568,0.0,-1568,2576,
09/30/2012,3424,1715,1715,0,16,16,0.0,416,319,0,91,6,673,88.0,116.0,45.0,47.0,2820,283,733,-450,,,321,122.0,64.0,58.0,11.0,0.0,,27,604,,389,33,28.0,54.0,274.0,0,0.0,,,1067,,,1067,1456,3116,3116.0,,,416,,360.0,56,3532,4988,0.0,296,2.0,294.0,-3886.0,2241,-215,-1564,0.0,-1564,3424,
12/31/2012,3396,1720,1720,0,18,18,0.0,410,311,0,94,5,629,,111.0,48.0,72.0,2777,298,755,-457,0.0,,321,121.0,64.0,57.0,15.0,0.0,,26,619,,418,39,86.0,33.0,260.0,0,0.0,0.0,0.0,1183,0.0,0.0,1183,1601,3111,3111.0,0.0,0.0,461,0.0,409.0,52,3572,5173,0.0,303,5.0,298.0,-4190.0,2351,-241,-1777,0.0,-1777,3396,
03/31/2013,3749,2057,2057,0,23,23,0.0,446,315,0,125,6,619,,101.0,47.0,63.0,3145,294,759,-465,0.0,,310,121.0,64.0,57.0,30.0,,,11,604,,631,23,267.0,54.0,287.0,0,0.0,,,1356,,,1356,1987,3101,3101.0,,,457,,402.0,55,3558,5545,0.0,227,4.0,223.0,-110.0,-1676,-237,-1796,0.0,-1796,3749,
06/30/2013,3335,1638,1638,0,30,30,0.0,434,294,0,133,7,635,50.0,71.0,51.0,28.0,2737,309,783,-474,0.0,,289,121.0,64.0,57.0,18.0,,,28,598,,401,49,76.0,34.0,242.0,0,0.0,,,749,,,749,1150,3571,3571.0,,,469,,410.0,59,4040,5190,0.0,238,4.0,234.0,-279.0,-1572,-242,-1855,0.0,-1855,3335,
09/30/2013,3555,1635,1490,145,33,33,0.0,464,307,0,149,8,731,108.0,71.0,51.0,68.0,2863,313,793,-480,88.0,88.0,291,121.0,64.0,57.0,21.0,,,27,692,,468,35,19.0,60.0,354.0,0,0.0,,,1098,,,1098,1566,3571,3571.0,,,460,,397.0,63,4031,5597,0.0,243,4.0,239.0,-529.0,-1518,-238,-2042,0.0,-2042,3555,
12/31/2013,3536,1611,1454,157,19,19,0.0,499,349,0,143,7,607,,60.0,51.0,52.0,2736,316,791,-475,93.0,93.0,391,189.0,102.0,87.0,10.0,55.0,,26,800,,427,42,65.0,34.0,286.0,0,0.0,0.0,0.0,1224,0.0,0.0,1224,1651,3560,3560.0,0.0,0.0,389,0.0,305.0,84,3949,5600,0.0,260,4.0,256.0,-756.0,-1438,-130,-2064,0.0,-2064,3536,
03/31/2014,3912,1832,1535,297,26,26,0.0,552,367,0,180,5,606,,61.0,56.0,60.0,3016,311,779,-468,191.0,191.0,394,183.0,102.0,81.0,69.0,,,25,896,,611,29,223.0,60.0,299.0,0,0.0,0.0,0.0,1508,,,1508,2119,3561,3561.0,,,393,0.0,306.0,87,3954,6073,0.0,271,4.0,267.0,-914.0,-1391,-127,-2161,0.0,-2161,3912,
06/30/2014,2893,881,709,172,25,25,0.0,475,314,0,157,4,672,67.0,66.0,58.0,56.0,2053,312,792,-480,126.0,126.0,402,179.0,103.0,76.0,75.0,,,24,840,,400,33,94.0,34.0,239.0,0,0.0,,,753,,,753,1153,3566,3566.0,,,402,,311.0,91,3968,5121,0.0,279,4.0,275.0,-1070.0,-1313,-124,-2228,0.0,-2228,2893,
09/30/2014,3275,1224,916,308,16,16,0.0,454,320,0,128,6,698,89.0,57.0,59.0,57.0,2392,311,804,-493,185.0,185.0,387,170.0,101.0,69.0,78.0,,,23,883,,401,38,36.0,60.0,267.0,0,0.0,,,1073,,,1073,1474,3557,3557.0,,,399,,310.0,89,3956,5430,0.0,284,4.0,280.0,-1070.0,-1245,-124,-2155,0.0,-2155,3275,
12/31/2014,3508,1632,1308,324,13,13,0.0,404,305,0,93,6,585,,61.0,142.0,63.0,2634,308,811,-503,167.0,167.0,399,163.0,100.0,63.0,11.0,0.0,,22,874,,396,31,81.0,34.0,250.0,0,0.0,0.0,0.0,1187,,,1187,1583,3561,3561.0,0.0,0.0,546,0.0,473.0,73,4107,5690,0.0,291,4.0,287.0,-1070.0,-1140,-263,-2182,0.0,-2182,3508,
03/31/2015,4154,2249,1920,329,25,25,0.0,455,321,0,129,5,579,,67.0,140.0,62.0,3308,298,813,-515,154.0,154.0,394,156.0,98.0,58.0,10.0,,,21,846,,648,36,272.0,60.0,280.0,0,0.0,,,1525,,,1525,2173,3567,3567.0,,,548,,472.0,76,4115,6288,0.0,299,4.0,295.0,-1070.0,-1103,-260,-2134,0.0,-2134,4154,
